time,journal,doi_info,authors,key words,title,abstract
2024 Jun 21,Journal of biomechanics,J Biomech. 2024 Jun 21;171:112201. doi: 10.1016/j.jbiomech.2024.112201.,"['Kestur, Sujay', 'Zhou, Sixu', ""O'Sullivan, Gwyn"", 'Young, Aaron', 'Herrin, Kinsey']","['biological joint work', 'gait', 'kinematics', 'knee prosthesis', 'transfemoral amputation']","Comparing the lower limb joint biomechanics of the Power Knee, C-Leg and Rheo Knee during ramp and stair ambulation.","One of the most significant developments in prosthetic knee technology has been the introduction of the Microprocessor-Controlled Prosthetic Knee (MPK). However, there is a lack of consensus over how different types of MPKs affect performance in different ambulation modes. In this study, we investigated the biomechanical differences in ramp and stair maneuvers when an individual with transfemoral amputation wears three commercial MPKs: the Össur Power Knee, the Össur Rheo Knee and the Ottobock C-Leg 4. The primary outcome variable for this study was the lower limb biological joint work, inclusive of the intact leg and prosthetic side hip. We hypothesized that (1) the Power Knee would result in lower biological work during ascent activities than the C-Leg and Rheo, both passive MPKs, and (2) the C-Leg and Rheo would result in lower biological work during descent activities than the Power Knee. During ramp ascent, the C-Leg was associated with lower biological joint work (p < 0.05) than the Power Knee. However, this relationship did not hold during stair ascent, where the Power Knee showed advantages for stair ascent with net reductions in biological joint work of 14.1% and 23.3% compared to the Rheo and C-leg, respectively. There were no significant differences in biological joint work between the knees during ramp and stair descent, indicating that choice of MPK may not be as important for descent activities. Our results demonstrate that differences are present between different types of MPKs during ascent activities which could prove useful in the prescription of these devices."
2024 Apr 1,Annals of biomedical engineering,Ann Biomed Eng. 2024 Apr 1. doi: 10.1007/s10439-024-03495-z.,"['Leestma, Jennifer K', 'Smith, Courtney R', 'Sawicki, Gregory S', 'Young, Aaron J']","['center of mass state', 'exoskeletons', 'human intent recognition', 'locomotion', 'machine learning']",A Data-Driven Approach to Estimate Human Center of Mass State During Perturbed Locomotion Using Simulated Wearable Sensors.,"Center of mass (COM) state, specifically in a local reference frame (i.e., relative to center of pressure), is an important variable for controlling and quantifying bipedal locomotion. However, this metric is not easily attainable in real time during human locomotion experiments. This information could be valuable when controlling wearable robotic exoskeletons, specifically for stability augmentation where knowledge of COM state could enable step placement planners similar to bipedal robots. Here, we explored the ability of simulated wearable sensor-driven models to rapidly estimate COM state during steady state and perturbed walking, spanning delayed estimates (i.e., estimating past state) to anticipated estimates (i.e., estimating future state). We used various simulated inertial measurement unit (IMU) sensor configurations typically found on lower limb exoskeletons and a temporal convolutional network (TCN) model throughout this analysis. We found comparable COM estimation capabilities across hip, knee, and ankle exoskeleton sensor configurations, where device type did not significantly influence error. We also found that anticipating COM state during perturbations induced a significant increase in error proportional to anticipation time. Delaying COM state estimates significantly increased accuracy for velocity estimates but not position estimates. All tested conditions resulted in models with R(2) > 0.85, with a majority resulting in R(2) > 0.95, emphasizing the viability of this approach. Broadly, this preliminary work using simulated IMUs supports the efficacy of wearable sensor-driven deep learning approaches to provide real-time COM state estimates for lower limb exoskeleton control or other wearable sensor-based applications, such as mobile data collection or use in real-time biofeedback."
2024 Mar 20,Science robotics,Sci Robot. 2024 Mar 20;9(88):eadi8852. doi: 10.1126/scirobotics.adi8852. Epub ,"['Molinaro, Dean D', 'Kang, Inseung', 'Young, Aaron J']","['humans', ' exoskeleton device', 'biomechanical phenomena', ' robotics', 'walking', 'lower extremity']","Estimating human joint moments unifies exoskeleton control, reducing user effort.","Robotic lower-limb exoskeletons can augment human mobility, but current systems require extensive, context-specific considerations, limiting their real-world viability. Here, we present a unified exoskeleton control framework that autonomously adapts assistance on the basis of instantaneous user joint moment estimates from a temporal convolutional network (TCN). When deployed on our hip exoskeleton, the TCN achieved an average root mean square error of 0.142 newton-meters per kilogram across 35 ambulatory conditions without any user-specific calibration. Further, the unified controller significantly reduced user metabolic cost and lower-limb positive work during level-ground and incline walking compared with walking without wearing the exoskeleton. This advancement bridges the gap between in-lab exoskeleton technology and real-world human ambulation, making exoskeleton control technology viable for a broad community."
2023,Wearable technologies,Wearable Technol. 2023 Feb 28;4:e5. doi: 10.1017/wtc.2022.26. eCollection 2023.,"['Johnson, W Brett', 'Young, Aaron', 'Goldman, Stephen', 'Wilson, Jon', 'Alderete, Joseph F', 'Childers, W Lee']","['design', 'exoskeletons', 'rehabilitation robotics']",Exoskeletal solutions to enable mobility with a lower leg fracture in austere environments.,"The treatment and evacuation of people with lower limb fractures in austere environments presents unique challenges that assistive exoskeletal devices could address. In these dangerous situations, independent mobility for the injured can preserve their vital capabilities so that they can safely evacuate and minimize the need for additional personnel to help. This expert view article discusses how different exoskeleton archetypes could provide independent mobility while satisfying the requisite needs for portability, maintainability, durability, and adaptability to be available and useful within austere environments. The authors also discuss areas of development that would enable exoskeletons to operate more effectively in these scenarios as well as preserve the health of the injured limb so that definitive treatment after evacuation will produce better outcomes."
2023 Dec 21,Scientific data,Sci Data. 2023 Dec 21;10(1):924. doi: 10.1038/s41597-023-02840-6.,"['Scherpereel, Keaton', 'Molinaro, Dean', 'Inan, Omer', 'Shepherd, Max', 'Young, Aaron']","['humans', 'biomechanical phenomena', 'electromyography', 'lower extremity', ' muscle, skeletal', ' wearable electronic devices']",A human lower-limb biomechanics and wearable sensors dataset during cyclic and non-cyclic activities.,"Tasks of daily living are often sporadic, highly variable, and asymmetric. Analyzing these real-world non-cyclic activities is integral for expanding the applicability of exoskeletons, protheses, wearable sensing, and activity classification to real life, and could provide new insights into human biomechanics. Yet, currently available biomechanics datasets focus on either highly consistent, continuous, and symmetric activities, such as walking and running, or only a single specific non-cyclic task. To capture a more holistic picture of lower limb movements in everyday life, we collected data from 12 participants performing 20 non-cyclic activities (e.g. sit-to-stand, jumping, squatting, lunging, cutting) as well as 11 cyclic activities (e.g. walking, running) while kinematics (motion capture and IMUs), kinetics (force plates), and electromyography (EMG) were collected. This dataset provides normative biomechanics for a highly diverse range of activities and common tasks from a consistent set of participants and sensors."
2024 Mar,Annals of biomedical engineering,Ann Biomed Eng. 2024 Mar;52(3):487-497. doi: 10.1007/s10439-023-03391-y. Epub ,"['Maldonado-Contreras, Jairo Y', 'Bhakta, Krishan', 'Camargo, Jonathan', 'Kunapuli, Pratik', 'Young, Aaron J']","['humans', ' walking', 'biomechanical phenomena', 'lower extremity', 'gait', ' wearable electronic devices', 'exoskeleton', 'intention recognition', 'machine learning', 'prosthesis', 'slope estimation']",User- and Speed-Independent Slope Estimation for Lower-Extremity Wearable Robots.,"Wearable robots can help users traverse unstructured slopes by providing mode-specific hip, knee, and ankle joint assistance. However, generalizing the same assistance pattern across different slopes is not optimal. Control strategies that scale assistance based on slope are expected to improve the feel of the device and improve outcome measures such as decreasing metabolic cost. Prior numerical methods for slope estimation struggled to estimate slopes at variable walking speeds or were limited to a single estimation per gait cycle. This study overcomes these limitations by developing machine-learning methods that yield continuous, user- and speed-independent slope estimators for a variety of wearable robot applications using an able-bodied wearable sensor dataset. In a leave-one-subject-out cross-validation (N = 9), four-phase XGBoost regression models were trained on static-slope (fixed-slope) data and evaluated on a novel subject's static-slope and dynamic-slope (variable-slope) data. Using all available sensors, we achieved an average error of 0.88° and 1.73° mean absolute error (MAE) on static and dynamic slopes, respectively. Ankle prosthesis, knee-ankle prosthesis, and hip exoskeleton sensor suites yielded average errors under 2° MAE on static and dynamic slopes, except for the ankle prosthesis and hip exoskeleton cases on dynamic slopes which yielded an average error of 2.2° and 3.2° MAE, respectively. We found that the thigh inertial measurement unit contributed the most to a reduction in average error. Our findings suggest that reliable slope estimators can be trained using only static-slope data regardless of the type of lower-extremity wearable robot."
2023,Annual reviews in control,Annu Rev Control. 2023;55:142-164. doi: 10.1016/j.arcontrol.2023.03.003. Epub ,"['Gehlhar, Rachel', 'Tucker, Maegan', 'Young, Aaron J', 'Ames, Aaron D']","['control', 'lower-limb', 'prostheses', 'robotics', 'user-customization']",A Review of Current State-of-the-Art Control Methods for Lower-Limb Powered Prostheses.,"Lower-limb prostheses aim to restore ambulatory function for individuals with lower-limb amputations. While the design of lower-limb prostheses is important, this paper focuses on the complementary challenge - the control of lower-limb prostheses. Specifically, we focus on powered prostheses, a subset of lower-limb prostheses, which utilize actuators to inject mechanical power into the walking gait of a human user. In this paper, we present a review of existing control strategies for lower-limb powered prostheses, including the control objectives, sensing capabilities, and control methodologies. We separate the various control methods into three main tiers of prosthesis control: high-level control for task and gait phase estimation, mid-level control for desired torque computation (both with and without the use of reference trajectories), and low-level control for enforcing the computed torque commands on the prosthesis. In particular, we focus on the high- and mid-level control approaches in this review. Additionally, we outline existing methods for customizing the prosthetic behavior for individual human users. Finally, we conclude with a discussion on future research directions for powered lower-limb prostheses based on the potential of current control methods and open problems in the field."
2024 May 3,Assistive technology : the official journal of RESNA,Assist Technol. 2024 May 3;36(3):198-208. doi: 10.1080/10400435.2023.2239555. ,"['Herrin, Kinsey', 'Upton, Emily', 'Young, Aaron']","['humans', ' exoskeleton device', ' stroke rehabilitation instrumentation methods', 'male', 'female', ' walking physiology', 'middle aged', 'aged', 'cross-over studies', 'stroke physiopathology', 'assistive technology', 'hemiplegia', 'outdoors', 'rehabilitation', 'walking']",Towards meaningful community ambulation in individuals post stroke through use of a smart hip exoskeleton: A preliminary investigation.,"Stroke is the leading cause of long-term disability in the United States, leaving survivors with profound mobility challenges that impact independent community ambulation. Evidence shows assistance at the hip during walking may be beneficial for stroke survivors. In this cross-over design study, we examine the impact of a novel hip exoskeleton on both functional and patient reported outcomes measuring speed, fall risk, gait symmetry, energy expenditure and perceived walking ability during both indoors and outdoors in single and serial counting dual task paradigms. Nine ambulatory stroke survivors with hemiplegia were included. No differences were seen between the exoskeleton and baseline conditions for any outcomes. Only the patient reported outcome in which subjects were asked to rate their ability to walk outdoors approached statistical significance (p = 0.051) with greater improvement reported for the exoskeleton condition. When asked to rate several key factors about the exoskeleton, weight and assistance emerged as primary perceived negative factors of the exoskeleton underscoring the need for improvements to the technology in this area. Despite lack of differences across groups, some individuals responded positively to the exoskeleton for several functional outcomes measured, highlighting the need for additional exploration into the use of personalized hip exoskeletons for post-stroke rehabilitation."
2023 Mar 15,The Journal of experimental biology,J Exp Biol. 2023 Mar 15;226(6):jeb244760. doi: 10.1242/jeb.244760. Epub 2023 Mar ,"['Leestma, Jennifer K', 'Golyski, Pawel R', 'Smith, Courtney R', 'Sawicki, Gregory S', 'Young, Aaron J']","['humans', 'biomechanical phenomena physiology', ' postural balance physiology', ' walking physiology', 'gait physiology', 'locomotion physiology', 'balance recovery', 'foot placement', 'locomotion stability', 'whole-body angular momentum']",Linking whole-body angular momentum and step placement during perturbed human walking.,"Human locomotion is remarkably robust to environmental disturbances. Previous studies have thoroughly investigated how perturbations influence body dynamics and what recovery strategies are used to regain balance. Fewer studies have attempted to establish formal links between balance and the recovery strategies that are executed to regain stability. We hypothesized that there would be a strong relationship between the magnitude of imbalance and recovery strategy during perturbed walking. To test this hypothesis, we applied transient ground surface translations that varied in magnitude, direction and onset time while 11 healthy participants walked on a treadmill. We measured stability using integrated whole-body angular momentum (iWBAM) and recovery strategy using step placement. We found the strongest relationships between iWBAM and step placement in the frontal plane for earlier perturbation onset times in the perturbed step (R2=0.52, 0.50) and later perturbation onset times in the recovery step (R2=0.18, 0.25), while correlations were very weak in the sagittal plane (all R2≤0.13). These findings suggest that iWBAM influences step placement, particularly in the frontal plane, and that this influence is sensitive to perturbation onset time. Lastly, this investigation is accompanied by an open-source dataset to facilitate research on balance and recovery strategies in response to multifactorial ground surface perturbations, including 96 perturbation conditions spanning all combinations of three magnitudes, eight directions and four gait cycle onset times."
2023 Feb 1,Journal of biomechanical engineering,J Biomech Eng. 2023 Feb 1;145(2):021007. doi: 10.1115/1.4055759.,"['Camargo, Jonathan', 'Bhakta, Krishan', 'Herrin, Kinsey', 'Young, Aaron']","[' artificial limbs', 'biomechanical phenomena', 'electric impedance', 'gait', 'humans', 'knee joint', 'walking', 'active prosthesis', 'biomechanics', 'stair ascent', 'stair descent']",Biomechanical Evaluation of Stair Ambulation Using Impedance Control on an Active Prosthesis.,"Active prostheses can provide net positive work to individuals with amputation, offering more versatility across locomotion tasks than passive prostheses. However, the effect of powered joints on bilateral biomechanics has not been widely explored for ambulation modes different than level ground and treadmill walking. In this study, we present the bilateral biomechanics of stair ascent and descent with a powered knee-ankle prosthesis compared to the biomechanical profiles of able-bodied subjects at different configurations of stair height between 102 mm and 178 mm. In addition, we include reference profiles from users with passive prostheses for the nominal stair height of 152 mm to place our findings in relation to the typical solution for individuals with transfemoral amputation (TFA). We report the biomechanical profiles of kinematics, kinetics, and power, together with temporal and waveform symmetry and distribution of mechanical energy across the joints. We found that an active prosthesis provides a substantial contribution to mechanical power during stair ascent and power absorption during stair descent and gait patterns like able-bodied subjects. The active prosthesis enables step-over-step gait in stair ascent. This translates into a lower mechanical energy requirement on the intact side, with a 57% reduction of energy at the knee and 26% at the hip with respect to the passive prosthesis. For stair descent, we found a 28% reduction in the negative work done by the intact ankle. These results reflect the benefit of active prostheses, allowing the users to complete tasks more efficiently than passive legs. However, in comparison to able-bodied biomechanics, the results still differ from the ideal patterns. We discuss the limitations that explain this difference and suggest future directions for the design of impedance controllers by taking inspiration from the biological modulation of the knee moment as a function of the stair height."
