time,journal,doi_info,authors,key words,title,abstract
2024 Jan 7,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 7:2024.01.05.574186. doi: 10.1101/2024.01.05.574186.,"['Hu, Thomas', 'Allam, Mayar', 'Kaushik, Vikram', 'Goudy, Steven L', 'Xu, Qin', 'Mudd, Pamela', 'Manthiram, Kalpana', 'Coskun, Ahmet F']",[],Spatial Morphoproteomic Features Predict Uniqueness of Immune Microarchitectures and Responses in Lymphoid Follicles.,"Multiplex imaging technologies allow the characterization of single cells in their cellular environments. Understanding the organization of single cells within their microenvironment and quantifying disease-status related biomarkers is essential for multiplex datasets. Here we proposed SNOWFLAKE, a graph neural network framework pipeline for the prediction of disease-status from combined multiplex cell expression and morphology in human B-cell follicles. We applied SNOWFLAKE to a multiplex dataset related to COVID-19 infection in humans and showed better predictive power of the SNOWFLAKE pipeline compared to other machine learning and deep learning methods. Moreover, we combined morphological features inside graph edge features to utilize attribution methods for extracting disease-relevant motifs from single-cell spatial graphs. The underlying subgraphs were further analyzed and associated with disease status across the dataset. We showed that SNOWFLAKE successfully extracted significant low dimensional embedding from subgraphs with a clear separation between disease status and helped characterize unique cellular interactions in the subgraphs. SNOWFLAKE is a generalizable pipeline for the analysis of multiplex imaging data modality by extracting disease-relevant subgraphs guided by graph-level prediction."
2023 Dec 13,Nature communications,Nat Commun. 2023 Dec 13;14(1):8260. doi: 10.1038/s41467-023-43917-5.,"['Hu, Thomas', 'Allam, Mayar', 'Cai, Shuangyi', 'Henderson, Walter', 'Yueh, Brian', 'Garipcan, Aybuke', 'Ievlev, Anton V', 'Afkarian, Maryam', 'Beyaz, Semir', 'Coskun, Ahmet F']","['female', 'male', 'humans', ' metabolomics methods', 'systems biology', ' lung neoplasms']",Single-cell spatial metabolomics with cell-type specific protein profiling for tissue systems biology.,"Metabolic reprogramming in cancer and immune cells occurs to support their increasing energy needs in biological tissues. Here we propose Single Cell Spatially resolved Metabolic (scSpaMet) framework for joint protein-metabolite profiling of single immune and cancer cells in male human tissues by incorporating untargeted spatial metabolomics and targeted multiplexed protein imaging in a single pipeline. We utilized the scSpaMet to profile cell types and spatial metabolomic maps of 19507, 31156, and 8215 single cells in human lung cancer, tonsil, and endometrium tissues, respectively. The scSpaMet analysis revealed cell type-dependent metabolite profiles and local metabolite competition of neighboring single cells in human tissues. Deep learning-based joint embedding revealed unique metabolite states within cell types. Trajectory inference showed metabolic patterns along cell differentiation paths. Here we show scSpaMet's ability to quantify and visualize the cell-type specific and spatially resolved metabolic-protein mapping as an emerging tool for systems-level understanding of tissue biology."
2023 Jul,Journal of pharmaceutical analysis,J Pharm Anal. 2023 Jul;13(7):691-693. doi: 10.1016/j.jpha.2023.06.013. Epub 2023 ,"['Li, Dan', 'Fang, Zhou', 'Shi, Qiang', 'Zhang, Nicholas', 'Gong, Binsheng', 'Tong, Weida', 'Coskun, Ahmet F', 'Xu, Joshua']",[],Single-cell RNA-sequencing and subcellular spatial transcriptomics facilitate the translation of liver microphysiological systems for regulatory application.,
2023 May 22,Cell reports methods,Cell Rep Methods. 2023 May 12;3(5):100476. doi: 10.1016/j.crmeth.2023.100476. ,"['Fang, Zhou', 'Ford, Adam J', 'Hu, Thomas', 'Zhang, Nicholas', 'Mantalaris, Athanasios', 'Coskun, Ahmet F']","['in situ hybridization, fluorescence methods', ' single-cell analysis methods', ' gene expression profiling methods', 'gene regulatory networks', 'fibroblasts', 'rna proximity', 'rna-rna interactions', 'cell-type classification', 'gene neighborhood networks', 'spatial omics', 'subcellular transcriptomics']",Subcellular spatially resolved gene neighborhood networks in single cells.,"Image-based spatial omics methods such as fluorescence in situ hybridization (FISH) generate molecular profiles of single cells at single-molecule resolution. Current spatial transcriptomics methods focus on the distribution of single genes. However, the spatial proximity of RNA transcripts can play an important role in cellular function. We demonstrate a spatially resolved gene neighborhood network (spaGNN) pipeline for the analysis of subcellular gene proximity relationships. In spaGNN, machine-learning-based clustering of subcellular spatial transcriptomics data yields subcellular density classes of multiplexed transcript features. The nearest-neighbor analysis produces heterogeneous gene proximity maps in distinct subcellular regions. We illustrate the cell-type-distinguishing capability of spaGNN using multiplexed error-robust FISH data of fibroblast and U2-OS cells and sequential FISH data of mesenchymal stem cells (MSCs), revealing tissue-source-specific MSC transcriptomics and spatial distribution characteristics. Overall, the spaGNN approach expands the spatial features that can be used for cell-type classification tasks."
2023,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2023;2660:311-344. doi: 10.1007/978-1-0716-3163-8_22.,"['Kumar, Aditi', 'Cai, Shuangyi', 'Allam, Mayar', 'Henderson, Samuel', 'Ozbeyler, Melissa', 'Saiontz, Lilly', 'Coskun, Ahmet F']","['humans', ' organoids', ' regenerative medicine', 'stem cells', 'organogenesis', 'spatial analysis', 'adult stem cells (ascs)', 'cyclic immunofluorescence (cycif)', 'embryonic stem cells (escs)', 'epi-illumination selective-plane illumination microscope (espim)', 'extracellular matrix (ecm)', 'high-dimensional immunophenotyping', 'imaging mass cytometry (imc)', 'induced pluripotent stem cells (ipsc)', 'light-sheet fluorescence microscopy (lsfm)', 'matrix-assisted laser desorption ionization (maldi)', 'multiplexed error-robust fluorescence in situ hybridization (merfish)', 'multivariate-barcoded mass cytometry (mc)', 'open-top light-sheet (otls) microscopes', 'organogenesis', 'organoid atlas', 'organoid heterogeneity', 'patient-derived xenograft (pdx)', 'pluripotent stem cells (pscs)', 'precision medicine', 'regenerative medicine', 'sequential fluorescence in situ hybridization (seqfish)', 'single-cell rna-sequencing (scrna-seq)', 'single-cell and spatial analysis', 'three-dimensional (3d) tissues', 'time-of-flight secondary ion mass spectrometry (tof-sims)']",Single-Cell and Spatial Analysis of Emergent Organoid Platforms.,"Organoids have emerged as a promising advancement of the two-dimensional (2D) culture systems to improve studies in organogenesis, drug discovery, precision medicine, and regenerative medicine applications. Organoids can self-organize as three-dimensional (3D) tissues derived from stem cells and patient tissues to resemble organs. This chapter presents growth strategies, molecular screening methods, and emerging issues of the organoid platforms. Single-cell and spatial analysis resolve organoid heterogeneity to obtain information about the structural and molecular cellular states. Culture media diversity and varying lab-to-lab practices have resulted in organoid-to-organoid variability in morphology and cell compositions. An essential resource is an organoid atlas that can catalog protocols and standardize data analysis for different organoid types. Molecular profiling of individual cells in organoids and data organization of the organoid landscape will impact biomedical applications from basic science to translational use."
2023 May-Jun,Journal of cardiovascular computed tomography,J Cardiovasc Comput Tomogr. 2023 May-Jun;17(3):201-210. doi: ,"['Hakim, Diaa', 'Coskun, Ahmet U', 'Maynard, Charles', 'Pu, Zhongyue', 'Rupert, Deborah', 'Cefalo, Nicholas', 'Cormier, Michelle', 'Ahmed, Mona', 'Earls, James', 'Jennings, Rob', 'Croce, Kevin', 'Mushtaq, Saima', 'Andreini, Daniele', 'Conte, Edoardo', 'Molony, David', 'Samady, Habib', 'Min, James K', 'Stone, Peter H']","['humans', 'computed tomography angiography', 'coronary angiography methods', 'predictive value of tests', 'tomography, x-ray computed methods', ' plaque, atherosclerotic', 'ultrasonography, interventional methods', ' coronary artery disease diagnostic imaging', 'coronary vessels diagnostic imaging', 'ccta', 'coronary computed tomography angiography', 'ess', 'endothelial shear stress', 'ivus', 'intravascular ultrasound']",Endothelial shear stress computed from coronary computed tomography angiography: A direct comparison to intravascular ultrasound.,"INTRODUCTION: Intravascular ultrasound (IVUS) studies have shown that biomechanical variables, particularly endothelial shear stress (ESS), add synergistic prognostic insight when combined with anatomic high-risk plaque features. Non-invasive risk assessment of coronary plaques with coronary computed tomography angiography (CCTA) would be helpful to enable broad population risk-screening. AIM: To compare the accuracy of ESS computation of local ESS metrics by CCTA vs IVUS imaging. METHODS: We analyzed 59 patients from a registry of patients who underwent both IVUS and CCTA for suspected CAD. CCTA images were acquired using either a 64- or 256-slice scanner. Lumen, vessel, and plaque areas were segmented from both IVUS and CCTA (59 arteries, 686 3-mm segments). Images were co-registered and used to generate a 3-D arterial reconstruction, and local ESS distribution was assessed by computational fluid dynamics (CFD) and reported in consecutive 3-mm segments. RESULTS: Anatomical plaque characteristics (vessel, lumen, plaque area and minimal luminal area [MLA] per artery) were correlated when measured with IVUS and CCTA: 12.7 ​± ​4.3 vs 10.7 ​± ​4.5 ​mm(2), r ​= ​0.63; 6.8 ​± ​2.7 vs 5.6 ​± ​2.7 ​mm(2), r ​= ​0.43; 5.9 ​± ​2.9 vs 5.1 ​± ​3.2 ​mm(2), r ​= ​0.52; 4.5 ​± ​1.3 vs 4.1 ​± ​1.5 ​mm(2), r ​= ​0.67 respectively. ESS metrics of local minimal, maximal, and average ESS were also moderately correlated when measured with IVUS and CCTA (2.0 ​± ​1.4 vs 2.5 ​± ​2.6 ​Pa(,) r ​= ​0.28; 3.3 ​± ​1.6 vs 4.2 ​± ​3.6 ​Pa, r ​= ​0.42; 2.6 ​± ​1.5 vs 3.3 ​± ​3.0 ​Pa, r ​= ​0.35, respectively). CCTA-based computation accurately identified the spatial localization of local ESS heterogeneity compared to IVUS, with Bland-Altman analyses indicating that the absolute ESS differences between the two CCTA methods were pathobiologically minor. CONCLUSION: Local ESS evaluation by CCTA is possible and similar to IVUS; and is useful for identifying local flow patterns that are relevant to plaque development, progression, and destabilization."
2023 Apr 1,Scientific reports,Sci Rep. 2023 Apr 1;13(1):5374. doi: 10.1038/s41598-023-32474-y.,"['Venkatesan, Mythreye', 'Zhang, Nicholas', 'Marteau, Benoit', 'Yajima, Yukina', 'De Zarate Garcia, Nerea Ortiz', 'Fang, Zhou', 'Hu, Thomas', 'Cai, Shuangyi', 'Ford, Adam', 'Olszewski, Harrison', 'Borst, Andrew', 'Coskun, Ahmet F']","['humans', ' proteomics', 'bone marrow cells', 'cell differentiation physiology', ' mesenchymal stem cells', 'umbilical cord', 'mitochondria']",Spatial subcellular organelle networks in single cells.,"Organelles play important roles in human health and disease, such as maintaining homeostasis, regulating growth and aging, and generating energy. Organelle diversity in cells not only exists between cell types but also between individual cells. Therefore, studying the distribution of organelles at the single-cell level is important to understand cellular function. Mesenchymal stem cells are multipotent cells that have been explored as a therapeutic method for treating a variety of diseases. Studying how organelles are structured in these cells can answer questions about their characteristics and potential. Herein, rapid multiplexed immunofluorescence (RapMIF) was performed to understand the spatial organization of 10 organelle proteins and the interactions between them in the bone marrow (BM) and umbilical cord (UC) mesenchymal stem cells (MSCs). Spatial correlations, colocalization, clustering, statistical tests, texture, and morphological analyses were conducted at the single cell level, shedding light onto the interrelations between the organelles and comparisons of the two MSC subtypes. Such analytics toolsets indicated that UC MSCs exhibited higher organelle expression and spatially spread distribution of mitochondria accompanied by several other organelles compared to BM MSCs. This data-driven single-cell approach provided by rapid subcellular proteomic imaging enables personalized stem cell therapeutics."
2023 Apr,Nature materials,Nat Mater. 2023 Apr;22(4):511-523. doi: 10.1038/s41563-023-01495-3. Epub 2023 Mar ,"['Shah, Shivem B', 'Carlson, Christopher R', 'Lai, Kristine', 'Zhong, Zhe', 'Marsico, Grazia', 'Lee, Katherine M', 'Félix Vélez, Nicole E', 'Abeles, Elisabeth B', 'Allam, Mayar', 'Hu, Thomas', 'Walter, Lauren D', 'Martin, Karen E', 'Gandhi, Khanjan', 'Butler, Scott D', 'Puri, Rishi', 'McCleary-Wheeler, Angela L', 'Tam, Wayne', 'Elemento, Olivier', 'Takata, Katsuyoshi', 'Steidl, Christian', 'Scott, David W', 'Fontan, Lorena', 'Ueno, Hideki', 'Cosgrove, Benjamin D', 'Inghirami, Giorgio', 'García, Andrés J', 'Coskun, Ahmet F', 'Koff, Jean L', 'Melnick, Ari', 'Singh, Ankur']","['humans', ' tumor microenvironment', 'cell line, tumor', 'signal transduction', 'nf-kappa b metabolism', ' lymphoma, large b-cell, diffuse drug therapy metabolism', 'mucosa-associated lymphoid tissue lymphoma translocation 1 protein metabolism']",Combinatorial treatment rescues tumour-microenvironment-mediated attenuation of MALT1 inhibitors in B-cell lymphomas.,"Activated B-cell-like diffuse large B-cell lymphomas (ABC-DLBCLs) are characterized by constitutive activation of nuclear factor κB driven by the B-cell receptor (BCR) and Toll-like receptor (TLR) pathways. However, BCR-pathway-targeted therapies have limited impact on DLBCLs. Here we used >1,100 DLBCL patient samples to determine immune and extracellular matrix cues in the lymphoid tumour microenvironment (Ly-TME) and built representative synthetic-hydrogel-based B-cell-lymphoma organoids accordingly. We demonstrate that Ly-TME cellular and biophysical factors amplify the BCR-MYD88-TLR9 multiprotein supercomplex and induce cooperative signalling pathways in ABC-DLBCL cells, which reduce the efficacy of compounds targeting the BCR pathway members Bruton tyrosine kinase and mucosa-associated lymphoid tissue lymphoma translocation protein 1 (MALT1). Combinatorial inhibition of multiple aberrant signalling pathways induced higher antitumour efficacy in lymphoid organoids and implanted ABC-DLBCL patient tumours in vivo. Our studies define the complex crosstalk between malignant ABC-DLBCL cells and Ly-TME, and provide rational combinatorial therapies that rescue Ly-TME-mediated attenuation of treatment response to MALT1 inhibitors."
2022 Sep 16,iScience,iScience. 2022 Aug 18;25(9):104980. doi: 10.1016/j.isci.2022.104980. eCollection ,"['Cai, Shuangyi', 'Hu, Thomas', 'Venkatesan, Mythreye', 'Allam, Mayar', 'Schneider, Frank', 'Ramalingam, Suresh S', 'Sun, Shi-Yong', 'Coskun, Ahmet F']","['biological sciences', 'biological sciences research methodologies', 'biology experimental methods', 'biotechnology']",Multiplexed protein profiling reveals spatial subcellular signaling networks.,"Protein-protein interaction networks are altered in multi-gene dysregulations in many disorders. Image-based protein multiplexing sheds light on signaling pathways to dissect cell-to-cell heterogeneity, previously masked by the bulk assays. Herein, we present a rapid multiplexed immunofluorescence (RapMIF) method measuring up to 25-plex spatial protein maps from cultures and tissues at subcellular resolution, providing combinatorial 272 pairwise and 1,360 tri-protein signaling states across 33 multiplexed pixel-level clusters. The RapMIF pipeline automated staining, bleaching, and imaging of the biospecimens in a single platform. RapMIF showed that WNT/β-catenin signaling upregulated upon the inhibition of the AKT/mTOR pathway. Subcellular protein images demonstrated translocation patterns, spatial receptor discontinuity, and subcellular signaling clusters in single cells. Signaling networks exhibited spatial redistribution of signaling proteins in drug-responsive cultures. Machine learning analysis predicted the phosphorylated β-catenin expression from interconnected signaling protein images. RapMIF is an ideal signaling discovery approach for precision therapy design."
2022 Sep 1,NPJ precision oncology,NPJ Precis Oncol. 2022 Sep 1;6(1):60. doi: 10.1038/s41698-022-00305-4.,"['Allam, Mayar', 'Hu, Thomas', 'Lee, Jeongjin', 'Aldrich, Jeffrey', 'Badve, Sunil S', 'Gökmen-Polar, Yesim', 'Bhave, Manali', 'Ramalingam, Suresh S', 'Schneider, Frank', 'Coskun, Ahmet F']",[],Spatially variant immune infiltration scoring in human cancer tissues.,"The Immunoscore is a method to quantify the immune cell infiltration within cancers to predict the disease prognosis. Previous immune profiling approaches relied on limited immune markers to establish patients' tumor immunity. However, immune cells exhibit a higher-level complexity that is typically not obtained by the conventional immunohistochemistry methods. Herein, we present a spatially variant immune infiltration score, termed as SpatialVizScore, to quantify immune cells infiltration within lung tumor samples using multiplex protein imaging data. Imaging mass cytometry (IMC) was used to target 26 markers in tumors to identify stromal, immune, and cancer cell states within 26 human tissues from lung cancer patients. Unsupervised clustering methods dissected the spatial infiltration of cells in tissue using the high-dimensional analysis of 16 immune markers and other cancer and stroma enriched labels to profile alterations in the tumors' immune infiltration patterns. Spatially resolved maps of distinct tumors determined the spatial proximity and neighborhoods of immune-cancer cell pairs. These SpatialVizScore maps provided a ranking of patients' tumors consisting of immune inflamed, immune suppressed, and immune cold states, demonstrating the tumor's immune continuum assigned to three distinct infiltration score ranges. Several inflammatory and suppressive immune markers were used to establish the cell-based scoring schemes at the single-cell and pixel-level, depicting the cellular spectra in diverse lung tissues. Thus, SpatialVizScore is an emerging quantitative method to deeply study tumor immunology in cancer tissues."
