time,journal,doi_info,authors,key words,title,abstract
2023 Dec,The protein journal,Protein J. 2023 Dec;42(6):675-684. doi: 10.1007/s10930-023-10155-z. Epub 2023 Oct ,"['Lagerman, Colton E', 'Joe, Emily A', 'Grover, Martha A', 'Rousseau, Ronald W', 'Bommarius, Andreas S']","[' carboxylic ester hydrolases chemistry metabolism', 'binding sites', ' beta-lactams', 'temperature', 'hydrolysis', 'enzyme stability', 'amino ester hydrolase', 'computational design', 'protein stability', 'β-lactam antibiotics']",Improvement of α-amino Ester Hydrolase Stability via Computational Protein Design.,"Amino ester hydrolases (AEHs) are capable of rapid synthesis of cephalexin but suffer from rapid deactivation even at low temperatures. Previous efforts to engineer AEH have generated several improved variants but have been limited in scope in part due to limitations in activity assay throughput for β-lactam synthesis reactions. Rational design of 'whole variants' was explored to rapidly improve AEH thermostability by mutating between 3-15% of residues. Most variants were found to be inactive due to a mutated calcium binding site, the function of which has not previously been described. Four active variants, all with improved melting temperatures, were characterized in terms of synthesis and hydrolysis activity, melting temperature, and deactivation at 25°C. Two variants were found to have improved total turnover numbers relative to the initial AEH variant; however, a clear tradeoff exists between improved stability and overall activity of each variant."
2023 Mar,Nature methods,Nat Methods. 2023 Mar;20(3):400-402. doi: 10.1038/s41592-022-01763-1. Epub 2023 ,"['Lauterbach, Simone', 'Dienhart, Hannah', 'Range, Jan', 'Malzacher, Stephan', 'Spöring, Jan-Dirk', 'Rother, Dörte', 'Pinto, Maria Filipa', 'Martins, Pedro', 'Lagerman, Colton E', 'Bommarius, Andreas S', 'Høst, Amalie Vang', 'Woodley, John M', 'Ngubane, Sandile', 'Kudanga, Tukayi', 'Bergmann, Frank T', 'Rohwer, Johann M', 'Iglezakis, Dorothea', 'Weidemann, Andreas', 'Wittig, Ulrike', 'Kettner, Carsten', 'Swainston, Neil', 'Schnell, Santiago', 'Pleiss, Jürgen']","['reproducibility of results', ' data management', ' metadata', 'databases, factual', 'kinetics']",EnzymeML: seamless data flow and modeling of enzymatic data.,"The design of biocatalytic reaction systems is highly complex owing to the dependency of the estimated kinetic parameters on the enzyme, the reaction conditions, and the modeling method. Consequently, reproducibility of enzymatic experiments and reusability of enzymatic data are challenging. We developed the XML-based markup language EnzymeML to enable storage and exchange of enzymatic data such as reaction conditions, the time course of the substrate and the product, kinetic parameters and the kinetic model, thus making enzymatic data findable, accessible, interoperable and reusable (FAIR). The feasibility and usefulness of the EnzymeML toolbox is demonstrated in six scenarios, for which data and metadata of different enzymatic reactions are collected and analyzed. EnzymeML serves as a seamless communication channel between experimental platforms, electronic lab notebooks, tools for modeling of enzyme kinetics, publication platforms and enzymatic reaction databases. EnzymeML is open and transparent, and invites the community to contribute. All documents and codes are freely available at https://enzymeml.org ."
2022 Oct 7,ACS catalysis,ACS Catal. 2022 Oct 7;12(19):11761-11766. doi: 10.1021/acscatal.2c03225. Epub ,"['Mansouri, Hamid R', 'Gracia Carmona, Oriol', 'Jodlbauer, Julia', 'Schweiger, Lorenz', 'Fink, Michael J', 'Breslmayr, Erik', 'Laurent, Christophe', 'Feroz, Saima', 'P Goncalves, Leticia C', 'Rial, Daniela V', 'Mihovilovic, Marko D', 'Bommarius, Andreas S', 'Ludwig, Roland', 'Oostenbrink, Chris', 'Rudroff, Florian']",[],"Mutations Increasing Cofactor Affinity, Improve Stability and Activity of a Baeyer-Villiger Monooxygenase.","The typically low thermodynamic and kinetic stability of enzymes is a bottleneck for their application in industrial synthesis. Baeyer-Villiger monooxygenases, which oxidize ketones to lactones using aerial oxygen, among other activities, suffer particularly from these instabilities. Previous efforts in protein engineering have increased thermodynamic stability but at the price of decreased activity. Here, we solved this trade-off by introducing mutations in a cyclohexanone monooxygenase from Acinetobacter sp., guided by a combination of rational and structure-guided consensus approaches. We developed variants with improved activity (1.5- to 2.5-fold) and increased thermodynamic (+5 °C T (m)) and kinetic stability (8-fold). Our analysis revealed a crucial position in the cofactor binding domain, responsible for an 11-fold increase in affinity to the flavin cofactor, and explained using MD simulations. This gain in affinity was compatible with other mutations. While our study focused on a particular model enzyme, previous studies indicate that these findings are plausibly applicable to other BVMOs, and possibly to other flavin-dependent monooxygenases. These new design principles can inform the development of industrially robust, flavin-dependent biocatalysts for various oxidations."
2022 Nov,Biotechnology and bioengineering,Biotechnol Bioeng. 2022 Nov;119(11):3117-3126. doi: 10.1002/bit.28214. Epub 2022 ,"['Harris, Patrick R', 'Grover, Martha A', 'Rousseau, Ronald W', 'Bommarius, Andreas S']","['cephalexin metabolism', 'cephalosporins', 'kinetics', ' penicillin amidase chemistry genetics', 'propylene glycols', 'beta-lactams', 'biocatalysis', 'modeling of enzyme kinetics', 'reaction engineering']",Selectivity and kinetic modeling of penicillin G acylase variants for the synthesis of cephalexin under a broad range of substrate concentrations.,"The kinetics of cephalexin synthesis and hydrolysis of the activated acyl-donor precursor phenylglycine methyl ester (PGME) were characterized under a broad range of substrate concentrations. A previously developed model by Youshko-Svedas involving the formation of the acyl-enzyme complex followed by binding of the nucleophilic β-lactam donor does not fully estimate the maximum reaction yields for cephalexin synthesis at different concentrations using initial-rate data. 7-aminodesacetoxycephalosporanic acid (7-ADCA) was discovered to be a potent inhibitor of cephalexin hydrolysis, which may account for the deviation from model predictions. Three kinetic models were compared for cephalexin synthesis, with the model incorporating competitive inhibition due to 7-ADCA yielding the best fit. Additionally, the βF24A variant and Assemblase® did not exhibit significantly different kinetics for the synthesis of cephalexin compared to the wild-type, for the concentration range evaluated and for both initial-rate experiments and time-course synthesis experiments. Lastly, a continuous stirred-tank reactor for cephalexin synthesis was simulated using the model incorporating competitive inhibition by 7-ADCA, with clear tradeoffs observed between productivity, fractional yield, and PGME conversion."
2022 May 6,ChemSusChem,ChemSusChem. 2022 May 6;15(9):e202102701. doi: 10.1002/cssc.202102701. Epub 2022 ,"['Rogers, Thomas A', 'Encarnación-Gómez, Luis G', 'Bommarius, Andreas S']","['catalysis', 'hydrolysis', 'kinetics', ' models, theoretical', 'temperature', 'tem-1 β-lactamase', 'lifetime productivity', 'non-isothermal kinetics', 'operational stability', 'total turnover number']",Long-Term Biocatalyst Performance: Mechanistic Prediction and Continuous Non-Isothermal Testing.,"The assessment of the operational stability of biocatalysts by conventional direct determination of the total turnover number (TTN), a useful indicator of lifetime biocatalyst productivity, via continuous isothermal experiments tends to be time-consuming, material-intensive, and prone to disturbances, especially in case of rather stable catalysts. In the present work, we present and validate two alternative methods for estimating the TTN of a biocatalyst for any desired operating temperature. The first method is a mechanistic approach, built upon mathematical derivation of enzyme deactivation models derived from first principles, in which TTN can be calculated from two straightforward isothermal biochemical batch measurements. The second method relies on a few non-isothermal, continuous-mode experiments in conjunction with mathematical modeling to determine the intrinsic deactivation parameters of the biocatalyst. We verify both methods on the test case of TEM-1 β-lactamase-catalyzed penicillin G (Pen G) hydrolysis. Both alternative methods provide estimates of TTN which are typically within a factor of two to five or less of the values measured directly via lengthy, costly, and error-prone conventional isothermal aging tests. Therefore, both the mechanistic approach and the non-isothermal continuous approach are extremely valuable tools to enable calculation of catalyst cost contribution in continuous processing and to eliminate underperforming candidates in search of the most stable biocatalyst."
2022,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2022 Mar 2;10:826357. doi: 10.3389/fbioe.2022.826357. ,"['Lagerman, Colton E', 'Grover, Martha A', 'Rousseau, Ronald W', 'Bommarius, Andreas S']","['xanthomonas campestris pv. campestris', 'reactor modelling', 'reactor optimization', 'ß-lactam antibiotics', 'α-amino ester hydrolase']",Reactor Design and Optimization of α-Amino Ester Hydrolase- Catalyzed Synthesis of Cephalexin.,"Pharmaceutical production quality has recently been a focus for improvement through incorporation of end-to-end continuous processing. Enzymatic ß-lactam antibiotic synthesis has been one focus for continuous manufacturing, and α-amino ester hydrolases (AEHs) are currently being explored for use in the synthesis of cephalexin due to their high reactivity and selectivity. In this study, several reactors were simulated to determine how reactor type and configuration impacts reactant conversion, fractional yield toward cephalexin, and volumetric productivity for AEH-catalyzed cephalexin synthesis. The primary reactor configurations studied are single reactors including a continuous stirred-tank reactor (CSTR) and plug flow reactor (PFR) as well as two CSTRS and a CSTR + PFR in series. Substrate concentrations fed to the reactors as well as enzyme concentration in the reactor were varied. The presence of substrate inhibition was found to have a negative impact on all reactor configurations studied. No reactor configuration simultaneously allowed high substrate conversion, high fractional yield, and high productivity; however, a single PFR was found to enable the highest substrate conversion with higher fractional yields than all other reactor configurations, by minimizing substrate inhibition. Finally, to further demonstrate the impact of substrate inhibition, an AEH engineered to improve substrate inhibition was simulated and Pareto optimal fronts for a CSTR catalyzed with the current AEH were compared to Pareto fronts for the improved AEH. Overall, reduced substrate inhibition would allow for high substrate conversion, fractional yield, and productivity with only a single CSTR."
2021 May 20,The journal of physical chemistry. B,J Phys Chem B. 2021 May 20;125(19):4955-4963. doi: 10.1021/acs.jpcb.0c11250. Epub ,"['Sharma, Aditi', 'McDonald, Matthew A', 'Rose, Harrison B', 'Chernoff, Yury O', 'Behrens, Sven H', 'Bommarius, Andreas S']","[' amyloid', 'amyloidogenic proteins', ' amyloidosis', 'humans', 'kinetics']",Modeling Amyloid Aggregation Kinetics: A Case Study with Sup35NM.,"Understanding the aggregation mechanism of amyloid proteins, such as Sup35NM, is essential to understanding amyloid diseases. Significant recent work has focused on using the fluorescence of thioflavin T (ThT), which undergoes a red shift when bound to amyloid aggregates, to monitor amyloid fibril formation. In the present study, the progression of the total mass of aggregates during fibril formation is monitored for initial monomer concentrations in order to infer the relevant aggregation mechanisms. This workflow was implemented using the amyloid-forming fragment Sup35NM under different agitation conditions and for initial monomer concentrations spanning 2 orders of magnitude. The analysis suggests that primary nucleation, monomeric elongation, secondary nucleation, and fragmentation might all be relevant, but their relative importance could not be determined unambiguously, despite the large set of high-quality data. Discriminating between the fibril-generating processes is shown to require additional information, such as a fibril length distribution. Using Sup35NM as a case study, a framework for fitting the parameters of arbitrary amyloid aggregation kinetics is developed based on a population balance model (PBM), which resolves not only the total aggregate mass (monitored experimentally via ThT fluorescence) but the entire fibril length distribution over time. In addition to the rich new set of ThT fluorescence data, we have reanalyzed a previously published aggregate size distribution using this method. With the size distribution, it was determined that in the reanalyzed in vitro experiment, secondary nucleation generated significantly fewer new Sup35NM fibrils than fragmentation. The proposed strategy of applying the same PBM to a combination of kinetic data from fluorescence monitoring and experimental fibril length distributions will allow the inference of aggregation mechanisms with far greater confidence than fluorescence studies alone."
2021 Feb 1,International journal of pharmaceutics,Int J Pharm. 2021 Feb 1;594:120170. doi: 10.1016/j.ijpharm.2020.120170. Epub 2020 ,"['Rose, Harrison B', 'Wilber, Madison M', 'Bommarius, Andreas S']","[' acids', 'calorimetry', 'hydrogen-ion concentration', 'spectrophotometry, ultraviolet', 'thermodynamics', ' water', 'calorimetry', 'eigenvalue problem', 'ionic equilibria', 'ph value', 'pka value']",Evaluation of ionic equilibria in mixed-buffer isothermal titration calorimetry and continuously stirred tank reactors.,"Determination of an equilibrium pH value in complex aqueous solution and deconvolution of this equilibrium to evaluate phenomena related to mixing, dilution, or progress of reaction is increasingly important in areas ranging from water quality to pharmaceutical formulations and manufacturing. Linearization of pH problems by simple algebraic substitution enables equilibria within complex buffered aqueous solutions to be modeled as an eigenvalue problem. This formulation approach makes rigorous determination of equilibrium pH values and reactor dynamics more accessible than with previous calculation methods, even when activity coefficients and non-ideality are considered. This work demonstrates how such calculations can enable detailed modeling of enthalpic changes in an isothermal titration calorimeter. In support of this work, the acid dissociation constants for three furancarboxylic acids (2-furancarboxylic acid, FA; 5-formyl-2-furancarboxylic acid, FFA; and 2,5-furandicarboxylic acid, FDCA), two of them novel, were determined and compared with multi-wavelength ultraviolet-visible spectrophotometry. The thermodynamic pKa values were determined to be 3.1 for FA, 2.2 for FFA, and 2.1 and 3.4 for the first and second ionization steps of FDCA, respectively."
2020 Dec 22,Langmuir : the ACS journal of surfaces and colloids,Langmuir. 2020 Dec 22;36(50):15296-15308. doi: 10.1021/acs.langmuir.0c02735. Epub ,"['Caparco, Adam A', 'Wang, Melanee', 'Das, Ankita', 'Bommarius, Andreas S', 'Champion, Julie A']",[],Tuning the Morphology of Protein-Inorganic Calcium-Phosphate Supraparticles via Directed Assembly.,"Understanding the phenomena that govern complex interfacial and directed assemblies is essential for both control and scale-up of particle syntheses. The present work describes an effort to understand, control, and tune the formation of protein-inorganic calcium-phosphate supraparticles that are produced at an oscillating air-water interface created by end-over-end rotation of the synthesis solution. Supraparticles were synthesized under an array of different conditions that varied reagent concentration, the presence of additives, tube size, and rotational speed. Paired with a fluid mechanics model of the end-over-end rotation and dimensional analysis, the sensitivity of the synthesis to physicochemical and mechanical parameters was determined. Surface tension and bubble formation were found to be important criteria for changing the size distribution of supraparticles. Thresholds for the values of the Froude, Iribarren, and rotational Reynolds numbers were identified for narrowing particle size distribution. These results both guide the specific protein-inorganic supraparticle synthesis described here and inform future manipulation and scale-up of other complex interfacial colloidal assemblies."
2020 Aug 7,Scientific reports,Sci Rep. 2020 Aug 7;10(1):13367. doi: 10.1038/s41598-020-70158-z.,"['Kruyer, Nicholas S', 'Wauldron, Natalia', 'Bommarius, Andreas S', 'Peralta-Yahya, Pamela']",[],Fully biological production of adipic acid analogs from branched catechols.,"Microbial production of adipic acid from lignin-derived monomers, such as catechol, is a greener alternative to the petrochemical-based process. Here, we produced adipic acid from catechol using catechol 1,2-dioxygenase (CatA) and a muconic acid reductase (MAR) in Escherichia coli. As the reaction progressed, the pH of the media dropped from 7 to 4-5 and the muconic acid isomerized from the cis,cis (ccMA) to the cis,trans (ctMA) isomer. Feeding experiments suggested that cells preferentially uptook ctMA and that MAR efficiently reduced all muconic isomers to adipic acid. Intrigued by the substrate promiscuity of MAR, we probed its utility to produce branched chiral diacids. Using branched catechols likely found in pretreated lignin, we found that while MAR fully reduced 2-methyl-muconic acid to 2-methyl-adipic acid, MAR reduced only one double bond in 3-substituted muconic acids. In the future, MAR's substrate promiscuity could be leveraged to produce chiral-branched adipic acid analogs to generate branched, nylon-like polymers with reduced crystallinity."
