time,journal,doi_info,authors,key words,title,abstract
2024 May,Journal of biomechanics,J Biomech. 2024 May;168:112113. doi: 10.1016/j.jbiomech.2024.112113. Epub 2024 ,"['Wong, Cydney A', 'Fraticelli Guzmán, Nina Sara', 'Read, A Thomas', 'Hedberg-Buenz, Adam', 'Anderson, Michael G', 'Feola, Andrew J', 'Sulchek, Todd', 'Ethier, C Ross']","['animals', ' microscopy, atomic force methods', 'mice', 'rats', 'sclera physiology diagnostic imaging', 'cornea physiology diagnostic imaging', 'trabecular meshwork physiology diagnostic imaging', 'cryoultramicrotomy methods', 'optic disk diagnostic imaging physiology', 'biomechanical phenomena']",A method for analyzing AFM force mapping data obtained from soft tissue cryosections.,"Atomic force microscopy (AFM) is a valuable tool for assessing mechanical properties of biological samples, but interpretations of measurements on whole tissues can be difficult due to the tissue's highly heterogeneous nature. To overcome such difficulties and obtain more robust estimates of tissue mechanical properties, we describe an AFM force mapping and data analysis pipeline to characterize the mechanical properties of cryosectioned soft tissues. We assessed this approach on mouse optic nerve head and rat trabecular meshwork, cornea, and sclera. Our data show that the use of repeated measurements, outlier exclusion, and log-normal data transformation increases confidence in AFM mechanical measurements, and we propose that this methodology can be broadly applied to measuring soft tissue properties from cryosections."
2024 Apr 2,Aging cell,Aging Cell. 2024 Apr 2:e14160. doi: 10.1111/acel.14160.,"['Li, Guorong', 'van Batenburg-Sherwood, Joseph', 'Safa, Babak N', 'Fraticelli Guzmán, Nina Sara', 'Wilson, Andrea', 'Bahrani Fard, Mohammad Reza', 'Choy, Kevin', 'de Ieso, Michael L', 'Cui, J Serena', 'Feola, Andrew J', 'Weisz, Tara', 'Kuhn, Megan', 'Bowes Rickman, Catherine', 'Farsiu, Sina', 'Ethier, C Ross', 'Stamer, W Daniel']","[""schlemm's canal"", 'aqueous humor', 'outflow facility', 'trabecular meshwork']",Aging and intraocular pressure homeostasis in mice.,"Age and elevated intraocular pressure (IOP) are the two primary risk factors for glaucoma, an optic neuropathy that is the leading cause of irreversible blindness. In most people, IOP is tightly regulated over a lifetime by the conventional outflow tissues. However, the mechanistic contributions of age to conventional outflow dysregulation, elevated IOP and glaucoma are unknown. To address this gap in knowledge, we studied how age affects the morphology, biomechanical properties and function of conventional outflow tissues in C57BL/6 mice, which have an outflow system similar to humans. As reported in humans, we observed that IOP in mice was maintained within a tight range over their lifespan. Remarkably, despite a constellation of age-related changes to the conventional outflow tissues that would be expected to hinder aqueous drainage and impair homeostatic function (decreased cellularity, increased pigment accumulation, increased cellular senescence and increased stiffness), outflow facility, a measure of conventional outflow tissue fluid conductivity, was stable with age. We conclude that the murine conventional outflow system has significant functional reserve in healthy eyes. However, these age-related changes, when combined with other underlying factors, such as genetic susceptibility, are expected to increase risk for ocular hypertension and glaucoma."
2024 Aug 1,Journal of biomechanical engineering,J Biomech Eng. 2024 Aug 1;146(8):081011. doi: 10.1115/1.4065164.,"['Safa, Babak N', 'Fraticelli Guzmán, Nina Sara', 'Li, Guorong', 'Stamer, W Daniel', 'Feola, Andrew J', 'Ethier, C Ross']","['humans', 'aged', 'mice', 'animals', ' aqueous humor metabolism', 'intraocular pressure', 'mice, inbred c57bl', 'trabecular meshwork metabolism', ' glaucoma', 'iop', 'biomechanics', 'finite element method', 'glaucoma', 'pectinate ligaments']",A Histomorphometric and Computational Investigation of the Stabilizing Role of Pectinate Ligaments in the Aqueous Outflow Pathway.,"Murine models are commonly used to study glaucoma, the leading cause of irreversible blindness. Glaucoma is associated with elevated intra-ocular pressure (IOP), which is regulated by the tissues of the aqueous outflow pathway. In particular, pectinate ligaments (PLs) connect the iris and trabecular meshwork (TM) at the anterior chamber angle, with an unknown role in maintenance of the biomechanical stability of the aqueous outflow pathway, thus motivating this study. We conducted histomorphometric analysis and optical coherence tomography-based finite element (FE) modeling on three cohorts of C57BL/6 mice: ""young"" (2-6 months), ""middle-aged"" (11-16 months), and ""elderly"" (25-32 months). We evaluated the age-specific morphology of the outflow pathway tissues. Further, because of the known pressure-dependent Schlemm's canal (SC) narrowing, we assessed the dependence of the SC lumen area on varying IOPs in age-specific FE models over a physiological range of TM/PL stiffness values. We found age-dependent changes in morphology of outflow tissues; notably, the PLs were more developed in older mice compared to younger ones. In addition, FE modeling demonstrated that murine SC patency is highly dependent on the presence of PLs and that increased IOP caused SC collapse only with sufficiently low TM/PL stiffness values. Moreover, the elderly model showed more susceptibility to SC collapse compared to the younger models. In conclusion, our study elucidated the previously unexplored role of PLs in the aqueous outflow pathway, indicating their function in supporting TM and SC under elevated IOP."
2024 Mar 23,Scientific reports,Sci Rep. 2024 Mar 23;14(1):6940. doi: 10.1038/s41598-024-57027-9.,"['Bales, Katie L', 'Karesh, Austin M', 'Hogan, Kelleigh', 'Chacko, Alicia S', 'Douglas, GianMarco L', 'Feola, Andrew J', 'Nickerson, John M', 'Pybus, Alyssa', 'Wood, Levi', 'Boatright, Jeffrey H', 'Pardue, Machelle T']","['mice', 'animals', ' retinal degeneration metabolism', 'chemokine cxcl10', 'rhodopsin metabolism', ' retinitis pigmentosa metabolism', 'disease models, animal']",Voluntary exercise preserves visual function and reduces inflammatory response in an adult mouse model of autosomal dominant retinitis pigmentosa.,"Whole-body physical exercise has been shown to promote retinal structure and function preservation in animal models of retinal degeneration. It is currently unknown how exercise modulates retinal inflammatory responses. In this study, we investigated cytokine alterations associated with retinal neuroprotection induced by voluntary running wheel exercise in a retinal degeneration mouse model of class B1 autosomal dominant retinitis pigmentosa, I307N Rho. I307N Rho mice undergo rod photoreceptor degeneration when exposed to bright light (induced). Our data show, active induced mice exhibited significant preservation of retinal and visual function compared to inactive induced mice after 4 weeks of exercise. Retinal cytokine expression revealed significant reductions of proinflammatory chemokines, keratinocyte-derived chemokine (KC) and interferon gamma inducible protein-10 (IP-10) expression in active groups compared to inactive groups. Through immunofluorescence, we found KC and IP-10 labeling localized to retinal vasculature marker, collagen IV. These data show that whole-body exercise lowers specific retinal cytokine expression associated with retinal vasculature. Future studies should determine whether suppression of inflammatory responses is requisite for exercise-induced retinal protection."
2024 Feb 1,Investigative ophthalmology & visual science,Invest Ophthalmol Vis Sci. 2024 Feb 1;65(2):28. doi: 10.1167/iovs.65.2.28.,"['Girardot, Preston E', 'Zhang, Xian', 'Zhang, Nan', 'Donaldson, Kevin J', 'Chrenek, Micah A', 'Sellers, Jana T', 'Feola, Andrew J', 'Papania, Jack', 'Nickerson, John M', 'Jain, Nieraj', 'Boatright, Jeffrey H']","['adult', 'humans', 'animals', 'mice', ' pentosan sulfuric polyester', 'retina', 'electroretinography', 'causality', ' retinal diseases']",Pentosan Polysulfate Sodium Causes Diminished Function and Subtle Morphological Changes in Retina and RPE of Mice.,"PURPOSE: There are numerous reports of a distinctive maculopathy in adults exposed to pentosan polysulfate sodium (PPS), a drug prescribed to treat bladder discomfort associated with interstitial cystitis. We tested whether PPS treatment of mice injures RPE or retina to provide insight into the etiology of the human condition. METHODS: Mice were fed PPS-supplemented chow over 14 months. RPE and retinal function was assessed by electroretinography (ERG) regularly. Following euthanasia, one eye was used for sagittal sectioning and histology, the contralateral for RPE flatmounting. ZO-1 positive RPE cell borders were imaged using confocal microscopy and cell morphology was analyzed using CellProfiler. RESULTS: After 10 months of PPS treatment, we observed diminution of mean scotopic c-wave amplitudes. By 11 months, we additionally observed diminutions of mean scotopic a- and b-wave amplitudes. Analysis of flatmounts revealed altered RPE cell morphology and morphometrics in PPS-treated mice, including increased mean en face cell area and geometric eccentricity, decreased RPE cell solidity and extent, and cytosolic translocation of alpha-catenin, all markers of RPE cell stress. Sex and regional differences were seen in RPE flatmount measures. Shortened photoreceptor outer segments were also observed. CONCLUSIONS: PPS treatment reduced RPE and later retina function as measured by ERG, consistent with a primary RPE injury. Post-mortem analysis revealed extensive RPE pleomorphism and polymegathism and modest photoreceptor changes. We conclude that PPS treatment of mice causes slowly progressing RPE and photoreceptor damage and thus may provide a useful model for some retinal pathologies."
2023 Nov 13,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Nov 13:2023.11.08.566263. doi: ,"['Wong, Cydney A', 'Fraticelli Guzmán, Nina Sara', 'Read, A Thomas', 'Hedberg-Buenz, Adam', 'Anderson, Michael G', 'Feola, Andrew J', 'Sulchek, Todd', 'Ethier, C Ross']",[],A Method for Analyzing AFM Force Mapping Data Obtained from Soft Tissue Cryosections.,"Atomic force microscopy (AFM) is a valuable tool for assessing mechanical properties of biological samples, but interpretations of measurements on whole tissues can be difficult due to the tissue's highly heterogeneous nature. To overcome such difficulties and obtain more robust estimates of tissue mechanical properties, we describe an AFM force mapping and data analysis pipeline to characterize the mechanical properties of cryosectioned soft tissues. We assessed this approach on mouse optic nerve head and rat trabecular meshwork, cornea, and sclera. Our data show that the use of repeated measurements, outlier exclusion, and log-normal data transformation increases confidence in AFM mechanical measurements, and we propose that this methodology can be broadly applied to measuring soft tissue properties from cryosections."
2023 Nov 1,Translational vision science & technology,Transl Vis Sci Technol. 2023 Nov 1;12(11):14. doi: 10.1167/tvst.12.11.14.,"['Feola, Andrew J', 'Allen, Rachael S', 'Chesler, Kyle C', 'Pardue, Machelle T']","['humans', 'rats', 'animals', 'rats, long-evans', ' electroretinography', ' retina', 'rats, inbred bn']",Development of an Automated Electroretinography Analysis Approach.,"PURPOSE: Electroretinography (ERG) is used to assess retinal function in ophthalmology clinics and animal models of ocular disease; however, analyzing ERG waveforms can be a time-intensive process with interobserver variability. We developed ERGAssist, an automated approach, to perform non-subjective and repeatable feature identification (""marking"") of the ERG waveform. METHODS: The automated approach denoised the recorded waveforms and then located the b-wave after applying a lowpass filter. If an a-wave was present, the lowpass filter wave was also used to help locate the a-wave, which was considered the initial large negative response after the flash stimuli. Oscillatory potentials (OPs) were found using a bandpass filter on the denoised waveform. We used two cohorts. One was a Coherence cohort that consisted of ERGs with eight dark-adapted and three light-adapted stimuli in Brown Norway rats (-6 to 1.5 log cd·s/m2). The Verification cohort consisted of control and diabetic (DM) Long Evans rats. We examined retinal function using a five-step dark-adapted protocol (-3 to 1.9 log cd·s/m2). RESULTS: ERGAssist showed a strong correlation with manual markings of ERG features in our Coherence dataset, including the amplitudes (a-wave: r2 = 0.99; b-wave: r2 = 0.99; OP: r2 = 0.92) and implicit times (a-wave: r2 = 0.96; b-wave: r2 = 0.90; OP: r2 = 0.96). In the Verification cohort, both approaches detected differences between control and DM animals and found longer OP implicit times (P < 0.0001) in DM animals. CONCLUSIONS: These results provide verification of ERGAssist to identify features of the full-field ERG. TRANSLATIONAL RELEVANCE: This ERG analysis approach can increase the rigor of basic science studies designed to investigate retinal function using full-field ERG. To aid the community, we have developed an open-source graphical user interface (GUI) implementing the methods presented."
2024 Mar 25,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Mar 25:2023.10.17.562754. doi: ,"['Safa, Babak N', 'Guzmán, Nina Sara Fraticelli', 'Li, Guorong', 'Daniel Stamer, W', 'Feola, Andrew J', 'Ross Ethier, C']","['biomechanics', 'finite element method', 'glaucoma', 'iop', 'pectinate ligament']",A Histomorphometric and Computational Investigation of the Stabilizing Role of Pectinate Ligaments in the Aqueous Outflow Pathway.,"Murine models are commonly used to study glaucoma, the leading cause of irreversible blindness. Glaucoma is associated with elevated intraocular pressure (IOP), which is regulated by the tissues of the aqueous outflow pathway. In particular, pectinate ligaments (PLs) connect the iris and trabecular meshwork (TM) at the anterior chamber angle, with an unknown role in maintenance of the biomechanical stability of the aqueous outflow pathway, thus motivating this study. We conducted histomorphometric analysis and optical coherence tomography-based finite element (FE) modeling on three cohorts of C57BL/6 mice: 'young' (2-6 months), 'middle-aged' (11-16 months), and 'elderly' (25-32 months). We evaluated the age-specific morphology of the outflow pathway tissues. Further, because of the known pressure-dependent Schlemm's canal (SC) narrowing, we assessed the dependence of the SC lumen area to varying IOPs in age-specific FE models over a physiological range of TM/PL stiffness values. We found age-dependent changes in morphology of outflow tissues; notably, the PLs were more developed in older mice compared to younger ones. In addition, FE modeling demonstrated that murine SC patency is highly dependent on the presence of PLs, and that increased IOP caused SC collapse only with sufficiently low TM/PL stiffness values. Moreover, the elderly model showed more susceptibility to SC collapse compared to the younger models. In conclusion, our study elucidated the previously unexplored role of PLs in the aqueous outflow pathway, indicating their function in supporting TM and SC under elevated IOP."
2023,Frontiers in neuroscience,Front Neurosci. 2023 Mar 22;17:1125784. doi: 10.3389/fnins.2023.1125784. ,"['Allen, Rachael S', 'Khayat, Cara T', 'Feola, Andrew J', 'Win, Alice S', 'Grubman, Allison R', 'Chesler, Kyle C', 'He, Li', 'Dixon, Jendayi A', 'Kern, Timothy S', 'Iuvone, P Michael', 'Thule, Peter M', 'Pardue, Machelle T']","['goto-kakizaki', 'cognitive', 'diabetes', 'diabetic retinopathy', 'dopamine', 'electroretinogram', 'vascular']",Diabetic rats with high levels of endogenous dopamine do not show retinal vascular pathology.,"PURPOSE: Limited research exists on the time course of long-term retinal and cerebral deficits in diabetic rodents. Previously, we examined short term (4-8 weeks) deficits in the Goto-Kakizaki (GK) rat model of Type II diabetes. Here, we investigated the long-term (1-8 months) temporal appearance of functional deficits (retinal, cognitive, and motor), retinal vascular pathology, and retinal dopamine levels in the GK rat. METHODS: In GK rats and Wistar controls, retinal neuronal function (electroretinogram), cognitive function (Y-maze), and motor function (rotarod) were measured at 1, 2, 4, 6, and 8 months of age. In addition, we evaluated retinal vascular function (functional hyperemia) and glucose and insulin tolerance. Retinas from rats euthanized at ≥8 months were assessed for vascular pathology. Dopamine and DOPAC levels were measured via HPLC in retinas from rats euthanized at 1, 2, 8, and 12 months. RESULTS: Goto-Kakizaki rats exhibited significant glucose intolerance beginning at 4 weeks and worsening over time (p < 0.001). GK rats also showed significant delays in flicker and oscillatory potential implicit times (p < 0.05 to p < 0.001) beginning at 1 month. Cognitive deficits were observed beginning at 6 months (p < 0.05), but no motor deficits. GK rats showed no deficits in functional hyperemia and no increase in acellular retinal capillaries. Dopamine levels were twice as high in GK vs. Wistar retinas at 1, 2, 8, and 12 months (p < 0.001). CONCLUSION: As shown previously, retinal deficits were detectable prior to cognitive deficits in GK rats. While retinal neuronal function was compromised, retinal vascular pathology was not observed, even at 12+ months. High endogenous levels of dopamine in the GK rat may be acting as an anti-angiogenic and providing protection against vascular pathology."
2023 Mar 1,Translational vision science & technology,Transl Vis Sci Technol. 2023 Mar 1;12(3):8. doi: 10.1167/tvst.12.3.8.,"['Goyal, Vidisha', 'Read, A Thomas', 'Brown, Dillon M', 'Brawer, Luke', 'Bateh, Kaitlyn', 'Hannon, Bailey G', 'Feola, Andrew J', 'Ethier, C Ross']","['rats', 'animals', 'retinal ganglion cells', ' glaucoma', 'optic nerve', 'axons', ' optic nerve diseases diagnosis', 'rats, inbred bn']",Morphometric Analysis of Retinal Ganglion Cell Axons in Normal and Glaucomatous Brown Norway Rats Optic Nerves.,"PURPOSE: A reference atlas of optic nerve (ON) retinal ganglion cell (RGC) axons could facilitate studies of neuro-ophthalmic diseases by detecting subtle RGC axonal changes. Here we construct an RGC axonal atlas for normotensive eyes in Brown Norway rats, widely used in glaucoma research, and also develop/evaluate several novel metrics of axonal damage in hypertensive eyes. METHODS: Light micrographs of entire ON cross-sections from hypertensive and normotensive eyes were processed through a deep learning-based algorithm, AxoNet2.0, to determine axonal morphological properties and were semiquantitatively scored using the Morrison grading scale (MGS) to provide a damage score independent of AxoNet2.0 outcomes. To construct atlases, ONs were conformally mapped onto an ON ""template,"" and axonal morphometric data was computed for each region. We also developed damage metrics based on myelin morphometry. RESULTS: In normotensive eyes, average axon density was ∼0.3 axons/µm2 (i.e., ∼80,000 axons in an ON). We measured axoplasm diameter, eccentricity, cross-sectional area, and myelin g-ratio and thickness. Most morphological parameters exhibited a wide range of coefficients of variation (CoV); however, myelin thickness CoV was only ∼2% in normotensive eyes. In hypertensive eyes, increased myelin thickness correlated strongly with MGS (P < 0.0001). CONCLUSIONS: We present the first comprehensive normative RGC axon morphometric atlas for Brown Norway rat eyes. We suggest objective, repeatable damage metrics based on RGC axon myelin thickness for hypertensive eyes. TRANSLATIONAL RELEVANCE: These tools can evaluate regional changes in RGCs and overall levels of damage in glaucoma studies using Brown Norway rats."
