time,journal,doi_info,authors,key words,title,abstract
2024 Jan,Journal of biomedical optics,J Biomed Opt. 2024 Jan;29(1):016005. doi: 10.1117/1.JBO.29.1.016005. Epub 2024 ,"['Zhou, Ximing', 'Ma, Ling', 'Mubarak, Hasan K', 'Palsgrove, Doreen', 'Sumer, Baran D', 'Chen, Amy Y', 'Fei, Baowei']","['humans', 'squamous cell carcinoma of head and neck', ' microscopy methods', 'collagen', ' head and neck neoplasms diagnostic imaging', 'tumor microenvironment', 'stokes vector', 'collagen', 'head and neck cancer', 'polarized hyperspectral imaging', 'squamous cell carcinoma']",Polarized hyperspectral microscopic imaging system for enhancing the visualization of collagen fibers and head and neck squamous cell carcinoma.,"SIGNIFICANCE: Polarized hyperspectral microscopes with the capability of full Stokes vector imaging have potential for many biological and medical applications. AIM: The aim of this study is to investigate polarized hyperspectral imaging (PHSI) for improving the visualization of collagen fibers, which is an important biomarker related to tumor development, and improving the differentiation of normal and tumor cells on pathologic slides. APPROACH: We customized a polarized hyperspectral microscopic imaging system comprising an upright microscope with a motorized stage, two linear polarizers, two liquid crystal variable retarders (LCVRs), and a compact SnapScan hyperspectral camera. The polarizers and LCVRs worked in tandem with the hyperspectral camera to acquire polarized hyperspectral images, which were further used to calculate four Stokes vectors: S0, S1, S2, and S3. Synthetic RGB images of the Stokes vectors were generated for the visualization of cellular components in PHSI images. Regions of interest of collagen, normal cells, and tumor cells in the synthetic RGB images were selected, and spectral signatures of the selected components were extracted for comparison. Specifically, we qualitatively and quantitatively investigated the enhanced visualization and spectral characteristics of dense fibers and sparse fibers in normal stroma tissue, fibers accumulated within tumors, and fibers accumulated around tumors. RESULTS: By employing our customized polarized hyperspectral microscope, we extract the spectral signatures of Stokes vector parameters of collagen as well as of tumor and normal cells. The measurement of Stokes vector parameters increased the image contrast of collagen fibers and cells in the slides. CONCLUSIONS: With the spatial and spectral information from the Stokes vector data cubes (S0, S1, S2, and S3), our PHSI microscope system enhances the visualization of tumor cells and tumor microenvironment components, thus being beneficial for pathology and oncology."
2022 May,Journal of biomedical optics,J Biomed Opt. 2022 May;27(5):059802. doi: 10.1117/1.JBO.27.5.059802.,"['Ma, Ling', 'Little, James V', 'Chen, Amy Y', 'Myers, Larry', 'Sumer, Baran D', 'Fei, Baowei']","[' head and neck neoplasms diagnostic imaging', 'humans', 'squamous cell carcinoma of head and neck diagnostic imaging']",Automatic detection of head and neck squamous cell carcinoma on histologic slides using hyperspectral microscopic imaging (Erratum).,The erratum corrects the name of the first author listed in a reference cited.
2022 Apr,Journal of biomedical optics,J Biomed Opt. 2022 Apr;27(4):046501. doi: 10.1117/1.JBO.27.4.046501.,"['Ma, Ling', 'Little, James V', 'Chen, Amy Y', 'Myers, Larry', 'Sumer, Baran D', 'Fei, Baowei']","[' head and neck neoplasms diagnostic imaging', 'humans', ' hyperspectral imaging', 'neural networks, computer', 'squamous cell carcinoma of head and neck diagnostic imaging', 'support vector machine', 'classification', 'convolutional neural network', 'hyperspectral imaging', 'nuclei segmentation', 'squamous cell carcinoma', 'support vector machine']",Automatic detection of head and neck squamous cell carcinoma on histologic slides using hyperspectral microscopic imaging.,"SIGNIFICANCE: Automatic, fast, and accurate identification of cancer on histologic slides has many applications in oncologic pathology. AIM: The purpose of this study is to investigate hyperspectral imaging (HSI) for automatic detection of head and neck cancer nuclei in histologic slides, as well as cancer region identification based on nuclei detection. APPROACH: A customized hyperspectral microscopic imaging system was developed and used to scan histologic slides from 20 patients with squamous cell carcinoma (SCC). Hyperspectral images and red, green, and blue (RGB) images of the histologic slides with the same field of view were obtained and registered. A principal component analysis-based nuclei segmentation method was developed to extract nuclei patches from the hyperspectral images and the coregistered RGB images. Spectra-based support vector machine and patch-based convolutional neural networks (CNNs) were implemented for nuclei classification. The CNNs were trained with RGB patches (RGB-CNN) and hyperspectral patches (HSI-CNN) of the segmented nuclei and the utility of the extra spectral information provided by HSI was evaluated. Furthermore, cancer region identification was implemented by image-wise classification based on the percentage of cancerous nuclei detected in each image. RESULTS: RGB-CNN, which mainly used the spatial information of nuclei, resulted in a 0.81 validation accuracy and 0.74 testing accuracy. HSI-CNN, which utilized the spatial and spectral features of the nuclei, showed significant improvement in classification performance and achieved 0.89 validation accuracy as well as 0.82 testing accuracy. Furthermore, the image-wise cancer region identification based on nuclei detection could generally improve the cancer detection rate. CONCLUSIONS: We demonstrated that the morphological and spectral information contribute to SCC nuclei differentiation and that the spectral information within hyperspectral images could improve classification performance."
2020 Jun 1,Biomedical optics express,Biomed Opt Express. 2020 May 21;11(6):3195-3233. doi: 10.1364/BOE.386338. ,"['Ortega, Samuel', 'Halicek, Martin', 'Fabelo, Himar', 'Callico, Gustavo M', 'Fei, Baowei']",[],Hyperspectral and multispectral imaging in digital and computational pathology: a systematic review [Invited].,"Hyperspectral imaging (HSI) and multispectral imaging (MSI) technologies have the potential to transform the fields of digital and computational pathology. Traditional digitized histopathological slides are imaged with RGB imaging. Utilizing HSI/MSI, spectral information across wavelengths within and beyond the visual range can complement spatial information for the creation of computer-aided diagnostic tools for both stained and unstained histological specimens. In this systematic review, we summarize the methods and uses of HSI/MSI for staining and color correction, immunohistochemistry, autofluorescence, and histopathological diagnostic research. Studies include hematology, breast cancer, head and neck cancer, skin cancer, and diseases of central nervous, gastrointestinal, and genitourinary systems. The use of HSI/MSI suggest an improvement in the detection of diseases and clinical practice compared with traditional RGB analysis, and brings new opportunities in histological analysis of samples, such as digital staining or alleviating the inter-laboratory variability of digitized samples. Nevertheless, the number of studies in this field is currently limited, and more research is needed to confirm the advantages of this technology compared to conventional imagery."
2020 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2020 Feb;11320:113200V. doi: 10.1117/12.2548609. Epub ,"['Ortega, Samuel', 'Halicek, Martin', 'Fabelo, Himar', 'Guerra, Raul', 'Lopez, Carlos', 'Lejaune, Marylene', 'Godtliebsen, Fred', 'Callico, Gustavo M', 'Fei, Baowei']","['hyperspectral', 'deep learning', 'histological', 'microscopy']",Hyperspectral imaging and deep learning for the detection of breast cancer cells in digitized histological images.,"In recent years, hyperspectral imaging (HSI) has been shown as a promising imaging modality to assist pathologists in the diagnosis of histological samples. In this work, we present the use of HSI for discriminating between normal and tumor breast cancer cells. Our customized HSI system includes a hyperspectral (HS) push-broom camera, which is attached to a standard microscope, and home-made software system for the control of image acquisition. Our HS microscopic system works in the visible and near-infrared (VNIR) spectral range (400 - 1000 nm). Using this system, 112 HS images were captured from histologic samples of human patients using 20× magnification. Cell-level annotations were made by an expert pathologist in digitized slides and were then registered with the HS images. A deep learning neural network was developed for the HS image classification, which consists of nine 2D convolutional layers. Different experiments were designed to split the data into training, validation and testing sets. In all experiments, the training and the testing set correspond to independent patients. The results show an area under the curve (AUCs) of more than 0.89 for all the experiments. The combination of HSI and deep learning techniques can provide a useful tool to aid pathologists in the automatic detection of cancer cells on digitized pathologic images."
2020 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2020 Feb;11320:113200U. doi: 10.1117/12.2549994. Epub ,"['Halicek, Martin', 'Ortega, Samuel', 'Fabelo, Himar', 'Lopez, Carlos', 'Lejaune, Marylene', 'Callico, Gustavo M', 'Fei, Baowei']",[],Conditional generative adversarial network for synthesizing hyperspectral images of breast cancer cells from digitized histology.,"Hyperspectral imaging (HSI), which acquires up to hundreds of bands, has been proposed as a promising imaging modality for digitized histology beyond RGB imaging to provide more quantitative information to assist pathologists with disease detection in samples. While digitized RGB histology is quite standardized and easy to acquire, histological HSI often requires custom-made equipment and longer imaging times compared to RGB. In this work, we present a dataset of corresponding RGB digitized histology and histological HSI of breast cancer, and we develop a conditional generative adversarial network (GAN) to artificially synthesize HSI from standard RGB images of normal and cancer cells. The results of the GAN synthesized HSI are promising, showing structural similarity (SSIM) of approximately 80% and mean absolute error (MAE) of 6 to 11%. Further work is needed to establish the ability of generating HSI from RGB images on larger datasets."
2020 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2020 Feb;11315:113150Z. doi: 10.1117/12.2549407. Epub ,"['Dormer, James D', 'Bhuiyan, Fiaz Islam', 'Rahman, Nahian', 'Deaton, Nancy', 'Sheng, Jun', 'Padala, Muralidhar', 'Desai, Jaydev P', 'Fei, Baowei']",[],Image Guided Mitral Valve Replacement: Registration of 3D Ultrasound and 2D X-ray Images.,"Mitral valve repair or replacement is important in the treatment of mitral regurgitation. For valve replacement, a transcatheter approach had the possibility of decrease the invasiveness of the procedure while retaining the benefit of replacement over repair. However, fluoroscopy images acquired during the procedure provide no anatomical information regarding the placement of the probe tip once the catheter has entered a cardiac chamber. By using 3D ultrasound and registering the 3D ultrasound images to the fluoroscopy images, a physician can gain a greater understanding of the mitral valve region during transcatheter mitral valve replacement surgery. In this work, we present a graphical user interface which allows the registration of two co-planar X-ray images with 3D ultrasound during mitral valve replacement surgery."
2020 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2020 Feb;11320:113200C. doi: 10.1117/12.2549061. Epub ,"['Mavuduru, Amol', 'Halicek, Martin', 'Shahedi, Maysam', 'Little, James V', 'Chen, Amy Y', 'Myers, Larry L', 'Fei, Baowei']",[],Using a 22-Layer U-Net to Perform Segmentation of Squamous Cell Carcinoma on Digitized Head and Neck Histological Images.,"Squamous cell carcinoma (SCC) comprises over 90 percent of tumors in the head and neck. The diagnosis process involves performing surgical resection of tissue and creating histological slides from the removed tissue. Pathologists detect SCC in histology slides, and may fail to correctly identify tumor regions within the slides. In this study, a dataset of patches extracted from 200 digitized histological images from 84 head and neck SCC patients was used to train, validate and test the segmentation performance of a fully-convolutional U-Net architecture. The neural network achieved a pixel-level segmentation AUC of 0.89 on the testing group. The average segmentation time for whole slide images was 72 seconds. The training, validation, and testing process in this experiment produces a model that has the potential to help segment SCC images in histological images with improved speed and accuracy compared to the manual segmentation process performed by pathologists."
2020 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2020 Feb;11317:113171M. doi: 10.1117/12.2549052. Epub ,"['Tran, Christopher T', 'Halicek, Martin', 'Dormer, James D', 'Tandon, Animesh', 'Hussain, Tarique', 'Fei, Baowei']","['cardiac magnetic resonance imaging', 'convolutional neural network (cnn)', 'deep learning', 'heart', 'image segmentation', 'left ventricle', 'tetralogy of fallot']",Fully automated segmentation of the right ventricle in patients with repaired Tetralogy of Fallot using U-Net.,"Cardiac magnetic resonance (CMR) imaging is considered the standard imaging modality for volumetric analysis of the right ventricle (RV), an especially important practice in the evaluation of heart structure and function in patients with repaired Tetralogy of Fallot (rTOF). In clinical practice, however, this requires time-consuming manual delineation of the RV endocardium in multiple 2-dimensional (2D) slices at multiple phases of the cardiac cycle. In this work, we employed a U-Net based 2D convolutional neural network (CNN) classifier in the fully automatic segmentation of the RV blood pool. Our dataset was comprised of 5,729 short-axis cine CMR slices taken from 100 individuals with rTOF. Training of our CNN model was performed on images from 50 individuals while validation was performed on images from 10 individuals. Segmentation results were evaluated by Dice similarity coefficient (DSC) and Hausdorff distance (HD). Use of the CNN model on our testing group of 40 individuals yielded a median DSC of 90% and a median 95(th) percentile HD of 5.1 mm, demonstrating good performance in these metrics when compared to literature results. Our preliminary results suggest that our deep learning-based method can be effective in automating RV segmentation."
2020 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2020 Feb;11317:113171C. doi: 10.1117/12.2549397. Epub ,"['Ma, Ling', 'Halicek, Martin', 'Fei, Baowei']","['hyperspectral imaging', 'feature extraction', 'head and neck cancer', 'image classification', 'wavelet']",In Vivo Cancer Detection in Animal Model Using Hyperspectral Image Classification with Wavelet Feature Extraction.,"Hyperspectral imaging (HSI) is a promising optical imaging technique for cancer detection. However, quantitative methods need to be developed in order to utilize the rich spectral information and subtle spectral variation in such images. In this study, we explore the feasibility of using wavelet-based features from in vivo hyperspectral images for head and neck cancer detection. Hyperspectral reflectance data were collected from 12 mice bearing head and neck cancer. Catenation of 5-level wavelet decomposition outputs of hyperspectral images was used as a feature for tumor discrimination. A support vector machine (SVM) was utilized as the classifier. Seven types of mother wavelets were tested to select the one with the best performance. Classifications with raw reflectance spectra, 1-level wavelet decomposition output, and 2-level wavelet decomposition output, as well as the proposed feature were carried out for comparison. Our results show that the proposed wavelet-based feature yields better classification accuracy, and that using different type and order of mother wavelet achieves different classification results. The wavelet-based classification method provides a new approach for HSI detection of head and neck cancer in the animal model."
