time,journal,doi_info,authors,key words,title,abstract
2024 Feb,Cardiovascular engineering and technology,Cardiovasc Eng Technol. 2024 Feb;15(1):65-76. doi: 10.1007/s13239-023-00697-9. ,"['Kim, Saeyoung', 'Jing, Bowen', 'Lane, Brooks A', 'Tempestti, Jimena Martín', 'Padala, Muralidhar', 'Veneziani, Alessandro', 'Lindsey, Brooks D']","['animals', 'swine', 'blood flow velocity', 'heart physiology', 'coronary vessels', ' coronary artery disease diagnostic imaging', ' plaque, atherosclerotic', 'stress, mechanical', 'cardiac hemodynamics', 'coronary artery', 'forward viewing', 'motion compensation', 'time-varying wall shear stress', 'ultrafast doppler', 'wall shear stress']",Dynamic Coronary Blood Flow Velocity and Wall Shear Stress Estimation Using Ultrasound in an Ex Vivo Porcine Heart.,"PURPOSE: Wall shear stress (WSS) is a critically important physical factor contributing to atherosclerosis. Mapping the spatial distribution of local, oscillatory WSS can identify important mechanisms underlying the progression of coronary artery disease. METHODS: In this study, blood flow velocity and time-varying WSS were estimated in the left anterior descending (LAD) coronary artery of an ex vivo beating porcine heart using ultrasound with an 18 MHz linear array transducer aligned with the LAD in a forward-viewing orientation. A pulsatile heart loop with physiologically-accurate flow was created using a pulsatile pump. The coronary artery wall motion was compensated using a local block matching technique. Next, 2D and 3D velocity magnitude and WSS maps in the LAD coronary artery were estimated at different time points in the cardiac cycle using an ultrafast Doppler approach. The blood flow velocity estimated using the presented approach was compared with a commercially-available, calibrated single element blood flow velocity measurement system. RESULTS: The resulting root mean square error (RMSE) of 2D velocity magnitude acquired from a high frequency, linear array transducer was less than 8% of the maximum velocity estimated by the commercial system. CONCLUSION: When implemented in a forward-viewing intravascular ultrasound device, the presented approach will enable dynamic estimation of WSS, an indicator of plaque vulnerability in coronary arteries."
2023 Jun,Medical physics,Med Phys. 2023 Jun;50(6):3459-3474. doi: 10.1002/mp.16350. Epub 2023 Mar 21.,"['Collins, Graham C', 'Strassle Rojas, Stephan', 'Bercu, Zachary L', 'Desai, Jaydev P', 'Lindsey, Brooks D']","['humans', 'animals', 'swine', 'x-ray microtomography', 'ultrasonography', ' arteries', 'image-guided therapies', 'interventional guidance', 'intravascular segmentation', 'supervised learning', 'ultrasound segmentation']","Supervised segmentation for guiding peripheral revascularization with forward-viewing, robotically steered ultrasound guidewire.","BACKGROUND: Approximately 500 000 patients present with critical limb ischemia (CLI) each year in the U.S., requiring revascularization to avoid amputation. While peripheral arteries can be revascularized via minimally invasive procedures, 25% of cases with chronic total occlusions are unsuccessful due to inability to route the guidewire beyond the proximal occlusion. Improvements to guidewire navigation would lead to limb salvage in a greater number of patients. PURPOSE: Integrating ultrasound imaging into the guidewire could enable direct visualization of routes for guidewire advancement. In order to navigate a robotically-steerable guidewire with integrated imaging beyond a chronic occlusion proximal to the symptomatic lesion for revascularization, acquired ultrasound images must be segmented to visualize the path for guidewire advancement. METHODS: The first approach for automated segmentation of viable paths through occlusions in peripheral arteries is demonstrated in simulations and experimentally-acquired data with a forward-viewing, robotically-steered guidewire imaging system. B-mode ultrasound images formed via synthetic aperture focusing (SAF) were segmented using a supervised approach (U-net architecture). A total of 2500 simulated images were used to train the classifier to distinguish the vessel wall and occlusion from viable paths for guidewire advancement. First, the size of the synthetic aperture resulting in the highest classification performance was determined in simulations (90 test images) and compared with traditional classifiers (global thresholding, local adaptive thresholding, and hierarchical classification). Next, classification performance as a function of the diameter of the remaining lumen (0.5 to 1.5 mm) in the partially-occluded artery was tested using both simulated (60 test images at each of 7 diameters) and experimental data sets. Experimental test data sets were acquired in four 3D-printed phantoms from human anatomy and six ex vivo porcine arteries. Accuracy of classifying the path through the artery was evaluated using microcomputed tomography of phantoms and ex vivo arteries as a ground truth for comparison. RESULTS: An aperture size of 3.8 mm resulted in the best-performing classification based on sensitivity and Jaccard index, with a significant increase in Jaccard index (p < 0.05) as aperture diameter increased. In comparing the performance of the supervised classifier and traditional classification strategies with simulated test data, sensitivity and F1 score for U-net were 0.95 ± 0.02 and 0.96 ± 0.01, respectively, compared to 0.83 ± 0.03 and 0.41 ± 0.13 for the best-performing conventional approach, hierarchical classification. In simulated test images, sensitivity (p < 0.05) and Jaccard index both increased with increasing artery diameter (p < 0.05). Classification of images acquired in artery phantoms with remaining lumen diameters ≥ 0.75 mm resulted in accuracies > 90%, while mean accuracy decreased to 82% when artery diameter decreased to 0.5 mm. For testing in ex vivo arteries, average binary accuracy, F1 score, Jaccard index, and sensitivity each exceeded 0.9. CONCLUSIONS: Segmentation of ultrasound images of partially-occluded peripheral arteries acquired with a forward-viewing, robotically-steered guidewire system was demonstrated for the first-time using representation learning. This could represent a fast, accurate approach for guiding peripheral revascularization."
2023 May,Medical physics,Med Phys. 2023 May;50(5):3092-3102. doi: 10.1002/mp.16318. Epub 2023 Mar 1.,"['Jing, Bowen', 'Strassle Rojas, Stephan', 'Lindsey, Brooks D']","['humans', 'porosity', 'incidence', 'x-ray microtomography', ' skull diagnostic imaging', 'ultrasonography', 'incidence angle', 'mode conversion', 'porosity', 'shear wave', 'transcranial ultrasound']",Effect of skull porosity on ultrasound transmission and wave mode conversion at large incidence angles.,"BACKGROUND: Transcranial ultrasound imaging and therapy depend on the efficient transmission of acoustic energy through the skull. Multiple previous studies have concluded that a large incidence angle should be avoided during transcranial-focused ultrasound therapy to ensure transmission through the skull. Alternatively, some other studies have shown that longitudinal-to-shear wave mode conversion might improve transmission through the skull when the incidence angle is increased above the critical angle (i.e., 25° to 30°). PURPOSE: The effect of skull porosity on the transmission of ultrasound through the skull at varying incidence angles was investigated for the first time to elucidate why transmission through the skull at large angles of incidence is decreased in some cases but improved in other cases. METHODS: Transcranial ultrasound transmission at varying incidence angles (0°-50°) was investigated in phantoms and ex vivo skull samples with varying bone porosity (0% to 28.54% ± 3.36%) using both numerical and experimental methods. First, the elastic acoustic wave transmission through the skull was simulated using micro-computed tomography data of ex vivo skull samples. The trans-skull pressure was compared between skull segments having three levels of porosity, that is, low porosity (2.65% ± 0.03%), medium porosity (13.41% ± 0.12%), and high porosity (26.9%). Next, transmission through two 3D-printed resin skull phantoms (compact vs. porous phantoms) was experimentally measured to test the effect of porous microstructure alone on ultrasound transmission through flat plates. Finally, the effect of skull porosity on ultrasound transmission was investigated experimentally by comparing transmission through two ex vivo human skull segments having similar thicknesses but different porosities (13.78% ± 2.05% vs. 28.54% ± 3.36%). RESULTS: Numerical simulations indicated that an increase in transmission pressure occurs at large incidence angles for skull segments having low porosities but not for those with high porosity. In experimental studies, a similar phenomenon was observed. Specifically, for the low porosity skull sample (13.78% ± 2.05%), the normalized pressure was 0.25 when the incidence angle increased to 35°. However, for the high porosity sample (28.54% ± 3.36%), the pressure was no more than 0.1 at large incidence angles. CONCLUSIONS: These results indicate that the skull porosity has an evident effect on the transmission of ultrasound at large incidence angles. The wave mode conversion at large, oblique incidence angles could enhance the transmission of ultrasound through parts of the skull having lower porosity in the trabecular layer. However, for transcranial ultrasound therapy in the presence of highly porous trabecular bone, transmission at a normal incidence angle is preferable relative to oblique incidence angles due to the higher transmission efficiency."
2022 Mar,Ultrasound in medicine & biology,Ultrasound Med Biol. 2022 Mar;48(3):530-545. doi: ,"['Jing, Bowen', 'Lindsey, Brooks D']","[' contrast media', ' microbubbles', 'phantoms, imaging', 'ultrasonic waves', 'ultrasonography methods', 'contrast agent', 'low-frequency ultrasound', 'radial modulation', 'transcranial ultrasound']",Very Low Frequency Radial Modulation for Deep Penetration Contrast-Enhanced Ultrasound Imaging.,"Contrast-enhanced ultrasound imaging allows vascular imaging in a variety of diseases. Radial modulation imaging is a contrast agent-specific imaging approach for improving microbubble detection at high imaging frequencies (≥7.5 MHz), with imaging depth limited to a few centimeters. To provide high-sensitivity contrast-enhanced ultrasound imaging at high penetration depths, a new radial modulation imaging strategy using a very low frequency (100 kHz) ultrasound modulation wave in combination with imaging pulses ≤5 MHz is proposed. Microbubbles driven at 100 kHz were imaged in 10 successive oscillation states by manipulating the pulse repetition frequency to unlock the frame rate from the number of oscillation states. Tissue background was suppressed using frequency domain radial modulation imaging (F-RMI) and singular value decomposition-based radial modulation imaging (S-RMI). One hundred-kilohertz modulation resulted in significantly higher microbubble signal magnitude (63-88 dB) at the modulation frequency relative to that without 100-kHz modulation (51-59 dB). F-RMI produced images with high contrast-to-tissue ratios (CTRs) of 15 to 22 dB in a stationary tissue phantom, while S-RMI further improved the CTR (19-26 dB). These CTR values were significantly higher than that of amplitude modulation pulse inversion images (11.9 dB). In the presence of tissue motion (1 and 10 mm/s), S-RMI produced high-contrast images with CTR up to 18 dB; however, F-RMI resulted in minimal contrast enhancement in the presence of tissue motion. Finally, in transcranial ultrasound imaging studies through a highly attenuating ex vivo cranial bone, CTR values with S-RMI were as high as 23 dB. The proposed technique demonstrates successful modulation of microbubble response at 100 kHz for the first time. The presented S-RMI low-frequency radial modulation imaging strategy represents the first demonstration of real-time (20 frames/s), high-penetration-depth radial modulation imaging for contrast-enhanced ultrasound imaging."
2021 Dec,Ultrasonics,Ultrasonics. 2021 Dec;117:106558. doi: 10.1016/j.ultras.2021.106558. Epub 2021 ,"['Kim, Saeyoung', 'Jing, Bowen', 'Lindsey, Brooks D']","['blood flow velocity  physiology', 'catheters', 'constriction, pathologic', 'endosonography', 'equipment design', 'humans', ' imaging, three-dimensional', 'phantoms, imaging', 'proof of concept study', 'transducers', 'ultrasonography, interventional  methods', 'blood flow velocity estimation', 'forward viewing', 'intravascular ultrasound', 'particle imaging velocimetry']",Forward-viewing estimation of 3D blood flow velocity fields by intravascular ultrasound: Influence of the catheter on velocity estimation in stenoses.,"Coronary artery disease is the most common type of cardiovascular disease, affecting > 18 million adults, and is responsible for > 365 k deaths per year in the U.S. alone. Wall shear stress (WSS) is an emerging indicator of likelihood of plaque rupture in coronary artery disease, however, non-invasive estimation of 3-D blood flow velocity and WSS is challenging due to the requirement for high spatial resolution at deep penetration depths in the presence of significant cardiac motion. Thus we propose minimally-invasive imaging with a catheter-based, 3-D intravascular forward-viewing ultrasound (FV US) transducer and present experiments to quantify the effect of the catheter on flow disturbance in stenotic vessel phantoms with realistic velocities and luminal diameters for both peripheral (6.33 mm) and coronary (4.74 mm) arteries. An external linear array ultrasound transducer was used to quantify 2-D velocity fields in vessel phantoms under various conditions of catheter geometry, luminal diameter, and position of the catheter relative to the stenosis at a frame rate of 5000 frames per second via a particle imaging velocimetry (PIV) approach. While a solid catheter introduced an underestimation of velocity measurement by > 20% relative to the case without a catheter, the hollow catheter introduced < 10% velocity overestimation, indicating that a hollow catheter design allowing internal blood flow reduces hemodynamic disturbance. In addition, for both peripheral and coronary arteries, the hollow catheter introduced < 3% deviation in flow velocity at the minimum luminal area compared to the control case. Finally, an initial comparison was made between velocity measurements acquired using a low frequency, catheter-based, 3-D intravascular FV US transducer and external linear array measurements, with relative error < 12% throughout the region of interest for a flow rate of 150 mL/min. While further system development is required, results suggest intravascular ultrasound characterization of blood flow velocity fields in stenotic vessels could be feasible with appropriate catheter design."
2021 Oct,Advanced healthcare materials,Adv Healthc Mater. 2021 Oct;10(20):e2100968. doi: 10.1002/adhm.202100968. Epub ,"['Tomov, Martin L', 'Perez, Lilanni', 'Ning, Liqun', 'Chen, Huang', 'Jing, Bowen', 'Mingee, Andrew', 'Ibrahim, Sahar', 'Theus, Andrea S', 'Kabboul, Gabriella', 'Do, Katherine', 'Bhamidipati, Sai Raviteja', 'Fischbach, Jordan', 'McCoy, Kevin', 'Zambrano, Byron A', 'Zhang, Jianyi', 'Avazmohammadi, Reza', 'Mantalaris, Athanasios', 'Lindsey, Brooks D', 'Frakes, David', 'Dasi, Lakshmi Prasad', 'Serpooshan, Vahid', 'Bauser-Heaton, Holly']","['anastomosis, surgical', ' bioprinting', ' endothelial cells', 'hemodynamics', 'humans', 'models, cardiovascular', 'printing, three-dimensional', ' pulmonary artery surgery', 'stress, mechanical', '3d bioprinting', 'anastomosis', 'bifurcated vessels', 'particle image velocimetry', 'pulmonary artery atresia']",A 3D Bioprinted In Vitro Model of Pulmonary Artery Atresia to Evaluate Endothelial Cell Response to Microenvironment.,"Vascular atresia are often treated via transcatheter recanalization or surgical vascular anastomosis due to congenital malformations or coronary occlusions. The cellular response to vascular anastomosis or recanalization is, however, largely unknown and current techniques rely on restoration rather than optimization of flow into the atretic arteries. An improved understanding of cellular response post anastomosis may result in reduced restenosis. Here, an in vitro platform is used to model anastomosis in pulmonary arteries (PAs) and for procedural planning to reduce vascular restenosis. Bifurcated PAs are bioprinted within 3D hydrogel constructs to simulate a reestablished intervascular connection. The PA models are seeded with human endothelial cells and perfused at physiological flow rate to form endothelium. Particle image velocimetry and computational fluid dynamics modeling show close agreement in quantifying flow velocity and wall shear stress within the bioprinted arteries. These data are used to identify regions with greatest levels of shear stress alterations, prone to stenosis. Vascular geometry and flow hemodynamics significantly affect endothelial cell viability, proliferation, alignment, microcapillary formation, and metabolic bioprofiles. These integrated in vitro-in silico methods establish a unique platform to study complex cardiovascular diseases and can lead to direct clinical improvements in surgical planning for diseases of disturbed flow."
2021 Sep,Ultrasound in medicine & biology,Ultrasound Med Biol. 2021 Sep;47(9):2734-2748. doi: ,"['Jing, Bowen', 'Lindsey, Brooks D']","['humans', 'incidence', 'porosity', ' skull diagnostic imaging', ' sound', 'ultrasonography', 'incidence angle', 'longitudinal wave', 'mode conversion', 'porosity', 'shear wave', 'trabecular bone', 'transcranial ultrasound']",Effect of Skull Porous Trabecular Structure on Transcranial Ultrasound Imaging in the Presence of Elastic Wave Mode Conversion at Varying Incidence Angle.,"With the advancement of aberration correction techniques, transcranial ultrasound imaging has exhibited great potential in applications such as imaging neurological function and guiding therapeutic ultrasound. However, the feasibility of transcranial imaging varies among individuals because of the differences in skull acoustic properties. To better understand the fundamental mechanisms underlying the variation in imaging performance, the effect of the structure of the porous trabecular bone on transcranial imaging performance (i.e., target localization errors and resolution) was investigated for the first time through the use of elastic wave simulations and experiments. Simulation studies using high-resolution computed tomography data from ex vivo skull samples revealed that imaging at large incidence angles reduced the target localization error for skulls having low porosity; however, as skull porosity increased, large angles of incidence resulted in degradation of resolution and increased target localization errors. Experimental results indicate that imaging at normal incidence introduced a localization error of 1.85 ± 0.10 mm, while imaging at a large incidence angle (40°) resulted in an increased localization error of 6.54 ± 1.33 mm and caused a single point target to no longer appear as a single, coherent target in the resulting image, which is consistent with simulation results. This first investigation of the effects of skull microstructure on transcranial ultrasound imaging indicates that imaging performance is highly dependent on the porosity of the skull, particularly at non-normal angles of incidence."
2021 Aug,Medical physics,Med Phys. 2021 Aug;48(8):4191-4204. doi: 10.1002/mp.15023. Epub 2021 Jul 11.,"['Strassle Rojas, Stephan', 'Collins, Graham C', 'Tridandapani, Srini', 'Lindsey, Brooks D']","['coronary angiography', 'humans', 'prospective studies', 'retrospective studies', ' transducers', 'x-ray microtomography', 'cardiac gating', 'computed tomography coronary angiography', 'coronary artery disease', 'transducer', 'ultrasound']",Ultrasound-gated computed tomography coronary angiography: Development of ultrasound transducers with improved computed tomography compatibility.,"PURPOSE: Cardiovascular disease (CVD) is a leading cause of death worldwide, with coronary artery disease (CAD) accounting for nearly half of all CVD deaths. The current gold standard for CAD diagnosis is catheter coronary angiography (CCA), an invasive, expensive procedure. Computed tomography coronary angiography (CTCA) represents an attractive non-invasive alternative to CCA, however, CTCA requires gated acquisition of CT data during periods of minimal cardiac motion (quiescent periods) to avoid non-diagnostic scans. Current gating methods either expose patients to high levels of radiation (retrospective gating) or lead to high rates of non-diagnostic scans (prospective gating) due to the challenge of predicting cardiac quiescence based on ECG alone. Alternatively, ultrasound (US) imaging has been demonstrated as an effective indicator of cardiac quiescence, however, ultrasound transducers produce prominent streak artifacts that disrupt CTCA scans. In this study, a proof-of-concept array transducer with improved CT-compatibility was developed for utilization in an integrated US-CTCA system. METHODS: Alternative materials were tested radiographically and acoustically to replace the radiopaque acoustic backings utilized in low frequency (1-4 MHz) cardiac US transducers. The results of this testing were used to develop alternative acoustic backings consisting of varying concentrations of aluminum oxide in an epoxy matrix via simulations. On the basis of these simulations, single element test transducers designed to operate at 2.5 MHz were fabricated, and the performance of these devices was characterized via acoustic and radiographic testing with micro-computed tomography (micro-CT). Finally, a first proof-of-concept cardiac phased array transducer was developed and its US imaging performance was evaluated. Micro-CT images of the developed US array with improved CT-compatibility were compared with those of a conventional array. RESULTS: Materials testing with micro-CT identified an acoustic backing with a measured radiopacity of 1008 HU, more than an order of magnitude lower than that of the acoustic backing (24,000 HU) typically used in cardiac transducers operating in the 1-4 MHz range. When utilized in a simulated transducer design, this acoustic backing yielded a -6-dB fractional bandwidth of 57%, similar to the 54% bandwidth of the transducer with the radiopaque acoustic backing. The developed 2.5 MHz, single element transducer based on these simulations exhibited a fractional bandwidth of 51% and signal-to-noise ratio (SNR) of 14.7 dB. Finally, the array transducer developed with the acoustic backing having decreased radiopacity exhibited a 56% fractional bandwidth and 10.4 dB single channel SNR, with penetration depth >10 cm in phantom and in vivo imaging using the full array. CONCLUSIONS: The first attempt at developing a CT-compatible ultrasound transducer is described. The developed CT-compatible transducer exhibits improved radiographic compatibility relative to conventional cardiac array transducers with similar SNR, bandwidth, and penetration depth for US imaging, according to phantom and in vivo cardiac imaging. A CT-compatible US transducer might be used to identify cardiac quiescence and prospectively gate CTCA acquisition, reducing challenges associated with current gating approaches, specifically relatively high rates of non-diagnostic scans for prospective ECG gating and high radiation dose for retrospective gating."
2021 Aug,Advanced healthcare materials,Adv Healthc Mater. 2021 Aug;10(15):e2001169. doi: 10.1002/adhm.202001169. Epub ,"['Cetnar, Alexander D', 'Tomov, Martin L', 'Ning, Liqun', 'Jing, Bowen', 'Theus, Andrea S', 'Kumar, Akaash', 'Wijntjes, Amanda N', 'Bhamidipati, Sai Raviteja', 'Do, Katherine Pham', 'Mantalaris, Athanasios', 'Oshinski, John N', 'Avazmohammadi, Reza', 'Lindsey, Brooks D', 'Bauser-Heaton, Holly D', 'Serpooshan, Vahid']","[' bioprinting', 'endothelial cells', 'humans', 'hydrogels', 'perfusion', ' printing, three-dimensional', 'tissue engineering', '3d bioprinting', 'cardiovascular modeling', 'developing human heart', 'embryonic heart', 'fetal left ventricle', 'linear heart tubes']",Patient-Specific 3D Bioprinted Models of Developing Human Heart.,"The heart is the first organ to develop in the human embryo through a series of complex chronological processes, many of which critically rely on the interplay between cells and the dynamic microenvironment. Tight spatiotemporal regulation of these interactions is key in heart development and diseases. Due to suboptimal experimental models, however, little is known about the role of microenvironmental cues in the heart development. This study investigates the use of 3D bioprinting and perfusion bioreactor technologies to create bioartificial constructs that can serve as high-fidelity models of the developing human heart. Bioprinted hydrogel-based, anatomically accurate models of the human embryonic heart tube (e-HT, day 22) and fetal left ventricle (f-LV, week 33) are perfused and analyzed both computationally and experimentally using ultrasound and magnetic resonance imaging. Results demonstrate comparable flow hemodynamic patterns within the 3D space. We demonstrate endothelial cell growth and function within the bioprinted e-HT and f-LV constructs, which varied significantly in varying cardiac geometries and flow. This study introduces the first generation of anatomically accurate, 3D functional models of developing human heart. This platform enables precise tuning of microenvironmental factors, such as flow and geometry, thus allowing the study of normal developmental processes and underlying diseases."
2020 Sep,Medical physics,Med Phys. 2020 Sep;47(9):4450-4464. doi: 10.1002/mp.14390. Epub 2020 Aug 2.,"['Jing, Bowen', 'Kashyap, Esha P', 'Lindsey, Brooks D']","[' contrast media', 'humans', 'phantoms, imaging', 'temporal bone', ' transducers', 'ultrasonography', 'volatilization', 'amplitude modulation pulse inversion', 'phase change contrast agents', 'transcranial ultrasound', 'ultrafast interframe activation ultrasound', 'vaporization detection imaging']",Transcranial activation and imaging of low boiling point phase-change contrast agents through the temporal bone using an ultrafast interframe activation ultrasound sequence.,"PURPOSE: As a cavitation enhancer, low boiling point phase-change contrast agents (PCCA) offer potential for ultrasound-mediated drug delivery in applications including intracerebral hemorrhage or brain tumors. In addition to introducing cavitation, ultrasound imaging also has the ability to provide guidance and monitoring of the therapeutic process by localizing delivery events. However, the highly attenuating skull poses a challenge for achieving an image with useful contrast. In this study, the feasibility of transcranial activation and imaging of low boiling point PCCAs through the human temporal bone was investigated by using a low frequency ultrafast interframe activation ultrasound (UIAU) imaging sequence with singular value decomposition-based denoising. METHODS: Lipid-shelled PCCAs filled with decafluorobutane were activated and imaged at 37°C in tissue-mimicking phantoms both without and with an ex vivo human skull using the new UIAU sequence and a low frequency diagnostic transducer array at frequencies from 1.5 to 3.5 MHz. A singular value decomposition-based denoising filter was developed and used to further enhance transcranial image contrast. The contrast-to-tissue ratio (CTR) and contrast enhancement (CE) of UIAU was quantitatively evaluated and compared with the amplitude modulation pulse inversion (AMPI) and vaporization detection imaging (VDI) approaches. RESULTS: Image results demonstrate enhanced contrast in the phantom channel with suppressed background when the low boiling point PCCA was activated both without and with an ex vivo human skull using the UIAU sequence. Quantitative results show that without the skull, low frequency UIAU imaging provided significantly higher image contrast (CTR ≥ 18.56 dB and CE ≥ 18.66 dB) than that of AMPI and VDI (P < 0.05). Transcranial imaging results indicated that the CE of UIAU (≥18.80 dB) was significantly higher than AMPI for free-field activation pressures of 5 and 6 MPa. The CE of UIAU is also significantly higher than that of VDI when PCCAs were activated at 2.5 MHz and 3 MHz (P < 0.05). The CTR (23.30 [20.07-25.56] dB) of denoised UIAU increased by 12.58 dB relative to the non-denoised case and was significantly higher than that of AMPI at an activation pressure of 4 MPa (P < 0.05). CONCLUSIONS: Results indicate that low boiling point PCCAs can be activated and imaged at low frequencies including imaging through the temporal bone using the UIAU sequence. The UIAU imaging approach provides higher contrast than AMPI and VDI, especially at lower activation pressures with additional removal of electronic noise."
