time,journal,doi_info,authors,key words,title,abstract
2024 Mar 20,Zebrafish,Zebrafish. 2024 Mar 20. doi: 10.1089/zeb.2023.0108.,"['Krueger, Christopher J', 'Dai, Zhifei', 'Zhu, Cheng', 'Zhang, Bo']","['invasive species', 'maternal effect gene', 'population suppression', 'sterile male release technique', 'zebrafish']",Heritable CRISPR Mutagenesis of Essential Maternal Effect Genes as a Simple Tool for Sustained Population Suppression of Invasive Species in a Zebrafish Model.,"Invasive species control is important for ecological and agricultural management. Genetic methods can provide species specificity for population control. We developed heritable maternal effect embryo lethality (HMEL), a novel strategy allowing negative population pressure from HMEL individuals to be transmitted within a population across generations. We demonstrate the HMEL technique in zebrafish through genome-integrated CRISPR/Cas targeted mutagenic disruption of nucleoplasmin 2b (npm2b), a female-specific essential maternal effect gene, causing heritable sex-limited disruption of reproduction. HMEL-induced high-efficiency mutation of npm2b in females suppresses population, while males transmit the HMEL allele across generations. HMEL could be easily modified to target other genes causing sex-specific sterility, or generalized to control invasive fish or other vertebrate species for environmental conservation or agricultural protection."
2024 Mar 4,Nature communications,Nat Commun. 2024 Mar 4;15(1):1975. doi: 10.1038/s41467-024-46250-7.,"['Hua, Xuanwen', 'Han, Keyi', 'Mandracchia, Biagio', 'Radmand, Afsane', 'Liu, Wenhao', 'Kim, Hyejin', 'Yuan, Zhou', 'Ehrlich, Samuel M', 'Li, Kaitao', 'Zheng, Corey', 'Son, Jeonghwan', 'Silva Trenkle, Aaron D', 'Kwong, Gabriel A', 'Zhu, Cheng', 'Dahlman, James E', 'Jia, Shu']","['flow cytometry', ' biological assay', ' biomedical research', 'microfluidics', 'single-cell analysis']","Light-field flow cytometry for high-resolution, volumetric and multiparametric 3D single-cell analysis.","Imaging flow cytometry (IFC) combines flow cytometry and fluorescence microscopy to enable high-throughput, multiparametric single-cell analysis with rich spatial details. However, current IFC techniques remain limited in their ability to reveal subcellular information with a high 3D resolution, throughput, sensitivity, and instrumental simplicity. In this study, we introduce a light-field flow cytometer (LFC), an IFC system capable of high-content, single-shot, and multi-color acquisition of up to 5,750 cells per second with a near-diffraction-limited resolution of 400-600 nm in all three dimensions. The LFC system integrates optical, microfluidic, and computational strategies to facilitate the volumetric visualization of various 3D subcellular characteristics through convenient access to commonly used epi-fluorescence platforms. We demonstrate the effectiveness of LFC in assaying, analyzing, and enumerating intricate subcellular morphology, function, and heterogeneity using various phantoms and biological specimens. The advancement offered by the LFC system presents a promising methodological pathway for broad cell biological and translational discoveries, with the potential for widespread adoption in biomedical research."
2023 Dec 15,iScience,iScience. 2023 Nov 22;26(12):108505. doi: 10.1016/j.isci.2023.108505. eCollection ,"['Liu, Shuai', 'Liu, Zhi-Cui', 'Zhang, Mei-Yu', 'Wang, Shu-Jun', 'Pan, Meng', 'Ji, Ping', 'Zhu, Cheng', 'Lin, Ping', 'Wang, Ying']","['cancer', 'cell biology', 'components of the immune system', 'immunology', 'molecular biology']",ICAM-1 mediated cell-cell adhesion exerts dual roles on human B cell differentiation and IgG production.,"Intercellular adhesion molecule 1 (ICAM-1) plays prominent roles in mediating cell-cell adhesion which also facilitates B cell activation and differentiation with the help from CD4(+) T cells. Here, we have reported a unique phenomenon that increased ICAM-1 on purified human CD4(+) T cells upon anti-CD3/CD28 stimulation enhanced CD4(+) T-B cell adhesion whereas induced less B cell differentiation and IgG production. This was largely due to increased PD-1 expression on CD19(hi) B cells after coculturing with hyperactivated CD4(+) T cells. Consequently, ICAM-1 blockade during CD4(+) T cell-B cell coculture promoted IgG production with the activation of ERK1/2 and Blimp-1/IRF4 upregulation. Consistently, CD4(+) T cells from moderate-to-severe SLE patients with high ICAM-1 expression mediated less IgG production after T-B coculture. Therefore, ICAM-1-mediated human CD4(+) T-B cell adhesion provides dual roles on B cell differentiation and IgG production partially depending on expression levels of PD-1 on B cells, supporting cell adhesion and subsequent PD-1 induction as an alternative intrinsic checkpoint for B cell differentiation."
2024 Jan 9,ACS nano,ACS Nano. 2024 Jan 9;18(1):299-313. doi: 10.1021/acsnano.3c06253. Epub 2023 Dec ,"['Chen, Yunfeng', 'Li, Zhenhai', 'Kong, Fang', 'Ju, Lining Arnold', 'Zhu, Cheng']","[' integrin alpha5beta1 metabolism', ' integrins metabolism', 'molecular dynamics simulation', 'integrin alphavbeta3 metabolism', 'biophysical modeling', 'integrin', 'mechanobiology', 'molecular conformational change', 'molecular dynamics']",Force-Regulated Spontaneous Conformational Changes of Integrins α(5)β(1) and α(V)β(3).,"Integrins are cell surface nanosized receptors crucial for cell motility and mechanosensing of the extracellular environment, which are often targeted for the development of biomaterials and nanomedicines. As a key feature of integrins, their activity, structure and behavior are highly mechanosensitive, which are regulated by mechanical forces down to pico-Newton scale. Using single-molecule biomechanical approaches, we compared the force-modulated ectodomain bending/unbending conformational changes of two integrin species, α(5)β(1) and α(V)β(3). It was found that the conformation of integrin α(5)β(1) is determined by a threshold head-to-tail tension. By comparison, integrin α(V)β(3) exhibits bistability even without force and can spontaneously transition between the bent and extended conformations with an apparent transition time under a wide range of forces. Molecular dynamics simulations observed almost concurrent disruption of ∼2 hydrogen bonds during integrin α(5)β(1) unbending, but consecutive disruption of ∼7 hydrogen bonds during integrin α(V)β(3) unbending. Accordingly, we constructed a canonical energy landscape for integrin α(5)β(1) with a single energy well that traps the integrin in the bent state until sufficient force tilts the energy landscape to allow the conformational transition. In contrast, the energy landscape of integrin α(V)β(3) conformational changes was constructed with hexa-stable intermediate states and intermediate energy barriers that segregate the conformational change process into multiple small steps. Our study elucidates the different biomechanical inner workings of integrins α(5)β(1) and α(V)β(3) at the submolecular level, helps understand their mechanosignaling processes and how their respective functions are facilitated by their distinctive mechanosensitivities, and provides useful design principles for the engineering of protein-based biomechanical nanomachines."
2024 Feb 1,Human molecular genetics,Hum Mol Genet. 2024 Feb 1;33(4):355-373. doi: 10.1093/hmg/ddad188.,"['Allen, James P', 'Garber, Kathryn B', 'Perszyk, Riley', 'Khayat, Cara T', 'Kell, Steven A', 'Kaneko, Maki', 'Quindipan, Catherine', 'Saitta, Sulagna', 'Ladda, Roger L', 'Hewson, Stacy', 'Inbar-Feigenberg, Michal', 'Prasad, Chitra', 'Prasad, Asuri N', 'Olewiler, Leah', 'Mu, Weiyi', 'Rosenthal, Liana S', 'Scala, Marcello', 'Striano, Pasquale', 'Zara, Federico', 'McCullock, Tyler W', 'Jauss, Robin-Tobias', 'Lemke, Johannes R', 'MacLean, David M', 'Zhu, Cheng', 'Yuan, Hongjie', 'Myers, Scott J', 'Traynelis, Stephen F']","['humans', ' central nervous system metabolism', 'mutation', 'protein domains', ' receptors, glutamate metabolism', 'grid1', 'grid2', 'cbln2', 'cbln4', 'glud1', 'glud2', 'cerebellar ataxia', 'cerebellar atrophy', 'delta receptors', 'lurcher', 'schizophrenia']","Clinical features, functional consequences, and rescue pharmacology of missense GRID1 and GRID2 human variants.","GRID1 and GRID2 encode the enigmatic GluD1 and GluD2 proteins, which form tetrameric receptors that play important roles in synapse organization and development of the central nervous system. Variation in these genes has been implicated in neurodevelopmental phenotypes. We evaluated GRID1 and GRID2 human variants from the literature, ClinVar, and clinical laboratories and found that many of these variants reside in intolerant domains, including the amino terminal domain of both GRID1 and GRID2. Other conserved regions, such as the M3 transmembrane domain, show different intolerance between GRID1 and GRID2. We introduced these variants into GluD1 and GluD2 cDNA and performed electrophysiological and biochemical assays to investigate the mechanisms of dysfunction of GRID1/2 variants. One variant in the GRID1 distal amino terminal domain resides at a position predicted to interact with Cbln2/Cbln4, and the variant disrupts complex formation between GluD1 and Cbln2, which could perturb its role in synapse organization. We also discovered that, like the lurcher mutation (GluD2-A654T), other rare variants in the GRID2 M3 domain create constitutively active receptors that share similar pathogenic phenotypes. We also found that the SCHEMA schizophrenia M3 variant GluD1-A650T produced constitutively active receptors. We tested a variety of compounds for their ability to inhibit constitutive currents of GluD receptor variants and found that pentamidine potently inhibited GluD2-T649A constitutive channels (IC50 50 nM). These results identify regions of intolerance to variation in the GRID genes, illustrate the functional consequences of GRID1 and GRID2 variants, and suggest how these receptors function normally and in disease."
2023 Aug 15,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Aug 15:2023.08.13.553152. doi: ,"['Li, Kaitao', 'Cardenas-Lizana, Paul', 'Kellner, Anna V', 'Yuan, Zhou', 'Ahn, Eunseon', 'Lyu, Jintian', 'Li, Zhenhai', 'Salaita, Khalid', 'Ahmed, Rafi', 'Zhu, Cheng']",[],Mechanical force regulates ligand binding and function of PD-1.,"Immune checkpoint blockade targeting PD-1 shows great success in cancer therapy. However, the mechanism of how ligand binding initiates PD-1 signaling remains unclear. As prognosis markers of multiple cancers, soluble PD-L1 is found in patient sera and can bind PD-1, but fails to suppress T cell function. This and our previous observations that T cells exert endogenous forces on PD-1-PD-L2 bonds prompt the hypothesis that mechanical force might be critical to PD-1 triggering, which is missing in the soluble ligand case due to the lack of mechanical support afforded by surface-anchored ligand. Here we show that PD-1 function is eliminated or reduced when mechanical support on ligand is removed or dampened, respectively. Force spectroscopic analysis reveals that PD-1 forms catch bonds with both PD-Ligands <7 pN where force prolongs bond lifetime, but slip bonds >8 pN where force accelerates dissociation. Steered molecular dynamics finds PD-1-PD-L2 complex very sensitive to force due to the two molecules' ""side-to-side"" binding via β sheets. Pulling causes relative rotation and translation between the two molecules by stretching and aligning the complex along the force direction, yielding new atomic contacts not observed in the crystal structure. Compared to wild-type, PD-1 mutants targeting the force-induced new interactions maintain the same binding affinity but display lower rupture force, shorter bond lifetime, reduced tension, and most importantly, impaired capacity to suppress T cell activation. Our results uncover a mechanism for cells to probe the mechanical support of PD-1-PD-Ligand bonds using endogenous forces to regulate PD-1 triggering."
2023 May 5,Nature communications,Nat Commun. 2023 May 5;14(1):2616. doi: 10.1038/s41467-023-38267-1.,"['Choi, Hyun-Kyu', 'Cong, Peiwen', 'Ge, Chenghao', 'Natarajan, Aswin', 'Liu, Baoyu', 'Zhang, Yong', 'Li, Kaitao', 'Rushdi, Muaz Nik', 'Chen, Wei', 'Lou, Jizhong', 'Krogsgaard, Michelle', 'Zhu, Cheng']","[' receptors, antigen, t-cell metabolism', ' signal transduction', 'lymphocyte activation', 'genes, mhc class ii', 'mutagenesis', 'protein binding']",Catch bond models may explain how force amplifies TCR signaling and antigen discrimination.,"The TCR integrates forces in its triggering process upon interaction with pMHC. Force elicits TCR catch-slip bonds with strong pMHCs but slip-only bonds with weak pMHCs. We develop two models and apply them to analyze 55 datasets, demonstrating the models' ability to quantitatively integrate and classify a broad range of bond behaviors and biological activities. Comparing to a generic two-state model, our models can distinguish class I from class II MHCs and correlate their structural parameters with the TCR/pMHC's potency to trigger T cell activation. The models are tested by mutagenesis using an MHC and a TCR mutated to alter conformation changes. The extensive comparisons between theory and experiment provide model validation and testable hypothesis regarding specific conformational changes that control bond profiles, thereby suggesting structural mechanisms for the inner workings of the TCR mechanosensing machinery and plausible explanations of why and how force may amplify TCR signaling and antigen discrimination."
2023 Feb,Life science alliance,Life Sci Alliance. 2022 Nov 21;6(2):e202201388. doi: 10.26508/lsa.202201388. ,"['Mana, Giulia', 'Valdembri, Donatella', 'Askari, Janet A', 'Li, Zhenhai', 'Caswell, Patrick', 'Zhu, Cheng', 'Humphries, Martin J', 'Ballestrem, Christoph', 'Serini, Guido']","[' integrin beta1 metabolism', ' endothelial cells metabolism', 'cell adhesion physiology', 'integrins', 'cluster analysis']",The βI domain promotes active β1 integrin clustering into mature adhesion sites.,"Modulation of integrin function is required in many physiological and pathological settings, such as angiogenesis and cancer. Integrin allosteric changes, clustering, and trafficking cooperate to regulate cell adhesion and motility on extracellular matrix proteins via mechanisms that are partly defined. By exploiting four monoclonal antibodies recognizing distinct conformational epitopes, we show that in endothelial cells (ECs), the extracellular βI domain, but not the hybrid or I-EGF2 domain of active β1 integrins, promotes their FAK-regulated clustering into tensin 1-containing fibrillar adhesions and impairs their endocytosis. In this regard, the βI domain-dependent clustering of active β1 integrins is necessary to favor fibronectin-elicited directional EC motility, which cannot be effectively promoted by β1 integrin conformational activation alone."
2022 Nov 17,Nature communications,Nat Commun. 2022 Nov 17;13(1):7055. doi: 10.1038/s41467-022-34587-w.,"['Rushdi, Muaz Nik', 'Pan, Victor', 'Li, Kaitao', 'Choi, Hyun-Kyu', 'Travaglino, Stefano', 'Hong, Jinsung', 'Griffitts, Fletcher', 'Agnihotri, Pragati', 'Mariuzza, Roy A', 'Ke, Yonggang', 'Zhu, Cheng']","[' receptors, antigen, t-cell metabolism', ' antigens', 'major histocompatibility complex', 'histocompatibility antigens', 'peptides chemistry']",Cooperative binding of T cell receptor and CD4 to peptide-MHC enhances antigen sensitivity.,"Antigen recognition by the T cell receptor (TCR) of CD4(+) T cells can be greatly enhanced by the coreceptor CD4. Yet, understanding of the molecular mechanism is hindered by the ultra-low affinity of CD4 binding to class-II peptide-major histocompatibility complexes (pMHC). Here we show, using two-dimensional (2D) mechanical-based assays, that the affinity of CD4-pMHC interaction is 3-4 logs lower than that of cognate TCR-pMHC interactions, and it is more susceptible to increased dissociation by forces (slip bond). In contrast, CD4 binds TCR-pre-bound pMHC at 3-6 logs higher affinity, forming TCR-pMHC-CD4 tri-molecular bonds that are prolonged by force (catch bond), and modulated by protein mobility on the cell membrane, indicating profound TCR-CD4 cooperativity. Consistent with a tri-crystal structure, using DNA origami as a molecular ruler to titrate spacing between TCR and CD4 we show that 7-nm proximity optimizes TCR-pMHC-CD4 tri-molecular bond formation with pMHC. Our results thus provide deep mechanistic insight into CD4 enhancement of TCR antigen recognition."
2022 Jun,Cells & development,Cells Dev. 2022 Jun;170:203793. doi: 10.1016/j.cdev.2022.203793. Epub 2022 May ,"['Watson, Valencia E', 'Faniel, Makala L', 'Kamili, Nourine A', 'Krueger, Loren D', 'Zhu, Cheng']","[' alopecia areata', 'biophysics', 'hair follicle', 'humans', ' lichen planus pathology', 'alopecia', 'autoimmunity', 'hair loss', 'mechanobiology', 'mechanoimmunology']",Immune-mediated alopecias and their mechanobiological aspects.,"Alopecia is a non-specific term for hair loss clinically diagnosed by the hair loss pattern and histological analysis of patient scalp biopsies. The immune-mediated alopecia subtypes, including alopecia areata, lichen planopilaris, frontal fibrosing alopecia, and central centrifugal cicatricial alopecia, are common, significant forms of alopecia subtypes. For example, alopecia areata is the most common autoimmune disease with a lifetime incidence of approximately 2% of the world's population. In this perspective, we discuss major results from studies of immune-mediated alopecia subtypes. These studies suggest the key event in disease onset as the collapse in immune privilege, which alters the hair follicle microenvironment, e.g., upregulation of major histocompatibility complex molecules and increase of cytokine production, and results in immune cell infiltration, inflammatory responses, and damage of hair follicles. We note that previous studies have established that the hair follicle has a complex mechanical microenvironment, which may regulate the function of not only tissue cells but also immune cell infiltrates. This suggests a potential for mechanobiology to contribute to alopecia research by adding new methods, new approaches, and new ways of thinking, which is missing in the existing literature. To fill this a gap in the alopecia research space, we develop a mechanobiological hypothesis that alterations in the hair follicle microenvironment, specifically in the mechanically responsive tissues and cells, partially due to loss of immune privilege, may be contributors to disease pathology. We further focus our discussion on the potential for applying mechanoimmunology to the study of T cell infiltrates in the hair follicle, as they are considered primary contributors to alopecia pathology. To establish the connection between the mechanoimmunological hypothesis and immune-mediated alopecia subtypes, we discuss what is known about the role of T cells in immune-mediated alopecia subtypes, using the most extensively studied AA as our model."
