time,journal,doi_info,authors,key words,title,abstract
2023 Jul 25,"Plants (Basel, Switzerland)",Plants (Basel). 2023 Jul 25;12(15):2752. doi: 10.3390/plants12152752.,"['Le, Kim-Cuong', 'Johnson, Shannon', 'Aidun, Cyrus K', 'Egertsdotter, Ulrika']","['blueberry', 'micropropagation', 'temporary immersion bioreactor', '‘blue suede™’ (vaccinium hybrid)']",In Vitro Propagation of the Blueberry 'Blue Suede™' (Vaccinium hybrid) in Semi-Solid Medium and Temporary Immersion Bioreactors.,"The production of blueberries for fresh and processed consumption is increasing globally and has more than doubled in the last decade. Blueberry is grown commercially across a variety of climates in over 30 countries. The major classes of plants utilized for the planting and breeding of new cultivars are highbush, lowbush, half-high, Rabbiteye, and Southern highbush. Plants can be propagated by cuttings or in vitro micropropagation techniques. In vitro propagation offers advantages for faster generation of a large number of disease-free plants independent of season. Labor costs for in vitro propagation can be reduced using new cultivation technology and automation. Here, we test and demonstrate successful culture conditions and medium compositions for in vitro initiation, multiplication, and rooting of the Southern highbush cultivar 'Blue Suede™' (Vaccinium hybrid)."
2022 Apr 26,Blood advances,Blood Adv. 2022 Apr 26;6(8):2453-2465. doi: 10.1182/bloodadvances.2021005692.,"['Liu, Zixiang Leonardo', 'Bresette, Christopher', 'Aidun, Cyrus K', 'Ku, David N']","['blood platelets metabolism', 'humans', ' platelet aggregation', 'stress, mechanical', ' thrombosis', 'von willebrand factor metabolism']",SIPA in 10 milliseconds: VWF tentacles agglomerate and capture platelets under high shear.,"Shear-induced platelet aggregation (SIPA) occurs under elevated shear rates (10 000 s-1) found in stenotic coronary and carotid arteries. The pathologically high shear environment can lead to occlusive thrombosis by SIPA from the interaction of nonactivated platelets and von Willebrand factor (VWF) via glycoprotein Ib-A1 binding. This process under high shear rates is difficult to visualize experimentally with concurrent molecular- and cellular-resolutions. To understand this fast bonding, we employ a validated multiscale in silico model incorporating measured molecular kinetics and a thrombosis-on-a-chip device to delineate the flow-mediated biophysics of VWF and platelets assembly into mural microthrombi. We show that SIPA begins with VWF elongation, followed by agglomeration of platelets in the flow by soluble VWF entanglement before mural capture of the agglomerate by immobilized VWF. The entire SIPA process occurs on the order of 10 milliseconds with the agglomerate traveling a lag distance of a few hundred microns before capture, matching in vitro results. Increasing soluble VWF concentration by ∼20 times in silico leads to a ∼2 to 3 times increase in SIPA rates, matching the increase in occlusion rates found in vitro. The morphology of mural aggregates is primarily controlled by VWF molecular weight (length), where normal-length VWF leads to cluster or elongated aggregates and ultra-long VWF leads to loose aggregates seen by others' experiments. Finally, we present phase diagrams of SIPA, which provides biomechanistic rationales for a variety of thrombotic and hemostatic events in terms of platelet agglomeration and capture."
2021 May 7,Journal of biomechanics,J Biomech. 2021 May 7;120:110349. doi: 10.1016/j.jbiomech.2021.110349. Epub 2021 ,"['Liu, Zixiang L', 'Ku, David N', 'Aidun, Cyrus K']","['biophysics', 'blood platelets', 'computer simulation', 'humans', ' platelet aggregation', 'stress, mechanical', ' thrombosis', 'high-shear thrombosis', 'platelet', 'platelet aggregation', 'von willebrand factor']",Mechanobiology of shear-induced platelet aggregation leading to occlusive arterial thrombosis: A multiscale in silico analysis.,"Occlusive thrombosis in arteries causes heart attacks and strokes. The rapid growth of thrombus at elevated shear rates (~10,000 1/s) relies on shear-induced platelet aggregation (SIPA) thought to come about from the entanglement of von Willebrand factor (VWF) molecules. The mechanism for SIPA is not yet understood in terms of cell- and molecule-level dynamics in fast flowing bloodstreams. Towards this end, we develop a multiscale computational model to recreate SIPA in silico, where the suspension dynamics and interactions of individual platelets and VWF multimers are resolved directly. The platelet-VWF interaction via GP1b-A1 bonds is prescribed with intrinsic binding rates theoretically derived and informed by single-molecule measurements. The model is validated against existing microfluidic SIPA experiments, showing good agreement with the in vitro observations in terms of the morphology, traveling distance and capture time of the platelet aggregates. Particularly, the capture of aggregates can occur in a few milliseconds, comparable to the platelet transit time through pathologic arterial stenotic sections and much shorter than the time for shear-induced platelet activation. The multiscale SIPA simulator provides a cross-scale tool for exploring the biophysical mechanisms of SIPA in silico that are difficult to access with single-molecule measurements or micro-/macro-fluidic assays only."
2020 Jul,Physical review. E,Phys Rev E. 2020 Jul;102(1-1):013310. doi: 10.1103/PhysRevE.102.013310.,"['Liu, Zixiang L', 'Clausen, Jonathan R', 'Wagner, Justin L', 'Butler, Kimberly S', 'Bolintineanu, Dan S', 'Lechman, Jeremy B', 'Rao, Rekha R', 'Aidun, Cyrus K']","['erythrocytes  metabolism', 'hemodynamics', 'kinetics', 'microvessels  metabolism', ' models, biological', ' nanoparticles']",Heterogeneous partition of cellular blood-borne nanoparticles through microvascular bifurcations.,"Blood flowing through microvascular bifurcations has been an active research topic for many decades, while the partitioning pattern of nanoscale solutes in the blood remains relatively unexplored. Here we demonstrate a multiscale computational framework for direct numerical simulation of the nanoparticle (NP) partitioning through physiologically relevant vascular bifurcations in the presence of red blood cells (RBCs). The computational framework is established by embedding a particulate suspension inflow-outflow boundary condition into a multiscale blood flow solver. The computational framework is verified by recovering a tubular blood flow without a bifurcation and validated against the experimental measurement of an intravital bifurcation flow. The classic Zweifach-Fung (ZF) effect is shown to be well captured by the method. Moreover, we observe that NPs exhibit a ZF-like heterogeneous partition in response to the heterogeneous partition of the RBC phase. The NP partitioning prioritizes the high-flow-rate daughter branch except for extreme (large or small) suspension flow partition ratios under which the complete phase separation tends to occur. By analyzing the flow field and the particle trajectories, we show that the ZF-like heterogeneity in the NP partition can be explained by the RBC-entrainment effect caused by the deviation of the flow separatrix preceded by the tank treading of RBCs near the bifurcation junction. The recovery of homogeneity in the NP partition under extreme flow partition ratios is due to the plasma skimming of NPs in the cell-free layer. These findings, based on the multiscale computational framework, provide biophysical insights to the heterogeneous distribution of NPs in microvascular beds that are observed pathophysiologically."
2019 Dec,Annals of biomedical engineering,Ann Biomed Eng. 2019 Dec;47(12):2516. doi: 10.1007/s10439-019-02396-w.,"['Mehrabadi, Marmar', 'Casa, Lauren D C', 'Aidun, Cyrus K', 'Ku, David N']",[],Correction to: A Predictive Model of High Shear Thrombus Growth.,"This erratum is to correct the heading of column 2 (titled ""b"") in Table 1, which was missing proper units. The heading for that column was revised to include proper units, reading ""b (× 10(-6) s)""."
2020 Jan,Annals of biomedical engineering,Ann Biomed Eng. 2020 Jan;48(1):169-180. doi: 10.1007/s10439-019-02324-y. Epub ,"['Madukauwa-David, Immanuel David', 'Sadri, Vahid', 'Midha, Prem A', 'Babaliaros, Vasilis', 'Aidun, Cyrus', 'Yoganathan, Ajit P']","['aortic valve  physiology', ' coronary circulation', ' models, cardiovascular', 'thrombosis', 'coronary flow', 'flow stasis', 'neo-sinus', 'particle image velocimetry', 'tavr', 'thrombosis']",An Evaluation of the Influence of Coronary Flow on Transcatheter Heart Valve Neo-Sinus Flow Stasis.,"Transcatheter heart valve (THV) leaflet thrombosis in the neo-sinus and associated reduced leaflet motion is of clinical concern due to risks of embolism and worsened valve hemodynamics. Flow stasis in the neo-sinus (the space between the native and THV leaflets) is a known risk factor, but the role of proximal coronary flow is yet to be investigated. We tested two replicas of FDA approved commercial THVs-intra-annular and supra-annular (similar to the SAPIEN 3 and CoreValve families)-in a left heart simulator with coronary flow. Velocity fields in the left coronary cusp (LCC) and non (NCC) neo-sinus were quantified using high speed particle image velocimetry and particle residence times (PRT) were computed to evaluate flow stasis in the region. The supra-annular THV LCC neo-sinus had shorter PRT than its NCC neo-sinus (0.66 ± 0.00 vs. 0.76 ± 0.04, p = 0.038), while the intra-annular THV LCC neo-sinus had similar PRT to its NCC neo-sinus (1.93 ± 0.05 vs. 1.92 ± 0.03 cycles, p = 0.889). The supra-annular valve LCC and NCC neo-sinuses had shorter PRT than their intra-annular valve counterparts (p < 0.001). These results showed that coronary flow reduces flow stasis in the supra-annular THV neo-sinus and, ostensibly, thrombosis risk in the region. This effect was not significant in the intra-annular valve."
2018,In vitro cellular & developmental biology. Plant : journal of the Tissue Culture ,In Vitro Cell Dev Biol Plant. 2018;54(6):612-620. doi: 10.1007/s11627-018-9911-4. ,"['Mamun, Nazmul H A', 'Aidun, Cyrus K', 'Egertsdotter, Ulrika']","['dispersion', 'norway spruce picea abies (l.) h.karst', 'somatic embryogenesis', 'synchronization', 'yield']",Improved and synchronized maturation of Norway spruce (Picea abies (L.) H.Karst.) somatic embryos in temporary immersion bioreactors.,"Somatic embryogenesis offers many benefits for clonal propagation in large-scale plant production of conifers. A key rate-limiting step is the conversion from early-stage somatic embryos in pro-embryogenic masses (PEMs) to the maturation stage. Immature embryos in PEMs are present at different developmental stages, where some are unable to respond to the maturation treatment, thus limiting yields of mature embryos. Synchronization of early somatic embryo development in PEMs could greatly improve subsequent yields of mature embryos. A temporary immersion bioreactor designed for Norway spruce (Picea abies (L.) H.Karst.) was used in this study. Through a specific system for dispersion, connected tissue of PEMs, composed of immature embryos grown in liquid medium in the temporary immersion bioreactors or on solid medium as a control, was dispersed and redistributed in a more uniform spatial arrangement. It was demonstrated that development of mature embryos could be significantly stimulated by dispersion, compared to controls, in both medium types. Synchronization of maturation was evaluated by a statistical approach. The present study shows that the yield of mature embryos from dispersed PEMs was three to five times higher than that from non-dispersed controls in three of four cell lines of Norway spruce tested, both in bioreactors and on solid medium."
2018 Jul,Biomicrofluidics,Biomicrofluidics. 2018 May 29;12(4):042210. doi: 10.1063/1.5025349. eCollection ,"['Griffin, Michael T', 'Zhu, Yuanzheng', 'Liu, Zixiang', 'Aidun, Cyrus K', 'Ku, David N']",[],Inhibition of high shear arterial thrombosis by charged nanoparticles.,"Platelet accumulation under high shear rates at the site of atherosclerotic plaque rupture leads to myocardial infarction and stroke. Current antiplatelet therapies remain ineffective within a large percentage of the population, while presenting significant risks for bleeding. We explore a novel way to inhibit arterial thrombus formation by biophysical means without the use of platelet inactivating drugs. Our computational multi-scale dynamics model has predicted that charged particles of a specific size may entangle von Willebrand Factor (vWF) polymers and reduce the amount of elongation at high shear rates. We tested this hypothesis experimentally for negatively charged nanoparticles (CNP) to inhibit arterial thrombus formation. CNP of a particular size and charge inhibited thrombus formation, with a 10-fold peak inhibition over control conditions of thrombotic occlusion. Particles of differing material composition, size, and charge had little effect as predicted by computational studies. Surprisingly, the dose response curve was not sigmoidal, but exhibited a peak at 1.5 CNP:vWF proteins, which was not predicted by the model. This study describes a new antithrombotic agent that may have a different mechanism of action than current pharmaceutical therapies."
2018 Jun 1,Journal of biomechanical engineering,J Biomech Eng. 2018 Jun 1;140(6). doi: 10.1115/1.4039897.,"['Ahmed, Faisal', 'Mehrabadi, Marmar', 'Liu, Zixiang', 'Barabino, Gilda A', 'Aidun, Cyrus K']","[' erythrocyte deformability', 'erythrocytes  cytology', 'hematocrit', ' lab-on-a-chip devices', ' viscosity']",Internal Viscosity-Dependent Margination of Red Blood Cells in Microfluidic Channels.,"Cytoplasmic viscosity-dependent margination of red blood cells (RBC) for flow inside microchannels was studied using numerical simulations, and the results were verified with microfluidic experiments. Wide range of suspension volume fractions or hematocrits was considered in this study. Lattice Boltzmann method for fluid-phase coupled with spectrin-link method for RBC membrane deformation was used for accurate analysis of cell margination. RBC margination behavior shows strong dependence on the internal viscosity of the RBCs. At equilibrium, RBCs with higher internal viscosity marginate closer to the channel wall and the RBCs with normal internal viscosity migrate to the central core of the channel. Same margination pattern has been verified through experiments conducted with straight channel microfluidic devices. Segregation between RBCs of different internal viscosity is enhanced as the shear rate and the hematocrit increases. Stronger separation between normal RBCs and RBCs with high internal viscosity is obtained as the width of a high aspect ratio channel is reduced. Overall, the margination behavior of RBCs with different internal viscosities resembles with the margination behavior of RBCs with different levels of deformability. Observations from this work will be useful in designing microfluidic devices for separating the subpopulations of RBCs with different levels of deformability that appear in many hematologic diseases such as sickle cell disease (SCD), malaria, or cancer."
2017 Jul,Physical review. E,Phys Rev E. 2017 Jul;96(1-1):013109. doi: 10.1103/PhysRevE.96.013109. Epub 2017 ,"['Rosén, Tomas', 'Kotsubo, Yusuke', 'Aidun, Cyrus K', 'Do-Quang, Minh', 'Lundell, Fredrik']",[],Orientational dynamics of a triaxial ellipsoid in simple shear flow: Influence of inertia.,"The motion of a single ellipsoidal particle in simple shear flow can provide valuable insights toward understanding suspension flows with nonspherical particles. Previously, extensive studies have been performed on the ellipsoidal particle with rotational symmetry, a so-called spheroid. The nearly prolate ellipsoid (one major and two minor axes of almost equal size) is known to perform quasiperiodic or even chaotic orbits in the absence of inertia. With small particle inertia, the particle is also known to drift toward this irregular motion. However, it is not previously understood what effects from fluid inertia could be, which is of highest importance for particles close to neutral buoyancy. Here, we find that fluid inertia is acting strongly to suppress the chaotic motion and only very weak fluid inertia is sufficient to stabilize a rotation around the middle axis. The mechanism responsible for this transition is believed to be centrifugal forces acting on fluid, which is dragged along with the rotational motion of the particle. With moderate fluid inertia, it is found that nearly prolate triaxial particles behave similarly to the perfectly spheroidal particles. Finally, we also are able to provide predictions about the stable rotational states for the general triaxial ellipsoid in simple shear with weak inertia."
