time,journal,doi_info,authors,key words,title,abstract
2024 Jun 11,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2024 Jun 11;121(24):e2320517121. doi: ,"['Rieser, Jennifer M', 'Chong, Baxi', 'Gong, Chaohui', 'Astley, Henry C', 'Schiebel, Perrin E', 'Diaz, Kelimar', 'Pierce, Christopher J', 'Lu, Hang', 'Hatton, Ross L', 'Choset, Howie', 'Goldman, Daniel I']","['animals', ' locomotion physiology', ' lizards physiology', 'snakes physiology', 'biomechanical phenomena', 'models, biological', 'geometric phase', 'locomotion', 'physics of living systems']",Geometric phase predicts locomotion performance in undulating living systems across scales.,"Self-propelling organisms locomote via generation of patterns of self-deformation. Despite the diversity of body plans, internal actuation schemes and environments in limbless vertebrates and invertebrates, such organisms often use similar traveling waves of axial body bending for movement. Delineating how self-deformation parameters lead to locomotor performance (e.g. speed, energy, turning capabilities) remains challenging. We show that a geometric framework, replacing laborious calculation with a diagrammatic scheme, is well-suited to discovery and comparison of effective patterns of wave dynamics in diverse living systems. We focus on a regime of undulatory locomotion, that of highly damped environments, which is applicable not only to small organisms in viscous fluids, but also larger animals in frictional fluids (sand) and on frictional ground. We find that the traveling wave dynamics used by mm-scale nematode worms and cm-scale desert dwelling snakes and lizards can be described by time series of weights associated with two principal modes. The approximately circular closed path trajectories of mode weights in a self-deformation space enclose near-maximal surface integral (geometric phase) for organisms spanning two decades in body length. We hypothesize that such trajectories are targets of control (which we refer to as ""serpenoid templates""). Further, the geometric approach reveals how seemingly complex behaviors such as turning in worms and sidewinding snakes can be described as modulations of templates. Thus, the use of differential geometry in the locomotion of living systems generates a common description of locomotion across taxa and provides hypotheses for neuromechanical control schemes at lower levels of organization."
2024 Feb 23,Physical review letters,Phys Rev Lett. 2024 Feb 23;132(8):084001. doi: 10.1103/PhysRevLett.132.084001.,"['Tarr, Steven W', 'Brunner, Joseph S', 'Soto, Daniel', 'Goldman, Daniel I']",[],Probing Hydrodynamic Fluctuation-Induced Forces with an Oscillating Robot.,"We study the dynamics of an oscillating, free-floating robot that generates radially expanding gravity-capillary waves at a fluid surface. In open water, the device does not self-propel; near a rigid boundary, it can be attracted or repelled. Visualization of the wave field dynamics reveals that when near a boundary, a complex interference of generated and reflected waves induces a wave amplitude fluctuation asymmetry. Attraction increases as wave frequency increases or robot-boundary separation decreases. Theory on confined gravity-capillary wave radiation dynamics developed by Hocking in the 1980s captures the observed parameter dependence due to these ""Hocking fields."" The flexibility of the robophysical system allows detailed characterization and analysis of locally generated nonequilibrium fluctuation-induced forces [M. Kardar and R. Golestanian, Rev. Mod. Phys. 71, 1233 (1999)RMPHAT0034-686110.1103/RevModPhys.71.1233]."
2024 Jan 24,Science robotics,Sci Robot. 2024 Jan 24;9(86):eadn6035. doi: 10.1126/scirobotics.adn6035. Epub ,"['Goldman, Daniel I', 'Zeb Rocklin, D']",[],Robot swarms meet soft matter physics.,Principles of soft matter physics can be leveraged to develop swarms of active robots with unique properties.
2023,PloS one,PLoS One. 2023 Dec 21;18(12):e0295823. doi: 10.1371/journal.pone.0295823. ,"['Rajanala, Aradhya', 'Taylor, Isaiah W', 'McCaskey, Erin', 'Pierce, Christopher', 'Ligon, Jason', 'Aydin, Enes', 'Hunner, Carrie', 'Carmichael, Amanda', 'Eserman, Lauren', 'Coffee, Emily E D', 'Mijar, Anupam', 'Shah, Milan', 'Benfey, Philip N', 'Goldman, Daniel I']","['plant roots', ' robotics', ' oryza', 'montana']",The rhizodynamics robot: Automated imaging system for studying long-term dynamic root growth.,"The study of plant root growth in real time has been difficult to achieve in an automated, high-throughput, and systematic fashion. Dynamic imaging of plant roots is important in order to discover novel root growth behaviors and to deepen our understanding of how roots interact with their environments. We designed and implemented the Generating Rhizodynamic Observations Over Time (GROOT) robot, an automated, high-throughput imaging system that enables time-lapse imaging of 90 containers of plants and their roots growing in a clear gel medium over the duration of weeks to months. The system uses low-cost, widely available materials. As a proof of concept, we employed GROOT to collect images of root growth of Oryza sativa, Hudsonia montana, and multiple species of orchids including Platanthera integrilabia over six months. Beyond imaging plant roots, our system is highly customizable and can be used to collect time- lapse image data of different container sizes and configurations regardless of what is being imaged, making it applicable to many fields that require longitudinal time-lapse recording."
2023 Dec 20,Science robotics,Sci Robot. 2023 Dec 20;8(85):eadi2243. doi: 10.1126/scirobotics.adi2243. Epub ,"['Wang, Tianyu', 'Pierce, Christopher', 'Kojouharov, Velin', 'Chong, Baxi', 'Diaz, Kelimar', 'Lu, Hang', 'Goldman, Daniel I']","['animals', ' caenorhabditis elegans', ' robotics', 'locomotion', 'snakes', 'biomechanical phenomena']",Mechanical intelligence simplifies control in terrestrial limbless locomotion.,"Limbless locomotors, from microscopic worms to macroscopic snakes, traverse complex, heterogeneous natural environments typically using undulatory body wave propagation. Theoretical and robophysical models typically emphasize body kinematics and active neural/electronic control. However, we contend that because such approaches often neglect the role of passive, mechanically controlled processes (those involving ""mechanical intelligence""), they fail to reproduce the performance of even the simplest organisms. To uncover principles of how mechanical intelligence aids limbless locomotion in heterogeneous terradynamic regimes, here we conduct a comparative study of locomotion in a model of heterogeneous terrain (lattices of rigid posts). We used a model biological system, the highly studied nematode worm Caenorhabditis elegans, and a robophysical device whose bilateral actuator morphology models that of limbless organisms across scales. The robot's kinematics quantitatively reproduced the performance of the nematodes with purely open-loop control; mechanical intelligence simplified control of obstacle navigation and exploitation by reducing the need for active sensing and feedback. An active behavior observed in C. elegans, undulatory wave reversal upon head collisions, robustified locomotion via exploitation of the systems' mechanical intelligence. Our study provides insights into how neurally simple limbless organisms like nematodes can leverage mechanical intelligence via appropriately tuned bilateral actuation to locomote in complex environments. These principles likely apply to neurally more sophisticated organisms and also provide a design and control paradigm for limbless robots for applications like search and rescue and planetary exploration."
2023 Dec 7,Scientific reports,Sci Rep. 2023 Dec 7;13(1):21589. doi: 10.1038/s41598-023-46718-4.,"['Li, Shengkai', 'Gynai, Hussain N', 'Tarr, Steven W', 'Alicea-Muñoz, Emily', 'Laguna, Pablo', 'Li, Gongjie', 'Goldman, Daniel I']",[],A robophysical model of spacetime dynamics.,"Systems consisting of spheres rolling on elastic membranes have been used to introduce a core conceptual idea of General Relativity: how curvature guides the movement of matter. However, such schemes cannot accurately represent relativistic dynamics in the laboratory because of the dominance of dissipation and external gravitational fields. Here we demonstrate that an ""active"" object (a wheeled robot), which moves in a straight line on level ground and can alter its speed depending on the curvature of the deformable terrain it moves on, can exactly capture dynamics in curved relativistic spacetimes. Via the systematic study of the robot's dynamics in the radial and orbital directions, we develop a mapping of the emergent trajectories of a wheeled vehicle on a spandex membrane to the motion in a curved spacetime. Our mapping demonstrates how the driven robot's dynamics mix space and time in a metric, and shows how active particles do not necessarily follow geodesics in the real space but instead follow geodesics in a fiducial spacetime. The mapping further reveals how parameters such as the membrane elasticity and instantaneous speed allow the programming of a desired spacetime, such as the Schwarzschild metric near a non-rotating blackhole. Our mapping and framework facilitate creation of a robophysical analog to a general relativistic system in the laboratory at low cost that can provide insights into active matter in deformable environments and robot exploration in complex landscapes."
2023 Dec,Nature materials,Nat Mater. 2023 Dec;22(12):1453-1462. doi: 10.1038/s41563-023-01589-y. Epub 2023 ,"['Liu, Albert Tianxiang', 'Hempel, Marek', 'Yang, Jing Fan', 'Brooks, Allan M', 'Pervan, Ana', 'Koman, Volodymyr B', 'Zhang, Ge', 'Kozawa, Daichi', 'Yang, Sungyun', 'Goldman, Daniel I', 'Miskin, Marc Z', 'Richa, Andréa W', 'Randall, Dana', 'Murphey, Todd D', 'Palacios, Tomás', 'Strano, Michael S']",[],Colloidal robotics.,"Robots have components that work together to accomplish a task. Colloids are particles, usually less than 100 µm, that are small enough that they do not settle out of solution. Colloidal robots are particles capable of functions such as sensing, computation, communication, locomotion and energy management that are all controlled by the particle itself. Their design and synthesis is an emerging area of interdisciplinary research drawing from materials science, colloid science, self-assembly, robophysics and control theory. Many colloidal robot systems approach synthetic versions of biological cells in autonomy and may find ultimate utility in bringing these specialized functions to previously inaccessible locations. This Perspective examines the emerging literature and highlights certain design principles and strategies towards the realization of colloidal robots."
2023,Frontiers in physics,Front Phys. 2023;11:1142004. doi: 10.3389/fphy.2023.1142004. Epub 2023 Jun 29.,"['Karsai, Andras', 'Cassidy, Grace J', 'Rajanala, Aradhya P', 'Yang, Lixinhao', 'Kerimoglu, Deniz', 'Gumbart, James C', 'Kim, Harold D', 'Goldman, Daniel I']","['3d printing', 'discrete element methods', 'experimental methods', 'fluidized beds', 'granular media', 'polymer physics']",Toward a 3D physical model of diffusive polymer chains.,"Recent studies in polymer physics have created macro-scale analogs to solute microscopic polymer chains like DNA by inducing diffusive motion on a chain of beads. These bead chains have persistence lengths of O(10) links and undergo diffusive motion under random fluctuations like vibration. We present a bead chain model within a new stochastic forcing system: an air fluidizing bed of granular media. A chain of spherical 6 mm resin beads crimped onto silk thread are buffeted randomly by the multiphase flow of grains and low density rising air ""bubbles"". We ""thermalize"" bead chains of various lengths at different fluidizing airflow rates, while X-ray imaging captures a projection of the chains' dynamics within the media. With modern 3D printing techniques, we can better represent complex polymers by geometrically varying bead connections and their relative strength, e.g., mimicking the variable stiffness between adjacent nucleotide pairs of DNA. We also develop Discrete Element Method (DEM) simulations to study the 3D motion of the bead chain, where the bead chain is represented by simulated spherical particles connected by linear and angular spring-like bonds. In experiment, we find that the velocity distributions of the beads follow exponential distributions rather than the Gaussian distributions expected from polymers in solution. Through use of the DEM simulation, we find that this difference can likely be attributed to the distributions of the forces imparted onto the chain from the fluidized bed environment. We anticipate expanding this study in the future to explore a wide range of chain composition and confinement geometry, which will provide insights into the physics of large biopolymers."
2023 Jun 14,Soft matter,Soft Matter. 2023 Jun 14;19(23):4204-4207. doi: 10.1039/d3sm00171g.,"['Levine, Herbert', 'Goldman, Daniel I']",[],Physics of smart active matter: integrating active matter and control to gain insights into living systems.,"We offer our opinion on the benefits of integration of insights from active matter physics with principles of regulatory interactions and control to develop a field we term ""smart active matter"". This field can provide insight into important principles in living systems as well as aid engineering of responsive, robust and functional collectives."
2023 May,"Journal of the Royal Society, Interface",J R Soc Interface. 2023 May;20(202):20220597. doi: 10.1098/rsif.2022.0597. Epub ,"['Avinery, Ram', 'Aina, Kehinde O', 'Dyson, Carl J', 'Kuan, Hui-Shun', 'Betterton, Meredith D', 'Goodisman, Michael A D', 'Goldman, Daniel I']","['humans', 'animals', ' ants physiology', 'cues', 'nesting behavior physiology', 'time factors', 'behavioural model', 'cellular automata', 'excavation dynamics', 'fire ants']",Agitated ants: regulation and self-organization of incipient nest excavation via collisional cues.,"Ants are millimetres in scale yet collectively create metre-scale nests in diverse substrates. To discover principles by which ant collectives self-organize to excavate crowded, narrow tunnels, we studied incipient excavation in small groups of fire ants in quasi-two-dimensional arenas. Excavation rates displayed three stages: initially excavation occurred at a constant rate, followed by a rapid decay, and finally a slower decay scaling in time as t(-1/2). We used a cellular automata model to understand such scaling and motivate how rate modulation emerges without global control. In the model, ants estimated their collision frequency with other ants, but otherwise did not communicate. To capture early excavation rates, we introduced the concept of 'agitation'-a tendency of individuals to avoid rest if collisions are frequent. The model reproduced the observed multi-stage excavation dynamics; analysis revealed how parameters affected features of multi-stage progression. Moreover, a scaling argument without ant-ant interactions captures tunnel growth power-law at long times. Our study demonstrates how individual ants may use local collisional cues to achieve functional global self-organization. Such contact-based decisions could be leveraged by other living and non-living collectives to perform tasks in confined and crowded environments."
