time,journal,doi_info,authors,key words,title,abstract
2024 Jun 11,Journal of breath research,J Breath Res. 2024 Jun 11. doi: 10.1088/1752-7163/ad56bc.,"['Tolle, James', 'Jadhao, Samadhan', 'Patel, Brijesh', 'Sun, Heying', 'Eastman, Susan', 'Hartert, Tina', 'Ku, David N', 'Anderson, Larry']","['cystic fibrosis', 'lung infection', 'respiratory droplets']",Detection of pathogenic bacteria and biomarkers in lung specimens from cystic fibrosis patients.,"Diagnosing lung infections is often challenging because of the lack of a high-quality specimen from the diseased lung. Since persons with cystic fibrosis are subject to chronic lung infection, there is frequently a need for a lung specimen. In this small, proof of principle study, we determined that PneumoniaCheckTM, a non-invasive device that captures coughed droplets from the lung on a filter, might help meet this need. We obtained 10 PneumoniaCheckTM coughed specimens and 2 sputum specimens from adult CF patients hospitalized with an exacerbation of their illness. We detected amylase (upper respiratory tract) with an enzymatic assay, surfactant A (lower respiratory tract) with an immunoassay, pathogenic bacteria by PCR, and markers of inflammation by a Luminex multiplex immunoassay. The amylase and surfactant A levels suggested that 9/10 coughed specimens were from lower respiratory tract with minimal upper respiratory contamination. The PCR assays detected pathogenic bacteria in 7 of 9 specimens and multiplex Luminex assay detected a variety of cytokines or chemokines. These data indicate that the PneumoniaCheckTM coughed specimens can capture good quality lower respiratory tract specimens that have the potential to help in diagnosis, management and understanding of CF exacerbations and other lung disease."
2024 May 20,Scientific reports,Sci Rep. 2024 May 20;14(1):11460. doi: 10.1038/s41598-024-62165-1.,"['Kim, Dongjune A', 'Ku, David N']","[' platelet aggregation', ' blood coagulation', 'humans', ' thrombosis pathology', 'shear strength', 'hemodynamics', 'elastic modulus', 'blood platelets metabolism', 'stress, mechanical']",Material strengths of shear-induced platelet aggregation clots and coagulation clots.,"Arterial occlusion by thrombosis is the immediate cause of some strokes, heart attacks, and peripheral artery disease. Most prior studies assume that coagulation creates the thrombus. However, a contradiction arises as whole blood (WB) clots from coagulation are too weak to stop arterial blood pressures (> 150 mmHg). We measure the material mechanical properties of elasticity and ultimate strength for Shear-Induced Platelet Aggregation (SIPA) type clots, that form under stenotic arterial hemodynamics in comparison with coagulation clots. The ultimate strength of SIPA clots averaged 4.6 ± 1.3 kPa, while WB coagulation clots had a strength of 0.63 ± 0.3 kPa (p < 0.05). The elastic modulus of SIPA clots was 3.8 ± 1.5 kPa at 1 Hz and 0.5 mm displacement, or 2.8 times higher than WB coagulation clots (1.3 ± 1.2 kPa, p < 0.0001). This study shows that the SIPA thrombi, formed quickly under high shear hemodynamics, is seven-fold stronger and three-fold stiffer compared to WB coagulation clots. A force balance calculation shows a SIPA clot has the strength to resist arterial pressure with a short length of less than 2 mm, consistent with coronary pathology."
2024 May,The International journal of artificial organs,Int J Artif Organs. 2024 May;47(5):347-355. doi: 10.1177/03913988241252255. Epub ,"['Bresette, Christopher A', 'Shea, Susan M', 'Wagoner, Scott', 'Bakshi, Saagar', 'Deshpande, Shriprasad R', 'Maher, Kevin O', 'Ku, David N']","[' extracorporeal membrane oxygenation instrumentation', 'animals', ' thrombosis etiology prevention & control', ' goats', ' equipment design', 'disease models, animal', 'blood coagulation', 'extracorporeal membrane oxygenation', 'animal model', 'blood', 'pediatric', 'thrombosis']",Novel tubing connectors reduce ECMO circuit thrombosis.,"BACKGROUND: Thrombosis within extracorporeal membrane oxygenation (ECMO) circuits is a common complication that dominates clinical management of patients receiving mechanical circulatory support. Prior studies have identified that over 80% of circuit thrombosis can be attributed to tubing-connector junctions. METHODS: A novel connector was designed that reduces local regions of flow stagnation at the tubing-connector junction to eliminate a primary source of ECMO circuit thrombi. To compare clotting between the novel connectors and the traditional connectors, both in vitro loops and an in vivo caprine model of long-term (48 h) ECMO were used to generate tubing-connector junction clots. RESULTS: In vitro, the traditional connectors uniformly (9/9) formed large thrombi, while novel connectors formed a small thrombus in only one of nine (p < 0.0001). In the long-term goat ECMO circuits, the traditional connectors exhibited more thrombi (p < 0.04), and these thrombi were more likely to protrude into the lumen of the tubing (p < 0.001). CONCLUSION: Both in vitro and in vivo validation experiments successfully recreated circuit thrombosis and demonstrate that the adoption of novel connectors can reduce the burden of circuit thrombosis."
2024 Apr 11,Research square,Res Sq [Preprint]. 2024 Apr 11:rs.3.rs-4106141. doi: 10.21203/rs.3.rs-4106141/v1.,"['Chiyaka, Tinaye L', 'Nyawo, Georgina R', 'Naidoo, Charissa', 'Moodley, Suventha', 'Clemente, Jose C', 'Malherbe, Stephanus T', 'Warren, Robin', 'Ku, David', 'Segal, Leopoldo N', 'Theron, Grant']","['aerosols', 'microbiota', 'pneumoniacheck', 'tuberculosis', 'xpert mtb rif ultra']",A novel aerosol collection method shows the cough aeromicrobiome of people with tuberculosis is phylogenetically distinct from respiratory tract specimens.,"BACKGROUND: Tuberculosis (TB), a major cause of disease and antimicrobial resistance, is spread via aerosols. Aerosols have diagnostic potential and airborne-microbes other than Mycobacterium tuberculosis complex (MTBC) may influence transmission. We evaluated whether PneumoniaCheck (PMC), a commercial aerosol collection device, captures MTBC and the aeromicrobiome of people with TB. METHODS: PMC was done in sputum culture-positive people (≥30 forced coughs each, n=16) pre-treatment and PMC air reservoir (bag, corresponding to upper airways) and filter (lower airways) washes underwent Xpert MTB/RIF Ultra (Ultra) and 16S rRNA gene sequencing (sequencing also done on sputum). In a subset (n=6), PMC microbiota (bag, filter) was compared to oral washes and bronchoalveolar lavage fluid (BALF). FINDINGS: 54% (7/13) bags and 46% (6/14) filters were Ultra-positive. Sequencing read counts and microbial diversity did not differ across bags, filters, and sputum. However, microbial composition in bags (Sphingobium-, Corynebacterium-, Novosphingobium-enriched) and filters (Mycobacterium-, Sphingobium-, Corynebacterium-enriched) each differed vs. sputum. Furthermore, sequencing only detected Mycobacterium in bags and filters but not sputum. In the subset, bag and filter microbial diversity did not differ vs. oral washes or BALF but microbial composition differed. Bags vs. BALF were Sphingobium-enriched and Mycobacterium-, Streptococcus-, and Anaerosinus-depleted (Anaerosinus also depleted in filters vs. BALF). Compared to BALF, none of the aerosol-enriched taxa were enriched in oral washes or sputum. INTERPRETATION: PMC captures aerosols with Ultra-detectable MTBC and MTBC is more detectable in aerosols than sputum by sequencing. The aeromicrobiome is distinct from sputum, oral washes and BALF and contains differentially-enriched lower respiratory tract microbes."
2024 Feb,"Arteriosclerosis, thrombosis, and vascular biology",Arterioscler Thromb Vasc Biol. 2024 Feb;44(2):e39-e53. doi: ,"['Bresette, Christopher A', 'Ashworth, Katrina J', 'Di Paola, Jorge', 'Ku, David N']","['mice', 'humans', 'animals', 'platelet aggregation inhibitors pharmacology', 'acetylcysteine pharmacology', ' thrombosis chemically induced prevention & control drug therapy', 'platelet aggregation', 'blood platelets metabolism', ' thromboembolism', 'hemorrhage metabolism', 'von willebrand factor metabolism', 'arterial occlusion', 'bleeding time', 'mice', 'microfluidics', 'platelet aggregation', 'thrombosis', 'von willebrand factor']",N-Acetyl Cysteine Prevents Arterial Thrombosis in a Dose-Dependent Manner In Vitro and in Mice.,"BACKGROUND: Platelet-rich thrombi occlude arteries causing fatal infarcts like heart attacks and strokes. Prevention of thrombi by current antiplatelet agents can cause major bleeding. Instead, we propose using N-acetyl cysteine (NAC) to act against the protein VWF (von Willebrand factor), and not platelets, to prevent arterial thrombi from forming. METHODS: NAC was assessed for its ability to prevent arterial thrombosis by measuring platelet accumulation rate and occlusion time using a microfluidic model of arterial thrombosis with human blood. Acute clot formation, clot stability, and tail bleeding were measured in vivo with the murine modified Folts model. The effect of NAC in the murine model after 6 hours was also measured to determine any persistent effects of NAC after it has been cleared from the blood. RESULTS: We demonstrate reduction of thrombi formation following treatment with NAC in vitro and in vivo. Human whole blood treated with 3 or 5 mmol/L NAC showed delayed thrombus formation 2.0× and 3.7× longer than control, respectively (P<0.001). Blood treated with 10 mmol/L NAC did not form an occlusive clot, and no macroscopic platelet aggregation was visible (P<0.001). In vivo, a 400-mg/kg dose of NAC prevented occlusive clots from forming in mice without significantly affecting tail bleeding times. A lower dose of NAC significantly reduced clot stability. Mice given multiple injections showed that NAC has a lasting and cumulative effect on clot stability, even after being cleared from the blood (P<0.001). CONCLUSIONS: Both preclinical models demonstrate that NAC prevents thrombus formation in a dose-dependent manner without significantly affecting bleeding time. This work highlights a new pathway for preventing arterial thrombosis, different from antiplatelet agents, using an amino acid derivative as an antithrombotic therapeutic."
2023 Apr 7,Science advances,Sci Adv. 2023 Apr 7;9(14):eade4962. doi: 10.1126/sciadv.ade4962. Epub 2023 Apr 7.,"['Mannino, Robert G', 'Nehl, Eric J', 'Farmer, Sarah', 'Peagler, Amanda Foster', 'Parsell, Maren C', 'Claveria, Viviana', 'Ku, David', 'Gottfried, David S', 'Chen, Hang', 'Lam, Wilbur A', 'Brand, Oliver']","['humans', 'united states', ' covid-19 diagnosis epidemiology', 'clinical laboratory techniques', 'sars-cov-2', 'covid-19 testing', 'point-of-care testing']",The critical role of engineering in the rapid development of COVID-19 diagnostics: Lessons from the RADx Tech Test Verification Core.,"Engineering plays a critical role in the development of medical devices, and this has been magnified since 2020 as severe acute respiratory syndrome coronavirus 2 swept over the globe. In response to the coronavirus disease 2019, the National Institutes of Health launched the Rapid Acceleration of Diagnostics (RADx) initiative to help meet the testing needs of the United States and effectively manage the pandemic. As the Engineering and Human Factors team for the RADx Tech Test Verification Core, we directly assessed more than 30 technologies that ultimately contributed to an increase of the country's total testing capacity by 1.7 billion tests to date. In this review, we present central lessons learned from this ""apples-to-apples"" comparison of novel, rapidly developed diagnostic devices. Overall, the evaluation framework and lessons learned presented in this review may serve as a blueprint for engineers developing point-of-care diagnostics, leaving us better prepared to respond to the next global public health crisis rapidly and effectively."
2022 May 23,Cell reports methods,Cell Rep Methods. 2022 May 23;2(5):100222. doi: 10.1016/j.crmeth.2022.100222. ,"['Farmer, Sarah', 'Razin, Victoria', 'Peagler, Amanda Foster', 'Strickler, Samantha', 'Fain, W Bradley', 'Damhorst, Gregory L', 'Kempker, Russell R', 'Pollock, Nira R', 'Brand, Oliver', 'Seitter, Brooke', 'Heilman, Stacy S', 'Nehl, Eric J', 'Levy, Joshua M', 'Gottfried, David S', 'Martin, Greg S', 'Greenleaf, Morgan', 'Ku, David N', 'Waggoner, Jesse J', 'Iffrig, Elizabeth', 'Mannino, Robert G', 'F Wang, Yun', 'Ortlund, Eric', 'Sullivan, Julie', 'Rebolledo, Paulina A', 'Clavería, Viviana', 'Roback, John D', 'Benoit, MacArthur', 'Stone, Cheryl', 'Esper, Annette', 'Frank, Filipp', 'Lam, Wilbur A']","['female', 'humans', ' covid-19 diagnosis', 'pandemics', 'sars-cov-2 genetics', 'point-of-care testing', 'point-of-care systems', 'covid-19', 'human factors', 'point-of-care diagnostics', 'usability']",Don't forget about human factors: Lessons learned from COVID-19 point-of-care testing.,"During the COVID-19 pandemic, the development of point-of-care (POC) diagnostic testing accelerated in an unparalleled fashion. As a result, there has been an increased need for accurate, robust, and easy-to-use POC testing in a variety of non-traditional settings (i.e., pharmacies, drive-thru sites, schools). While stakeholders often express the desire for POC technologies that are ""as simple as digital pregnancy tests,"" there is little discussion of what this means in regards to device design, development, and assessment. The design of POC technologies and systems should take into account the capabilities and limitations of the users and their environments. Such ""human factors"" are important tenets that can help technology developers create POC technologies that are effective for end-users in a multitude of settings. Here, we review the core principles of human factors and discuss lessons learned during the evaluation process of SARS-CoV-2 POC testing."
2022 Apr 12,Lab on a chip,Lab Chip. 2022 Apr 12;22(8):1469-1473. doi: 10.1039/d2lc00081d.,"['Greenleaf, Morgan N', 'Damhorst, Gregory L', 'Ku, David N', 'Nehl, Eric J', 'Tyburski, Erika A', 'Brand, Oliver', 'Martin, Greg S', 'Lam, Wilbur A']","['biotechnology', ' covid-19 diagnosis', 'humans', 'microfluidics', ' pandemics', 'sars-cov-2']",Designing for simplicity: lessons from Mesa Biotech for microfluidic entrepreneurs and early-stage companies.,"The COVID-19 pandemic has proven the need for point-of-care diagnosis of respiratory diseases and microfluidic technology has risen to the occasion. Mesa Biotech (San Diego, CA) originally developed the Accula platform for the diagnosis of influenza A and B and then extended the platform to SARS-CoV-2. Mesa Biotech has experienced tremendous success, culminating in acquisition by Thermo Fisher for up to $550m USD. The Accula microfluidics platform accomplished the leap from the lab to commercial product through clever design and engineering choices. Through information obtained from interviews with key Mesa Biotech leaders and publicly-available documents, we describe the keys to Mesa's success and how they might inform other lab-on-a-chip companies."
2022 May 10,Blood advances,Blood Adv. 2022 May 10;6(9):2872-2883. doi: 10.1182/bloodadvances.2021006248.,"['Kim, Dongjune A', 'Ku, David N']","[' blood platelets', 'hemostasis', 'humans', 'stress, mechanical', ' thrombosis pathology', 'von willebrand factor']",Structure of shear-induced platelet aggregated clot formed in an in vitro arterial thrombosis model.,"The structure of occlusive arterial thrombi is described herein. Macroscopic thrombi were made from whole blood in a collagen-coated, large-scale stenosis model with high shear flow similar to an atherosclerotic artery. The millimeter-sized thrombi were harvested for histology and scanning electron microscopy. Histological images showed 3 distinctive structures of the thrombus. (1) The upstream region showed string-like platelet aggregates growing out from the wall that protrude into the central lumen, with red blood cells trapped between the strings. The strings were >10 times as long as they were wide and reached out to join the strings from the opposite wall. (2) Near the apex, the platelet strings coalesced into a dense mass with microchannels that effectively occluded the lumen. (3) In the expansion region, the thrombus ended abruptly with an annulus of free blood in the flow-separation zone. Scanning electron microscopy showed dense clusters of spherical platelets upstream and downstream, with amorphous platelets in the occluded throat consistent with prior activation. The total clot is estimated to contain 1.23 billion platelets with pores 10 to 100 μm in diameter. The results revealed a complex structure of arterial thrombi that grow from their tips under high shear stress to bridge the 2.5-mm lumen quickly with von Willebrand factor platelet strings. The occlusion leaves many microchannels that allow for some flow through the bulk of the thrombus. This architecture can create occlusion or hemostasis rapidly with minimal material, yet can remain porous for potential delivery of lytic agents to the core of the thrombus."
2022 Apr 26,Blood advances,Blood Adv. 2022 Apr 26;6(8):2453-2465. doi: 10.1182/bloodadvances.2021005692.,"['Liu, Zixiang Leonardo', 'Bresette, Christopher', 'Aidun, Cyrus K', 'Ku, David N']","['blood platelets metabolism', 'humans', ' platelet aggregation', 'stress, mechanical', ' thrombosis', 'von willebrand factor metabolism']",SIPA in 10 milliseconds: VWF tentacles agglomerate and capture platelets under high shear.,"Shear-induced platelet aggregation (SIPA) occurs under elevated shear rates (10 000 s-1) found in stenotic coronary and carotid arteries. The pathologically high shear environment can lead to occlusive thrombosis by SIPA from the interaction of nonactivated platelets and von Willebrand factor (VWF) via glycoprotein Ib-A1 binding. This process under high shear rates is difficult to visualize experimentally with concurrent molecular- and cellular-resolutions. To understand this fast bonding, we employ a validated multiscale in silico model incorporating measured molecular kinetics and a thrombosis-on-a-chip device to delineate the flow-mediated biophysics of VWF and platelets assembly into mural microthrombi. We show that SIPA begins with VWF elongation, followed by agglomeration of platelets in the flow by soluble VWF entanglement before mural capture of the agglomerate by immobilized VWF. The entire SIPA process occurs on the order of 10 milliseconds with the agglomerate traveling a lag distance of a few hundred microns before capture, matching in vitro results. Increasing soluble VWF concentration by ∼20 times in silico leads to a ∼2 to 3 times increase in SIPA rates, matching the increase in occlusion rates found in vitro. The morphology of mural aggregates is primarily controlled by VWF molecular weight (length), where normal-length VWF leads to cluster or elongated aggregates and ultra-long VWF leads to loose aggregates seen by others' experiments. Finally, we present phase diagrams of SIPA, which provides biomechanistic rationales for a variety of thrombotic and hemostatic events in terms of platelet agglomeration and capture."
