time,journal,doi_info,authors,key words,title,abstract
2024 Jan 5,Science advances,Sci Adv. 2024 Jan 5;10(1):eadi1788. doi: 10.1126/sciadv.adi1788. Epub 2024 Jan 3.,"['Zhovmer, Alexander S', 'Manning, Alexis', 'Smith, Chynna', 'Nguyen, Ashley', 'Prince, Olivia', 'Sáez, Pablo J', 'Ma, Xuefei', 'Tsygankov, Denis', 'Cartagena-Rivera, Alexander X', 'Singh, Niloy A', 'Singh, Rakesh K', 'Tabdanov, Erdem D']","[' actomyosin metabolism', 'septins metabolism', 'cell movement', ' amoeba metabolism', 't-lymphocytes metabolism']",Septins provide microenvironment sensing and cortical actomyosin partitioning in motile amoeboid T lymphocytes.,"The all-terrain motility of lymphocytes in tissues and tissue-like gels is best described as amoeboid motility. For amoeboid motility, lymphocytes do not require specific biochemical or structural modifications to the surrounding extracellular matrix. Instead, they rely on changing shape and steric interactions with the microenvironment. However, the exact mechanism of amoeboid motility remains elusive. Here, we report that septins participate in amoeboid motility of T cells, enabling the formation of F-actin and α-actinin-rich cortical rings at the sites of cell cortex-indenting collisions with the extracellular matrix. Cortical rings compartmentalize cells into chains of spherical segments that are spatially conformed to the available lumens, forming transient ""hourglass""-shaped steric locks onto the surrounding collagen fibers. The steric lock facilitates pressure-driven peristaltic propulsion of cytosolic content by individually contracting cell segments. Our results suggest that septins provide microenvironment-guided partitioning of actomyosin contractility and steric pivots required for amoeboid motility of T cells in tissue-like microenvironments."
2023 Sep 27,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Sep 27:2023.09.26.559597. doi: ,"['Zhovmer, Alexander S', 'Manning, Alexis', 'Smith, Chynna', 'Wang, Jian', 'Ma, Xuefei', 'Tsygankov, Denis', 'Dokholyan, Nikolay V', 'Cartagena-Rivera, Alexander X', 'Singh, Rakesh K', 'Tabdanov, Erdem D']","['dynein', 'guidance', 'lymphocyte', 'migration', 'septin']",Septins Enable T Cell Contact Guidance via Amoeboid-Mesenchymal Switch.,"Lymphocytes exit circulation and enter in-tissue guided migration toward sites of tissue pathologies, damage, infection, or inflammation. By continuously sensing and adapting to the guiding chemo-mechano-structural properties of the tissues, lymphocytes dynamically alternate and combine their amoeboid (non-adhesive) and mesenchymal (adhesive) migration modes. However, which mechanisms guide and balance different migration modes are largely unclear. Here we report that suppression of septins GTPase activity induces an abrupt amoeboid-to-mesenchymal transition of T cell migration mode, characterized by a distinct, highly deformable integrin-dependent immune cell contact guidance. Surprisingly, the T cell actomyosin cortex contractility becomes diminished, dispensable and antagonistic to mesenchymal-like migration mode. Instead, mesenchymal-like T cells rely on microtubule stabilization and their non-canonical dynein motor activity for high fidelity contact guidance. Our results establish septin's GTPase activity as an important on/off switch for integrin-dependent migration of T lymphocytes, enabling their dynein-driven fluid-like mesenchymal propulsion along the complex adhesion cues."
2023 Nov,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2023 Nov;10(31):e2302229. doi: 10.1002/advs.202302229. Epub 2023 ,"['Tagay, Yerbol', 'Kheirabadi, Sina', 'Ataie, Zaman', 'Singh, Rakesh K', 'Prince, Olivia', 'Nguyen, Ashley', 'Zhovmer, Alexander S', 'Ma, Xuefei', 'Sheikhi, Amir', 'Tsygankov, Denis', 'Tabdanov, Erdem D']","['humans', 'female', ' dyneins metabolism', ' breast neoplasms', 'actomyosin metabolism', 'cell movement', 'hydrogels', 'contact guidance', 'dynein', 'granular hydrogel', 'mechanobiology', 'microtubules', 'motility']",Dynein-Powered Cell Locomotion Guides Metastasis of Breast Cancer.,"The principal cause of death in cancer patients is metastasis, which remains an unresolved problem. Conventionally, metastatic dissemination is linked to actomyosin-driven cell locomotion. However, the locomotion of cancer cells often does not strictly line up with the measured actomyosin forces. Here, a complementary mechanism of metastatic locomotion powered by dynein-generated forces is identified. These forces arise within a non-stretchable microtubule network and drive persistent contact guidance of migrating cancer cells along the biomimetic collagen fibers. It is also shown that the dynein-powered locomotion becomes indispensable during invasive 3D migration within a tissue-like luminal network formed by spatially confining granular hydrogel scaffolds (GHS) made up of microscale hydrogel particles (microgels). These results indicate that the complementary motricity mediated by dynein is always necessary and, in certain instances, sufficient for disseminating metastatic breast cancer cells. These findings advance the fundamental understanding of cell locomotion mechanisms and expand the spectrum of clinical targets against metastasis."
2023 Jun 15,Cells,Cells. 2023 Jun 15;12(12):1638. doi: 10.3390/cells12121638.,"['Hladyshau, Siarhei', 'Stoop, Jorik P', 'Kamada, Kosei', 'Nie, Shuyi', 'Tsygankov, Denis']","[' cell membrane metabolism physiology', ' cell movement genetics physiology', ' rac1 gtp-binding protein metabolism', ' rho gtp-binding proteins metabolism', 'signal transduction', 'fret-based biosensors', 'rho family gtpases', 'cytoskeletal regulation', 'morphodynamics', 'multiscale modeling']",Spatiotemporal Coordination of Rac1 and Cdc42 at the Whole Cell Level during Cell Ruffling.,"Rho-GTPases are central regulators within a complex signaling network that controls cytoskeletal organization and cell movement. The network includes multiple GTPases, such as the most studied Rac1, Cdc42, and RhoA, along with their numerous effectors that provide mutual regulation through feedback loops. Here we investigate the temporal and spatial relationship between Rac1 and Cdc42 during membrane ruffling, using a simulation model that couples GTPase signaling with cell morphodynamics and captures the GTPase behavior observed with FRET-based biosensors. We show that membrane velocity is regulated by the kinetic rate of GTPase activation rather than the concentration of active GTPase. Our model captures both uniform and polarized ruffling. We also show that cell-type specific time delays between Rac1 and Cdc42 activation can be reproduced with a single signaling motif, in which the delay is controlled by feedback from Cdc42 to Rac1. The resolution of our simulation output matches those of time-lapsed recordings of cell dynamics and GTPase activity. Our data-driven modeling approach allows us to validate simulation results with quantitative precision using the same pipeline for the analysis of simulated and experimental data."
2023 Apr 5,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Apr 5:2023.04.04.535605. doi: 10.1101/2023.04.04.535605.,"['Tagay, Yerbol', 'Kheirabadi, Sina', 'Ataie, Zaman', 'Singh, Rakesh K', 'Prince, Olivia', 'Nguyen, Ashley', 'Zhovmer, Alexander S', 'Ma, Xuefei', 'Sheikhi, Amir', 'Tsygankov, Denis', 'Tabdanov, Erdem D']",[],Dynein-Powered Cell Locomotion Guides Metastasis of Breast Cancer.,"Metastasis is a principal cause of death in cancer patients, which remains an unresolved fundamental and clinical problem. Conventionally, metastatic dissemination is linked to the actomyosin-driven cell locomotion. However, locomotion of cancer cells often does not strictly line up with the measured actomyosin forces. Here, we identify a complementary mechanism of metastatic locomotion powered by the dynein-generated forces. These forces that arise within a non-stretchable microtubule network drive persistent contact guidance of migrating cancer cells along the biomimetic collagen fibers. We also show that dynein-powered locomotion becomes indispensable during invasive 3D migration within a tissue-like luminal network between spatially confining hydrogel microspheres. Our results indicate that the complementary contractile system of dynein motors and microtubules is always necessary and in certain instances completely sufficient for dissemination of metastatic breast cancer cells. These findings advance fundamental understanding of cell locomotion mechanisms and expand the spectrum of clinical targets against metastasis."
2023,Frontiers in cell and developmental biology,Front Cell Dev Biol. 2023 Feb 27;11:1106595. doi: 10.3389/fcell.2023.1106595. ,"['Kho, Mary', 'Hladyshau, Siarhei', 'Tsygankov, Denis', 'Nie, Shuyi']","['cdc42 effector protein 1', 'actin stress fibers', 'directional cell migration', 'neural crest', 'septin filaments']","Coordinated regulation of Cdc42ep1, actin, and septin filaments during neural crest cell migration.","The septin cytoskeleton has been demonstrated to interact with other cytoskeletal components to regulate various cellular processes, including cell migration. However, the mechanisms of how septin regulates cell migration are not fully understood. In this study, we use the highly migratory neural crest cells of frog embryos to examine the role of septin filaments in cell migration. We found that septin filaments are required for the proper migration of neural crest cells by controlling both the speed and the direction of cell migration. We further determined that septin filaments regulate these features of cell migration by interacting with actin stress fibers. In neural crest cells, septin filaments co-align with actin stress fibers, and the loss of septin filaments leads to impaired stability and contractility of actin stress fibers. In addition, we showed that a partial loss of septin filaments leads to drastic changes in the orientations of newly formed actin stress fibers, suggesting that septin filaments help maintain the persistent orientation of actin stress fibers during directed cell migration. Lastly, our study revealed that these activities of septin filaments depend on Cdc42ep1, which colocalizes with septin filaments in the center of neural crest cells. Cdc42ep1 interacts with septin filaments in a reciprocal manner, with septin filaments recruiting Cdc42ep1 to the cell center and Cdc42ep1 supporting the formation of septin filaments."
2022 Feb 1,Molecular biology of the cell,Mol Biol Cell. 2022 Feb 1;33(2):edn1. doi: 10.1091/mbc.E20-07-0445-Editor.,"['Errede, Beverly', 'Hladyshau, Siarhei', 'Nivedita, Nivedita', 'Tsygankov, Denis', 'Elston, Timothy C']",[],Bistability in the polarity circuit of yeast.,
2021,Current topics in membranes,Curr Top Membr. 2021;88:205-234. doi: 10.1016/bs.ctm.2021.09.005. Epub 2021 Nov ,"['Fauser, Jordan', 'Brennan, Martin', 'Tsygankov, Denis', 'Karginov, Andrei V']","['actins', 'cell movement', ' cell surface extensions', 'cytoskeleton', 'endocytosis', ' pseudopodia', 'actin cytoskeleton', 'cell migration', 'filopodia', 'lamellipodia', 'membrane protrusion dynamics']",Methods for assessment of membrane protrusion dynamics.,"Membrane protrusions are a critical facet of cell function. Mediating fundamental processes such as cell migration, cell-cell interactions, phagocytosis, as well as assessment and remodeling of the cell environment. Different protrusion types and morphologies can promote different cellular functions and occur downstream of distinct signaling pathways. As such, techniques to quantify and understand the inner workings of protrusion dynamics are critical for a comprehensive understanding of cell biology. In this chapter, we describe approaches to analyze cellular protrusions and correlate physical changes in cell morphology with biochemical signaling processes. We address methods to quantify and characterize protrusion types and velocity, mathematical approaches to predictive models of cytoskeletal changes, and implementation of protein engineering and biosensor design to dissect cell signaling driving protrusive activity. Combining these approaches allows cell biologists to develop a comprehensive understanding of the dynamics of membrane protrusions."
2021 Sep 30,Scientific reports,Sci Rep. 2021 Sep 30;11(1):19512. doi: 10.1038/s41598-021-99029-x.,"['Hladyshau, Siarhei', 'Kho, Mary', 'Nie, Shuyi', 'Tsygankov, Denis']","['algorithms', 'animals', 'enzyme activation', ' models, molecular', 'oocytes metabolism', ' protein interaction domains and motifs', 'starfish', 'structure-activity relationship', 'time-lapse imaging', 'rho gtp-binding proteins  chemistry  metabolism']",Spatiotemporal development of coexisting wave domains of Rho activity in the cell cortex.,"The Rho family GTPases are molecular switches that regulate cytoskeletal dynamics and cell movement through a complex spatiotemporal organization of their activity. In Patiria miniata (starfish) oocytes under in vitro experimental conditions (with overexpressed Ect2, induced expression of Δ90 cyclin B, and roscovitine treatment), such activity generates multiple co-existing regions of coherent propagation of actin waves. Here we use computational modeling to investigate the development and properties of such wave domains. The model reveals that the formation of wave domains requires a balance between the activation and inhibition in the Rho signaling motif. Intriguingly, the development of the wave domains is preceded by a stage of low-activity quasi-static patterns, which may not be readily observed in experiments. Spatiotemporal patterns of this stage and the different paths of their destabilization define the behavior of the system in the later high-activity (observable) stage. Accounting for a strong intrinsic noise allowed us to achieve good quantitative agreement between simulated dynamics in different parameter regimes of the model and different wave dynamics in Patiria miniata and wild type Xenopus laevis (frog) data. For quantitative comparison of simulated and experimental results, we developed an automated method of wave domain detection, which revealed a sharp reversal in the process of pattern formation in starfish oocytes. Overall, our findings provide an insight into spatiotemporal regulation of complex and diverse but still computationally reproducible cell-level actin dynamics."
2021,Frontiers in cell and developmental biology,Front Cell Dev Biol. 2021 Aug 20;9:685825. doi: 10.3389/fcell.2021.685825. ,"['Marston, Daniel J', 'Slattery, Scott D', 'Hahn, Klaus M', 'Tsygankov, Denis']","['fret biosensors', 'rho (rho gtpase)', 'cell morphodynamics', 'image processing', 'ratiometric analysis']",Correcting Artifacts in Ratiometric Biosensor Imaging; an Improved Approach for Dividing Noisy Signals.,"The accuracy of biosensor ratio imaging is limited by signal/noise. Signals can be weak when biosensor concentrations must be limited to avoid cell perturbation. This can be especially problematic in imaging of low volume regions, e.g., along the cell edge. The cell edge is an important imaging target in studies of cell motility. We show how the division of fluorescence intensities with low signal-to-noise at the cell edge creates specific artifacts due to background subtraction and division by small numbers, and that simply improving the accuracy of background subtraction cannot address these issues. We propose a new approach where, rather than simply subtracting background from the numerator and denominator, we subtract a noise correction factor (NCF) from the numerator only. This NCF can be derived from the analysis of noise distribution in the background near the cell edge or from ratio measurements in the cell regions where signal-to-noise is high. We test the performance of the method first by examining two noninteracting fluorophores distributed evenly in cells. This generated a uniform ratio that could provide a ground truth. We then analyzed actual protein activities reported by a single chain biosensor for the guanine exchange factor (GEF) Asef, and a dual chain biosensor for the GTPase Cdc42. The reduction of edge artifacts revealed persistent Asef activity in a narrow band (∼640 nm wide) immediately adjacent to the cell edge. For Cdc42, the NCF method revealed an artifact that would have been obscured by traditional background subtraction approaches."
