time,journal,doi_info,authors,key words,title,abstract
2024 Jun 17,"Journal of neurology, neurosurgery, and psychiatry",J Neurol Neurosurg Psychiatry. 2024 Jun 17;95(7):663-670. doi: ,"['Kaestner, Erik', 'Stasenko, Alena', 'Schadler, Adam', 'Roth, Rebecca', 'Hewitt, Kelsey', 'Reyes, Anny', 'Qiu, Deqiang', 'Bonilha, Leonardo', 'Voets, Natalie', 'Hu, Ranliang', 'Willie, Jon', 'Pedersen, Nigel', 'Shih, Jerry', 'Ben-Haim, Sharona', 'Gross, Robert', 'Drane, Daniel', 'McDonald, Carrie R']","['humans', ' epilepsy, temporal lobe surgery diagnostic imaging', 'male', 'female', ' white matter diagnostic imaging pathology', 'adult', ' memory disorders etiology', 'middle aged', ' anterior temporal lobectomy adverse effects', ' hippocampus surgery pathology diagnostic imaging', 'postoperative complications', 'neurosurgical procedures adverse effects methods', 'young adult', 'amygdala surgery pathology diagnostic imaging', 'epilepsy', 'epilepsy, surgery', 'memory', 'mri']",Impact of white matter networks on risk for memory decline following resection versus ablation in temporal lobe epilepsy.,"BACKGROUND: With expanding neurosurgical options in epilepsy, it is important to characterise each options' risk for postoperative cognitive decline. Here, we characterise how patients' preoperative white matter (WM) networks relates to postoperative memory changes following different epilepsy surgeries. METHODS: Eighty-nine patients with temporal lobe epilepsy with T1-weighted and diffusion-weighted imaging as well as preoperative and postoperative verbal memory scores (prose recall) underwent either anterior temporal lobectomy (ATL: n=38) or stereotactic laser amygdalohippocampotomy (SLAH; n=51). We computed laterality indices (ie, asymmetry) for volume of the hippocampus and fractional anisotropy (FA) of two deep WM tracts (uncinate fasciculus (UF) and inferior longitudinal fasciculus (ILF)). RESULTS: Preoperatively, left-lateralised FA of the ILF was associated with higher prose recall (p<0.01). This pattern was not observed for the UF or hippocampus (ps>0.05). Postoperatively, right-lateralised FA of the UF was associated with less decline following left ATL (p<0.05) but not left SLAH (p>0.05), while right-lateralised hippocampal asymmetry was associated with less decline following both left ATL and SLAH (ps<0.05). After accounting for preoperative memory score, age of onset and hippocampal asymmetry, the association between UF and memory decline in left ATL remained significant (p<0.01). CONCLUSIONS: Asymmetry of the hippocampus is an important predictor of risk for memory decline following both surgeries. However, asymmetry of UF integrity, which is only severed during ATL, is an important predictor of memory decline after ATL only. As surgical procedures and pre-surgical mapping evolve, understanding the role of frontal-temporal WM in memory networks could help to guide more targeted surgical approaches to mitigate cognitive decline."
2023 Nov,IEEE robotics and automation letters,IEEE Robot Autom Lett. 2023 Nov;8(11):7495-7502. doi: 10.1109/lra.2023.3318115. ,"['Shen, Jia', 'Wang, Yifan', 'Azizkhani, Milad', 'Qiu, Deqiang', 'Chen, Yue']","['concentric tube robot', 'manipulability', 'redundancy resolution']",Concentric Tube Robot Redundancy Resolution via Velocity/Compliance Manipulability Optimization.,"Concentric Tube Robots (CTR) have the potential to enable effective minimally invasive surgeries. While extensive modeling and control work have been proposed in the past decade, limited efforts have been made to improve the path tracking performance from the perspective of manipulability, which can be critical to generate safe motion and feasible actuator commands. In this paper, we propose a gradient-based redundancy resolution framework that optimizes velocity/compliance manipulability-based performance indices during path tracking for a kinematically redundant CTR. We efficiently calculate the gradients of manipulabilities by propagating the first- and second-order derivatives of state variables of the Cosserat rod model along the CTR arc length, reducing the gradient computation time by 68% compared to the finite difference method. Task-specific performance indices are optimized by projecting the gradient into the null-space of path tracking. Simulation results show that the proposed method is able to accomplish the required tasks while commonly used redundancy resolution approaches underperform or even fail."
2023 Oct,Magnetic resonance in medicine,Magn Reson Med. 2023 Oct;90(4):1414-1430. doi: 10.1002/mrm.29722. Epub 2023 May ,"['Huang, Shuai', 'Lah, James J', 'Allen, Jason W', 'Qiu, Deqiang']","[' brain', ' magnetic resonance imaging methods', 'algorithms', 'image processing, computer-assisted methods', 'bayes theorem', 'brain mapping methods', 'approximate message passing', 'compressive sensing', 'outlier modeling', 'parameter estimation', 'quantitative susceptibility mapping']",Robust quantitative susceptibility mapping via approximate message passing with parameter estimation.,"PURPOSE: For quantitative susceptibility mapping (QSM), the lack of ground-truth in clinical settings makes it challenging to determine suitable parameters for the dipole inversion. We propose a probabilistic Bayesian approach for QSM with built-in parameter estimation, and incorporate the nonlinear formulation of the dipole inversion to achieve a robust recovery of the susceptibility maps. THEORY: From a Bayesian perspective, the image wavelet coefficients are approximately sparse and modeled by the Laplace distribution. The measurement noise is modeled by a Gaussian-mixture distribution with two components, where the second component is used to model the noise outliers. Through probabilistic inference, the susceptibility map and distribution parameters can be jointly recovered using approximate message passing (AMP). METHODS: We compare our proposed AMP with built-in parameter estimation (AMP-PE) to the state-of-the-art L1-QSM, FANSI, and MEDI approaches on the simulated and in vivo datasets, and perform experiments to explore the optimal settings of AMP-PE. Reproducible code is available at: https://github.com/EmoryCN2L/QSM_AMP_PE. RESULTS: On the simulated Sim2Snr1 dataset, AMP-PE achieved the lowest NRMSE, deviation from calcification moment and the highest SSIM, while MEDI achieved the lowest high-frequency error norm. On the in vivo datasets, AMP-PE is robust and successfully recovers the susceptibility maps using the estimated parameters, whereas L1-QSM, FANSI and MEDI typically require additional visual fine-tuning to select or double-check working parameters. CONCLUSION: AMP-PE provides automatic and adaptive parameter estimation for QSM and avoids the subjectivity from the visual fine-tuning step, making it an excellent choice for the clinical setting."
2023 Nov,Journal of magnetic resonance imaging : JMRI,J Magn Reson Imaging. 2023 Nov;58(5):1462-1469. doi: 10.1002/jmri.28648. Epub ,"['Dogra, Siddhant', 'Wang, Xiuyuan', 'Gee, James Michael', 'Gupta, Alejandro', 'Veraart, Jelle', 'Ishida, Koto', 'Qiu, Deqiang', 'Dehkharghani, Seena']","['female', 'humans', 'middle aged', 'retrospective studies', ' diaschisis', 'cerebrovascular circulation', ' cerebrovascular disorders', 'hemodynamics', 'magnetic resonance imaging methods', 'bold mri', 'ccd', 'cvr', 'acetazolamide', 'cerebrovascular reactivity', 'crossed cerebellar diaschisis']",Diaschisis Profiles in the Cerebellar Response to Hemodynamic Stimuli: Insights From Dynamic Measurement of Cerebrovascular Reactivity to Identify Occult and Transient Maxima.,"BACKGROUND: Crossed cerebellar diaschisis (CCD) refers to depressions in perfusion and metabolism within the cerebellar hemisphere contralateral to supratentorial disease. Prior investigation into CCD in cerebrovascular reactivity (CVR) has been limited to terminal CVR estimations (CVR(end) ). We recently have demonstrated the presence of unsustained CVR maxima (CVR(max) ) using dynamic CVR analysis, offering a fully dynamic characterization of CVR to hemodynamic stimuli. PURPOSE: To investigate CCD in CVR(max) from dynamic blood oxygen level-dependent (BOLD) MRI, by comparison with conventional CVR(end) estimation. STUDY TYPE: Retrospective. POPULATION: A total of 23 patients (median age: 51 years, 10 females) with unilateral chronic steno-occlusive cerebrovascular disease, without prior knowledge of CCD status. FIELD STRENGTH/SEQUENCE: A 3-T, T1-weighted magnetization-prepared rapid gradient-echo (MPRAGE) and acetazolamide-augmented BOLD imaging performed with a gradient-echo echo-planar imaging (EPI) sequence. ASSESSMENT: A custom denoising pipeline was used to generate BOLD-CVR time signals. CVR(end) was established using the last minute of the BOLD response relative to the first-minute baseline. Following classification of healthy versus diseased cerebral hemispheres, CVR(max) and CVR(end) were calculated for bilateral cerebral and cerebellar hemispheres. Three independent observers evaluated all data for the presence of CCD. STATISTICAL TESTS: Pearson correlations for comparing CVR across hemispheres, two-proportion Z-tests for comparing CCD prevalence, and Wilcoxon signed-rank tests for comparing median CVR. The level of statistical significance was set at P ≤ 0.05. RESULTS: CCD-related changes were observed on both CVR(end) and CVR(max) maps, with all CCD+ cases identifiable by inspection of either map. Diseased cerebral and contralateral cerebellar hemispheric CVR correlations in CCD+ patients were stronger when using CVR(end) (r = 0.728) as compared to CVR(max) (r = 0.676). CVR correlations between healthy cerebral hemispheres and contralateral cerebellar hemispheres were stronger for CVR(max) (r = 0.739) than for CVR(end) (r = 0.705). DATA CONCLUSION: CCD-related alterations could be observed in CVR examinations. Conventional CVR(end) may underestimate CVR and could exaggerate CCD. EVIDENCE LEVEL: 4. TECHNICAL EFFICACY: Stage 3."
2023 Jun 1,Human brain mapping,Hum Brain Mapp. 2023 Jun 1;44(8):3072-3083. doi: 10.1002/hbm.26263. Epub 2023 Mar ,"['Lin, Qixiang', 'Shahid, Salman', 'Hone-Blanchet, Antoine', 'Huang, Shuai', 'Wu, Junjie', 'Bisht, Aditya', 'Loring, David', 'Goldstein, Felicia', 'Levey, Allan', 'Crosson, Bruce', 'Lah, James', 'Qiu, Deqiang']","['humans', ' alzheimer disease pathology', 'brain', 'magnetic resonance imaging', 'magnetic resonance spectroscopy', 'iron', 'biomarkers cerebrospinal fluid', 'amyloid beta-peptides cerebrospinal fluid', ""alzheimer's disease"", 'aging', 'beta-amyloid', 'grey matter', 'iron deposition', 'quantitative magnetic resonance imaging', 'subcortical']",Magnetic resonance evidence of increased iron content in subcortical brain regions in asymptomatic Alzheimer's disease.,"While iron over-accumulation has been reported in late stage Alzheimer's disease (AD), whether this occurs early in the asymptomatic stage of AD remains unknown. We aimed to assess brain iron levels in asymptomatic AD using quantitative MR relaxometry of effective transverse relaxation rate (R2*) and longitudinal relaxation rate (R1), and recruited 118 participants comprised of three groups including healthy young participants, and cognitively normal older individuals without or with positive AD biomarkers based on cerebrospinal fluid (CSF) proteomics analysis. Compared with the healthy young group, increased R2* was found in widespread cortical and subcortical regions in the older groups. Further, significantly higher levels of R2* were found in the cognitively normal older subjects with positive CSF AD biomarker (i.e., asymptomatic AD) compared with those with negative AD biomarker in subcortical regions including the left and right caudate, left and right putamen, and left and right globus pallidus (p < .05 for all regions), suggesting increased iron content in these regions. Subcortical R2* of some regions was found to significantly correlate with CSF AD biomarkers and neuropsychological assessments of visuospatial functions. In conclusion, R2* could be a valuable biomarker for studying early pathophysiological changes in AD."
2022,Frontiers in aging neuroscience,Front Aging Neurosci. 2022 Aug 12;14:901140. doi: 10.3389/fnagi.2022.901140. ,"['Wu, Junjie', 'Shahid, Syed S', 'Lin, Qixiang', 'Hone-Blanchet, Antoine', 'Smith, Jeremy L', 'Risk, Benjamin B', 'Bisht, Aditya S', 'Loring, David W', 'Goldstein, Felicia C', 'Levey, Allan I', 'Lah, James J', 'Qiu, Deqiang']","['ad pathology', 'functional connectivity', 'hippocampus subfields', 'morphometry', 'normal aging', 'tissue microstructure']",Multimodal magnetic resonance imaging reveals distinct sensitivity of hippocampal subfields in asymptomatic stage of Alzheimer's disease.,"While hippocampal atrophy and its regional susceptibility to Alzheimer's disease (AD) are well reported at late stages of AD, studies of the asymptomatic stage of AD are limited but could elucidate early stage pathophysiology as well as provide predictive biomarkers. In this study, we performed multi-modal magnetic resonance imaging (MRI) to estimate morphometry, functional connectivity, and tissue microstructure of hippocampal subfields in cognitively normal adults including those with asymptomatic AD. High-resolution resting-state functional, diffusion and structural MRI, cerebral spinal fluid (CSF), and neuropsychological evaluations were performed in healthy young adults (HY: n = 40) and healthy older adults with negative (HO-: n = 47) and positive (HO+ : n = 25) CSF biomarkers of AD. Morphometry, functional connectivity, and tissue microstructure were estimated from the structural, functional, and diffusion MRI images, respectively. Our results indicated that normal aging affected morphometry, connectivity, and microstructure in all hippocampal subfields, while the subiculum and CA1-3 demonstrated the greatest sensitivity to asymptomatic AD pathology. Tau, rather than amyloid-β, was closely associated with imaging-derived synaptic and microstructural measures. Microstructural metrics were significantly associated with neuropsychological assessments. These findings suggest that the subiculum and CA1-3 are the most vulnerable in asymptomatic AD and tau level is driving these early changes."
2022 Oct,Magnetic resonance in medicine,Magn Reson Med. 2022 Oct;88(4):1624-1642. doi: 10.1002/mrm.29303. Epub 2022 Jun ,"['Huang, Shuai', 'Lah, James J', 'Allen, Jason W', 'Qiu, Deqiang']","[' algorithms', 'bayes theorem', ' brain diagnostic imaging', 'image processing, computer-assisted methods', 'magnetic resonance imaging methods', 'prospective studies', 'retrospective studies', 'r2 $$ {r}_{2\\ast } $$ mapping', 'approximate message passing', 'compressive sensing', 'parameter estimation', 'quantitative susceptibility mapping', 'undersampling']",A probabilistic Bayesian approach to recover R2* map and phase images for quantitative susceptibility mapping.,"PURPOSE: Undersampling is used to reduce the scan time for high-resolution three-dimensional magnetic resonance imaging. In order to achieve better image quality and avoid manual parameter tuning, we propose a probabilistic Bayesian approach to recover R2∗ map and phase images for quantitative susceptibility mapping (QSM), while allowing automatic parameter estimation from undersampled data. THEORY: Sparse prior on the wavelet coefficients of images is interpreted from a Bayesian perspective as sparsity-promoting distribution. A novel nonlinear approximate message passing (AMP) framework that incorporates a mono-exponential decay model is proposed. The parameters are treated as unknown variables and jointly estimated with image wavelet coefficients. METHODS: Undersampling takes place in the y-z plane of k-space according to the Poisson-disk pattern. Retrospective undersampling is performed to evaluate the performances of different reconstruction approaches, prospective undersampling is performed to demonstrate the feasibility of undersampling in practice. RESULTS: The proposed AMP with parameter estimation (AMP-PE) approach successfully recovers R2∗ maps and phase images for QSM across various undersampling rates. It is more computationally efficient, and performs better than the state-of-the-art l1 -norm regularization (L1) approach in general, except a few cases where the L1 approach performs as well as AMP-PE. CONCLUSION: AMP-PE achieves better performance by drawing information from both the sparse prior and the mono-exponential decay model. It does not require parameter tuning, and works with a clinical, prospective undersampling scheme where parameter tuning is often impossible or difficult due to the lack of ground-truth image."
2022,Journal of Alzheimer's disease : JAD,J Alzheimers Dis. 2022;87(3):1131-1141. doi: 10.3233/JAD-215431.,"['Hone-Blanchet, Antoine', 'Bohsali, Anastasia', 'Krishnamurthy, Lisa C', 'Shahid, Salman S', 'Lin, Qixiang', 'Zhao, Liping', 'Bisht, Aditya S', 'John, Samantha E', 'Loring, David', 'Goldstein, Felicia', 'Levey, Allan', 'Lah, James', 'Qiu, Deqiang', 'Crosson, Bruce']","['aged', 'aged, 80 and over', ' alzheimer disease metabolism', 'amyloid beta-peptides cerebrospinal fluid', 'biomarkers cerebrospinal fluid', ' cognitive dysfunction psychology', 'female', 'humans', 'peptide fragments cerebrospinal fluid', 'gamma-aminobutyric acid', 'tau proteins metabolism', 'aging', 'cerebrospinal fluid biomarkers', 'frontal cortex', 'general cognition', 'magnetic resonance spectroscopy', 'mild cognitive impairment', 'women’s health']",Frontal Metabolites and Alzheimer's Disease Biomarkers in Healthy Older Women and Women Diagnosed with Mild Cognitive Impairment.,BACKGROUND: Women account for two thirds of the prevalence and incidence of Alzheimer's disease (AD) and mild cognitive impairment (M
2022,Frontiers in neurology,Front Neurol. 2022 Mar 22;13:780896. doi: 10.3389/fneur.2022.780896. eCollection ,"['Wu, Junjie', 'Nahab, Fadi', 'Allen, Jason W', 'Hu, Ranliang', 'Dehkharghani, Seena', 'Qiu, Deqiang']","['cerebrovascular disease', 'cerebrovascular reserve', 'functional connectivity', 'functional magnetic resonance imaging', 'graph theory']",Alterations in Functional Network Topology Within Normal Hemispheres Contralateral to Anterior Circulation Steno-Occlusive Disease: A Resting-State BOLD Study.,"The purpose of this study was to assess spatially remote effects of hemodynamic impairment on functional network topology contralateral to unilateral anterior circulation steno-occlusive disease (SOD) using resting-state blood oxygen level-dependent (BOLD) imaging, and to investigate the relationships between network connectivity and cerebrovascular reactivity (CVR), a measure of hemodynamic stress. Twenty patients with unilateral, chronic anterior circulation SOD and 20 age-matched healthy controls underwent resting-state BOLD imaging. Five-minute standardized baseline BOLD acquisition was followed by acetazolamide infusion to measure CVR. The BOLD baseline was used to analyze network connectivity contralateral to the diseased hemispheres of SOD patients. Compared to healthy controls, reduced network degree (z-score = -1.158 ± 1.217, P < 0.001, false discovery rate (FDR) corrected), local efficiency (z-score = -1.213 ± 1.120, P < 0.001, FDR corrected), global efficiency (z-score = -1.346 ± 1.119, P < 0.001, FDR corrected), and enhanced modularity (z-score = 1.000 ± 1.205, P = 0.002, FDR corrected) were observed in the contralateral, normal hemispheres of SOD patients. Network degree (P = 0.089, FDR corrected; P = 0.027, uncorrected) and nodal efficiency (P = 0.089, FDR corrected; P = 0.045, uncorrected) showed a trend toward a positive association with CVR. The results indicate remote abnormalities in functional connectivity contralateral to the diseased hemispheres in patients with unilateral SOD, despite the absence of macrovascular disease or demonstrable hemodynamic impairment. The clinical impact of remote functional disruptions requires dedicated investigation but may portend far reaching consequence for even putatively unilateral cerebrovascular disease."
2022 Jun 30,Brain : a journal of neurology,Brain. 2022 Jun 30;145(6):1924-1938. doi: 10.1093/brain/awab452.,"['Levey, Allan I', 'Qiu, Deqiang', 'Zhao, Liping', 'Hu, William T', 'Duong, Duc M', 'Higginbotham, Lenora', 'Dammer, Eric B', 'Seyfried, Nicholas T', 'Wingo, Thomas S', 'Hales, Chadwick M', 'Gámez Tansey, Malú', 'Goldstein, David S', 'Abrol, Anees', 'Calhoun, Vince D', 'Goldstein, Felicia C', 'Hajjar, Ihab', 'Fagan, Anne M', 'Galasko, Doug', 'Edland, Steven D', 'Hanfelt, John', 'Lah, James J', 'Weinshenker, David']","['adolescent', 'adult', ' alzheimer disease pathology', 'amyloid beta-peptides', 'antigens, neoplasm', 'atomoxetine hydrochloride therapeutic use', 'biomarkers', 'cell adhesion molecules', ' cognitive dysfunction pathology', 'cross-over studies', 'double-blind method', 'drug repositioning', 'humans', 'inflammation', 'middle aged', 'neuroprotection', 'norepinephrine', 'tau proteins', 'alzheimer’s disease', 'atomoxetine', 'locus coeruleus', 'mild cognitive impairment', 'norepinephrine']",A phase II study repurposing atomoxetine for neuroprotection in mild cognitive impairment.,"The locus coeruleus is the initial site of Alzheimer's disease neuropathology, with hyperphosphorylated Tau appearing in early adulthood followed by neurodegeneration in dementia. Locus coeruleus dysfunction contributes to Alzheimer's pathobiology in experimental models, which can be rescued by increasing norepinephrine transmission. To test norepinephrine augmentation as a potential disease-modifying therapy, we performed a biomarker-driven phase II trial of atomoxetine, a clinically-approved norepinephrine transporter inhibitor, in subjects with mild cognitive impairment due to Alzheimer's disease. The design was a single-centre, 12-month double-blind crossover trial. Thirty-nine participants with mild cognitive impairment and biomarker evidence of Alzheimer's disease were randomized to atomoxetine or placebo treatment. Assessments were collected at baseline, 6- (crossover) and 12-months (completer). Target engagement was assessed by CSF and plasma measures of norepinephrine and metabolites. Prespecified primary outcomes were CSF levels of IL1α and TECK. Secondary/exploratory outcomes included clinical measures, CSF analyses of amyloid-β42, Tau, and pTau181, mass spectrometry proteomics and immune-based targeted inflammation-related cytokines, as well as brain imaging with MRI and fluorodeoxyglucose-PET. Baseline demographic and clinical measures were similar across trial arms. Dropout rates were 5.1% for atomoxetine and 2.7% for placebo, with no significant differences in adverse events. Atomoxetine robustly increased plasma and CSF norepinephrine levels. IL-1α and TECK were not measurable in most samples. There were no significant treatment effects on cognition and clinical outcomes, as expected given the short trial duration. Atomoxetine was associated with a significant reduction in CSF Tau and pTau181 compared to placebo, but not associated with change in amyloid-β42. Atomoxetine treatment also significantly altered CSF abundances of protein panels linked to brain pathophysiologies, including synaptic, metabolism and glial immunity, as well as inflammation-related CDCP1, CD244, TWEAK and osteoprotegerin proteins. Treatment was also associated with significantly increased brain-derived neurotrophic factor and reduced triglycerides in plasma. Resting state functional MRI showed significantly increased inter-network connectivity due to atomoxetine between the insula and the hippocampus. Fluorodeoxyglucose-PET showed atomoxetine-associated increased uptake in hippocampus, parahippocampal gyrus, middle temporal pole, inferior temporal gyrus and fusiform gyrus, with carry-over effects 6 months after treatment. In summary, atomoxetine treatment was safe, well tolerated and achieved target engagement in prodromal Alzheimer's disease. Atomoxetine significantly reduced CSF Tau and pTau, normalized CSF protein biomarker panels linked to synaptic function, brain metabolism and glial immunity, and increased brain activity and metabolism in key temporal lobe circuits. Further study of atomoxetine is warranted for repurposing the drug to slow Alzheimer's disease progression."
