time,journal,doi_info,authors,key words,title,abstract
2024 Jan 25,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 25:2024.01.24.577074. doi: ,"[""DeVeaux, S'Dravious A"", 'Vyshnya, Sofiya', 'Propsom, Katherine', 'Gbotosho, Oluwabukola T', 'Singh, Asem S', 'Horning, Robert Z', 'Sharma, Mihika', 'Jegga, Anil G', 'Niu, Liang', 'Botchwey, Edward A', 'Hyacinth, Hyacinth I']",[],Neuroinflammation underlies the development of social stress induced cognitive deficit in sickle cell disease.,"Cognitive deficit is a debilitating complication of SCD with multifactorial pathobiology. Here we show that neuroinflammation and dysregulation in lipidomics and transcriptomics profiles are major underlying mechanisms of social stress-induced cognitive deficit in SCD. Townes sickle cell (SS) mice and controls (AA) were exposed to social stress using the repeat social defeat (RSD) paradigm concurrently with or without treatment with minocycline. Mice were tested for cognitive deficit using novel object recognition (NOR) and fear conditioning (FC) tests. SS mice exposed to RSD without treatment had worse performance on cognitive tests compared to SS mice exposed to RSD with treatment or to AA controls, irrespective of their RSD or treatment disposition. Additionally, compared to SS mice exposed to RSD with treatment, SS mice exposed to RSD without treatment had significantly more cellular evidence of neuroinflammation coupled with a significant shift in the differentiation of neural progenitor cells towards astrogliogenesis. Additionally, brain tissue from SS mice exposed to RSD was significantly enriched for genes associated with blood-brain barrier dysfunction, neuron excitotoxicity, inflammation, and significant dysregulation in sphingolipids important to neuronal cell processes. We demonstrate in this study that neuroinflammation and lipid dysregulation are potential underlying mechanisms of social stress-related cognitive deficit in SS mice."
2024 Jan,Tissue engineering. Part A,Tissue Eng Part A. 2024 Jan;30(1-2):45-60. doi: 10.1089/ten.TEA.2023.0128.,"['Anderson, Leah E', 'Tellier, Liane E', 'Shah, Keshav R', 'Pearson, Joseph J', 'Brimeyer, Alexandra L', 'Botchwey, Edward A', 'Temenoff, Johnna S']","['rats', 'animals', ' rotator cuff pathology', ' rotator cuff injuries therapy pathology', 'chemokine cxcl12 pharmacology', 'bone marrow', 'muscle fibers, skeletal', 'bone marrow mobilization', 'heparin biomaterial', 'rotator cuff', 'skeletal muscle regeneration', 'stromal cell-derived factor-1α']",Bone Marrow Mobilization and Local Stromal Cell-Derived Factor-1α Delivery Enhances Nascent Supraspinatus Muscle Fiber Growth.,"Rotator cuff tear is a significant problem that leads to poor clinical outcomes due to muscle degeneration after injury. The objective of this study was to synergistically increase the number of proregenerative cells recruited to injure rotator cuff muscle through a novel dual treatment system, consisting of a bone marrow mobilizing agent (VPC01091), hypothesized to ""push"" prohealing cells into the blood, and localized delivery of stromal cell-derived factor-1α (SDF-1α), to ""pull"" the cells to the injury site. Immediately after rotator cuff tendon injury in rat, the mobilizing agent was delivered systemically, and SDF-1α-loaded heparin-based microparticles were injected into the supraspinatus muscle. Regenerative and degenerative changes to supraspinatus muscle and the presence of inflammatory/immune cells, mesenchymal stem cells (MSCs), and satellite cells were assessed via flow cytometry and histology for up to 21 days. After dual treatment, significantly more MSCs (31.9 ± 8.0% single cells) and T lymphocytes (6.7 ± 4.3 per 20 × field of view) were observed in supraspinatus muscle 7 days after injury and treatment compared to injury alone (14.4 ± 6.5% single cells, 1.2 ± 0.7 per 20 × field of view), in addition to an elevated M2:M1 macrophage ratio (3.0 ± 0.5), an indicator of a proregenerative environment. These proregenerative cellular changes were accompanied by increased nascent fiber formation (indicated by embryonic myosin heavy chain staining) at day 7 compared to SDF-1α treatment alone, suggesting that this method may be a promising strategy to influence the early cellular response in muscle and promote a proregenerative microenvironment to increase muscle healing after severe rotator cuff tear."
2023 Jul 19,Communications biology,Commun Biol. 2023 Jul 19;6(1):749. doi: 10.1038/s42003-023-04790-6.,"['Hymel, Lauren A', 'Anderson, Shannon E', 'Turner, Thomas C', 'York, William Y', 'Zhang, Hongmanlin', 'Liversage, Adrian R', 'Lim, Hong Seo', 'Qiu, Peng', 'Mortensen, Luke J', 'Jang, Young C', 'Willett, Nick J', 'Botchwey, Edward A']","['mice', 'animals', ' muscle, skeletal pathology', 'regeneration', ' muscular diseases pathology therapy', 'regenerative medicine', 'collagen']",Identifying dysregulated immune cell subsets following volumetric muscle loss with pseudo-time trajectories.,"Volumetric muscle loss (VML) results in permanent functional deficits and remains a substantial regenerative medicine challenge. A coordinated immune response is crucial for timely myofiber regeneration, however the immune response following VML has yet to be fully characterized. Here, we leveraged dimensionality reduction and pseudo-time analysis techniques to elucidate the cellular players underlying a functional or pathological outcome as a result of subcritical injury or critical VML in the murine quadriceps, respectively. We found that critical VML resulted in a sustained presence of M2-like and CD206(hi)Ly6C(hi) 'hybrid' macrophages whereas subcritical defects resolved these populations. Notably, the retained M2-like macrophages from critical VML injuries presented with aberrant cytokine production which may contribute to fibrogenesis, as indicated by their co-localization with fibroadipogenic progenitors (FAPs) in areas of collagen deposition within the defect. Furthermore, several T cell subpopulations were significantly elevated in critical VML compared to subcritical injuries. These results demonstrate a dysregulated immune response in critical VML that is unable to fully resolve the chronic inflammatory state and transition to a pro-regenerative microenvironment within the first week after injury. These data provide important insights into potential therapeutic strategies which could reduce the immune cell burden and pro-fibrotic signaling characteristic of VML."
2022 Feb 25,Science advances,Sci Adv. 2022 Feb 25;8(8):eabd8056. doi: 10.1126/sciadv.abd8056. Epub 2022 Feb ,"['Fernandez-Yague, Marc A', 'Hymel, Lauren A', 'Olingy, Claire E', 'McClain, Claire', 'Ogle, Molly E', 'García, José R', 'Minshew, Dustin', 'Vyshnya, Sofiya', 'Lim, Hong Seo', 'Qiu, Peng', 'García, Andrés J', 'Botchwey, Edward A']","['biocompatible materials chemistry', 'cluster analysis', 'cytokines', ' hydrogels chemistry', 'immunity', 'oligopeptides chemistry', 'proteomics', ' vascular endothelial growth factor a']",Analyzing immune response to engineered hydrogels by hierarchical clustering of inflammatory cell subsets.,"Understanding the immune response to hydrogel implantation is critical for the design of immunomodulatory biomaterials. To study the progression of inflammation around poly(ethylene glycol) hydrogels presenting Arg-Gly-Asp (RGD) peptides and vascular endothelial growth factor, we used temporal analysis of high-dimensional flow cytometry data paired with intravital imaging, immunohistochemistry, and multiplexed proteomic profiling. RGD-presenting hydrogels created a reparative microenvironment promoting CD206(+) cellular infiltration and revascularization in wounded dorsal skin tissue. Unbiased clustering algorithms (SPADE) revealed significant phenotypic transition shifts as a function of the cell-adhesion hydrogel properties. SPADE identified an intermediate macrophage subset functionally regulating in vivo cytokine secretion that was preferentially recruited for RGD-presenting hydrogels, whereas dendritic cell subsets were preferentially recruited to RDG-presenting hydrogels. Last, RGD-presenting hydrogels controlled macrophage functional cytokine secretion to direct polarization and vascularization. Our studies show that unbiased clustering of single-cell data provides unbiased insights into the underlying immune response to engineered materials."
2022 Jun,Cytotherapy,Cytotherapy. 2022 Jun;24(6):608-618. doi: 10.1016/j.jcyt.2021.12.009. Epub 2022 ,"[""DeVeaux, S'Dravious A"", 'Ogle, Molly E', 'Vyshnya, Sofiya', 'Chiappa, Nathan F', 'Leitmann, Bobby', 'Rudy, Ryan', 'Day, Abigail', 'Mortensen, Luke J', 'Kurtzberg, Joanne', 'Roy, Krishnendu', 'Botchwey, Edward A']","['adipose tissue', 'bone marrow cells', 'cell differentiation', 'cell proliferation', 'cells, cultured', 'ceramides', 'humans', 'lipidomics', ' mesenchymal stem cells', ' sphingolipids', 'adipose-derived mesenchymal stromal cells', 'bone marrow–derived mesenchymal stromal cells', 'cell manufacturing', 'immune potency', 'lipidomics', 'umbilical cord tissue–derived mesenchymal stromal cells']",Characterizing human mesenchymal stromal cells' immune-modulatory potency using targeted lipidomic profiling of sphingolipids.,"Cell therapies are expected to increase over the next decade owing to increasing demand for clinical applications. Mesenchymal stromal cells (MSCs) have been explored to treat a number of diseases, with some successes in early clinical trials. Despite early successes, poor MSC characterization results in lessened therapeutic capacity once in vivo. Here, we characterized MSCs derived from bone marrow (BM), adipose tissue and umbilical cord tissue for sphingolipids (SLs), a class of bioactive lipids, using liquid chromatography/tandem mass spectrometry. We found that ceramide levels differed based on the donor's sex in BM-MSCs. We detected fatty acyl chain variants in MSCs from all three sources. Linear discriminant analysis revealed that MSCs separated based on tissue source. Principal component analysis showed that interferon-γ-primed and unstimulated MSCs separated according to their SL signature. Lastly, we detected higher ceramide levels in low indoleamine 2,3-dioxygenase MSCs, indicating that sphingomyelinase or ceramidase enzymatic activity may be involved in their immune potency."
2022 Feb,"Experimental biology and medicine (Maywood, N.J.)",Exp Biol Med (Maywood). 2022 Feb;247(4):368-374. doi: 10.1177/15353702211068522. ,"['Idris, Ibrahim M', 'Botchwey, Edward A', 'Hyacinth, Hyacinth I']","['aged', 'aging', ' anemia, sickle cell complications', 'humans', 'quality of life', ' stroke', 'syndrome', 'accelerated aging', 'aging', 'hematology', 'organ damage', 'sickle cell disease']",Sickle cell disease as an accelerated aging syndrome.,"Sickle cell disease (SCD) is characterized by vaso-occlusion, hemolysis, and systemic manifestations that form the hallmark of the disease. Apart from morbidity, SCD is also associated with increased mortality and decreased quality of life. Aging is a natural phenomenon that is associated with changes at cellular, tissue, and organ levels, in addition to the loss of physical fitness, increased susceptibility to diseases, and a higher likelihood of mortality. Some of the cellular mechanisms involved in normal (or physiological) aging include abnormalities of sphingolipids (ceramides) and reduced length of the telomere. These changes have also been documented in SCD. Cellular, organs, and physical manifestations of SCD resemble an accelerated aging syndrome. Sickle erythrocytes also acquire morphological features similar to that of aged normal erythrocytes and are thus picked up early by the macrophages for destruction. Brain, kidney, heart, innate and adaptive immune system, and musculoskeletal system of patients with SCD exhibit morphological and functional changes that are ordinarily seen in the elderly in the general population. Stroke, silent cerebral infarcts, cardiomegaly, heart failure, pulmonary hypertension, nephropathy with proteinuria, osteopenia, osteoporosis, osteonecrosis, gout, and infections are exceedingly common in SCD. In this review, we have attempted to draw parallels between SCD and accelerated aging syndromes."
2022 Mar,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2022 Mar;34(10):e2108084. doi: 10.1002/adma.202108084. Epub 2022 Jan ,"[""O'Melia, Meghan J"", 'Mulero-Russe, Adriana', 'Kim, Jihoon', 'Pybus, Alyssa', 'DeRyckere, Deborah', 'Wood, Levi', 'Graham, Douglas K', 'Botchwey, Edward', 'García, Andrés J', 'Thomas, Susan N']","['animals', 'humans', 'immunologic factors therapeutic use', ' immunotherapy', 'mice', ' neoplasms therapy', 'reproducibility of results', 'tumor microenvironment', 'biomaterials', 'breast cancer', 'cancer immunotherapy', 'drug screening', 'immunotherapy']",Synthetic Matrix Scaffolds Engineer the In Vivo Tumor Immune Microenvironment for Immunotherapy Screening.,"Immunotherapy has emerged as one of the most powerful anti-cancer therapies but is stymied by the limits of existing preclinical models with respect to disease latency and reproducibility. Additionally, the influence of differing immune microenvironments within tumors observed clinically and associated with immunotherapeutic resistance cannot be tuned to facilitate drug testing workflows without changing model system or laborious genetic approaches. To address this testing platform gap in the immune oncology drug development pipeline, the authors deploy engineered biomaterials as scaffolds to increase tumor formation rate, decrease disease latency, and diminish variability of immune infiltrates into tumors formed from murine mammary carcinoma cell lines implanted into syngeneic mice. By altering synthetic gel formulations that reshape infiltrating immune cells within the tumor, responsiveness of the same tumor model to varying classes of cancer immunotherapies, including in situ vaccination with a molecular adjuvant and immune checkpoint blockade, diverge. These results demonstrate the significant role the local immune microenvironment plays in immunotherapeutic response. These engineered tumor immune microenvironments therefore improve upon the limitations of current breast tumor models used for immune oncology drug screening to enable immunotherapeutic testing relevant to the variability in tumor immune microenvironments underlying immunotherapeutic resistance seen in human patients."
2021 Nov 4,Stem cell research & therapy,Stem Cell Res Ther. 2021 Nov 4;12(1):565. doi: 10.1186/s13287-021-02627-9.,"['Medrano-Trochez, Camila', 'Chatterjee, Paramita', 'Pradhan, Pallab', 'Stevens, Hazel Y', 'Ogle, Molly E', 'Botchwey, Edward A', 'Kurtzberg, Joanne', 'Yeago, Carolyn', 'Gibson, Greg', 'Roy, Krishnendu']","['bone marrow cells', 'cell cycle genetics', 'cell differentiation', 'cell proliferation genetics', 'cells, cultured', 'humans', ' mesenchymal stem cells metabolism', 'rna-seq', 'tissue donors', 'bone marrow derived msc (bm-msc)', 'cell therapy', 'cord tissue derived msc (ct-msc)', 'msc', 'scrna-seq']",Single-cell RNA-seq of out-of-thaw mesenchymal stromal cells shows tissue-of-origin differences and inter-donor cell-cycle variations.,"BACKGROUND: Human Mesenchymal stromal cells (hMSCs) from various tissue sources are widely investigated in clinical trials. These MSCs are often administered to patients immediately after thawing the cryopreserved product (out-of-thaw), yet little is known about the single-cell transcriptomic landscape and tissue-specific differences of out-of-thaw human MSCs. METHODS: 13 hMSC samples derived from 10 ""healthy"" donors were used to assess donor variability and tissue-of-origin differences in single-cell gene expression profiles. hMSCs derived and expanded from the bone marrow (BM) or cord tissue (CT) underwent controlled-rate freezing for 24 h. Cells were then transferred to the vapor phase of liquid nitrogen for cryopreservation. hMSCs cryopreserved for at least one week, were characterized immediately after thawing using a droplet-based single-cell RNA sequencing method. Data analysis was performed with SC3 and SEURAT pipelines followed by gene ontology analysis. RESULTS: scRNA-seq analysis of the hMSCs revealed two major clusters of donor profiles, which differ in immune-signaling, cell surface properties, abundance of cell-cycle related transcripts, and metabolic pathways of interest. Within-sample transcriptomic heterogeneity is low. We identified numerous differentially expressed genes (DEGs) that are associated with various cellular functions, such as cytokine signaling, cell proliferation, cell adhesion, cholesterol/steroid biosynthesis, and regulation of apoptosis. Gene-set enrichment analyses indicated different functional pathways in BM vs. CT hMSCs. In addition, MSC-batches showed significant variations in cell cycle status, suggesting different proliferative vs. immunomodulatory potential. Several potential transcript-markers for tissue source differences were identified for further investigation in future studies. In functional assays, both BM and CT MSCs suppressed macrophage TNFα secretion upon interferon stimulation. However, differences between donors, tissue-of-origin, and cell cycle are evident in both TNF suppression and cytokine secretion. CONCLUSIONS: This study shows that donor differences in hMSC transcriptome are minor relative to the intrinsic differences in tissue-of-origin. hMSCs with different transcriptomic profiles showed potential differences in functional characteristics. These findings contribute to our understanding of tissue origin-based differences in out-of-thaw therapeutic hMSC products and assist in the identification of cells with immune-regulatory or survival potential from a heterogeneous MSC population. Our results form the basis of future studies in correlating single-cell transcriptomic markers with immunomodulatory functions."
2022 Mar 8,Blood advances,Blood Adv. 2022 Mar 8;6(5):1381-1393. doi: 10.1182/bloodadvances.2021004615.,"['Selma, Jada', 'Song, Hannah', 'Rivera, Christian', 'Douglas, Simone', 'Akella, Abhiramgopal', 'Bollavaram, Keval', 'Thompson, Nishone', 'Platt, Manu O', 'Botchwey, Edward A']","[' anemia, sickle cell pathology', 'animals', ' bone diseases, metabolic etiology', 'disease models, animal', 'female', 'male', 'mice', ' osteoporosis etiology', 'x-ray microtomography']",Sickle cell disease promotes sex-dependent pathological bone loss through enhanced cathepsin proteolytic activity in mice.,"Sickle cell disease (SCD) is the most common hereditary blood disorder in the United States. SCD is frequently associated with osteonecrosis, osteoporosis, osteopenia, and other bone-related complications such as vaso-occlusive pain, ischemic damage, osteomyelitis, and bone marrow hyperplasia known as sickle bone disease (SBD). Previous SBD models have failed to distinguish the age- and sex-specific characteristics of bone morphometry. In this study, we use the Townes mouse model of SCD to assess the pathophysiological complications of SBD in both SCD and sickle cell trait. Changes in bone microarchitecture and bone development were assessed by using high-resolution quantitative micro-computed tomography and the three-dimensional reconstruction of femurs from male and female mice. Our results indicate that SCD causes bone loss and sex-dependent anatomical changes in bone. SCD female mice in particular are prone to trabecular bone loss, whereas cortical bone degradation occurs in both sexes. We also describe the impact of genetic knockdown of cathepsin K- and E-64-mediated cathepsin inhibition on SBD."
2021,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2021 Mar 19;9:650289. doi: 10.3389/fbioe.2021.650289. ,"['San Emeterio, Cheryl L', 'Hymel, Lauren A', 'Turner, Thomas C', 'Ogle, Molly E', 'Pendleton, Emily G', 'York, William Y', 'Olingy, Claire E', 'Liu, Alan Y', 'Lim, Hong Seo', 'Sulchek, Todd A', 'Warren, Gordon L', 'Mortensen, Luke J', 'Qiu, Peng', 'Jang, Young C', 'Willett, Nick J', 'Botchwey, Edward A']","['immunomodulation', 'inflammation', 'regeneration', 'sphingolipid', 'tissue engineering']",Nanofiber-Based Delivery of Bioactive Lipids Promotes Pro-regenerative Inflammation and Enhances Muscle Fiber Growth After Volumetric Muscle Loss.,"Volumetric muscle loss (VML) injuries after extremity trauma results in an important clinical challenge often associated with impaired healing, significant fibrosis, and long-term pain and functional deficits. While acute muscle injuries typically display a remarkable capacity for regeneration, critically sized VML defects present a dysregulated immune microenvironment which overwhelms innate repair mechanisms leading to chronic inflammation and pro-fibrotic signaling. In this series of studies, we developed an immunomodulatory biomaterial therapy to locally modulate the sphingosine-1-phosphate (S1P) signaling axis and resolve the persistent pro-inflammatory injury niche plaguing a critically sized VML defect. Multiparameter pseudo-temporal 2D projections of single cell cytometry data revealed subtle distinctions in the altered dynamics of specific immune subpopulations infiltrating the defect that were critical to muscle regeneration. We show that S1P receptor modulation via nanofiber delivery of Fingolimod (FTY720) was characterized by increased numbers of pro-regenerative immune subsets and coincided with an enriched pool of muscle stem cells (MuSCs) within the injured tissue. This FTY720-induced priming of the local injury milieu resulted in increased myofiber diameter and alignment across the defect space followed by enhanced revascularization and reinnervation of the injured muscle. These findings indicate that localized modulation of S1P receptor signaling via nanofiber scaffolds, which resemble the native extracellular matrix ablated upon injury, provides great potential as an immunotherapy for bolstering endogenous mechanisms of regeneration following VML injury."
