time,journal,doi_info,authors,key words,title,abstract
2023 Dec 26,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2023 Dec 26;120(52):e2319169120. doi: ,"['Dyer, Eva L', 'Kording, Konrad']",[],Why the simplest explanation isn't always the best.,
2023 Dec,Journal of virological methods,J Virol Methods. 2023 Dec;322:114834. doi: 10.1016/j.jviromet.2023.114834. Epub ,"['Ten Eyck, Andrew', 'Chen, Yen-Cheng', 'Gifford, Levi', 'Torres-Rivera, Dariana', 'Dyer, Eva L', 'Melikyan, Gregory B']","['humans', 'nuclear envelope', 'active transport, cell nucleus', 'cell nucleus', 'hela cells', ' hiv-1 genetics', ' virus diseases', 'virus replication genetics', 'deep learning', 'label-free cell imaging', 'nuclear membrane', 'virus nuclear entry']",Label-free imaging of nuclear membrane for analysis of nuclear import of viral complexes.,"HIV-1 enters the nucleus of non-dividing cells through the nuclear pore complex where it integrates into the host genome. The mechanism of HIV-1 nuclear import remains poorly understood. A powerful means to investigate the docking of HIV-1 at the nuclear pore and nuclear import of viral complexes is through single virus tracking in live cells. This approach necessitates fluorescence labeling of HIV-1 particles and the nuclear envelope, which may be challenging, especially in the context of primary cells. Here, we leveraged a deep neural network model for label-free visualization of the nuclear envelope using transmitted light microscopy. A training image set of cells with fluorescently labeled nuclear Lamin B1 (ground truth), along with the corresponding transmitted light images, was acquired and used to train our model to predict the morphology of the nuclear envelope in fixed cells. This protocol yielded accurate predictions of the nuclear membrane and was used in conjunction with virus infection to examine the nuclear entry of fluorescently labeled HIV-1 complexes. Analyses of HIV-1 nuclear import as a function of virus input yielded identical numbers of fluorescent viral complexes per nucleus using the ground truth and predicted nuclear membrane images. We also demonstrate the utility of predicting the nuclear envelope based on transmitted light images for multicolor fluorescence microscopy of infected cells. Importantly, we show that our model can be adapted to predict the nuclear membrane of live cells imaged at 37 °C, making this approach compatible with single virus tracking. Collectively, these findings demonstrate the utility of deep learning approaches for label-free imaging of cellular structures during early stages of virus infection."
2023 Jul,Proceedings of machine learning research,Proc Mach Learn Res. 2023 Jul;202:1341-1360.,"['Azabou, Mehdi', 'Ganesh, Venkataramana', 'Thakoor, Shantanu', 'Lin, Chi-Heng', 'Sathidevi, Lakshmi', 'Liu, Ran', 'Valko, Michal', 'Veličković, Petar', 'Dyer, Eva L']",[],Half-Hop: A graph upsampling approach for slowing down message passing.,"Message passing neural networks have shown a lot of success on graph-structured data. However, there are many instances where message passing can lead to over-smoothing or fail when neighboring nodes belong to different classes. In this work, we introduce a simple yet general framework for improving learning in message passing neural networks. Our approach essentially upsamples edges in the original graph by adding ""slow nodes"" at each edge that can mediate communication between a source and a target node. Our method only modifies the input graph, making it plug-and-play and easy to use with existing models. To understand the benefits of slowing down message passing, we provide theoretical and empirical analyses. We report results on several supervised and self-supervised benchmarks, and show improvements across the board, notably in heterophilic conditions where adjacent nodes are more likely to have different labels. Finally, we show how our approach can be used to generate augmentations for self-supervised learning, where slow nodes are randomly introduced into different edges in the graph to generate multi-scale views with variable path lengths."
2023 Apr,International IEEE/EMBS Conference on Neural Engineering : [proceedings]. ,Int IEEE EMBS Conf Neural Eng. 2023 Apr;2023:10.1109/ner52421.2023.10123846. doi: ,"['Mendelson, Michael J', 'Azabou, Mehdi', 'Jacob, Suma', 'Grissom, Nicola', 'Darrow, David', 'Ebitz, Becket', 'Herman, Alexander', 'Dyer, Eva L']","['human decision making', 'behavior analysis', 'contrastive learning', 'multi-arm bandit task', 'self-supervised learning']",Learning signatures of decision making from many individuals playing the same game.,"Human behavior is incredibly complex and the factors that drive decision making-from instinct, to strategy, to biases between individuals-often vary over multiple timescales. In this paper, we design a predictive framework that learns representations to encode an individual's 'behavioral style', i.e. long-term behavioral trends, while simultaneously predicting future actions and choices. The model explicitly separates representations into three latent spaces: the recent past space, the short-term space, and the long-term space where we hope to capture individual differences. To simultaneously extract both global and local variables from complex human behavior, our method combines a multi-scale temporal convolutional network with latent prediction tasks, where we encourage embeddings across the entire sequence, as well as subsets of the sequence, to be mapped to similar points in the latent space. We develop and apply our method to a large-scale behavioral dataset from 1,000 humans playing a 3-armed bandit task, and analyze what our model's resulting embeddings reveal about the human decision making process. In addition to predicting future choices, we show that our model can learn rich representations of human behavior over multiple timescales and provide signatures of differences in individuals."
2023 Apr,International IEEE/EMBS Conference on Neural Engineering : [proceedings]. ,Int IEEE EMBS Conf Neural Eng. 2023 Apr;2023:10.1109/ner52421.2023.10123821. doi: ,"['Urzay, Carolina', 'Ahad, Nauman', 'Azabou, Mehdi', 'Schneider, Aidan', 'Atamkuri, Geethika', 'Hengen, Keith B', 'Dyer, Eva L']","['change point detection', 'contrastive learning', 'metric learning', 'naturalistic behavior analysis', 'neural population activity']",Detecting change points in neural population activity with contrastive metric learning.,"Finding points in time where the distribution of neural responses changes (change points) is an important step in many neural data analysis pipelines. However, in complex and free behaviors, where we see different types of shifts occurring at different rates, it can be difficult to use existing methods for change point (CP) detection because they can't necessarily handle different types of changes that may occur in the underlying neural distribution. Additionally, response changes are often sparse in high dimensional neural recordings, which can make existing methods detect spurious changes. In this work, we introduce a new approach for finding changes in neural population states across diverse activities and arousal states occurring in free behavior. Our model follows a contrastive learning approach: we learn a metric for CP detection based on maximizing the Sinkhorn divergences of neuron firing rates across two sides of a labeled CP. We apply this method to a 12-hour neural recording of a freely behaving mouse to detect changes in sleep stages and behavior. We show that when we learn a metric, we can better detect change points and also yield insights into which neurons and sub-groups are important for detecting certain types of switches that occur in the brain."
2023 Sep 6,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Sep 6:2023.09.01.555947. doi: 10.1101/2023.09.01.555947.,"['McGregor, James N', 'Farris, Clayton A', 'Ensley, Sahara', 'Schneider, Aidan', 'Wang, Chao', 'Liu, Yuqi', 'Tu, Jianhong', 'Elmore, Halla', 'Ronayne, Keenan D', 'Wessel, Ralf', 'Dyer, Eva L', 'Bhaskaran-Nair, Kiran', 'Holtzman, David M', 'Hengen, Keith B']","['neurodegeneration', 'behavior', 'criticality', 'hippocampus', 'homeostasis', 'neurophysiology', 'sleep', 'tau']",Tauopathy severely disrupts homeostatic set-points in emergent neural dynamics but not in the activity of individual neurons.,"The homeostatic regulation of neuronal activity is essential for robust computation; key set-points, such as firing rate, are actively stabilized to compensate for perturbations. From this perspective, the disruption of brain function central to neurodegenerative disease should reflect impairments of computationally essential set-points. Despite connecting neurodegeneration to functional outcomes, the impact of disease on set-points in neuronal activity is unknown. Here we present a comprehensive, theory-driven investigation of the effects of tau-mediated neurodegeneration on homeostatic set-points in neuronal activity. In a mouse model of tauopathy, we examine 27,000 hours of hippocampal recordings during free behavior throughout disease progression. Contrary to our initial hypothesis that tauopathy would impact set-points in spike rate and variance, we found that cell-level set-points are resilient to even the latest stages of disease. Instead, we find that tauopathy disrupts neuronal activity at the network-level, which we quantify using both pairwise measures of neuron interactions as well as measurement of the network's nearness to criticality, an ideal computational regime that is known to be a homeostatic set-point. We find that shifts in network criticality 1) track with symptoms, 2) predict underlying anatomical and molecular pathology, 3) occur in a sleep/wake dependent manner, and 4) can be used to reliably classify an animal's genotype. Our data suggest that the critical set-point is intact, but that homeostatic machinery is progressively incapable of stabilizing hippocampal networks, particularly during waking. This work illustrates how neurodegenerative processes can impact the computational capacity of neurobiological systems, and suggest an important connection between molecular pathology, circuit function, and animal behavior."
2023 Jun 27,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jun 27:2023.06.09.544399. doi: ,"['Parks, David F', 'Schneider, Aidan M', 'Xu, Yifan', 'Brunwasser, Samuel J', 'Funderburk, Samuel', 'Thurber, Danilo', 'Blanche, Tim', 'Dyer, Eva L', 'Haussler, David', 'Hengen, Keith B']",[],"A non-oscillatory, millisecond-scale embedding of brain state provides insight into behavior.","Sleep and wake are understood to be slow, long-lasting processes that span the entire brain. Brain states correlate with many neurophysiological changes, yet the most robust and reliable signature of state is enriched in rhythms between 0.1 and 20 Hz. The possibility that the fundamental unit of brain state could be a reliable structure at the scale of milliseconds and microns has not been addressed due to the physical limits associated with oscillation-based definitions. Here, by analyzing high resolution neural activity recorded in 10 anatomically and functionally diverse regions of the murine brain over 24 h, we reveal a mechanistically distinct embedding of state in the brain. Sleep and wake states can be accurately classified from on the order of 10(0) to 10(1) ms of neuronal activity sampled from 100 μm of brain tissue. In contrast to canonical rhythms, this embedding persists above 1,000 Hz. This high frequency embedding is robust to substates and rapid events such as sharp wave ripples and cortical ON/OFF states. To ascertain whether such fast and local structure is meaningful, we leveraged our observation that individual circuits intermittently switch states independently of the rest of the brain. Brief state discontinuities in subsets of circuits correspond with brief behavioral discontinuities during both sleep and wake. Our results suggest that the fundamental unit of state in the brain is consistent with the spatial and temporal scale of neuronal computation, and that this resolution can contribute to an understanding of cognition and behavior."
2022 Dec,Advances in neural information processing systems,Adv Neural Inf Process Syst. 2022 Dec;35:2377-2391.,"['Liu, Ran', 'Azabou, Mehdi', 'Dabagia, Max', 'Xiao, Jingyun', 'Dyer, Eva L']",[],Seeing the forest and the tree: Building representations of both individual and collective dynamics with transformers.,"Complex time-varying systems are often studied by abstracting away from the dynamics of individual components to build a model of the population-level dynamics from the start. However, when building a population-level description, it can be easy to lose sight of each individual and how they contribute to the larger picture. In this paper, we present a novel transformer architecture for learning from time-varying data that builds descriptions of both the individual as well as the collective population dynamics. Rather than combining all of our data into our model at the onset, we develop a separable architecture that operates on individual time-series first before passing them forward; this induces a permutation-invariance property and can be used to transfer across systems of different size and order. After demonstrating that our model can be applied to successfully recover complex interactions and dynamics in many-body systems, we apply our approach to populations of neurons in the nervous system. On neural activity datasets, we show that our model not only yields robust decoding performance, but also provides impressive performance in transfer across recordings of different animals without any neuron-level correspondence. By enabling flexible pre-training that can be transferred to neural recordings of different size and order, our work provides a first step towards creating a foundation model for neural decoding."
2023 May,Nature,Nature. 2023 May;617(7962):747-754. doi: 10.1038/s41586-023-06052-1. Epub 2023 ,"['Bozdag, G Ozan', 'Zamani-Dahaj, Seyed Alireza', 'Day, Thomas C', 'Kahn, Penelope C', 'Burnetti, Anthony J', 'Lac, Dung T', 'Tong, Kai', 'Conlin, Peter L', 'Balwani, Aishwarya H', 'Dyer, Eva L', 'Yunker, Peter J', 'Ratcliff, William C']","[' acclimatization', ' biological evolution', 'models, biological', ' saccharomyces cerevisiae cytology metabolism', 'anaerobiosis', 'aerobiosis', 'oxygen analysis metabolism', 'cell shape', ' cell aggregation physiology']",De novo evolution of macroscopic multicellularity.,"While early multicellular lineages necessarily started out as relatively simple groups of cells, little is known about how they became Darwinian entities capable of sustained multicellular evolution(1-3). Here we investigate this with a multicellularity long-term evolution experiment, selecting for larger group size in the snowflake yeast (Saccharomyces cerevisiae) model system. Given the historical importance of oxygen limitation(4), our ongoing experiment consists of three metabolic treatments(5)-anaerobic, obligately aerobic and mixotrophic yeast. After 600 rounds of selection, snowflake yeast in the anaerobic treatment group evolved to be macroscopic, becoming around 2 × 10(4) times larger (approximately mm scale) and about 10(4)-fold more biophysically tough, while retaining a clonal multicellular life cycle. This occurred through biophysical adaptation-evolution of increasingly elongate cells that initially reduced the strain of cellular packing and then facilitated branch entanglements that enabled groups of cells to stay together even after many cellular bonds fracture. By contrast, snowflake yeast competing for low oxygen(5) remained microscopic, evolving to be only around sixfold larger, underscoring the critical role of oxygen levels in the evolution of multicellular size. Together, this research provides unique insights into an ongoing evolutionary transition in individuality, showing how simple groups of cells overcome fundamental biophysical limitations through gradual, yet sustained, multicellular evolution."
2023 Apr 25,Cell reports,Cell Rep. 2023 Apr 25;42(4):112318. doi: 10.1016/j.celrep.2023.112318. Epub 2023 ,"['Schneider, Aidan', 'Azabou, Mehdi', 'McDougall-Vigier, Louis', 'Parks, David F', 'Ensley, Sahara', 'Bhaskaran-Nair, Kiran', 'Nowakowski, Tomasz', 'Dyer, Eva L', 'Hengen, Keith B']","['animals', ' transcriptome genetics', ' neurons physiology', 'learning', 'cp: neuroscience', 'cell types', 'deep learning', 'electrophysiology', 'multihead attention', 'optophysiology', 'transcriptomics', 'visual cortex']",Transcriptomic cell type structures in vivo neuronal activity across multiple timescales.,"Cell type is hypothesized to be a key determinant of a neuron's role within a circuit. Here, we examine whether a neuron's transcriptomic type influences the timing of its activity. We develop a deep-learning architecture that learns features of interevent intervals across timescales (ms to >30 min). We show that transcriptomic cell-class information is embedded in the timing of single neuron activity in the intact brain of behaving animals (calcium imaging and extracellular electrophysiology) as well as in a bio-realistic model of the visual cortex. Further, a subset of excitatory cell types are distinguishable but can be classified with higher accuracy when considering cortical layer and projection class. Finally, we show that computational fingerprints of cell types may be universalizable across structured stimuli and naturalistic movies. Our results indicate that transcriptomic class and type may be imprinted in the timing of single neuron activity across diverse stimuli."
