time,journal,doi_info,authors,key words,title,abstract
2024 Mar 4,Nature communications,Nat Commun. 2024 Mar 4;15(1):1975. doi: 10.1038/s41467-024-46250-7.,"['Hua, Xuanwen', 'Han, Keyi', 'Mandracchia, Biagio', 'Radmand, Afsane', 'Liu, Wenhao', 'Kim, Hyejin', 'Yuan, Zhou', 'Ehrlich, Samuel M', 'Li, Kaitao', 'Zheng, Corey', 'Son, Jeonghwan', 'Silva Trenkle, Aaron D', 'Kwong, Gabriel A', 'Zhu, Cheng', 'Dahlman, James E', 'Jia, Shu']","['flow cytometry', ' biological assay', ' biomedical research', 'microfluidics', 'single-cell analysis']","Light-field flow cytometry for high-resolution, volumetric and multiparametric 3D single-cell analysis.","Imaging flow cytometry (IFC) combines flow cytometry and fluorescence microscopy to enable high-throughput, multiparametric single-cell analysis with rich spatial details. However, current IFC techniques remain limited in their ability to reveal subcellular information with a high 3D resolution, throughput, sensitivity, and instrumental simplicity. In this study, we introduce a light-field flow cytometer (LFC), an IFC system capable of high-content, single-shot, and multi-color acquisition of up to 5,750 cells per second with a near-diffraction-limited resolution of 400-600 nm in all three dimensions. The LFC system integrates optical, microfluidic, and computational strategies to facilitate the volumetric visualization of various 3D subcellular characteristics through convenient access to commonly used epi-fluorescence platforms. We demonstrate the effectiveness of LFC in assaying, analyzing, and enumerating intricate subcellular morphology, function, and heterogeneity using various phantoms and biological specimens. The advancement offered by the LFC system presents a promising methodological pathway for broad cell biological and translational discoveries, with the potential for widespread adoption in biomedical research."
2024 Jan 17,"Cancer immunology, immunotherapy : CII",Cancer Immunol Immunother. 2024 Jan 17;73(1):10. doi: 10.1007/s00262-023-03589-y.,"['Kinney, Brendan L C', 'Gunti, Sreenivasulu', 'Kansal, Vikash', 'Parrish, Connor J', 'Saba, Nabil F', 'Teng, Yong', 'Henry, Mary Katherine', 'Su, Fang-Yi', 'Kwong, Gabriel A', 'Schmitt, Nicole C']","['humans', ' antigen presentation', 'squamous cell carcinoma of head and neck', 'tumor suppressor protein p53 genetics', ' head and neck neoplasms genetics', 'cisplatin', 'stat1 transcription factor genetics', 'intracellular signaling peptides and proteins', 'antigen processing machinery', 'head and neck cancer', 'head and neck squamous cell carcinoma', 'nlrc5', 'stat1', 'p53']",Rescue of NLRC5 expression restores antigen processing machinery in head and neck cancer cells lacking functional STAT1 and p53.,"The antigen processing machinery (APM) components needed for a tumor cell to present an antigen to a T cell are expressed at low levels in solid tumors, constituting an important mechanism of immune escape. More than most other solid tumors, head and neck squamous cell carcinoma (HNSCC) cells tend to have low APM expression, rendering them insensitive to immune checkpoint blockade and most other forms of immunotherapy. In HNSCC, this APM deficiency is largely driven by high levels of EGFR and SHP2, leading to low expression and activation of STAT1; however, recent studies suggest that p53, which is often mutated in HNSCCs, may also play a role. In the current study, we aimed to investigate the extent to which STAT1 and p53 individually regulate APM component expression in HNSCC cells. We found that in cells lacking functional p53, APM expression could still be induced by interferon-gamma or DNA-damaging chemotherapy (cisplatin) as long as STAT1 expression remained intact; when both transcription factors were knocked down, APM component expression was abolished. When we bypassed these deficient pathways by rescuing the expression of NLRC5, APM expression was also restored. These results suggest that dual loss of functional STAT1 and p53 may render HNSCC cells incapable of processing and presenting antigens, but rescue of downstream NLRC5 expression may be an attractive strategy for restoring sensitivity to T cell-based immunotherapy."
2023 Jan 23,Cell reports methods,Cell Rep Methods. 2022 Dec 30;3(1):100372. doi: 10.1016/j.crmeth.2022.100372. ,"['Holt, Brandon Alexander', 'Lim, Hong Seo', 'Sivakumar, Anirudh', 'Phuengkham, Hathaichanok', 'Su, Melanie', 'Tuttle, McKenzie', 'Xu, Yilin', 'Liakakos, Haley', 'Qiu, Peng', 'Kwong, Gabriel A']","['substrate specificity', ' peptide hydrolases metabolism', ' endopeptidases', 'activity-based sensor', 'compressed sensing', 'protease', 'protease-activatable drugs', 'substrate selection', 'synthetic biomarker']",Embracing enzyme promiscuity with activity-based compressed biosensing.,"The development of protease-activatable drugs and diagnostics requires identifying substrates specific to individual proteases. However, this process becomes increasingly difficult as the number of target proteases increases because most substrates are promiscuously cleaved by multiple proteases. We introduce a method-substrate libraries for compressed sensing of enzymes (SLICE)-for selecting libraries of promiscuous substrates that classify protease mixtures (1) without deconvolution of compressed signals and (2) without highly specific substrates. SLICE ranks substrate libraries using a compression score (C), which quantifies substrate orthogonality and protease coverage. This metric is predictive of classification accuracy across 140 in silico (Pearson r = 0.71) and 55 in vitro libraries (r = 0.55). Using SLICE, we select a two-substrate library to classify 28 samples containing 11 enzymes in plasma (area under the receiver operating characteristic curve [AUROC] = 0.93). We envision that SLICE will enable the selection of libraries that capture information from hundreds of enzymes using fewer substrates for applications like activity-based sensors for imaging and diagnostics."
2023 Feb 14,Lab on a chip,Lab Chip. 2023 Feb 14;23(4):624-630. doi: 10.1039/d2lc01024k.,"['Son, Jeonghwan', 'Mandracchia, Biagio', 'Silva Trenkle, Aaron D', 'Kwong, Gabriel A', 'Jia, Shu']","[' microscopy methods', 'flow cytometry', ' imaging, three-dimensional', 'microfluidics methods', 'optical imaging']",Portable light-sheet optofluidic microscopy for 3D fluorescence imaging flow cytometry.,"Imaging flow cytometry (IFC) combines conventional flow cytometry with optical microscopy, allowing for high-throughput, multi-parameter screening of single-cell specimens with morphological and spatial information. However, current 3D IFC systems are limited by instrumental complexity and incompatibility with available microfluidic devices or operations. Here, we report portable light-sheet optofluidic microscopy (PLSOM) for 3D fluorescence cytometric imaging. PLSOM exploits a compact, open-top light-sheet configuration compatible with commonly adopted microfluidic chips. The system offers a subcellular resolution (2-4 μm) in all three dimensions, high throughput (∼1000 cells per s), and portability (30 cm (l) × 10 cm (w) × 26 cm (h)). We demonstrated PLSOM for 3D IFC using various phantom and cell systems. The low-cost and custom-built architecture of PLSOM permits easy adaptability and dissemination for broad 3D flow cytometric investigations."
2022 Mar,Nature biomedical engineering,Nat Biomed Eng. 2022 Mar;6(3):310-324. doi: 10.1038/s41551-022-00852-y. Epub 2022 ,"['Mac, Quoc D', 'Sivakumar, Anirudh', 'Phuengkham, Hathaichanok', 'Xu, Congmin', 'Bowen, James R', 'Su, Fang-Yi', 'Stentz, Samuel Z', 'Sim, Hyoungjun', 'Harris, Adrian M', 'Li, Tonia T', 'Qiu, Peng', 'Kwong, Gabriel A']","['animals', 'disease models, animal', 'humans', ' immunoconjugates', 'mice', ' neoplasms', 'peptide hydrolases', 'urinalysis']",Urinary detection of early responses to checkpoint blockade and of resistance to it via protease-cleaved antibody-conjugated sensors.,"Immune checkpoint blockade (ICB) therapy does not benefit the majority of treated patients, and those who respond to the therapy can become resistant to it. Here we report the design and performance of systemically administered protease activity sensors conjugated to anti-programmed cell death protein 1 (αPD1) antibodies for the monitoring of antitumour responses to ICB therapy. The sensors consist of a library of mass-barcoded protease substrates that, when cleaved by tumour proteases and immune proteases, are released into urine, where they can be detected by mass spectrometry. By using syngeneic mouse models of colorectal cancer, we show that random forest classifiers trained on mass spectrometry signatures from a library of αPD1-conjugated mass-barcoded activity sensors for differentially expressed tumour proteases and immune proteases can be used to detect early antitumour responses and discriminate resistance to ICB therapy driven by loss-of-function mutations in either the B2m or Jak1 genes. Biomarkers of protease activity may facilitate the assessment of early responses to ICB therapy and the classification of refractory tumours based on resistance mechanisms."
2022 Feb 25,Science advances,Sci Adv. 2022 Feb 25;8(8):eabm7950. doi: 10.1126/sciadv.abm7950. Epub 2022 Feb ,"['Su, Fang-Yi', 'Zhao, Qingyang Henry', 'Dahotre, Shreyas N', 'Gamboa, Lena', 'Bawage, Swapnil Subhash', 'Silva Trenkle, Aaron D', 'Zamat, Ali', 'Phuengkham, Hathaichanok', 'Ahmed, Rafi', 'Santangelo, Philip J', 'Kwong, Gabriel A']",[],In vivo mRNA delivery to virus-specific T cells by light-induced ligand exchange of MHC class I antigen-presenting nanoparticles.,Simultaneous delivery of mRNA to multiple populations of antigen (Ag)-specific CD8(+) T cells is challenging given the diversity of peptide epitopes and polymorphism of class I major histocompatibility complexes (MH
2022 Jan,Molecular systems biology,Mol Syst Biol. 2022 Jan;18(1):e10495. doi: 10.15252/msb.202110495.,"['Holt, Brandon Alexander', 'Tuttle, McKenzie', 'Xu, Yilin', 'Su, Melanie', 'Røise, Joachim J', 'Wang, Xioajian', 'Murthy, Niren', 'Kwong, Gabriel A']","['anti-bacterial agents pharmacology', 'antimicrobial peptides', 'bacteria', ' bacterial infections', 'humans', ' prodrugs', 'antibiotic failure', 'bacteria', 'enzymes', 'minimum inhibitory concentration', 'prodrugs']",Dimensionless parameter predicts bacterial prodrug success.,"Understanding mechanisms of antibiotic failure is foundational to combating the growing threat of multidrug-resistant bacteria. Prodrugs-which are converted into a pharmacologically active compound after administration-represent a growing class of therapeutics for treating bacterial infections but are understudied in the context of antibiotic failure. We hypothesize that strategies that rely on pathogen-specific pathways for prodrug conversion are susceptible to competing rates of prodrug activation and bacterial replication, which could lead to treatment escape and failure. Here, we construct a mathematical model of prodrug kinetics to predict rate-dependent conditions under which bacteria escape prodrug treatment. From this model, we derive a dimensionless parameter we call the Bacterial Advantage Heuristic (BAH) that predicts the transition between prodrug escape and successful treatment across a range of time scales (1-10(4) h), bacterial carrying capacities (5 × 10(4) -10(5) CFU/µl), and Michaelis constants (K(M) = 0.747-7.47 mM). To verify these predictions in vitro, we use two models of bacteria-prodrug competition: (i) an antimicrobial peptide hairpin that is enzymatically activated by bacterial surface proteases and (ii) a thiomaltose-conjugated trimethoprim that is internalized by bacterial maltodextrin transporters and hydrolyzed by free thiols. We observe that prodrug failure occurs at BAH values above the same critical threshold predicted by the model. Furthermore, we demonstrate two examples of how failing prodrugs can be rescued by decreasing the BAH below the critical threshold via (i) substrate design and (ii) nutrient control. We envision such dimensionless parameters serving as supportive pharmacokinetic quantities that guide the design and administration of prodrug therapeutics."
2021 Oct 20,Science translational medicine,Sci Transl Med. 2021 Oct 20;13(616):eabe8939. doi: 10.1126/scitranslmed.abe8939. ,"['Cazanave, Sophie C', 'Warren, Andrew D', 'Pacula, Maciej', 'Touti, Fayçal', 'Zagorska, Anna', 'Gural, Nil', 'Huang, Eric K', 'Sherman, Sarah', 'Cheema, Mehar', 'Ibarra, Sabrina', 'Bates, Jamie', 'Billin, Andrew N', 'Liles, John T', 'Budas, Grant R', 'Breckenridge, David G', 'Tiniakos, Dina', 'Ratziu, Vlad', 'Daly, Ann K', 'Govaere, Olivier', 'Anstee, Quentin M', 'Gelrud, Louis', 'Luther, Jay', 'Chung, Raymond T', 'Corey, Kathleen E', 'Winckler, Wendy', 'Bhatia, Sangeeta', 'Kwong, Gabriel A']","['fibrosis', 'humans', ' non-alcoholic fatty liver disease', 'peptides']",Peptide-based urinary monitoring of fibrotic nonalcoholic steatohepatitis by mass-barcoded activity-based sensors.,"Noninvasive detection of nonalcoholic steatohepatitis (NASH), the progressive form of nonalcoholic fatty liver disease, promises to improve patient screening, accelerate drug trials, and reduce health care costs. On the basis of protease dysregulation of the biological pathways of fibrotic NASH, we developed the Glympse Bio Test System (GBTS) for multiplexed quantification of liver protease activity. GBTS-NASH comprises a mixture of 19 mass-barcoded PEGylated peptides that is administered intravenously and senses liver protease activity by releasing mass-barcoded reporters into urine for analysis by mass spectrometry. To identify a protease signature of NASH, transcriptomic analysis of 355 human liver biopsies identified a 13-protease panel that discriminated clinically relevant NASH ≥F2 fibrosis from F0-F1 with high classification accuracy across two independent patient datasets. We screened 159 candidate substrates to identify a panel of 19 peptides that exhibited high activity for our 13-protease panel. In the choline-deficient, L-amino acid-defined, high-fat diet (CDAHFD) mouse model, binary classifiers trained on urine samples discriminated fibrotic NASH from simple steatosis and healthy controls across a range of nondisease conditions and indicated disease regression upon diet change [area under receiver operating characteristics (AUROCs) > 0.97]. Using a hepatoprotective triple combination treatment (FXR agonist, ACC and ASK1 inhibitors) in a rat model of NASH, urinary classification distinguished F0-F1 from ≥F2 animals and indicated therapeutic response as early as 1 week on treatment (AUROCs >0.91). Our results support GBTS-NASH to diagnose fibrotic NASH via an infusion of peptides, monitor changes in disease severity, and indicate early treatment response."
2021 Aug,Advanced therapeutics,Adv Ther (Weinh). 2021 Aug;4(8):2100034. doi: 10.1002/adtp.202100034. Epub 2021 ,"['Dahotre, Shreyas N', 'Romanov, Anna M', 'Su, Fang-Yi', 'Kwong, Gabriel A']","['t cell activation', 'adoptive cell transfer', 'pmhc liposomes', 'synthetic antigen-presenting cells']",Synthetic Antigen-Presenting Cells for Adoptive T Cell Therapy.,"Adoptive T cell therapies are transforming the treatment of solid and liquid tumors, yet their widespread adoption is limited in part by the challenge of generating functional cells. T cell activation and expansion using conventional antigen-presenting cells (APCs) is unreliable due to the variable quality of donor-derived APCs. As a result, engineered approaches using nanomaterials presenting T cell activation signals are a promising alternative due to their ability to be robustly manufactured with precise control over stimulation cues. In this work, we design synthetic APCs that consist of liposomes surface-functionalized with peptide-major histocompatibility complexes (pMHC). Synthetic APCs selectively target and activate antigen-specific T cell populations to levels similar to conventional protocols using non-specific αCD3 and αCD28 antibodies without the need for costimulation signals. T cells treated with synthetic APCs produce effector cytokines and demonstrate cytotoxic activity when co-cultured with tumor cells presenting target antigen in vitro. Following adoptive transfer into tumor-bearing mice, activated cells control tumor growth and improve overall survival compared to untreated mice. Synthetic APCs could potentially be used in the future to improve the accessibility of adoptive T cell therapies by removing the need for conventional APCs during manufacturing."
2021 Oct,Nature reviews. Cancer,Nat Rev Cancer. 2021 Oct;21(10):655-668. doi: 10.1038/s41568-021-00389-3. Epub ,"['Kwong, Gabriel A', 'Ghosh, Sharmistha', 'Gamboa, Lena', 'Patriotis, Christos', 'Srivastava, Sudhir', 'Bhatia, Sangeeta N']","['biomarkers, tumor  analysis blood metabolism urine', 'early detection of cancer  methods', 'humans', 'neoplasms blood  diagnosis metabolism urine']",Synthetic biomarkers: a twenty-first century path to early cancer detection.,"Detection of cancer at an early stage when it is still localized improves patient response to medical interventions for most cancer types. The success of screening tools such as cervical cytology to reduce mortality has spurred significant interest in new methods for early detection (for example, using non-invasive blood-based or biofluid-based biomarkers). Yet biomarkers shed from early lesions are limited by fundamental biological and mass transport barriers - such as short circulation times and blood dilution - that limit early detection. To address this issue, synthetic biomarkers are being developed. These represent an emerging class of diagnostics that deploy bioengineered sensors inside the body to query early-stage tumours and amplify disease signals to levels that could potentially exceed those of shed biomarkers. These strategies leverage design principles and advances from chemistry, synthetic biology and cell engineering. In this Review, we discuss the rationale for development of biofluid-based synthetic biomarkers. We examine how these strategies harness dysregulated features of tumours to amplify detection signals, use tumour-selective activation to increase specificity and leverage natural processing of bodily fluids (for example, blood, urine and proximal fluids) for easy detection. Finally, we highlight the challenges that exist for preclinical development and clinical translation of synthetic biomarker diagnostics."
