time,journal,doi_info,authors,key words,title,abstract
2024 Jun 11,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2024 Jun 11;121(24):e2320517121. doi: ,"['Rieser, Jennifer M', 'Chong, Baxi', 'Gong, Chaohui', 'Astley, Henry C', 'Schiebel, Perrin E', 'Diaz, Kelimar', 'Pierce, Christopher J', 'Lu, Hang', 'Hatton, Ross L', 'Choset, Howie', 'Goldman, Daniel I']","['animals', ' locomotion physiology', ' lizards physiology', 'snakes physiology', 'biomechanical phenomena', 'models, biological', 'geometric phase', 'locomotion', 'physics of living systems']",Geometric phase predicts locomotion performance in undulating living systems across scales.,"Self-propelling organisms locomote via generation of patterns of self-deformation. Despite the diversity of body plans, internal actuation schemes and environments in limbless vertebrates and invertebrates, such organisms often use similar traveling waves of axial body bending for movement. Delineating how self-deformation parameters lead to locomotor performance (e.g. speed, energy, turning capabilities) remains challenging. We show that a geometric framework, replacing laborious calculation with a diagrammatic scheme, is well-suited to discovery and comparison of effective patterns of wave dynamics in diverse living systems. We focus on a regime of undulatory locomotion, that of highly damped environments, which is applicable not only to small organisms in viscous fluids, but also larger animals in frictional fluids (sand) and on frictional ground. We find that the traveling wave dynamics used by mm-scale nematode worms and cm-scale desert dwelling snakes and lizards can be described by time series of weights associated with two principal modes. The approximately circular closed path trajectories of mode weights in a self-deformation space enclose near-maximal surface integral (geometric phase) for organisms spanning two decades in body length. We hypothesize that such trajectories are targets of control (which we refer to as ""serpenoid templates""). Further, the geometric approach reveals how seemingly complex behaviors such as turning in worms and sidewinding snakes can be described as modulations of templates. Thus, the use of differential geometry in the locomotion of living systems generates a common description of locomotion across taxa and provides hypotheses for neuromechanical control schemes at lower levels of organization."
2024 May 14,Lab on a chip,Lab Chip. 2024 May 14;24(10):2811-2824. doi: 10.1039/d3lc01080e.,"['Wan, Jason', 'Ding, Jimmy L', 'Lu, Hang']","['animals', ' caenorhabditis elegans genetics physiology metabolism', ' aging physiology', ' neurons metabolism cytology', ' lab-on-a-chip devices', 'mechanotransduction, cellular', 'microfluidic analytical techniques instrumentation']",Microfluidic approach to correlate C. elegans neuronal functional aging and underlying changes of gene expression in mechanosensation.,"The aging process has broad physiological impacts, including a significant decline in sensory function, which threatens both physical health and quality of life. One ideal model to study aging, neuronal function, and gene expression is the nematode Caenorhabditis elegans, which has a short lifespan and relatively simple, thoroughly mapped nervous system and genome. Previous works have identified that mechanosensory neuronal structure changes with age, but importantly, the actual age-related changes in the function and health of neurons, as well as the underlying genetic mechanisms responsible for these declines, are not fully understood. While advanced techniques such as single-cell RNA-sequencing have been developed to quantify gene expression, it is difficult to relate this information to functional changes in aging due to a lack of tools available. To address these limitations, we present a platform capable of measuring both physiological function and its associated gene expression throughout the aging process in individuals. Using our pipeline, we investigate the age-related changes in function of the mechanosensing ALM neuron in C. elegans, as well as some relevant gene expression patterns (mec-4 and mec-10). Using a series of devices for animals of different ages, we examined subtle changes in neuronal function and found that while the magnitude of neuronal response to a large stimulus declines with age, sensory capability does not significantly decline with age; further, gene expression is well maintained throughout aging. Additionally, we examine PVD, a harsh-touch mechanosensory neuron, and find that it exhibits a similar age-related decline in magnitude of neuronal response. Together, our data demonstrate that our strategy is useful for identifying genetic factors involved in the decline in neuronal health. We envision that this framework could be applied to other systems as a useful tool for discovering new biology."
2024 Mar 1,Reaction chemistry & engineering,React Chem Eng. 2024 Mar 1;9(3):666-676. doi: 10.1039/d3re00516j. Epub 2023 Nov ,"['Jee Lee, Hyun', 'Vallier, Julia', 'Lu, Hang']",[],Microfluidic Localized Hydrogel Polymerization Enables Simultaneous Recording of Neural Activity and Behavior in C. elegans.,"Monitoring an animal's brain activity during motion provides a means to interpret the brain activity in the context of movement. However, it is challenging to obtain information about the animal's movement during neural imaging in the popular model organism C. elegans due to its small size. Here, we present a microfluidic tool to immobilize only the head region of C. elegans for simultaneous recording of neuronal activity and tail movement. We combine hydrogel photopolymerization and microfluidics to realize controlled head immobilization in a semi-continuous fashion. To optimize the immobilization process, we characterize the hydrogel polymerization under different experimental conditions, including under the effect of fluid flow. We show that the Damköhler number specifically defined for our reactive transport phenomena can predict the success of such photopolymerized hydrogels used for sample immobilization. In addition to simultaneous recording of neural activity and behavior in C. elegans, we demonstrate our method's capability to temporarily reconfigure fluid flow and deliver chemical stimuli to the animal's nose to examine the animal's responses. We envision this approach to be useful for similar recordings for other small motile organisms, as well as scenarios where microfluidics and polymerization are used to control flow and rection."
2024 Apr 1,Research square,Res Sq [Preprint]. 2024 Apr 1:rs.3.rs-4049577. doi: 10.21203/rs.3.rs-4049577/v1.,"['Filan, Caroline', 'Charles, Seleipiri', 'Casteleiro Costa, Paloma', 'Niu, Weibo', 'Cheng, Brian F', 'Wen, Zhexing', 'Lu, Hang', 'Robles, Francisco E']",[],Non-Invasive Label-free Analysis Pipeline for In Situ Characterization of Differentiation in 3D Brain Organoid Models.,"Brain organoids provide a unique opportunity to model organ development in a system similar to human organogenesis in vivo. Brain organoids thus hold great promise for drug screening and disease modeling. Conventional approaches to organoid characterization predominantly rely on molecular analysis methods, which are expensive, time-consuming, labor-intensive, and involve the destruction of the valuable 3D architecture of the organoids. This reliance on end-point assays makes it challenging to assess cellular and subcellular events occurring during organoid development in their 3D context. As a result, the long developmental processes are not monitored nor assessed. The ability to perform non-invasive assays is critical for longitudinally assessing features of organoid development during culture. In this paper, we demonstrate a label-free high-content imaging approach for observing changes in organoid morphology and structural changes occurring at the cellular and subcellular level. Enabled by microfluidic-based culture of 3D cell systems and a novel 3D quantitative phase imaging method, we demonstrate the ability to perform non-destructive high-resolution imaging of the organoid. The highlighted results demonstrated in this paper provide a new approach to performing live, non-destructive monitoring of organoid systems during culture."
2024 Apr 16,Biophysical journal,Biophys J. 2024 Apr 16;123(8):947-956. doi: 10.1016/j.bpj.2024.03.007. Epub 2024 ,"['Lee, Sol Ah', 'Cho, Yongmin', 'Schafer, William R', 'Lu, Hang']","['animals', 'temperature', ' caenorhabditis elegans genetics', 'microfluidics', 'thermosensing physiology', 'cold temperature', ' caenorhabditis elegans proteins genetics']",Dynamic temperature control in microfluidics for in vivo imaging of cold-sensing in C. elegans.,"The ability to perceive temperature is crucial for most animals. It enables them to maintain their body temperature and swiftly react to noxiously cold or hot objects. Caenorhabditis elegans is a powerful genetic model for the study of thermosensation as its simple nervous system is well characterized and its transparent body is suited for in vivo functional imaging of neurons. The behavior triggered by experience-dependent thermosensation has been well studied in C. elegans under temperature-gradient environments. However, how C. elegans senses temperature via its nervous system is not well understood due to the limitations of currently available technologies. One major bottleneck is the difficulty in creating fast temperature changes, especially cold stimuli. Here, we developed a microfluidic-based platform that allowed the in vivo functional imaging of C. elegans responding to well-controlled temporally varying temperature stimulation by rapidly switching fluid streams at different temperatures. We used computational models to enable rational design and optimization of experimental conditions. We validated the design and utility of our system with studies of the functional role of thermosensory neurons. We showed that the responses of PVD polymodal nociceptor neurons observed in previous studies can be recapitulated. Further, we highlighted how this platform may be used to dissect neuronal circuits with an example of activity recording in PVC interneurons. Both of these neuron types show sensitization phenotypes. We envision that both the engineered system and the findings in this work will spur further studies of molecular and cellular mechanisms underlying cold-sensing through the nervous system."
2024 Jan 15,eLife,Elife. 2024 Jan 15;12:RP91775. doi: 10.7554/eLife.91775.,"['Majeed, Maryam', 'Han, Haejun', 'Zhang, Keren', 'Cao, Wen Xi', 'Liao, Chien-Po', 'Hobert, Oliver', 'Lu, Hang']","['humans', 'animals', ' caenorhabditis elegans', ' electrical synapses', 'animals, genetically modified', 'coloring agents', 'fluorescence', 'c. elegans', 'neuroscience', 'synaptic connectivity', 'synaptic development', 'synaptic dimorphisms']",Toolkits for detailed and high-throughput interrogation of synapses in C. elegans.,"Visualizing synaptic connectivity has traditionally relied on time-consuming electron microscopy-based imaging approaches. To scale the analysis of synaptic connectivity, fluorescent protein-based techniques have been established, ranging from the labeling of specific pre- or post-synaptic components of chemical or electrical synapses to transsynaptic proximity labeling technology such as GRASP and iBLINC. In this paper, we describe WormPsyQi, a generalizable image analysis pipeline that automatically quantifies synaptically localized fluorescent signals in a high-throughput and robust manner, with reduced human bias. We also present a resource of 30 transgenic strains that label chemical or electrical synapses throughout the nervous system of the nematode Caenorhabditis elegans, using CLA-1, RAB-3, GRASP (chemical synapses), or innexin (electrical synapse) reporters. We show that WormPsyQi captures synaptic structures in spite of substantial heterogeneity in neurite morphology, fluorescence signal, and imaging parameters. We use these toolkits to quantify multiple obvious and subtle features of synapses - such as number, size, intensity, and spatial distribution of synapses - in datasets spanning various regions of the nervous system, developmental stages, and sexes. Although the pipeline is described in the context of synapses, it may be utilized for other 'punctate' signals, such as fluorescently tagged neurotransmitter receptors and cell adhesion molecules, as well as proteins in other subcellular contexts. By overcoming constraints on time, sample size, cell morphology, and phenotypic space, this work represents a powerful resource for further analysis of synapse biology in C. elegans."
2023 Dec 20,Science robotics,Sci Robot. 2023 Dec 20;8(85):eadi2243. doi: 10.1126/scirobotics.adi2243. Epub ,"['Wang, Tianyu', 'Pierce, Christopher', 'Kojouharov, Velin', 'Chong, Baxi', 'Diaz, Kelimar', 'Lu, Hang', 'Goldman, Daniel I']","['animals', ' caenorhabditis elegans', ' robotics', 'locomotion', 'snakes', 'biomechanical phenomena']",Mechanical intelligence simplifies control in terrestrial limbless locomotion.,"Limbless locomotors, from microscopic worms to macroscopic snakes, traverse complex, heterogeneous natural environments typically using undulatory body wave propagation. Theoretical and robophysical models typically emphasize body kinematics and active neural/electronic control. However, we contend that because such approaches often neglect the role of passive, mechanically controlled processes (those involving ""mechanical intelligence""), they fail to reproduce the performance of even the simplest organisms. To uncover principles of how mechanical intelligence aids limbless locomotion in heterogeneous terradynamic regimes, here we conduct a comparative study of locomotion in a model of heterogeneous terrain (lattices of rigid posts). We used a model biological system, the highly studied nematode worm Caenorhabditis elegans, and a robophysical device whose bilateral actuator morphology models that of limbless organisms across scales. The robot's kinematics quantitatively reproduced the performance of the nematodes with purely open-loop control; mechanical intelligence simplified control of obstacle navigation and exploitation by reducing the need for active sensing and feedback. An active behavior observed in C. elegans, undulatory wave reversal upon head collisions, robustified locomotion via exploitation of the systems' mechanical intelligence. Our study provides insights into how neurally simple limbless organisms like nematodes can leverage mechanical intelligence via appropriately tuned bilateral actuation to locomote in complex environments. These principles likely apply to neurally more sophisticated organisms and also provide a design and control paradigm for limbless robots for applications like search and rescue and planetary exploration."
2023 Oct 10,Lab on a chip,Lab Chip. 2023 Oct 10;23(20):4434-4444. doi: 10.1039/d3lc00419h.,"['Okesanjo, Omotola', 'Aubry, Guillaume', 'Behrens, Sven', 'Lu, Hang', 'Meredith, J Carson']",[],Bubble-particle dynamics in multiphase flow of capillary foams in a porous micromodel.,"Surfactant-free capillary foams (CFs) are known to be remarkably tolerant to oil, and possess unique stability and flow properties. These properties result from the presence of oil-and-particle-coated bubbles that are interconnected by a dense particle-oil capillary network. In this work, we present a study of the dynamics of capillary foams flowing through a porous micromodel. We determine that despite the presence of oil-particle networks, CFs can flow through a microporous environment and that above a threshold flowrate, >80% of foam pumped through the micromodel can be recovered. In addition, we highlight the absence of steady state in CF flow and identify the underlying phenomena including the increasing apparent viscosity, reconfigurable flow paths, and intermittent clogging of the micromodel from an oil-particle composite and bubbles trapped in pores. We also characterize bubble dynamics and show that CFs surprisingly exhibit the same bubble generation and destruction mechanisms as classical foams despite the absence of surfactants. Our observations suggest that the porous medium plays a key role in generating uniformly sized bubbles and that capillary foams in a microporous environment tend to reconfigure their flow paths in a manner that may provide opportunities for increased sweep efficiency in enhanced oil recovery."
2023 Sep 30,"G3 (Bethesda, Md.)",G3 (Bethesda). 2023 Sep 30;13(10):jkad183. doi: 10.1093/g3journal/jkad183.,"['Ding, Jimmy', 'Peng, Lucinda', 'Moon, Sihoon', 'Lee, Hyun Jee', 'Patel, Dhaval S', 'Lu, Hang']","['animals', ' caenorhabditis elegans genetics', ' calcium', 'neurons physiology', 'signal transduction', 'caenorhabditis elegans', 'gcamp', 'calcium reporters', 'imaging', 'mechanosensation', 'microfluidics']",An expanded GCaMP reporter toolkit for functional imaging in Caenorhabditis elegans.,"In living organisms, changes in calcium flux are integral to many different cellular functions and are especially critical for the activity of neurons and myocytes. Genetically encoded calcium indicators (GE"
2023 Aug 22,Lab on a chip,Lab Chip. 2023 Aug 22;23(17):3737-3740. doi: 10.1039/d3lc90061d.,"['Goda, Keisuke', 'Lu, Hang', 'Fei, Peng', 'Guck, Jochen']",[],Revolutionizing microfluidics with artificial intelligence: a new dawn for lab-on-a-chip technologies.,
