time,journal,doi_info,authors,key words,title,abstract
2024 Jun 28,The Journal of chemical physics,J Chem Phys. 2024 Jun 28;160(24):242501. doi: 10.1063/5.0196848.,"['Zeng, Yunlin', 'Pavlova, Anna', 'Nelson, Philip M', 'Glick, Zachary L', 'Yang, Lan', 'Pang, Yui Tik', 'Spivak, Mariano', 'Licari, Giuseppe', 'Tajkhorshid, Emad', 'Sherrill, C David', 'Gumbart, James C']",[],Broadening access to small-molecule parameterization with the force field toolkit.,"Access to accurate force-field parameters for small molecules is crucial for computational studies of their interactions with proteins. Although a number of general force fields for small molecules exist, e.g., CGenFF, GAFF, and OPLS, they do not cover all common chemical groups and their combinations. The Force Field Toolkit (ffTK) provides a comprehensive graphical interface that streamlines the development of classical parameters for small molecules directly from quantum mechanical (QM) calculations, allowing for force-field generation for almost any chemical group and validation of the fit relative to the target data. ffTK relies on supported external software for the QM calculations, but it can generate the necessary QM input files and parse and analyze the QM output. In previous ffTK versions, support for Gaussian and ORCA QM packages was implemented. Here, we add support for Psi4, an open-source QM package free for all users, thereby broadening user access to ffTK. We also compare the parameter sets obtained with the new ffTK version using Gaussian, ORCA, and Psi4 for three molecules: pyrrolidine, n-propylammonium cation, and chlorobenzene. Despite minor differences between the resulting parameter sets for each compound, most prominently in the dihedral and improper terms, we show that conformational distributions sampled in molecular dynamics simulations using these parameter sets are quite comparable."
2024 Jun 10,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jun 10:2024.06.10.597921. doi: ,"['Lewis, Benjamin Russell', 'Uddin, Muhammad R', 'Kuo, Katie M', 'Shah, Laila M N', 'Harris, Nicola J', 'Booth, Paula J', 'Hammerschmid, Dietmar', 'Gumbart, James C', 'Zgurskaya, Helen I', 'Reading, Eamonn']",[],Mg(2+)-dependent mechanism of environmental versatility in a multidrug efflux pump.,"Tripartite resistance nodulation and cell division multidrug efflux pumps span the periplasm and are a major driver of multidrug resistance among Gram-negative bacteria. The periplasm provides a distinct environment between the inner and outer membranes of Gram-negative bacteria. Cations, such as Mg(2+), become concentrated within the periplasm and, in contrast to the cytoplasm, its pH is sensitive to conditions outside the cell. Here, we reveal an interplay between Mg(2+) and pH in modulating the dynamics of the periplasmic adaptor protein, AcrA, and its function within the prototypical AcrAB-TolC multidrug efflux pump from Escherichia coli. In the absence of Mg(2+), AcrA becomes increasingly plastic within acidic conditions, but when Mg(2+) is bound this is ameliorated, resulting in domain specific organisation in neutral to weakly acidic regimes. We establish a unique histidine residue directs these structural dynamics and is essential for sustaining pump efflux activity across acidic, neutral, and alkaline conditions. Overall, we propose Mg(2+) conserves the structural mobility of AcrA to ensure optimal AcrAB-TolC function within rapid changing environments commonly faced by the periplasm during bacterial infection and colonization. This work highlights that Mg(2+) is an important mechanistic component in this pump class and possibly across other periplasmic lipoproteins."
2024 Jun 1,Biophysical journal,Biophys J. 2024 Jun 1:S0006-3495(24)00378-3. doi: 10.1016/j.bpj.2024.05.029.,"['Thomas, Gwendell M', 'Wu, Yuqi', 'Leite, Wellington', 'Pingali, Sai Venkatesh', 'Weiss, Kevin L', 'Grant, Arshay J', 'Diggs, Monneh W', 'Schmidt-Krey, Ingeborg', 'Gutishvili, Gvantsa', 'Gumbart, James C', 'Urban, Volker S', 'Lieberman, Raquel L']",[],SANS reveals lipid-dependent oligomerization of an intramembrane aspartyl protease from H. volcanii.,"Reactions that occur within the lipid membrane involve, at minimum, ternary complexes among the enzyme, substrate, and lipid. For many systems, the impact of the lipid in regulating activity or oligomerization state is poorly understood. Here, we used small-angle neutron scattering (SANS) to structurally characterize an intramembrane aspartyl protease (IAP), a class of membrane-bound enzymes that use membrane-embedded aspartate residues to hydrolyze transmembrane segments of biologically relevant substrates. We focused on an IAP ortholog from the halophilic archaeon Haloferax volcanii (HvoIAP). HvoIAP purified in n-dodecyl-β-D-maltoside (DDM) fractionates on size-exclusion chromatography (SEC) as two fractions. We show that, in DDM, the smaller SEC fraction is consistent with a compact HvoIAP monomer. Molecular dynamics flexible fitting conducted on an AlphaFold2-generated monomer produces a model in which loops are compact alongside the membrane-embedded helices. In contrast, SANS data collected on the second SEC fraction indicate an oligomer consistent with an elongated assembly of discrete HvoIAP monomers. Analysis of in-line SEC-SANS data of the HvoIAP oligomer, the first such experiment to be conducted on a membrane protein at Oak Ridge National Lab (ORNL), shows a diversity of elongated and spherical species, including one consistent with the tetrameric assembly reported for the Methanoculleusmarisnigri JR1 IAP crystal structure not observed previously in solution. Reconstitution of monomeric HvoIAP into bicelles increases enzyme activity and results in the assembly of HvoIAP into a species with similar dimensions as the ensemble of oligomers isolated from DDM. Our study reveals lipid-mediated HvoIAP self-assembly and demonstrates the utility of in-line SEC-SANS in elucidating oligomerization states of small membrane proteins."
2024 Jun 6,The journal of physical chemistry. B,J Phys Chem B. 2024 Jun 6;128(22):5371-5377. doi: 10.1021/acs.jpcb.3c08510. Epub ,"['Ryoo, David', 'Hwang, Hyea', 'Gumbart, James C']","[' cell wall chemistry metabolism', ' peptidoglycan chemistry metabolism', ' bacterial outer membrane proteins chemistry metabolism', 'bacterial outer membrane chemistry metabolism', 'molecular dynamics simulation']",Thicket and Mesh: How the Outer Membrane Can Resist Tension Imposed by the Cell Wall.,"The cell envelope of Gram-negative bacteria is composed of an outer membrane (OM) and an inner membrane (IM) and a peptidoglycan cell wall (CW) between them. Combined with Braun's lipoprotein (Lpp), which connects the OM and the CW, and numerous membrane proteins that exist in both OM and IM, the cell envelope creates a mechanically stable environment that resists various physical and chemical perturbations to the cell, including turgor pressure caused by the solute concentration difference between the cytoplasm of the cell and the extracellular environment. Previous computational studies have explored how individual components (OM, IM, and CW) can resist turgor pressure although combinations of them have been less well studied. To that end, we constructed multiple OM-CW systems, including the Lpp connections with the CW under increasing degrees of strain. The results show that the OM can effectively resist the tension imposed by the CW, shrinking by only 3-5% in area even when the CW is stretched to 2.5× its relaxed area. The area expansion modulus of the system increases with increasing CW strain, although the OM remains a significant contributor to the envelope's mechanical stability. Additionally, we find that when the protein TolC is embedded in the OM, its stiffness increases."
2024 Jun 14,ACS infectious diseases,ACS Infect Dis. 2024 Jun 14;10(6):2032-2046. doi: 10.1021/acsinfecdis.4c00015. ,"['Wang, Dongxia', 'Zhang, Zijian', 'Baudys, Jakub', 'Haynes, Christopher', 'Osman, Sarah H', 'Zhou, Bin', 'Barr, John R', 'Gumbart, James C']","[' spike glycoprotein, coronavirus chemistry metabolism genetics', 'glycosylation', ' sars-cov-2 chemistry genetics', ' molecular dynamics simulation', 'humans', 'polysaccharides chemistry metabolism', 'covid-19 virology', 'mutation', 'protein conformation', 'disulfide bond', 'molecular dynamics simulation', 'n-glycosylation', 'sars-cov-2 omicron spike']",Enhanced Surface Accessibility of SARS-CoV-2 Omicron Spike Protein Due to an Altered Glycosylation Profile.,"SARS-CoV-2 spike (S) proteins undergo extensive glycosylation, aiding in proper folding, enhancing stability, and evading host immune surveillance. In this study, we used mass spectrometric analysis to elucidate the N-glycosylation characteristics and disulfide bonding of recombinant spike proteins derived from the SARS-CoV-2 Omicron variant (B.1.1.529) in comparison with the D614G spike variant. Furthermore, we conducted microsecond-long molecular dynamics simulations on spike proteins to resolve how the different N-glycans impact spike conformational sampling in the two variants. Our findings reveal that the Omicron spike protein maintains an overall resemblance to the D614G spike variant in terms of site-specific glycan processing and disulfide bond formation. Nonetheless, alterations in glycans were observed at certain N-glycosylation sites. These changes, in synergy with mutations within the Omicron spike protein, result in increased surface accessibility of the macromolecule, including the ectodomain, receptor-binding domain, and N-terminal domain. Additionally, mutagenesis and pull-down assays reveal the role of glycosylation of a specific sequon (N149); furthermore, the correlation of MD simulation and HDX-MS identified several high-dynamic areas of the spike proteins. These insights contribute to our understanding of the interplay between structure and function, thereby advancing effective vaccination and therapeutic strategies."
2024 Apr 12,ACS infectious diseases,ACS Infect Dis. 2024 Apr 12;10(4):1162-1173. doi: 10.1021/acsinfecdis.3c00479. ,"['Fan, Zixing', 'Pavlova, Anna', 'Jenkins, Matthew C', 'Bassit, Leda', 'Salman, Mohammad', 'Lynch, Diane L', 'Patel, Dharmeshkumar', 'Korablyov, Maksym', 'Finn, M G', 'Schinazi, Raymond F', 'Gumbart, James C']","[' hepatitis b virus', ' capsid metabolism', 'capsid proteins', 'virus assembly', 'nucleocapsid', 'cam', 'hbv', 'docking', 'molecular dynamics']",Biophysics-Guided Lead Discovery of HBV Capsid Assembly Modifiers.,"Hepatitis B virus (HBV) is the leading cause of chronic liver pathologies worldwide. HBV nucleocapsid, a key structural component, is formed through the self-assembly of the capsid protein units. Therefore, interfering with the self-assembly process is a promising approach for the development of novel antiviral agents. Applied to HBV, this approach has led to several classes of capsid assembly modulators (CAMs). Here, we report structurally novel CAMs with moderate activity and low toxicity, discovered through a biophysics-guided approach combining docking, molecular dynamics simulations, and a series of assays with a particular emphasis on biophysical experiments. Several of the identified compounds induce the formation of aberrant capsids and inhibit HBV DNA replication in vitro, suggesting that they possess modest capsid assembly modulation effects. The synergistic computational and experimental approaches provided key insights that facilitated the identification of compounds with promising activities. The discovery of preclinical CAMs presents opportunities for subsequent optimization efforts, thereby opening new avenues for HBV inhibition."
2024 Mar 11,Nature communications,Nat Commun. 2024 Mar 11;15(1):2182. doi: 10.1038/s41467-024-46409-2.,"['Wu, Kevin', 'Itskanov, Samuel', 'Lynch, Diane L', 'Chen, Yuanyuan', 'Turner, Aasha', 'Gumbart, James C', 'Park, Eunyong']","[' ubiquitin metabolism', ' saccharomyces cerevisiae proteins genetics metabolism', 'saccharomyces cerevisiae metabolism', 'ubiquitin-protein ligases metabolism', 'endoplasmic reticulum metabolism']",Substrate recognition mechanism of the endoplasmic reticulum-associated ubiquitin ligase Doa10.,"Doa10 (MARCHF6 in metazoans) is a large polytopic membrane-embedded E3 ubiquitin ligase in the endoplasmic reticulum (ER) that plays an important role in quality control of cytosolic and ER proteins. Although Doa10 is highly conserved across eukaryotes, it is not understood how Doa10 recognizes its substrates. Here, we define the substrate recognition mechanism of Doa10 by structural and functional analyses on Saccharomyces cerevisiae Doa10 and its model substrates. Cryo-EM analysis shows that Doa10 has unusual architecture with a large lipid-filled central cavity, and its conserved middle domain forms an additional water-filled lateral tunnel open to the cytosol. Our biochemical data and molecular dynamics simulations suggest that the entrance of the substrate's degron peptide into the lateral tunnel is required for efficient polyubiquitination. The N- and C-terminal membrane domains of Doa10 seem to form fence-like features to restrict polyubiquitination to those proteins that can access the central cavity and lateral tunnel. Our study reveals how extended hydrophobic sequences at the termini of substrate proteins are recognized by Doa10 as a signal for quality control."
2024 Feb 1,Biophysical journal,Biophys J. 2024 Feb 1:S0006-3495(24)00070-5. doi: 10.1016/j.bpj.2024.01.029.,"['Satalkar, Vardhan', 'Degaga, Gemechis D', 'Li, Wei', 'Pang, Yui Tik', 'McShan, Andrew C', 'Gumbart, James C', 'Mitchell, Julie C', 'Torres, Matthew P']",[],Generative β-hairpin design using a residue-based physicochemical property landscape.,"De novo peptide design is a new frontier that has broad application potential in the biological and biomedical fields. Most existing models for de novo peptide design are largely based on sequence homology that can be restricted based on evolutionarily derived protein sequences and lack the physicochemical context essential in protein folding. Generative machine learning for de novo peptide design is a promising way to synthesize theoretical data that are based on, but unique from, the observable universe. In this study, we created and tested a custom peptide generative adversarial network intended to design peptide sequences that can fold into the β-hairpin secondary structure. This deep neural network model is designed to establish a preliminary foundation of the generative approach based on physicochemical and conformational properties of 20 canonical amino acids, for example, hydrophobicity and residue volume, using extant structure-specific sequence data from the PDB. The beta generative adversarial network model robustly distinguishes secondary structures of β hairpin from α helix and intrinsically disordered peptides with an accuracy of up to 96% and generates artificial β-hairpin peptide sequences with minimum sequence identities around 31% and 50% when compared against the current NCBI PDB and nonredundant databases, respectively. These results highlight the potential of generative models specifically anchored by physicochemical and conformational property features of amino acids to expand the sequence-to-structure landscape of proteins beyond evolutionary limits."
2024 Jan 9,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 9:2024.01.09.574907. doi: 10.1101/2024.01.09.574907.,"['Wu, Kevin', 'Itskanov, Samuel', 'Lynch, Diane L', 'Chen, Yuanyuan', 'Turner, Aasha', 'Gumbart, James C', 'Park, Eunyong']",[],Substrate recognition mechanism of the endoplasmic reticulum-associated ubiquitin ligase Doa10.,"Doa10 (MARCH6 in metazoans) is a large polytopic membrane-embedded E3 ubiquitin ligase in the endoplasmic reticulum (ER) that plays an important role in quality control of cytosolic and ER proteins. Although Doa10 is highly conserved across eukaryotes, it is not understood how Doa10 recognizes its substrates. Here, we defined the substrate recognition mechanism of Doa10 by structural and functional analyses on Saccharomyces cerevisiae Doa10 and its well-defined degron Deg1. Cryo-EM analysis shows that Doa10 has unusual architecture with a large lipid-filled central cavity, and its conserved middle domain forms an additional water-filled lateral tunnel open to the cytosol. Our biochemical data and molecular dynamics simulations suggest that the entrance of the substrate's degron peptide into the lateral tunnel is required for efficient polyubiquitination. The N- and C-terminal membrane domains of Doa10 seem to form fence-like features to restrict polyubiquitination to those proteins that can access the central cavity and lateral tunnel."
2024 Jan 4,"Structure (London, England : 1993)",Structure. 2024 Jan 4;32(1):5-7. doi: 10.1016/j.str.2023.12.004.,"['Pang, Yui Tik', 'Yang, Lixinhao', 'Gumbart, James C']",[],From simple to complex: Reconstructing all-atom structures from coarse-grained models using cg2all.,"In this issue of Structure, Heo and Feig present cg2all, a novel deep-learning model capable of efficiently predicting all-atom protein structures from coarse-grained (CG) representations. The model maintains high accuracy, even when the CG model is simplified to a single bead per residue, and has a number of promising applications."
