time,journal,doi_info,authors,key words,title,abstract
2024 Jun 17,Journal of orthopaedic research : official publication of the Orthopaedic ,J Orthop Res. 2024 Jun 17. doi: 10.1002/jor.25920.,"['Champagne, Allen A', 'Zuleger, Taylor M', 'Warren, Shayla M', 'Smith, Daniel R', 'Lamplot, Joseph D', 'Xerogeanes, John W', 'Slutsky-Ganesh, Alexis B', 'Jayaram, Prathap', 'Patel, Jay M', 'Myer, Gregory D', 'Diekfuss, Jed A']","['acl', 'mri', 'bone contusion', 'cartilage', 'quantitative‐imaging']",Automated quantitative assessment of bone contusions and overlying articular cartilage following anterior cruciate ligament injury.,"Quantitative methods to characterize bone contusions and associated cartilage injury remain limited. We combined standardized voxelwise normalization and 3D mapping to automate bone contusion segmentation post-anterior cruciate ligament (ACL) injury and evaluate anomalies in articular cartilage overlying bone contusions. Forty-five patients (54% female, 26.4 ± 11.8 days post-injury) with an ACL tear underwent 3T magnetic resonance imaging of their involved and uninvolved knees. A novel method for voxelwise normalization and 3D anatomical mapping was used to automate segmentation, labeling, and localization of bone contusions in the involved knee. The same mapping system was used to identify the associated articular cartilage overlying bone lesions. Mean regional T1ρ was extracted from articular cartilage regions in both the involved and uninvolved knees for quantitative paired analysis against ipsilateral cartilage within the same compartment outside of the localized bone contusion. At least one bone contusion lesion was detected in the involved knee within the femur and/or tibia following ACL injury in 42 participants. Elevated T1ρ (p = 0.033) signal were documented within the articular cartilage overlying the bone contusions resulting from ACL injury. In contrast, the same cartilaginous regions deprojected onto the uninvolved knees showed no ipsilateral differences (p = 0.795). Automated bone contusion segmentation using standardized voxelwise normalization and 3D mapping deprojection identified altered cartilage overlying bone contusions in the setting of knee ACL injury."
2024 Jun 10,Tissue engineering. Part A,Tissue Eng Part A. 2024 Jun 10. doi: 10.1089/ten.TEA.2024.0017.,"['Pucha, Saitheja A', 'Hasson, Maddie', 'Solomon, Hanna', 'McColgan, Gail E', 'Robinson, Jennifer L', 'Vega, Sebastián L', 'Patel, Jay M']","['cell heterogeneity', 'cell sensing', 'fiber reinforcement', 'mechanobiology', 'scaffold microenvironment']",Revealing Early Spatial Patterns of Cellular Responsivity in Fiber-Reinforced Microenvironments.,"Fiber-reinforcement approaches have been used to replace aligned tissues with engineered constructs after injury or surgical resection, strengthening soft biomaterial scaffolds and replicating anisotropic, load-bearing properties. However, most studies focus on the macroscale aspects of these scaffolds, rarely considering the cell-biomaterial interactions that govern remodeling and extracellular matrix organization toward aligned neo-tissues. As initial cell-biomaterial responses within fiber-reinforced microenvironments likely influence the long-term efficacy of repair and regeneration strategies, here we elucidate the roles of spatial orientation, substrate stiffness, and matrix remodeling on early cell-fiber interactions. Bovine mesenchymal stromal cells (MSCs) were cultured in soft fibrin gels reinforced with a stiff 100 µm polyglycolide-co-caprolactone fiber. Gel stiffness and remodeling capacity were modulated by fibrinogen concentration and aprotinin treatment, respectively. MSCs were imaged at 3 days and evaluated for morphology, mechanoresponsiveness (nuclear Yes-associated protein [YAP] localization), and spatial features including distance and angle deviation from fiber. Within these constructs, morphological conformity decreased as a function of distance from fiber. However, these correlations were weak (R(2) = 0.01043 for conformity and R(2) = 0.05542 for nuclear YAP localization), illustrating cellular heterogeneity within fiber-enforced microenvironments. To better assess cell-fiber interactions, we applied machine-learning strategies to our heterogeneous dataset of cell-shape and mechanoresponsive parameters. Principal component analysis (PCA) was used to project 23 input parameters (not including distance) onto 5 principal components (PCs), followed by agglomerative hierarchical clustering to classify cells into 3 groups. These clusters exhibited distinct levels of morpho-mechanoresponse (combination of morphological conformity and YAP signaling) and were classified as high response (HR), medium response (MR), and low response (LR) clusters. Cluster distribution varied spatially, with most cells (61%) closest to the fiber (0-75 µm) belonging to the HR cluster, and most cells (55%) furthest from the fiber (225-300 µm) belonging to the LR cluster. Modulation of gel stiffness and fibrin remodeling showed differential effects for HR cells, with stiffness influencing the level of mechanoresponse and remodeling capacity influencing the location of responding cells. Together, these novel findings demonstrate early trends in cellular patterning of the fiber-reinforced microenvironment, showing how spatial orientation, substrate biophysical properties, and matrix remodeling may guide the amplitude and localization of cellular mechanoresponses. These trends may guide approaches to optimize the design of microscale scaffold architecture and substrate properties for enhancing organized tissue assembly at the macroscale."
2023 Dec,CBE life sciences education,CBE Life Sci Educ. 2023 Dec;22(4):ar40. doi: 10.1187/cbe.22-12-0250.,"['Limeri, Lisa B', 'Carter, Nathan T', 'Lyra, Franchesca', 'Martin, Joel', 'Mastronardo, Halle', 'Patel, Jay', 'Dolan, Erin L']","['humans', ' students', ' academic success', 'factor analysis, statistical', 'intelligence', 'motivation']","Undergraduate Lay Theories of Abilities: Mindset, universality, and brilliance beliefs uniquely predict undergraduate educational outcomes.","Students' beliefs about their abilities (called ""lay theories"") affect their motivations, behaviors, and academic success. Lay theories include beliefs about the potential to improve intelligence (mindset), who (i.e., everyone or only some people) has the potential to be excellent in a field (universality), and whether reaching excellence in a field requires raw intellectual talent (brilliance). Research demonstrates that each of these beliefs influences students' educational experiences and academic outcomes. However, it remains unclear whether they represent distinct latent constructs or are susceptible to the ""jangle fallacy"" (i.e., different names given to the same underlying construct). We conducted a multiphase, mixed-methods study to 1) evaluate whether mindset, universality, and brilliance beliefs represent conceptually and empirically discriminable concepts, and 2) evaluate whether mindset, universality, and brilliance beliefs contribute unique explanatory value for both psychosocial (e.g., sense of belonging) and academic outcomes (e.g., course grades). To address these questions, we developed and collected validity evidence for a new measure of science and math undergraduates' lay theories, called the Undergraduate Lay Theories of Abilities (ULTrA) survey. Factor analyses suggest that mindset, brilliance, and universality are distinct and empirically discriminable constructs. Structural Equation Models indicate that each lay theory contributes unique predictive value to relevant outcomes."
2023 May 1,Investigative ophthalmology & visual science,Invest Ophthalmol Vis Sci. 2023 May 1;64(5):22. doi: 10.1167/iovs.64.5.22.,"['Brown, Dillon M', 'Yu, Jianshi', 'Kumar, Praveen', 'Paulus, Quinn M', 'Kowalski, Michael A', 'Patel, Jay M', 'Kane, Maureen A', 'Ethier, C Ross', 'Pardue, Machelle T']","['animals', 'male', 'mice', 'biomechanical phenomena', 'mice, inbred c57bl', ' myopia', ' refractive errors', 'sclera']",Exogenous All-Trans Retinoic Acid Induces Myopia and Alters Scleral Biomechanics in Mice.,"PURPOSE: Ocular all-trans retinoic acid (atRA) levels are influenced by visual cues, and exogenous atRA has been shown to increase eye size in chickens and guinea pigs. However, it is not clear whether atRA induces myopic axial elongation via scleral changes. Here, we test the hypothesis that exogenous atRA will induce myopia and alter scleral biomechanics in the mouse. METHODS: Male C57BL/6J mice were trained to voluntarily ingest atRA + vehicle (1% atRA in sugar, 25 mg/kg) (RA: n = 16 animals) or vehicle only (Ctrl: n = 14 animals). Refractive error (RE) and ocular biometry were measured at baseline and after 1 and 2 weeks of daily atRA treatment. Eyes were used in ex vivo assays to measure scleral biomechanics (unconfined compression: n = 18), total scleral sulfated glycosaminoglycan (sGAG) content (dimethylmethylene blue: n = 23), and specific sGAGs (immunohistochemistry: n = 18). RESULTS: Exogenous atRA caused myopic RE and larger vitreous chamber depth (VCD) to develop by 1 week (RE: -3.7 ± 2.2 diopters [D], P < 0.001; VCD: +20.7 ± 15.1 µm, P < 0.001), becoming more severe by 2 weeks (RE: -5.7 ± 2.2 D, P < 0.001; VCD: +32.3 ± 25.8 µm, P < 0.001). The anterior eye biometry was unaffected. While scleral sGAG content was not measurably affected, scleral biomechanics were significantly altered (tensile stiffness: -30% ± 19.5%, P < 0.001; permeability: +60% ± 95.3%, P < 0.001). CONCLUSIONS: In mice, atRA treatment results in an axial myopia phenotype. Eyes developed myopic RE and larger VCD without the anterior eye being affected. The decrease in stiffness and increase in permeability of the sclera are consistent with the form-deprivation myopia phenotype."
2023 Sep,Journal of orthopaedic research : official publication of the Orthopaedic ,J Orthop Res. 2023 Sep;41(9):2055-2064. doi: 10.1002/jor.25545. Epub 2023 Mar 22.,"['Lemmon, Elisabeth A', 'Bonnevie, Edward D', 'Patel, Jay M', 'Miller, Liane M', 'Mauck, Robert L']","['humans', ' interleukin 1 receptor antagonist protein pharmacology therapeutic use', ' meniscus', 'cytokines', 'tumor necrosis factor-alpha metabolism', 'cell movement', 'inflammation', 'inflammation', 'knee', 'mechanobiology', 'meniscus']",Transient inhibition of meniscus cell migration following acute inflammatory challenge.,"Meniscus tears represent a common orthopedic injury that often requires surgery to restore pain-free function. The need for surgical intervention is due, in part, to the inflammatory and catabolic environment that inhibits meniscus healing after injury. In other organ systems, healing is dependent on the migration of cells to the site of injury; however, in the meniscus, it is currently unknown how the microenvironment dictates cell migration in the postinjury inflamed setting. Here, we investigated how inflammatory cytokines alter meniscal fibrochondrocyte (MFC) migration and sensation of microenvironmental stiffness. We further tested whether an FDA approved interleukin-1 receptor antagonist (IL-1Ra; Anakinra) could rescue migratory deficits caused by inflammatory challenge. When cultured in the presence of inflammatory cytokines (tumor necrosis factor-α [TNF-α] or interleukin-1β [IL-1β]) for 1 day, MFC migration was inhibited for 3 days before returning to control levels at Day 7. This migratory deficit was clear in three-dimensional as well, where fewer MFCs exposed to inflammatory cytokines migrated from a living meniscal explant compared with control. Notably, addition of IL-1Ra to MFCs previously exposed to IL-1β restored migration to baseline levels. This study demonstrates that joint inflammation can have negative impacts on meniscus cell migration and mechanosensation, affecting their potential for repair, and that resolution of this inflammation with concurrent anti-inflammatories can reverse these deficits. Future work will apply these findings to mitigate the negative consequences of joint inflammation and promote repair in a clinically relevant meniscus injury model."
2022 Dec 1,Investigative ophthalmology & visual science,Invest Ophthalmol Vis Sci. 2022 Dec 1;63(13):13. doi: 10.1167/iovs.63.13.13.,"['Brown, Dillon M', 'Kowalski, Michael A', 'Paulus, Quinn M', 'Yu, Jianshi', 'Kumar, Praveen', 'Kane, Maureen A', 'Patel, Jay M', 'Ethier, C Ross', 'Pardue, Machelle T']","['male', 'mice', 'animals', ' sclera', 'sensory deprivation', ' myopia', 'choroid', 'retina', 'disease models, animal']",Altered Structure and Function of Murine Sclera in Form-Deprivation Myopia.,"PURPOSE: The sclera is believed to biomechanically influence eye size, facilitating the excessive axial elongation that occurs during myopigenesis. Here, we test the hypothesis that the sclera will be remodeled and exhibit altered biomechanics in the mouse model of form-deprivation (FD) myopia, accompanied by altered retinoid concentrations, a potential signaling molecule involved in the process. METHODS: Male C57 Bl/6J mice were subjected to unilateral FD (n = 44 eyes), leaving the contralateral eye untreated (contra; n = 44). Refractive error and ocular biometry were measured in vivo prior to and after 1 or 3 weeks of FD. Ex vivo measurements were made of scleral biomechanical properties (unconfined compression: n = 24), scleral sulfated glycosaminoglycan (sGAG) content (dimethylmethylene blue: n = 18, and immunohistochemistry: n = 22), and ocular all-trans retinoic acid (atRA) concentrations (retina and RPE + choroid + sclera, n = 24). Age-matched naïve controls were included for some outcomes (n = 32 eyes). RESULTS: Significant myopia developed after 1 (-2.4 ± 1.1 diopters [D], P < 0.001) and 3 weeks of FD (-4.1 ± 0.7 D, P = 0.025; mean ± standard deviation). Scleral tensile stiffness and permeability were significantly altered during myopigenesis (stiffness = -31.4 ± 12.7%, P < 0.001, and permeability = 224.4 ± 205.5%, P < 0.001). Total scleral sGAG content was not measurably altered; however, immunohistochemistry indicated a sustained decrease in chondroitin-4-sulfate and a slower decline in dermatan sulfate. The atRA increased in the retinas of eyes form-deprived for 1 week. CONCLUSIONS: We report that biomechanics and GAG content of the mouse sclera are altered during myopigenesis. All scleral outcomes generally follow the trends found in other species and support a retina-to-sclera signaling cascade underlying mouse myopigenesis."
2022 Dec,Journal of tissue engineering and regenerative medicine,J Tissue Eng Regen Med. 2022 Dec;16(12):1138-1148. doi: 10.1002/term.3352. Epub ,"['Kowalski, Michael A', 'Fernandes, Lorenzo M', 'Hammond, Kyle E', 'Labib, Sameh', 'Drissi, Hicham', 'Patel, Jay M']","[' chondrocytes metabolism', 'hyaluronic acid pharmacology', 'hydrogels pharmacology', ' cartilage, articular metabolism', 'hyaline cartilage metabolism', 'biomaterials', 'biomechanics', 'cartilage', 'hyaluronic acid', 'osteoarthritis']",Cartilage-penetrating hyaluronic acid hydrogel preserves tissue content and reduces chondrocyte catabolism.,"Articular cartilage injuries have a limited healing capacity and, due to inflammatory and catabolic activities, often experience progressive degeneration towards osteoarthritis. Current repair techniques generally provide short-term symptomatic relief; however, the regeneration of hyaline cartilage remains elusive, leaving both the repair tissue and surrounding healthy tissue susceptible to long-term wear. Therefore, methods to preserve cartilage following injury, especially from matrix loss and catabolism, are needed to delay, or even prevent, the deteriorative process. The goal of this study was to develop and evaluate a cartilage-penetrating hyaluronic-acid (HA) hydrogel to improve damaged cartilage biomechanics and prevent tissue degeneration. At time zero, the HA-based hydrogel provided a 46.5% increase in compressive modulus and a decrease in permeability after simulated degeneration of explants (collagenase application). Next, in a degenerative culture model (interleukin-1β [IL-1β] for 2 weeks), hydrogel application prior to or midway through the culture mitigated detrimental changes to compressive modulus and permeability observed in non-treated explants. Furthermore, localized loss of proteoglycan was observed in degenerative culture conditions alone (non-treated), but hydrogel administration significantly improved the retention of matrix elements. Finally, NITEGE staining and gene expression analysis showed the ability of the HA gel to decrease chondrocyte catabolic activity. These results highlight the importance of reinforcing damaged cartilage with a biomaterial system to both preserve tissue content and reduce catabolism associated with injury and inflammation."
2021 Jun 8,Journal of the American College of Cardiology,J Am Coll Cardiol. 2021 Jun 8;77(22):2807-2818. doi: 10.1016/j.jacc.2021.04.013.,"['Patel, Jay D', 'Briones, Michael', 'Mandhani, Mansi', 'Jones, Shannon', 'Suthar, Divya', 'Gray, Rosemary', 'Pettus, Joelle', 'McCracken, Courtney', 'Thomas, Amanda', 'Petit, Christopher J']","['antibiotics, antineoplastic  therapeutic use', 'child, preschool', 'female', 'georgia epidemiology', 'humans', 'infant', 'male', 'retrospective studies', 'sirolimus  therapeutic use', 'stenosis, pulmonary vein  drug therapy mortality', 'myofibroblastic proliferation', 'pulmonary vein stenosis', 'systemic sirolimus therapy']",Systemic Sirolimus Therapy for Infants and Children With Pulmonary Vein Stenosis.,"BACKGROUND: Anatomic interventions for pulmonary vein stenosis (PVS) in infants and children have been met with limited success. Sirolimus, a mammalian target of rapamycin inhibitor, has demonstrated promise as a primary medical therapy for PVS, but the impact on patient survival is unknown. OBJECTIVES: The authors sought to investigate whether mTOR inhibition with sirolimus as a primary medical therapy would improve outcomes in high-risk infants and children with PVS. METHODS: In this single-center study, patients with severe PVS were considered for systemic sirolimus therapy (SST) following a strict protocol while receiving standardized surveillance and anatomic therapies. The SST cohort was compared with a contemporary control group. The primary endpoint for this study was survival. The primary safety endpoint was adverse events (AEs) related to SST. RESULTS: Between 2015 and 2020, our PVS program diagnosed and treated 67 patients with ≥moderate PVS. Of these, 15 patients were treated with sirolimus, whereas the remaining patients represent the control group. There was 100% survival in the SST group compared with 45% survival in the control group (log-rank p = 0.004). A sensitivity analysis was completed to address survival bias using median time from diagnosis of PVS to SST. A survival advantage persisted (log-rank p = 0.027). Two patients on sirolimus developed treatable AEs. Patients in the SST group underwent frequent transcatheter interventions with 3.7 catheterizations per person-year (25th to 75th percentile: 2.7 to 4.4 person-years). Median follow up time was 2.2 years (25th to 75th percentile: 1.2 to 2.9 years) in the SST group versus 0.9 years (25th to 75th percentile: 0.5 to 2.7 years) in the control group. CONCLUSIONS: The authors found a survival benefit associated with SST in infants and children with moderate-to-severe PVS. This survival benefit persisted after adjusting the analysis for survival bias. There were 2 mild AEs associated with SST during the study period; both patients were able to resume therapy without recurrence."
2021 Jul,Journal of orthopaedic research : official publication of the Orthopaedic ,J Orthop Res. 2021 Jul;39(7):1368-1382. doi: 10.1002/jor.25021. Epub 2021 Mar 19.,"['Bansal, Sonia', 'Floyd, Edward R', 'A Kowalski, Michael', 'Aikman, Elizabeth', 'Elrod, Philip', 'Burkey, Kyley', 'Chahla, Jorge', 'LaPrade, Robert F', 'Maher, Suzanne A', 'Robinson, Jennifer L', 'Patel, Jay M']","['animals', 'arthroplasty  methods', 'biological products  therapeutic use', 'disease models, animal', 'humans', 'tibial meniscus injuries  surgery', ' tissue scaffolds', 'biologics', 'materials', 'meniscectomy', 'meniscus', 'repair']",Meniscal repair: The current state and recent advances in augmentation.,"Meniscal injuries represent one of the most common orthopedic injuries. The most frequent treatment is partial resection of the meniscus, or meniscectomy, which can affect joint mechanics and health. For this reason, the field has shifted gradually towards suture repair, with the intent of preservation of the tissue. ""Save the Meniscus"" is now a prolific theme in the field; however, meniscal repair can be challenging and ineffective in many scenarios. The objectives of this review are to present the current state of surgical management of meniscal injuries and to explore current approaches being developed to enhance meniscal repair. Through a systematic literature review, we identified meniscal tear classifications and prevalence, approaches being used to improve meniscal repair, and biological- and material-based systems being developed to promote meniscal healing. We found that biologic augmentation typically aims to improve cellular incorporation to the wound site, vascularization in the inner zones, matrix deposition, and inflammatory relief. Furthermore, materials can be used, both with and without contained biologics, to further support matrix deposition and tear integration, and novel tissue adhesives may provide the mechanical integrity that the meniscus requires. Altogether, evaluation of these approaches in relevant in vitro and in vivo models provides new insights into the mechanisms needed to salvage meniscal tissue, and along with regulatory considerations, may justify translation to the clinic. With the need to restore long-term function to injured menisci, biologists, engineers, and clinicians are developing novel approaches to enhance the future of robust and consistent meniscal reparative techniques."
2020 Mar,Clinical imaging,Clin Imaging. 2020 Mar;60(1):67-74. doi: 10.1016/j.clinimag.2019.10.009. Epub ,"['Li, Xiaoxian', 'Aho, Michael', 'Newell, Mary S', 'Clifford, Kelly', 'Patel, Jay G', 'Jou, Stephanie', 'Cohen, Michael A']","['adult', 'aged', 'biopsy, large-core needle', 'carcinoma, intraductal, noninfiltrating pathology', 'female', 'humans', 'isocitrate dehydrogenase', 'middle aged', 'papilloma  diagnostic imaging surgery', 'papilloma, intraductal', 'ultrasonography', 'papilloma', 'papilloma excision', 'papilloma follow up', 'papilloma management', 'upgrade rate']",Papilloma diagnosed on core biopsies has a low upgrade rate.,"CONTEXT: Surgical excision of benign intraductal papillomas (IDP) diagnosed on core needle biopsy (CNB) remains controversial. OBJECTIVE: To examine the upgrade rate of IDPs diagnosed at core needle biopsy to carcinoma at surgical excision. DESIGN: We identified 188 consecutive IDPs diagnosed at CNB from 2011 to 2016 with subsequent surgical excision. Radiologic, clinical, and histologic features were evaluated and correlated with upgrade rate at surgical excision. RESULTS: Two of the 188 IDPs (1.1%) were upgraded to ductal carcinoma in situ or invasive carcinoma at excision. Features associated with upgrade rate include patient age (P = .03), largest size of papilloma on a single core at CNB (P = .04), and the presence of additional masses noted at ultrasound (P = .03). CONCLUSIONS: Our study demonstrated a low 1.1% upgrade rate of surgically excised benign, concordant papillomas with no atypia or concurrent ipsilateral malignancy originally diagnosed on core biopsy. This data suggests that observation may be appropriate for radiologic-pathologic concordant benign IDPs diagnosed at CNB."
