time,journal,doi_info,authors,key words,title,abstract
2021 Aug 31,mBio,mBio. 2021 Aug 31;12(4):e0086021. doi: 10.1128/mBio.00860-21. Epub 2021 Aug 10.,"['Azimi, Sheyda', 'Thomas, Jacob', 'Cleland, Sara E', 'Curtis, Jennifer E', 'Goldberg, Joanna B', 'Diggle, Stephen P']","['biofilms growth & development', 'cystic fibrosis  microbiology', 'dna', 'humans', ' hydrophobic and hydrophilic interactions', 'in vitro techniques', 'mucins', 'o antigens genetics  metabolism', 'polymers', 'pseudomonas aeruginosa  genetics  metabolism', 'o-antigen', 'pseudomonas aeruginosa', 'cystic fibrosis', 'depletion aggregation', 'hydrophobicity', 'lipopolysaccharide']",O-Specific Antigen-Dependent Surface Hydrophobicity Mediates Aggregate Assembly Type in Pseudomonas aeruginosa.,"Bacteria live in spatially organized aggregates during chronic infections, where they adapt to the host environment, evade immune responses, and resist therapeutic interventions. Although it is known that environmental factors such as polymers influence bacterial aggregation, it is not clear how bacterial adaptation during chronic infection impacts the formation and spatial organization of aggregates in the presence of polymers. Here, we show that in an in vitro model of cystic fibrosis (CF) containing the polymers extracellular DNA (eDNA) and mucin, O-specific antigen is a major factor determining the formation of two distinct aggregate assembly types of Pseudomonas aeruginosa due to alterations in cell surface hydrophobicity. Our findings suggest that during chronic infection, the interplay between cell surface properties and polymers in the environment may influence the formation and structure of bacterial aggregates, which would shed new light on the fitness costs and benefits of O-antigen production in environments such as CF lungs. IMPORTANCE During chronic infection, several factors contribute to the biogeography of microbial communities. Heterogeneous populations of Pseudomonas aeruginosa form aggregates in cystic fibrosis airways; however, the impact of this population heterogeneity on spatial organization and aggregate assembly is not well understood. In this study, we found that changes in O-specific antigen determine the spatial organization of P. aeruginosa cells by altering the relative cell surface hydrophobicity. This finding suggests a role for O-antigen in regulating P. aeruginosa aggregate size and shape in cystic fibrosis airways."
2021 Mar 23,ACS nano,ACS Nano. 2021 Mar 23;15(3):4268-4276. doi: 10.1021/acsnano.0c06882. Epub 2021 ,"['Faubel, Jessica L', 'Wei, Wenbin', 'Curtis, Jennifer E']","['polymerization', ' polymers', 'enzyme', 'gradient', 'hyaluronan', 'photopattern', 'polymer brush', 'reactive oxygen species', 'topography']",Sculpting Enzyme-Generated Giant Polymer Brushes.,"We present a simple yet versatile method for sculpting ultra-thick, enzyme-generated hyaluronan polymer brushes with light. The patterning mechanism is indirect, driven by reactive oxygen species created by photochemical interactions with the underlying substrate. The reactive oxygen species disrupt the enzyme hyaluronan synthase, which acts as the growth engine and anchor of the end-grafted polymers. Spatial control over the grafting density is achieved through inactivation of the enzyme in an energy density dose-dependent manner, before or after polymerization of the brush. Quantitative variation of the brush height is possible using visible wavelengths and illustrated by the creation of a brush gradient ranging from 0 to 6 μm in height over a length of 56 μm (approximately a 90 nm height increase per micron). Building upon the fundamental insights presented in this study, this work lays the foundation for the flexible and quantitative sculpting of complex three-dimensional landscapes in enzyme-generated hyaluronan brushes."
2019 Dec 4,Nature communications,Nat Commun. 2019 Dec 4;10(1):5527. doi: 10.1038/s41467-019-13440-7.,"['Wei, Wenbin', 'Faubel, Jessica L', 'Selvakumar, Hemaa', 'Kovari, Daniel T', 'Tsao, Joanna', 'Rivas, Felipe', 'Mohabir, Amar T', 'Krecker, Michelle', 'Rahbar, Elaheh', 'Hall, Adam R', 'Filler, Michael A', 'Washburn, Jennifer L', 'Weigel, Paul H', 'Curtis, Jennifer E']",[],Self-regenerating giant hyaluronan polymer brushes.,"Tailoring interfaces with polymer brushes is a commonly used strategy to create functional materials for numerous applications. Existing methods are limited in brush thickness, the ability to generate high-density brushes of biopolymers, and the potential for regeneration. Here we introduce a scheme to synthesize ultra-thick regenerating hyaluronan polymer brushes using hyaluronan synthase. The platform provides a dynamic interface with tunable brush heights that extend up to 20 microns - two orders of magnitude thicker than standard brushes. The brushes are easily sculpted into micropatterned landscapes by photo-deactivation of the enzyme. Further, they provide a continuous source of megadalton hyaluronan or they can be covalently-stabilized to the surface. Stabilized brushes exhibit superb resistance to biofilms, yet are locally digested by fibroblasts. This brush technology provides opportunities in a range of arenas including regenerating tailorable biointerfaces for implants, wound healing or lubrication as well as fundamental studies of the glycocalyx and polymer physics."
2017 Dec 5,Biophysical journal,Biophys J. 2017 Dec 5;113(11):2316-2320. doi: 10.1016/j.bpj.2017.09.030. Epub ,"['Scrimgeour, Jan', 'McLane, Louis T', 'Chang, Patrick S', 'Curtis, Jennifer E']","['animals', 'cell membrane metabolism', 'chondrocytes cytology', ' molecular imaging', 'proteoglycans  metabolism', 'rats', ' single-cell analysis']",Single-Molecule Imaging of Proteoglycans in the Pericellular Matrix.,"The pericellular matrix is a robust, hyaluronan-rich polymer brush-like structure that controls access to the cell surface, and plays an important role in cell adhesion, migration, and proliferation. We report the observation of single bottlebrush proteoglycan dynamics in the pericellular matrix of living chondrocytes. Our investigations show that the pericellular matrix undergoes gross extension on the addition of exogenous aggrecan, and that this extension is significantly in excess of that observed in traditional particle exclusion assays. The mean-square displacement of single, bound proteoglycans increases with distance to cell surface, indicating reduced confinement by neighboring hyaluronan-aggrecan complexes. This is consistent with published data from quantitative particle exclusion assays that show openings in the pericellular matrix microstructure ranging from ∼150 nm near the cell surface to ∼400 nm near the cell edge. In addition, the mobility of tethered aggrecan drops significantly when the cell coat is enriched with bottlebrush proteoglycans. Single-molecule imaging in this thick polysaccharide matrix on living cells has significant promise in the drive to elucidate the role of the pericellular coat in human health."
2018 Oct 1,Journal of molecular cell biology,J Mol Cell Biol. 2018 Oct 1;10(5):376-387. doi: 10.1093/jmcb/mjx044.,"['Cohen, Shlomi', 'Kovari, Daniel T', 'Wei, Wenbin', 'Keate, Rebecca', 'Curtis, Jennifer E', 'Nie, Shuyi']","['actin cytoskeleton metabolism', 'animals', 'animals, genetically modified', 'cartilage embryology', 'cell movement physiology', 'cytoskeletal proteins genetics  metabolism', 'embryo, nonmammalian', 'extracellular matrix metabolism', 'membrane proteins genetics  metabolism', 'monomeric gtp-binding proteins genetics  metabolism', 'neural crest  cytology metabolism', 'xenopus proteins genetics  metabolism', 'xenopus laevis  embryology genetics']",Cdc42 regulates the cellular localization of Cdc42ep1 in controlling neural crest cell migration.,"The member of Rho family of small GTPases Cdc42 plays important and conserved roles in cell polarity and motility. The Cdc42ep family proteins have been identified to bind to Cdc42, yet how they interact with Cdc42 to regulate cell migration remains to be elucidated. In this study, we focus on Cdc42ep1, which is expressed predominantly in the highly migratory neural crest cells in frog embryos. Through morpholino-mediated knockdown, we show that Cdc42ep1 is required for the migration of cranial neural crest cells. Loss of Cdc42ep1 leads to rounder cell shapes and the formation of membrane blebs, consistent with the observed disruption in actin organization and focal adhesion alignment. As a result, Cdc42ep1 is critical for neural crest cells to apply traction forces at the correct place to migrate efficiently. We further show that Cdc42ep1 is localized to two areas in neural crest cells: in membrane protrusions together with Cdc42 and in perinuclear patches where Cdc42 is absent. Cdc42 directly interacts with Cdc42ep1 (through the CRIB domain) and changes in Cdc42 level shift the distribution of Cdc42ep1 between these two subcellular locations, controlling the formation of membrane protrusions and directionality of migration as a consequence. These results suggest that Cdc42ep1 elaborates Cdc42 activity in neural crest cells to promote their efficient migration."
2016 Dec 20,Biophysical journal,Biophys J. 2016 Dec 20;111(12):2698-2710. doi: 10.1016/j.bpj.2016.11.009.,"['Kovari, Daniel T', 'Wei, Wenbin', 'Chang, Patrick', 'Toro, Jan-Simon', 'Beach, Ruth Fogg', 'Chambers, Dwight', 'Porter, Karen', 'Koo, Doyeon', 'Curtis, Jennifer E']","['actins metabolism', 'animals', 'biomechanical phenomena', 'buffers', 'cell line', 'cell shape', 'macrophages  cytology metabolism', ' mechanical phenomena', 'mice', 'myosin type ii  metabolism', ' phagocytosis']",Frustrated Phagocytic Spreading of J774A-1 Macrophages Ends in Myosin II-Dependent Contraction.,"Conventional studies of dynamic phagocytic behavior have been limited in terms of spatial and temporal resolution due to the inherent three-dimensionality and small features of phagocytosis. To overcome these issues, we use a series of frustrated phagocytosis assays to quantitatively characterize phagocytic spreading dynamics. Our investigation reveals that frustrated phagocytic spreading occurs in phases and is punctuated by a distinct period of contraction. The spreading duration and peak contact areas are independent of the surface opsonin density, although the opsonin density does affect the likelihood that a cell will spread. This reinforces the idea that phagocytosis dynamics are primarily dictated by cytoskeletal activity. Structured illumination microscopy reveals that F-actin is reorganized during the course of frustrated phagocytosis. F-actin in early stages is consistent with that observed in lamellipodial protrusions. During the contraction phase, it is bundled into fibers that surround the cell and is reminiscent of a contractile belt. Using traction force microscopy, we show that cells exert significant strain on the underlying substrate during the contraction phase but little strain during the spreading phase, demonstrating that phagocytes actively constrict during late-stage phagocytosis. We also find that late-stage contraction initiates after the cell surface area increases by 225%, which is consistent with the point at which cortical tension begins to rise. Moreover, reducing tension by exposing cells to hypertonic buffer shifts the onset of contraction to occur in larger contact areas. Together, these findings provide further evidence that tension plays a significant role in signaling late-stage phagocytic activity."
2016 Dec 27,Langmuir : the ACS journal of surfaces and colloids,Langmuir. 2016 Dec 27;32(51):13600-13610. doi: 10.1021/acs.langmuir.6b03471. Epub ,"['Carroll, Keith M', 'Wolf, Heiko', 'Knoll, Armin', 'Curtis, Jennifer E', 'Zhang, Yadong', 'Marder, Seth R', 'Riedo, Elisa', 'Duerig, Urs']",[],Understanding How Charged Nanoparticles Electrostatically Assemble and Distribute in 1-D.,"The effects of increasing the driving forces for a 1-D assembly of nanoparticles onto a surface are investigated with experimental results and models. Modifications, which take into account not only the particle-particle interactions but also particle-surface interactions, to previously established extended random sequential adsorption simulations are tested and verified. Both data and model are compared against the heterogeneous random sequential adsorption simulations, and finally, a connection between the two models is suggested. The experiments and models show that increasing the particle-surface interaction leads to narrower particle distribution; this narrowing is attributed to the surface interactions compensating against the particle-particle interactions. The long-term advantage of this work is that the assembly of nanoparticles in solution is now understood as controlled not only by particle-particle interactions but also by particle-surface interactions. Both particle-particle and particle-surface interactions can be used to tune how nanoparticles distribute themselves on a surface."
2016 Jun 21,Biophysical journal,Biophys J. 2016 Jun 21;110(12):2739-2750. doi: 10.1016/j.bpj.2016.05.027.,"['Chang, Patrick S', 'McLane, Louis T', 'Fogg, Ruth', 'Scrimgeour, Jan', 'Temenoff, Johnna S', 'Granqvist, Anna', 'Curtis, Jennifer E']","['aggrecans  metabolism', 'animals', 'bacterial proteins metabolism', 'cell membrane metabolism', 'cells, cultured', 'chondroitin abc lyase metabolism', 'diffusion', 'extracellular matrix  metabolism microbiology', 'green fluorescent proteins genetics metabolism', 'humans', 'hyaluronic acid metabolism', 'mesenchymal stem cells metabolism', 'nanoparticles metabolism', 'optical tweezers', 'porosity', 'proteus vulgaris', 'rats', 'static electricity']",Cell Surface Access Is Modulated by Tethered Bottlebrush Proteoglycans.,"The hyaluronan-rich pericellular matrix (PCM) plays physical and chemical roles in biological processes ranging from brain plasticity, to adhesion-dependent phenomena such as cell migration, to the onset of cancer. This study investigates how the spatial distribution of the large negatively charged bottlebrush proteoglycan, aggrecan, impacts PCM morphology and cell surface access. The highly localized pericellular milieu limits transport of nanoparticles in a size-dependent fashion and sequesters positively charged molecules on the highly sulfated side chains of aggrecan. Both rat chondrocyte and human mesenchymal stem cell PCMs possess many unused binding sites for aggrecan, showing a 2.5x increase in PCM thickness from ∼7 to ∼18 μm when provided exogenous aggrecan. Yet, full extension of the PCM occurs well below aggrecan saturation. Hence, cells equipped with hyaluronan-rich PCM can in principle manipulate surface accessibility or sequestration of molecules by tuning the bottlebrush proteoglycan content to alter PCM porosity and the number of electrostatic binding sites."
2016 Jun 21,Biophysical journal,Biophys J. 2016 Jun 21;110(12):2566-2567. doi: 10.1016/j.bpj.2016.04.049.,"['Curtis, Jennifer E']","['extracellular matrix', 'female', 'humans', ' hyaluronic acid', 'oocytes', ' ovulation', 'sugars']",The Mechanics of Ovulation Depend on an Incredibly Soft and Sugar-Rich Extracellular Matrix.,
2015 Nov 7,Soft matter,Soft Matter. 2015 Nov 7;11(41):8092-9. doi: 10.1039/c5sm01316j.,"['Souslov, Anton', 'Curtis, Jennifer E', 'Goldbart, Paul M']","['hyaluronic acid chemistry', 'polymers  chemistry', 'proteoglycans chemistry', 'thermodynamics']",Beads on a string: structure of bound aggregates of globular particles and long polymer chains.,"Macroscopic properties of suspensions, such as those composed of globular particles (e.g., colloidal or macromolecular), can be tuned by controlling the equilibrium aggregation of the particles. We examine how aggregation - and, hence, macroscopic properties - can be controlled in a system composed of both globular particles and long, flexible polymer chains that reversibly bind to one another. We base this on a minimal statistical mechanical model of a single aggregate in which the polymer chain is treated either as ideal or self-avoiding, and, in addition, the globular particles are taken to interact with one another via excluded volume repulsion. Furthermore, each of the globular particles is taken to have one single site to which at most one polymer segment may bind. Within the context of this model, we examine the statistics of the equilibrium size of an aggregate and, thence, the structure of dilute and semidilute suspensions of these aggregates. We apply the model to biologically relevant aggregates, specifically those composed of macromolecular proteoglycan globules and long hyaluronan polymer chains. These aggregates are especially relevant to the materials properties of cartilage and the structure-function properties of perineuronal nets in brain tissue, as well as the pericellular coats of mammalian cells."
