time,journal,doi_info,authors,key words,title,abstract
2024 Jun 11,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2024 Jun 11;121(24):e2320517121. doi: ,"['Rieser, Jennifer M', 'Chong, Baxi', 'Gong, Chaohui', 'Astley, Henry C', 'Schiebel, Perrin E', 'Diaz, Kelimar', 'Pierce, Christopher J', 'Lu, Hang', 'Hatton, Ross L', 'Choset, Howie', 'Goldman, Daniel I']","['animals', ' locomotion physiology', ' lizards physiology', 'snakes physiology', 'biomechanical phenomena', 'models, biological', 'geometric phase', 'locomotion', 'physics of living systems']",Geometric phase predicts locomotion performance in undulating living systems across scales.,"Self-propelling organisms locomote via generation of patterns of self-deformation. Despite the diversity of body plans, internal actuation schemes and environments in limbless vertebrates and invertebrates, such organisms often use similar traveling waves of axial body bending for movement. Delineating how self-deformation parameters lead to locomotor performance (e.g. speed, energy, turning capabilities) remains challenging. We show that a geometric framework, replacing laborious calculation with a diagrammatic scheme, is well-suited to discovery and comparison of effective patterns of wave dynamics in diverse living systems. We focus on a regime of undulatory locomotion, that of highly damped environments, which is applicable not only to small organisms in viscous fluids, but also larger animals in frictional fluids (sand) and on frictional ground. We find that the traveling wave dynamics used by mm-scale nematode worms and cm-scale desert dwelling snakes and lizards can be described by time series of weights associated with two principal modes. The approximately circular closed path trajectories of mode weights in a self-deformation space enclose near-maximal surface integral (geometric phase) for organisms spanning two decades in body length. We hypothesize that such trajectories are targets of control (which we refer to as ""serpenoid templates""). Further, the geometric approach reveals how seemingly complex behaviors such as turning in worms and sidewinding snakes can be described as modulations of templates. Thus, the use of differential geometry in the locomotion of living systems generates a common description of locomotion across taxa and provides hypotheses for neuromechanical control schemes at lower levels of organization."
2022 Jul 26,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2022 Jul 26;119(30):e2113912119. doi: ,"['Li, Shengkai', 'Ozkan-Aydin, Yasemin', 'Xiao, Charles', 'Small, Gabriella', 'Gynai, Hussain N', 'Li, Gongjie', 'Rieser, Jennifer M', 'Laguna, Pablo', 'Goldman, Daniel I']","['humans', ' locomotion', ' robotics', 'active matter', 'elasticity', 'emergent phenomena', 'terradynamics']",Field-mediated locomotor dynamics on highly deformable surfaces.,"Studies of active matter-systems consisting of individuals or ensembles of internally driven and damped locomotors-are of interest to physicists studying nonequilibrium dynamics, biologists interested in individuals and swarm locomotion, and engineers designing robot controllers. While principles governing active systems on hard ground or within fluids are well studied, another class of systems exists at deformable interfaces. Such environments can display mixes of fluid-like and elastic features, leading to locomotor dynamics that are strongly influenced by the geometry of the surface, which, in itself, can be a dynamical entity. To gain insight into principles by which locomotors are influenced via a deformation field alone (and can influence other locomotors), we study robot locomotion on an elastic membrane, which we propose as a model of active systems on highly deformable interfaces. As our active agent, we use a differential driven wheeled robotic vehicle which drives straight on flat homogeneous surfaces, but reorients in response to environmental curvature. We monitor the curvature field-mediated dynamics of a single vehicle interacting with a fixed deformation as well as multiple vehicles interacting with each other via local deformations. Single vehicles display precessing orbits in centrally deformed environments, while multiple vehicles influence each other by local deformation fields. The active nature of the system facilitates a differential geometry-inspired mathematical mapping from the vehicle dynamics to those of test particles in a fictitious ""spacetime,"" allowing further understanding of the dynamics and how to control agent interactions to facilitate or avoid multivehicle membrane-induced cohesion."
2022 Jun 16,Bioinspiration & biomimetics,Bioinspir Biomim. 2022 Jun 16;17(4). doi: 10.1088/1748-3190/ac6e1b.,"['Chong, Baxi', 'O Aydin, Yasemin', 'Rieser, Jennifer M', 'Sartoretti, Guillaume', 'Wang, Tianyu', 'Whitman, Julian', 'Kaba, Abdul', 'Aydin, Enes', 'McFarland, Ciera', 'Diaz Cruz, Kelimar', 'Rankin, Jeffery W', 'Michel, Krijn B', 'Nicieza, Alfredo', 'Hutchinson, John R', 'Choset, Howie', 'Goldman, Daniel I']","['animals', 'extremities', 'gait', 'locomotion', ' robotics', 'urodela', 'geometric mechanics', 'locomotion', 'multi-legged']",A general locomotion control framework for multi-legged locomotors.,"Serially connected robots are promising candidates for performing tasks in confined spaces such as search and rescue in large-scale disasters. Such robots are typically limbless, and we hypothesize that the addition of limbs could improve mobility. However, a challenge in designing and controlling such devices lies in the coordination of high-dimensional redundant modules in a way that improves mobility. Here we develop a general framework to discover templates to control serially connected multi-legged robots. Specifically, we combine two approaches to build a general shape control scheme which can provide baseline patterns of self-deformation ('gaits') for effective locomotion in diverse robot morphologies. First, we take inspiration from a dimensionality reduction and a biological gait classification scheme to generate cyclic patterns of body deformation and foot lifting/lowering, which facilitate the generation of arbitrary substrate contact patterns. Second, we extend geometric mechanics, which was originally introduced to study swimming at low Reynolds numbers, to frictional environments, allowing the identification of optimal body-leg coordination in this common terradynamic regime. Our scheme allows the development of effective gaits on flat terrain with diverse numbers of limbs (4, 6, 16, and even 0 limbs) and backbone actuation. By properly coordinating the body undulation and leg placement, our framework combines the advantages of both limbless robots (modularity and narrow profile) and legged robots (mobility). Our framework can provide general control schemes for the rapid deployment of general multi-legged robots, paving the way toward machines that can traverse complex environments. In addition, we show that our framework can also offer insights into body-leg coordination in living systems, such as salamanders and centipedes, from a biomechanical perspective."
2021 Feb 9,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2021 Feb 9;118(6):e2018264118. doi: ,"['Rieser, Jennifer M', 'Li, Tai-De', 'Tingle, Jessica L', 'Goldman, Daniel I', 'Mendelson, Joseph R 3rd']","['animals', 'anisotropy', ' biological evolution', 'biomechanical phenomena', 'ecosystem', 'locomotion  physiology', 'models, biological', 'models, theoretical', 'skin anatomy & histology  ultrastructure', 'snakes anatomy & histology  physiology', 'evolution', 'function', 'locomotion', 'snake', 'structure']",Functional consequences of convergently evolved microscopic skin features on snake locomotion.,"The small structures that decorate biological surfaces can significantly affect behavior, yet the diversity of animal-environment interactions essential for survival makes ascribing functions to structures challenging. Microscopic skin textures may be particularly important for snakes and other limbless locomotors, where substrate interactions are mediated solely through body contact. While previous studies have characterized ventral surface features of some snake species, the functional consequences of these textures are not fully understood. Here, we perform a comparative study, combining atomic force microscopy measurements with mathematical modeling to generate predictions that link microscopic textures to locomotor performance. We discover an evolutionary convergence in the ventral skin structures of a few sidewinding specialist vipers that inhabit sandy deserts-an isotropic texture that is distinct from the head-to-tail-oriented, micrometer-sized spikes observed on a phylogenetically broad sampling of nonsidewinding vipers and other snakes from diverse habitats and wide geographic range. A mathematical model that relates structural directionality to frictional anisotropy reveals that isotropy enhances movement during sidewinding, whereas anisotropy improves movement during slithering via lateral undulation of the body. Our results highlight how an integrated approach can provide quantitative predictions for structure-function relationships and insights into behavioral and evolutionary adaptations in biological systems."
2020 Oct 28,Bioinspiration & biomimetics,Bioinspir Biomim. 2020 Oct 28;15(6):065005. doi: 10.1088/1748-3190/abb415.,"['Astley, Henry C', 'Rieser, Jennifer M', 'Kaba, Abdul', 'Paez, Veronica M', 'Tomkinson, Ian', 'Mendelson, Joseph R 3rd', 'Goldman, Daniel I']","['algorithms', 'animals', 'behavior, animal  physiology', 'biomechanical phenomena', 'crotalus anatomy & histology physiology', 'ecosystem', 'locomotion  physiology', 'orientation', 'snakes anatomy & histology  physiology']",Side-impact collision: mechanics of obstacle negotiation in sidewinding snakes.,"Snakes excel at moving through cluttered environments, and heterogeneities can be used as propulsive contacts for snakes performing lateral undulation. However, sidewinding, which is often associated with sandy deserts, cuts a broad path through its environment that may increase its vulnerability to obstacles. Our prior work demonstrated that sidewinding can be represented as a pair of orthogonal body waves (vertical and horizontal) that can be independently modulated to achieve high maneuverability and incline ascent, suggesting that sidewinders may also use template modulations to negotiate obstacles. To test this hypothesis, we recorded overhead video of four sidewinder rattlesnakes (Crotalus cerastes) crossing a line of vertical pegs placed in the substrate. Snakes used three methods to traverse the obstacles: a Propagate Through behavior in which the lifted moving portion of the snake was deformed around the peg and dragged through as the snake continued sidewinding (115/160 runs), Reversal turns that reorient the snake entirely (35/160), or switching to Concertina locomotion (10/160). The Propagate Through response was only used if the anterior-most region of static contact would propagate along a path anterior to the peg, or if a new region of static contact could be formed near the head to satisfy this condition; otherwise, snakes could only use Reversal turns or switch to Concertina locomotion. Reversal turns allowed the snake to re-orient and either escape without further peg contact or re-orient into a posture amenable to using the Propagate Through response. We developed an algorithm to reproduce the Propagate Through behavior in a robophysical model using a modulation of the two-wave template. This range of behavioral strategies provides sidewinders with a versatile range of options for effectively negotiating obstacles in their natural habitat, as well as provide insights into the design and control of robotic systems dealing with heterogeneous habitats."
2020 Jun 24,eLife,Elife. 2020 Jun 24;9:e51412. doi: 10.7554/eLife.51412.,"['Schiebel, Perrin E', 'Astley, Henry C', 'Rieser, Jennifer M', 'Agarwal, Shashank', 'Hubicki, Christian', 'Hubbard, Alex M', 'Diaz, Kelimar', 'Mendelson Iii, Joseph R', 'Kamrin, Ken', 'Goldman, Daniel I']","['animals', 'biomechanical phenomena', 'locomotion  physiology', 'memory  physiology', 'motor activity  physiology', 'snakes  physiology', 'biomechanics', 'granular matter', 'hysteresis', 'locomotion', 'physics of living systems', 'robophysics', 'snake']",Mitigating memory effects during undulatory locomotion on hysteretic materials.,"While terrestrial locomotors often contend with permanently deformable substrates like sand, soil, and mud, principles of motion on such materials are lacking. We study the desert-specialist shovel-nosed snake traversing a model sand and find body inertia is negligible despite rapid transit and speed dependent granular reaction forces. New surface resistive force theory (RFT) calculation reveals how wave shape in these snakes minimizes material memory effects and optimizes escape performance given physiological power limitations. RFT explains the morphology and waveform-dependent performance of a diversity of non-sand-specialist snakes but overestimates the capability of those snakes which suffer high lateral slipping of the body. Robophysical experiments recapitulate aspects of these failure-prone snakes and elucidate how re-encountering previously deformed material hinders performance. This study reveals how memory effects stymied the locomotion of a diversity of snakes in our previous studies (Marvi et al., 2014) and indicates avenues to improve all-terrain robots."
2020 Feb 28,The Journal of experimental biology,J Exp Biol. 2020 Feb 28;223(Pt 5):jeb103564. doi: 10.1242/jeb.103564.,"['Astley, Henry C', 'Mendelson, Joseph R 3rd', 'Dai, Jin', 'Gong, Chaohui', 'Chong, Baxi', 'Rieser, Jennifer M', 'Schiebel, Perrin E', 'Sharpe, Sarah S', 'Hatton, Ross L', 'Choset, Howie', 'Goldman, Daniel I']","['animals', 'biomechanical phenomena', 'extremities anatomy & histology', 'lizards  physiology', ' locomotion', ' sand', 'snakes  physiology', 'biomechanics', 'geometric mechanics', 'granular media', 'locomotion', 'squamates']",Surprising simplicities and syntheses in limbless self-propulsion in sand.,"Animals moving on and in fluids and solids move their bodies in diverse ways to generate propulsion and lift forces. In fluids, animals can wiggle, stroke, paddle or slap, whereas on hard frictional terrain, animals largely engage their appendages with the substrate to avoid slip. Granular substrates, such as desert sand, can display complex responses to animal interactions. This complexity has led to locomotor strategies that make use of fluid-like or solid-like features of this substrate, or combinations of the two. Here, we use examples from our work to demonstrate the diverse array of methods used and insights gained in the study of both surface and subsurface limbless locomotion in these habitats. Counterintuitively, these seemingly complex granular environments offer certain experimental, theoretical, robotic and computational advantages for studying terrestrial movement, with the potential for providing broad insights into morphology and locomotor control in fluids and solids, including neuromechanical control templates and morphological and behavioral evolution. In particular, granular media provide an excellent testbed for a locomotion framework called geometric mechanics, which was introduced by particle physicists and control engineers in the last century, and which allows quantitative analysis of alternative locomotor patterns and morphology to test for control templates, optimality and evolutionary alternatives. Thus, we posit that insights gained from movement in granular environments can be translated into principles that have broader applications across taxa, habitats and movement patterns, including those at microscopic scales."
2019 Feb,Physical review. E,Phys Rev E. 2019 Feb;99(2-1):022606. doi: 10.1103/PhysRevE.99.022606.,"['Rieser, Jennifer M', 'Schiebel, Perrin E', 'Pazouki, Arman', 'Qian, Feifei', 'Goddard, Zachary', 'Wiesenfeld, Kurt', 'Zangwill, Andrew', 'Negrut, Dan', 'Goldman, Daniel I']",[],Dynamics of scattering in undulatory active collisions.,"Natural and artificial self-propelled systems must manage environmental interactions during movement. In complex environments, these interactions include active collisions, in which propulsive forces create persistent contacts with heterogeneities. Due to the driven and dissipative nature of these systems, such collisions are fundamentally different from those typically studied in classical physics. Here we experimentally and numerically study the effects of active collisions on a laterally undulating sensory-deprived robophysical model, whose dynamics are relevant to self-propelled systems across length scales and environments. Interactions with a single rigid post scatter the robot, and this deflection is dominated by head-post contact. These results motivate a model which reduces the snake to a circular particle with two key features: The collision dynamics are set by internal driving subject to the geometric constraints of the post, and the particle has an effective length equal to the wavelength of the snake. Interactions with a single row of evenly spaced posts (with interpost spacing d) produce distributions reminiscent of far-field diffraction patterns: As d decreases, distinct secondary peaks emerge as large deflections become more likely. Surprisingly, we find that the presence of multiple posts does not change the nature of individual collisions; instead, multimodal scattering patterns arise from multiple posts altering the likelihood of individual collisions to occur. As d decreases, collisions near the leading edges of the posts become more probable, and we find that these interactions are associated with larger deflections. Our results, which highlight the surprising dynamics that can occur during active collisions of self-propelled systems, can inform control principles for locomotors in complex terrain and facilitate design of task-capable active matter."
2019 Mar 12,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2019 Mar 12;116(11):4798-4803. doi: ,"['Schiebel, Perrin E', 'Rieser, Jennifer M', 'Hubbard, Alex M', 'Chen, Lillian', 'Rocklin, D Zeb', 'Goldman, Daniel I']","['animals', 'biomechanical phenomena', ' locomotion', 'models, biological', 'snakes  physiology', 'biomechanics', 'collisions', 'locomotion', 'neuromechanics', 'snake']",Mechanical diffraction reveals the role of passive dynamics in a slithering snake.,"Limbless animals like snakes inhabit most terrestrial environments, generating thrust to overcome drag on the elongate body via contacts with heterogeneities. The complex body postures of some snakes and the unknown physics of most terrestrial materials frustrates understanding of strategies for effective locomotion. As a result, little is known about how limbless animals contend with unplanned obstacle contacts. We studied a desert snake, Chionactis occipitalis, which uses a stereotyped head-to-tail traveling wave to move quickly on homogeneous sand. In laboratory experiments, we challenged snakes to move across a uniform substrate and through a regular array of force-sensitive posts. The snakes were reoriented by the array in a manner reminiscent of the matter-wave diffraction of subatomic particles. Force patterns indicated the animals did not change their self-deformation pattern to avoid or grab the posts. A model using open-loop control incorporating previously described snake muscle activation patterns and body-buckling dynamics reproduced the observed patterns, suggesting a similar control strategy may be used by the animals. Our results reveal how passive dynamics can benefit limbless locomotors by allowing robust transit in heterogeneous environments with minimal sensing."
2016 Jul 8,"Science (New York, N.Y.)",Science. 2016 Jul 8;353(6295):154-8. doi: 10.1126/science.aaf0984.,"['McInroe, Benjamin', 'Astley, Henry C', 'Gong, Chaohui', 'Kawano, Sandy M', 'Schiebel, Perrin E', 'Rieser, Jennifer M', 'Choset, Howie', 'Blob, Richard W', 'Goldman, Daniel I']","['animals', ' biological evolution', 'environment', 'extremities physiology', ' locomotion', ' models, biological', ' robotics', 'tail  physiology', 'vertebrates  physiology']",Tail use improves performance on soft substrates in models of early vertebrate land locomotors.,"In the evolutionary transition from an aquatic to a terrestrial environment, early tetrapods faced the challenges of terrestrial locomotion on flowable substrates, such as sand and mud of variable stiffness and incline. The morphology and range of motion of appendages can be revealed in fossils; however, biological and robophysical studies of modern taxa have shown that movement on such substrates can be sensitive to small changes in appendage use. Using a biological model (the mudskipper), a physical robot model, granular drag measurements, and theoretical tools from geometric mechanics, we demonstrate how tail use can improve robustness to variable limb use and substrate conditions. We hypothesize that properly coordinated tail movements could have provided a substantial benefit for the earliest vertebrates to move on land."
