time,journal,doi_info,authors,key words,title,abstract
2024 May 2,Scientific reports,Sci Rep. 2024 May 2;14(1):10092. doi: 10.1038/s41598-024-60666-7.,"['El Sayed, Retta', 'Lucas, Carissa J', 'Cebull, Hannah L', 'Nahab, Fadi B', 'Haussen, Diogo C', 'Allen, Jason W', 'Oshinski, John N']","['humans', ' hemodynamics', 'male', ' carotid artery diseases physiopathology diagnostic imaging', 'female', 'middle aged', 'aged', 'carotid arteries diagnostic imaging physiopathology', 'computed tomography angiography', 'thrombosis physiopathology diagnostic imaging', 'magnetic resonance imaging']",Subjects with carotid webs demonstrate pro-thrombotic hemodynamics compared to subjects with carotid atherosclerosis.,"Carotid artery webs (CaW) are non-atherosclerotic projections into the vascular lumen and have been linked to up to one-third of cryptogenic strokes in younger patients. Determining how CaW affects local hemodynamics is essential for understanding clot formation and stroke risk. Computational fluid dynamics simulations were used to investigate patient-specific hemodynamics in carotid artery bifurcations with CaW, bifurcations with atherosclerotic lesions having a similar degree of lumen narrowing, and with healthy carotid bifurcations. Simulations were conducted using segmented computed tomography angiography geometries with inlet boundary conditions extracted from 2D phase contrast MRI scans. The study included carotid bifurcations with CaW (n = 13), mild atherosclerosis (n = 7), and healthy bifurcation geometries (n = 6). Hemodynamic parameters associated with vascular dysfunction and clot formation, including shear rate, oscillatory shear index (OSI), low velocity, and flow stasis were calculated and compared between the subject groups. Patients with CaW had significantly larger regions containing low shear rate, high OSI, low velocity, and flow stasis in comparison to subjects with mild atherosclerosis or normal bifurcations. These abnormal hemodynamic metrics in patients with CaW are associated with clot formation and vascular dysfunction and suggest that hemodynamic assessment may be a tool to assess stroke risk in these patients."
2024 Mar,Computers in biology and medicine,Comput Biol Med. 2024 Mar;170:108041. doi: 10.1016/j.compbiomed.2024.108041. Epub ,"['Liu, Minliang', 'Dong, Hai', 'Mazlout, Adam', 'Wu, Yuxuan', 'Kalyanasundaram, Asanish', 'Oshinski, John N', 'Sun, Wei', 'Elefteriades, John A', 'Leshnower, Bradley G', 'Gleason, Rudolph L Jr']","['humans', ' aortic aneurysm, thoracic surgery', ' endovascular procedures adverse effects', 'risk factors', ' aortic dissection diagnostic imaging drug therapy', 'retrospective studies', 'treatment outcome', ' blood vessel prosthesis implantation', 'aortic growth', 'dissection flap', 'optimal medical therapy', 'statistical shape model', 'type b aortic dissection']",The role of anatomic shape features in the prognosis of uncomplicated type B aortic dissection initially treated with optimal medical therapy.,"OBJECTIVE: Currently, the long-term outcomes of uncomplicated type B aortic dissection (TBAD) patients managed with optimal medical therapy (OMT) remain poor. Aortic expansion is a major factor that determines patient long-term survival. The objective of this study was to investigate the association between anatomic shape features and (i) OMT outcome; (ii) aortic growth rate for TBAD patients initially treated with OMT. METHODS: 108 CT images of TBAD in the acute and chronic phases were collected from 46 patients who were initially treated with OMT. Statistical shape models (SSM) of TBAD were constructed to extract shape features from the earliest initial CT scans of each patient by using principal component analysis (PCA) and partial least square (PLS) regression. Additionally, conventional shape features (e.g., aortic diameter) were quantified from the earliest CT scans as a baseline for comparison. We identified conventional and SSM features that were significant in separating OMT ""success"" and failure patients. Moreover, the aortic growth rate was predicted by SSM and conventional features using linear and nonlinear regression with cross-validations. RESULTS: Size-related SSM and conventional features (mean aortic diameter: p=0.0484, centerline length: p=0.0112, PCA score c(1): p=0.0192, and PLS scores t(1): p=0.0004, t(2): p=0.0274) were significantly different between OMT success and failure groups, but these features were incapable of predicting the aortic growth rate. SSM shape features showed superior results in growth rate prediction compared to conventional features. Using multiple linear regression, the conventional, PCA, and PLS shape features resulted in root mean square errors (RMSE) of 1.23, 0.85, and 0.84 mm/year, respectively, in leave-one-out cross-validations. Nonlinear support vector regression (SVR) led to improved RMSE of 0.99, 0.54, and 0.43 mm/year, for the conventional, PCA, and PLS features, respectively. CONCLUSION: Size-related shape features of the earliest scan were correlated with OMT failure but led to large errors in the prediction of the aortic growth rate. SSM features in combination with nonlinear regression could be a promising avenue to predict the aortic growth rate."
2024 Jan 4,European radiology experimental,Eur Radiol Exp. 2024 Jan 4;8(1):4. doi: 10.1186/s41747-023-00401-5.,"['Holmes, Thomas Wesley', 'Yu, Zhou', 'Thompson, Richard', 'Oshinski, John N', 'Pourmorteza, Amir']","['humans', ' tomography, x-ray computed methods', 'tomography scanners, x-ray computed', 'motion', ' abdominal cavity', 'pancreas diagnostic imaging', 'abdomen', 'artifacts', 'healthy volunteers', 'magnetic resonance imaging', 'tomography (x-ray computed)']",Cardiac-induced motion of the pancreas and its effect on image quality of ultrahigh-resolution CT.,"Recent advancements in diagnostic CT detector technology have made it possible to resolve anatomical features smaller than 20 LP/cm, referred to as ultra-high-resolution (UHR) CT. Subtle biological motions that did not affect standard-resolution (SR) CT may not be neglected in UHR. This study aimed to quantify the cardiac-induced motion of the pancreas and simulate its impact on the image quality of UHR-CT. We measured the displacement of the head of the pancreas in three healthy volunteers using Displacement Encoding with Stimulated Echoes (DENSE) MRI. The results were used to simulate SR- and UHR-CT acquisitions affected by pancreatic motion.We found pancreatic displacement in the 0.24-1.59 mm range during one cardiac cycle across the subjects. The greatest displacement was observed in the anterior-posterior direction. The time to peak displacement varied across subjects. Both SR and UHR images showed reduced image quality, as measured by radial modulation transfer function, due to cardiac-induced motion, but the motion artifacts caused more severe degradation in UHR acquisitions. Our investigation of cardiac-induced pancreatic displacement reveals its potential to degrade both standard and UHR-CT scans. To fully utilize the improvement in spatial resolution offered by UHR-CT, the effects of cardiac-induced motion in the abdomen need to be understood and corrected.Relevance statement Advancements in CT detector technology have enhanced CT scanner spatial resolution to approximately 100 µm. Consequently, previously ignored biological motions such as the cardiac-induced motion of the pancreas now demand attention to fully utilize this improved resolution."
2023 Dec,World neurosurgery,World Neurosurg. 2023 Dec;180:149-154.e2. doi: 10.1016/j.wneu.2023.09.112. Epub ,"['Karamzadeh, Mahsa', 'Al Samman, Mohamad Motaz', 'Vargas, Ana I', 'Bhadelia, Rafeeque A', 'Oshinski, John', 'Barrow, Daniel L', 'Amini, Rouzbeh', 'Loth, Francis']","['adult', 'humans', 'middle aged', ' cervical cord diagnostic imaging surgery pathology', 'retrospective studies', 'decompression, surgical methods', ' arnold-chiari malformation diagnostic imaging surgery pathology', 'brain stem diagnostic imaging surgery pathology', 'spinal cord surgery', 'magnetic resonance imaging', 'cranial fossa, posterior diagnostic imaging surgery pathology', 'treatment outcome', 'cervicomedullary morphometrics', 'chiari malformation type i', 'magnetic resonance imaging', 'posterior fossa decompression']",The Effect of Posterior Fossa Decompression Surgery on Brainstem and Cervical Spinal Cord Dimensions in Adults with Chiari Malformation Type 1.,"OBJECTIVE: Posterior fossa decompression (PFD) surgery creates more space at the skull base, reduces the resistance to the cerebrospinal fluid motion, and alters craniocervical biomechanics. In this paper, we retrospectively examined the changes in neural tissue dimensions following PFD surgery on Chiari malformation type 1 adults. METHODS: Measurements were performed on T2-weighted brain magnetic resonance images acquired before and 4 months after surgery. Measurements were conducted for neural tissue volume and spinal cord/brainstem width at 4 different locations; 2 width measurements were made on the brainstem and 2 on the spinal cord in the midsagittal plane. Cerebellar tonsillar position (CTP) was also measured before and after surgery. RESULTS: Twenty-five adult patients, with a mean age of 38.9 ± 8.8 years, were included in the study. The cervical cord volume increased by an average of 2.3 ± 3.3% (P = 0.002). The width at the pontomedullary junction increased by 2.2 ± 3.5% (P < 0.01), while the width 10 mm caudal to this junction increased by 4.2 ± 3.9% (P < 0.0001). The spinal cord width at the base of second cervical vertebra and third cervical vertebra did not significantly change after surgery. The CTP decreased by 60 ± 37% (P < 0.0001) after surgery, but no correlation was found between CTP change and dimension change. CONCLUSIONS: The brainstem width and cervical cord volume showed a modest increase after PFD surgery, although standard deviations were large. A reduction in compression after PFD surgery may allow for an increase in neural tissue dimension. However, clinical relevance is unclear and should be assessed in future studies with high-resolution imaging."
2024 Jun,Journal of magnetic resonance imaging : JMRI,J Magn Reson Imaging. 2024 Jun;59(6):2001-2010. doi: 10.1002/jmri.29013. Epub ,"['El Sayed, Retta', 'Park, Charlie C', 'Shah, Zahraw', 'Nahab, Fadi B', 'Haussen, Diogo C', 'Allen, Jason W', 'Oshinski, John N']","['humans', 'female', 'male', 'middle aged', 'aged', 'prospective studies', ' carotid artery diseases diagnostic imaging physiopathology', 'blood flow velocity', 'adult', 'carotid artery, internal diagnostic imaging physiopathology', 'magnetic resonance imaging methods', 'hemodynamics', 'imaging, three-dimensional methods', 'magnetic resonance angiography methods', '4d flow mri', 'carotid web', 'atherosclerosis', 'carotid bifurcation', 'hemodynamics']","Assessment of Complex Flow Patterns in Patients With Carotid Webs, Patients With Carotid Atherosclerosis, and Healthy Subjects Using 4D Flow MRI.","BACKGROUND: Carotid webs (CaWs) are fibromuscular projections in the internal carotid artery (ICA) that cause mild luminal narrowing (<50%), but may be causative in up to one-third of seemingly cryptogenic strokes. Understanding hemodynamic alterations caused by CaWs is imperative to assessing stroke risk. Time-Average Wall Shear Stress (TAWSS) and Oscillatory Shear Index (OSI) are hemodynamic parameters linked to vascular dysfunction and thrombosis. PURPOSE: To test the hypothesis: ""CaWs are associated with lower TAWSS and higher OSI than mild atherosclerosis or healthy carotid bifurcation."" STUDY TYPE: Prospective study. POPULATION: A total of 35 subjects (N = 14 bifurcations with CaW, 11F, age: 49 ± 10, 10 mild atherosclerosis 6F, age: 72 ± 9, 11 healthy 9F, age: 42 ± 13). FIELD STRENGTH/SEQUENCE: 4D flow/STAR-MATCH/3D TOF/3T MRI, CTA. ASSESSMENT: 4D Flow velocity data were analyzed in two ways: 1) 3D ROI in the ICA bulbar segment (complex flow patterns are expected) was used to quantify the regions with low TAWSS and high OSI. 2) 2D planes were placed perpendicular to the centerline of the carotid bifurcation for detailed analysis of TAWSS and OSI. STATISTICAL TESTS: Independent-samples Kruskal-Wallis-H test with 0.05 used for statistical significance. RESULTS: The percent surface area where low TAWSS was present in the ICA bulb was 12.3 ± 8.0% (95%"
2023,Frontiers in radiology,Front Radiol. 2023 Jun 2;3:1144004. doi: 10.3389/fradi.2023.1144004. eCollection ,"['Yang, Yitong', 'Shah, Zahraw', 'Jacob, Athira J', 'Hair, Jackson', 'Chitiboi, Teodora', 'Passerini, Tiziano', 'Yerly, Jerome', 'Di Sopra, Lorenzo', 'Piccini, Davide', 'Hosseini, Zahra', 'Sharma, Puneet', 'Sahu, Anurag', 'Stuber, Matthias', 'Oshinski, John N']","['lv volume', 'deep learning 3d segmentation', 'free-breathing', 'motion compensation', 'whole-heart cmr']",Deep learning-based left ventricular segmentation demonstrates improved performance on respiratory motion-resolved whole-heart reconstructions.,"INTRODUCTION: Deep learning (DL)-based segmentation has gained popularity for routine cardiac magnetic resonance (CMR) image analysis and in particular, delineation of left ventricular (LV) borders for LV volume determination. Free-breathing, self-navigated, whole-heart CMR exams provide high-resolution, isotropic coverage of the heart for assessment of cardiac anatomy including LV volume. The combination of whole-heart free-breathing CMR and DL-based LV segmentation has the potential to streamline the acquisition and analysis of clinical CMR exams. The purpose of this study was to compare the performance of a DL-based automatic LV segmentation network trained primarily on computed tomography (CT) images in two whole-heart CMR reconstruction methods: (1) an in-line respiratory motion-corrected (Mcorr) reconstruction and (2) an off-line, compressed sensing-based, multi-volume respiratory motion-resolved (Mres) reconstruction. Given that Mres images were shown to have greater image quality in previous studies than Mcorr images, we hypothesized that the LV volumes segmented from Mres images are closer to the manual expert-traced left ventricular endocardial border than the Mcorr images. METHOD: This retrospective study used 15 patients who underwent clinically indicated 1.5 T CMR exams with a prototype ECG-gated 3D radial phyllotaxis balanced steady state free precession (bSSFP) sequence. For each reconstruction method, the absolute volume difference (AVD) of the automatically and manually segmented LV volumes was used as the primary quantity to investigate whether 3D DL-based LV segmentation generalized better on Mcorr or Mres 3D whole-heart images. Additionally, we assessed the 3D Dice similarity coefficient between the manual and automatic LV masks of each reconstructed 3D whole-heart image and the sharpness of the LV myocardium-blood pool interface. A two-tail paired Student's t-test (alpha = 0.05) was used to test the significance in this study. RESULTS & DISCUSSION: The AVD in the respiratory Mres reconstruction was lower than the AVD in the respiratory Mcorr reconstruction: 7.73 ± 6.54 ml vs. 20.0 ± 22.4 ml, respectively (n = 15, p-value = 0.03). The 3D Dice coefficient between the DL-segmented masks and the manually segmented masks was higher for Mres images than for Mcorr images: 0.90 ± 0.02 vs. 0.87 ± 0.03 respectively, with a p-value = 0.02. Sharpness on Mres images was higher than on Mcorr images: 0.15 ± 0.05 vs. 0.12 ± 0.04, respectively, with a p-value of 0.014 (n = 15). CONCLUSION: We conclude that the DL-based 3D automatic LV segmentation network trained on CT images and fine-tuned on MR images generalized better on Mres images than on Mcorr images for quantifying LV volumes."
2024 Mar,Journal of magnetic resonance imaging : JMRI,J Magn Reson Imaging. 2024 Mar;59(3):1068-1069. doi: 10.1002/jmri.28879. Epub ,"['Cebull, Hannah L', 'Oshinski, John N']","['humans', ' aorta', ' magnetic resonance imaging', 'blood flow velocity', 'hemodynamics', 'imaging, three-dimensional', 'reproducibility of results']","Editorial for ""Evaluating a Phase-Specific Approach to Aortic Flow: A 4D Flow MRI Study"".",
2023 Jun,Cardiovascular engineering and technology,Cardiovasc Eng Technol. 2023 Jun;14(3):476-488. doi: 10.1007/s13239-023-00667-1. ,"['El Sayed, Retta', 'Sharifi, Alireza', 'Park, Charlie C', 'Haussen, Diogo C', 'Allen, Jason W', 'Oshinski, John N']","[' magnetic resonance imaging methods', ' hemodynamics', 'carotid arteries diagnostic imaging', 'pulsatile flow', 'stress, mechanical', 'blood flow velocity', '4d flow mri', 'carotid web', 'phantom model', 'spatial resolution', 'temporal resolution']",Optimization of 4D Flow MRI Spatial and Temporal Resolution for Examining Complex Hemodynamics in the Carotid Artery Bifurcation.,"BACKGROUND: Three-dimensional, ECG-gated, time-resolved, three-directional, velocity-encoded phase-contrast MRI (4D flow MRI) has been applied extensively to measure blood velocity in great vessels but has been much less used in diseased carotid arteries. Carotid artery webs (CaW) are non-inflammatory intraluminal shelf-like projections into the internal carotid artery (ICA) bulb that are associated with complex flow and cryptogenic stroke. PURPOSE: Optimize 4D flow MRI for measuring the velocity field of complex flow in the carotid artery bifurcation model that contains a CaW. METHODS: A 3D printed phantom model created from computed tomography angiography (CTA) of a subject with CaW was placed in a pulsatile flow loop within the MRI scanner. 4D Flow MRI images of the phantom were acquired with five different spatial resolutions (0.50-2.00 mm(3)) and four different temporal resolutions (23-96 ms) and compared to a computational fluid dynamics (CFD) solution of the flow field as a reference. We examined four planes perpendicular to the vessel centerline, one in the common carotid artery (CCA) and three in the internal carotid artery (ICA) where complex flow was expected. At these four planes pixel-by-pixel velocity values, flow, and time average wall shear stress (TAWSS) were compared between 4D flow MRI and CFD. HYPOTHESIS: An optimized 4D flow MRI protocol will provide a good correlation with CFD velocity and TAWSS values in areas of complex flow within a clinically feasible scan time (~ 10 min). RESULTS: Spatial resolution affected the velocity values, time average flow, and TAWSS measurements. Qualitatively, a spatial resolution of 0.50 mm(3) resulted in higher noise, while a lower spatial resolution of 1.50-2.00 mm(3) did not adequately resolve the velocity profile. Isotropic spatial resolutions of 0.50-1.00 mm(3) showed no significant difference in total flow compared to CFD. Pixel-by-pixel velocity correlation coefficients between 4D flow MRI and CFD were > 0.75 for 0.50-1.00 mm(3) but were < 0.5 for 1.50 and 2.00 mm(3). Regional TAWSS values determined from 4D flow MRI were generally lower than CFD and decreased at lower spatial resolutions (larger pixel sizes). TAWSS differences between 4D flow and CFD were not statistically significant at spatial resolutions of 0.50-1.00 mm(3) but were different at 1.50 and 2.00 mm(3). Differences in temporal resolution only affected the flow values when temporal resolution was > 48.4 ms; temporal resolution did not affect TAWSS values. CONCLUSION: A spatial resolution of 0.74-1.00 mm(3) and a temporal resolution of 23-48 ms (1-2 k-space segments) provides a 4D flow MRI protocol capable of imaging velocity and TAWSS in regions of complex flow within the carotid bifurcation at a clinically acceptable scan time."
2023 Aug,Journal of magnetic resonance imaging : JMRI,J Magn Reson Imaging. 2023 Aug;58(2):360-378. doi: 10.1002/jmri.28717. Epub 2023 ,"['Bhadelia, Rafeeque A', 'Chang, Yu-Ming', 'Oshinski, John N', 'Loth, Francis']","['humans', ' arnold-chiari malformation diagnostic imaging', 'brain diagnostic imaging', 'pressure', 'motion', ' syringomyelia complications surgery', 'magnetic resonance imaging methods', 'cerebrospinal fluid diagnostic imaging', 'csf flow', 'chiari i malformation', 'mri', 'brain motion']","Cerebrospinal Fluid Flow and Brain Motion in Chiari I Malformation: Past, Present, and Future.","Cranio-spinal volume and pressure changes associated with the cardiac-cycle and respiration are altered in Chiari I malformation (CMI) due to obstruction of cerebrospinal fluid (CSF) flow at the foramen magnum. With the introduction of motion-sensitive MRI sequences, it was envisioned that these could provide noninvasive information about volume-pressure dynamics at the cranio-cervical junction in CMI hitherto available only through invasive pressure measurements. Since the early 1990s, multiple studies have assessed CSF flow and brain motion in CMI. However, differences in design and varied approaches in the presentation of results and conclusions makes it difficult to fully comprehend the role of MR imaging of CSF flow and brain motion in CMI. In this review, a cohesive summary of the current status of MRI assessment of CSF flow and brain motion in CMI is presented. Simplified versions of the results and conclusions of previous studies are presented by dividing the studies in distinct topics: 1) comparing CSF flow and brain motion between healthy subjects (HS) and CMI patients (before and after surgery), 2) comparing CSF flow and brain motion to CMI severity and symptoms, and 3) comparing CSF flow and brain motion in CMI with and without syringomyelia. Finally, we will discuss our vision of the future directions of MR imaging in CMI patients. EVIDENCE LEVEL: 2. TECHNICAL EFFICACY: 5."
2023 Jan,Journal of biomechanics,J Biomech. 2023 Jan;146:111413. doi: 10.1016/j.jbiomech.2022.111413. Epub 2022 ,"['Hurd, Elliott R', 'Iffrig, Elizabeth', 'Jiang, David', 'Oshinski, John N', 'Timmins, Lucas H']","[' magnetic resonance imaging methods', ' hemodynamics', 'carotid arteries diagnostic imaging physiology', 'pulsatile flow', 'stress, mechanical', 'blood flow velocity physiology', 'models, cardiovascular', 'biomechanics', 'cardiac mri', 'fluid–structure interaction', 'hemodynamics', 'phase-contrast magnetic resonance imaging']",Flow-based method demonstrates improved accuracy for calculating wall shear stress in arterial flows from 4D flow MRI data.,"Four-dimensional flow magnetic resonance imaging (i.e., 4D flow MRI) has become a valuable tool for the in vivo assessment of blood flow within large vessels and cardiac chambers. As wall shear stress (WSS) has been correlated with the development and progression of cardiovascular disease, focus has been directed at developing techniques to quantify WSS directly from 4D flow MRI data. The goal of this study was to compare the accuracy of two such techniques - termed the velocity and flow-based methods - in the setting of simplified and complex flow scenarios. Synthetic MR data were created from exact solutions to the Navier-Stokes equations for the steady and pulsatile flow of an incompressible, Newtonian fluid through a rigid cylinder. In addition, synthetic MR data were created from the predicted velocity fields derived from a fluid-structure interaction (FSI) model of pulsatile flow through a thick-walled, multi-layered model of the carotid bifurcation. Compared to the analytical solutions for steady and pulsatile flow, the flow-based method demonstrated greater accuracy than the velocity-based method in calculating WSS across all changes in fluid velocity/flow rate, tube radius, and image signal-to-noise (p < 0.001). Furthermore, the velocity-based method was more sensitive to boundary segmentation than the flow-based method. When compared to results from the FSI model, the flow-based method demonstrated greater accuracy than the velocity-based method with average differences in time-averaged WSS of 0.31 ± 1.03 Pa and 0.45 ± 1.03 Pa, respectively (p <0.005). These results have implications on the utility, accuracy, and clinical translational of methods to determine WSS from 4D flow MRI."
