time,journal,doi_info,authors,key words,title,abstract
2024 Jun 12,Biomaterials,Biomaterials. 2024 Jun 12;311:122666. doi: 10.1016/j.biomaterials.2024.122666.,"['Li, Yirui', 'Rodriguez-Otero, Mariela R', 'Champion, Julie A']","['elastin-like polypeptide', 'nanoparticle', 'vaccine', 'vesicle']",Self-assembled protein vesicles as vaccine delivery platform to enhance antigen-specific immune responses.,"Self-assembling protein nanoparticles are beneficial platforms for enhancing the often weak and short-lived immune responses elicited by subunit vaccines. Their benefits include multivalency, similar sizes as pathogens and control of antigen orientation. Previously, the design, preparation, and characterization of self-assembling protein vesicles presenting fluorescent proteins and enzymes on the outer vesicle surface have been reported. Here, a full-size model antigen protein, ovalbumin (OVA), was genetically fused to the recombinant vesicle building blocks and incorporated into protein vesicles via self-assembly. Characterization of OVA protein vesicles showed room temperature stability and tunable size. Immunization of mice with OVA protein vesicles induced strong antigen-specific humoral and cellular immune responses. This work demonstrates the potential of protein vesicles as a modular platform for delivering full-size antigen proteins that can be extended to pathogen antigens to induce antigen specific immune responses."
2024 May 20,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2024 May 20:e2311546. doi: 10.1002/smll.202311546.,"['Tripathi, Anuja', 'Park, Jaeyoung', 'Pho, Thomas', 'Champion, Julie A']","['antibacterial', 'copper', 'electrochemical etching', 'nanostructure', 'steel']",Dual Antibacterial Properties of Copper-Coated Nanotextured Stainless Steel.,"Bacterial adhesion to stainless steel, an alloy commonly used in shared settings, numerous medical devices, and food and beverage sectors, can give rise to serious infections, ultimately leading to morbidity, mortality, and significant healthcare expenses. In this study, Cu-coated nanotextured stainless steel (nSS) fabrication have been demonstrated using electrochemical technique and its potential as an antibiotic-free biocidal surface against Gram-positive and negative bacteria. As nanotexture and Cu combine for dual methods of killing, this material should not contribute to drug-resistant bacteria as antibiotic use does. This approach involves applying a Cu coating on nanotextured stainless steel, resulting in an antibacterial activity within 30 min. Comprehensive characterization of the surface revealing that the Cu coating consists of metallic Cu and oxidized states (Cu(2+) and Cu(+)), has been performed by this study. Cu-coated nSS induces a remarkable reduction of 97% in Gram-negative Escherichia coli and 99% Gram-positive Staphylococcus epidermidis bacteria. This material has potential to be used to create effective, scalable, and sustainable solutions to prevent bacterial infections caused by surface contamination without contributing to antibiotic resistance."
2024 May 7,Accounts of chemical research,Acc Chem Res. 2024 May 7;57(9):1227-1237. doi: 10.1021/acs.accounts.3c00694. Epub ,"['Gray, Mikaela A', 'Rodriguez-Otero, Mariela R', 'Champion, Julie A']","[' elastin chemistry', 'humans', 'recombinant proteins chemistry', 'leucine zippers']",Self-Assembled Recombinant Elastin and Globular Protein Vesicles with Tunable Properties for Diverse Applications.,"Vesicles are self-assembled structures comprised of a membrane-like exterior surrounding a hollow lumen with applications in drug delivery, artificial cells, and micro-bioreactors. Lipid or polymer vesicles are the most common and are made of lipids or polymers, respectively. They are highly useful structures for many applications but it can be challenging to decorate them with proteins or encapsulate proteins in them, owing to the use of organic solvent in their formation and the large size of proteins relative to lipid or polymer molecules. By utilization of recombinant fusion proteins to make vesicles, specific protein domains can be directly incorporated while also imparting tunability and stability. Protein vesicle assembly relies on the design and use of self-assembling amphiphilic proteins. A specific protein vesicle platform made in purely aqueous conditions of a globular, functional protein fused to a glutamate-rich leucine zipper (Z(E)) and a thermoresponsive elastin-like polypeptide (ELP) fused to an arginine-rich leucine zipper (Z(R)) is discussed here. The hydrophobic conformational change of the ELP above its transition temperature drives assembly, and strong Z(E)/Z(R) binding enables incorporation of the desired functional protein. Mixing the soluble proteins on ice induces zipper binding, and then warming above the ELP transition temperature (T(t)) triggers the transition to and growth of protein-rich coacervates and, finally, reorganization of proteins into vesicles. Vesicle size is tunable based on salt concentration, rate of heating, protein concentration, size of the globular protein, molar ratio of the proteins, and the ELP sequence. Increasing the salt concentration decreases vesicle size by decreasing the T(t), resulting in a shorter coacervation transition stage. Likewise, directly changing the heating rate also changes this time and increasing protein concentration increases coalescence. Increasing globular protein size decreases the size of the vesicle due to steric hindrance. By changing the ELP sequence, which consists of (VPGXG)(n), through the guest residue (X) or number of repeats (n), T(t) is changed, affecting size. Additionally, the chemical nature of X variation has endowed vesicles with stimuli responsiveness and stability at physiological conditions.Protein vesicles have been used for biocatalysis, biomacromolecular drug delivery, and vaccine applications. Photo-cross-linkable vesicles were used to deliver small molecule cargo to cancer cells in vitro and antigen to immune cells in vivo. pH-responsive vesicles effectively delivered functional protein cargo, including cytochrome C, to the cytosol of cancer cells in vitro, using hydrophobic ion pairing to improve cargo distribution in the vesicles and release. The globular protein used to make the vesicles can be varied to achieve different functions. For example, enzyme vesicles exhibit biocatalysis, and antigen vesicles induce antibody and cellular immune responses after vaccination in mice. Collectively, the development and engineering of the protein vesicle platform has employed amphiphilic self-assembly strategies and rational protein engineering to control physical, chemical, and biological properties for biotechnology and nanomedicine applications."
2023 Nov 25,"Pathogens (Basel, Switzerland)",Pathogens. 2023 Nov 25;12(12):1390. doi: 10.3390/pathogens12121390.,"['Park, Jaeyoung', 'Zhang, Zhiwen', 'Belinskaya, Tatyana', 'Tsoras, Alexandra N', 'Chao, Chien-Chung', 'Jiang, Le', 'Champion, Julie A']","['orientia', 'immunity', 'nanoparticle', 'scrub typhus', 'vaccine']",Dual-Antigen Subunit Vaccine Nanoparticles for Scrub Typhus.,"Orientia tsutsugamushi is the causative pathogen of scrub typhus, an acute febrile disease prevalent in the Asia-Pacific region that is spread to people through chigger bites. Despite the emerging threat, there is no currently available vaccine against O. tsutsugamushi. Here, we developed dual-antigen subunit vaccine nanoparticles using recombinant 47 kD and 56 kD proteins, which are immunogenic outer membrane antigens of O. tsutsugamushi. The biocompatible protein vaccine nanoparticles were formed via desolvation of r56 or r47E antigens with acetone, coating with an additional layer of the 56 kD protein, and stabilization with reducible homobifunctional DTSSP and heterobifunctional SDAD crosslinkers. The dual-antigen subunit vaccine nanoparticles significantly improved antigen-specific antibody responses in vaccinated mice. Most importantly, the dual-antigen nanoparticles coated with an additional layer of the 56 kD protein were markedly more immunogenic than soluble antigens or single-antigen nanoparticles in the context of cellular immune responses. Given the significance of cellular immune responses for protection against O. tsutsugamushi, these results demonstrate the potent immunogenicity of dual-layered antigen nanoparticles and their potential as a promising strategy for developing vaccines against scrub typhus."
2023 Dec 26,ACS nano,ACS Nano. 2023 Dec 26;17(24):25045-25060. doi: 10.1021/acsnano.3c07669. Epub 2023 ,"['Park, Jaeyoung', 'Champion, Julie A']","['animals', 'mice', 'humans', ' influenza vaccines', ' orthomyxoviridae infections prevention & control', 'antibodies, viral', ' orthomyxoviridae', 'antibodies, neutralizing', 'hemagglutinin glycoproteins, influenza virus', ' influenza, human', 'cross-reactive influenza vaccine', 'nanoparticle', 'self-assembled protein nanocage', 'simulation', 'subunit vaccine']",Development of Self-Assembled Protein Nanocage Spatially Functionalized with HA Stalk as a Broadly Cross-Reactive Influenza Vaccine Platform.,"There remains a need for the development of a universal influenza vaccine, as current seasonal influenza vaccines exhibit limited protection against mismatched, mutated, or pandemic influenza viruses. A desirable approach to developing an effective universal influenza vaccine is the incorporation of highly conserved antigens in a multivalent scaffold that enhances their immunogenicity. Here, we develop a broadly cross-reactive influenza vaccine by functionalizing self-assembled protein nanocages (SAPNs) with multiple copies of the hemagglutinin stalk on the outer surface and matrix protein 2 ectodomain on the inner surface. SAPNs were generated by engineering short coiled coils, and the design was simulated by MD GROMACS. Due to the short sequences, off-target immune responses against empty SAPN scaffolds were not seen in immunized mice. Vaccination with the multivalent SAPNs induces high levels of broadly cross-reactive antibodies of only external antigens, demonstrating tight spatial control over the designed antigen placement. This work demonstrates the use of SAPNs as a potential influenza vaccine."
2023 Aug,Biopolymers,Biopolymers. 2023 Aug;114(8):e23563. doi: 10.1002/bip.23563. Epub 2023 Jul 25.,"['Park, Jaeyoung', 'Pho, Thomas', 'Champion, Julie A']","['vaccines, combined', ' antigens metabolism', 'vaccines, subunit', ' nanoparticles chemistry', 'antigen conjugation', 'immune response', 'multivalency', 'nanoparticle', 'subunit vaccine']",Chemical and biological conjugation strategies for the development of multivalent protein vaccine nanoparticles.,"The development of subunit vaccine platforms has been of considerable interest due to their good safety profile and ability to be adapted to new antigens, compared to other vaccine typess. Nevertheless, subunit vaccines often lack sufficient immunogenicity to fully protect against infectious diseases. A wide variety of subunit vaccines have been developed to enhance antigen immunogenicity by increasing antigen multivalency, as well as stability and delivery properties, via presentation of antigens on protein nanoparticles. Increasing multivalency can be an effective approach to provide a potent humoral immune response by more strongly engaging and clustering B cell receptors (BCRs) to induce activation, as well as increased uptake by antigen presenting cells and their subsequent T cell activation. Proper orientation of antigen on protein nanoparticles is also considered a crucial factor for enhanced BCR engagement and subsequent immune responses. Therefore, various strategies have been reported to decorate highly repetitive surfaces of protein nanoparticle scaffolds with multiple copies of antigens, arrange antigens in proper orientation, or combinations thereof. In this review, we describe different chemical bioconjugation methods, approaches for genetic fusion of recombinant antigens, biological affinity tags, and enzymatic conjugation methods to effectively present antigens on the surface of protein nanoparticle vaccine scaffolds."
2023 Jul 12,Journal of materials chemistry. B,J Mater Chem B. 2023 Jul 12;11(27):6443-6452. doi: 10.1039/d3tb00200d.,"['Li, Yirui', 'Dautel, Dylan R', 'Gray, Mikaela A', 'McKenna, Michael E', 'Champion, Julie A']","[' elastin chemistry', ' peptides chemistry', 'transition temperature', 'amino acid sequence', 'drug delivery systems']",Rational design of elastin-like polypeptide fusion proteins to tune self-assembly and properties of protein vesicles.,"Protein vesicles made from bioactive proteins have potential value in drug delivery, biocatalysis, and as artificial cells. As the proteins are produced recombinantly, the ability to precisely tune the protein sequence provides control not possible with polymeric vesicles. The tunability and biocompatibility motivated this work to develop protein vesicles using rationally designed protein building blocks to investigate how protein sequence influences vesicle self-assembly and properties. We have reported an elastin-like polypeptide (ELP) fused to an arginine-rich leucine zipper (Z(R)) and functional, globular proteins fused to a glutamate-rich leucine zipper (Z(E)) that self-assemble into protein vesicles when warmed from 4 to 25 °C due to the hydrophobic transition of ELP. Previously, we demonstrated the ability to tune vesicle properties by changing protein and salt concentration, Z(E) : Z(R) ratio, and warming rate. However, there is a limit to the properties that can be achieved via assembly conditions. In order to access a wider range of vesicle diameter and stability profiles, this work investigated how modifiying the hydrophobicity and length of the ELP sequence influenced self-assembly and the final properties of protein vesicles using mCherry as a model globular protein. The results showed that both transition temperature and diameter of protein vesicles were inversely correlated to the ELP guest residue hydrophobicity and the number of ELP pentapeptide repeats. Additionally, sequence manipulation enabled assembly of vesicles with properties not accessible by changes to assembly conditions. For example, introduction of tyrosine at 5 guest residue positions in ELP enabled formation of nanoscale vesicles stable at physiological salt concentration. This work yields design guidelines for modifying the ELP sequence to manipulate protein vesicle transition temperature, size and stability to achieve desired properties for particular biofunctional applications."
2023 Aug,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2023 Aug;19(34):e2301801. doi: 10.1002/smll.202301801. Epub 2023 May 10.,"['Zhu, Wandi', 'Park, Jaeyoung', 'Pho, Thomas', 'Wei, Lai', 'Dong, Chunhong', 'Kim, Joo', 'Ma, Yao', 'Champion, Julie A', 'Wang, Bao-Zhong']","['animals', 'mice', ' iscoms', 'immunity, mucosal', 'antigen-antibody complex', 'influenza a virus, h3n2 subtype', 'adjuvants, immunologic', ' influenza vaccines', ' nanoparticles', 'mice, inbred balb c', 'adjuvant', 'influenza virus', 'intranasal delivery', 'mucosal vaccines', 'protein nanoparticles']",ISCOMs/MPLA-Adjuvanted SDAD Protein Nanoparticles Induce Improved Mucosal Immune Responses and Cross-Protection in Mice.,"The epidemics caused by the influenza virus are a serious threat to public health and the economy. Adding appropriate adjuvants to improve immunogenicity and finding effective mucosal vaccines to combat respiratory infection at the portal of virus entry are important strategies to boost protection. In this study, a novel type of core/shell protein nanoparticle consisting of influenza nucleoprotein (NP) as the core and NA1-M2e or NA2-M2e fusion proteins as the coating antigens by SDAD hetero-bifunctional crosslinking is exploited. Immune-stimulating complexes (ISCOMs)/monophosphoryl lipid A (MPLA) adjuvants further boost the NP/NA-M2e SDAD protein nanoparticle-induced immune responses when administered intramuscularly. The ISCOMs/MPLA-adjuvanted protein nanoparticles are delivered through the intranasal route to validate the application as mucosal vaccines. ISCOMs/MPLA-adjuvanted nanoparticles induce significantly strengthened antigen-specific antibody responses, cytokine-secreting splenocytes in the systemic compartment, and higher levels of antigen-specific IgA and IgG in the local mucosa. Meanwhile, significantly expanded lung resident memory (RM) T and B cells (T(RM) /B(RM) ) and alveolar macrophages population are observed in ISCOMs/MPLA-adjuvanted nanoparticle-immunized mice with a 100% survival rate after homogeneous and heterogeneous H3N2 viral challenges. Taken together, ISCOMs/MPLA-adjuvanted protein nanoparticles could improve strong systemic and mucosal immune responses conferring protection in different immunization routes."
2023 Mar 13,ACS biomaterials science & engineering,ACS Biomater Sci Eng. 2023 Mar 13;9(3):1296-1306. doi: ,"['Park, Jaeyoung', 'Champion, Julie A']","[' immunity, humoral', 'ovalbumin pharmacology', 'antigens pharmacology', 'vaccines, subunit pharmacology', ' nanoparticles chemistry', 'antigen structure', 'humoral immune response', 'nanoparticles', 'salt precipitation', 'subunit vaccine']",Effect of Antigen Structure in Subunit Vaccine Nanoparticles on Humoral Immune Responses.,"Subunit vaccines offer numerous attractive features, including good safety profiles and well-defined components with highly characterized properties because they do not contain whole pathogens. However, vaccine platforms based on one or few selected antigens are often poorly immunogenic. Several advances have been made in improving the effectiveness of subunit vaccines, including nanoparticle formulation and/or co-administration with adjuvants. Desolvation of antigens into nanoparticles is one approach that has been successful in eliciting protective immune responses. Despite this advance, damage to the antigen structure by desolvation can compromise the recognition of conformational antigens by B cells and the subsequent humoral response. Here, we used ovalbumin as a model antigen to demonstrate enhanced efficacy of subunit vaccines by preserving antigen structures in nanoparticles. An altered antigen structure due to desolvation was first validated by GROMACS and circular dichroism. Desolvant-free nanoparticles with a stable ovalbumin structure were successfully synthesized by directly cross-linking ovalbumin or using ammonium sulfate to form nanoclusters. Alternatively, desolvated OVA nanoparticles were coated with a layer of OVA after desolvation. Vaccination with salt-precipitated nanoparticles increased OVA-specific IgG titers 4.2- and 22-fold compared to the desolvated and coated nanoparticles, respectively. In addition, enhanced affinity maturation by both salt precipitated and coated nanoparticles was displayed in contrast to desolvated nanoparticles. These results demonstrate both that salt-precipitated antigen nanoparticles are a potential new vaccine platform with significantly improved humoral immunity and a functional value of preserving antigen structures in vaccine nanoparticle design."
2022 Nov 23,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2022 Nov 23;14(46):51697-51710. doi: ,"['Pho, Thomas', 'Champion, Julie A']","['swine', 'animals', 'adsorption', 'ovalbumin metabolism', ' nanoparticles metabolism', 'mucus metabolism', 'polyethylene glycols metabolism', 'cations', 'amines', 'cell uptake', 'diffusion', 'mucus', 'nanoparticles', 'protein corona']","Surface Engineering of Protein Nanoparticles Modulates Transport, Adsorption, and Uptake in Mucus.","Protein nanoparticles have been demonstrated as effective carriers for protein antigens and therapeutics due to properties endowed by their protein composition. They exhibit high protein to carrier yields, biocompatibility, and heterogeneous surface properties. While protein nanoparticles have been delivered via multiple routes, including intranasal, their interactions with mucosal barriers have not been well studied or modified. Biological barriers associated with intranasal delivery consist of viscoelastic mucus that hinders material transport through surface interactions and the underlying epithelium. Herein, we altered protein nanoparticle surface properties and characterized interactions with nasal mucus and the subsequent effects on diffusion, cellular uptake, and immune cell maturation. Ovalbumin protein nanoparticles were used, serving as a model vaccine nanoparticle. Unmodified ovalbumin protein nanoparticles were compared to cationic ovalbumin particles functionalized with amine groups, neutral particles functionalized with polyethylene glycol, and zwitterionic particles coated layer-by-layer (LBL) with chitosan and oligonucleotides. Transport analysis indicated rapid diffusion of polyethylene glycol and LBL-modified ovalbumin nanoparticles in porcine nasal mucus, while cationic particles were mucoadhesive. Cellular uptake in the presence of mucus by epithelial and dendritic cells was highest for particles containing positive charges, both LBL and amine-functionalized. These particles also exhibited the most diverse adsorbed protein corona from nasal fluids. The corona impacted both dendritic cell uptake and maturation, with polyethylene glycol and LBL modifications improving CD86 expression. Altogether, surface modifications on protein-based nanocarriers are shown to facilitate distinctive physical and cellular behavior associated with mucosal delivery."
