time,journal,doi_info,authors,key words,title,abstract
2024 Mar 9,Scientific reports,Sci Rep. 2024 Mar 9;14(1):5812. doi: 10.1038/s41598-024-56443-1.,"['Filan, Caroline', 'Green, Madison', 'Diering, Abigail', 'Cicerone, Marcus T', 'Cheung, Lily S', 'Kostka, Joel E', 'Robles, Francisco E']","[' fertilizers microbiology', 'lighting', 'microscopy', 'plants metabolism', ' arabidopsis metabolism', 'nitrogen metabolism', 'nitrogen fixation', 'label-free imaging', 'nitrogen fixation', 'quantitative phase imaging']",Label-free functional analysis of root-associated microbes with dynamic quantitative oblique back-illumination microscopy.,"The increasing global demand for food, coupled with concerns about the environmental impact of synthetic fertilizers, underscores the urgency of developing sustainable agricultural practices. Nitrogen-fixing bacteria, known as diazotrophs, offer a potential solution by converting atmospheric nitrogen into bioavailable forms, reducing the reliance on synthetic fertilizers. However, a deeper understanding of their interactions with plants and other microbes is needed. In this study, we introduce a recently developed label-free 3D quantitative phase imaging technology called dynamic quantitative oblique back-illumination microscopy (DqOBM) to assess the functional dynamic activity of diazotrophs in vitro and in situ. Our experiments involved three different diazotrophs (Sinorhizobium meliloti, Azotobacter vinelandii, and Rahnella aquatilis) cultured on media with amendments of carbon and nitrogen sources. Over 5 days, we observed increased dynamics in nutrient-amended media. These results suggest that the observed bacterial dynamics correlate with their metabolic activity. Furthermore, we applied qOBM to visualize microbial dynamics within the root cap and elongation zone of Arabidopsis thaliana primary roots. This allowed us to identify distinct areas of microbial infiltration in plant roots without the need for fluorescent markers. Our findings demonstrate that DqOBM can effectively characterize microbial dynamics and provide insights into plant-microbe interactions in situ, offering a valuable tool for advancing our understanding of sustainable agriculture."
2023 Nov 2,Research square,Res Sq [Preprint]. 2023 Nov 2:rs.3.rs-3517586. doi: 10.21203/rs.3.rs-3517586/v1.,"['Filan, Caroline', 'Green, Madison', 'Diering, Abigail', 'Cicerone, Marcus T', 'Cheung, Lily S', 'Kostka, Joel E', 'Robles, Francisco E']",[],Label-Free Functional Analysis of Root-Associated Microbes with Dynamic Quantitative Oblique Back-illumination Microscopy.,"The increasing global demand for food, coupled with concerns about the environmental impact of synthetic fertilizers, underscores the urgency of developing sustainable agricultural practices. Nitrogen-fixing bacteria, known as diazotrophs, offer a potential solution by converting atmospheric nitrogen into bioavailable forms, reducing the reliance on synthetic fertilizers. However, a deeper understanding of their interactions with plants and other microbes is needed. In this study, we introduce a recently developed label-free 3D quantitative phase imaging technology called dynamic quantitative oblique back-illumination microscopy (DqOBM) to assess the dynamic activity of diazotrophs in vitro and in situ. Our experiments involved three different diazotrophs (Sinorhizobium meliloti, Azotobacter vinelandii, and Rahnella aquatilis) cultured on media with amendments of carbon and nitrogen sources. Over five days, we observed increased dynamic activity in nutrient-amended media. These results suggest that the observed bacterial dynamics correlate with their metabolic activity. Furthermore, we applied qOBM to visualize bacterial activity within the root cap and elongation zone of Arabidopsis thaliana primary roots. This allowed us to identify distinct areas of microbial infiltration in plant roots without the need for fluorescent markers. Our findings demonstrate that DqOBM can effectively characterize microbial activity and provide insights into plant-microbe interactions in situ, offering a valuable tool for advancing our understanding of sustainable agriculture."
2023 Dec,The Journal of biological chemistry,J Biol Chem. 2023 Dec;299(12):105389. doi: 10.1016/j.jbc.2023.105389. Epub 2023 ,"['Gwon, Sojeong', 'Park, Jihyun', 'Huque, Akm Mahmudul', 'Cheung, Lily S']","[' arabidopsis metabolism', ' arabidopsis proteins metabolism', 'biological transport', 'gene expression regulation, plant', 'membrane transport proteins metabolism', ' monosaccharide transport proteins metabolism', 'plant proteins metabolism', 'sugars metabolism', 'sweet', 'biosensors', 'substrate specificity', 'sugars', 'vacuolar transporter']",The Arabidopsis SWEET1 and SWEET2 uniporters recognize similar substrates while differing in subcellular localization.,"Sugars Will Eventually be Exported Transporters (SWEETs) are central for sugar allocation in plants. The SWEET family has approximately 20 homologs in most plant genomes, and despite extensive research on their structures and molecular functions, it is still unclear how diverse SWEETs recognize different substrates. Previous work using SweetTrac1, a biosensor constructed by the intramolecular fusion of a conformation-sensitive fluorescent protein in the plasma membrane transporter SWEET1 from Arabidopsis thaliana, identified common features in the transporter's substrates. Here, we report SweetTrac2, a new biosensor based on the Arabidopsis vacuole membrane transporter SWEET2, and use it to explore the substrate specificity of this second protein. Our results show that SWEET1 and SWEET2 recognize similar substrates but some with different affinities. Sequence comparison and mutagenesis analysis support the conclusion that the differences in affinity depend on nonspecific interactions involving previously uncharacterized residues in the substrate-binding pocket. Furthermore, SweetTrac2 can be an effective tool for monitoring sugar transport at vacuolar membranes that would be otherwise challenging to study."
2023 Sep,The New phytologist,New Phytol. 2023 Sep;239(5):1542-1544. doi: 10.1111/nph.19053. Epub 2023 Jun 10.,"['Gong, Yan', 'Cheung, Lily', 'Kramer, Elena M']","[' plant nectar', ' flowers', 'pollination', 'melianthus', 'colored nectar', 'ellagic acid', 'nectary development', 'pollination']",Decoding the black essence of Melianthus nectar.,
2023 Feb 17,ACS synthetic biology,ACS Synth Biol. 2023 Feb 17;12(2):565-571. doi: 10.1021/acssynbio.2c00571. Epub ,"['Park, Jihyun', 'Abramowitz, Ryan G', 'Gwon, Sojeong', 'Cheung, Lily S']","[' arabidopsis genetics metabolism', ' arabidopsis proteins metabolism', 'biological transport', 'cheminformatics', 'membrane transport proteins metabolism', 'monosaccharide transport proteins genetics', 'plant proteins metabolism', 'substrate specificity', 'sucrose metabolism', 'biosensing techniques']",Exploring the Substrate Specificity of a Sugar Transporter with Biosensors and Cheminformatics.,"Sugars will eventually be exported transporters (SWEETs) are conserved sugar transporters that play crucial roles in plant physiology and biotechnology. The genomes of flowering plants typically encode about 20 SWEET paralogs that can be classified into four clades. Clades I, II, and IV have been reported to favor hexoses, while clade III SWEETs prefer sucrose. However, the molecular features of substrates required for recognition by members of this family have not been investigated in detail. Here, we show that SweetTrac1, a previously reported biosensor constructed from the Clade I Arabidopsis thaliana SWEET1, can provide insight into the structural requirements for substrate recognition. The biosensor translates substrate binding to the transporter into a change in fluorescence, and its application in a small-molecule screen combined with cheminformatics uncovered 12 new sugars and their derivatives capable of eliciting a response. Furthermore, we confirmed that the wild-type transporter mediates cellular uptake of three of these species, including the diabetes drugs 1-deoxynojirimycin and voglibose. Our results show that SWEETs can recognize different furanoses, pyranoses, and acyclic sugars, illustrating the potential of combining biosensors and computational techniques to uncover the basis of substrate specificity."
2022 Jun,Current opinion in biotechnology,Curr Opin Biotechnol. 2022 Jun;75:102692. doi: 10.1016/j.copbio.2022.102692. Epub ,"['Park, Jihyun', 'Demirer, Gozde S', 'Cheung, Lily S']","['gene regulatory networks', 'plant development', ' plants genetics', 'synthetic biology methods', ' systems biology methods']",Toolboxes for plant systems biology research.,"The terms 'systems' and 'synthetic biology' are often used together, with most scientists striding between the two fields rather than adhering to a single side. Often too, scientists want to understand a system to inform the design of gene circuits that could endow it with new functions. However, this does not need to be the progression of research, as synthetic constructs can help improve our understanding of a system. Here, we review synthetic biology tool kits with the potential to overcome pleiotropic effects, compensatory mechanisms, and redundancy in plants. Combined with -omics techniques, these tools could reveal novel insights on plant growth and development, an aim that has gained renewed urgency given the impact of climate change on crop productivity."
2022 Jan 25,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2022 Jan 25;119(4):e2119183119. doi: ,"['Park, Jihyun', 'Chavez, Taylor M', 'Guistwhite, Jordan A', 'Gwon, Sojeong', 'Frommer, Wolf B', 'Cheung, Lily S']","['arabidopsis  physiology', 'arabidopsis proteins genetics  metabolism', 'biological transport', ' biosensing techniques methods', 'monosaccharide transport proteins genetics  metabolism', 'sugars  metabolism', 'sweet sugar transporters', 'biomolecular sensors', 'fluorescence microscopy']",Development and quantitative analysis of a biosensor based on the Arabidopsis SWEET1 sugar transporter.,"SWEETs are transporters with homologs in Archeae, plants, some fungi, and animals. As the only transporters known to facilitate the cellular release of sugars in plants, SWEETs play critical roles in the allocation of sugars from photosynthetic leaves to storage tissues in seeds, fruits, and tubers. Here, we report the design and use of genetically encoded biosensors to measure the activity of SWEETs. We created a SweetTrac1 sensor by inserting a circularly permutated green fluorescent protein into the Arabidopsis SWEET1, resulting in a chimera that translates substrate binding during the transport cycle into detectable changes in fluorescence intensity. We demonstrate that a combination of cell sorting and bioinformatics can accelerate the design of biosensors and formulate a mass action kinetics model to correlate the fluorescence response of SweetTrac1 with the transport of glucose. Our analysis suggests that SWEETs are low-affinity, symmetric transporters that can rapidly equilibrate intra- and extracellular concentrations of sugars. This approach can be extended to SWEET homologs and other transporters."
2022 May 20,Annual review of plant biology,Annu Rev Plant Biol. 2022 May 20;73:379-403. doi: ,"['Xue, Xueyi', 'Wang, Jiang', 'Shukla, Diwakar', 'Cheung, Lily S', 'Chen, Li-Qing']","['adolescent', 'biological transport', 'child', ' gene expression regulation, plant', 'humans', ' plant proteins metabolism', 'plants metabolism', 'polysorbates metabolism', 'sugars metabolism', 'sweet', 'crystal structure', 'efflux', 'molecular dynamics simulations', 'pathogen nutrition', 'sugar transport']",When SWEETs Turn Tweens: Updates and Perspectives.,"Sugar translocation between cells and between subcellular compartments in plants requires either plasmodesmata or a diverse array of sugar transporters. Interactions between plants and associated microorganisms also depend on sugar transporters. The sugars will eventually be exported transporter (SWEET) family is made up of conserved and essential transporters involved in many critical biological processes. The functional significance and small size of these proteins have motivated crystallographers to successfully capture several structures of SWEETs and their bacterial homologs in different conformations. These studies together with molecular dynamics simulations have provided unprecedented insights into sugar transport mechanisms in general and into substrate recognition of glucose and sucrose in particular. This review summarizes our current understanding of the SWEET family, from the atomic to the whole-plant level. We cover methods used for their characterization, theories about their evolutionary origins, biochemical properties, physiological functions, and regulation. We also include perspectives on the future work needed to translate basic research into higher crop yields."
2021 Mar 19,eLife,Elife. 2021 Mar 19;10:e63335. doi: 10.7554/eLife.63335.,"['Gong, Yan', 'Alassimone, Julien', 'Varnau, Rachel', 'Sharma, Nidhi', 'Cheung, Lily S', 'Bergmann, Dominique C']","['arabidopsis  physiology', ' asymmetric cell division', 'cell lineage  physiology', 'nutrients  metabolism', 'plant growth regulators  metabolism', 'plant stomata  physiology', 'a. thaliana', 'ctr1', 'asymmetric cell division', 'cell polarity', 'ethylene', 'plant biology', 'self-renewal', 'stomata']",Tuning self-renewal in the Arabidopsis stomatal lineage by hormone and nutrient regulation of asymmetric cell division.,"Asymmetric and self-renewing divisions build and pattern tissues. In the Arabidopsis stomatal lineage, asymmetric cell divisions, guided by polarly localized cortical proteins, generate most cells on the leaf surface. Systemic and environmental signals modify tissue development, but the mechanisms by which plants incorporate such cues to regulate asymmetric divisions are elusive. In a screen for modulators of cell polarity, we identified CONSTITUTIVE TRIPLE RESPONSE1, a negative regulator of ethylene signaling. We subsequently revealed antagonistic impacts of ethylene and glucose signaling on the self-renewing capacity of stomatal lineage stem cells. Quantitative analysis of cell polarity and fate dynamics showed that developmental information may be encoded in both the spatial and temporal asymmetries of polarity proteins. These results provide a framework for a mechanistic understanding of how nutritional status and environmental factors tune stem-cell behavior in the stomatal lineage, ultimately enabling flexibility in leaf size and cell-type composition."
2021 Apr,The New phytologist,New Phytol. 2021 Apr;230(2):867-877. doi: 10.1111/nph.17165. Epub 2021 Feb 14.,"['Gong, Yan', 'Varnau, Rachel', 'Wallner, Eva-Sophie', 'Acharya, Raghav', 'Bergmann, Dominique C', 'Cheung, Lily S']","[' arabidopsis', ' arabidopsis proteins', 'cell cycle proteins', 'cell lineage', 'cell polarity', 'plant cells', 'plant stomata', 'basl', 'brxf', 'cell polarity', 'image quantification', 'stomatal lineage']",Quantitative and dynamic cell polarity tracking in plant cells.,"Quantitative information on the spatiotemporal distribution of polarised proteins is central for understanding cell-fate determination, yet collecting sufficient data for statistical analysis is difficult to accomplish with manual measurements. Here we present Polarity Measurement (Pome), a semi-automated pipeline for the quantification of cell polarity and demonstrate its application to a variety of developmental contexts. Pome analysis reveals that, during asymmetric cell divisions in the Arabidopsis thaliana stomatal lineage, polarity proteins BASL and BRXL2 are more asynchronous and less mutually dependent than previously thought. A similar analysis of the linearly arrayed stomatal lineage of Brachypodium distachyon revealed that the MAPKKK BdYDA1 is segregated and polarised following asymmetrical divisions. Our results demonstrate that Pome is a versatile tool, which by itself or combined with tissue-level studies and advanced microscopy techniques can help to uncover new mechanisms of cell polarity."
