time,journal,doi_info,authors,key words,title,abstract
2024 May,Nature,Nature. 2024 May;629(8013):843-850. doi: 10.1038/s41586-024-07324-0. Epub 2024 ,"['Zuntini, Alexandre R', 'Carruthers, Tom', 'Maurin, Olivier', 'Bailey, Paul C', 'Leempoel, Kevin', 'Brewer, Grace E', 'Epitawalage, Niroshini', 'Françoso, Elaine', 'Gallego-Paramo, Berta', 'McGinnie, Catherine', 'Negrão, Raquel', 'Roy, Shyamali R', 'Simpson, Lalita', 'Toledo Romero, Eduardo', 'Barber, Vanessa M A', 'Botigué, Laura', 'Clarkson, James J', 'Cowan, Robyn S', 'Dodsworth, Steven', 'Johnson, Matthew G', 'Kim, Jan T', 'Pokorny, Lisa', 'Wickett, Norman J', 'Antar, Guilherme M', 'DeBolt, Lucinda', 'Gutierrez, Karime', 'Hendriks, Kasper P', 'Hoewener, Alina', 'Hu, Ai-Qun', 'Joyce, Elizabeth M', 'Kikuchi, Izai A B S', 'Larridon, Isabel', 'Larson, Drew A', 'de Lírio, Elton John', 'Liu, Jing-Xia', 'Malakasi, Panagiota', 'Przelomska, Natalia A S', 'Shah, Toral', 'Viruel, Juan', 'Allnutt, Theodore R', 'Ameka, Gabriel K', 'Andrew, Rose L', 'Appelhans, Marc S', 'Arista, Montserrat', 'Ariza, María Jesús', 'Arroyo, Juan', 'Arthan, Watchara', 'Bachelier, Julien B', 'Bailey, C Donovan', 'Barnes, Helen F', 'Barrett, Matthew D', 'Barrett, Russell L', 'Bayer, Randall J', 'Bayly, Michael J', 'Biffin, Ed', 'Biggs, Nicky', 'Birch, Joanne L', 'Bogarín, Diego', 'Borosova, Renata', 'Bowles, Alexander M C', 'Boyce, Peter C', 'Bramley, Gemma L C', 'Briggs, Marie', 'Broadhurst, Linda', 'Brown, Gillian K', 'Bruhl, Jeremy J', 'Bruneau, Anne', 'Buerki, Sven', 'Burns, Edie', 'Byrne, Margaret', 'Cable, Stuart', 'Calladine, Ainsley', 'Callmander, Martin W', 'Cano, Ángela', 'Cantrill, David J', 'Cardinal-McTeague, Warren M', 'Carlsen, Mónica M', 'Carruthers, Abigail J A', 'de Castro Mateo, Alejandra', 'Chase, Mark W', 'Chatrou, Lars W', 'Cheek, Martin', 'Chen, Shilin', 'Christenhusz, Maarten J M', 'Christin, Pascal-Antoine', 'Clements, Mark A', 'Coffey, Skye C', 'Conran, John G', 'Cornejo, Xavier', 'Couvreur, Thomas L P', 'Cowie, Ian D', 'Csiba, Laszlo', 'Darbyshire, Iain', 'Davidse, Gerrit', 'Davies, Nina M J', 'Davis, Aaron P', 'van Dijk, Kor-Jent', 'Downie, Stephen R', 'Duretto, Marco F', 'Duvall, Melvin R', 'Edwards, Sara L', 'Eggli, Urs', 'Erkens, Roy H J', 'Escudero, Marcial', 'de la Estrella, Manuel', 'Fabriani, Federico', 'Fay, Michael F', 'Ferreira, Paola de L', 'Ficinski, Sarah Z', 'Fowler, Rachael M', 'Frisby, Sue', 'Fu, Lin', 'Fulcher, Tim', 'Galbany-Casals, Mercè', 'Gardner, Elliot M', 'German, Dmitry A', 'Giaretta, Augusto', 'Gibernau, Marc', 'Gillespie, Lynn J', 'González, Cynthia C', 'Goyder, David J', 'Graham, Sean W', 'Grall, Aurélie', 'Green, Laura', 'Gunn, Bee F', 'Gutiérrez, Diego G', 'Hackel, Jan', 'Haevermans, Thomas', 'Haigh, Anna', 'Hall, Jocelyn C', 'Hall, Tony', 'Harrison, Melissa J', 'Hatt, Sebastian A', 'Hidalgo, Oriane', 'Hodkinson, Trevor R', 'Holmes, Gareth D', 'Hopkins, Helen C F', 'Jackson, Christopher J', 'James, Shelley A', 'Jobson, Richard W', 'Kadereit, Gudrun', 'Kahandawala, Imalka M', 'Kainulainen, Kent', 'Kato, Masahiro', 'Kellogg, Elizabeth A', 'King, Graham J', 'Klejevskaja, Beata', 'Klitgaard, Bente B', 'Klopper, Ronell R', 'Knapp, Sandra', 'Koch, Marcus A', 'Leebens-Mack, James H', 'Lens, Frederic', 'Leon, Christine J', 'Léveillé-Bourret, Étienne', 'Lewis, Gwilym P', 'Li, De-Zhu', 'Li, Lan', 'Liede-Schumann, Sigrid', 'Livshultz, Tatyana', 'Lorence, David', 'Lu, Meng', 'Lu-Irving, Patricia', 'Luber, Jaquelini', 'Lucas, Eve J', 'Luján, Manuel', 'Lum, Mabel', 'Macfarlane, Terry D', 'Magdalena, Carlos', 'Mansano, Vidal F', 'Masters, Lizo E', 'Mayo, Simon J', 'McColl, Kristina', 'McDonnell, Angela J', 'McDougall, Andrew E', 'McLay, Todd G B', 'McPherson, Hannah', 'Meneses, Rosa I', 'Merckx, Vincent S F T', 'Michelangeli, Fabián A', 'Mitchell, John D', 'Monro, Alexandre K', 'Moore, Michael J', 'Mueller, Taryn L', 'Mummenhoff, Klaus', 'Munzinger, Jérôme', 'Muriel, Priscilla', 'Murphy, Daniel J', 'Nargar, Katharina', 'Nauheimer, Lars', 'Nge, Francis J', 'Nyffeler, Reto', 'Orejuela, Andrés', 'Ortiz, Edgardo M', 'Palazzesi, Luis', 'Peixoto, Ariane Luna', 'Pell, Susan K', 'Pellicer, Jaume', 'Penneys, Darin S', 'Perez-Escobar, Oscar A', 'Persson, Claes', 'Pignal, Marc', 'Pillon, Yohan', 'Pirani, José R', 'Plunkett, Gregory M', 'Powell, Robyn F', 'Prance, Ghillean T', 'Puglisi, Carmen', 'Qin, Ming', 'Rabeler, Richard K', 'Rees, Paul E J', 'Renner, Matthew', 'Roalson, Eric H', 'Rodda, Michele', 'Rogers, Zachary S', 'Rokni, Saba', 'Rutishauser, Rolf', 'de Salas, Miguel F', 'Schaefer, Hanno', 'Schley, Rowan J', 'Schmidt-Lebuhn, Alexander', 'Shapcott, Alison', 'Al-Shehbaz, Ihsan', 'Shepherd, Kelly A', 'Simmons, Mark P', 'Simões, André O', 'Simões, Ana Rita G', 'Siros, Michelle', 'Smidt, Eric C', 'Smith, James F', 'Snow, Neil', 'Soltis, Douglas E', 'Soltis, Pamela S', 'Soreng, Robert J', 'Sothers, Cynthia A', 'Starr, Julian R', 'Stevens, Peter F', 'Straub, Shannon C K', 'Struwe, Lena', 'Taylor, Jennifer M', 'Telford, Ian R H', 'Thornhill, Andrew H', 'Tooth, Ifeanna', 'Trias-Blasi, Anna', 'Udovicic, Frank', 'Utteridge, Timothy M A', 'Del Valle, Jose C', 'Verboom, G Anthony', 'Vonow, Helen P', 'Vorontsova, Maria S', 'de Vos, Jurriaan M', 'Al-Wattar, Noor', 'Waycott, Michelle', 'Welker, Cassiano A D', 'White, Adam J', 'Wieringa, Jan J', 'Williamson, Luis T', 'Wilson, Trevor C', 'Wong, Sin Yeng', 'Woods, Lisa A', 'Woods, Roseina', 'Worboys, Stuart', 'Xanthos, Martin', 'Yang, Ya', 'Zhang, Yu-Xiao', 'Zhou, Meng-Yuan', 'Zmarzty, Sue', 'Zuloaga, Fernando O', 'Antonelli, Alexandre', 'Bellot, Sidonie', 'Crayn, Darren M', 'Grace, Olwen M', 'Kersey, Paul J', 'Leitch, Ilia J', 'Sauquet, Hervé', 'Smith, Stephen A', 'Eiserhardt, Wolf L', 'Forest, Félix', 'Baker, William J']","['fossils', ' genes, plant genetics', ' genomics', ' magnoliopsida genetics classification', ' phylogeny', 'nuclear proteins genetics', ' evolution, molecular']",Phylogenomics and the rise of the angiosperms.,"Angiosperms are the cornerstone of most terrestrial ecosystems and human livelihoods(1,2). A robust understanding of angiosperm evolution is required to explain their rise to ecological dominance. So far, the angiosperm tree of life has been determined primarily by means of analyses of the plastid genome(3,4). Many studies have drawn on this foundational work, such as classification and first insights into angiosperm diversification since their Mesozoic origins(5-7). However, the limited and biased sampling of both taxa and genomes undermines confidence in the tree and its implications. Here, we build the tree of life for almost 8,000 (about 60%) angiosperm genera using a standardized set of 353 nuclear genes(8). This 15-fold increase in genus-level sampling relative to comparable nuclear studies(9) provides a critical test of earlier results and brings notable change to key groups, especially in rosids, while substantiating many previously predicted relationships. Scaling this tree to time using 200 fossils, we discovered that early angiosperm evolution was characterized by high gene tree conflict and explosive diversification, giving rise to more than 80% of extant angiosperm orders. Steady diversification ensued through the remaining Mesozoic Era until rates resurged in the Cenozoic Era, concurrent with decreasing global temperatures and tightly linked with gene tree conflict. Taken together, our extensive sampling combined with advanced phylogenomic methods shows the deep history and full complexity in the evolution of a megadiverse clade."
2023 Mar 28,JAMA,JAMA. 2023 Mar 28;329(12):990-999. doi: 10.1001/jama.2023.2064.,"['Forlenza, Gregory P', 'McVean, Jennifer', 'Beck, Roy W', 'Bauza, Colleen', 'Bailey, Ryan', 'Buckingham, Bruce', 'DiMeglio, Linda A', 'Sherr, Jennifer L', 'Clements, Mark', 'Neyman, Anna', 'Evans-Molina, Carmella', 'Sims, Emily K', 'Messer, Laurel H', 'Ekhlaspour, Laya', 'McDonough, Ryan', 'Van Name, Michelle', 'Rojas, Diana', 'Beasley, Shannon', 'DuBose, Stephanie', 'Kollman, Craig', 'Moran, Antoinette']","['adolescent', 'humans', 'child', 'female', 'male', ' diabetes mellitus, type 1 drug therapy', 'hypoglycemic agents therapeutic use', 'c-peptide metabolism pharmacology therapeutic use', 'double-blind method', 'verapamil adverse effects', ' insulin-secreting cells drug effects']",Effect of Verapamil on Pancreatic Beta Cell Function in Newly Diagnosed Pediatric Type 1 Diabetes: A Randomized Clinical Trial.,"IMPORTANCE: In preclinical studies, thioredoxin-interacting protein overexpression induces pancreatic beta cell apoptosis and is involved in glucotoxicity-induced beta cell death. Calcium channel blockers reduce these effects and may be beneficial to beta cell preservation in type 1 diabetes. OBJECTIVE: To determine the effect of verapamil on pancreatic beta cell function in children and adolescents with newly diagnosed type 1 diabetes. DESIGN, SETTING, AND PARTI"
2023 Mar 28,JAMA,JAMA. 2023 Mar 28;329(12):980-989. doi: 10.1001/jama.2023.2063.,"['McVean, Jennifer', 'Forlenza, Gregory P', 'Beck, Roy W', 'Bauza, Colleen', 'Bailey, Ryan', 'Buckingham, Bruce', 'DiMeglio, Linda A', 'Sherr, Jennifer L', 'Clements, Mark', 'Neyman, Anna', 'Evans-Molina, Carmella', 'Sims, Emily K', 'Messer, Laurel H', 'Ekhlaspour, Laya', 'McDonough, Ryan', 'Van Name, Michelle', 'Rojas, Diana', 'Beasley, Shannon', 'DuBose, Stephanie', 'Kollman, Craig', 'Moran, Antoinette']","['female', 'adolescent', 'humans', 'child', ' diabetes mellitus, type 1 drug therapy', 'hypoglycemic agents adverse effects administration & dosage', 'blood glucose drug effects', ' insulin-secreting cells drug effects', 'c-peptide pharmacology therapeutic use', 'double-blind method', 'glycemic control', 'blood glucose self-monitoring', 'glycated hemoglobin', 'insulin adverse effects administration & dosage']",Effect of Tight Glycemic Control on Pancreatic Beta Cell Function in Newly Diagnosed Pediatric Type 1 Diabetes: A Randomized Clinical Trial.,"IMPORTANCE: Near normalization of glucose levels instituted immediately after diagnosis of type 1 diabetes has been postulated to preserve pancreatic beta cell function by reducing glucotoxicity. Previous studies have been hampered by an inability to achieve tight glycemic goals. OBJECTIVE: To determine the effectiveness of intensive diabetes management to achieve near normalization of glucose levels on preservation of pancreatic beta cell function in youth with newly diagnosed type 1 diabetes. DESIGN, SETTING, AND PARTI"
2022 Nov,Diabetes technology & therapeutics,Diabetes Technol Ther. 2022 Nov;24(11):789-796. doi: 10.1089/dia.2022.0187.,"['Jacobsen, Laura M', 'Bocchino, Laura E', 'Lum, John W', 'Kollman, Craig', 'Barnes-Lomen, Victoria', 'Sulik, Mark', 'Haller, Michael J', 'Bode, Bruce', 'Cernich, Joseph T', 'Killeen, Anthony A', 'Garg, Uttam', 'Liljenquist, David', 'Adams, Janey G', 'Clements, Margaret', 'Gabrielson, Deanna', 'Johnson, Terri', 'Clements, Mark A', 'Beck, Roy W']","['humans', 'glycated hemoglobin analysis', ' diabetes mellitus, type 2', 'pandemics', ' covid-19', 'reference standards', 'accuracy', 'commercial', 'hba1c', 'home use', 'type 1 diabetes', 'type 2 diabetes']",Accuracy of Three Commercial Home-Use Hemoglobin A1c Tests.,"Background: The COVID-19 pandemic and the rapid expansion of telemedicine have increased the need for accurate and reliable capillary hemoglobin A1c (HbA1c) testing. Nevertheless, validation studies of commercially available products suitable for home use have been in short supply. Methods: Three commercial home-use capillary blood sample HbA1c tests (Home Access, CoreMedica, and A1cNow+) were evaluated in 219 participants with type 1 or type 2 diabetes (4-80 years years of age, HbA1c 5.1%-13.4% [32-123 mmol/mol]) at four clinical sites. Comparisons were made between HbA1c measurements from the commercial tests and paired venous samples for which HbA1c was measured at two central reference laboratories. The primary outcome was percentage of commercial HbA1c values within 5% of the corresponding reference values. Results: HbA1c values were within 5% (relative difference) of paired reference values for 82% of Home Access samples, 29% of CoreMedica samples, and 46% of A1cNow+ samples. Absolute differences were within 0.3% of the reference value for 75% of Home Access samples, 28% of CoreMedica samples, and 44% of A1cNow+ samples and exceeded 0.5% for 8%, 55%, and 37%, respectively. Conclusions: None of the commercial home-use HbA1c tests produced the National Glycohemoglobin Standardization Program goal of ≥90% measurements within 5% of a DCCT venous reference. However, the Home Access product performed substantially better than the CoreMedica or A1cNow+ products. Telemedicine is likely to persist as a mainstay of diabetes care well after the COVID-19 era. As such, accurate home-based HbA1c assessment represents an urgent need for the diabetes community."
2021 Aug,Diabetes technology & therapeutics,Diabetes Technol Ther. 2021 Aug;23(8):537-545. doi: 10.1089/dia.2021.0023. Epub ,"['Beck, Roy W', 'Bocchino, Laura E', 'Lum, John W', 'Kollman, Craig', 'Barnes-Lomen, Victoria', 'Sulik, Mark', 'Haller, Michael J', 'Bode, Bruce', 'Cernich, Joseph T', 'Killeen, Anthony A', 'Garg, Uttam', 'Liljenquist, David', 'Adams, Janey G', 'Clements, Margaret', 'Gabrielson, Deanna', 'Johnson, Terri', 'Clements, Mark A']","['adolescent', 'adult', 'aged', 'blood specimen collection  instrumentation', ' covid-19', ' capillaries', 'child', 'child, preschool', 'diabetes mellitus  blood', 'diabetes mellitus, type 1 blood', 'diabetes mellitus, type 2 blood', 'female', 'glycated hemoglobin  analysis', 'humans', 'male', 'middle aged', ' sars-cov-2', 'specimen handling methods', 'veins', 'accuracy', 'hba1c measurement', 'home a1c testing', 'type 1 diabetes', 'type 2 diabetes', 'adults', 'children']",An Evaluation of Two Capillary Sample Collection Kits for Laboratory Measurement of HbA1c.,"Background: The COVID-19 pandemic has impacted the conduct of clinic visits. We conducted a study to evaluate two academic laboratories' fingerstick capillary blood collection kits suitable for home use for laboratory measurement of HbA1c. Methods: Four clinical sites recruited 240 participants (aged 4-80 years, HbA1c 5.1%-13.5%). Capillary blood samples were obtained by the participant or parent using collection kits from two laboratories (University of Minnesota Advanced Research and Diagnostic Laboratory (ARDL) and Children's Mercy Hospital Laboratory (CMH)) and mailed under varying shipping conditions by United States Postal Service to the laboratories. Comparisons were made between HbA1c measurements from capillary samples and contemporaneously obtained venous samples. The primary outcome was percentage of capillary HbA1c values within 5% of the corresponding venous values. Results: HbA1c values were within 5% of venous values for 96% of ARDL kit specimens shipped with a cold pack and 98% without a cold pack and 99% and 99%, respectively, for the CMH kits. R(2) values were 0.98, 0.99, 0.99, and 0.99, respectively. Results appeared similar across HbA1c levels and for pediatric and adult participants. Usability survey scores were high. Conclusions: Capillary blood collection kits, suitable for home use, from two academic laboratories, were demonstrated to be easy to use and provided results that are comparable with those obtained from venous specimens. Based on these results, there is strong evidence that HbA1c measurements from capillary specimens obtained with these specific kits can be used interchangeably with HbA1c measurements from venous specimens for clinical research and clinical care."
2019 Apr,Autism research : official journal of the International Society for Autism ,Autism Res. 2019 Apr;12(4):628-635. doi: 10.1002/aur.2071. Epub 2019 Jan 14.,"['Jones, Rebecca M', 'Plesa Skwerer, Daniela', 'Pawar, Rahul', 'Hamo, Amarelle', 'Carberry, Caroline', 'Ajodan, Eliana L', 'Caulley, Desmond', 'Silverman, Melanie R', 'McAdoo, Shannon', 'Meyer, Steven', 'Yoder, Anne', 'Clements, Mark', 'Lord, Catherine', 'Tager-Flusberg, Helen']","['adolescent', ' algorithms', 'autism spectrum disorder  complications  physiopathology', 'child', 'child, preschool', 'female', 'humans', 'language development disorders  complications  diagnosis physiopathology', 'male', 'reproducibility of results', 'software', 'speech  physiology', 'lena', 'acoustic recordings', 'autism spectrum disorder', 'automated language detection', 'communication']",How effective is LENA in detecting speech vocalizations and language produced by children and adolescents with ASD in different contexts?,"The LENA system was designed and validated to provide information about the language environment in children 0 to 4 years of age and its use has been expanded to populations with a number of communication profiles. Its utility in children 5 years of age and older is not yet known. The present study used acoustic data from two samples of children with autism spectrum disorders (ASD) to evaluate the reliability of LENA automated analyses for detecting speech utterances in older, school age children, and adolescents with ASD, in clinic and home environments. Participants between 5 and 18 years old who were minimally verbal (study 1) or had a range of verbal abilities (study 2) completed standardized assessments in the clinic (study 1 and 2) and in the home (study 2) while speech was recorded from a LENA device. We compared LENA segment labels with manual ground truth coding by human transcribers using two different methods. We found that the automated LENA algorithms were not successful (<50% reliable) in detecting vocalizations from older children and adolescents with ASD, and that the proportion of speaker misclassifications by the automated system increased significantly with the target-child's age. The findings in children and adolescents with ASD suggest possibly misleading results when expanding the use of LENA beyond the age ranges for which it was developed and highlight the need to develop novel automated methods that are more appropriate for older children. Autism Research 2019, 12: 628-635. © 2019 International Society for Autism Research, Wiley Periodicals, Inc. LAY SUMMARY: Current commercially available speech detection algorithms (LENA system) were previously validated in toddlers and children up to 48 months of age, and it is not known whether they are reliable in older children and adolescents. Our data suggest that LENA does not adequately capture speech in school age children and adolescents with autism and highlights the need to develop new automated methods for older children."
2018 Mar,Child development,Child Dev. 2018 Mar;89(2):e60-e73. doi: 10.1111/cdev.12777. Epub 2017 Mar 10.,"['Swanson, Meghan R', 'Shen, Mark D', 'Wolff, Jason J', 'Boyd, Brian', 'Clements, Mark', 'Rehg, James', 'Elison, Jed T', 'Paterson, Sarah', 'Parish-Morris, Julia', 'Chappell, J Chad', 'Hazlett, Heather C', 'Emerson, Robert W', 'Botteron, Kelly', 'Pandey, Juhi', 'Schultz, Robert T', 'Dager, Stephen R', 'Zwaigenbaum, Lonnie', 'Estes, Annette M', 'Piven, Joseph']","['autism spectrum disorder  physiopathology', 'child development  physiology', 'female', 'humans', 'infant', 'infant behavior  physiology', 'male', 'risk', ' siblings', 'signal processing, computer-assisted', ' social behavior', 'verbal behavior  physiology']","Naturalistic Language Recordings Reveal ""Hypervocal"" Infants at High Familial Risk for Autism.","Children's early language environments are related to later development. Little is known about this association in siblings of children with autism spectrum disorder (ASD), who often experience language delays or have ASD. Fifty-nine 9-month-old infants at high or low familial risk for ASD contributed full-day in-home language recordings. High-risk infants produced more vocalizations than low-risk peers; conversational turns and adult words did not differ by group. Vocalization differences were driven by a subgroup of ""hypervocal"" infants. Despite more vocalizations overall, these infants engaged in less social babbling during a standardized clinic assessment, and they experienced fewer conversational turns relative to their rate of vocalizations. Two ways in which these individual and environmental differences may relate to subsequent development are discussed."
2016 Sep,International journal of computer assisted radiology and surgery,Int J Comput Assist Radiol Surg. 2016 Sep;11(9):1623-36. doi: ,"['Zia, Aneeq', 'Sharma, Yachna', 'Bettadapura, Vinay', 'Sarin, Eric L', 'Ploetz, Thomas', 'Clements, Mark A', 'Essa, Irfan']","['automation', ' clinical competence', 'education, medical, graduate  methods', 'educational measurement  methods', 'general surgery  education', 'humans', ' schools, medical', ' video recording', 'classification', 'feature modeling', 'surgical skill']",Automated video-based assessment of surgical skills for training and evaluation in medical schools.,"PURPOSE: Routine evaluation of basic surgical skills in medical schools requires considerable time and effort from supervising faculty. For each surgical trainee, a supervisor has to observe the trainees in person. Alternatively, supervisors may use training videos, which reduces some of the logistical overhead. All these approaches however are still incredibly time consuming and involve human bias. In this paper, we present an automated system for surgical skills assessment by analyzing video data of surgical activities. METHOD: We compare different techniques for video-based surgical skill evaluation. We use techniques that capture the motion information at a coarser granularity using symbols or words, extract motion dynamics using textural patterns in a frame kernel matrix, and analyze fine-grained motion information using frequency analysis. RESULTS: We were successfully able to classify surgeons into different skill levels with high accuracy. Our results indicate that fine-grained analysis of motion dynamics via frequency analysis is most effective in capturing the skill relevant information in surgical videos. CONCLUSION: Our evaluations show that frequency features perform better than motion texture features, which in-turn perform better than symbol-/word-based features. Put succinctly, skill classification accuracy is positively correlated with motion granularity as demonstrated by our results on two challenging video datasets."
2014 Oct,The Journal of the Acoustical Society of America,J Acoust Soc Am. 2014 Oct;136(4):EL315-21. doi: 10.1121/1.4896410.,"['Kim, Jonathan C', 'Rao, Hrishikesh', 'Clements, Mark A']","['acoustics', ' chemoradiotherapy adverse effects', 'head and neck neoplasms complications  therapy', 'humans', 'least-squares analysis', 'principal component analysis', 'regression analysis', 'signal processing, computer-assisted', 'sound spectrography', ' speech acoustics', ' speech intelligibility', 'speech production measurement  methods', ' voice quality']",Speech intelligibility estimation using multi-resolution spectral features for speakers undergoing cancer treatment.,"Head and neck cancer can significantly hamper speech production which often reduces speech intelligibility. A method of extracting spectral features is presented. The method uses a multi-resolution sinusoidal transform scheme, which enables better representation of spectral and harmonic characteristics. Regression methods were used to predict interval-scaled intelligibility scores of utterances in the NKI-CCRT speech corpus. The inclusion of these features lowered the mean squared estimation error from 0.43 to 0.39 on a scale from 1 to 7, with a p-value less than 0.001. For binary intelligibility classification, their inclusion resulted in an improvement by 5.0 percentage points when tested on a disjoint set."
2014,Computational intelligence and neuroscience,Comput Intell Neurosci. 2014;2014:643059. doi: 10.1155/2014/643059. Epub 2014 Apr ,"['Matthews, Brett A', 'Clements, Mark A']","['action potentials  physiology', 'animals', 'computer simulation', 'humans', 'likelihood functions', ' models, neurological', 'neurons  physiology', 'principal component analysis', ' wavelet analysis']",Spike sorting by joint probabilistic modeling of neural spike trains and waveforms.,"This paper details a novel probabilistic method for automatic neural spike sorting which uses stochastic point process models of neural spike trains and parameterized action potential waveforms. A novel likelihood model for observed firing times as the aggregation of hidden neural spike trains is derived, as well as an iterative procedure for clustering the data and finding the parameters that maximize the likelihood. The method is executed and evaluated on both a fully labeled semiartificial dataset and a partially labeled real dataset of extracellular electric traces from rat hippocampus. In conditions of relatively high difficulty (i.e., with additive noise and with similar action potential waveform shapes for distinct neurons) the method achieves significant improvements in clustering performance over a baseline waveform-only Gaussian mixture model (GMM) clustering on the semiartificial set (1.98% reduction in error rate) and outperforms both the GMM and a state-of-the-art method on the real dataset (5.04% reduction in false positive + false negative errors). Finally, an empirical study of two free parameters for our method is performed on the semiartificial dataset."
