time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in cardiovascular medicine,Front Cardiovasc Med. 2024 May 28;11:1397079. doi: 10.3389/fcvm.2024.1397079. ,"['Kikuchi, Yuta', 'Onohara, Daisuke', 'Silverman, Michael', 'King, Chase L', 'Tom, Stephanie K', 'Govin, Riya', 'Guyton, Robert A', 'Padala, Muralidhar']","['circumferential strain', 'dyssynchrony', 'ischemic mitral regurgitation', 'longitudinal strain', 'volume overload']",Mitral regurgitation increases systolic strains in remote zone and worsens left ventricular dyssynchrony in a swine model of ischemic cardiomyopathy.,"BACKGROUND: Ischemic mitral regurgitation (IMR) imposes volume overload on the left ventricle (LV), accelerating adverse LV remodeling. In this study, we sought to investigate the impact of volume overload due to IMR on regional myocardial contractile mechanics. METHODS: Ten Yorkshire swine were induced with myocardial infarction (MI) by occluding the left circumflex coronary artery (LCx). Cardiac MRI was performed at baseline (BL) and 2.5 months (2.5M) post-MI. IMR was quantified with epicardial echocardiography 3 months post-MI. The animals were then assigned to 2 groups: no/mild MR (nmMR, n = 4) and moderate/severe MR (msMR, n = 6). MRI images were analyzed to assess infarction size, end-diastolic and end-systolic volume (EDV and ESV, respectively), ejection fraction (EF), longitudinal strain (LS), circumferential strain (CS), and systolic dyssynchrony index (SDI). The myocardial region was divided into infarction, border, and remote zones based on the LCx-supplied region. RESULTS: There was no difference in the infarction size. Group-wise comparison of LS and CS between BL and 2.5M demonstrated that LS and CS in the infarction zone and the border zone decreased at 2.5M in both groups. However, LS and CS in the remote zone were elevated only in the msMR group (LS: -9.81 ± 3.96 vs. -12.58 ± 5.07, p < 0.01; CS; -12.78 ± 3.81 vs. -16.09 ± 3.33, p < 0.01) at 2.5M compared to BL. The SDI of CS was significantly elevated in the msMR group (0.1255 vs. 0.0974, p = 0.015) at 2.5M compared to BL. CONCLUSIONS: Elevated LS and CS in the remote zone were observed in moderate/severe MR and ventricular dyssynchrony. These elevated cardiac strains, coupled with ventricular dyssynchrony, may contribute to the progression of MR, thereby accelerating heart failure."
2024 Jan 23,Biosensors,Biosensors (Basel). 2024 Jan 23;14(2):61. doi: 10.3390/bios14020061.,"['Lambert, Tamara P', 'Chan, Michael', 'Sanchez-Perez, Jesus Antonio', 'Nikbakht, Mohammad', 'Lin, David J', 'Nawar, Afra', 'Bashar, Syed Khairul', 'Kimball, Jacob P', 'Zia, Jonathan S', 'Gazi, Asim H', 'Cestero, Gabriela I', 'Corporan, Daniella', 'Padala, Muralidhar', 'Hahn, Jin-Oh', 'Inan, Omer T']","['humans', 'swine', 'animals', ' hypovolemia diagnosis etiology', ' vital signs', 'early diagnosis', 'continuous monitoring', 'decompensation', 'digital biomarkers', 'hypovolemia', 'machine learning', 'noninvasive biosensors', 'wearable biosensors']",A Comparison of Normalization Techniques for Individual Baseline-Free Estimation of Absolute Hypovolemic Status Using a Porcine Model.,"Hypovolemic shock is one of the leading causes of death in the military. The current methods of assessing hypovolemia in field settings rely on a clinician assessment of vital signs, which is an unreliable assessment of hypovolemia severity. These methods often detect hypovolemia when interventional methods are ineffective. Therefore, there is a need to develop real-time sensing methods for the early detection of hypovolemia. Previously, our group developed a random-forest model that successfully estimated absolute blood-volume status (ABVS) from noninvasive wearable sensor data for a porcine model (n = 6). However, this model required normalizing ABVS data using individual baseline data, which may not be present in crisis situations where a wearable sensor might be placed on a patient by the attending clinician. We address this barrier by examining seven individual baseline-free normalization techniques. Using a feature-specific global mean from the ABVS and an external dataset for normalization demonstrated similar performance metrics compared to no normalization (normalization: R(2) = 0.82 ± 0.025|0.80 ± 0.032, AUC = 0.86 ± 5.5 × 10(-3)|0.86 ± 0.013, RMSE = 28.30 ± 0.63%|27.68 ± 0.80%; no normalization: R(2) = 0.81 ± 0.045, AUC = 0.86 ± 8.9 × 10(-3), RMSE = 28.89 ± 0.84%). This demonstrates that normalization may not be required and develops a foundation for individual baseline-free ABVS prediction."
2024 Feb,Cardiovascular engineering and technology,Cardiovasc Eng Technol. 2024 Feb;15(1):65-76. doi: 10.1007/s13239-023-00697-9. ,"['Kim, Saeyoung', 'Jing, Bowen', 'Lane, Brooks A', 'Tempestti, Jimena Martín', 'Padala, Muralidhar', 'Veneziani, Alessandro', 'Lindsey, Brooks D']","['animals', 'swine', 'blood flow velocity', 'heart physiology', 'coronary vessels', ' coronary artery disease diagnostic imaging', ' plaque, atherosclerotic', 'stress, mechanical', 'cardiac hemodynamics', 'coronary artery', 'forward viewing', 'motion compensation', 'time-varying wall shear stress', 'ultrafast doppler', 'wall shear stress']",Dynamic Coronary Blood Flow Velocity and Wall Shear Stress Estimation Using Ultrasound in an Ex Vivo Porcine Heart.,"PURPOSE: Wall shear stress (WSS) is a critically important physical factor contributing to atherosclerosis. Mapping the spatial distribution of local, oscillatory WSS can identify important mechanisms underlying the progression of coronary artery disease. METHODS: In this study, blood flow velocity and time-varying WSS were estimated in the left anterior descending (LAD) coronary artery of an ex vivo beating porcine heart using ultrasound with an 18 MHz linear array transducer aligned with the LAD in a forward-viewing orientation. A pulsatile heart loop with physiologically-accurate flow was created using a pulsatile pump. The coronary artery wall motion was compensated using a local block matching technique. Next, 2D and 3D velocity magnitude and WSS maps in the LAD coronary artery were estimated at different time points in the cardiac cycle using an ultrafast Doppler approach. The blood flow velocity estimated using the presented approach was compared with a commercially-available, calibrated single element blood flow velocity measurement system. RESULTS: The resulting root mean square error (RMSE) of 2D velocity magnitude acquired from a high frequency, linear array transducer was less than 8% of the maximum velocity estimated by the commercial system. CONCLUSION: When implemented in a forward-viewing intravascular ultrasound device, the presented approach will enable dynamic estimation of WSS, an indicator of plaque vulnerability in coronary arteries."
2023 Aug 18,The Journal of thoracic and cardiovascular surgery,J Thorac Cardiovasc Surg. 2023 Aug 18:S0022-5223(23)00724-9. doi: ,"['King, Chase L', 'Onohara, Daisuke', 'Tom, Stephanie K', 'Silverman, Michael', 'Kikuchi, Yuta', 'Lane, Brooks A', 'Wong, Keawepono', 'Toma, Julia R', 'Maddamma, Amanda', 'Padala, Muralidhar']","['functional mitral regurgitation', 'ischemic cardiomyopathy', 'large animal model', 'ventricular reshaping']",Transapical ventricular reshaping reduces functional mitral regurgitation and improves ventricular function in a preclinical model of ischemic cardiomyopathy.,"OBJECTIVE: A significant proportion of patients with advanced heart failure present with dilated left ventricles and functional mitral regurgitation. These patients currently have limited treatment options. The MitraClip device (Abbott) has benefited only patients with smaller left ventricles (end-diastolic dimension <70 mm), whereas those with larger left ventricles did not benefit. A possible explanation is correcting functional mitral regurgitation alone may not adequately reduce the wall stresses of a dilated left ventricle. We have developed a beating-heart device that not only approximates the papillary muscles to reduce functional mitral regurgitation but also modifies the left ventricle size and shape to reduce wall stress. METHODS: Yorkshire swine (n = 16) had a myocardial infarction induced by permanent occlusion of the left circumflex with intracoronary ethanol. Three months later, the animals developed heart failure and moderate or greater functional mitral regurgitation. Through a transapical approach, the new device was implanted under echocardiography guidance to reshape the left ventricle and correct functional mitral regurgitation. The acute impact of this approach on the mitral valve and left ventricle was assessed with echocardiography and invasive hemodynamics. RESULTS: After reshaping, echocardiography showed a decrease in end-diastolic volume by 36.3 ± 30.5 mL (P < .001), a decrease in sphericity index by 0.143 ± 0.087 (P < .001), and an increase in ejection fraction of 5.90% ± 6.38% (P < .01). Mitral valve tenting area was reduced by 39.29 ± 33.66 mm(2) (P < .001), coaptation length was increased by 2.12 ± 1.02 mm (P < .001), and posterior excursion angle was improved by 9.07° ± 9.14° (P < .01), resulting in functional mitral regurgitation reduction. CONCLUSIONS: Correction of functional mitral regurgitation with favorable changes in mitral valve geometry and reduction in left ventricle geometry is possible with the proposed device."
2022 Dec 13,Journal of the American College of Cardiology,J Am Coll Cardiol. 2022 Dec 13;80(24):2331-2347. doi: 10.1016/j.jacc.2022.09.044.,"['Delling, Francesca N', 'Noseworthy, Peter A', 'Adams, David H', 'Basso, Cristina', 'Borger, Michael', 'Bouatia-Naji, Nabila', 'Elmariah, Sammy', 'Evans, Frank', 'Gerstenfeld, Edward', 'Hung, Judy', 'Le Tourneau, Thierry', 'Lewis, John', 'Miller, Marc A', 'Norris, Russell A', 'Padala, Muralidhar', 'Perazzolo-Marra, Martina', 'Shah, Dipan J', 'Weinsaft, Jonathan W', 'Enriquez-Sarano, Maurice', 'Levine, Robert A']","['humans', ' mitral valve prolapse', 'death, sudden, cardiac', 'cardiac magnetic resonance imaging', 'echocardiography', 'mitral regurgitation', 'mitral valve prolapse', 'sudden cardiac death']",Research Opportunities in the Treatment of Mitral Valve Prolapse: JACC Expert Panel.,"In light of the adverse prognosis related to severe mitral regurgitation, heart failure, or sudden cardiac death in a subset of patients with mitral valve prolapse (MVP), identifying those at higher risk is key. For the first time in decades, researchers have the means to rapidly advance discovery in the field of MVP thanks to state-of-the-art imaging techniques, novel omics methodologies, and the potential for large-scale collaborations using web-based platforms. The National Heart, Lung, and Blood Institute recently initiated a webinar-based workshop to identify contemporary research opportunities in the treatment of MVP. This report summarizes 3 specific areas in the treatment of MVP that were the focus of the workshop: 1) improving management of degenerative mitral regurgitation and associated left ventricular systolic dysfunction; 2) preventing sudden cardiac death in MVP; and 3) understanding the mechanisms and progression of MVP through genetic studies and small and large animal models, with the potential of developing medical therapies."
2022 Jul,Physiological reports,Physiol Rep. 2022 Jul;10(14):e15305. doi: 10.14814/phy2.15305.,"['Corporan, Daniella', 'Saadeh, Maher', 'Yoldas, Alessandra', 'Mudigonda, Jahnavi', 'Lane, Brooks Alexander', 'Padala, Muralidhar']","['animals', 'extracellular matrix  physiology', 'heart ventricles  physiopathology', 'mitral valve insufficiency  complications physiopathology', 'rats', 'rats, sprague-dawley', 'ventricular remodeling physiology', 'mitral regurgitation', 'mitral valve prolapse', 'myocardial mechanics', 'myocardial remodeling', 'valvular heart disease']",Passive mechanical properties of the left ventricular myocardium and extracellular matrix in hearts with chronic volume overload from mitral regurgitation.,"Cardiac volume overload from mitral regurgitation (MR) is a trigger for left ventricular dilatation, remodeling, and ultimate failure. While the functional and structural adaptations to this overload are known, the adaptation of myocardial mechanical properties remains unknown. Using a rodent model of MR, in this study, we discern changes in the passive material properties of the intact and decellularized myocardium. Eighty Sprague-Dawley rats (350-400 g) were assigned to two groups: (1) MR (n = 40) and (2) control (n = 40). MR was induced in the beating heart by perforating the mitral leaflet with a 23G needle, and rats were terminated at 2, 10, 20, or 40 weeks (n = 10/time-point). Echocardiography was performed at baseline and termination, and explanted hearts were used for equibiaxial mechanical testing of the intact myocardium and after decellularization. Two weeks after inducing severe MR, the myocardium was more extensible compared to control, however, stiffness and extensibility of the extracellular matrix did not differ from control at this timepoint. By 20 weeks, the myocardium was stiffer with a higher elastic modulus of 1920 ± 246 kPa, and a parallel rise in extracellular matrix stiffness. Despite some matrix stiffening, it only contributed to 31% and 36% of the elastic modulus of the intact tissue in the circumferential and longitudinal directions. At 40 weeks, similar trends of increasing stiffness were observed, but the contribution of extracellular matrix remained relatively low. Chronic MR induces ventricular myocardial stiffening, which seems to be driven by the myocyte compartment of the muscle, and not the extracellular matrix."
2022 Jan,Journal of biomedical optics,J Biomed Opt. 2022 Jan;27(1):016003. doi: 10.1117/1.JBO.27.1.016003.,"['Sowers, Timothy', 'VanderLaan, Don', 'Karpiouk, Andrei', 'Onohara, Daisuke', 'Schmarkey, Susan', 'Rousselle, Serge', 'Padala, Muralidhar', 'Emelianov, Stanislav']","['animals', 'diagnostic imaging', 'lasers', ' plaque, atherosclerotic', 'swine', 'imaging', 'in vivo', 'intravascular', 'laser', 'photoacoustics', 'safety']",In vivo safety study using radiation at wavelengths and dosages relevant to intravascular imaging.,"SIGNIFICANCE: Intravascular photoacoustic (IVPA) imaging can identify native lipid in atherosclerotic plaques in vivo. However, the large number of laser pulses required to produce 3D images is a safety concern that has not been fully addressed. AIM: We aim to evaluate if irradiation at wavelengths and dosages relevant to IVPA imaging causes target vessel damage. APPROACH: We irradiate the carotid artery of swine at one of several energy dosages using radiation at 1064 or 1720 nm and use histological evaluation by a pathologist to identify dose-dependent damage. RESULTS: Media necrosis was the only dose-dependent form of injury. Damage was present at a cumulative fluence of 50 J / cm2 when using 1720 nm light. Damage was more equivocally identified at 700 J / cm2 using 1064 nm. CONCLUSIONS: In prior work, IVPA imaging of native lipid in swine has been successfully conducted below the damage thresholds identified. This indicates that it will be possible to use IVPA imaging in a clinical setting without damaging vessel tissue. Future work should determine if irradiation causes an increase in blood thrombogenicity and confirm whether damaged tissue will heal over longer time points."
2022 Spring,Seminars in thoracic and cardiovascular surgery,Semin Thorac Cardiovasc Surg. 2022 Spring;34(1):65-66. doi: ,"['Padala, Muralidhar']","['humans', 'mitral valve diagnostic imaging physiopathology surgery', ' mitral valve annuloplasty adverse effects', ' mitral valve insufficiency diagnostic imaging etiology surgery', ' mitral valve stenosis physiopathology', 'treatment outcome']",Commentary: Functional Mitral Stenosis After Undersizing Mitral Annuloplasty for Ischemic Mitral Regurgitation: Ignoring the Elephant in the Room.,
2021 Winter,Seminars in thoracic and cardiovascular surgery,Semin Thorac Cardiovasc Surg. 2021 Winter;33(4):931-932. doi: ,"['Padala, Muralidhar']","['aortic valve diagnostic imaging surgery', ' aortic valve insufficiency diagnostic imaging etiology surgery', ' aortic valve stenosis surgery', 'humans', ' transcatheter aortic valve replacement adverse effects', 'treatment outcome']",Commentary: Quantifying Paravalvular Aortic Regurgitation After Transcatheter Aortic Valve Replacement-Correlative Indices vs Causative Factors.,
2022 May,The Journal of thoracic and cardiovascular surgery,J Thorac Cardiovasc Surg. 2022 May;163(5):e343-e355. doi: ,"['Onohara, Daisuke', 'Corporan, Daniella M', 'Kono, Takanori', 'Kumar, Sandeep', 'Guyton, Robert A', 'Padala, Muralidhar']","['animals', 'rats', ' heart failure', 'heart ventricles diagnostic imaging pathology surgery', ' myocardial infarction', 'myocytes, cardiac', 'ventricular function, left', 'ventricular remodeling', 'adverse remodeling', 'helical fibers', 'ischemic cardiomyopathy', 'sphericity', 'ventricular shape']",Ventricular reshaping with a beating heart implant improves pump function in experimental heart failure.,"OBJECTIVE: The left ventricle remodels from an ellipsoidal/conical shape to a spherical shape after a myocardial infarction. The spherical ventricle is inefficient as a pumping chamber, has higher wall stresses, and can lead to congestive heart failure. We sought to investigate if restoring physiological ventricular shape with a beating heart implant improves pump function. METHODS: Rats were induced with a myocardial infarction, developing left ventricular dilatation and dysfunction, and becoming spherical over 3 weeks. Thereafter, they were randomized to undergo left ventricular reshaping with a beating heart implant (n = 19) or continue follow-up without an implant (n = 19). Biweekly echocardiography was performed until 12 weeks, with half the rats euthanized at 6 weeks and remaining at 12 weeks. At termination, invasive hemodynamic parameters and histopathology were performed. RESULTS: At 3 weeks after the infarction, rats had a 22% fall in ejection fraction, 31% rise in end diastolic volume, and 23% rise in sphericity. Transventricular implant reshaping reduced the volume by 12.6% and sphericity by 21%, restoring physiologic ventricular shape and wall stress. Over the 12-week follow-up, pump function improved significantly with better ventricular-vascular coupling in the reshaped hearts. In this group, cardiomyocyte cross-section area was higher and the cells were less elongated. CONCLUSIONS: Reshaping a postinfarction, failing left ventricle to restore its physiological conical shape significantly improves long-term pump function."
