time,journal,doi_info,authors,key words,title,abstract
2024 Jun,Biomedical signal processing and control,Biomed Signal Process Control. 2024 Jun;92:105974. doi: ,"['Soliman, Moamen M', 'Marshall, Curtis', 'Kimball, Jacob P', 'Choudhary, Tilendra', 'Clermont, Gilles', 'Pinsky, Michael R', 'Buchman, Timothy G', 'Coopersmith, Craig M', 'Inan, Omer T', 'Kamaleswaran, Rishikesan']","['early warning score', 'fast sepsis detection', 'intensive care unit', 'machine learning for sepsis', 'septic shock prediction']",Parsimonious Waveform-derived Features consisting of Pulse Arrival Time and Heart Rate Variability Predicts the Onset of Septic Shock.,"Sepsis is a major public health emergency and one of the leading causes of morbidity and mortality in critically ill patients. For each hour treatment is delayed, shock-related mortality increases, so early diagnosis and intervention is of utmost importance. However, earlier recognition of shock requires active monitoring, which may be delayed due to subclinical manifestations of the disease at the early phase of onset. Machine learning systems can increase timely detection of shock onset by exploiting complex interactions among continuous physiological waveforms. We use a dataset consisting of high-resolution physiological waveforms from intensive care unit (ICU) of a tertiary hospital system. We investigate the use of mean arterial blood pressure (MAP), pulse arrival time (PAT), heart rate variability (HRV), and heart rate (HR) for the early prediction of shock onset. Using only five minutes of the aforementioned vital signals from 239 ICU patients, our developed models can accurately predict septic shock onset 6 to 36 hours prior to clinical recognition with area under the receiver operating characteristic (AUROC) of 0.84 and 0.8 respectively. This work lays foundations for a robust, efficient, accurate and early prediction of septic shock onset which may help clinicians in their decision-making processes. This study introduces machine learning models that provide fast and accurate predictions of septic shock onset times up to 36 hours in advance. BP, PAT and HR dynamics can independently predict septic shock onset with a look-back period of only 5 mins."
2024 Jan 23,Biosensors,Biosensors (Basel). 2024 Jan 23;14(2):61. doi: 10.3390/bios14020061.,"['Lambert, Tamara P', 'Chan, Michael', 'Sanchez-Perez, Jesus Antonio', 'Nikbakht, Mohammad', 'Lin, David J', 'Nawar, Afra', 'Bashar, Syed Khairul', 'Kimball, Jacob P', 'Zia, Jonathan S', 'Gazi, Asim H', 'Cestero, Gabriela I', 'Corporan, Daniella', 'Padala, Muralidhar', 'Hahn, Jin-Oh', 'Inan, Omer T']","['humans', 'swine', 'animals', ' hypovolemia diagnosis etiology', ' vital signs', 'early diagnosis', 'continuous monitoring', 'decompensation', 'digital biomarkers', 'hypovolemia', 'machine learning', 'noninvasive biosensors', 'wearable biosensors']",A Comparison of Normalization Techniques for Individual Baseline-Free Estimation of Absolute Hypovolemic Status Using a Porcine Model.,"Hypovolemic shock is one of the leading causes of death in the military. The current methods of assessing hypovolemia in field settings rely on a clinician assessment of vital signs, which is an unreliable assessment of hypovolemia severity. These methods often detect hypovolemia when interventional methods are ineffective. Therefore, there is a need to develop real-time sensing methods for the early detection of hypovolemia. Previously, our group developed a random-forest model that successfully estimated absolute blood-volume status (ABVS) from noninvasive wearable sensor data for a porcine model (n = 6). However, this model required normalizing ABVS data using individual baseline data, which may not be present in crisis situations where a wearable sensor might be placed on a patient by the attending clinician. We address this barrier by examining seven individual baseline-free normalization techniques. Using a feature-specific global mean from the ABVS and an external dataset for normalization demonstrated similar performance metrics compared to no normalization (normalization: R(2) = 0.82 ± 0.025|0.80 ± 0.032, AUC = 0.86 ± 5.5 × 10(-3)|0.86 ± 0.013, RMSE = 28.30 ± 0.63%|27.68 ± 0.80%; no normalization: R(2) = 0.81 ± 0.045, AUC = 0.86 ± 8.9 × 10(-3), RMSE = 28.89 ± 0.84%). This demonstrates that normalization may not be required and develops a foundation for individual baseline-free ABVS prediction."
2023 Dec 21,Scientific data,Sci Data. 2023 Dec 21;10(1):924. doi: 10.1038/s41597-023-02840-6.,"['Scherpereel, Keaton', 'Molinaro, Dean', 'Inan, Omer', 'Shepherd, Max', 'Young, Aaron']","['humans', 'biomechanical phenomena', 'electromyography', 'lower extremity', ' muscle, skeletal', ' wearable electronic devices']",A human lower-limb biomechanics and wearable sensors dataset during cyclic and non-cyclic activities.,"Tasks of daily living are often sporadic, highly variable, and asymmetric. Analyzing these real-world non-cyclic activities is integral for expanding the applicability of exoskeletons, protheses, wearable sensing, and activity classification to real life, and could provide new insights into human biomechanics. Yet, currently available biomechanics datasets focus on either highly consistent, continuous, and symmetric activities, such as walking and running, or only a single specific non-cyclic task. To capture a more holistic picture of lower limb movements in everyday life, we collected data from 12 participants performing 20 non-cyclic activities (e.g. sit-to-stand, jumping, squatting, lunging, cutting) as well as 11 cyclic activities (e.g. walking, running) while kinematics (motion capture and IMUs), kinetics (force plates), and electromyography (EMG) were collected. This dataset provides normative biomechanics for a highly diverse range of activities and common tasks from a consistent set of participants and sensors."
2023,Annals of depression and anxiety,Ann Depress Anxiety. 2023;10(1):1117. Epub 2023 Aug 2.,"['Bremner, J Douglas', 'Gazi, Asim H', 'Lambert, Tamara P', 'Nawar, Afra', 'Harrison, Anna B', 'Welsh, Justine W', 'Vaccarino, Viola', 'Walton, Kevin M', 'Jaquemet, Nora', 'Mermin-Bunnell, Kellen', 'Mesfin, Hewitt', 'Gray, Trinity A', 'Ross, Keyatta', 'Saks, Georgia', 'Tomic, Nikolina', 'Affadzi, Danner', 'Bikson, Marom', 'Shah, Amit J', 'Dunn, Kelly E', 'Giordano, Nicholas A', 'Inan, Omer T']",[],Noninvasive Vagal Nerve Stimulation for Opioid Use Disorder.,"BACKGROUND: Opioid Use Disorder (OUD) is an escalating public health problem with over 100,000 drug overdose-related deaths last year most of them related to opioid overdose, yet treatment options remain limited. Non-invasive Vagal Nerve Stimulation (nVNS) can be delivered via the ear or the neck and is a non-medication alternative to treatment of opioid withdrawal and OUD with potentially widespread applications. METHODS: This paper reviews the neurobiology of opioid withdrawal and OUD and the emerging literature of nVNS for the application of OUD. Literature databases for Pubmed, Psychinfo, and Medline were queried for these topics for 1982-present. RESULTS: Opioid withdrawal in the context of OUD is associated with activation of peripheral sympathetic and inflammatory systems as well as alterations in central brain regions including anterior cingulate, basal ganglia, and amygdala. NVNS has the potential to reduce sympathetic and inflammatory activation and counter the effects of opioid withdrawal in initial pilot studies. Preliminary studies show that it is potentially effective at acting through sympathetic pathways to reduce the effects of opioid withdrawal, in addition to reducing pain and distress. CONCLUSIONS: NVNS shows promise as a non-medication approach to OUD, both in terms of its known effect on neurobiology as well as pilot data showing a reduction in withdrawal symptoms as well as physiological manifestations of opioid withdrawal."
2024 Apr,Psychophysiology,Psychophysiology. 2024 Apr;61(4):e14488. doi: 10.1111/psyp.14488. Epub 2023 Nov ,"['Sheikh, Shafa-At Ali', 'Shah, Amit J', 'Bremner, J Douglas', 'Vaccarino, Viola', 'Inan, Omer T', 'Clifford, Gari D', 'Rad, Ali Bahrami']","['humans', 'male', ' stress disorders, post-traumatic diagnosis', 'electric impedance', 'mental recall physiology', 'twins', ' heart failure', ' veterans psychology', 'post-traumatic stress disorder', 'cardiac contractility indices', 'heart failure', 'impedance cardiogram', 'trauma recall']",Impedance cardiogram based exploration of cardiac mechanisms in post-traumatic stress disorder during trauma recall.,"Post-traumatic stress disorder (PTSD) is an independent risk factor for developing heart failure; however, the underlying cardiac mechanisms are still elusive. This study aims to evaluate the real-time effects of experimentally induced PTSD symptom activation on various cardiac contractility and autonomic measures. We recorded synchronized electrocardiogram and impedance cardiogram from 137 male veterans (17 PTSD, 120 non-PTSD; 48 twin pairs, 41 unpaired singles) during a laboratory-based traumatic reminder stressor. To identify the parameters describing the cardiac mechanisms by which trauma reminders can create stress on the heart, we utilized a feature selection mechanism along with a random forest classifier distinguishing PTSD and non-PTSD. We extracted 99 parameters, including 76 biosignal-based and 23 sociodemographic, medical history, and psychiatric diagnosis features. A subject/twin-wise stratified nested cross-validation procedure was used for parameter tuning and model assessment to identify the important parameters. The identified parameters included biomarkers such as pre-ejection period, acceleration index, velocity index, Heather index, and several physiology-agnostic features. These identified parameters during trauma recall suggested a combination of increased sympathetic nervous system (SNS) activity and deteriorated cardiac contractility that may increase the heart failure risk for PTSD. This indicates that the PTSD symptom activation associates with real-time reductions in several cardiac contractility measures despite SNS activation. This finding may be useful in future cardiac prevention efforts."
2023,Frontiers in neuroscience,Front Neurosci. 2023 Sep 7;17:1213982. doi: 10.3389/fnins.2023.1213982. ,"['Sanchez-Perez, Jesus Antonio', 'Gazi, Asim H', 'Rahman, Farhan N', 'Seith, Alexis', 'Saks, Georgia', 'Sundararaj, Srirakshaa', 'Erbrick, Rachel', 'Harrison, Anna B', 'Nichols, Christopher J', 'Modak, Mihir', 'Chalumuri, Yekanth R', 'Snow, Teresa K', 'Hahn, Jin-Oh', 'Inan, Omer T']","['median nerve stimulation', 'vagus nerve stimulation', 'multimodal sensing', 'non-invasive', 'physiological signals', 'stress']",Transcutaneous auricular Vagus Nerve Stimulation and Median Nerve Stimulation reduce acute stress in young healthy adults: a single-blind sham-controlled crossover study.,"Stress is a major determinant of health and wellbeing. Conventional stress management approaches do not account for the daily-living acute changes in stress that affect quality of life. The combination of physiological monitoring and non-invasive Peripheral Nerve Stimulation (PNS) represents a promising technological approach to quantify stress-induced physiological manifestations and reduce stress during everyday life. This study aimed to evaluate the effectiveness of three well-established transcutaneous PNS modalities in reducing physiological manifestations of stress compared to a sham: auricular and cervical Vagus Nerve Stimulation (taVNS and tcVNS), and Median Nerve Stimulation (tMNS). Using a single-blind sham-controlled crossover study with four visits, we compared the stress mitigation effectiveness of taVNS, tcVNS, and tMNS, quantified through physiological markers derived from five physiological signals peripherally measured on 19 young healthy volunteers. Participants underwent three acute mental and physiological stressors while receiving stimulation. Blinding effectiveness was assessed via subjective survey. taVNS and tMNS relative to sham resulted in significant changes that suggest a reduction in sympathetic outflow following the acute stressors: Left Ventricular Ejection Time Index (LVETI) shortening (tMNS: p = 0.007, taVNS: p = 0.015) and Pre-Ejection Period (PEP)-to-LVET ratio (PEP/LVET) increase (tMNS: p = 0.044, taVNS: p = 0.029). tMNS relative to sham also reduced Pulse Pressure (PP; p = 0.032) and tonic EDA activity (tonicMean; p = 0.025). The nonsignificant blinding survey results suggest these effects were not influenced by placebo. taVNS and tMNS effectively reduced stress-induced sympathetic arousal in wearable-compatible physiological signals, motivating their future use in novel personalized stress therapies to improve quality of life."
2023 Dec 1,Journal of affective disorders,J Affect Disord. 2023 Dec 1;342:85-90. doi: 10.1016/j.jad.2023.09.015. Epub 2023 ,"['Moazzami, Kasra', 'Pearce, Bradley D', 'Gurel, Nil Z', 'Wittbrodt, Matthew T', 'Levantsevych, Oleksiy M', 'Huang, Minxuan', 'Shandhi, Md Mobashir H', 'Herring, Isaias', 'Murrah, Nancy', 'Driggers, Emily', 'Alkhalaf, MhmtJamil L', 'Soudan, Majd', 'Shallenberger, Lucy', 'Hankus, Allison N', 'Nye, Jonathon A', 'Vaccarino, Viola', 'Shah, Amit J', 'Inan, Omer T', 'Bremner, J Douglas']","['humans', 'ghrelin', ' vagus nerve stimulation methods', 'vagus nerve physiology', 'autonomic nervous system', ' transcutaneous electric nerve stimulation methods', 'psychophysiologic disorders', 'ghrelin', 'stress', 'transcutaneous cervical vagus nerve stimulation']","Transcutaneous vagal nerve stimulation modulates stress-induced plasma ghrelin levels: A double-blind, randomized, sham-controlled trial.","BACKGROUND: Transcutaneous cervical vagus nerve stimulation (tcVNS) has emerged as a potential treatment strategy for patients with stress-related psychiatric disorders. Ghrelin is a hormone that has been postulated to be a biomarker of stress. While the mechanisms of action of tcVNS are unclear, we hypothesized that tcVNS reduces the levels of ghrelin in response to stress. METHODS: Using a randomized double-blind approach, we studied the effects of tcVNS on ghrelin levels in individuals with a history of exposure to traumatic stress. Participants received either sham (n = 29) or active tcVNS (n = 26) after exposure to acute personalized traumatic script stress and mental stress challenges (public speech, mental arithmetic) over a three day period. RESULTS: There were no significant differences in the levels of ghrelin between the tcVNS and sham stimulation groups at either baseline or in the absence of trauma scripts. However, tcVNS in conjunction with personalized traumatic scripts resulted in lower ghrelin levels compared to the sham stimulation group (265.2 ± 143.6 pg/ml vs 478.7 ± 349.2 pg/ml, P = 0.01). Additionally, after completing the public speaking and mental arithmetic tests, ghrelin levels were found to be lower in the group receiving tcVNS compared to the sham group (293.3 ± 102.4 pg/ml vs 540.3 ± 203.9 pg/ml, P = 0.009). LIMITATIONS: Timing of ghrelin measurements, and stimulation of only left vagus nerve. CONCLUSION: tcVNS decreases ghrelin levels in response to various stressful stimuli. These findings are consistent with a growing literature that tcVNS modulates hormonal and autonomic responses to stress."
2023 Oct 15,Journal of affective disorders,J Affect Disord. 2023 Oct 15;339:418-425. doi: 10.1016/j.jad.2023.07.025. Epub ,"['Choudhary, Tilendra', 'Elliott, Marcus', 'Euliano, Neil R', 'Gurel, Nil Z', 'Rivas, Amanda G', 'Wittbrodt, Matthew T', 'Vaccarino, Viola', 'Shah, Amit J', 'Inan, Omer T', 'Bremner, J Douglas']","['humans', ' stress disorders, post-traumatic epidemiology', 'memory, short-term', 'pilot projects', ' vagus nerve stimulation', 'longitudinal studies', 'quality of life', 'vagus nerve', 'n-back test', 'ptsd', 'paragraph recall', 'stress', 'working memory']",Effect of transcutaneous cervical vagus nerve stimulation on declarative and working memory in patients with Posttraumatic Stress Disorder (PTSD): A pilot study.,"BACKGROUND: Posttraumatic stress disorder (PTSD) is associated with changes in multiple neurophysiological systems, including verbal declarative memory deficits. Vagus Nerve Stimulation (VNS) has been shown in preliminary studies to enhance function when paired with cognitive and motor tasks. The purpose of this study was to analyze the effect of transcutaneous cervical VNS (tcVNS) on attention, declarative and working memory in PTSD patients. METHODS: Fifteen PTSD patients were randomly assigned to active tcVNS (N = 8) or sham (N = 7) stimulation in a double-blinded fashion. Memory assessment tests including paragraph recall and N-back tests were performed to assess declarative and working memory function when paired with active/sham tcVNS once per month in a longitudinal study during which patients self-administered tcVNS/sham twice daily. RESULTS: Active tcVNS stimulation resulted in a significant improvement in paragraph recall performance following pairing with paragraph encoding for PTSD patients at two months (p < 0.05). It resulted in a 91 % increase in paragraph recall performance within group (p = 0.03), while sham tcVNS exhibited no such trend in performance improvement. In the N-back study, positive deviations in accuracy, precision and recall measures on different day visits (7,34,64,94) of patients with respect to day 1 revealed a pattern of better performance of the active tcVNS population compared to sham VNS which did not reach statistical significance. LIMITATIONS: Our sample size was small. CONCLUSIONS: These preliminary results suggest that tcVNS improves attention, declarative and working memory, which may improve quality of life and productivity for patients with PTSD. Future studies are required to confirm these results."
2023 Jun 20,Pediatric rheumatology online journal,Pediatr Rheumatol Online J. 2023 Jun 20;21(1):59. doi: ,"['Goossens, Quentin', 'Locsin, Miguel', 'Gharehbaghi, Sevda', 'Brito, Priya', 'Moise, Emily', 'Ponder, Lori A', 'Inan, Omer T', 'Prahalad, Sampath']","['child', 'humans', ' arthritis, juvenile diagnosis', 'biomarkers', ' knee joint', 'roc curve', 'sensitivity and specificity', 'machine learning', 'digital biomarker', 'joint acoustic emissions', 'juvenile idiopathic arthritis', 'knee joint health', 'supervised machine learning']",Knee acoustic emissions as a noninvasive biomarker of articular health in patients with juvenile idiopathic arthritis: a clinical validation in an extended study population.,"BACKGROUND: Joint acoustic emissions from knees have been evaluated as a convenient, non-invasive digital biomarker of inflammatory knee involvement in a small cohort of children with Juvenile Idiopathic Arthritis (JIA). The objective of the present study was to validate this in a larger cohort. FINDINGS: A total of 116 subjects (86 JIA and 30 healthy controls) participated in this study. Of the 86 subjects with JIA, 43 subjects had active knee involvement at the time of study. Joint acoustic emissions were bilaterally recorded, and corresponding signal features were used to train a machine learning algorithm (XGBoost) to classify JIA and healthy knees. All active JIA knees and 80% of the controls were used as training data set, while the remaining knees were used as testing data set. Leave-one-leg-out cross-validation was used for validation on the training data set. Validation on the training and testing set of the classifier resulted in an accuracy of 81.1% and 87.7% respectively. Sensitivity / specificity for the training and testing validation was 88.6% / 72.3% and 88.1% / 83.3%, respectively. The area under the curve of the receiver operating characteristic curve was 0.81 for the developed classifier. The distributions of the joint scores of the active and inactive knees were significantly different. CONCLUSION: Joint acoustic emissions can serve as an inexpensive and easy-to-use digital biomarker to distinguish JIA from healthy controls. Utilizing serial joint acoustic emission recordings can potentially help monitor disease activity in JIA affected joints to enable timely changes in therapy."
2023 Mar,JACC. Advances,JACC Adv. 2023 Mar;2(2):100267. doi: 10.1016/j.jacadv.2023.100267. Epub 2023 Mar ,"['Tandon, Animesh', 'Nguyen, Hoang H', 'Avula, Sravani', 'Seshadri, Dhruv R', 'Patel, Akash', 'Fares, Munes', 'Baloglu, Orkun', 'Amdani, Shahnawaz', 'Jafari, Roozbeh', 'Inan, Omer T', 'Drummond, Colin K']","['artificial intelligence', 'congenital heart disease', 'wearable biosensors', 'wearables']",Wearable Biosensors in Congenital Heart Disease: Needs to Advance the Field.,"Traditional measures of clinical status and physiology have generally been based in health care settings, episodic, short in duration, and performed at rest. Wearable biosensors provide an opportunity to obtain continuous non-invasive physiologic data from patients with congenital heart disease (CHD) in the real-world setting, over longer durations, and across varying levels of activity. However, there are significant technical limitations to the use of wearable biosensors in CHD. Here, we review current applications of wearable biosensors in CHD; how clinical and research uses of wearable biosensors must consider various CHD physiologies; the technical challenges in developing wearable biosensors for CHD; and special considerations for digital biomarkers in CHD."
