time,journal,doi_info,authors,key words,title,abstract
2024 Feb,Academic radiology,Acad Radiol. 2024 Feb;31(2):431-437. doi: 10.1016/j.acra.2023.12.041.,"['Tridandapani, Srini', 'Smith, Andrew', 'Bhatti, Pamela']","['commerce', ' entrepreneurship', ' radiology economics']",Nine Steps in the Entrepreneurial Journey for Academic Radiologists.,"In this article, we explore the nine steps that we have found to be critical for success in our journeys in taking ideas in imaging to commercial products. These nine steps include 1) findings ideas that resonate, 2) protecting your intellectual property, 3) developing a great team that shares in the vision for the product, 4) building a low-fidelity prototype, 5) customer discovery to test your business hypothesis, 6) forming a company, 7) serving on a study section as a prelude to 8) seeking non-dilutive funding, and finally, 9) angel/venture funding."
2023 Oct,Journal of digital imaging,J Digit Imaging. 2023 Oct;36(5):1954-1964. doi: 10.1007/s10278-023-00796-y. Epub ,"['Wick, Carson A', 'Tridandapani, Srini', 'Heilbrun, Marta E', 'Hanna, Tarek', 'Safdar, Nabile', 'Bhatti, Pamela']","['humans', ' point-of-care systems', ' change management', 'radiography', 'photography', 'informatics']",Lessons Learned in Change Management in Deploying Novel Informatics Solutions: Experience Implementing a Point-of-Care Patient Photography System with Radiography.,"We describe implementation of a point-of-care system for simultaneous acquisition of patient photographs along with portable radiographs at a large academic hospital. During the implementation process, we observed several technical challenges in the areas of (1) hardware-automatic triggering for photograph acquisition, camera hardware enclosure, networking, and system server hardware and (2) software-post-processing of photographs. Additionally, we also faced cultural challenges involving workflow issues, communication with technologists and users, and system maintenance. We describe our solutions to address these challenges. We anticipate that these experiences will provide useful insights into deploying and iterating new technologies in imaging informatics."
2023 Aug,Journal of investigative medicine : the official publication of the American ,J Investig Med. 2023 Aug;71(6):577-585. doi: 10.1177/10815589231168601. Epub 2023 ,"['McGee, Robin E', 'Blumberg, Henry M', 'Ziegler, Thomas R', 'Ofotokun, Ighovwerha', 'Bhatti, Pamela T', 'Paulsen, Douglas F', 'Quarshie, Alexander', 'Somanath, Payaningal R', 'Comeau, Dawn L']","['humans', ' mentors', 'georgia', ' translational science, biomedical', 'program evaluation', 'faculty', 'kl2', 'mentor training', 'culturally aware mentoring', 'evaluation', 'faculty development']",Mentor training for junior faculty: a brief evaluation report from the Georgia Clinical and Translational Science Alliance.,"To provide a foundation for mentoring, junior faculty participated in a mentor training workshop informed by the Mentoring Clinical and Translational Researchers curriculum. The goal was to develop skills and behaviors that engender more rewarding and inclusive mentoring practices. Attendees responded to baseline and follow-up surveys assessing perceived mentoring skills. Follow-up surveys included closed- and open-ended questions about the value and satisfaction of the training, and intended behavior changes. Junior faculty respondents (n = 39) reported significantly higher overall mentoring skills after the training (t = -2.6, p = 0.012) with a medium effect size (Cohen's D = 0.59). Domains with statistically significant improvement from baseline to follow-up included aligning mentor-mentee expectations and assessing understanding. Thirty-eighty (97%) found the training valuable, and 32 (82%) indicated they would change mentoring-related behaviors because of the training. Intended behavior changes described in open-ended responses aligned with mentoring skills assessed (e.g., aligning expectations). An additional competency domain of evaluating mentoring relationships was also described. A mentor training workshop for junior faculty appeared to contribute to changes in mentoring skills and intended behaviors. Mentor training has the potential to enhance mentorship, which is critical to strengthening a diverse pipeline of clinical and translational science researchers."
2021 May-Jun,IEEE potentials,IEEE Potentials. 2021 May-Jun;40(3):10-13. doi: 10.1109/mpot.2021.3055198. Epub ,"['Bhatti, Pamela', 'Tridandapani, Srini']",[],Academic Entrepreneurship.,
2021 Nov,Journal of medical imaging and radiation sciences,J Med Imaging Radiat Sci. 2021 Nov;52(3S):S1-S11. doi: ,"['Tridandapani, Srini', 'Banait-Deshmane, Swati', 'Aziz, Muhammad Usman', 'Bhatti, Pamela', 'Singh, Satinder P']","[' computed tomography angiography', 'coronary angiography', 'heart', 'humans', 'radiation dosage', ' tomography, x-ray computed', 'ct artifacts', 'ct protocols', 'cardiac ct', 'coronary ct angiography', 'ekg gating']","Coronary computed tomographic angiography: A review of the techniques, protocols, pitfalls, and radiation dose.","Coronary computed tomographic angiography (CCTA) is a viable alternative to catheter coronary angiography for several clinical indications, chiefly because it is fast and non-invasive. For effective clinical use of CCTA, various technical and patient factors should be considered. In this brief review article, we discuss the indication and contraindications for CCTA, technical requirements for CCTA including radiation dose, patient preparation principles, image post-processing, and pitfalls and artifacts of CCTA."
2020 Dec 7,Journal of clinical and translational science,J Clin Transl Sci. 2020 Dec 7;5(1):e66. doi: 10.1017/cts.2020.561.,"['Nearing, Kathryn', 'Rainwater, Julie', 'Neves, Stacey', 'Bhatti, Pamela', 'Conway, Bruce', 'Hafer, Nathaniel', 'Harter, Kevin', 'Kenyon, Nicholas', 'McManus, Margaret M', 'McNeal, Demetria M', 'Morrato, Elaine H', 'Rajguru, Suhrud M', 'Wasko, Molly']","['innovation corps (i-corps)', 'evaluation', 'innovation', 'research commercialization', 'training']",I-Corps@NCATS trains clinical and translational science teams to accelerate translation of research innovations into practice.,"INTRODUCTION: A key barrier to translation of biomedical research discoveries is a lack of understanding among scientists regarding the complexity and process of implementation. To address this challenge, the National Science Foundation's Innovation Corps™ (I-Corps™) program trains researchers in entrepreneurship. We report results from the implementation of an I-Corps™ training program aimed at biomedical scientists from institutions funded by the National Center for Advancing Translational Sciences (NCATS). METHODS: National/regional instructors delivered 5-week I-Corps@NCATS short courses to 62 teams (150 individuals) across six institutions. Content included customer discovery, value proposition, and validating needs. Teams interviewed real-life customers and presented the value of innovations for specific end-users weekly, culminating in a ""Finale"" featuring their refined business thesis and business model canvas. Methodology was developed to evaluate the newly adapted program. National mixed-methods evaluation assessed program implementation, reach, effectiveness using observations of training delivery and surveys at Finale (n = 55 teams), and 3-12 months post-training (n = 34 teams). RESULTS: Innovations related to medical devices (33%), drugs/biologics (20%), software applications (16%), and diagnostics (8%). An average of 24 interviews was conducted. Teams reported increased readiness for commercialization over time (83%, 9 months; 14%, 3 months). Thirty-nine percent met with institutional technology transfer to pursue licensing/patents and 24% pursued venture capital/investor funding following the short courses. CONCLUSIONS: I-Corps@NCATS training provided the NCATS teams a rigorous and repeatable process to aid development of a business model based on customer needs. Outcomes of this pilot program support the expansion of I-Corps™ training to biomedical scientists for accelerating research translation."
2020 Oct 26,"Sensors (Basel, Switzerland)",Sensors (Basel). 2020 Oct 26;20(21):6087. doi: 10.3390/s20216087.,"['Sarreal, Ressa Reneth', 'Bhatti, Pamela']","['acoustic stimulation', 'aerosols', 'cochlea', ' cochlear implants', ' deafness', 'electric stimulation', 'humans', ' miniaturization', ' nanoparticles', 'printing, three-dimensional', 'silver', 'aerosol jet printing', 'cochlear stimulation', 'microcoil', 'sensor applications']",Characterization and Miniaturization of Silver-Nanoparticle Microcoil via Aerosol Jet Printing Techniques for Micromagnetic Cochlear Stimulation.,"According to the National Institute of Deafness and other Communication Disorders 2012 report, the number of cochlear implant ("
2020 Jan,AJR. American journal of roentgenology,AJR Am J Roentgenol. 2020 Jan;214(1):68-71. doi: 10.2214/AJR.19.21719. Epub 2019 ,"['Tridandapani, Srini', 'Bhatti, Pamela', 'Krupinski, Elizabeth', 'Safdar, Nabile', 'Wick, Carson']","['humans', ' photography', ' point-of-care systems', ' radiography', 'hipaa', 'patient photographs', 'patient safety', 'quality', 'visible light imaging', 'wrong-patient errors']",Initial Experience With Patient Visible Light Images Obtained Simultaneously With Portable Radiographs.,"OBJECTIVE. Visible light images in the form of point-of-care photographs obtained at the time of medical imaging can be useful for detecting wrong-patient errors and providing image-related clinical context. Our goal was to implement a system to automatically obtain point-of-care patient photographs along with portable radiographs. CONCLUSION. We discuss one academic medical center's initial experience in integrating the system into the clinical workflow and initial use cases ranging from cardiothoracic and abdominal imaging to musculoskeletal imaging, for which such point-of-care photographs were deemed clinically beneficial."
2019 Sep-Oct,Radiographics : a review publication of the Radiological Society of North ,Radiographics. 2019 Sep-Oct;39(5):1356-1367. doi: 10.1148/rg.2019180198.,"['Tridandapani, Srini', 'Bhatti, Pamela', 'Brown, Richard K J', 'Krupinski, Elizabeth A', 'Safdar, Nabile M', 'Siegel, Eliot L', 'Wick, Carson A']","['diagnostic errors  prevention & control', 'female', 'georgia', 'humans', 'male', ' patient identification systems', ' photography', 'point-of-care systems', 'quality assurance, health care', 'radiology department, hospital  organization & administration', 'radiology information systems  organization & administration']",Interpreting Radiographs with Concurrently Obtained Patient Photographs.,"A technology for automatically obtaining patient photographs along with portable radiographs was implemented clinically at a large academic hospital. This article highlights several cases in which image-related clinical context, provided by the patient photographs, provided quality control information regarding patient identification, laterality, or position and assisted the radiologist with the interpretation. The information in the photographs can easily minimize unnecessary calls to the patient's nursing staff for clarifications and can lead to new methods of physically assessing patients. Published under a CC BY 4.0 license."
2018 Feb,Journal of clinical and translational science,J Clin Transl Sci. 2018 Feb;2(1):38-47. doi: 10.1017/cts.2018.19. Epub 2018 Jul ,"['Comeau, Dawn L', 'Alvarez, Jessica A', 'Bhatti, Pamela', 'Paulsen, Douglas F', 'Quarshie, Alexander', 'Escoffery, Cam', 'Ofotokun, Igho', 'Eisen, Hannah', 'Ziegler, Thomas R', 'Blumberg, Henry M']","['translational research', 'education', 'evaluation', 'mentorship', 'training']",Building Diverse Careers in Clinical and Translational Research: Evaluation of a Certificate Program in Translational Research.,"INTRODUCTION: The Certificate Program in Translational Research (CPTR) at the Georgia Clinical and Translational Science Alliance provides PhD students, post-doctoral fellows and faculty with didactic, mentored, and experiential training in clinical and translational research. METHODS: Quantitative evaluation includes tracking trainee competency, publications, grants and careers in clinical and translational research. Qualitative evaluation includes interviews with trainees about program experiences. RESULTS: The CPTR provided knowledge and skills in clinical and translational research through coursework, clinical rotation, and collaboration with interdisciplinary scientists. Trainees reported increased confidence in 22 program competencies. Trainees have published more than 290 peer-reviewed articles and received over four million dollars in grants from the NIH, over $15 from the U.S. Department of Defense, and more than $300,000 from foundations. Trainees who completed the program remained in clinical and translational research. CONCLUSIONS: Programs like the CPTR are needed to train investigators to advance biomedical discoveries into population health."
