time,journal,doi_info,authors,key words,title,abstract
2024 Feb,PLoS computational biology,PLoS Comput Biol. 2024 Feb 28;20(2):e1011866. doi: 10.1371/journal.pcbi.1011866. ,"['Lim, Hong Seo', 'Qiu, Peng']","['sequence analysis, rna', ' single-cell gene expression analysis', ' single-cell analysis', 'algorithms', 'cluster analysis', 'gene expression profiling']",Quantifying the clusterness and trajectoriness of single-cell RNA-seq data.,"Among existing computational algorithms for single-cell RNA-seq analysis, clustering and trajectory inference are two major types of analysis that are routinely applied. For a given dataset, clustering and trajectory inference can generate vastly different visualizations that lead to very different interpretations of the data. To address this issue, we propose multiple scores to quantify the ""clusterness"" and ""trajectoriness"" of single-cell RNA-seq data, in other words, whether the data looks like a collection of distinct clusters or a continuum of progression trajectory. The scores we introduce are based on pairwise distance distribution, persistent homology, vector magnitude, Ripley's K, and degrees of connectivity. Using simulated datasets, we demonstrate that the proposed scores are able to effectively differentiate between cluster-like data and trajectory-like data. Using real single-cell RNA-seq datasets, we demonstrate the scores can serve as indicators of whether clustering analysis or trajectory inference is a more appropriate choice for biological interpretation of the data."
2024 Jan 30,Nature communications,Nat Commun. 2024 Jan 30;15(1):912. doi: 10.1038/s41467-024-45227-w.,"['Zhang, Ziqi', 'Zhao, Xinye', 'Bindra, Mehak', 'Qiu, Peng', 'Zhang, Xiuwei']","['sequence analysis, rna methods', ' algorithms', ' single-cell analysis methods', 'exome sequencing', 'rna', 'gene expression profiling methods']",scDisInFact: disentangled learning for integration and prediction of multi-batch multi-condition single-cell RNA-sequencing data.,"Single-cell RNA-sequencing (scRNA-seq) has been widely used for disease studies, where sample batches are collected from donors under different conditions including demographic groups, disease stages, and drug treatments. It is worth noting that the differences among sample batches in such a study are a mixture of technical confounders caused by batch effect and biological variations caused by condition effect. However, current batch effect removal methods often eliminate both technical batch effect and meaningful condition effect, while perturbation prediction methods solely focus on condition effect, resulting in inaccurate gene expression predictions due to unaccounted batch effect. Here we introduce scDisInFact, a deep learning framework that models both batch effect and condition effect in scRNA-seq data. scDisInFact learns latent factors that disentangle condition effect from batch effect, enabling it to simultaneously perform three tasks: batch effect removal, condition-associated key gene detection, and perturbation prediction. We evaluate scDisInFact on both simulated and real datasets, and compare its performance with baseline methods for each task. Our results demonstrate that scDisInFact outperforms existing methods that focus on individual tasks, providing a more comprehensive and accurate approach for integrating and predicting multi-batch multi-condition single-cell RNA-sequencing data."
2023 Aug 24,The journal of physical chemistry. B,J Phys Chem B. 2023 Aug 24;127(33):7416. doi: 10.1021/acs.jpcb.3c05167. Epub 2023 ,"['Poorna, Rajas', 'Chen, Wei-Wen', 'Germond, Arno', 'Qiu, Peng', 'Cicerone, Marcus T']",[],"Correction to ""Toward Gene-Correlated Spatially Resolved Metabolomics with Fingerprint Coherent Raman Imaging"".",
2023 Jul 19,Communications biology,Commun Biol. 2023 Jul 19;6(1):749. doi: 10.1038/s42003-023-04790-6.,"['Hymel, Lauren A', 'Anderson, Shannon E', 'Turner, Thomas C', 'York, William Y', 'Zhang, Hongmanlin', 'Liversage, Adrian R', 'Lim, Hong Seo', 'Qiu, Peng', 'Mortensen, Luke J', 'Jang, Young C', 'Willett, Nick J', 'Botchwey, Edward A']","['mice', 'animals', ' muscle, skeletal pathology', 'regeneration', ' muscular diseases pathology therapy', 'regenerative medicine', 'collagen']",Identifying dysregulated immune cell subsets following volumetric muscle loss with pseudo-time trajectories.,"Volumetric muscle loss (VML) results in permanent functional deficits and remains a substantial regenerative medicine challenge. A coordinated immune response is crucial for timely myofiber regeneration, however the immune response following VML has yet to be fully characterized. Here, we leveraged dimensionality reduction and pseudo-time analysis techniques to elucidate the cellular players underlying a functional or pathological outcome as a result of subcritical injury or critical VML in the murine quadriceps, respectively. We found that critical VML resulted in a sustained presence of M2-like and CD206(hi)Ly6C(hi) 'hybrid' macrophages whereas subcritical defects resolved these populations. Notably, the retained M2-like macrophages from critical VML injuries presented with aberrant cytokine production which may contribute to fibrogenesis, as indicated by their co-localization with fibroadipogenic progenitors (FAPs) in areas of collagen deposition within the defect. Furthermore, several T cell subpopulations were significantly elevated in critical VML compared to subcritical injuries. These results demonstrate a dysregulated immune response in critical VML that is unable to fully resolve the chronic inflammatory state and transition to a pro-regenerative microenvironment within the first week after injury. These data provide important insights into potential therapeutic strategies which could reduce the immune cell burden and pro-fibrotic signaling characteristic of VML."
2023 Oct 8,"Stem cells (Dayton, Ohio)",Stem Cells. 2023 Oct 8;41(10):944-957. doi: 10.1093/stmcls/sxad055.,"['Wang, Zhengqi', 'Emmel, Grace', 'Lim, Hong Seo', 'Zhu, Wandi', 'Kosters, Astrid', 'Ghosn, Eliver E B', 'Qiu, Peng', 'Bunting, Kevin D']","['mice', 'animals', ' stat5 transcription factor genetics metabolism', 'mice, knockout', ' hematopoiesis genetics', 'hematopoietic stem cells metabolism', 'bone marrow metabolism', 'mice, transgenic', 'stem cell niche physiology', 'bone marrow niche factors', 'cytokine signaling', 'hematopoiesis', 'mesenchymal stem cell', 'signal transducer and activator of transcription-5', 'single-cell rna sequencing']",Stromal STAT5-Mediated Trophic Activity Regulates Hematopoietic Niche Factors.,"Signal transducer and activator of transcription 5 (STAT5a and STAT5b) are intrinsically critical for normal hematopoiesis but are also expressed in stromal cells. Here, STAT5ab knockout (KO) was generated with a variety of bone marrow hematopoietic and stromal Cre transgenic mouse strains. Vav1-Cre/+STAT5abfl/fl, the positive control for loss of multipotent hematopoietic function, surprisingly dysregulated niche factor mRNA expression, and deleted STAT5ab in CD45neg cells. Single-cell transcriptome analysis of bone marrow from Vav1-Cre/+ wild-type or Vav1-Cre/+STAT5abfl/fl mice showed hematopoietic stem cell (HSC) myeloid commitment priming. Nes+ cells were detected in both CD45neg and CD45+ clusters and deletion of STAT5ab with Nes-Cre caused hematopoietic repopulating defects. To follow up on these promiscuous Cre promoter deletions in CD45neg and CD45+ bone marrow cell populations, more stroma-specific Cre strains were generated and demonstrated a reduction in multipotent hematopoietic progenitors. Functional support for niche-supporting activity was assessed using STAT5-deficient mesenchymal stem cells (MSCs). With Lepr-Cre/+STAT5abfl/fl, niche factor mRNAs were downregulated with validation of reduced IGF-1 and CXCL12 proteins. Furthermore, advanced computational analyses revealed a key role for STAT5ab/Cish balance with Cish strongly co-expressed in MSCs and HSCs primed for differentiation. Therefore, STAT5ab-associated gene regulation supports the bone marrow microenvironment."
2023 Jun 29,The journal of physical chemistry. B,J Phys Chem B. 2023 Jun 29;127(25):5576-5587. doi: 10.1021/acs.jpcb.3c01446. Epub ,"['Poorna, Rajas', 'Chen, Wei-Wen', 'Qiu, Peng', 'Cicerone, Marcus T']","['animals', ' caenorhabditis elegans genetics', ' nonlinear optical microscopy', 'spectrum analysis, raman methods', 'metabolomics']",Toward Gene-Correlated Spatially Resolved Metabolomics with Fingerprint Coherent Raman Imaging.,"Raman spectroscopy has long been known to provide sufficient information to discriminate distinct cell phenotypes. Underlying this discriminating capability is that Raman spectra provide an overall readout of the metabolic profiles that change with transcriptomic activity. Robustly associating Raman spectral changes with the regulation of specific signaling pathways may be possible, but the spectral signals of interest may be weak and vary somewhat among individuals. Establishing a Raman-to-transcriptome mapping will thus require tightly controlled and easily manipulated biological systems and high-throughput spectral acquisition. We attempt to meet these requirements using broadband coherent anti-Stokes Raman scattering (BCARS) microscopy to spatio-spectrally map the C. elegans hermaphrodite gonad in vivo at subcellular resolution. The C. elegans hermaphrodite gonad is an ideal model system with a sequential, continuous process of highly regulated spatiotemporal cellular events. We demonstrate that the BCARS spatio-spectral signatures correlate with gene expression profiles in the gonad, evincing that BCARS has potential as a spatially resolved omics surrogate."
2023,Frontiers in bioinformatics,Front Bioinform. 2023 May 15;3:1120290. doi: 10.3389/fbinf.2023.1120290. ,"['Li, Xinling', 'Gibson, Greg', 'Qiu, Peng']","['10x', 'bulk rna-seq', 'comparison', 'data integration', 'dropouts', 'motif discovery', 'pathway analysis', 'single-cell rna sequencing']",Gene representation in scRNA-seq is correlated with common motifs at the 3' end of transcripts.,"One important characteristic of single-cell RNA sequencing (scRNA-seq) data is its high sparsity, where the gene-cell count data matrix contains high proportion of zeros. The sparsity has motivated widespread discussions on dropouts and missing data, as well as imputation algorithms of scRNA-seq analysis. Here, we aim to investigate whether there exist genes that are more prone to be under-detected in scRNA-seq, and if yes, what commonalities those genes may share. From public data sources, we gathered paired bulk RNA-seq and scRNA-seq data from 53 human samples, which were generated in diverse biological contexts. We derived pseudo-bulk gene expression by averaging the scRNA-seq data across cells. Comparisons of the paired bulk and pseudo-bulk gene expression profiles revealed that there indeed exists a collection of genes that are frequently under-detected in scRNA-seq compared to bulk RNA-seq. This result was robust to randomization when unpaired bulk and pseudo-bulk gene expression profiles were compared. We performed motif search to the last 350 bp of the identified genes, and observed an enrichment of poly(T) motif. The poly(T) motif toward the tails of those genes may be able to form hairpin structures with the poly(A) tails of their mRNA transcripts, making it difficult for their mRNA transcripts to be captured during scRNA-seq library preparation, which is a mechanistic conjecture of why certain genes may be more prone to be under-detected in scRNA-seq."
2023 May 2,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 May 2:2023.05.01.538975. doi: 10.1101/2023.05.01.538975.,"['Zhang, Ziqi', 'Zhao, Xinye', 'Qiu, Peng', 'Zhang, Xiuwei']",[],scDisInFact: disentangled learning for integration and prediction of multi-batch multi-condition single-cell RNA-sequencing data.,"Single-cell RNA-sequencing (scRNA-seq) has been widely used for disease studies, where sample batches are collected from donors under different conditions including demographical groups, disease stages, and drug treatments. It is worth noting that the differences among sample batches in such a study are a mixture of technical confounders caused by batch effect and the biological variations caused by condition effect. However, current batch effect removal methods often eliminate both technical batch effects and meaningful condition effects, while perturbation prediction methods solely focus on condition effects, resulting in inaccurate gene expression predictions due to unaccounted batch effects. Here we introduce scDisInFact, a deep learning framework that models both batch effect and condition effect in scRNA-seq data. scDisInFact learns latent factors that disentangle condition effects from batch effects, enabling it to simultaneously perform three tasks: batch effect removal, condition-associated key gene detection, and perturbation prediction. We evaluated scDisInFact on both simulated and real datasets, and compared its performance to baseline methods for each task. Our results demonstrate that scDisInFact outperforms existing methods that focus on individual tasks, providing a more comprehensive and accurate approach for integrating and predicting multi-batch multi-condition single-cell RNA-sequencing data."
2023 Jul,Journal of computational biology : a journal of computational molecular cell ,J Comput Biol. 2023 Jul;30(7):738-750. doi: 10.1089/cmb.2022.0366. Epub 2023 Apr ,"['Lim, Hong Seo', 'Qiu, Peng']","[' algorithms', ' single-cell analysis methods', 'shap', 'umap', 'single-cell data', 'visualization']",Quantifying Cell-Type-Specific Differences of Single-Cell Datasets Using Uniform Manifold Approximation and Projection for Dimension Reduction and Shapley Additive exPlanations.,"With rapid advances in single-cell profiling technologies, larger-scale investigations that require comparisons of multiple single-cell datasets can lead to novel findings. Specifically, quantifying cell-type-specific responses to different conditions across single-cell datasets could be useful in understanding how the difference in conditions is induced at a cellular level. In this study, we present a computational pipeline that quantifies cell-type-specific differences and identifies genes responsible for the differences. We quantify differences observed in a low-dimensional uniform manifold approximation and projection for dimension reduction space as a proxy for the difference present in the high-dimensional space and use SHapley Additive exPlanations to quantify genes driving the differences. In this study, we applied our algorithm to the Iris flower dataset, single-cell RNA sequencing dataset, and mass cytometry dataset and demonstrate that it can robustly quantify cell-type-specific differences and it can also identify genes that are responsible for the differences."
2023 Apr 21,iScience,iScience. 2023 Mar 13;26(4):106393. doi: 10.1016/j.isci.2023.106393. eCollection ,"['Young, Katherine M', 'Xu, Congmin', 'Ahkee, Kelly', 'Mezencev, Roman', 'Swingle, Steven P', 'Yu, Tong', 'Paikeday, Ava', 'Kim, Cathy', 'McDonald, John F', 'Qiu, Peng', 'Sulchek, Todd']","['association analysis', 'biomechanics', 'transcriptomics']",Correlating mechanical and gene expression data on the single cell level to investigate metastatic phenotypes.,"Stiffness has been observed to decrease for many cancer cell types as their metastatic potential increases. Although cell mechanics and metastatic potential are related, the underlying molecular factors associated with these phenotypes remain unknown. Therefore, we have developed a workflow to measure the mechanical properties and gene expression of single cells that is used to generate large linked-datasets. The process combines atomic force microscopy to measure the mechanics of individual cells with multiplexed RT-qPCR gene expression analysis on the same single cells. Surprisingly, the genes that most strongly correlated with mechanical properties were not cytoskeletal, but rather were markers of extracellular matrix remodeling, epithelial-to-mesenchymal transition, cell adhesion, and cancer stemness. In addition, dimensionality reduction analysis showed that cell clustering was improved by combining mechanical and gene expression data types. The single cell genomechanics method demonstrates how single cell studies can identify molecular drivers that could affect the biophysical processes underpinning metastasis."
