time,journal,doi_info,authors,key words,title,abstract
2024 Jun 5,Nature microbiology,Nat Microbiol. 2024 Jun 5. doi: 10.1038/s41564-024-01726-6.,"['Basu, Mausumi', 'Zurla, Chiara', 'Auroni, Tabassum T', 'Vanover, Daryll', 'Chaves, Lorena C S', 'Sadhwani, Heena', 'Pathak, Heather', 'Basu, Rahul', 'Beyersdorf, Jared P', 'Amuda, Oluwatomi O', 'Elsharkawy, Amany', 'Mosur, Varun', 'Arthur, Robert A', 'Claussen, Henry', 'Sasser, Loren E', 'Wroe, Jay A', 'Peck, Hannah E', 'Kumar, Mukesh', 'Brinton, Margo A', 'Santangelo, Philip J']",[],mRNA-encoded Cas13 can be used to treat dengue infections in mice.,"Dengue is a major global health threat, and there are no approved antiviral agents. Prior research using Cas13 only demonstrated dengue mitigation in vitro. Here we demonstrate that systemic delivery of mRNA-encoded Cas13a and guide RNAs formulated in lipid nanoparticles can be used to treat dengue virus (DENV) 2 and 3 in mice. First, we identified guides against DENV 2 and 3 that demonstrated in vitro efficacy. Next, we confirmed that Cas13 enzymatic activity is necessary for DENV 2 or DENV 3 mitigation in vitro. Last, we show that a single dose of lipid-nanoparticle-formulated mRNA-encoded Cas13a and guide RNA, administered 1 day post-infection, promotes survival of all infected animals and serum viral titre decreases on days 2 and 3 post-infection after lethal challenge in mice. Off-target analysis in mice using RNA sequencing showed no collateral cleavage. Overall, these data demonstrate the potential of mRNA-encoded Cas13 as a pan-DENV drug."
2024 May 2,Nature biomedical engineering,Nat Biomed Eng. 2024 May 2. doi: 10.1038/s41551-024-01211-9.,"['Wolfson, David W', 'Kim, Nam Kyun', 'Lee, Ki Hong', 'Beyersdorf, Jared P', 'Langberg, Jonathan J', 'Fernandez, Natasha', 'Choi, Dahim', 'Zureick, Nadine', 'Kim, Tae Yun', 'Bae, Seongho', 'Gu, Jin-Mo', 'Kirschman, Jonathan L', 'Fan, Jinqi', 'Sheng, Christina Y', 'Gottlieb Sen, Danielle', 'Mettler, Bret', 'Sung, Jung Hoon', 'Yoon, Young-Sup', 'Park, Sung-Jin', 'Santangelo, Philip J', 'Cho, Hee Cheol']",[],Transient pacing in pigs with complete heart block via myocardial injection of mRNA coding for the T-box transcription factor 18.,"The adenovirus-mediated somatic transfer of the embryonic T-box transcription factor 18 (TBX18) gene can convert chamber cardiomyocytes into induced pacemaker cells. However, the translation of therapeutic TBX18-induced cardiac pacing faces safety challenges. Here we show that the myocardial expression of synthetic TBX18 mRNA in animals generates de novo pacing and limits innate and inflammatory immune responses. In rats, intramyocardially injected mRNA remained localized, whereas direct myocardial injection of an adenovirus carrying a reporter gene resulted in diffuse expression and in substantial spillover to the liver, spleen and lungs. Transient expression of TBX18 mRNA in rats led to de novo automaticity and pacemaker properties and, compared with the injection of adenovirus, to substantial reductions in the expression of inflammatory genes and in activated macrophage populations. In rodent and clinically relevant porcine models of complete heart block, intramyocardially injected TBX18 mRNA provided rate-adaptive cardiac pacing for one month that strongly correlated with the animal's sinus rhythm and physical activity. TBX18 mRNA may aid the development of biological pacemakers."
2024 Mar 12,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2024 Mar 12;121(11):e2307801120. doi: ,"['Radmand, Afsane', 'Kim, Hyejin', 'Beyersdorf, Jared', 'Dobrowolski, Curtis N', 'Zenhausern, Ryan', 'Paunovska, Kalina', 'Huayamares, Sebastian G', 'Hua, Xuanwen', 'Han, Keyi', 'Loughrey, David', 'Hatit, Marine Z C', 'Del Cid, Ada', 'Ni, Huanzhen', 'Shajii, Aram', 'Li, Andrea', 'Muralidharan, Abinaya', 'Peck, Hannah E', 'Tiegreen, Karen E', 'Jia, Shu', 'Santangelo, Philip J', 'Dahlman, James E']","[' liver', ' stem cells', 'heart', 'cations', 'cholesterol', 'rna, messenger', 'lnp', 'barcoding', 'mrna', 'nanoparticle', 'scrna-seq']","Cationic cholesterol-dependent LNP delivery to lung stem cells, the liver, and heart.","Adding a cationic helper lipid to a lipid nanoparticle (LNP) can increase lung delivery and decrease liver delivery. However, it remains unclear whether charge-dependent tropism is universal or, alternatively, whether it depends on the component that is charged. Here, we report evidence that cationic cholesterol-dependent tropism can differ from cationic helper lipid-dependent tropism. By testing how 196 LNPs delivered mRNA to 22 cell types, we found that charged cholesterols led to a different lung:liver delivery ratio than charged helper lipids. We also found that combining cationic cholesterol with a cationic helper lipid led to mRNA delivery in the heart as well as several lung cell types, including stem cell-like populations. These data highlight the utility of exploring charge-dependent LNP tropism."
2024 Feb 6,Advanced healthcare materials,Adv Healthc Mater. 2024 Feb 6:e2304033. doi: 10.1002/adhm.202304033.,"['Sanchez, Alejandro J Da Silva', 'Loughrey, David', 'Echeverri, Elisa Schrader', 'Huayamares, Sebastian G', 'Radmand, Afsane', 'Paunovska, Kalina', 'Hatit, Marine', 'Tiegreen, Karen E', 'Santangelo, Philip J', 'Dahlman, James E']","['lnp', 'peg', 'lipid nanoparticles', 'mrna', 'poly(2-ethyl-2-oxazoline)', 'polyethylene glycol']",Substituting Poly(ethylene glycol) Lipids with Poly(2-ethyl-2-oxazoline) Lipids Improves Lipid Nanoparticle Repeat Dosing.,"Poly(ethylene glycol) (PEG)-lipids are used in Food-and-Drug-Administration-approved lipid nanoparticle (LNP)-RNA drugs, which are safe and effective. However, it is reported that PEG-lipids may also contribute to accelerated blood clearance and rare cases of hypersensitivity; this highlights the utility of exploring PEG-lipid alternatives. Here, it is shown that LNPs containing poly(2-ethyl-2-oxazoline) (PEOZ)-lipids can deliver messenger RNA (mRNA) to multiple cell types in mice inside and outside the liver. In addition, it is reported that LNPs formulated with PEOZ-lipids show reduced clearance from the bloodstream and lower levels of antistealth lipid immunoglobulin Ms than LNPs formulated with PEG-lipids. These data justify further exploration of PEOZ-lipids as alternatives to PEG-lipids in LNP-RNA formulations."
2023 May,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2023 May;357:394-403. doi: 10.1016/j.jconrel.2023.04.005. Epub ,"['Huayamares, Sebastian G', 'Lokugamage, Melissa P', 'Rab, Regina', 'Da Silva Sanchez, Alejandro J', 'Kim, Hyejin', 'Radmand, Afsane', 'Loughrey, David', 'Lian, Liming', 'Hou, Yuning', 'Achyut, Bhagelu R', 'Ehrhardt, Annette', 'Hong, Jeong S', 'Sago, Cory D', 'Paunovska, Kalina', 'Echeverri, Elisa Schrader', 'Vanover, Daryll', 'Santangelo, Philip J', 'Sorscher, Eric J', 'Dahlman, James E']","['humans', 'squamous cell carcinoma of head and neck', 'rna, messenger genetics', 'lipids', ' nanoparticles', ' head and neck neoplasms genetics', 'rna, small interfering genetics', 'dna barcode', 'lipid nanoparticles', 'cancer', 'mrna delivery']",High-throughput screens identify a lipid nanoparticle that preferentially delivers mRNA to human tumors in vivo.,"Lipid nanoparticles (LNPs) are a clinically relevant way to deliver therapeutic mRNA to hepatocytes in patients. However, LNP-mRNA delivery to end-stage solid tumors such as head and neck squamous cell carcinoma (HNSCC) remains more challenging. While scientists have used in vitro assays to evaluate potential nanoparticles for HNSCC delivery, high-throughput delivery assays performed directly in vivo have not been reported. Here we use a high-throughput LNP assay to evaluate how 94 chemically distinct nanoparticles delivered nucleic acids to HNSCC solid tumors in vivo. DNA barcodes were used to identify LNP(HNSCC), a novel LNP for systemic delivery to HNSCC solid tumors. Importantly, LNP(HNSCC) retains tropism to HNSCC solid tumors while minimizing off-target delivery to the liver."
2023 Apr,Nature chemistry,Nat Chem. 2023 Apr;15(4):508-515. doi: 10.1038/s41557-023-01138-9. Epub 2023 Mar ,"['Hatit, Marine Z C', 'Dobrowolski, Curtis N', 'Lokugamage, Melissa P', 'Loughrey, David', 'Ni, Huanzhen', 'Zurla, Chiara', 'Da Silva Sanchez, Alejandro J', 'Radmand, Afsane', 'Huayamares, Sebastian G', 'Zenhausern, Ryan', 'Paunovska, Kalina', 'Peck, Hannah E', 'Kim, Jinwhan', 'Sato, Manaka', 'Feldman, Jacob I', 'Rivera, Michael-Alexander', 'Cristian, Ana', 'Kim, YongTae', 'Santangelo, Philip J', 'Dahlman, James E']","[' lipids chemistry', 'rna, messenger genetics', 'tissue distribution', ' nanoparticles chemistry']",Nanoparticle stereochemistry-dependent endocytic processing improves in vivo mRNA delivery.,"Stereochemistry can alter small-molecule pharmacokinetics, safety and efficacy. However, it is unclear whether the stereochemistry of a single compound within a multicomponent colloid such as a lipid nanoparticle (LNP) can influence its activity in vivo. Here we report that LNPs containing stereopure 20α-hydroxycholesterol (20α) delivered mRNA to liver cells up to 3-fold more potently than LNPs containing a mixture of both 20α- and 20β-hydroxycholesterols (20mix). This effect was not driven by LNP physiochemical traits. Instead, in vivo single-cell RNA sequencing and imaging revealed that 20mix LNPs were sorted into phagocytic pathways more than 20α LNPs, resulting in key differences between LNP biodistribution and subsequent LNP functional delivery. These data are consistent with the fact that nanoparticle biodistribution is necessary, but not sufficient, for mRNA delivery, and that stereochemistry-dependent interactions between LNPs and target cells can improve mRNA delivery."
2023 Feb 8,Nano letters,Nano Lett. 2023 Feb 8;23(3):993-1002. doi: 10.1021/acs.nanolett.2c04479. Epub ,"['Radmand, Afsane', 'Lokugamage, Melissa P', 'Kim, Hyejin', 'Dobrowolski, Curtis', 'Zenhausern, Ryan', 'Loughrey, David', 'Huayamares, Sebastian G', 'Hatit, Marine Z C', 'Ni, Huanzhen', 'Del Cid, Ada', 'Da Silva Sanchez, Alejandro J', 'Paunovska, Kalina', 'Schrader Echeverri, Elisa', 'Shajii, Aram', 'Peck, Hannah', 'Santangelo, Philip J', 'Dahlman, James E']","['humans', ' lipids', 'liposomes metabolism', 'hepatocytes metabolism', ' nanoparticles', 'rna, messenger genetics', 'rna, small interfering', 'dna barcode', 'lnp', 'lipid nanoparticle', 'mrna', 'scrna-seq', 'single-cell rna sequencing']",The Transcriptional Response to Lung-Targeting Lipid Nanoparticles in Vivo.,"Lipid nanoparticles (LNPs) have delivered RNA to hepatocytes in patients, underscoring the potential impact of nonliver delivery. Scientists can shift LNP tropism to the lung by adding cationic helper lipids; however, the biological response to these LNPs remains understudied. To evaluate the hypothesis that charged LNPs lead to differential cellular responses, we quantified how 137 LNPs delivered mRNA to 19 cell types in vivo. Consistent with previous studies, we observed helper lipid-dependent tropism. After identifying and individually characterizing three LNPs that targeted different tissues, we studied the in vivo transcriptomic response to these using single-cell RNA sequencing. Out of 835 potential pathways, 27 were upregulated in the lung, and of these 27, 19 were related to either RNA or protein metabolism. These data suggest that endogenous cellular RNA and protein machinery affects mRNA delivery to the lung in vivo."
2022 Dec 28,Nano letters,Nano Lett. 2022 Dec 28;22(24):10025-10033. doi: 10.1021/acs.nanolett.2c03741. ,"['Paunovska, Kalina', 'Da Silva Sanchez, Alejandro J', 'Lokugamage, Melissa P', 'Loughrey, David', 'Echeverri, Elisa Schrader', 'Cristian, Ana', 'Hatit, Marine Z C', 'Santangelo, Philip J', 'Zhao, Kun', 'Dahlman, James E']","['animals', 'mice', ' apolipoproteins e genetics', ' lipoproteins, ldl genetics', 'mice, knockout', ' nanoparticles chemistry', 'rna, messenger chemistry', 'dna barcoding', 'lnp', 'ionizable lipids', 'knockout', 'lipid nanoparticle', 'mrna']",The Extent to Which Lipid Nanoparticles Require Apolipoprotein E and Low-Density Lipoprotein Receptor for Delivery Changes with Ionizable Lipid Structure.,"Lipid nanoparticles (LNPs) have delivered therapeutic RNA to hepatocytes in humans. Adsorption of apolipoprotein E (ApoE) onto these clinical LNP-mRNA drugs has been shown to facilitate hepatocyte entry via the low-density lipoprotein receptor (LDLR). Since ApoE-LDLR trafficking is conserved in mice, non-human primates, and humans, characterizing this mechanism eased clinical transition. Recently, LNPs have delivered mRNA to non-hepatocytes in mice and non-human primates, suggesting they can target new cell types via ApoE- and LDLR-independent pathways. To test this hypothesis, we quantified how 60 LNPs delivered mRNA with cell type resolution in wild-type mice and three knockout mouse strains related to lipid trafficking: ApoE(-/-), LDLR(-/-), and PCSK9(-/-). These data suggest that the hydrophobic tail length of diketopiperazine-based lipids can be changed to drive ApoE- and LDLR-independent delivery in vivo. More broadly, the results support the hypothesis that endogenous LNP trafficking can be tuned by modifying lipid chemistry."
2023 Mar,Nature materials,Nat Mater. 2023 Mar;22(3):369-379. doi: 10.1038/s41563-022-01404-0. Epub 2022 Nov ,"['Rotolo, Laura', 'Vanover, Daryll', 'Bruno, Nicholas C', 'Peck, Hannah E', 'Zurla, Chiara', 'Murray, Jackelyn', 'Noel, Richard K', ""O'Farrell, Laura"", 'Araínga, Mariluz', 'Orr-Burks, Nichole', 'Joo, Jae Yeon', 'Chaves, Lorena C S', 'Jung, Younghun', 'Beyersdorf, Jared', 'Gumber, Sanjeev', 'Guerrero-Ferreira, Ricardo', 'Cornejo, Santiago', 'Thoresen, Merrilee', 'Olivier, Alicia K', 'Kuo, Katie M', 'Gumbart, James C', 'Woolums, Amelia R', 'Villinger, Francois', 'Lafontaine, Eric R', 'Hogan, Robert J', 'Finn, M G', 'Santangelo, Philip J']","['animals', 'mice', 'rna, messenger genetics', ' covid-19', 'sars-cov-2 genetics', 'polymers metabolism', 'lung', 'rna metabolism']",Species-agnostic polymeric formulations for inhalable messenger RNA delivery to the lung.,"Messenger RNA has now been used to vaccinate millions of people. However, the diversity of pulmonary pathologies, including infections, genetic disorders, asthma and others, reveals the lung as an important organ to directly target for future RNA therapeutics and preventatives. Here we report the screening of 166 polymeric nanoparticle formulations for functional delivery to the lungs, obtained from a combinatorial synthesis approach combined with a low-dead-volume nose-only inhalation system for mice. We identify P76, a poly-β-amino-thio-ester polymer, that exhibits increased expression over formulations lacking the thiol component, delivery to different animal species with varying RNA cargos and low toxicity. P76 allows for dose sparing when delivering an mRNA-expressed Cas13a-mediated treatment in a SARS-CoV-2 challenge model, resulting in similar efficacy to a 20-fold higher dose of a neutralizing antibody. Overall, the combinatorial synthesis approach allowed for the discovery of promising polymeric formulations for future RNA pharmaceutical development for the lungs."
2022 Dec,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2022 Dec;9(34):e2202771. doi: 10.1002/advs.202202771. Epub 2022 ,"['Vanover, Daryll', 'Zurla, Chiara', 'Peck, Hannah E', 'Orr-Burks, Nichole', 'Joo, Jae Yeon', 'Murray, Jackelyn', 'Holladay, Nathan', 'Hobbs, Ryan A', 'Jung, Younghun', 'Chaves, Lorena C S', 'Rotolo, Laura', 'Lifland, Aaron W', 'Olivier, Alicia K', 'Li, Dapeng', 'Saunders, Kevin O', 'Sempowski, Gregory D', 'Crowe, James E Jr', 'Haynes, Barton F', 'Lafontaine, Eric R', 'Hogan, Robert J', 'Santangelo, Philip J']","['humans', ' covid-19', 'sars-cov-2', 'rna, messenger genetics', 'antibodies, neutralizing therapeutic use', 'rna therapeutics', 'sars-cov-2', 'antibody therapies', 'gene therapies', 'passive immunizations']",Nebulized mRNA-Encoded Antibodies Protect Hamsters from SARS-CoV-2 Infection.,"Despite the success of severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) vaccines, there remains a clear need for new classes of preventatives for respiratory viral infections due to vaccine hesitancy, lack of sterilizing immunity, and for at-risk patient populations, including the immunocompromised. While many neutralizing antibodies have been identified, and several approved, to treat COVID-19, systemic delivery, large doses, and high costs have the potential to limit their widespread use, especially in low- and middle-income countries. To use these antibodies more efficiently, an inhalable formulation is developed that allows for the expression of mRNA-encoded, membrane-anchored neutralizing antibodies in the lung to mitigate SARS-CoV-2 infections. First, the ability of mRNA-encoded, membrane-anchored, anti-SARS-CoV-2 antibodies to prevent infections in vitro is demonstrated. Next, it is demonstrated that nebulizer-based delivery of these mRNA-expressed neutralizing antibodies potently abrogates disease in the hamster model. Overall, these results support the use of nebulizer-based mRNA expression of neutralizing antibodies as a new paradigm for mitigating respiratory virus infections."
