time,journal,doi_info,authors,key words,title,abstract
2023 Dec,Proceedings ... ICDM workshops. IEEE International Conference on Data Mining,IEEE Int Conf Data Min Workshops. 2023 Dec;2023:329-337. doi: ,"['Ma, Simin', 'Lee, Junghwan', 'Serban, Nicoleta', 'Yang, Shihao']","['deep learning', 'healthcare', 'precision medicine', 'reinforcement learning', 'transformer']",Deep Attention Q-Network for Personalized Treatment Recommendation.,"Tailoring treatment for severely ill patients is crucial yet challenging to achieve optimal healthcare outcomes. Recent advances in reinforcement learning offer promising personalized treatment recommendations. However, they often rely solely on a patient's current physiological state, which may not accurately represent the true health status of the patient. This limitation hampers policy learning and evaluation, undermining the effectiveness of the treatment. In this study, we propose Deep Attention Q-Network for personalized treatment recommendation, leveraging the Transformer architecture within a deep reinforcement learning framework to efficiently integrate historical observations of patients. We evaluated our proposed method on two real-world datasets: sepsis and acute hypotension patients, demonstrating its superiority over state-of-the-art methods. The source code for our model is available at https://github.com/stevenmsm/RL-ICU-DAQN."
2023 Jun 20,Scientific reports,Sci Rep. 2023 Jun 20;13(1):9955. doi: 10.1038/s41598-023-36378-9.,"['Er, Siawpeng', 'Yang, Shihao', 'Zhao, Tuo']","['humans', ' covid-19 epidemiology', 'pandemics', 'electric power supplies', 'hospitalization', 'income']",County augmented transformer for COVID-19 state hospitalizations prediction.,"The prolonged COVID-19 pandemic has tied up significant medical resources, and its management poses a challenge for the public health care decision making. Accurate predictions of the hospitalizations are crucial for the decision makers to make informed decision for the medical resource allocation. This paper proposes a method named County Augmented Transformer (CAT). To generate accurate predictions of four-week-ahead COVID-19 related hospitalizations for every states in the United States. Inspired by the modern deep learning techniques, our method is based on a self-attention model (known as the transformer model) that is actively used in Natural Language Processing. Our transformer based model can capture both short-term and long-term dependencies within the time series while enjoying computational efficiency. Our model is a data based approach that utilizes the publicly available information including the COVID-19 related number of confirmed cases, deaths, hospitalizations data, and the household median income data. Our numerical experiments demonstrate the strength and the usability of our model as a potential tool for assisting the medical resources allocation."
2023 Mar 24,Communications medicine,Commun Med (Lond). 2023 Mar 24;3(1):39. doi: 10.1038/s43856-023-00272-2.,"['Ma, Simin', 'Ning, Shaoyang', 'Yang, Shihao']",[],Joint COVID-19 and influenza-like illness forecasts in the United States using internet search information.,"BACKGROUND: As the prolonged COVID-19 pandemic continues, severe seasonal Influenza (flu) may happen alongside COVID-19. This could cause a ""twindemic"", in which there are additional burdens on health care resources and public safety compared to those occurring in the presence of a single infection. Amidst the raising trend of co-infections of the two diseases, forecasting both Influenza-like Illness (ILI) outbreaks and COVID-19 waves in a reliable and timely manner becomes more urgent than ever. Accurate and real-time joint prediction of the twindemic aids public health organizations and policymakers in adequate preparation and decision making. However, in the current pandemic, existing ILI and COVID-19 forecasting models face shortcomings under complex inter-disease dynamics, particularly due to the similarities in symptoms and healthcare-seeking patterns of the two diseases. METHODS: Inspired by the interconnection between ILI and COVID-19 activities, we combine related internet search and bi-disease time series information for the U.S. national level and state level forecasts. Our proposed ARGOX-Joint-Ensemble adopts a new ensemble framework that integrates ILI and COVID-19 disease forecasting models to pool the information between the two diseases and provide joint multi-resolution and multi-target predictions. Through a winner-takes-all ensemble fashion, our framework is able to adaptively select the most predictive COVID-19 or ILI signals. RESULTS: In the retrospective evaluation, our model steadily outperforms alternative benchmark methods, and remains competitive with other publicly available models in both point estimates and probabilistic predictions (including intervals). CONCLUSIONS: The success of our approach illustrates that pooling information between the ILI and COVID-19 leads to improved forecasting models than individual models for either of the disease."
2023 Mar 23,The journal of physical chemistry. B,J Phys Chem B. 2023 Mar 23;127(11):2362-2374. doi: 10.1021/acs.jpcb.2c08932. Epub ,"['Wong, Samuel W K', 'Yang, Shihao', 'Kou, S C']",[],Estimating and Assessing Differential Equation Models with Time-Course Data.,"Ordinary differential equation (ODE) models are widely used to describe chemical or biological processes. This Article considers the estimation and assessment of such models on the basis of time-course data. Due to experimental limitations, time-course data are often noisy, and some components of the system may not be observed. Furthermore, the computational demands of numerical integration have hindered the widespread adoption of time-course analysis using ODEs. To address these challenges, we explore the efficacy of the recently developed MAGI (MAnifold-constrained Gaussian process Inference) method for ODE inference. First, via a range of examples we show that MAGI is capable of inferring the parameters and system trajectories, including unobserved components, with appropriate uncertainty quantification. Second, we illustrate how MAGI can be used to assess and select different ODE models with time-course data based on MAGI's efficient computation of model predictions. Overall, we believe MAGI is a useful method for the analysis of time-course data in the context of ODE models, which bypasses the need for any numerical integration."
2022 Jul 7,Scientific reports,Sci Rep. 2022 Jul 7;12(1):11539. doi: 10.1038/s41598-022-15478-y.,"['Ma, Simin', 'Yang, Shihao']","[' covid-19 epidemiology', 'forecasting', 'humans', ' influenza, human epidemiology', 'internet', 'pandemics', 'search engine', 'united states epidemiology']",COVID-19 forecasts using Internet search information in the United States.,"As the COVID-19 ravaging through the globe, accurate forecasts of the disease spread are crucial for situational awareness, resource allocation, and public health decision-making. Alternative to the traditional disease surveillance data collected by the United States (US) Centers for Disease Control and Prevention (CDC), big data from Internet such as online search volumes also contain valuable information for tracking infectious disease dynamics such as influenza epidemic. In this study, we develop a statistical model using Internet search volume of relevant queries to track and predict COVID-19 pandemic in the United States. Inspired by the strong association between COVID-19 death trend and symptom-related search queries such as ""loss of taste"", we combine search volume information with COVID-19 time series information for US national level forecasts, while leveraging the cross-state cross-resolution spatial temporal framework, pooling information from search volume and COVID-19 reports across regions for state level predictions. Lastly, we aggregate the state-level frameworks in an ensemble fashion to produce the final state-level 4-week forecasts. Our method outperforms the baseline time-series model, while performing reasonably against other publicly available benchmark models for both national and state level forecast."
2022 Jun 11,Scientific reports,Sci Rep. 2022 Jun 11;12(1):9661. doi: 10.1038/s41598-022-13162-9.,"['Wang, Tao', 'Ma, Simin', 'Baek, Soobin', 'Yang, Shihao']","[' covid-19 epidemiology', 'forecasting', 'hospitalization', 'humans', 'internet', 'retrospective studies', 'united states epidemiology']",COVID-19 hospitalizations forecasts using internet search data.,"As the COVID-19 spread over the globe and new variants of COVID-19 keep occurring, reliable real-time forecasts of COVID-19 hospitalizations are critical for public health decisions on medical resources allocations. This paper aims to forecast future 2 weeks national and state-level COVID-19 new hospital admissions in the United States. Our method is inspired by the strong association between public search behavior and hospitalization admissions and is extended from a previously-proposed influenza tracking model, AutoRegression with GOogle search data (ARGO). Our LASSO-penalized linear regression method efficiently combines Google search information and COVID-19 related time series information with dynamic training and rolling window prediction. Compared to other publicly available models collected from COVID-19 forecast hub, our method achieves substantial error reduction in a retrospective out-of-sample evaluation from Jan 4, 2021, to Dec 27, 2021. Overall, we showed that our method is flexible, self-correcting, robust, accurate, and interpretable, making it a potentially powerful tool to assist healthcare officials and decision making for the current and future infectious disease outbreaks."
2021 Sep 10,NPJ precision oncology,NPJ Precis Oncol. 2021 Sep 10;5(1):82. doi: 10.1038/s41698-021-00223-x.,"['Wang, Feicheng', 'Yang, Shihao', 'Palmer, Nathan', 'Fox, Kathe', 'Kohane, Isaac S', 'Liao, Katherine P', 'Yu, Kun-Hsing', 'Kou, S C']",[],Real-world data analyses unveiled the immune-related adverse effects of immune checkpoint inhibitors across cancer types.,"Immune checkpoint inhibitors have demonstrated significant survival benefits in treating many types of cancers. However, their immune-related adverse events (irAEs) have not been systematically evaluated across cancer types in large-scale real-world populations. To address this gap, we conducted real-world data analyses using nationwide insurance claims data with 85.97 million enrollees across 8 years. We identified a significantly increased risk of developing irAEs among patients receiving immunotherapy agents in all seven cancer types commonly treated with immune checkpoint inhibitors. By six months after treatment initialization, those receiving immunotherapy were 1.50-4.00 times (95%"
2021 Jul 12,Scientific reports,Sci Rep. 2021 Jul 12;11(1):14262. doi: 10.1038/s41598-021-93545-6.,"['Er, Siawpeng', 'Yang, Shihao', 'Zhao, Tuo']","['covid-19  epidemiology mortality virology', 'deep learning', 'humans', 'models, statistical', ' pandemics', 'sars-cov-2  pathogenicity', 'united states epidemiology']",COUnty aggRegation mixup AuGmEntation (COURAGE) COVID-19 prediction.,"The global spread of COVID-19, the disease caused by the novel coronavirus SARS-CoV-2, has casted a significant threat to mankind. As the COVID-19 situation continues to evolve, predicting localized disease severity is crucial for advanced resource allocation. This paper proposes a method named COURAGE (COUnty aggRegation mixup AuGmEntation) to generate a short-term prediction of 2-week-ahead COVID-19 related deaths for each county in the United States, leveraging modern deep learning techniques. Specifically, our method adopts a self-attention model from Natural Language Processing, known as the transformer model, to capture both short-term and long-term dependencies within the time series while enjoying computational efficiency. Our model solely utilizes publicly available information for COVID-19 related confirmed cases, deaths, community mobility trends and demographic information, and can produce state-level predictions as an aggregation of the corresponding county-level predictions. Our numerical experiments demonstrate that our model achieves the state-of-the-art performance among the publicly available benchmark models."
2021 Apr 13,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2021 Apr 13;118(15):e2020397118. doi: ,"['Yang, Shihao', 'Wong, Samuel W K', 'Kou, S C']","['inverse problem', 'ordinary differential equations', 'parameter estimation', 'posterior sampling']",Inference of dynamic systems from noisy and sparse data via manifold-constrained Gaussian processes.,"Parameter estimation for nonlinear dynamic system models, represented by ordinary differential equations (ODEs), using noisy and sparse data, is a vital task in many fields. We propose a fast and accurate method, manifold-constrained Gaussian process inference (MAGI), for this task. MAGI uses a Gaussian process model over time series data, explicitly conditioned on the manifold constraint that derivatives of the Gaussian process must satisfy the ODE system. By doing so, we completely bypass the need for numerical integration and achieve substantial savings in computational time. MAGI is also suitable for inference with unobserved system components, which often occur in real experiments. MAGI is distinct from existing approaches as we provide a principled statistical construction under a Bayesian framework, which incorporates the ODE system through the manifold constraint. We demonstrate the accuracy and speed of MAGI using realistic examples based on physical experiments."
2021 Feb 17,Scientific reports,Sci Rep. 2021 Feb 17;11(1):4023. doi: 10.1038/s41598-021-83084-5.,"['Yang, Shihao', 'Ning, Shaoyang', 'Kou, S C']","['big data', 'centers for disease control and prevention, u.s.', 'epidemics  prevention & control statistics & numerical data', 'epidemiological monitoring', 'humans', 'influenza, human  epidemiology', 'internet trends', 'internet use  trends', 'population surveillance methods', 'search engine trends', 'united states epidemiology']",Use Internet search data to accurately track state level influenza epidemics.,"For epidemics control and prevention, timely insights of potential hot spots are invaluable. Alternative to traditional epidemic surveillance, which often lags behind real time by weeks, big data from the Internet provide important information of the current epidemic trends. Here we present a methodology, ARGOX (Augmented Regression with GOogle data CROSS space), for accurate real-time tracking of state-level influenza epidemics in the United States. ARGOX combines Internet search data at the national, regional and state levels with traditional influenza surveillance data from the Centers for Disease Control and Prevention, and accounts for both the spatial correlation structure of state-level influenza activities and the evolution of people's Internet search pattern. ARGOX achieves on average 28% error reduction over the best alternative for real-time state-level influenza estimation for 2014 to 2020. ARGOX is robust and reliable and can be potentially applied to track county- and city-level influenza activity and other infectious diseases."
