time,journal,doi_info,authors,key words,title,abstract
2024 Jun 1,Biomedical optics express,Biomed Opt Express. 2024 May 3;15(6):3574-3585. doi: 10.1364/BOE.521521. ,"['Gao, Zijun', 'Han, Keyi', 'Hua, Xuanwen', 'Liu, Wenhao', 'Jia, Shu']",[],hydroSIM: super-resolution speckle illumination microscopy with a hydrogel diffuser.,"Super-resolution microscopy has emerged as an indispensable methodology for probing the intricacies of cellular biology. Structured illumination microscopy (SIM), in particular, offers an advantageous balance of spatial and temporal resolution, allowing for visualizing cellular processes with minimal disruption to biological specimens. However, the broader adoption of SIM remains hampered by the complexity of instrumentation and alignment. Here, we introduce speckle-illumination super-resolution microscopy using hydrogel diffusers (hydroSIM). The study utilizes the high scattering and optical transmissive properties of hydrogel materials and realizes a remarkably simplified approach to plug-in super-resolution imaging via a common epi-fluorescence platform. We demonstrate the hydroSIM system using various phantom and biological samples, and the results exhibited effective 3D resolution doubling, optical sectioning, and high contrast. We foresee hydroSIM, a cost-effective, biocompatible, and user-accessible super-resolution methodology, to significantly advance a wide range of biomedical imaging and applications."
2024 May 30,Nature communications,Nat Commun. 2024 May 30;15(1):4598. doi: 10.1038/s41467-024-48987-7.,"['Mandracchia, Biagio', 'Zheng, Corey', 'Rajendran, Suraj', 'Liu, Wenhao', 'Forghani, Parvin', 'Xu, Chunhui', 'Jia, Shu']","[' microscopy, fluorescence methods', 'animals', ' optical imaging methods instrumentation', 'humans', 'myocytes, cardiac cytology', 'phantoms, imaging', 'flow cytometry methods', 'neurons', 'image processing, computer-assisted methods']",High-speed optical imaging with sCMOS pixel reassignment.,"Fluorescence microscopy has undergone rapid advancements, offering unprecedented visualization of biological events and shedding light on the intricate mechanisms governing living organisms. However, the exploration of rapid biological dynamics still poses a significant challenge due to the limitations of current digital camera architectures and the inherent compromise between imaging speed and other capabilities. Here, we introduce sHAPR, a high-speed acquisition technique that leverages the operating principles of sCMOS cameras to capture fast cellular and subcellular processes. sHAPR harnesses custom fiber optics to convert microscopy images into one-dimensional recordings, enabling acquisition at the maximum camera readout rate, typically between 25 and 250 kHz. We have demonstrated the utility of sHAPR with a variety of phantom and dynamic systems, including high-throughput flow cytometry, cardiomyocyte contraction, and neuronal calcium waves, using a standard epi-fluorescence microscope. sHAPR is highly adaptable and can be integrated into existing microscopy systems without requiring extensive platform modifications. This method pushes the boundaries of current fluorescence imaging capabilities, opening up new avenues for investigating high-speed biological phenomena."
2024 Mar 4,Nature communications,Nat Commun. 2024 Mar 4;15(1):1975. doi: 10.1038/s41467-024-46250-7.,"['Hua, Xuanwen', 'Han, Keyi', 'Mandracchia, Biagio', 'Radmand, Afsane', 'Liu, Wenhao', 'Kim, Hyejin', 'Yuan, Zhou', 'Ehrlich, Samuel M', 'Li, Kaitao', 'Zheng, Corey', 'Son, Jeonghwan', 'Silva Trenkle, Aaron D', 'Kwong, Gabriel A', 'Zhu, Cheng', 'Dahlman, James E', 'Jia, Shu']","['flow cytometry', ' biological assay', ' biomedical research', 'microfluidics', 'single-cell analysis']","Light-field flow cytometry for high-resolution, volumetric and multiparametric 3D single-cell analysis.","Imaging flow cytometry (IFC) combines flow cytometry and fluorescence microscopy to enable high-throughput, multiparametric single-cell analysis with rich spatial details. However, current IFC techniques remain limited in their ability to reveal subcellular information with a high 3D resolution, throughput, sensitivity, and instrumental simplicity. In this study, we introduce a light-field flow cytometer (LFC), an IFC system capable of high-content, single-shot, and multi-color acquisition of up to 5,750 cells per second with a near-diffraction-limited resolution of 400-600 nm in all three dimensions. The LFC system integrates optical, microfluidic, and computational strategies to facilitate the volumetric visualization of various 3D subcellular characteristics through convenient access to commonly used epi-fluorescence platforms. We demonstrate the effectiveness of LFC in assaying, analyzing, and enumerating intricate subcellular morphology, function, and heterogeneity using various phantoms and biological specimens. The advancement offered by the LFC system presents a promising methodological pathway for broad cell biological and translational discoveries, with the potential for widespread adoption in biomedical research."
2024 Mar 12,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2024 Mar 12;121(11):e2307801120. doi: ,"['Radmand, Afsane', 'Kim, Hyejin', 'Beyersdorf, Jared', 'Dobrowolski, Curtis N', 'Zenhausern, Ryan', 'Paunovska, Kalina', 'Huayamares, Sebastian G', 'Hua, Xuanwen', 'Han, Keyi', 'Loughrey, David', 'Hatit, Marine Z C', 'Del Cid, Ada', 'Ni, Huanzhen', 'Shajii, Aram', 'Li, Andrea', 'Muralidharan, Abinaya', 'Peck, Hannah E', 'Tiegreen, Karen E', 'Jia, Shu', 'Santangelo, Philip J', 'Dahlman, James E']","[' liver', ' stem cells', 'heart', 'cations', 'cholesterol', 'rna, messenger', 'lnp', 'barcoding', 'mrna', 'nanoparticle', 'scrna-seq']","Cationic cholesterol-dependent LNP delivery to lung stem cells, the liver, and heart.","Adding a cationic helper lipid to a lipid nanoparticle (LNP) can increase lung delivery and decrease liver delivery. However, it remains unclear whether charge-dependent tropism is universal or, alternatively, whether it depends on the component that is charged. Here, we report evidence that cationic cholesterol-dependent tropism can differ from cationic helper lipid-dependent tropism. By testing how 196 LNPs delivered mRNA to 22 cell types, we found that charged cholesterols led to a different lung:liver delivery ratio than charged helper lipids. We also found that combining cationic cholesterol with a cationic helper lipid led to mRNA delivery in the heart as well as several lung cell types, including stem cell-like populations. These data highlight the utility of exploring charge-dependent LNP tropism."
2023 Dec 1,The Review of scientific instruments,Rev Sci Instrum. 2023 Dec 1;94(12):124104. doi: 10.1063/5.0174526.,"['Huang, Yan', 'Lee, Soojung', 'Liu, Wenhao', 'Takayama, Shuichi', 'Jia, Shu']","['humans', 'hela cells', ' robotic surgical procedures', 'organoids', 'motion', ' robotics']",OctoShaker: A versatile robotic biomechanical agitator for cellular and organoid research.,"Mechanical forces have increasingly been recognized as a key regulator in the fate of cellular development and functionality. Different mechanical transduction methods, such as substrate stiffness and magnetic bead vibration, have been experimented with to understand the interaction between the biophysical cues and cellular outcome. In the exploration and utilization of the intrinsic cellular mechanism, bio-shakers, traditionally invented for stirring liquid, have garnered more interest as a tool to provide precise mechanical stimuli to aid in this study. Nonetheless, despite the usefulness of current bio-shaking technology, each type of shaker often offers a single mode of motion, insufficient for generating complex force dynamics needed to resemble the actual physical condition that occurs inside living organisms. In this study, we present OctoShaker, a robotic instrument capable of creating a multitude of motions that could be sequenced or programmed to mimic sophisticated hemodynamics in vivo. We demonstrated the programmed motion of circular convection and investigated its influence on micro-particle distribution in 96-well culture microplates. Biological samples, including HeLa cells and organoids, were tested, and unique resultant patterns were observed. We anticipate the open-source dissemination of OctoShaker in diverse biological applications, encompassing biomechanical studies for cellular and organoid research, as well as other disciplines that demand dynamic mechanical force generation."
2023 Aug 1,Biomedical optics express,Biomed Opt Express. 2023 Jul 25;14(8):4237-4245. doi: 10.1364/BOE.495506. ,"['Ling, Zhi', 'Han, Keyi', 'Liu, Wenhao', 'Hua, Xuanwen', 'Jia, Shu']",[],Volumetric live-cell autofluorescence imaging using Fourier light-field microscopy.,"This study introduces a rapid, volumetric live-cell imaging technique for visualizing autofluorescent sub-cellular structures and their dynamics by employing high-resolution Fourier light-field microscopy. We demonstrated this method by capturing lysosomal autofluorescence in fibroblasts and HeLa cells. Additionally, we conducted multicolor imaging to simultaneously observe lysosomal autofluorescence and fluorescently-labeled organelles such as lysosomes and mitochondria. We further analyzed the data to quantify the interactions between lysosomes and mitochondria. This research lays the foundation for future exploration of native cellular states and functions in three-dimensional environments, effectively reducing photodamage and eliminating the necessity for exogenous labels."
2023 Sep 20,ACS photonics,ACS Photonics. 2023 Jul 24;10(9):3035-3041. doi: 10.1021/acsphotonics.3c00205. ,"['Yoon, Kyungduck', 'Han, Keyi', 'Tadesse, Kidan', 'Mandracchia, Biagio', 'Jia, Shu']",[],Simultaneous Multicolor Multifocal Scanning Microscopy.,"Super-resolution fluorescence microscopy has revolutionized cell biology over the past decade, enabling the visualization of subcellular complexity with unparalleled clarity and detail. However, the rapid development of image-scanning-based super-resolution systems still restrains convenient access to commonly used instruments such as epi-fluorescence microscopes. Here, we present multifocal scanning microscopy (MSM) for super-resolution imaging with simultaneous multicolor acquisition and minimal instrumental complexity. MSM implements a stationary, interposed multifocal multicolor excitation by exploiting the motion of the specimens, realizing super-resolution microscopy through a general epi-fluorescence platform without compromising the image-scanning mechanism or inducing complex instrument alignment. The system is demonstrated with various phantom and biological specimens, and the results present effective resolution doubling, optical sectioning, and contrast enhancement. We anticipate MSM, as a highly accessible and compatible super-resolution technique, to offer a promising methodological pathway for broad cell biological discoveries."
2023 Sep,Science advances,Sci Adv. 2023 Sep;9(35):eadg9245. doi: 10.1126/sciadv.adg9245. Epub 2023 Aug 30.,"['Mandracchia, Biagio', 'Liu, Wenhao', 'Hua, Xuanwen', 'Forghani, Parvin', 'Lee, Soojung', 'Hou, Jessica', 'Nie, Shuyi', 'Xu, Chunhui', 'Jia, Shu']","['microscopy, fluorescence', ' algorithms', ' electrons', 'image processing, computer-assisted', 'neural networks, computer']",Optimal sparsity allows reliable system-aware restoration of fluorescence microscopy images.,"Fluorescence microscopy is one of the most indispensable and informative driving forces for biological research, but the extent of observable biological phenomena is essentially determined by the content and quality of the acquired images. To address the different noise sources that can degrade these images, we introduce an algorithm for multiscale image restoration through optimally sparse representation (MIRO). MIRO is a deterministic framework that models the acquisition process and uses pixelwise noise correction to improve image quality. Our study demonstrates that this approach yields a remarkable restoration of the fluorescence signal for a wide range of microscopy systems, regardless of the detector used (e.g., electron-multiplying charge-coupled device, scientific complementary metal-oxide semiconductor, or photomultiplier tube). MIRO improves current imaging capabilities, enabling fast, low-light optical microscopy, accurate image analysis, and robust machine intelligence when integrated with deep neural networks. This expands the range of biological knowledge that can be obtained from fluorescence microscopy."
2022 Nov 1,Biomedical optics express,Biomed Opt Express. 2022 Oct 3;13(11):5574-5584. doi: 10.1364/BOE.471967. ,"['Han, Keyi', 'Hua, Xuanwen', 'Vasani, Vishwa', 'Kim, Ge-Ah R', 'Liu, Wenhao', 'Takayama, Shuichi', 'Jia, Shu']",[],3D super-resolution live-cell imaging with radial symmetry and Fourier light-field microscopy.,"Live-cell imaging reveals the phenotypes and mechanisms of cellular function and their dysfunction that underscore cell physiology, development, and pathology. Here, we report a 3D super-resolution live-cell microscopy method by integrating radiality analysis and Fourier light-field microscopy (rad-FLFM). We demonstrated the method using various live-cell specimens, including actins in Hela cells, microtubules in mammary organoid cells, and peroxisomes in COS-7 cells. Compared with conventional wide-field microscopy, rad-FLFM realizes scanning-free, volumetric 3D live-cell imaging with sub-diffraction-limited resolution of ∼150 nm (x-y) and 300 nm (z), milliseconds volume acquisition time, six-fold extended depth of focus of ∼6 µm, and low photodamage. The method provides a promising avenue to explore spatiotemporal-challenging subcellular processes in a wide range of cell biological research."
2023 Feb 14,Lab on a chip,Lab Chip. 2023 Feb 14;23(4):624-630. doi: 10.1039/d2lc01024k.,"['Son, Jeonghwan', 'Mandracchia, Biagio', 'Silva Trenkle, Aaron D', 'Kwong, Gabriel A', 'Jia, Shu']","[' microscopy methods', 'flow cytometry', ' imaging, three-dimensional', 'microfluidics methods', 'optical imaging']",Portable light-sheet optofluidic microscopy for 3D fluorescence imaging flow cytometry.,"Imaging flow cytometry (IFC) combines conventional flow cytometry with optical microscopy, allowing for high-throughput, multi-parameter screening of single-cell specimens with morphological and spatial information. However, current 3D IFC systems are limited by instrumental complexity and incompatibility with available microfluidic devices or operations. Here, we report portable light-sheet optofluidic microscopy (PLSOM) for 3D fluorescence cytometric imaging. PLSOM exploits a compact, open-top light-sheet configuration compatible with commonly adopted microfluidic chips. The system offers a subcellular resolution (2-4 μm) in all three dimensions, high throughput (∼1000 cells per s), and portability (30 cm (l) × 10 cm (w) × 26 cm (h)). We demonstrated PLSOM for 3D IFC using various phantom and cell systems. The low-cost and custom-built architecture of PLSOM permits easy adaptability and dissemination for broad 3D flow cytometric investigations."
