time,journal,doi_info,authors,key words,title,abstract
2023 Sep,Science advances,Sci Adv. 2023 Sep;9(35):eadg9245. doi: 10.1126/sciadv.adg9245. Epub 2023 Aug 30.,"['Mandracchia, Biagio', 'Liu, Wenhao', 'Hua, Xuanwen', 'Forghani, Parvin', 'Lee, Soojung', 'Hou, Jessica', 'Nie, Shuyi', 'Xu, Chunhui', 'Jia, Shu']","['microscopy, fluorescence', ' algorithms', ' electrons', 'image processing, computer-assisted', 'neural networks, computer']",Optimal sparsity allows reliable system-aware restoration of fluorescence microscopy images.,"Fluorescence microscopy is one of the most indispensable and informative driving forces for biological research, but the extent of observable biological phenomena is essentially determined by the content and quality of the acquired images. To address the different noise sources that can degrade these images, we introduce an algorithm for multiscale image restoration through optimally sparse representation (MIRO). MIRO is a deterministic framework that models the acquisition process and uses pixelwise noise correction to improve image quality. Our study demonstrates that this approach yields a remarkable restoration of the fluorescence signal for a wide range of microscopy systems, regardless of the detector used (e.g., electron-multiplying charge-coupled device, scientific complementary metal-oxide semiconductor, or photomultiplier tube). MIRO improves current imaging capabilities, enabling fast, low-light optical microscopy, accurate image analysis, and robust machine intelligence when integrated with deep neural networks. This expands the range of biological knowledge that can be obtained from fluorescence microscopy."
2023 Jun 15,Cells,Cells. 2023 Jun 15;12(12):1638. doi: 10.3390/cells12121638.,"['Hladyshau, Siarhei', 'Stoop, Jorik P', 'Kamada, Kosei', 'Nie, Shuyi', 'Tsygankov, Denis']","[' cell membrane metabolism physiology', ' cell movement genetics physiology', ' rac1 gtp-binding protein metabolism', ' rho gtp-binding proteins metabolism', 'signal transduction', 'fret-based biosensors', 'rho family gtpases', 'cytoskeletal regulation', 'morphodynamics', 'multiscale modeling']",Spatiotemporal Coordination of Rac1 and Cdc42 at the Whole Cell Level during Cell Ruffling.,"Rho-GTPases are central regulators within a complex signaling network that controls cytoskeletal organization and cell movement. The network includes multiple GTPases, such as the most studied Rac1, Cdc42, and RhoA, along with their numerous effectors that provide mutual regulation through feedback loops. Here we investigate the temporal and spatial relationship between Rac1 and Cdc42 during membrane ruffling, using a simulation model that couples GTPase signaling with cell morphodynamics and captures the GTPase behavior observed with FRET-based biosensors. We show that membrane velocity is regulated by the kinetic rate of GTPase activation rather than the concentration of active GTPase. Our model captures both uniform and polarized ruffling. We also show that cell-type specific time delays between Rac1 and Cdc42 activation can be reproduced with a single signaling motif, in which the delay is controlled by feedback from Cdc42 to Rac1. The resolution of our simulation output matches those of time-lapsed recordings of cell dynamics and GTPase activity. Our data-driven modeling approach allows us to validate simulation results with quantitative precision using the same pipeline for the analysis of simulated and experimental data."
2023,Frontiers in cell and developmental biology,Front Cell Dev Biol. 2023 Feb 27;11:1106595. doi: 10.3389/fcell.2023.1106595. ,"['Kho, Mary', 'Hladyshau, Siarhei', 'Tsygankov, Denis', 'Nie, Shuyi']","['cdc42 effector protein 1', 'actin stress fibers', 'directional cell migration', 'neural crest', 'septin filaments']","Coordinated regulation of Cdc42ep1, actin, and septin filaments during neural crest cell migration.","The septin cytoskeleton has been demonstrated to interact with other cytoskeletal components to regulate various cellular processes, including cell migration. However, the mechanisms of how septin regulates cell migration are not fully understood. In this study, we use the highly migratory neural crest cells of frog embryos to examine the role of septin filaments in cell migration. We found that septin filaments are required for the proper migration of neural crest cells by controlling both the speed and the direction of cell migration. We further determined that septin filaments regulate these features of cell migration by interacting with actin stress fibers. In neural crest cells, septin filaments co-align with actin stress fibers, and the loss of septin filaments leads to impaired stability and contractility of actin stress fibers. In addition, we showed that a partial loss of septin filaments leads to drastic changes in the orientations of newly formed actin stress fibers, suggesting that septin filaments help maintain the persistent orientation of actin stress fibers during directed cell migration. Lastly, our study revealed that these activities of septin filaments depend on Cdc42ep1, which colocalizes with septin filaments in the center of neural crest cells. Cdc42ep1 interacts with septin filaments in a reciprocal manner, with septin filaments recruiting Cdc42ep1 to the cell center and Cdc42ep1 supporting the formation of septin filaments."
2023 Jan 29,Journal of cardiovascular development and disease,J Cardiovasc Dev Dis. 2023 Jan 29;10(2):51. doi: 10.3390/jcdd10020051.,"['Nie, Shuyi']","['congenital heart disease', 'frog', 'hypoplastic left heart syndrome']",Use of Frogs as a Model to Study the Etiology of HLHS.,"A frog is a classical model organism used to uncover processes and regulations of early vertebrate development, including heart development. Recently, we showed that a frog also represents a useful model to study a rare human congenital heart disease, hypoplastic left heart syndrome. In this review, we first summarized the cellular events and molecular regulations of vertebrate heart development, and the benefit of using a frog model to study congenital heart diseases. Next, we described the challenges in elucidating the etiology of hypoplastic left heart syndrome and discussed how a frog model may contribute to our understanding of the molecular and cellular bases of the disease. We concluded that a frog model offers its unique advantage in uncovering the cellular mechanisms of hypoplastic left heart syndrome; however, combining multiple model organisms, including frogs, is needed to gain a comprehensive understanding of the disease."
2022 Dec 16,Human molecular genetics,Hum Mol Genet. 2022 Dec 16;31(24):4217-4227. doi: 10.1093/hmg/ddac174.,"['Lin, Lizhu', 'Pinto, Antonella', 'Wang, Lu', 'Fukatsu, Kazumi', 'Yin, Yan', 'Bamforth, Simon D', 'Bronner, Marianne E', 'Evans, Sylvia M', 'Nie, Shuyi', 'Anderson, Robert H', 'Terskikh, Alexey V', 'Grossfeld, Paul D']","['animals', 'humans', 'mice', 'cell movement genetics', 'heart', ' heart defects, congenital', ' neural crest', 'organogenesis', ' proto-oncogene protein c-ets-1 genetics']",ETS1 loss in mice impairs cardiac outflow tract septation via a cell migration defect autonomous to the neural crest.,"Ets1 deletion in some mouse strains causes septal defects and has been implicated in human congenital heart defects in Jacobsen syndrome, in which one copy of the Ets1 gene is missing. Here, we demonstrate that loss of Ets1 in mice results in a decrease in neural crest (NC) cells migrating into the proximal outflow tract cushions during early heart development, with subsequent malalignment of the cushions relative to the muscular ventricular septum, resembling double outlet right ventricle (DORV) defects in humans. Consistent with this, we find that cultured cardiac NC cells from Ets1 mutant mice or derived from iPS cells from Jacobsen patients exhibit decreased migration speed and impaired cell-to-cell interactions. Together, our studies demonstrate a critical role for ETS1 for cell migration in cardiac NC cells that are required for proper formation of the proximal outflow tracts. These data provide further insights into the molecular and cellular basis for development of the outflow tracts, and how perturbation of NC cells can lead to DORV."
2022,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2022;2438:517-526. doi: 10.1007/978-1-0716-2035-9_30.,"['Nie, Shuyi']","['animals', 'cell differentiation', 'cell movement', ' neural crest', ' neural plate', 'xenopus laevis', 'cell migration', 'neural crest', 'neural crest explant dissection', 'quantitative analysis', 'xenopus laevis']",Quantitative Analysis of Directional Neural Crest Cell Migration.,"The neural crest is a highly migratory cell population that evolved in vertebrates. Born at the lateral borders of the neural plate, neural crest cells migrate long distances along defined paths and contribute to the development of many tissue and structures. Neural crest has become an important model for studying directional cell migration. Frog Xenopus laevis is particularly feasible in these studies. Both in vivo and in vitro analyses are performed to study frog neural crest cell migration. While in vivo analysis can provide direct knowledge of how neural crest cells interact with neighboring tissues during their migration, in vitro analysis can produce high-resolution results on cell morphological changes and cell motility. Here we provide a detailed protocol for performing quantitative analysis of Xenopus laevis neural crest cell migration in vitro."
2021 Sep 30,Scientific reports,Sci Rep. 2021 Sep 30;11(1):19512. doi: 10.1038/s41598-021-99029-x.,"['Hladyshau, Siarhei', 'Kho, Mary', 'Nie, Shuyi', 'Tsygankov, Denis']","['algorithms', 'animals', 'enzyme activation', ' models, molecular', 'oocytes metabolism', ' protein interaction domains and motifs', 'starfish', 'structure-activity relationship', 'time-lapse imaging', 'rho gtp-binding proteins  chemistry  metabolism']",Spatiotemporal development of coexisting wave domains of Rho activity in the cell cortex.,"The Rho family GTPases are molecular switches that regulate cytoskeletal dynamics and cell movement through a complex spatiotemporal organization of their activity. In Patiria miniata (starfish) oocytes under in vitro experimental conditions (with overexpressed Ect2, induced expression of Δ90 cyclin B, and roscovitine treatment), such activity generates multiple co-existing regions of coherent propagation of actin waves. Here we use computational modeling to investigate the development and properties of such wave domains. The model reveals that the formation of wave domains requires a balance between the activation and inhibition in the Rho signaling motif. Intriguingly, the development of the wave domains is preceded by a stage of low-activity quasi-static patterns, which may not be readily observed in experiments. Spatiotemporal patterns of this stage and the different paths of their destabilization define the behavior of the system in the later high-activity (observable) stage. Accounting for a strong intrinsic noise allowed us to achieve good quantitative agreement between simulated dynamics in different parameter regimes of the model and different wave dynamics in Patiria miniata and wild type Xenopus laevis (frog) data. For quantitative comparison of simulated and experimental results, we developed an automated method of wave domain detection, which revealed a sharp reversal in the process of pattern formation in starfish oocytes. Overall, our findings provide an insight into spatiotemporal regulation of complex and diverse but still computationally reproducible cell-level actin dynamics."
2020 Oct 1,Cell stem cell,Cell Stem Cell. 2020 Oct 1;27(4):574-589.e8. doi: 10.1016/j.stem.2020.07.015. ,"['Miao, Yifei', 'Tian, Lei', 'Martin, Marcy', 'Paige, Sharon L', 'Galdos, Francisco X', 'Li, Jibiao', 'Klein, Alyssa', 'Zhang, Hao', 'Ma, Ning', 'Wei, Yuning', 'Stewart, Maria', 'Lee, Soah', 'Moonen, Jan-Renier', 'Zhang, Bing', 'Grossfeld, Paul', 'Mital, Seema', 'Chitayat, David', 'Wu, Joseph C', 'Rabinovitch, Marlene', 'Nelson, Timothy J', 'Nie, Shuyi', 'Wu, Sean M', 'Gu, Mingxia']","['endocardium', 'humans', ' hypoplastic left heart syndrome', ' induced pluripotent stem cells', 'myocardium', 'signal transduction', 'ets1', 'notch', 'de novo mutation', 'endocardium', 'endothelial to mesenchymal transition', 'fibronectin', 'human heart tissue', 'hypoplastic left heart syndrome', 'induced pluripotent stem cells', 'single-cell rna-seq']",Intrinsic Endocardial Defects Contribute to Hypoplastic Left Heart Syndrome.,"Hypoplastic left heart syndrome (HLHS) is a complex congenital heart disease characterized by abnormalities in the left ventricle, associated valves, and ascending aorta. Studies have shown intrinsic myocardial defects but do not sufficiently explain developmental defects in the endocardial-derived cardiac valve, septum, and vasculature. Here, we identify a developmentally impaired endocardial population in HLHS through single-cell RNA profiling of hiPSC-derived endocardium and human fetal heart tissue with an underdeveloped left ventricle. Intrinsic endocardial defects contribute to abnormal endothelial-to-mesenchymal transition, NOTCH signaling, and extracellular matrix organization, key factors in valve formation. Endocardial abnormalities cause reduced cardiomyocyte proliferation and maturation by disrupting fibronectin-integrin signaling, consistent with recently described de novo HLHS mutations associated with abnormal endocardial gene and fibronectin regulation. Together, these results reveal a critical role for endocardium in HLHS etiology and provide a rationale for considering endocardial function in regenerative strategies."
2019,Frontiers in physiology,Front Physiol. 2019 May 7;10:542. doi: 10.3389/fphys.2019.00542. eCollection ,"['Kho, Mary', 'Shi, Hongyu', 'Nie, Shuyi']","['cdc42', 'cdc42ep3', 'xenopus', 'epithelialization', 'somite segmentation', 'somitogenesis']",Cdc42 Effector Protein 3 Interacts With Cdc42 in Regulating Xenopus Somite Segmentation.,"Somitogenesis is a critical process during vertebrate development that establishes the segmented body plan and gives rise to the vertebra, skeletal muscles, and dermis. While segmentation clock and wave front mechanisms have been elucidated to control the size and time of somite formation, regulation of the segmentation process that physically separates somites is not understood in detail. Here, we identified a cytoskeletal player, Cdc42 effector protein 3 (Cdc42ep3, CEP3) that is required for somite segmentation in Xenopus embryos. CEP3 is specifically expressed in somite tissue during somite segmentation. Loss-of-function experiments showed that CEP3 is not required for the specification of paraxial mesoderm, nor the differentiation of muscle cells, but is required for the segmentation process. Live imaging analysis further revealed that CEP3 is required for cell shape changes and alignment during somitogenesis. When CEP3 was knocked down, somitic cells did not elongate efficiently along the mediolateral axis and failed to undertake the 90° rotation. As a result, cells remained in a continuous sheet without an apparent segmentation cleft. CEP3 likely interacts with Cdc42 during this process, and both increased and decreased Cdc42 activity led to defective somite segmentation. Segmentation defects caused by Cdc42 knockdown can be partially rescued by the overexpression of CEP3. Conversely, loss of CEP3 resulted in the maintenance of high levels of Cdc42 activity at the cell membrane, which is normally reduced during and after somite segmentation. These results suggest that there is a feedback regulation between Cdc42 and CEP3 during somite segmentation and the activity of Cdc42 needs to be fine-tuned to control the coordinated cell shape changes and movement required for somite segmentation."
2019 Feb 23,Journal of cardiovascular development and disease,J Cardiovasc Dev Dis. 2019 Feb 23;6(1):10. doi: 10.3390/jcdd6010010.,"['Grossfeld, Paul', 'Nie, Shuyi', 'Lin, Lizhu', 'Wang, Lu', 'Anderson, Robert H']","['jacobsen syndrome', 'cardiac myocyte', 'endocardium', 'hyperplasia', 'hypoplastic left heart syndrome', 'neural crest cell']",Hypoplastic Left Heart Syndrome: A New Paradigm for an Old Disease?,"Hypoplastic left heart syndrome occurs in up to 3% of all infants born with congenital heart disease and is a leading cause of death in this population. Although there is strong evidence for a genetic component, a specific genetic cause is only known in a small subset of patients, consistent with a multifactorial etiology for the syndrome. There is controversy surrounding the mechanisms underlying the syndrome, which is likely due, in part, to the phenotypic variability of the disease. The most commonly held view is that the ""decreased"" growth of the left ventricle is due to a decreased flow during a critical period of ventricular development. Research has also been hindered by what has been, up until now, a lack of genetically engineered animal models that faithfully reproduce the human disease. There is a growing body of evidence, nonetheless, indicating that the hypoplasia of the left ventricle is due to a primary defect in ventricular development. In this review, we discuss the evidence demonstrating that, at least for a subset of cases, the chamber hypoplasia is the consequence of hyperplasia of the contained cardiomyocytes. In this regard, hypoplastic left heart syndrome could be viewed as a neonatal form of cardiomyopathy. We also discuss the role of the endocardium in the development of the ventricular hypoplasia, which may provide a mechanistic basis for how impaired flow to the developing ventricle leads to the anatomical changes seen in the syndrome."
