time,journal,doi_info,authors,key words,title,abstract
2023 Aug 1,Advances in skin & wound care,Adv Skin Wound Care. 2023 Aug 1;36(8):404-413. doi: 10.1097/ASW.0000000000000001.,"['Sprigle, Stephen']","['humans', 'posture', ' wheelchairs', 'education, continuing', 'biomechanical phenomena', ' nurse practitioners']",Measure It: Proper Wheelchair Fit Is Key to Ensuring Function while Protecting Skin Integrity.,"GENERAL PURPOSE: To review the biomechanics of posture, appropriate means to configure a wheelchair to permit proper postural support, and common problems arising from improper wheelchair fit. TARGET AUDIENCE: This continuing education activity is intended for physicians, physician assistants, nurse practitioners, and nurses with an interest in skin and wound care. LEARNING OBJECTIVES/OUTCOMES: After participating in this educational activity, the participant will:1. Synthesize the concepts influencing proper wheelchair fit.2. Identify the biomechanics of posture as they apply to wheelchair fit.3. Summarize the appropriate assessment guidelines for determining and preparing to adjust wheelchair fit."
2023 Jan-Dec,Journal of rehabilitation and assistive technologies engineering,J Rehabil Assist Technol Eng. 2023 Jun 7;10:20556683231182324. doi: ,"['Sprigle, Stephen', 'Deshpande, Yogesh', 'Bartlett, Chris']","['anthropometry', 'buttocks models', 'parametric design', 'performance', 'wheelchair cushion']",The design of a family of parametric anatomically-based compliant buttock models to evaluate wheelchair cushion performance.,"The evaluation of wheelchair cushion performance is of interest to a variety of stakeholders, including standards organizations, cushion manufacturers, clinicians, users and payers. The objective of this project was to develop a family of compliant buttock models that are based upon the anatomical parameters of persons with varying body sizes. The models are parametrically designed so can be scaled to evaluate different sized cushions. This paper will detail the designs, describe the anatomical basis for the design and provide the rationale for the design decisions. The manuscript also serves a secondary purpose to illustrate how anthropometric data can be applied to the design of anatomical phantoms that reflect both soft tissue and skeletal anthropometry. Supplemental material includes greater detail and the full CAD files and model fabrication instructions are available in an open access repository for persons who wish to fabricate the models."
2024 Jan 2,Assistive technology : the official journal of RESNA,Assist Technol. 2024 Jan 2;36(1):11-15. doi: 10.1080/10400435.2023.2185700. Epub ,"['Sprigle, Stephen', 'Deshpande, Yogesh', 'Wang, Ethan']","['humans', ' pressure ulcer prevention & control', 'equipment design', ' wheelchairs', 'buttocks', 'bariatric', 'performance', 'testing', 'wheelchair cushion']",Evaluating bottoming-out of bariatric sized wheelchair cushions.,"In the United States, wheelchair cushions are classified using HCPCS codes. Cushions classified as Skin Protection cushions are provided for wheelchair users who are at risk of tissue damage. Cushions designed for bariatric users fall into a category of cushions with width of 22 inches or greater. Current coding procedures require tests that are designed for 41-43-cm-wide cushion so cannot evaluate wider cushions. The objective of this study was to evaluate the performance of heavy-duty or bariatric wheelchair cushions using an anthropometrically appropriate buttock model and loading profile. A rigid buttock model, designed to reflect the anthropometry of persons using cushions over 55 cm in width was loaded onto six bariatric-sized wheelchair cushions. Two applied loads, 75 and 88 kg, represented the 50th and 80th percentile of persons who would be expected to use a 55-cm-wide cushion. None of the cushions indicated a bottomed-out state at the 88 kg load, suggesting that they could adequately support users weighing 135 kg. However, when evaluating cushions at their maximum rated loads, two of the six cushions were approaching or had bottomed-out. This study indicates that a more valid approach to classify Skin Protection bariatric cushions is needed."
2023,ASME open journal of engineering,ASME Open J Eng. 2023;2:10.1115/1.4062696. doi: 10.1115/1.4062696.,"['Misch, Jacob', 'Sprigle, Stephen']","['dynamics', 'energy efficiency', 'energy loss', 'frame mass', 'manual wheelchair', 'mechanical engineering', 'mechatronics and electro-mechanical systems', 'propulsion cost', 'rehabilitation devices', 'rolling resistance']",Effects of Incremental Changes to Frame Mass on Manual Wheelchair Propulsion Cost.,"The objective of this study was to assess the effects of small, incremental additions to wheelchair frame mass (0 kg, +2 kg, and +4 kg) on the mechanical propulsion characteristics in both straight and curvilinear maneuvers. A robotic propulsion system was used to propel a manual wheelchair over a smooth tiled surface following rectilinear (""Straight"") and curvilinear (""Slalom"") trajectories. Three unique loading conditions were tested. Propulsion costs and system rolling resistance estimations were empirically collected using the robotic wheelchair tester. Propulsion cost values were equivalent across all loading conditions over the Slalom trajectory. In the Straight trajectory, adding 2 kg on the axle had equivalent propulsion cost to the unloaded configuration. Adding 4 kg on axle was comparable, but not equivalent, to the unloaded configuration with small (≤4.1%) increases in propulsion cost. This study demonstrates that small (0-4 kg) changes to the frame mass have no meaningful impacts on the propulsion characteristics of the manual wheelchair system. Differences in propulsion cost and rolling resistance were detectable but contextually insignificant."
2024 Jan,The journal of spinal cord medicine,J Spinal Cord Med. 2024 Jan;47(1):91-99. doi: 10.1080/10790268.2022.2122340. Epub ,"['Sonenblum, Sharon Eve', 'Feng, Chen', 'Sprigle, Stephen']","['humans', ' spinal cord injuries complications', ' pressure ulcer epidemiology etiology', 'cross-sectional studies', 'movement', ' wheelchairs', 'behavior', 'movement', 'pressure ulcer', 'risk assessment', 'wheelchair']",The relationship between in-seat movement and pressure ulcers in wheelchair users with SCI/D.,
2022,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2022 Sep 30;10:1006767. doi: 10.3389/fbioe.2022.1006767. ,"['Sprigle, Stephen', 'Deshpande, Yogesh']","['classification', 'interface pressure', 'measurement', 'performance', 'wheelchair cushion']",Procedure to categorize wheelchair cushion performance using compliant buttock models.,"Purpose: Wheelchair cushion prescription often seeks to address tissue integrity in addition to other clinical indicators. Because hundreds of wheelchair cushion models are available, a benefit would result if cushions were classified in a more valid manner to help guide selection by clinicians and users. The objective of this research was to develop an approach to evaluate and classify wheelchair cushion performance with respect to pressure redistribution. Materials and methods: Two anatomically-based buttock models were designed consisting of an elastomeric shell that models overall buttock form and a rigid substructure that abstracts load-bearing aspects of the skeleton. Model shapes were based upon elliptical and trigonometric equations, respectively. Two performance parameters were defined, pressure magnitude and pressure redistribution. The pressure magnitude parameter compared internal pressure values of the test cushion to a flat foam reference material, resulting in three classifications, superior, comparable, and inferior. Surface sensors were used to distinguish cushions with high, moderate or low pressure redistribution performance. Ten wheelchair cushions were evaluated by both models using two loads that represent a range of body weights expected for 41-43 cm wide cushions. Results and Conclusion: A classification matrix is proposed using both models and performance parameters. Two cushions met criteria for the highest level of performance, and one cushion was deemed to have inadequate performance for therapeutic value. The proposed method has a sensitivity to discern differences, compatibility with different sized cushions, and a versatility in classification. As such, it stands as an improvement over existing classification approaches."
2022 Jan-Dec,Journal of rehabilitation and assistive technologies engineering,J Rehabil Assist Technol Eng. 2022 Apr 23;9:20556683221092322. doi: ,"['Misch, Jacob', 'Sprigle, Stephen']",[],Estimating whole-body vibration limits of manual wheelchair mobility over common surfaces.,"Whole-body vibration (WBV) experienced during manual wheelchair use was quantified across several types of terrain (tile, sidewalk, decorative bricks, expanded metal grates). Over-ground travel was controlled using a robotic propulsion system. Vibrations along the vertical axis were measured with a triaxial accelerometer mounted to the seat of the wheelchair. Root-mean-square acceleration values were compared to the health guidance exposure limits established by the European Council using the WBV calculator tool published by the Health and Safety Executive (HSE). Vibrations along the vertical axis were well below the exposure values associated with health risks. Even the most aggressive tactile surface (grates) tested in this study would require more than 14 h of daily travel to reach the ""exposure action value,"" and more than 24 h would be required to reach the ""exposure limit value"". Considering the average cumulative duration of active self-propulsion among manual wheelchair users is around an hour or less, none of the tested conditions were deemed unsafe or damaging."
2022 Feb 1,Advances in skin & wound care,Adv Skin Wound Care. 2022 Feb 1;35(2):84-86. doi: ,"['Brienza, David M', 'Campbell, Karen E', 'Sprigle, Stephen']","['humans', ' crush injuries', ' spinal cord injuries complications', ' pressure ulcer prevention & control']","The Past, Present, and Future of Pressure Injury Prevention in Patients with Spinal Cord Injury.",
2022,ASME open journal of engineering,ASME Open J Eng. 2022;1(1):10.1115/1.4055629. doi: 10.1115/1.4055629.,"['Misch, Jacob', 'Sprigle, Stephen']","['energy efficiency', 'energy loss', 'folding frame', 'manual wheelchair', 'propulsion cost', 'rehabilitation devices', 'rigid frame', 'robotic systems', 'simulated use', 'vehicular dynamics']",Propulsion Cost Changes of Ultra-Lightweight Manual Wheelchairs After One Year of Simulated Use.,"Manual wheelchairs are available with folding or rigid frames to meet the preferences and needs of individual users. Folding styles are commonly regarded as more portable and storable, whereas rigid frames are commonly regarded as more efficient for frequently daily use. To date, there are no studies directly comparing the performances of the frame types. Furthermore, while differences have been reported in the longevity of the frame types, no efforts have been made to relate this durability back to the real-world performance of the frames. This study investigated the propulsion efficiencies of four folding and two rigid ultra-lightweight frames equipped with identical drive tires and casters. A robotic wheelchair tester was used to measure the propulsion costs of each chair over two surfaces: concrete and carpet. A motorized carousel was used to drive the chairs 511 km around a circular track to simulate one year of use for each wheelchair. After simulated use, five of the six wheelchairs showed no decrease in propulsion effort, indicating that the frames were able to withstand the stresses of simulated use without a detrimental impact on performance. In the unused ""new"" condition, rigid chairs were found to have superior (>5%) performance over folding frames on concrete and carpet, and in the ""worn"" condition rigid chairs had superior performance over folding chairs on concrete but were comparable on the carpeted surface."
2023 Nov,Disability and rehabilitation. Assistive technology,Disabil Rehabil Assist Technol. 2023 Nov;18(8):1393-1403. doi: ,"['Misch, Jacob', 'Sprigle, Stephen']","['humans', ' robotic surgical procedures', 'equipment design', 'durable medical equipment', ' wheelchairs', ' robotics', 'fatigue', 'biomechanical phenomena', 'manual wheelchair', 'energy loss', 'propulsion cost', 'rolling resistance', 'scrub torque']",Effects of wheels and tires on high-strength lightweight wheelchair propulsion cost using a robotic wheelchair tester.,"PURPOSE: This study was designed to investigate the effect of wheel and tire selections on the propulsion characteristics of a high-strength lightweight manual wheelchair using robotic wheelchair propulsion. MATERIALS AND METHODS: Four configurations were compared with differing combinations of drive wheel tires and casters, with the baseline reflecting the manufacturer configuration of a solid mag drive wheel and 8""×1"" caster. The robotic wheelchair tester propelled the chair using pre-generated straight and curvilinear manoeuvres using repeatable and reliable cyclic torque profiles. Additionally, energy loss of the components was measured using coast-down deceleration tests to approximate the system-level rolling resistance of each configuration. RESULTS: Results indicate a significant decrease in propulsion cost, increased distance travelled and increased manoeuvrability across all configurations, with upgraded casters and tires. CONCLUSIONS: These results indicated that with better casters and drive wheel tires, the performance of high strength lightweight wheelchairs can be improved and better meet the mobility needs of users.Implications for rehabilitationWheel and tire selection can have a demonstrable impact on the propulsion efficiency of manual wheelchairsCoast-down test protocols can be used as a simple and cost-effective means of assessing representative energy losses across various surfacesWheelchair configurations can be optimized with proper knowledge of the main energetic loss contributions and the environments and contexts of use."
