time,journal,doi_info,authors,key words,title,abstract
2020 Jul,"Genes, brain, and behavior",Genes Brain Behav. 2020 Jul;19(6):e12657. doi: 10.1111/gbb.12657. Epub 2020 May ,"['Baran, Nicole M', 'Streelman, J Todd']","[' aggression', 'animals', 'cichlids  genetics physiology', ' ecotype', 'female', 'fish proteins genetics metabolism', 'gene-environment interaction', 'male', 'neural conduction', ' transcriptome', 'phosphotrap', 'rna-seq', 'aggression', 'cichlid fish', 'evolution', 'gene expression', 'neural induction', 'ps6', 'social behavior', 'species difference']","Ecotype differences in aggression, neural activity and behaviorally relevant gene expression in cichlid fish.","In Lake Malawi, two ecologically distinct lineages of cichlid fishes (rock- vs sand-dwelling ecotypes, each comprised of over 200 species) evolved within the last million years. The rock-dwelling species (Mbuna) are aggressively territorial year-round and males court and spawn with females over rocky substrate. In contrast, males of sand-dwelling species are not territorial and instead aggregate on seasonal breeding leks in which males construct courtship ""bowers"" in the sand. However, little is known about how phenotypic variation in aggression is produced by the genome. In this study, we first quantify and compare behavior in seven cichlid species, demonstrating substantial ecotype and species differences in unconditioned mirror-elicited aggression. Second, we compare neural activity in mirror-elicited aggression in two representative species, Mchenga conophoros (sand-dwelling) and Petrotilapia chitimba (rock-dwelling). Finally, we compare gene expression patterns between these two species, specifically within neurons activated during mirror aggression. We identified a large number of genes showing differential expression in mirror-elicited aggression, as well as many genes that differ between ecotypes. These genes, which may underly species differences in behavior, include several neuropeptides, genes involved in the synthesis of steroid hormones and neurotransmitter activity. This work lays the foundation for future experiments using this emerging genetic model system to investigate the genomic basis of evolved species differences in both brain and behavior."
2019 Dec 27,Scientific reports,Sci Rep. 2019 Dec 27;9(1):19994. doi: 10.1038/s41598-019-55894-1.,"['York, Ryan A', 'Byrne, Allie', 'Abdilleh, Kawther', 'Patil, Chinar', 'Streelman, Todd', 'Finger, Thomas E', 'Fernald, Russell D']","['animals', ' behavior, animal', ' biological evolution', ' biological variation, population', 'biomarkers', 'cichlids  anatomy & histology classification  physiology', 'fluorescent antibody technique', 'lakes', 'malawi', 'organ size', 'phylogeny', 'rhombencephalon  anatomy & histology  physiology']",Behavioral evolution contributes to hindbrain diversification among Lake Malawi cichlid fish.,"The evolutionary diversification of animal behavior is often associated with changes in the structure and function of nervous systems. Such evolutionary changes arise either through alterations of individual neural components (""mosaically"") or through scaling of the whole brain (""concertedly""). Here we show that the evolution of a courtship behavior in Malawi cichlid fish is associated with rapid, extensive, and specific diversification of orosensory, gustatory centers in the hindbrain. We find that hindbrain volume varies significantly between species that build pit (depression) compared to castle (mound) type bowers and that this trait is evolving rapidly among castle-building species. Molecular analyses of neural activity via immediate early gene expression indicate a functional role for hindbrain structures during bower building. Finally, comparisons of bower building species in neighboring Lake Tanganyika suggest parallel patterns of neural diversification to those in Lake Malawi. Our results suggest that mosaic brain evolution via alterations to individual brain structures is more extensive and predictable than previously appreciated."
2019 Sep 3,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2019 Sep 3;116(36):17858-17866. doi: ,"['Bloomquist, Ryan F', 'Fowler, Teresa E', 'An, Zhengwen', 'Yu, Tian Y', 'Abdilleh, Kawther', 'Fraser, Gareth J', 'Sharpe, Paul T', 'Streelman, J Todd']","['animals', 'biomarkers', ' cell differentiation', ' cell plasticity', 'cell self renewal genetics', 'epithelium metabolism', 'gene expression profiling', 'high-throughput nucleotide sequencing', 'mice', 'regeneration', 'stem cells  cytology  metabolism', 'taste buds  cytology  metabolism', 'tooth cytology', 'regeneration', 'stem cells', 'taste buds', 'teeth']",Developmental plasticity of epithelial stem cells in tooth and taste bud renewal.,"In Lake Malawi cichlids, each tooth is replaced in one-for-one fashion every ∼20 to 50 d, and taste buds (TBs) are continuously renewed as in mammals. These structures are colocalized in the fish mouth and throat, from the point of initiation through adulthood. Here, we found that replacement teeth (RT) share a continuous band of epithelium with adjacent TBs and that both organs coexpress stem cell factors in subsets of label-retaining cells. We used RNA-seq to characterize transcriptomes of RT germs and TB-bearing oral epithelium. Analysis revealed differential usage of developmental pathways in RT compared to TB oral epithelia, as well as a repertoire of genome paralogues expressed complimentarily in each organ. Notably, BMP ligands were expressed in RT but excluded from TBs. Morphant fishes bathed in a BMP chemical antagonist exhibited RT with abrogated shh expression in the inner dental epithelium (IDE) and ectopic expression of calb2 (a TB marker) in these very cells. In the mouse, teeth are located on the jaw margin while TBs and other oral papillae are located on the tongue. Previous study reported that tongue intermolar eminence (IE) oral papillae of Follistatin (a BMP antagonist) mouse mutants exhibited dysmorphic invagination. We used these mutants to demonstrate altered transcriptomes and ectopic expression of dental markers in tongue IE. Our results suggest that vertebrate oral epithelium retains inherent plasticity to form tooth and taste-like cell types, mediated by BMP specification of progenitor cells. These findings indicate underappreciated epithelial cell populations with promising potential in bioengineering and dental therapeutics."
2018 Nov 20,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2018 Nov 20;115(47):E11081-E11090. doi: ,"['York, Ryan A', 'Patil, Chinar', 'Abdilleh, Kawther', 'Johnson, Zachary V', 'Conte, Matthew A', 'Genner, Martin J', 'McGrath, Patrick T', 'Fraser, Hunter B', 'Fernald, Russell D', 'Streelman, J Todd']","['animals', 'behavior, animal  physiology', 'chromosome mapping', 'cichlids  genetics', 'gene expression', 'gene expression regulation genetics', 'genetic variation genetics', 'genome genetics', 'genome-wide association study', 'lakes', 'malawi', 'male', 'malawi cichlids', 'bower building', 'cis-regulatory evolution', 'genome sequencing']",Behavior-dependent cis regulation reveals genes and pathways associated with bower building in cichlid fishes.,"Many behaviors are associated with heritable genetic variation [Kendler and Greenspan (2006) Am J Psychiatry 163:1683-1694]. Genetic mapping has revealed genomic regions or, in a few cases, specific genes explaining part of this variation [Bendesky and Bargmann (2011) Nat Rev Gen 12:809-820]. However, the genetic basis of behavioral evolution remains unclear. Here we investigate the evolution of an innate extended phenotype, bower building, among cichlid fishes of Lake Malawi. Males build bowers of two types, pits or castles, to attract females for mating. We performed comparative genome-wide analyses of 20 bower-building species and found that these phenotypes have evolved multiple times with thousands of genetic variants strongly associated with this behavior, suggesting a polygenic architecture. Remarkably, F(1) hybrids of a pit-digging and a castle-building species perform sequential construction of first a pit and then a castle bower. Analysis of brain gene expression in these hybrids showed that genes near behavior-associated variants display behavior-dependent allele-specific expression with preferential expression of the pit-digging species allele during pit digging and of the castle-building species allele during castle building. These genes are highly enriched for functions related to neurodevelopment and neural plasticity. Our results suggest that natural behaviors are associated with complex genetic architectures that alter behavior via cis-regulatory differences whose effects on gene expression are specific to the behavior itself."
2018 Jan 25,Nature communications,Nat Commun. 2018 Jan 25;9(1):378. doi: 10.1038/s41467-017-02785-6.,"['An, Zhengwen', 'Sabalic, Maja', 'Bloomquist, Ryan F', 'Fowler, Teresa E', 'Streelman, Todd', 'Sharpe, Paul T']","['animals', 'biomarkers metabolism', 'cell count', 'cell differentiation', 'cell lineage  genetics', 'cell proliferation', 'flow cytometry', 'gene expression', 'incisor  cytology growth & development metabolism', 'mesenchymal stem cells  cytology metabolism', 'mice', 'mice, transgenic', 'mitosis', 'osteogenesis  genetics', 'receptors, g-protein-coupled genetics metabolism', 'thy-1 antigens  genetics metabolism']",A quiescent cell population replenishes mesenchymal stem cells to drive accelerated growth in mouse incisors.,"The extent to which heterogeneity within mesenchymal stem cell (MSC) populations is related to function is not understood. Using the archetypal MSC in vitro surface marker, CD90/Thy1, here we show that 30% of the MSCs in the continuously growing mouse incisor express CD90/Thy1 and these cells give rise to 30% of the differentiated cell progeny during postnatal development. In adulthood, when growth rate homeostasis is established, the CD90/Thy1(+) MSCs decrease dramatically in number. When adult incisors are cut, the growth rate increases to rapidly re-establish tooth length and homeostasis. This accelerated growth rate correlates with the re-appearance of CD90/Thy(+) MSCs and re-establishment of their contribution to cell differentiation. A population of Celsr1(+) quiescent cells becomes mitotic following clipping and replenishes the CD90/Thy1 population. A sub-population of MSCs thus exists in the mouse incisor, distinguished by expression of CD90/Thy1 that plays a specific role only during periods of increased growth rate."
2018 Jan 8,BMC evolutionary biology,BMC Evol Biol. 2018 Jan 8;18(1):1. doi: 10.1186/s12862-017-1072-2.,"['Ramakrishnan Varadarajan, Ajay', 'Mopuri, Rohini', 'Streelman, J Todd', 'McGrath, Patrick T']","['africa, eastern', 'animals', 'base sequence', 'cichlids  genetics', 'evolution, molecular', 'fish proteins genetics', ' genome', 'humans', 'lakes', 'phenotype', ' phylogeny', 'receptors, vasopressin genetics', 'transforming growth factor beta genetics', 'zebrafish genetics']",Genome-wide protein phylogenies for four African cichlid species.,"BACKGROUND: The thousands of species of closely related cichlid fishes in the great lakes of East Africa are a powerful model for understanding speciation and the genetic basis of trait variation. Recently, the genomes of five species of African cichlids representing five distinct lineages were sequenced and used to predict protein products at a genome-wide level. Here we characterize the evolutionary relationship of each cichlid protein to previously sequenced animal species. RESULTS: We used the Treefam database, a set of preexisting protein phylogenies built using 109 previously sequenced genomes, to identify Treefam families for each protein annotated from four cichlid species: Metriaclima zebra, Astatotilapia burtoni, Pundamilia nyererei and Neolamporologus brichardi. For each of these Treefam families, we built new protein phylogenies containing each of the cichlid protein hits. Using these new phylogenies we identified the evolutionary relationship of each cichlid protein to its nearest human and zebrafish protein. This data is available either through download or through a webserver we have implemented. CONCLUSION: These phylogenies will be useful for any cichlid researchers trying to predict biological and protein function for a given cichlid gene, understanding the evolutionary history of a given cichlid gene, identifying recently duplicated cichlid genes, or performing genome-wide analysis in cichlids that relies on using databases generated from other species."
2017 Jun 6,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2017 Jun 6;114(23):5886-5893. doi: ,"['Baran, Nicole M', 'McGrath, Patrick T', 'Streelman, J Todd']","['animals', ' biological evolution', ' gene regulatory networks', 'models, biological', 'nerve net', ' social behavior', 'development', 'evolution', 'gene regulatory networks', 'neural networks', 'social behavior network']",Applying gene regulatory network logic to the evolution of social behavior.,"Animal behavior is ultimately the product of gene regulatory networks (GRNs) for brain development and neural networks for brain function. The GRN approach has advanced the fields of genomics and development, and we identify organizational similarities between networks of genes that build the brain and networks of neurons that encode brain function. In this perspective, we engage the analogy between developmental networks and neural networks, exploring the advantages of using GRN logic to study behavior. Applying the GRN approach to the brain and behavior provides a quantitative and manipulative framework for discovery. We illustrate features of this framework using the example of social behavior and the neural circuitry of aggression."
2015,Current topics in developmental biology,Curr Top Dev Biol. 2015;115:321-33. doi: 10.1016/bs.ctdb.2015.07.005. Epub 2015 ,"['Streelman, J Todd', 'Bloomquist, Ryan F', 'Fowler, Teresa E']","['animals', 'body patterning genetics  physiology', 'epithelium embryology metabolism physiology', 'gene expression regulation, developmental', 'hedgehog proteins genetics', 'jaw embryology metabolism  physiology', 'regeneration genetics  physiology', 'signal transduction genetics physiology', 'taste buds embryology metabolism  physiology', 'tooth embryology metabolism  physiology', 'development and regeneration', 'patterning', 'stem cell', 'taste bud', 'tooth']",Developmental Plasticity of Patterned and Regenerating Oral Organs.,"In many aquatic vertebrates, including bony and cartilaginous fishes, teeth and taste buds colocalize on jaw elements. In these animals, taste buds are renewed continuously throughout life, whereas teeth undergo cycled whole-organ replacement by various means. Recently, studies of cichlid fishes have yielded new insights into the development and regeneration of these dental and sensory oral organs. Tooth and taste bud densities covary positively across species with different feeding strategies, controlled by common regions of the genome and integrated molecular signals. Developing teeth and taste buds share a bipotent epithelium during early patterning stages, from which dental and taste fields are specified. Moreover, these organs share a common epithelial ribbon that supports label-retaining cells during later stages of regeneration. During both patterning and regeneration stages, dental organs can be converted to taste bud fate by manipulation of BMP signaling. These observations highlight a surprising long-term plasticity between dental and sensory organ types. Here, we review these findings and discuss the implications of developmental plasticity that spans the continuum of craniofacial organ patterning and regeneration."
2015 Nov 3,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2015 Nov 3;112(44):E5954-62. doi: ,"['Bloomquist, Ryan F', 'Parnell, Nicholas F', 'Phillips, Kristine A', 'Fowler, Teresa E', 'Yu, Tian Y', 'Sharpe, Paul T', 'Streelman, J Todd']","['animals', ' biological evolution', ' body patterning', 'cichlids embryology', 'mice', 'molecular sequence data', 'quantitative trait loci', 'signal transduction', 'taste buds  embryology', 'tooth  embryology', 'bipotency', 'placode patterning', 'plasticity', 'quantitative trait loci', 'tooth taste bud development']",Coevolutionary patterning of teeth and taste buds.,"Teeth and taste buds are iteratively patterned structures that line the oro-pharynx of vertebrates. Biologists do not fully understand how teeth and taste buds develop from undifferentiated epithelium or how variation in organ density is regulated. These organs are typically studied independently because of their separate anatomical location in mammals: teeth on the jaw margin and taste buds on the tongue. However, in many aquatic animals like bony fishes, teeth and taste buds are colocalized one next to the other. Using genetic mapping in cichlid fishes, we identified shared loci controlling a positive correlation between tooth and taste bud densities. Genome intervals contained candidate genes expressed in tooth and taste bud fields. sfrp5 and bmper, notable for roles in Wingless (Wnt) and bone morphogenetic protein (BMP) signaling, were differentially expressed across cichlid species with divergent tooth and taste bud density, and were expressed in the development of both organs in mice. Synexpression analysis and chemical manipulation of Wnt, BMP, and Hedgehog (Hh) pathways suggest that a common cichlid oral lamina is competent to form teeth or taste buds. Wnt signaling couples tooth and taste bud density and BMP and Hh mediate distinct organ identity. Synthesizing data from fish and mouse, we suggest that the Wnt-BMP-Hh regulatory hierarchy that configures teeth and taste buds on mammalian jaws and tongues may be an evolutionary remnant inherited from ancestors wherein these organs were copatterned from common epithelium."
2015 Jul,Integrative biology : quantitative biosciences from nano to macro,Integr Biol (Camb). 2015 Jul;7(7):825-33. doi: 10.1039/c5ib00072f.,"['White, Douglas E', 'Sylvester, Jonathan B', 'Levario, Thomas J', 'Lu, Hang', 'Streelman, J Todd', 'McDevitt, Todd C', 'Kemp, Melissa L']","['animals', 'cell communication physiology', 'cell differentiation  physiology', 'cells, cultured', 'computer simulation', 'humans', ' models, biological', 'morphogenesis  physiology', ' multivariate analysis', 'paracrine communication  physiology', 'pluripotent stem cells cytology  physiology']",Quantitative multivariate analysis of dynamic multicellular morphogenic trajectories.,"Interrogating fundamental cell biology principles that govern tissue morphogenesis is critical to better understanding of developmental biology and engineering novel multicellular systems. Recently, functional micro-tissues derived from pluripotent embryonic stem cell (ESC) aggregates have provided novel platforms for experimental investigation; however elucidating the factors directing emergent spatial phenotypic patterns remains a significant challenge. Computational modelling techniques offer a unique complementary approach to probe mechanisms regulating morphogenic processes and provide a wealth of spatio-temporal data, but quantitative analysis of simulations and comparison to experimental data is extremely difficult. Quantitative descriptions of spatial phenomena across multiple systems and scales would enable unprecedented comparisons of computational simulations with experimental systems, thereby leveraging the inherent power of computational methods to interrogate the mechanisms governing emergent properties of multicellular biology. To address these challenges, we developed a portable pattern recognition pipeline consisting of: the conversion of cellular images into networks, extraction of novel features via network analysis, and generation of morphogenic trajectories. This novel methodology enabled the quantitative description of morphogenic pattern trajectories that could be compared across diverse systems: computational modelling of multicellular structures, differentiation of stem cell aggregates, and gastrulation of cichlid fish. Moreover, this method identified novel spatio-temporal features associated with different stages of embryo gastrulation, and elucidated a complex paracrine mechanism capable of explaining spatiotemporal pattern kinetic differences in ESC aggregates of different sizes."
