time,journal,doi_info,authors,key words,title,abstract
2024 Jul 15,Human brain mapping,Hum Brain Mapp. 2024 Jul 15;45(10):e26774. doi: 10.1002/hbm.26774.,"['Killanin, Abraham D', 'Ward, Thomas W', 'Embury, Christine M', 'Calhoun, Vince D', 'Wang, Yu-Ping', 'Stephen, Julia M', 'Picci, Giorgia', 'Heinrichs-Graham, Elizabeth', 'Wilson, Tony W']","['humans', 'male', ' memory, short-term physiology', 'female', 'adolescent', 'child', ' testosterone', ' magnetoencephalography', 'brain physiology', 'saliva chemistry metabolism', 'brain mapping', 'sex characteristics', 'meg', 'alpha', 'development', 'magnetoencephalography', 'neural oscillations', 'pubertal hormones', 'puberty', 'sex differences', 'theta']",Effects of endogenous testosterone on oscillatory activity during verbal working memory in youth.,"Testosterone levels sharply rise during the transition from childhood to adolescence and these changes are known to be associated with changes in human brain structure. During this same developmental window, there are also robust changes in the neural oscillatory dynamics serving verbal working memory processing. Surprisingly, whereas many studies have investigated the effects of chronological age on the neural oscillations supporting verbal working memory, none have probed the impact of endogenous testosterone levels during this developmental period. Using a sample of 89 youth aged 6-14 years-old, we collected salivary testosterone samples and recorded magnetoencephalography during a modified Sternberg verbal working memory task. Significant oscillatory responses were identified and imaged using a beamforming approach and the resulting maps were subjected to whole-brain ANCOVAs examining the effects of testosterone and sex, controlling for age, during verbal working memory encoding and maintenance. Our primary results indicated robust testosterone-related effects in theta (4-7 Hz) and alpha (8-14 Hz) oscillatory activity, controlling for age. During encoding, females exhibited weaker theta oscillations than males in right cerebellar cortices and stronger alpha oscillations in left temporal cortices. During maintenance, youth with greater testosterone exhibited weaker alpha oscillations in right parahippocampal and cerebellar cortices, as well as regions across the left-lateralized language network. These results extend the existing literature on the development of verbal working memory processing by showing region and sex-specific effects of testosterone, and are the first results to link endogenous testosterone levels to the neural oscillatory activity serving verbal working memory, above and beyond the effects of chronological age."
2024 Jun 27,Journal of neuroscience methods,J Neurosci Methods. 2024 Jun 27:110207. doi: 10.1016/j.jneumeth.2024.110207.,"['Li, Wei-Xing', 'Lin, Qiu-Hua', 'Zhang, Chao-Ying', 'Han, Yue', 'Li, Huan-Jie', 'Calhoun, Vince D']","['chain rule', 'complex-valued fmri data', 'complex-valued mutual information', 'gaussian copula transformation', 'spatial functional network connectivity']",Estimation of complete mutual information exploiting nonlinear magnitude-phase dependence: Application to spatial FNC for complex-valued fMRI data.,"BACKGROUND: Real-valued mutual information (MI) has been used in spatial functional network connectivity (FNC) to measure high-order and nonlinear dependence between spatial maps extracted from magnitude-only functional magnetic resonance imaging (fMRI). However, real-valued MI cannot fully capture the group differences in spatial FNC from complex-valued fMRI data with magnitude and phase dependence. METHODS: We propose a complete complex-valued MI method according to the chain rule of MI. We fully exploit the dependence among magnitudes and phases of two complex-valued signals using second and fourth-order joint entropies, and propose to use a Gaussian copula transformation with a lower bound property to avoid inaccurate estimation of joint probability density function when computing the joint entropies. RESULTS: The proposed method achieves more accurate MI estimates than the two histogram-based (normal and symbolic approaches) and kernel density estimation methods for simulated signals, and enhances group differences in spatial functional network connectivity for experimental complex-valued fMRI data. COMPARISON WITH EXISTING METHODS: Compared with the simplified complex-valued MI and real-valued MI, the proposed method yields higher MI estimation accuracy, leading to 17.4% and 145.5% wider MI ranges, and more significant connectivity differences between healthy controls and schizophrenia patients. A unique connection between executive control network (EC) and right frontal parietal areas, and three additional connections mainly related to EC are detected than the simplified complex-valued MI. CONCLUSIONS: With capability in quantifying MI fully and accurately, the proposed complex-valued MI is promising in providing qualified FNC biomarkers for identifying mental disorders such as schizophrenia."
2024 Jun 10,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jun 10:2024.06.08.598092. doi: ,"['Rahaman, Md Abdur', 'Fu, Zening', 'Iraji, Armin', 'Calhoun, Vince']","['biclustering', 'brain network analysis', 'deep learning', 'functional connectivity']",SpaDE: Semantic Locality Preserving Biclustering for Neuroimaging Data.,"The most discriminative and revealing patterns in the neuroimaging population are often confined to smaller subdivisions of the samples and features. Especially in neuropsychiatric conditions, symptoms are expressed within micro subgroups of individuals and may only underly a subset of neurological mechanisms. As such, running a whole-population analysis yields suboptimal outcomes leading to reduced specificity and interpretability. Biclustering is a potential solution since subject heterogeneity makes one-dimensional clustering less effective in this realm. Yet, high dimensional sparse input space and semantically incoherent grouping of attributes make post hoc analysis challenging. Therefore, we propose a deep neural network called semantic locality preserving auto decoder (SpaDE), for unsupervised feature learning and biclustering. SpaDE produces coherent subgroups of subjects and neural features preserving semantic locality and enhancing neurobiological interpretability. Also, it regularizes for sparsity to improve representation learning. We employ SpaDE on human brain connectome collected from schizophrenia (SZ) and healthy control (HC) subjects. The model outperforms several state-of-the-art biclustering methods. Our method extracts modular neural communities showing significant (HC/SZ) group differences in distinct brain networks including visual, sensorimotor, and subcortical. Moreover, these bi-clustered connectivity substructures exhibit substantial relations with various cognitive measures such as attention, working memory, and visual learning."
2024 Jun 16,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jun 16:2024.06.12.598720. doi: ,"['Wiafe, Sir-Lord', 'Asante, Nana O', 'Calhoun, Vince D', 'Faghiri, Ashkan']","['amplitude demodulation', 'dynamic functional connectivity', 'phase demodulation', 'phase synchrony', 'sliding window pearson correlation', 'time-resolved functional network connectivity']",Studying time-resolved functional connectivity via communication theory: on the complementary nature of phase synchronization and sliding window Pearson correlation.,"Time-resolved functional connectivity (trFC) assesses the time-resolved coupling between brain regions using functional magnetic resonance imaging (fMRI) data. This study aims to compare two techniques used to estimate trFC, to investigate their similarities and differences when applied to fMRI data. These techniques are the sliding window Pearson correlation (SWPC), an amplitude-based approach, and phase synchronization (PS), a phase-based technique. To accomplish our objective, we used resting-state fMRI data from the Human Connectome Project (HCP) with 827 subjects (repetition time: 0.7s) and the Function Biomedical Informatics Research Network (fBIRN) with 311 subjects (repetition time: 2s), which included 151 schizophrenia patients and 160 controls. Our simulations reveal distinct strengths in two connectivity methods: SWPC captures high-magnitude, low-frequency connectivity, while PS detects low-magnitude, high-frequency connectivity. Stronger correlations between SWPC and PS align with pronounced fMRI oscillations. For fMRI data, higher correlations between SWPC and PS occur with matched frequencies and smaller SWPC window sizes (~30s), but larger windows (~88s) sacrifice clinically relevant information. Both methods identify a schizophrenia-associated brain network state but show different patterns: SWPC highlights low anti-correlations between visual, subcortical, auditory, and sensory-motor networks, while PS shows reduced positive synchronization among these networks. In sum, our findings underscore the complementary nature of SWPC and PS, elucidating their respective strengths and limitations without implying the superiority of one over the other."
2024 Jun 20,Trends in neurosciences,Trends Neurosci. 2024 Jun 20:S0166-2236(24)00091-2. doi: ,"['Du, Yuhui', 'Fang, Songke', 'He, Xingyu', 'Calhoun, Vince D']","['brain disorder', 'brain imaging', 'connectome', 'deep learning', 'functional connectivity', 'machine learning']",A survey of brain functional network extraction methods using fMRI data.,"Functional network (FN) analyses play a pivotal role in uncovering insights into brain function and understanding the pathophysiology of various brain disorders. This paper focuses on classical and advanced methods for deriving brain FNs from functional magnetic resonance imaging (fMRI) data. We systematically review their foundational principles, advantages, shortcomings, and interrelations, encompassing both static and dynamic FN extraction approaches. In the context of static FN extraction, we present hypothesis-driven methods such as region of interest (ROI)-based approaches as well as data-driven methods including matrix decomposition, clustering, and deep learning. For dynamic FN extraction, both window-based and windowless methods are surveyed with respect to the estimation of time-varying FN and the subsequent computation of FN states. We also discuss the scope of application of the various methods and avenues for future improvements."
2024 Jun 6,Psychiatry research. Neuroimaging,Psychiatry Res Neuroimaging. 2024 Jun 6;342:111843. doi: ,"['Male, Alie G', 'Goudzwaard, Esther', 'Nakahara, Soichiro', 'Turner, Jessica A', 'Calhoun, Vince D', 'Mueller, Bryon A', 'Lim, Kelvin O', 'Bustillo, Juan R', 'Belger, Aysenil', 'Voyvodic, James', ""O'Leary, Daniel"", 'Mathalon, Daniel H', 'Ford, Judith M', 'Potkin, Steven G', 'Preda, Adrian', 'van Erp, Theo G M']","['cognition', 'diffusion tensor imaging', 'diffusivity', 'fractional anisotropy', 'symptoms', 'white matter']",Structural white matter abnormalities in Schizophrenia and associations with neurocognitive performance and symptom severity.,"Schizophrenia is associated with robust white matter (WM) abnormalities but influences of potentially confounding variables and relationships with cognitive performance and symptom severity remain to be fully determined. This study was designed to evaluate WM abnormalities based on diffusion tensor imaging (DTI) in individuals with schizophrenia, and their relationships with cognitive performance and symptom severity. Data from individuals with schizophrenia (SZ; n=138, mean age±SD=39.02±11.82; 105 males) and healthy controls (HC; n=143, mean age±SD=37.07±10.84; 102 males) were collected as part of the Function Biomedical Informatics Research Network Phase 3 study. Fractional anisotropy (FA), axial diffusivity (AD), radial diffusivity (RD), and mean diffusivity (MD) were compared between individuals with schizophrenia and healthy controls, and their relationships with neurocognitive performance and symptomatology assessed. Individuals with SZ had significantly lower FA in forceps minor and the left inferior fronto-occipital fasciculus compared to HC. FA in several tracts were associated with speed of processing and attention/vigilance and the severity of the negative symptom alogia. This study suggests that regional WM abnormalities are fundamentally involved in the pathophysiology of schizophrenia and may contribute to cognitive performance deficits and symptom expression observed in schizophrenia."
2024 May 30,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 May 30:2024.05.29.596506. doi: ,"['Ajith, Meenu', 'Spence, Jeffrey S', 'Chapman, Sandra B', 'Calhoun, Vince D']","['brain health', 'connectivity', 'factors', 'image-assisted', 'multimodal', 'predictive modeling', 'rs-fmri']",Multimodal Predictive Modeling: Scalable Imaging Informed Approaches to Predict Future Brain Health.,"BACKGROUND: Predicting future brain health is a complex endeavor that often requires integrating diverse data sources. The neural patterns and interactions identified through neuroimaging serve as the fundamental basis and early indicators that precede the manifestation of observable behaviors or psychological states. NEW METHOD: In this work, we introduce a multimodal predictive modeling approach that leverages an imaging-informed methodology to gain insights into future behavioral outcomes. We employed three methodologies for evaluation: an assessment-only approach using support vector regression (SVR), a neuroimaging-only approach using random forest (RF), and an image-assisted method integrating the static functional network connectivity (sFNC) matrix from resting-state functional magnetic resonance imaging (rs-fMRI) alongside assessments. The image-assisted approach utilized a partially conditional variational autoencoder (PCVAE) to predict brain health constructs in future visits from the behavioral data alone. RESULTS: Our performance evaluation indicates that the image-assisted method excels in handling conditional information to predict brain health constructs in subsequent visits and their longitudinal changes. These results suggest that during the training stage, the PCVAE model effectively captures relevant information from neuroimaging data, thereby potentially improving accuracy in making future predictions using only assessment data. COMPARISON WITH EXISTING METHODS: The proposed image-assisted method outperforms traditional assessment-only and neuroimaging-only approaches by effectively integrating neuroimaging data with assessment factors. CONCLUSION: This study underscores the potential of neuroimaging-informed predictive modeling to advance our comprehension of the complex relationships between cognitive performance and neural connectivity."
2024 Jun 1,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jun 1:2023.08.13.553101. doi: 10.1101/2023.08.13.553101.,"['Fouladivanda, Mahshid', 'Iraji, Armin', 'Wu, Lei', 'van Erp, Theodorus G M', 'Belger, Aysenil', 'Hawamdeh, Faris', 'Pearlson, Godfrey D', 'Calhoun, Vince D']","['diffusion mri', 'multi-modal independent components analysis', 'multi-objective model', 'resting state fmri', 'schizophrenia', 'spatial constraint']",A spatially constrained independent component analysis jointly informed by structural and functional network connectivity.,"There are a growing number of neuroimaging studies motivating joint structural and functional brain connectivity. Brain connectivity of different modalities provides insight into brain functional organization by leveraging complementary information, especially for brain disorders such as schizophrenia. In this paper, we propose a multi-modal independent component analysis (ICA) model that utilizes information from both structural and functional brain connectivity guided by spatial maps to estimate intrinsic connectivity networks (ICNs). Structural connectivity is estimated through whole-brain tractography on diffusion-weighted MRI (dMRI), while functional connectivity is derived from resting-state functional MRI (rs-fMRI). The proposed structural-functional connectivity and spatially constrained ICA (sf"
2024 Jun 7,NeuroImage,Neuroimage. 2024 Jun 7;297:120674. doi: 10.1016/j.neuroimage.2024.120674.,"['Bi, Yuda', 'Abrol, Anees', 'Jia, Sihan', 'Sui, Jing', 'Calhoun, Vince D']",['n a'],Gray matters: ViT-GAN framework for identifying schizophrenia biomarkers linking structural MRI and functional network connectivity.,"Brain disorders are often associated with changes in brain structure and function, where functional changes may be due to underlying structural variations. Gray matter (GM) volume segmentation from 3D structural MRI offers vital structural information for brain disorders like schizophrenia, as it encompasses essential brain tissues such as neuronal cell bodies, dendrites, and synapses, which are crucial for neural signal processing and transmission; changes in GM volume can thus indicate alterations in these tissues, reflecting underlying pathological conditions. In addition, the use of the ICA algorithm to transform high-dimensional fMRI data into functional network connectivity (FNC) matrices serves as an effective carrier of functional information. In our study, we introduce a new generative deep learning architecture, the conditional efficient vision transformer generative adversarial network (cEViT-GAN), which adeptly generates FNC matrices conditioned on GM to facilitate the exploration of potential connections between brain structure and function. We developed a new, lightweight self-attention mechanism for our ViT-based generator, enhancing the generation of refined attention maps critical for identifying structural biomarkers based on GM. Our approach not only generates high quality FNC matrices with a Pearson correlation of 0.74 compared to real FNC data, but also uses attention map technology to identify potential biomarkers in GM structure that could lead to functional abnormalities in schizophrenia patients. Visualization experiments within our study have highlighted these structural biomarkers, including the medial prefrontal cortex (mPFC), dorsolateral prefrontal cortex (DL-PFC), and cerebellum. In addition, through cross-domain analysis comparing generated and real FNC matrices, we have identified functional connections with the highest correlations to structural information, further validating the structure-function connections. This comprehensive analysis helps to understand the intricate relationship between brain structure and its functional manifestations, providing a more refined insight into the neurobiological research of schizophrenia."
2024,Frontiers in psychiatry,Front Psychiatry. 2024 May 17;15:1384298. doi: 10.3389/fpsyt.2024.1384298. ,"['Thapaliya, Bishal', 'Ray, Bhaskar', 'Farahdel, Britny', 'Suresh, Pranav', 'Sapkota, Ram', 'Holla, Bharath', 'Mahadevan, Jayant', 'Chen, Jiayu', 'Vaidya, Nilakshi', 'Perrone-Bizzozero, Nora Irma', 'Benegal, Vivek', 'Schumann, Gunter', 'Calhoun, Vince D', 'Liu, Jingyu']","['gwas', 'anxiety', 'depression', 'mega-analysis', 'meta-analysis', 'regression']",Cross-continental environmental and genome-wide association study on children and adolescent anxiety and depression.,"Anxiety and depression in children and adolescents warrant special attention as a public health concern given their devastating and long-term effects on development and mental health. Multiple factors, ranging from genetic vulnerabilities to environmental stressors, influence the risk for the disorders. This study aimed to understand how environmental factors and genomics affect children and adolescents anxiety and depression across three cohorts: Adolescent Brain and Cognitive Development Study (US, age of 9-10; N=11,875), Consortium on Vulnerability to Externalizing Disorders and Addictions (INDIA, age of 6-17; N=4,326) and IMAGEN (EUROPE, age of 14; N=1888). We performed data harmonization and identified the environmental impact on anxiety/depression using a linear mixed-effect model, recursive feature elimination regression, and the LASSO regression model. Subsequently, genome-wide association analyses with consideration of significant environmental factors were performed for all three cohorts by mega-analysis and meta-analysis, followed by functional annotations. The results showed that multiple environmental factors contributed to the risk of anxiety and depression during development, where early life stress and school support index had the most significant and consistent impact across all three cohorts. In both meta, and mega-analysis, SNP rs79878474 in chr11p15 emerged as a particularly promising candidate associated with anxiety and depression, despite not reaching genomic significance. Gene set analysis on the common genes mapped from top promising SNPs of both meta and mega analyses found significant enrichment in regions of chr11p15 and chr3q26, in the function of potassium channels and insulin secretion, in particular Kv3, Kir-6.2, SUR potassium channels encoded by the KCNC1, KCNJ11, and ABCCC8 genes respectively, in chr11p15. Tissue enrichment analysis showed significant enrichment in the small intestine, and a trend of enrichment in the cerebellum. Our findings provide evidences of consistent environmental impact from early life stress and school support index on anxiety and depression during development and also highlight the genetic association between mutations in potassium channels, which support the stress-depression connection via hypothalamic-pituitary-adrenal axis, along with the potential modulating role of potassium channels."
