time,journal,doi_info,authors,key words,title,abstract
2024 Feb 5,Biochemical and biophysical research communications,Biochem Biophys Res Commun. 2024 Feb 5;695:149467. doi: ,"['Takemiya, Kiyoko', 'Wang, Shelly', 'Liu, Yu', 'Murthy, Niren', 'Goodman, Mark M', 'Taylor, W Robert']","[' carrier proteins metabolism', ' staphylococcus aureus metabolism', 'escherichia coli metabolism', 'oligosaccharides metabolism', 'bacterial proteins metabolism', 'polysaccharides metabolism', 'membrane transport proteins metabolism', 'calorimetry', 'protein binding', 'bacteria', 'escherichia coli (e. coli)', 'isothermal titration calorimetry (itc)', 'maltodextrin binding protein', 'oligosaccharide', 'staphylococcus aureus (s. aureus)']",Isothermal titration calorimetry analysis of the binding between the maltodextrin binding protein malE of Staphylococcus aureus with maltodextrins of various lengths.,"Staphylococcus aureus (S. aureus), a Gram-positive bacterium, causes a wide range of infections, and diagnosis at an early stage is challenging. Targeting the maltodextrin transporter has emerged as a promising strategy for imaging bacteria and has been able to image a wide range of bacteria including S. aureus. However, little is known about the maltodextrin transporter in S. aureus, and this prevents new S. aureus specific ligands for the maltodextrin transporter from being developed. In Gram-positive bacteria, including S. aureus, the first step of maltodextrin transport is the binding of the maltodextrin-binding protein malE to maltodextrins. Thus, understanding the binding affinity and characteristics of malE from S. aureus is important to developing efficient maltodextrin-based imaging probes. We evaluated the affinity of malE of S. aureus to maltodextrins of various lengths. MalE of S. aureus (SAmalE) was expressed in E. coli BL21(DE3) and purified by Ni-NTA resin. The affinities of SAmalE to maltodextrins were evaluated with isothermal titration calorimetry. SAmalE has low affinity to maltose but binds to maltotriose and longer maltodextrins up to maltoheptaose with affinities up to Ka = 9.02 ± 0.49 × 10(5) M(-1). SAmalE binding to maltotriose-maltoheptaose was exothermic and fit a single-binding site model. The van't Hoff enthalpy in the binding reaction of SAmalE with maltotriose was 9.9 ± 1.3 kcal/mol, and the highest affinity of SAmalE was observed with maltotetraose with Ka = 9.02 ± 0.49 × 10(5) M(-1). In the plot of ΔH-T*ΔS, the of Enthalpy-Entropy Compensation effect was observed in binding reaction of SAmalE to maltodextrins. Acarbose and maltotetraiol bind with SAmalE indicating that SAmalE is tolerant of modifications on both the reducing and non-reducing ends of maltodextrins. Our results show that unlike ECmalE and similar to the maltodextrin binding protein of Streptococci, SAmalE primarily binds to maltodextrins via hydrogen bonds. This is distinct from the maltodextrin binding protein of Streptococci, SAmalE that binds to maltotetraiol with high affinity. Understanding the binding characteristics and tolerance to maltodextrins modifications by maltodextrin binding proteins will hopefully provide the basis for developing bacterial species-specific maltodextrin-based imaging probes."
2023 Nov 1,American journal of physiology. Heart and circulatory physiology,Am J Physiol Heart Circ Physiol. 2023 Nov 1;325(5):H1133-H1143. doi: ,"['Hurtado, Julian', 'Sellak, Hassan', 'Joseph, Giji', 'Lewis, Caitlin V', 'Naudin, Crystal R', 'Garcia, Sergio', 'Wodicka, James Robert', 'Archer, David R', 'Taylor, W Robert']","['humans', 'child', 'male', 'female', 'mice', 'animals', ' plaque, atherosclerotic', 'proprotein convertase 9 genetics', ' beta-thalassemia complications genetics', 'hemopexin', 'deferiprone', 'hemolysis', ' aortic diseases genetics pathology', 'mice, knockout', ' atherosclerosis genetics pathology', 'heme', 'phenylhydrazines', 'iron chelating agents', 'mice, inbred c57bl', 'atherosclerosis', 'beta-thalassemia']",Accelerated atherosclerosis in beta-thalassemia.,"Children with beta-thalassemia (BT) present with an increase in carotid intima-medial thickness, an early sign suggestive of premature atherosclerosis. However, it is unknown if there is a direct relationship between BT and atherosclerotic disease. To evaluate this, wild-type (WT, littermates) and BT (Hbb(th3/+)) mice, both male and female, were placed on a 3-mo high-fat diet with low-density lipoprotein receptor suppression via overexpression of proprotein convertase subtilisin/kexin type 9 (PCSK9) gain-of-function mutation (D377Y). Mechanistically, we hypothesize that heme-mediated oxidative stress creates a proatherogenic environment in BT because BT is a hemolytic anemia that has increased free heme and exhausted hemopexin, heme's endogenous scavenger, in the vasculature. We evaluated the effect of hemopexin (HPX) therapy, mediated via an adeno-associated virus, to the progression of atherosclerosis in BT and a phenylhydrazine-induced model of intravascular hemolysis. In addition, we evaluated the effect of deferiprone (DFP)-mediated iron chelation in the progression of atherosclerosis in BT mice. Aortic en face and aortic root lesion area analysis revealed elevated plaque accumulation in both male and female BT mice compared with WT mice. Hemopexin therapy was able to decrease plaque accumulation in both BT mice and mice on our phenylhydrazine (PHZ)-induced model of hemolysis. DFP decreased atherosclerosis in BT mice but did not provide an additive benefit to HPX therapy. Our data demonstrate for the first time that the underlying pathophysiology of BT leads to accelerated atherosclerosis and shows that heme contributes to atherosclerotic plaque development in BT.NEW & NOTEWORTHY This work definitively shows for the first time that beta-thalassemia leads to accelerated atherosclerosis. We demonstrated that intravascular hemolysis is a prominent feature in beta-thalassemia and the resulting increases in free heme are mechanistically relevant. Adeno-associated virus (AAV)-hemopexin therapy led to decreased free heme and atherosclerotic plaque area in both beta-thalassemia and phenylhydrazine-treated mice. Deferiprone-mediated iron chelation led to deceased plaque accumulation in beta-thalassemia mice but provided no additive benefit to hemopexin therapy."
2023 May,FASEB bioAdvances,FASEB Bioadv. 2023 Feb 21;5(5):199-210. doi: 10.1096/fba.2022-00121. eCollection ,"['Lewis, Caitlin V', 'Sellak, Hassan', 'Sawan, Mariem A', 'Joseph, Giji', 'Darby, Trevor M', 'VanInsberghe, David', 'Naudin, Crystal R', 'Archer, David R', 'Jones, Rheinallt M', 'Taylor, W Robert']","['gut microbiome', 'intestinal permeability', 'neutrophils', 'oxidative stress', 'sickle cell disease']","Intestinal barrier dysfunction in murine sickle cell disease is associated with small intestine neutrophilic inflammation, oxidative stress, and dysbiosis.","The intestinal microbiome has emerged as a potential contributor to the severity of sickle cell disease (SCD). We sought to determine whether SCD mice exhibit intestinal barrier dysfunction, inflammation, and dysbiosis. Using the Townes humanized sickle cell mouse model, we found a 3-fold increase in intestinal permeability as assessed via FITC-dextran (4 kDa) assay in SS (SCD) mice compared to AA (wild type) mice (n = 4, p < 0.05). This was associated with 25 to 50% decreases in claudin-1, 3, and 15 and zonula occludens-1 gene expression (n = 8-10, p < 0.05) in the small intestine. Increased Ly6G staining demonstrated more neutrophils in the SS small intestine (3-fold, n = 5, p < 0.05) associated with increased expression of TNFα, IL-17A, CXCL1, and CD68 (2.5 to 5-fold, n = 7-10, p < 0.05). In addition, we observed 30 to 55% decreases in superoxide dismutase-1, glutathione peroxidase-1, and catalase antioxidant enzyme expression (n = 7-8, p < 0.05) concomitant to an increase in superoxide (2-fold, n = 4, p < 0.05). Importantly, all significant observations of a leaky gut phenotype and inflammation were limited to the small intestine and not observed in the colon. Finally, characterization of the composition of the microbiome within the small intestine revealed dysbiosis in SS mice compared to their AA littermates with 47 phyla to species-level significant alterations in amplicon sequence variants. We conclude that the intestinal barrier is compromised in SCD, associated with decreased gene expression of tight junction proteins, enhanced inflammation, oxidative stress, and gut microbiome dysbiosis, all specific to the small intestine."
2023 Feb 10,Scientific reports,Sci Rep. 2023 Feb 10;13(1):2404. doi: 10.1038/s41598-022-26711-z.,"['Kim, Yerin', 'Yu, Namhee', 'Jang, Ye Eun', 'Lee, Eunkyung', 'Jung, Yeonjoo', 'Lee, Doo Jae', 'Taylor, W Robert', 'Jo, Hanjoong', 'Kim, Jaesang', 'Lee, Sanghyuk', 'Kang, Sang Won']","['animals', 'humans', 'rats', 'bone morphogenetic protein 7 metabolism', 'cell differentiation genetics', 'cell proliferation genetics', 'cells, cultured', ' micrornas genetics metabolism', ' muscle, smooth, vascular metabolism', 'myocytes, smooth muscle metabolism', 'phenotype']",Conserved miR-370-3p/BMP-7 axis regulates the phenotypic change of human vascular smooth muscle cells.,"Endothelial dysfunction and inflammatory immune response trigger dedifferentiation of vascular smooth muscle cells (SMCs) from contractile to synthetic phenotype and initiate arterial occlusion. However, the complex vascular remodeling process playing roles in arterial occlusion initiation is largely unknown. We performed bulk sequencing of small and messenger RNAs in a rodent arterial injury model. Bioinformatic data analyses reveal that six miRNAs are overexpressed in injured rat carotids as well as synthetic-type human vascular SMCs. In vitro cell-based assays show that four miRNAs (miR-130b-5p, miR-132-3p, miR-370-3p, and miR-410-3p) distinctly regulate the proliferation of and monocyte adhesion to the vascular SMCs. Individual inhibition of the four selected miRNAs strongly prevents the neointimal hyperplasia in the injured rat carotid arteries. Mechanistically, miR-132-3p and miR-370-3p direct the cell cycle progression, triggering SMC proliferation. Gene ontology analysis of mRNA sequencing data consistently reveal that the miRNA targets include gene clusters that direct proliferation, differentiation, and inflammation. Notably, bone morphogenic protein (BMP)-7 is a prominent target gene of miR-370-3p, and it regulates vascular SMC proliferation in cellular and animal models. Overall, this study first reports that the miR-370-3p/BMP-7 axis determines the vascular SMC phenotype in both rodent and human systems."
2022 May 25,Scientific reports,Sci Rep. 2022 May 25;12(1):8852. doi: 10.1038/s41598-022-12723-2.,"['Bogush, Nikolay', 'Tan, Lin', 'Naqvi, Emmen', 'Calvert, John W', 'Graham, Robert M', 'Taylor, W Robert', 'Naqvi, Nawazish', 'Husain, Ahsan']","['adrenergic beta-1 receptor antagonists pharmacology therapeutic use', 'animals', 'metoprolol pharmacology therapeutic use', 'mice', ' myocardial infarction pathology', 'myocardium metabolism', 'myocytes, cardiac metabolism', 'triiodothyronine metabolism pharmacology', ' ventricular dysfunction, left pathology', 'ventricular remodeling']",Remuscularization with triiodothyronine and β(1)-blocker therapy reverses post-ischemic left ventricular dysfunction and adverse remodeling.,"Renewal of the myocardium by preexisting cardiomyocytes is a powerful strategy for restoring the architecture and function of hearts injured by myocardial infarction. To advance this strategy, we show that combining two clinically approved drugs, but neither alone, muscularizes the heart through cardiomyocyte proliferation. Specifically, in adult murine cardiomyocytes, metoprolol, a cardioselective β(1)-adrenergic receptor blocker, when given with triiodothyronine (T3, a thyroid hormone) accentuates the ability of T3 to stimulate ERK1/2 phosphorylation and proliferative signaling by inhibiting expression of the nuclear phospho-ERK1/2-specific phosphatase, dual-specificity phosphatase-5. While short-duration metoprolol plus T3 therapy generates new heart muscle in healthy mice, in mice with myocardial infarction-induced left ventricular dysfunction and pathological remodeling, it remuscularizes the heart, restores contractile function and reverses chamber dilatation; outcomes that are enduring. If the beneficial effects of metoprolol plus T3 are replicated in humans, this therapeutic strategy has the potential to definitively address ischemic heart failure."
2022 Sep 1,Journal of biomechanical engineering,J Biomech Eng. 2022 Sep 1;144(9):091011. doi: 10.1115/1.4054236.,"['Iffrig, Elizabeth', 'Timmins, Lucas H', 'El Sayed, Retta', 'Taylor, W Robert', 'Oshinski, John N']","[' aorta, abdominal diagnostic imaging', 'blood flow velocity', 'female', 'humans', 'magnetic resonance imaging', 'male', ' models, cardiovascular', 'stress, mechanical', 'mri', 'abdominal aortic aneurysm', 'biomechanics', 'cardiovascular risk', 'phase contrast magnetic resonance (pcmr)', 'sex']",A New Method for Quantifying Abdominal Aortic Wall Shear Stress Using Phase Contrast Magnetic Resonance Imaging and the Womersley Solution.,"Wall shear stress (WSS) is an important mediator of cardiovascular pathologies and there is a need for its reliable evaluation as a potential prognostic indicator. The purpose of this work was to develop a method that quantifies WSS from two-dimensional (2D) phase contrast magnetic resonance (PCMR) imaging derived flow waveforms, apply this method to PCMR data acquired in the abdominal aorta of healthy volunteers, and to compare PCMR-derived WSS values to values predicted from a computational fluid dynamics (CFD) simulation. The method uses PCMR-derived flow versus time waveforms constrained by the Womersley solution for pulsatile flow in a cylindrical tube. The method was evaluated for sensitivity to input parameters, intrastudy repeatability and was compared with results from a patient-specific CFD simulation. 2D-PCMR data were acquired in the aortas of healthy men (n = 12) and women (n = 15) and time-averaged WSS (TAWSS) was compared. Agreement was observed when comparing TAWSS between CFD and the PCMR flow-based method with a correlation coefficient of 0.88 (CFD: 15.0 ± 1.9 versus MRI: 13.5 ± 2.4 dyn/cm2) though comparison of WSS values between the PCMR-based method and CFD predictions indicate that the PCMR method underestimated instantaneous WSS by 3.7 ± 7.6 dyn/cm2. We found no significant difference in TAWSS magnitude between the sexes; 8.19 ± 2.25 versus 8.07 ± 1.71 dyn/cm2, p = 0.16 for men and women, respectively."
2022 Aug,Laboratory investigation; a journal of technical methods and pathology,Lab Invest. 2022 Aug;102(8):805-813. doi: 10.1038/s41374-022-00780-0. Epub 2022 ,"['Lewis, Caitlin V', 'Sellak, Hassan', 'Hansen, Laura', 'Joseph, Giji', 'Hurtado, Julian', 'Archer, David R', 'Jun, Ho-Wook', 'Brown, Lou Ann', 'Taylor, W Robert']","[' anemia, sickle cell drug therapy metabolism', 'animals', 'arginine metabolism pharmacology', 'biological availability', ' drinking water metabolism', 'hindlimb blood supply', 'ischemia', 'mice', 'muscle, skeletal metabolism', 'ng-nitroarginine methyl ester metabolism pharmacology', 'necrosis metabolism', 'neovascularization, physiologic', 'nitric oxide metabolism', 'regional blood flow']",Increasing nitric oxide bioavailability fails to improve collateral vessel formation in humanized sickle cell mice.,"Sickle cell disease (SCD) is associated with repeated bouts of vascular insufficiency leading to organ dysfunction. Deficits in revascularization following vascular injury are evident in SCD patients and animal models. We aimed to elucidate whether enhancing nitric oxide bioavailability in SCD mice improves outcomes in a model of vascular insufficiency. Townes AA (wild type) and SS (sickle cell) mice were treated with either L-Arginine (5% in drinking water), L-NAME (N(ω)-nitro-L-arginine methyl ester; 1 g/L in drinking water) or NO-generating hydrogel (PA-YK-NO), then subjected to hindlimb ischemia via femoral artery ligation and excision. Perfusion recovery was monitored over 28 days via LASER Doppler perfusion imaging. Consistent with previous findings, perfusion was impaired in SS mice (63 ± 4% of non-ischemic limb perfusion in AA vs 33 ± 3% in SS; day 28; P < 0.001; n = 5-7) and associated with increased necrosis. L-Arginine treatment had no significant effect on perfusion recovery or necrosis (n = 5-7). PA-YK-NO treatment led to worsened perfusion recovery (19 ± 3 vs. 32 ± 3 in vehicle-treated mice; day 7; P < 0.05; n = 4-5), increased necrosis score (P < 0.05, n = 4-5) and a 46% increase in hindlimb peroxynitrite (P = 0.055, n = 4-5). Interestingly, L-NAME worsened outcomes in SS mice with decreased in vivo lectin staining following ischemia (7 ± 2% area in untreated vs 4 ± 2% in treated mice, P < 0.05, n = 5). Our findings demonstrate that L-arginine and direct NO delivery both fail to improve postischemic neovascularization in SCD. Addition of NO to the inflammatory, oxidative environment in SCD may result in further oxidative stress and limit recovery."
2021,PloS one,PLoS One. 2021 Dec 20;16(12):e0247261. doi: 10.1371/journal.pone.0247261. ,"['Lassègue, Bernard', 'Kumar, Sandeep', 'Mandavilli, Rohan', 'Wang, Keke', 'Tsai, Michelle', 'Kang, Dong-Won', 'Demos, Catherine', 'Hernandes, Marina S', 'San Martín, Alejandra', 'Taylor, W Robert', 'Jo, Hanjoong', 'Griendling, Kathy K']","['animals', ' crispr-cas systems', ' gene targeting', 'membrane proteins  genetics metabolism', 'mice', 'mice, knockout', 'mitochondrial proteins  deficiency metabolism', 'mouse embryonic stem cells  metabolism', 'nuclear proteins  deficiency metabolism', ' rna-seq']",Characterization of Poldip2 knockout mice: Avoiding incorrect gene targeting.,"POLDIP2 is a multifunctional protein whose roles are only partially understood. Our laboratory previously reported physiological studies performed using a mouse gene trap model, which suffered from three limitations: perinatal lethality in homozygotes, constitutive Poldip2 inactivation and inadvertent downregulation of the adjacent Tmem199 gene. To overcome these limitations, we developed a new conditional floxed Poldip2 model. The first part of the present study shows that our initial floxed mice were affected by an unexpected mutation, which was not readily detected by Southern blotting and traditional PCR. It consisted of a 305 kb duplication around Poldip2 with retention of the wild type allele and could be traced back to the original targeted ES cell clone. We offer simple suggestions to rapidly detect similar accidents, which may affect genome editing using both traditional and CRISPR-based methods. In the second part of the present study, correctly targeted floxed Poldip2 mice were generated and used to produce a new constitutive knockout line by crossing with a Cre deleter. In contrast to the gene trap model, many homozygous knockout mice were viable, in spite of having no POLDIP2 expression. To further characterize the effects of Poldip2 ablation in the vasculature, RNA-seq and RT-qPCR experiments were performed in constitutive knockout arteries. Results show that POLDIP2 inactivation affects multiple cellular processes and provide new opportunities for future in-depth study of its functions."
2021 Nov 2,Journal of the American Heart Association,J Am Heart Assoc. 2021 Nov 2;10(21):e022127. doi: 10.1161/JAHA.120.022127. Epub ,"['Hansen, Laura', 'Joseph, Giji', 'Valdivia, Alejandra', 'Taylor, W Robert']","['animals', ' glycation end products, advanced', 'hindlimb', 'humans', ' ischemia genetics', 'ligands', 'mice', 'receptor for advanced glycation end products genetics', 'rage', 'collateral vessels', 'satellite cells']",Satellite Cell Expression of RAGE (Receptor for Advanced Glycation end Products) Is Important for Collateral Vessel Formation.,"Background The growth and remodeling of vascular networks is an important component of the prognosis for patients with peripheral artery disease. One protein that has been previously implicated to play a role in this process is RAGE (receptor for advanced glycation end products). This study sought to determine the cellular source of RAGE in the ischemic hind limb and the role of RAGE signaling in this cell type. Methods and Results Using a hind limb ischemia model of vascular growth, this study found skeletal muscle satellite cells to be a novel major cellular source of RAGE in ischemic tissue by both staining and cellular sorting. Although wild-type satellite cells increased tumor necrosis factor-α and monocyte chemoattractant protein-1 production in response to ischemia in vivo and a RAGE ligand in vitro, satellite cells from RAGE knockout mice lacked the increase in cytokine production both in vivo in response to ischemia and in vitro after stimuli with the RAGE ligand high-mobility group box 1. Furthermore, encapsulated wild-type satellite cells improved perfusion after hind limb ischemia surgery by both perfusion staining and vessel quantification, but RAGE knockout satellite cells provided no improvement over empty capsules. Conclusions Thus, RAGE expression and signaling in satellite cells is crucial for their response to stimuli and angiogenic and arteriogenic functions."
2021,Theranostics,Theranostics. 2021 Mar 4;11(10):4790-4808. doi: 10.7150/thno.57456. eCollection ,"['Tan, Lin', 'Bogush, Nikolay', 'Naqvi, Emmen', 'Calvert, John W', 'Graham, Robert M', 'Taylor, W Robert', 'Naqvi, Nawazish', 'Husain, Ahsan']","['animals', 'antibiotics, antineoplastic toxicity', 'benzamides pharmacology', 'cardiotoxicity etiology', 'cell count', 'cell proliferation drug effects genetics', 'doxorubicin toxicity', 'dual-specificity phosphatases antagonists & inhibitors  genetics', 'insulin-like growth factor i metabolism', 'mice', 'myocardial contraction  drug effects genetics', 'myocytes, cardiac cytology  drug effects', 'protein kinase inhibitors pharmacology', 'pyrazoles pharmacology', 'rna, small interfering', 'triiodothyronine  pharmacology', 'ventricular dysfunction, left chemically induced', 'ventricular function, left  drug effects genetics', 'ventricular remodeling drug effects genetics', 'dusp5', 'cardiomyocytes', 'doxorubicin cardiotoxicity', 'heart failure', 'thyroid hormone']",Thyroid hormone plus dual-specificity phosphatase-5 siRNA increases the number of cardiac muscle cells and improves left ventricular contractile function in chronic doxorubicin-injured hearts.,"Rationale: Doxorubicin is a widely used anticancer drug. However, its major side effect, cardiotoxicity, results from cardiomyocyte loss that causes left ventricle (LV) wall thinning, chronic LV dysfunction and heart failure. Cardiomyocyte number expansion by thyroid hormone (T3) during preadolescence is suppressed by the developmental induction of an ERK1/2-specific dual specificity phosphatase 5 (DUSP5). Here, we sought to determine if a brief course of combined DUSP5 suppression plus T3 therapy replaces cardiomyocytes lost due to preexisting doxorubicin injury and reverses heart failure. Methods: We used in vivo-jetPEI to deliver DUSP5 or scrambled siRNA to ~5-week-old C57BL6 mice followed by 5 daily injections of T3 (2 ng/µg body weight). Genetic lineage tracing using Myh6-MerCreMer::Rosa26fs-Confetti mice and direct cardiomyocyte number counting, along with cell cycle inhibition (danusertib), was used to test if this treatment leads to de novo cardiomyocyte generation and improves LV contractile function. Three doses of doxorubicin (20 µg/g) given at 2-weekly intervals, starting at 5-weeks of age in C57BL6 mice, caused severe heart failure, as evident by a decrease in LV ejection fraction. Mice with an ~40 percentage point decrease in LVEF post-doxorubicin injury were randomized to receive either DUSP5 siRNA plus T3, or scrambled siRNA plus vehicle for T3. Age-matched mice without doxorubicin injury served as controls. Results: In uninjured adult mice, transient therapy with DUSP5 siRNA and T3 increases cardiomyocyte numbers, which is required for the associated increase in LV contractile function, since both are blocked by danusertib. In mice with chronic doxorubicin injury, DUSP5 siRNA plus T3 therapy rebuilds LV muscle by increasing cardiomyocyte numbers, which reverses LV dysfunction and prevents progressive chamber dilatation. Conclusion: RNA therapies are showing great potential. Importantly, a GMP compliant in vivo-jetPEI system for delivery of siRNA is already in use in humans, as is T3. Given these considerations, our findings provide a potentially highly translatable strategy for addressing doxorubicin cardiomyopathy, a currently untreatable condition."
