time,journal,doi_info,authors,key words,title,abstract
2024 Jul 1,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2024 Jul 1:e2403238. doi: 10.1002/advs.202403238.,"['Kim, Ka Ram', 'Kang, Tae Woog', 'Kim, Hodam', 'Lee, Yoon Jae', 'Lee, Sung Hoon', 'Yi, Hoon', 'Kim, Hyeon Seok', 'Kim, Hojoong', 'Min, Jihee', 'Ready, Jud', 'Millard-Stafford, Melinda', 'Yeo, Woon-Hong']","['all‐in‐one wearable', 'athlete health monitor', 'chest patch', 'dehydration detection', 'physiological stress', 'smart mouthguard']","All-in-One, Wireless, Multi-Sensor Integrated Athlete Health Monitor for Real-Time Continuous Detection of Dehydration and Physiological Stress.","Athletes are at high risk of dehydration, fatigue, and cardiac disorders due to extreme performance in often harsh environments. Despite advancements in sports training protocols, there is an urgent need for a non-invasive system capable of comprehensive health monitoring. Although a few existing wearables measure athlete's performance, they are limited by a single function, rigidity, bulkiness, and required straps and adhesives. Here, an all-in-one, multi-sensor integrated wearable system utilizing a set of nanomembrane soft sensors and electronics, enabling wireless, real-time, continuous monitoring of saliva osmolality, skin temperature, and heart functions is introduced. This system, using a soft patch and a sensor-integrated mouthguard, provides comprehensive monitoring of an athlete's hydration and physiological stress levels. A validation study in detecting real-time physiological levels shows the device's performance in capturing moments (400-500 s) of synchronized acute elevation in dehydration (350%) and physiological strain (175%) during field training sessions. Demonstration with a few human subjects highlights the system's capability to detect early signs of health abnormality, thus improving the healthcare of sports athletes."
2024 Oct 1,Biosensors & bioelectronics,Biosens Bioelectron. 2024 Oct 1;261:116472. doi: 10.1016/j.bios.2024.116472. Epub ,"['Han, Won Bae', 'Jang, Tae-Min', 'Shin, Beomjune', 'Naganaboina, Venkata Ramesh', 'Yeo, Woon-Hong', 'Hwang, Suk-Won']","['humans', ' biosensing techniques instrumentation', ' urinary bladder', ' equipment design', 'prostheses and implants', 'heart', 'wearable electronic devices', 'animals', 'electronics instrumentation', 'biomedical application', 'bladder-integrated electronics', 'cardiac electronics', 'implantable electronics', 'soft material']","Recent advances in soft, implantable electronics for dynamic organs.","Unlike conventional rigid counterparts, soft and stretchable electronics forms crack- or defect-free conformal interfaces with biological tissues, enabling precise and reliable interventions in diagnosis and treatment of human diseases. Intrinsically soft and elastic materials, and device designs of innovative configurations and structures leads to the emergence of such features, particularly, the mechanical compliance provides seamless integration into continuous movements and deformations of dynamic organs such as the bladder and heart, without disrupting natural physiological functions. This review introduces the development of soft, implantable electronics tailored for dynamic organs, covering various materials, mechanical design strategies, and representative applications for the bladder and heart, and concludes with insights into future directions toward clinically relevant tools."
2024,Communications materials,Commun Mater. 2024;5(1):72. doi: 10.1038/s43246-024-00511-6. Epub 2024 May 9.,"['Zhou, Lauren', 'Guess, Matthew', 'Kim, Ka Ram', 'Yeo, Woon-Hong']","['biomedical engineering', 'engineering']",Skin-interfacing wearable biosensors for smart health monitoring of infants and neonates.,"Health monitoring of infant patients in intensive care can be especially strenuous for both the patient and their caregiver, as testing setups involve a tangle of electrodes, probes, and catheters that keep the patient bedridden. This has typically involved expensive and imposing machines, to track physiological metrics such as heart rate, respiration rate, temperature, blood oxygen saturation, blood pressure, and ion concentrations. However, in the past couple of decades, research advancements have propelled a world of soft, wearable, and non-invasive systems to supersede current practices. This paper summarizes the latest advancements in neonatal wearable systems and the different approaches to each branch of physiological monitoring, with an emphasis on smart skin-interfaced wearables. Weaknesses and shortfalls are also addressed, with some guidelines provided to help drive the further research needed."
2024 Aug 1,Biosensors & bioelectronics,Biosens Bioelectron. 2024 Aug 1;257:116302. doi: 10.1016/j.bios.2024.116302. Epub ,"['Ban, Seunghyeb', 'Lee, Haran', 'Chen, Jiehao', 'Kim, Hee-Seok', 'Hu, Yuhang', 'Cho, Seong J', 'Yeo, Woon-Hong']","[' biosensing techniques instrumentation', 'humans', ' prostheses and implants', 'electronics instrumentation', 'printing, three-dimensional', 'equipment design', 'nanostructures chemistry', 'delivery of health care trends', 'biomaterials', 'healthcare applications', 'implantable devices', 'packaging methods', 'printing technologies']",Recent advances in implantable sensors and electronics using printable materials for advanced healthcare.,"This review article focuses on the recent printing technological progress in healthcare, underscoring the significant potential of implantable devices across diverse applications. Printing technologies have widespread use in developing health monitoring devices, diagnostic systems, and surgical devices. Recent years have witnessed remarkable progress in fabricating low-profile implantable devices, driven by advancements in printing technologies and nanomaterials. The importance of implantable biosensors and bioelectronics is highlighted, specifically exploring printing tools using bio-printable inks for practical applications, including a detailed examination of fabrication processes and essential parameters. This review also justifies the need for mechanical and electrical compatibility between bioelectronics and biological tissues. In addition to technological aspects, this article delves into the importance of appropriate packaging methods to enhance implantable devices' performance, compatibility, and longevity, which are made possible by integrating cutting-edge printing technology. Collectively, we aim to shed light on the holistic landscape of implantable biosensors and bioelectronics, showcasing their evolving role in advancing healthcare through innovative printing technologies."
2024 Jul 1,Biosensors & bioelectronics,Biosens Bioelectron. 2024 Jul 1;255:116267. doi: 10.1016/j.bios.2024.116267. Epub ,"['Yi, Hoon', 'Kim, Hodam', 'Kim, Ka Ram', 'Kim, Ju Hyeon', 'Kim, Juhee', 'Lee, Hyunjae', 'Grewal, Sanjeet S', 'Freeman, William D', 'Yeo, Woon-Hong']","['humans', 'reproducibility of results', ' biosensing techniques', 'catheters', 'brain', 'drainage methods', 'bioelectronics', 'catheters', 'electrical brain signal', 'external ventricular drain']",Flexible low-profile external ventricular drain catheter for real-time brain monitoring.,"External ventricular drainage is one of the most common neurosurgical procedures in the world for acute hydrocephalus, which must be performed carefully by a neurosurgeon. Although various neuromonitoring external ventricular drain (EVD) catheters have been utilized, they still suffer from rigidity and bulkiness to mitigate post-EVD placement trauma. Here, we introduce a flexible and low-profile smart EVD catheter using a class of technologies with sensitive electrical materials, seamless integration, and flexible mechanics, which serves as a highly soft and minimally invasive device to monitor electrical brain signals. This device reliably captures biopotentials in real time while exhibiting remarkable flexibility and reliability. The seamless integration of its sensory system promises a minimally invasive EVD placement on brain tissue. This work validates the device's distinct characteristics and performances through in vitro experiments and computational analysis. Collectively, this device's exceptional patient- and user-friendly attributes highlight its potential as one of the most practical EVD catheters."
2024 Jun 15,Biosensors & bioelectronics,Biosens Bioelectron. 2024 Jun 15;254:116223. doi: 10.1016/j.bios.2024.116223. ,"['Lee, Jimin', 'Soltis, Ira', 'Tillery, Sayre A', 'Lee, Sung Hoon', 'Kim, Hodam', 'Yeo, Woon-Hong']","[' biosensing techniques methods', 'cell culture techniques', 'aniline compounds chemistry', 'hydrogen-ion concentration', '2d mapping', 'bilayer structure', 'cell culture monitoring', 'electrochemical sensor', 'ph sensor']",Long-term stable pH sensor array with synergistic bilayer structure for 2D real-time mapping in cell culture monitoring.,"Pursuing accurate, swift, and durable pH sensors is important across numerous fields, encompassing healthcare, environmental surveillance, and agriculture. In particular, the emphasis on real-time pH monitoring during cell cultivation has become increasingly pronounced in the current scientific environment-a crucial element being diligently researched to ensure optimal cell production. Both polyaniline (PANi) and iridium oxide (IrO(x)) show their worth in pH sensing, yet they come with challenges. Single-PANi-layered pH sensors often grapple with diminished sensitivity and lagging responses, while electrodeposited IrO(x) structures exhibit poor adhesion, leading to their separation from metallic substrates-a trait undesirable for a consistently stable, long-term pH sensor. This paper introduces a bi-layered PANi-IrO(x) pH sensor, strategically leveraging the advantages of both materials. The results presented here underscore the sensitivity enhancement of binary-phased framework, faster response time, and more robust structure than prior work. Through this synergistic strategy, we demonstrate the potential of integrating different phases to overcome the inherent constraints of individual materials, setting the stage for advanced pH-sensing solutions."
2024 Jun 15,Biosensors & bioelectronics,Biosens Bioelectron. 2024 Jun 15;254:116222. doi: 10.1016/j.bios.2024.116222. ,"['Lim, Jun Hyeon', 'Han, Won Bae', 'Jang, Tae-Min', 'Ko, Gwan-Jin', 'Shin, Jeong-Woong', 'Han, Sungkeun', 'Kang, Heeseok', 'Eom, Chan-Hwi', 'Choi, So Jeong', 'Rajaram, Kaveti', 'Bandodkar, Amay J', 'Yeo, Woon-Hong', 'Hwang, Suk-Won']","[' elastomers chemistry', 'biocompatible materials chemistry', 'absorbable implants', ' biosensing techniques', 'polymers chemistry', 'polyesters chemistry', 'biodegradable polymers', 'nerve stimulators', 'self-adhesion', 'shape memory', 'shape-transformable elastomers']","Synthesis of shape-programmable elastomer for a bioresorbable, wireless nerve stimulator.","Materials that have the ability to manipulate shapes in response to stimuli such as heat, light, humidity and magnetism offer a means for versatile, sophisticated functions in soft robotics or biomedical implants, while such a reactive transformation has certain drawbacks including high operating temperatures, inherent rigidity and biological hazard. Herein, we introduce biodegradable, self-adhesive, shape-transformable poly (L-lactide-co-ε-caprolactone) (BSS-PLCL) that can be triggered via thermal stimulation near physiological temperature (∼38 °C). Chemical inspections confirm the fundamental properties of the synthetic materials in diverse aspects, and study on mechanical and biochemical characteristics validates exceptional stretchability up to 800 % and tunable dissolution behaviors under biological conditions. The integration of the functional polymer with a bioresorbable electronic system highlights potential for a wide range of biomedical applications."
2024 Feb 16,Science advances,Sci Adv. 2024 Feb 16;10(7):eadk6714. doi: 10.1126/sciadv.adk6714. Epub 2024 Feb ,"['Lee, Jimin', 'Kim, Hojoong', 'Lim, Hyo-Ryoung', 'Kim, Yun Soung', 'Hoang, Thi Thai Thanh', 'Choi, Jeongmoon', 'Jeong, Gun-Jae', 'Kim, Hodam', 'Herbert, Robert', 'Soltis, Ira', 'Kim, Ka Ram', 'Lee, Sung Hoon', 'Kwon, Youngjin', 'Lee, Yunki', 'Jang, Young Charles', 'Yeo, Woon-Hong']","[' electronics', ' wearable electronic devices', 'cell culture techniques', 'bioreactors', 'stem cells']",Large-scale smart bioreactor with fully integrated wireless multivariate sensors and electronics for long-term in situ monitoring of stem cell culture.,"Achieving large-scale, cost-effective, and reproducible manufacturing of stem cells with the existing devices is challenging. Traditional single-use cell-bag bioreactors, limited by their rigid and single-point sensors, struggle with accuracy and scalability for high-quality cell manufacturing. Here, we introduce a smart bioreactor system that enables multi-spatial sensing for real-time, wireless culture monitoring. This scalable system includes a low-profile, label-free thin-film sensor array and electronics integrated with a flexible cell bag, allowing for simultaneous assessment of culture properties such as pH, dissolved oxygen, glucose, and temperature, to receive real-time feedback for up to 30 days. The experimental results show the accurate monitoring of time-dynamic and spatial variations of stem cells and myoblast cells with adjustable carriers from a plastic dish to a 2-liter cell bag. These advances open up the broad applicability of the smart sensing system for large-scale, lower-cost, reproducible, and high-quality engineered cell manufacturing for broad clinical use."
2024 Apr,Movement disorders : official journal of the Movement Disorder Society,Mov Disord. 2024 Apr;39(4):738-745. doi: 10.1002/mds.29734. Epub 2024 Feb 3.,"['Kilic-Berkmen, Gamze', 'Kim, Hodam', 'Chen, Dongdong', 'Yeo, Cameron I', 'Dinasarapu, Ashok R', 'Scorr, Laura M', 'Yeo, Woon-Hong', 'Peterson, David A', 'Williams, Hilde', 'Ruby, April', 'Mills, Roger', 'Jinnah, H A']","['humans', ' blepharospasm drug therapy', 'double-blind method', 'male', 'female', 'middle aged', 'aged', 'treatment outcome', 'blepharospasm', 'dipraglurant', 'dystonia', 'glutamate', 'trial']","An Exploratory, Randomized, Double-Blind Clinical Trial of Dipraglurant for Blepharospasm.","BACKGROUND: Blepharospasm is treated with botulinum toxin, but obtaining satisfactory results is sometimes challenging. OBJECTIVE: The aim is to conduct an exploratory trial of oral dipraglurant for blepharospasm. METHODS: This study was an exploratory, phase 2a, randomized, double-blind, placebo-controlled trial of 15 participants who were assigned to receive a placebo or dipraglurant (50 or 100 mg) and assessed over 2 days, 1 and 2 hours following dosing. Outcome measures included multiple scales rated by clinicians or participants, digital video, and a wearable sensor. RESULTS: Dipraglurant was well tolerated, with no obvious impact on any of the measurement outcomes. Power analyses suggested fewer subjects would be required for studies using a within-subject versus independent group design, especially for certain measures. Some outcome measures appeared more suitable than others. CONCLUSION: Although dipraglurant appeared well tolerated, it did not produce a trend for clinical benefit. The results provide valuable information for planning further trials in blepharospasm. © 2024 International Parkinson and Movement Disorder Society."
2024 Apr,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2024 Apr;11(13):e2307609. doi: 10.1002/advs.202307609. Epub 2024 ,"['Matthews, Jared', 'Soltis, Ira', 'Villegas-Downs, Michelle', 'Peters, Tara A', 'Fink, Anne M', 'Kim, Jihoon', 'Zhou, Lauren', 'Romero, Lissette', 'McFarlin, Barbara L', 'Yeo, Woon-Hong']","['female', 'humans', ' mobile applications', 'monitoring, physiologic', ' noncommunicable diseases', ' wearable electronic devices', 'cloud integration', 'postpartum women', 'remote health monitoring', 'wearable electronics']",Cloud-Integrated Smart Nanomembrane Wearables for Remote Wireless Continuous Health Monitoring of Postpartum Women.,"Noncommunicable diseases (NCD), such as obesity, diabetes, and cardiovascular disease, are defining healthcare challenges of the 21st century. Medical infrastructure, which for decades sought to reduce the incidence and severity of communicable diseases, has proven insufficient in meeting the intensive, long-term monitoring needs of many NCD disease patient groups. In addition, existing portable devices with rigid electronics are still limited in clinical use due to unreliable data, limited functionality, and lack of continuous measurement ability. Here, a wearable system for at-home cardiovascular monitoring of postpartum women-a group with urgently unmet NCD needs in the United States-using a cloud-integrated soft sternal device with conformal nanomembrane sensors is introduced. A supporting mobile application provides device data to a custom cloud architecture for real-time waveform analytics, including medical device-grade blood pressure prediction via deep learning, and shares the results with both patient and clinician to complete a robust and highly scalable remote monitoring ecosystem. Validated in a month-long clinical study with 20 postpartum Black women, the system demonstrates its ability to remotely monitor existing disease progression, stratify patient risk, and augment clinical decision-making by informing interventions for groups whose healthcare needs otherwise remain unmet in standard clinical practice."
