time,journal,doi_info,authors,key words,title,abstract
2024 May 15,Journal of the American Chemical Society,J Am Chem Soc. 2024 May 15;146(19):12925-12932. doi: 10.1021/jacs.3c07328. Epub ,"['Aissaoui, Nesrine', 'Mills, Allan', 'Lai-Kee-Him, Josephine', 'Triomphe, Nicolas', 'Cece, Quentin', 'Doucet, Christine', 'Bonhoure, Anne', 'Vidal, Michel', 'Ke, Yonggang', 'Bellot, Gaetan']","[' cryoelectron microscopy methods', ' dna chemistry', 'extracellular vesicles chemistry', 'humans', 'cholesterol chemistry', 'liposomes chemistry']",Free-Standing DNA Origami Superlattice to Facilitate Cryo-EM Visualization of Membrane Vesicles.,"Technological breakthroughs in cryo-electron microscopy (cryo-EM) methods open new perspectives for highly detailed structural characterizations of extracellular vesicles (EVs) and synthetic liposome-protein assemblies. Structural characterizations of these vesicles in solution under a nearly native hydrated state are of great importance to decipher cell-to-cell communication and to improve EVs' application as markers in diagnosis and as drug carriers in disease therapy. However, difficulties in preparing holey carbon cryo-EM grids with low vesicle heterogeneities, at low concentration and with kinetic control of the chemical reactions or assembly processes, have limited cryo-EM use in the EV study. We report a straightforward membrane vesicle cryo-EM sample preparation method that assists in circumventing these limitations by using a free-standing DNA-affinity superlattice for covering holey carbon cryo-EM grids. Our approach uses DNA origami to self-assemble to a solution-stable and micrometer-sized ordered molecular template in which structure and functional properties can be rationally controlled. We engineered the template with cholesterol-binding sites to specifically trap membrane vesicles. The advantages of this DNA-cholesterol-affinity lattice (DCAL) include (1) local enrichment of artificial and biological vesicles at low concentration and (2) isolation of heterogeneous cell-derived membrane vesicles (exosomes) from a prepurified pellet of cell culture conditioned medium on the grid."
2024 Apr 30,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2024 Apr 30:e2400963. doi: 10.1002/smll.202400963.,"['Mou, Jingyan', 'Zhang, Haoping', 'Zhang, Linghao', 'Zhang, Beibei', 'Liu, Jiajia', 'Zheng, Shasha', 'Kou, Qiaoni', 'Wang, Hong', 'Su, Xin', 'Guo, Shaojun', 'Ke, Yonggang', 'Zhang, Yingwei']","['dna intermolecular hybridization on particles', 'dna walker‐based theranostics platform', 'biosensor', 'drug delivery', 'simulation by coarse‐grained model']",Simulation-Guided Rational Design of DNA Walker-Based Theranostic Platform.,"Biomolecule-functionalized nanoparticles represent a type of promising biomaterials in biomedical applications owing to their excellent biocompatibility and versatility. DNA-based reactions on nanoparticles have enabled emerging applications including intelligent biosensors, drug delivery, and biomimetic devices. Among the reactions, strand hybridization is the critical step to control the sensitivity and specificity of biosensing, and the efficiency of drug delivery. However, a comprehensive understanding of DNA hybridization on nanoparticles is still lacking, which may differ from the process in homogeneous solutions. To address this limitation, coarse-grained model-based molecular dynamic simulation is harnessed to disclose the critical factors involved in intermolecular hybridization. Based on simulation guidance, DNA walker-based smart theranostic platform (DWTP) based on ""on-particle"" hybridization is developed, showing excellent consistency with simulation. DWTP is successfully applied for highly sensitive miRNA 21 detection and tumor-specific miRNA 21 imaging, driven by tumor-endogenous APE 1 enzyme. It enables the precise release of antisense oligonucleotide triggered by tumor-endogenous dual-switch miRNA 21 and APE 1, facilitating effective gene silencing therapy with high biosafety. The simulation of ""on-particle"" DNA hybridization has improved the corresponding biosensing performance and the release efficiency of therapeutic agents, representing a conceptually new approach for DNA-based device design."
2024 Apr 8,Nature communications,Nat Commun. 2024 Apr 8;15(1):3015. doi: 10.1038/s41467-024-46998-y.,"['DeLuca, Marcello', 'Duke, Daniel', 'Ye, Tao', 'Poirier, Michael', 'Ke, Yonggang', 'Castro, Carlos', 'Arya, Gaurav']","[' nanotechnology', 'nucleic acid conformation', 'dna chemistry', ' nanostructures chemistry', 'kinetics']",Mechanism of DNA origami folding elucidated by mesoscopic simulations.,"Many experimental and computational efforts have sought to understand DNA origami folding, but the time and length scales of this process pose significant challenges. Here, we present a mesoscopic model that uses a switchable force field to capture the behavior of single- and double-stranded DNA motifs and transitions between them, allowing us to simulate the folding of DNA origami up to several kilobases in size. Brownian dynamics simulations of small structures reveal a hierarchical folding process involving zipping into a partially folded precursor followed by crystallization into the final structure. We elucidate the effects of various design choices on folding order and kinetics. Larger structures are found to exhibit heterogeneous staple incorporation kinetics and frequent trapping in metastable states, as opposed to more accessible structures which exhibit first-order kinetics and virtually defect-free folding. This model opens an avenue to better understand and design DNA nanostructures for improved yield and folding performance."
2024 Mar 18,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2024 Mar 18;63(12):e202320179. doi: ,"['Shi, Chenzhi', 'Yang, Donglei', 'Ma, Xiaowei', 'Pan, Li', 'Shao, Yuanchuan', 'Arya, Gaurav', 'Ke, Yonggang', 'Zhang, Chuan', 'Wang, Fuan', 'Zuo, Xiaolei', 'Li, Min', 'Wang, Pengfei']","[' dna, catalytic metabolism', 'rna, viral', ' micrornas', 'endonucleases', ' biosensing techniques', 'nucleic acid amplification techniques', 'dnazyme', 'sars-cov-2 rna', 'mirna', 'molecular diagnostics', 'nucleic acid detection']",A Programmable DNAzyme for the Sensitive Detection of Nucleic Acids.,"Nucleic acids in biofluids are emerging biomarkers for the molecular diagnostics of diseases, but their clinical use has been hindered by the lack of sensitive detection assays. Herein, we report the development of a sensitive nucleic acid detection assay named SPOT (sensitive loop-initiated DNAzyme biosensor for nucleic acid detection) by rationally designing a catalytic DNAzyme of endonuclease capability into a unified one-stranded allosteric biosensor. SPOT is activated once a nucleic acid target of a specific sequence binds to its allosteric module to enable continuous cleavage of molecular reporters. SPOT provides a highly robust platform for sensitive, convenient and cost-effective detection of low-abundance nucleic acids. For clinical validation, we demonstrated that SPOT could detect serum miRNAs for the diagnostics of breast cancer, gastric cancer and prostate cancer. Furthermore, SPOT exhibits potent detection performance over SARS-CoV-2 RNA from clinical swabs with high sensitivity and specificity. Finally, SPOT is compatible with point-of-care testing modalities such as lateral flow assays. Hence, we envision that SPOT may serve as a robust assay for the sensitive detection of a variety of nucleic acid targets enabling molecular diagnostics in clinics."
2024 Feb 7,Nano letters,Nano Lett. 2024 Feb 7;24(5):1703-1709. doi: 10.1021/acs.nanolett.3c04497. Epub ,"['Lu, Qinyi', 'Xu, Yang', 'Poppleton, Erik', 'Zhou, Kun', 'Sulc, Petr', 'Stephanopoulos, Nicholas', 'Ke, Yonggang']","[' nanostructures chemistry', 'dna chemistry', 'oligonucleotides', 'polymers', 'nucleic acid conformation', 'nanotechnology', 'dna origami', 'dna−protein conjugation', 'oligomeric protein complex', 'programmable assembly', 'strand displacement']",DNA-Nanostructure-Guided Assembly of Proteins into Programmable Shapes.,"The development of methods to synthesize artificial protein complexes with precisely controlled configurations will enable diverse biological and medical applications. Using DNA to link proteins provides programmability that can be difficult to achieve with other methods. Here, we use DNA origami as an ""assembler"" to guide the linking of protein-DNA conjugates using a series of oligonucleotide hybridization and displacement operations. We constructed several isomeric protein nanostructures, including a dimer, two types of trimer structures, and three types of tetramer assemblies, on a DNA origami platform by using a C3-symmetric building block composed of a protein trimer modified with DNA handles. Our approach expands the scope for the precise assembly of protein-based nanostructures and will enable the formulation of functional protein complexes with stoichiometric and geometric control."
2024 Jun,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2024 Jun;20(23):e2308862. doi: 10.1002/smll.202308862. Epub 2023 Dec 24.,"['Kou, Bo', 'Wang, Zhichao', 'Mousavi, Shikufa', 'Wang, Pengfei', 'Ke, Yonggang']","[' gold chemistry', ' dna chemistry', 'nanotechnology methods', 'metal nanoparticles chemistry', 'nanostructures chemistry', 'dna self‐assembly', 'dynamic nanostructures arrangement', 'nano device regulation', 'plasmonic gold nanostructures', 'reversible robotic nanostructures']",Dynamic Gold Nanostructures Based on DNA Self Assembly.,"The combination of DNA nanotechnology and Nano Gold (NG) plasmon has opened exciting possibilities for a new generation of functional plasmonic systems that exhibit tailored optical properties and find utility in various applications. In this review, the booming development of dynamic gold nanostructures are summarized, which are formed by DNA self-assembly using DNA-modified NG, DNA frameworks, and various driving forces. The utilization of bottom-up strategies enables precise control over the assembly of reversible and dynamic aggregations, nano-switcher structures, and robotic nanomachines capable of undergoing on-demand, reversible structural changes that profoundly impact their properties. Benefiting from the vast design possibilities, complete addressability, and sub-10 nm resolution, DNA duplexes, tiles, single-stranded tiles and origami structures serve as excellent platforms for constructing diverse 3D reconfigurable plasmonic nanostructures with tailored optical properties. Leveraging the responsive nature of DNA interactions, the fabrication of dynamic assemblies of NG becomes readily achievable, and environmental stimulation can be harnessed as a driving force for the nanomotors. It is envisioned that intelligent DNA-assembled NG nanodevices will assume increasingly important roles in the realms of biological, biomedical, and nanomechanical studies, opening a new avenue toward exploration and innovation."
2024 Jan 10,Journal of the American Chemical Society,J Am Chem Soc. 2024 Jan 10;146(1):358-367. doi: 10.1021/jacs.3c09310. Epub 2023 ,"['Wang, Shuang', 'Lin, Po-An', 'DeLuca, Marcello', 'Zauscher, Stefan', 'Arya, Gaurav', 'Ke, Yonggang']","['nucleic acid conformation', ' polynucleotides', 'dna', ' nanostructures', 'silicon dioxide']",Controlling Silicification on DNA Origami with Polynucleotide Brushes.,"DNA origami has been used as biotemplates for growing a range of inorganic materials to create novel organic-inorganic hybrid nanomaterials. Recently, the solution-based silicification of DNA has been used to grow thin silica shells on DNA origami. However, the silicification reaction is sensitive to the reaction conditions and often results in uncontrolled DNA origami aggregation, especially when growth of thicker silica layers is desired. Here, we investigated how site-specifically placed polynucleotide brushes influence the silicification of DNA origami. Our experiments showed that long DNA brushes, in the form of single- or double-stranded DNA, significantly suppress the aggregation of DNA origami during the silicification process. Furthermore, we found that double-stranded DNA brushes selectively promote silica growth on DNA origami surfaces. These observations were supported and explained by coarse-grained molecular dynamics simulations. This work provides new insights into our understanding of the silicification process on DNA and provides a powerful toolset for the development of novel DNA-based organic-inorganic nanomaterials."
2023 Nov,Nature biomedical engineering,Nat Biomed Eng. 2023 Nov;7(11):1404-1418. doi: 10.1038/s41551-023-01114-1. Epub ,"['Duan, Yuxin', 'Szlam, Fania', 'Hu, Yuesong', 'Chen, Wenchun', 'Li, Renhao', 'Ke, Yonggang', 'Sniecinski, Roman', 'Salaita, Khalid']","['humans', ' crispr-cas systems', ' traction', 'cell adhesion physiology', 'proteins', 'carrier proteins']",Detection of cellular traction forces via the force-triggered Cas12a-mediated catalytic cleavage of a fluorogenic reporter strand.,"Molecular forces generated by cell receptors are infrequent and transient, and hence difficult to detect. Here we report an assay that leverages the CRISPR-associated protein 12a (Cas12a) to amplify the detection of cellular traction forces generated by as few as 50 adherent cells. The assay involves the immobilization of a DNA duplex modified with a ligand specific for a cell receptor. Traction forces of tens of piconewtons trigger the dehybridization of the duplex, exposing a cryptic Cas12-activating strand that sets off the indiscriminate Cas12-mediated cleavage of a fluorogenic reporter strand. We used the assay to perform hundreds of force measurements using human platelets from a single blood draw to extract individualized dose-response curves and half-maximal inhibitory concentrations for a panel of antiplatelet drugs. For seven patients who had undergone cardiopulmonary bypass, platelet dysfunction strongly correlated with the need for platelet transfusion to limit bleeding. The Cas12a-mediated detection of cellular traction forces may be used to assess cell state, and to screen for genes, cell-adhesion ligands, drugs or metabolites that modulate cell mechanics."
2023 Oct 20,Nature communications,Nat Commun. 2023 Oct 20;14(1):6665. doi: 10.1038/s41467-023-42437-6.,"['Tang, Linlin', 'Tian, Zhijin', 'Cheng, Jin', 'Zhang, Yijing', 'Song, Yongxiu', 'Liu, Yan', 'Wang, Jinghao', 'Zhang, Pengfei', 'Ke, Yonggang', 'Simmel, Friedrich C', 'Song, Jie']","['animals', 'mice', ' dna, single-stranded genetics', ' dna metabolism', 'dna replication', 'dna-binding proteins metabolism', 'gene expression', 'mammals genetics']",Circular single-stranded DNA as switchable vector for gene expression in mammalian cells.,"Synthetic gene networks in mammalian cells are currently limited to either protein-based transcription factors or RNA-based regulators. Here, we demonstrate a regulatory approach based on circular single-stranded DNA (Css DNA), which can be used as an efficient expression vector with switchable activity, enabling gene regulation in mammalian cells. The Css DNA is transformed into its double-stranded form via DNA replication and used as vectors encoding a variety of different proteins in a wide range of cell lines as well as in mice. The rich repository of DNA nanotechnology allows to use sort single-stranded DNA effectors to fold Css DNA into DNA nanostructures of different complexity, leading the gene expression to programmable inhibition and subsequently re-activation via toehold-mediated strand displacement. The regulatory strategy from Css DNA can thus expand the molecular toolbox for the realization of synthetic regulatory networks with potential applications in genetic diagnosis and gene therapy."
2023 Nov 27,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2023 Nov 27;62(48):e202311727. doi: ,"['Yang, Yunqi', 'Lu, Qinyi', 'Chen, Yu', 'DeLuca, Marcello', 'Arya, Gaurav', 'Ke, Yonggang', 'Zauscher, Stefan']","[' polynucleotides', ' nanostructures chemistry', 'dna chemistry', 'nanotechnology', 'drug delivery systems', 'nucleic acid conformation', 'dna nanostructures', 'restriction enzymes', 'sequential brush growth', 'surface-initiated polymerization', 'terminal deoxynucleotidyl transferase']",Spatiotemporal Control over Polynucleotide Brush Growth on DNA Origami Nanostructures.,"DNA nanotechnology provides an approach to create precise, tunable, and biocompatible nanostructures for biomedical applications. However, the stability of these structures is severely compromised in biological milieu due to their fast degradation by nucleases. Recently, we showed how enzymatic polymerization could be harnessed to grow polynucleotide brushes of tunable length and location on the surface of DNA origami nanostructures, which greatly enhances their nuclease stability. Here, we report on strategies that allow for both spatial and temporal control over polymerization through activatable initiation, cleavage, and regeneration of polynucleotide brushes using restriction enzymes. The ability to site-specifically decorate DNA origami nanostructures with polynucleotide brushes in a spatiotemporally controlled way provides access to ""smart"" functionalized DNA architectures with potential applications in drug delivery and supramolecular assembly."
