time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in physiology,Front Physiol. 2024 May 24;15:1397016. doi: 10.3389/fphys.2024.1397016. ,"['Rock, Chase G', 'Kwak, Samuel T', 'Luo, Angela', 'Yang, Xiao', 'Yun, Kristy', 'Chang, Young-Hui']","['biomechanics', 'gravity adaptation', 'locomotion', 'motor control', 'motor learning', 'muscle preactivation']",Realizing the gravity of the simulation: adaptation to simulated hypogravity leads to altered predictive control.,"Accurate predictive abilities are important for a wide variety of animal behaviors. Inherent to many of these predictions is an understanding of the physics that underlie the behavior. Humans are specifically attuned to the physics on Earth but can learn to move in other environments (e.g., the surface of the Moon). However, the adjustments made to their physics-based predictions in the face of altered gravity are not fully understood. The current study aimed to characterize the locomotor adaptation to a novel paradigm for simulated reduced gravity. We hypothesized that exposure to simulated hypogravity would result in updated predictions of gravity-based movement. Twenty participants took part in a protocol that had them perform vertically targeted countermovement jumps before (PRE), during, and after (POST) a physical simulation of hypogravity. Jumping in simulated hypogravity had different neuromechanics from the PRE condition, with reduced ground impulses (p ≤ .009) and muscle activity prior to the time of landing (i.e., preactivation; p ≤ .016). In the 1 g POST condition, muscle preactivation remained reduced (p ≤ .033) and was delayed (p ≤ .008) by up to 33% for most muscles of the triceps surae, reflecting an expectation of hypogravity. The aftereffects in muscle preactivation, along with little-to-no change in muscle dynamics during ground contact, point to a neuromechanical adaptation that affects predictive, feed-forward systems over feedback systems. As such, we conclude that the neural representation, or internal model, of gravity is updated after exposure to simulated hypogravity."
2024 Jun,Gait & posture,Gait Posture. 2024 Jun;111:176-181. doi: 10.1016/j.gaitpost.2024.04.017. Epub ,"['Abbott, Emily M', 'Bhimani, Rohan', 'Kadakia, Rishin J', 'Bariteau, Jason', 'Chang, Young-Hui']","['humans', ' arthroplasty, replacement, ankle', ' range of motion, articular physiology', 'biomechanical phenomena', ' feasibility studies', 'male', 'female', ' ankle joint surgery physiopathology', 'middle aged', 'aged', 'fluoroscopy', 'joint prosthesis', 'gait physiology', 'prosthesis design', 'imaging, three-dimensional', 'arthritis surgery physiopathology', 'arthritis', 'biomechanics', 'biplanar radiography', 'fixed bearing', 'kinematics', 'mobile bearing', 'total ankle arthroplasty', 'x-ray']",3D kinematics of tibiotalar motion in patients with mobile bearing and fixed bearing total ankle arthroplasty: In vivo videofluoroscopic feasibility study.,"BACKGROUND: As total ankle arthroplasty (TAA) is an increasingly common surgical intervention for patients with end-stage ankle arthritis, there is a need to better understand the dynamic performance of prosthetic implants during activities of daily living. Our purpose was to quantify and compare relative tibiotalar motion during gait in persons with a fixed-bearing (FB) and mobile-bearing (MB) total ankle arthroplasty. We hypothesized a FB prosthesis would have lower tibiotalar range of motion (ROM). METHODS: Patients at least 12 months postoperative with either a FB (n=5) or MB (n=3) total ankle arthroplasty were tested. We used high-speed biplanar videoradiography to quantify tibiotalar kinematics during self-selected gait. Angular and linear ROM in three axes were compared between the groups. RESULTS: ROM for dorsiflexion-plantarflexion, internal-external rotation, and inversion-eversion angles in FB subjects averaged 7.47±4.05°, 7.39±3.63°, and 4.51±2.13°, respectively. ROM in MB subjects averaged 6.74±2.04°, 6.28±4.51°, and 5.68±2.81°, respectively. Linear ROM along anteroposterior, mediolateral, and superior-inferior axes in FB subjects averaged 1.47±2.07 mm, 1.13±1.49 mm, and 0.28±0.30 mm, respectively. Linear ROM in MB subjects averaged 0.68±1.44 mm, 0.60±1.41 mm, and 0.20±0.13 mm, respectively. We found no significant difference between the two groups for any of these ROM parameters (p>0.05). CONCLUSION: Total ankle arthroplasty using either FB or MB design appears to confer similar ankle motion during the gait cycle in this biplanar fluoroscopic model. LEVEL OF EVIDENCE: Level IV, case series."
2024,Frontiers in rehabilitation sciences,Front Rehabil Sci. 2024 Feb 2;5:1339856. doi: 10.3389/fresc.2024.1339856. ,"['Herrin, Kinsey R', 'Kwak, Samuel T', 'Rock, Chase G', 'Chang, Young-Hui']","['gait', 'outcome measures', 'prosthetics', 'robotics', 'sensors', 'wearable']",Gait quality in prosthesis users is reflected by force-based metrics when learning to walk on a new research-grade powered prosthesis.,"INTRODUCTION: Powered prosthetic feet require customized tuning to ensure comfort and long-term success for the user, but tuning in both clinical and research settings is subjective, time intensive, and the standard for tuning can vary depending on the patient's and the prosthetist's experience levels. METHODS: Therefore, we studied eight different metrics of gait quality associated with use of a research-grade powered prosthetic foot in seven individuals with transtibial amputation during treadmill walking. We compared clinically tuned and untuned conditions with the goal of identifying performance-based metrics capable of distinguishing between good (as determined by a clinician) from poor gait quality. RESULTS: Differences between the tuned and untuned conditions were reflected in ankle power, both the vertical and anterior-posterior impulse symmetry indices, limb-force alignment, and positive ankle work, with improvements seen in all metrics during use of the tuned prosthesis. DISCUSSION: Notably, all of these metrics relate to the timing of force generation during walking which is information not directly accessible to a prosthetist during a typical tuning process. This work indicates that relevant, real-time biomechanical data provided to the prosthetist through the future provision of wearable sensors may enhance and improve future clinical tuning procedures associated with powered prostheses as well as their long-term outcomes."
2023 Aug,"Journal of the Royal Society, Interface",J R Soc Interface. 2023 Aug;20(205):20230232. doi: 10.1098/rsif.2023.0232. Epub ,"['Schulz, Andrew K', 'Shriver, Cassie', 'Stathatos, Suzanne', 'Seleb, Benjamin', 'Weigel, Emily G', 'Chang, Young-Hui', 'Saad Bhamla, M', 'Hu, David L', 'Mendelson, Joseph R 3rd']","['animals', 'humans', ' conservation of natural resources methods', ' animals, wild', 'biodiversity', 'game theory', 'biology', 'ai4good', 'tech4wildlife', 'conservation tech', 'human-centred design']",Conservation tools: the next generation of engineering-biology collaborations.,"The recent increase in public and academic interest in preserving biodiversity has led to the growth of the field of conservation technology. This field involves designing and constructing tools that use technology to aid in the conservation of wildlife. In this review, we present five case studies and infer a framework for designing conservation tools (CT) based on human-wildlife interaction. Successful CT range in complexity from cat collars to machine learning and game theory methodologies and do not require technological expertise to contribute to conservation tool creation. Our goal is to introduce researchers to the field of conservation technology and provide references for guiding the next generation of conservation technologists. Conservation technology not only has the potential to benefit biodiversity but also has broader impacts on fields such as sustainability and environmental protection. By using innovative technologies to address conservation challenges, we can find more effective and efficient solutions to protect and preserve our planet's resources."
2023 Mar 22,Scientific reports,Sci Rep. 2023 Mar 22;13(1):4660. doi: 10.1038/s41598-023-31501-2.,"['Kwak, Samuel T', 'Chang, Young-Hui']","['humans', 'electromyography', ' walking physiology', ' muscle, skeletal physiology', 'gait physiology', 'reflex', 'biomechanical phenomena']",Fascicle dynamics of the tibialis anterior muscle reflect whole-body walking economy.,"Humans can inherently adapt their gait pattern in a way that minimizes the metabolic cost of transport, or walking economy, within a few steps, which is faster than any known direct physiological sensor of metabolic energy. Instead, walking economy may be indirectly sensed through mechanoreceptors that correlate with the metabolic cost per step to make such gait adaptations. We tested whether velocity feedback from tibialis anterior (TA) muscle fascicles during the early stance phase of walking could potentially act to indirectly sense walking economy. As participants walked within a range of steady-state speeds and step frequencies, we observed that TA fascicles lengthen on almost every step. Moreover, the average peak fascicle velocity experienced during lengthening reflected the metabolic cost of transport of the given walking condition. We observed that the peak TA muscle activation occurred earlier than could be explained by a short latency reflex response. The activation of the TA muscle just prior to heel strike may serve as a prediction of the magnitude of the ground collision and the associated energy exchange. In this scenario, any unexpected length change experienced by the TA fascicle would serve as an error signal to the nervous system and provide additional information about energy lost per step. Our work helps provide a biomechanical framework to understand the possible neural mechanisms underlying the rapid optimization of walking economy."
2023 Jan,Experimental brain research,Exp Brain Res. 2023 Jan;241(1):161-174. doi: 10.1007/s00221-022-06513-5. Epub ,"['Toney-Bolger, Megan E', 'Chang, Young-Hui']","['humans', ' leg', 'ankle', 'torque', 'biomechanical phenomena', 'knee joint', 'walking', 'amputation, surgical', 'gait', ' artificial limbs', 'amputation', 'biomechanics', 'locomotion', 'motor control', 'robustness', 'uncontrolled manifold']",The motor and the brake of the trailing leg in human walking: transtibial amputation limits ankle-knee torque covariation.,"Lower-limb amputation limits inherent motor abundance in the locomotor system and impairs walking mechanics. Able-bodied walkers vary ankle torque to adjust step-to-step leg force production as measured by resultant ground reaction forces. Simultaneously, knee torque covaries with ankle torque to act as a brake, resulting in consistent peak leg power output measured by external mechanical power generated on the center of mass. Our objective was to test how leg force control during gait is affected by joint torque variance structure in the amputated limb. Within the framework of the uncontrolled manifold analysis, we measured the Index of Motor Abundance (IMA) to quantify joint torque variance structure of amputated legs and its effect on leg force, where IMA > 0 indicates a stabilizing structure. We further evaluated the extent to which IMA in amputated legs used individual (INV) and coordinated (COV) joint control strategies. Amputated legs produced IMA and INV values similar to intact legs, indicating that torque deviations of the prosthetic ankle can modulate leg force at the end of stance phase. However, we observed much lower COV values in the amputated leg relative to intact legs indicating that biological knee joint torque of the amputated leg does not covary with prosthetic ankle torque. This observation suggests inter-joint coordination during gait is significantly limited as a result of transtibial amputation and may help explain the higher rate of falls and impaired balance recovery in this population, pointing to a greater need to focus on inter-joint coordination within the amputated limb."
2022 Aug 15,The Journal of experimental biology,J Exp Biol. 2022 Aug 15;225(16):jeb244540. doi: 10.1242/jeb.244540. Epub 2022 Aug ,"['Kirkpatrick, Nathan J', 'Butera, Robert J', 'Chang, Young-Hui']","['animals', 'biomechanical phenomena', 'humans', ' locomotion', 'radiography', 'rats', ' rodentia', 'video recording', 'x-rays', 'biomechanics', 'rat kinematics', 'x-ray videography', 'xma']",DeepLabCut increases markerless tracking efficiency in X-ray video analysis of rodent locomotion.,"Despite the prevalence of rat models to study human disease and injury, existing methods for quantifying behavior through skeletal movements are problematic owing to skin movement inaccuracies associated with optical video analysis, or require invasive implanted markers or time-consuming manual rotoscoping for X-ray video approaches. We examined the use of a machine learning tool, DeepLabCut, to perform automated, markerless tracking in bi-planar X-ray videos of locomoting rats. Models were trained on 590 pairs of video frames to identify 19 unique skeletal landmarks of the pelvic limb. Accuracy, precision and time savings were assessed. Machine-identified landmarks deviated from manually labeled counterparts by 2.4±0.2 mm (n=1710 landmarks). DeepLabCut decreased analysis time by over three orders of magnitude (1627×) compared with manual labeling. Distribution of these models may enable the processing of a large volume of accurate X-ray kinematics locomotion data in a fraction of the time without requiring surgically implanted markers."
2021 Oct 1,Prosthetics and orthotics international,Prosthet Orthot Int. 2021 Oct 1;45(5):410-416. doi: 10.1097/PXR.0000000000000036.,"['Davidson, Audra M', 'Childers, W Lee', 'Chang, Young-Hui']","[' amputees', 'ankle', ' artificial limbs', 'biomechanical phenomena', 'foot', 'gait', 'humans', 'walking']",Altering the tuning parameter settings of a commercial powered prosthetic foot to increase power during push-off may not reduce collisional work in the intact limb during gait.,"BACKGROUND: Increased knee osteoarthritis risk in patients with unilateral lower extremity limb loss is attributed to increased intact limb loading. Modulating powered ankle prosthesis push-off power may be an effective way to modulate intact limb loading. We examined how changes in the parameter settings of a commercial prosthetic ankle affect power delivery during push-off and the resulting collisional work experienced by the intact limb in persons with unilateral lower extremity limb loss. METHODS: Five subjects with unilateral transtibial amputation were fitted with a commercially available powered ankle prosthesis (Ottobock Empower). Subjects walked on a treadmill in seven conditions, where ankle power delivery settings were adjusted using methods accessible to clinicians. Kinetics and kinematics data were collected. RESULTS: Standard adjustment of parameter settings within the prosthetic foot did not alter timing of peak prosthesis power or intact limb collisional work but did have a significant effect on the magnitude of positive prosthesis ankle work. Increased prosthesis work did not decrease intact limb collisional work as predicted. CONCLUSIONS: Altering the parameter settings on a commercial powered ankle prosthesis affected the magnitude, but not the timing, of power delivered. Increased prosthesis push-off power did not decrease intact limb loading."
2021 Jun 1,Prosthetics and orthotics international,Prosthet Orthot Int. 2021 Jun 1;45(3):240-245. doi: 10.1097/PXR.0000000000000018.,"['Simonds, Emily', 'Colton, Jonathan', 'Kogler, Geza', 'Chang, Young-Hui']","['braces', 'equipment design', ' foot orthoses', 'humans']",Design and testing of a prototype foot orthosis that uses the principle of granular jamming.,"STUDY DESIGN: A mechanical testing protocol was used to compare the material properties of commercially available foams with that of a newly designed granular jamming orthosis prototypes. BACKGROUND: Foot orthoses have an inherent limitation of predetermined mechanical material properties coupled with a fixed orthotic interface shape that cannot be readily changed. OBJECTIVES: To develop and test a novel orthotic insole design concept that incorporates principles of granular jamming. METHODS: Granular media were used in combination with vacuum pressure to create a variable stiffness granular foot orthosis. Four types of granular media (rice, poppy seeds, micropolystyrene, and polystyrene beads) were tested in different prototype configurations varying in volume fill and particulate size. Stress-strain curves were obtained from uniaxial compression tests to characterize granular foot orthosis prototypes in comparison with commercial orthotic foams. RESULTS: Increasing vacuum pressure increased prototype stiffness for most configurations. A single granular jamming orthosis could exhibit energy absorption values that spanned the entire commercial foam performance range, and in some cases extended far beyond the upper values of the tested foams. CONCLUSION: The results suggest that granular jamming principles can provide clinicians the capability for rapid selection of mechanical properties over a wide range of orthosis stiffnesses. Importantly, patients could don the orthosis because the clinician makes real-time assessments and adjustments in the clinic."
2021 Feb,"Clinical biomechanics (Bristol, Avon)","Clin Biomech (Bristol, Avon). 2021 Feb;82:105285. doi: ","['Hovorka, Christopher F', 'Kogler, Géza F', 'Chang, Young-Hui', 'Gregor, Robert']","['adult', ' ankle physiology', 'biomechanical phenomena', 'braces', 'female', ' foot orthoses', 'humans', 'male', ' mechanical phenomena', 'middle aged', ' movement', 'range of motion, articular', 'ankle foot orthosis', 'ankle foot orthosis-footwear combination', 'footwear', 'motion control', 'stiffness', 'three force system']",Material properties and application of biomechanical principles provide significant motion control performance in experimental ankle foot orthosis-footwear combination.,"BACKGROUND: This study, the first of its kind, originated with the need for a brace (an ankle foot orthosis), to constrain ankle plantarflexion and dorsiflexion within a motion threshold of <5°. A conventional thermoplastic, solid brace failed during a quasi-static loading study, informing the investigation and development of an experimental carbon composite brace, maximizing stiffness and proximity of shank and foot cylindrical shells to provide the required degree of control. METHODS: Two experiments were conducted: a quasi-static loading study, using cadaveric limbs (n = 2), and a gait study with healthy subjects (n = 14). Conditions tested were STOP, FREE, and CONTROL. Data for all studies were collected using six motion-capture cameras (Vicon, Oxford, UK; 120 Hz) tracking bone-anchored markers (cadaveric limbs) and skin-anchored markers (subjects). In the quasi-static loading study, loading conditions were congruent with the gait study. Study 1 involved a quasi-static loading analysis using cadaveric limbs, compared motion data from a conventional thermoplastic solid brace and the experimental brace. Study 2 involved quantifying ankle plantarflexion and dorsiflexion in subjects during treadmill walking, in brace STOP, FREE, and CONTROL conditions. FINDINGS: The experimental brace in STOP condition consistently constrained ankle plantarflexion and dorsiflexion below the motion threshold of <5°, across all studies. INTERPRETATION: Collectively, these findings demonstrate (1) that a conventional thermoplastic, solid brace was ineffective for clinical applications that required significant motion control, and (2) that ankle motion control is most effective when considered as a relationship between the brace, the ankle-foot complex, and the external forces that affect them both."
