time,journal,doi_info,authors,key words,title,abstract
2024 Jun 12,Science robotics,Sci Robot. 2024 Jun 12;9(91):eadi2377. doi: 10.1126/scirobotics.adi2377. Epub ,"['Zhou, Yu Meng', 'Hohimer, Cameron J', 'Young, Harrison T', 'McCann, Connor M', 'Pont-Esteban, David', 'Civici, Umut S', 'Jin, Yichu', 'Murphy, Patrick', 'Wagner, Diana', 'Cole, Tazzy', 'Phipps, Nathan', 'Cho, Haedo', 'Bertacchi, Franchesco', 'Pignataro, Isabella', 'Proietti, Tommaso', 'Walsh, Conor J']","['humans', ' robotics instrumentation', ' wearable electronic devices', ' equipment design', 'biomechanical phenomena', 'male', ' shoulder physiology', 'adult', ' range of motion, articular physiology', ' torque', 'muscle, skeletal physiology', 'electromyography instrumentation', 'industry instrumentation', 'shoulder injuries prevention & control', 'female', 'young adult', 'task performance and analysis', 'shoulder joint physiology', 'exoskeleton device']",A portable inflatable soft wearable robot to assist the shoulder during industrial work.,"Repetitive overhead tasks during factory work can cause shoulder injuries resulting in impaired health and productivity loss. Soft wearable upper extremity robots have the potential to be effective injury prevention tools with minimal restrictions using soft materials and active controls. We present the design and evaluation of a portable inflatable shoulder wearable robot for assisting industrial workers during shoulder-elevated tasks. The robot is worn like a shirt with integrated textile pneumatic actuators, inertial measurement units, and a portable actuation unit. It can provide up to 6.6 newton-meters of torque to support the shoulder and cycle assistance on and off at six times per minute. From human participant evaluations during simulated industrial tasks, the robot reduced agonist muscle activities (anterior, middle, and posterior deltoids and biceps brachii) by up to 40% with slight changes in joint angles of less than 7% range of motion while not increasing antagonistic muscle activity (latissimus dorsi) in current sample size. Comparison of controller parameters further highlighted that higher assistance magnitude and earlier assistance timing resulted in statistically significant muscle activity reductions. During a task circuit with dynamic transitions among the tasks, the kinematics-based controller of the robot showed robustness to misinflations (96% true negative rate and 91% true positive rate), indicating minimal disturbances to the user when assistance was not required. A preliminary evaluation of a pressure modulation profile also highlighted a trade-off between user perception and hardware demands. Finally, five automotive factory workers used the robot in a pilot manufacturing area and provided feedback."
2024 Mar 15,Scientific reports,Sci Rep. 2024 Mar 15;14(1):6347. doi: 10.1038/s41598-024-56888-4.,"['Baker, Lauren M', 'Yawar, Ali', 'Lieberman, Daniel E', 'Walsh, Conor J']","['biomechanical phenomena', ' running', 'foot', 'exercise test', ' wearable electronic devices']",Predicting overstriding with wearable IMUs during treadmill and overground running.,"Running injuries are prevalent, but their exact mechanisms remain unknown largely due to limited real-world biomechanical analysis. Reducing overstriding, the horizontal distance that the foot lands ahead of the body, may be relevant to reducing injury risk. Here, we leverage the geometric relationship between overstriding and lower extremity sagittal segment angles to demonstrate that wearable inertial measurement units (IMUs) can predict overstriding during treadmill and overground running in the laboratory. Ten recreational runners matched their strides to a metronome to systematically vary overstriding during constant-speed treadmill running and showed similar overstriding variation during comfortable-speed overground running. Linear mixed models were used to analyze repeated measures of overstriding and sagittal segment angles measured with motion capture and IMUs. Sagittal segment angles measured with IMUs explained 95% and 98% of the variance in overstriding during treadmill and overground running, respectively. We also found that sagittal segment angles measured with IMUs correlated with peak braking force and explained 88% and 80% of the variance during treadmill and overground running, respectively. This study highlights the potential for IMUs to provide insights into landing and loading patterns over time in real-world running environments, and motivates future research on feedback to modify form and prevent injury."
2024 Jan 30,"Bioengineering (Basel, Switzerland)",Bioengineering (Basel). 2024 Jan 30;11(2):137. doi: ,"['Collimore, Ashley N', 'Alvarez, Jonathan T', 'Sherman, David A', 'Gerez, Lucas F', 'Barrow, Noah', 'Choe, Dabin K', 'Binder-Macleod, Stuart', 'Walsh, Conor J', 'Awad, Louis N']","['activation', 'burst superimposition', 'gait', 'muscle strength', 'neuromuscular', 'stroke']","A Portable, Neurostimulation-Integrated, Force Measurement Platform for the Clinical Assessment of Plantarflexor Central Drive.","Plantarflexor central drive is a promising biomarker of neuromotor impairment; however, routine clinical assessment is hindered by the unavailability of force measurement systems with integrated neurostimulation capabilities. In this study, we evaluate the accuracy of a portable, neurostimulation-integrated, plantarflexor force measurement system we developed to facilitate the assessment of plantarflexor neuromotor function in clinical settings. Two experiments were conducted with the Central Drive System (CEDRS). To evaluate accuracy, experiment #1 included 16 neurotypical adults and used intra-class correlation (ICC(2,1)) to test agreement of plantarflexor strength capacity measured with CEDRS versus a stationary dynamometer. To evaluate validity, experiment #2 added 26 individuals with post-stroke hemiparesis and used one-way ANOVAs to test for between-limb differences in CEDRS' measurements of plantarflexor neuromotor function, comparing neurotypical, non-paretic, and paretic limb measurements. The association between paretic plantarflexor neuromotor function and walking function outcomes derived from the six-minute walk test (6MWT) were also evaluated. CEDRS' measurements of plantarflexor neuromotor function showed high agreement with measurements made by the stationary dynamometer (ICC = 0.83, p < 0.001). CEDRS' measurements also showed the expected between-limb differences (p's < 0.001) in maximum voluntary strength (Neurotypical: 76.21 ± 13.84 ft-lbs., Non-paretic: 56.93 ± 17.75 ft-lbs., and Paretic: 31.51 ± 14.08 ft-lbs.), strength capacity (Neurotypical: 76.47 ± 13.59 ft-lbs., Non-paretic: 64.08 ± 14.50 ft-lbs., and Paretic: 44.55 ± 14.23 ft-lbs.), and central drive (Neurotypical: 88.73 ± 1.71%, Non-paretic: 73.66% ± 17.74%, and Paretic: 52.04% ± 20.22%). CEDRS-measured plantarflexor central drive was moderately correlated with 6MWT total distance (r = 0.69, p < 0.001) and distance-induced changes in speed (r = 0.61, p = 0.002). CEDRS is a clinician-operated, portable, neurostimulation-integrated force measurement platform that produces accurate measurements of plantarflexor neuromotor function that are associated with post-stroke walking ability."
2024 Feb 22,Ergonomics,Ergonomics. 2024 Feb 22:1-14. doi: 10.1080/00140139.2024.2320355.,"['Banks, Jacob J', 'Quirk, David A', 'Chung, Jinwon', 'Cherin, Jason M', 'Walsh, Conor J', 'Anderson, Dennis E']","['musculoskeletal modelling', 'exosuit', 'lift technique', 'lifting']",The effect of a soft active back support exosuit on trunk motion and thoracolumbar spine loading during squat and stoop lifts.,"Back support exosuits aim to reduce tissue demands and thereby risk of injury and pain. However, biomechanical analyses of soft active exosuit designs have been limited. The objective of this study was to evaluate the effect of a soft active back support exosuit on trunk motion and thoracolumbar spine loading in participants performing stoop and squat lifts of 6 and 10 kg crates, using participant-specific musculoskeletal models. The exosuit did not change overall trunk motion but affected lumbo-pelvic motion slightly, and reduced peak compressive and shear vertebral loads at some levels, although shear increased slightly at others. This study indicates that soft active exosuits have limited kinematic effects during lifting, and can reduce spinal loading depending on the vertebral level. These results support the hypothesis that a soft exosuit can assist without limiting trunk movement or negatively impacting skeletal loading and have implications for future design and ergonomic intervention efforts."
2024 Jun,Soft robotics,Soft Robot. 2024 Jun;11(3):444-452. doi: 10.1089/soro.2021.0181. Epub 2024 Jan 8.,"['Hennig, Robert', 'Beaudette, Alex', 'Golecki, Holly M', 'Walsh, Conor J']","['fin propulsion', 'education', 'electromagnetic', 'injection molding', 'soft robotic', 'underwater locomotion']",Educational Soft Underwater Robot with an Electromagnetic Actuation.,"As demonstrated by the Soft Robotics Toolkit Platform, compliant robotics pose an exciting educational opportunity. Underwater robotics using soft undulating fins is an expansive research topic with applications such as exploration of underwater life or replicating 3d swarm behavior. To make this research area accessible for education we developed Educational Soft Underwater Robot with Electromagnetic Actuation (ESURMA), a humanoid soft underwater robot. We achieved advances in simplicity, modularity, and performance by implementing electromagnetic actuation into the caudal fin. An electromagnet, including electronics, is placed in a waterproof housing, and permanent magnets are embedded in a soft silicone cast tail. The force from their magnetic interaction results in a bending movement of the tail. The magnetic actuation is simple to implement and requires no mechanical connection between the actuated component and the electrically controlled coil. This enables robust waterproofing and makes the device fully modular. Thanks to the direct and immediate transmission of force, experimental flapping frequencies of 14 Hz were achieved, an order of magnitude higher compared to pneumatically actuated tails. The completely silent actuation of the caudal fin enables a maximum swimming speed of 14.3 cm/s. With its humanoid shape, modular composition, and cost efficiency ESURMA represents an attractive platform for education and demonstrates an alternative method of actuating soft structures."
2024 Jan,Nature medicine,Nat Med. 2024 Jan;30(1):177-185. doi: 10.1038/s41591-023-02731-8. Epub 2024 Jan ,"['Kim, Jinsoo', 'Porciuncula, Franchino', 'Yang, Hee Doo', 'Wendel, Nicholas', 'Baker, Teresa', 'Chin, Andrew', 'Ellis, Terry D', 'Walsh, Conor J']","['male', 'humans', 'aged', ' parkinson disease complications', ' gait disorders, neurologic etiology therapy', ' robotics', 'gait physiology', 'walking physiology']",Soft robotic apparel to avert freezing of gait in Parkinson's disease.,"Freezing of gait (FoG) is a profoundly disruptive gait disturbance in Parkinson's disease, causing unintended stops while walking. Therapies for FoG reveal modest and transient effects, resulting in a lack of effective treatments. Here we show proof of concept that FoG can be averted using soft robotic apparel that augments hip flexion. The wearable garment uses cable-driven actuators and sensors, generating assistive moments in concert with biological muscles. In this n-of-1 trial with five repeated measurements spanning 6 months, a 73-year-old male with Parkinson's disease and substantial FoG demonstrated a robust response to robotic apparel. With assistance, FoG was instantaneously eliminated during indoor walking (0% versus 39 ± 16% time spent freezing when unassisted), accompanied by 49 ± 11 m (+55%) farther walking compared to unassisted walking, faster speeds (+0.18 m s(-1)) and improved gait quality (-25% in gait variability). FoG-targeting effects were repeatable across multiple days, provoking conditions and environment contexts, demonstrating potential for community use. This study demonstrated that FoG was averted using soft robotic apparel in an individual with Parkinson's disease, serving as an impetus for technological advancements in response to this serious yet unmet need."
2023 Nov 7,Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil. 2023 Nov 7;20(1):148. doi: 10.1186/s12984-023-01267-9.,"['Porciuncula, Franchino', 'Arumukhom Revi, Dheepak', 'Baker, Teresa C', 'Sloutsky, Regina', 'Walsh, Conor J', 'Ellis, Terry D', 'Awad, Louis N']","['humans', 'cross-over studies', 'gait', ' robotics', ' stroke complications', ' stroke rehabilitation methods', 'walking', 'exosuits', 'gait', 'robotics', 'stroke']",Effects of high-intensity gait training with and without soft robotic exosuits in people post-stroke: a development-of-concept pilot crossover trial.,"INTRODUCTION: High-intensity gait training is widely recognized as an effective rehabilitation approach after stroke. Soft robotic exosuits that enhance post-stroke gait mechanics have the potential to improve the rehabilitative outcomes achieved by high-intensity gait training. The objective of this development-of-concept pilot crossover study was to evaluate the outcomes achieved by high-intensity gait training with versus without soft robotic exosuits. METHODS: In this 2-arm pilot crossover study, four individuals post-stroke completed twelve visits of speed-based, high-intensity gait training: six consecutive visits of Robotic Exosuit Augmented Locomotion (REAL) gait training and six consecutive visits without the exosuit (CONTROL). The intervention arms were counterbalanced across study participants and separated by 6 + weeks of washout. Walking function was evaluated before and after each intervention using 6-minute walk test (6MWT) distance and 10-m walk test (10mWT) speed. Moreover, 10mWT speeds were evaluated before each training visit, with the time-course of change in walking speed computed for each intervention arm. For each participant, changes in each outcome were compared to minimal clinically-important difference (M"
2023 Sep 1,Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil. 2023 Sep 1;20(1):113. doi: 10.1186/s12984-023-01231-7.,"['Sloot, Lizeth H', 'Baker, Lauren M', 'Bae, Jaehyun', 'Porciuncula, Franchino', 'Clément, Blandine F', 'Siviy, Christopher', 'Nuckols, Richard W', 'Baker, Teresa', 'Sloutsky, Regina', 'Choe, Dabin K', ""O'Donnell, Kathleen"", 'Ellis, Terry D', 'Awad, Louis N', 'Walsh, Conor J']","['humans', ' robotics', 'walking', 'gait', 'lower extremity', ' stroke', 'exoskeleton', 'ground clearance', 'push-off', 'rehabilitation', 'soft exosuit', 'stroke', 'walking speed']",Effects of a soft robotic exosuit on the quality and speed of overground walking depends on walking ability after stroke.,"BACKGROUND: Soft robotic exosuits can provide partial dorsiflexor and plantarflexor support in parallel with paretic muscles to improve poststroke walking capacity. Previous results indicate that baseline walking ability may impact a user's ability to leverage the exosuit assistance, while the effects on continuous walking, walking stability, and muscle slacking have not been evaluated. Here we evaluated the effects of a portable ankle exosuit during continuous comfortable overground walking in 19 individuals with chronic hemiparesis. We also compared two speed-based subgroups (threshold: 0.93 m/s) to address poststroke heterogeneity. METHODS: We refined a previously developed portable lightweight soft exosuit to support continuous overground walking. We compared five minutes of continuous walking in a laboratory with the exosuit to walking without the exosuit in terms of ground clearance, foot landing and propulsion, as well as the energy cost of transport, walking stability and plantarflexor muscle slacking. RESULTS: Exosuit assistance was associated with improvements in the targeted gait impairments: 22% increase in ground clearance during swing, 5° increase in foot-to-floor angle at initial contact, and 22% increase in the center-of-mass propulsion during push-off. The improvements in propulsion and foot landing contributed to a 6.7% (0.04 m/s) increase in walking speed (R(2) = 0.82). This enhancement in gait function was achieved without deterioration in muscle effort, stability or cost of transport. Subgroup analyses revealed that all individuals profited from ground clearance support, but slower individuals leveraged plantarflexor assistance to improve propulsion by 35% to walk 13% faster, while faster individuals did not change either. CONCLUSIONS: The immediate restorative benefits of the exosuit presented here underline its promise for rehabilitative gait training in poststroke individuals."
2024 May,Ergonomics,Ergonomics. 2024 May;67(5):660-673. doi: 10.1080/00140139.2023.2240044. Epub 2023 ,"['Quirk, D Adam', 'Chung, Jinwon', 'Applegate, Megan', 'Cherin, Jason M', 'Dalton, Diane M', 'Awad, Lou N', 'Walsh, Conor J']","['humans', ' robotics', 'lifting', 'biomechanical phenomena', 'muscle, skeletal physiology', 'range of motion, articular physiology', ' exoskeleton device', 'low back pain', 'biomechanics', 'electromyography', 'exosuit', 'wearable robotics']",Evaluating adaptiveness of an active back exosuit for dynamic lifting and maximum range of motion.,"Back exosuits deliver mechanical assistance to reduce the risk of back injury, however, minimising restriction is critical for adoption. We developed the adaptive impedance controller to minimise restriction while maintaining assistance by modulating impedance based on the user's movement direction and nonlinear sine curves. The objective of this study was to compare active assistance, delivered by a back exosuit via our adaptive impedance controller, to three levels of assistance from passive elastics. Fifteen participants completed five experimental blocks (4 exosuits and 1 no-suit) consisting of a maximum flexion and a constrained lifting task. While a higher stiffness elastic reduced back extensor muscle activity by 13%, it restricted maximum range of motion (RoM) by 13°. The adaptive impedance approach did not restrict RoM while reducing back extensor muscle activity by 15%, when lifting. This study highlights an adaptive impedance approach might improve usability by circumventing the assistance-restriction trade-off inherent to passive approaches.Practitioner summary: This study demonstrates a soft active exosuit that delivers assistance with an adaptive impedance approach can provide reductions in overall back muscle activity without the impacts of restricted range of motion or perception of restriction and discomfort."
2023 Jul 14,"Science (New York, N.Y.)",Science. 2023 Jul 14;381(6654):141-146. doi: 10.1126/science.adj3312. Epub 2023 ,"['Yip, Michael', 'Salcudean, Septimiu', 'Goldberg, Ken', 'Althoefer, Kaspar', 'Menciassi, Arianna', 'Opfermann, Justin D', 'Krieger, Axel', 'Swaminathan, Krithika', 'Walsh, Conor J', 'Huang, He Helen', 'Lee, I-Chieh']",[],Artificial intelligence meets medical robotics.,"Artificial intelligence (AI) applications in medical robots are bringing a new era to medicine. Advanced medical robots can perform diagnostic and surgical procedures, aid rehabilitation, and provide symbiotic prosthetics to replace limbs. The technology used in these devices, including computer vision, medical image analysis, haptics, navigation, precise manipulation, and machine learning (ML) , could allow autonomous robots to carry out diagnostic imaging, remote surgery, surgical subtasks, or even entire surgical procedures. Moreover, AI in rehabilitation devices and advanced prosthetics can provide individualized support, as well as improved functionality and mobility (see the figure). The combination of extraordinary advances in robotics, medicine, materials science, and computing could bring safer, more efficient, and more widely available patient care in the future. -Gemma K. Alderton."
