time,journal,doi_info,authors,key words,title,abstract
2024 Jun 21,Biofabrication,Biofabrication. 2024 Jun 21. doi: 10.1088/1758-5090/ad5ac0.,"['Kroll, Katharina', 'Homan, Kimberly', 'Uzel, Sébastien G M', 'Mata, Mariana', 'Wolf, Kayla', 'Rubins, Jonathan Eric', 'Lewis, Jennifer A']","['anastomosis', 'kidney organoids', 'kidney-on-chip model', 'perfusion', 'vascularization']","A perfusable, vascularized kidney organoid-on-chip model.","The ability to controllably perfuse kidney organoids would better recapitulate the native tissue microenvironment for applications ranging from drug testing to therapeutic use. Here, we report a perfusable, vascularized kidney organoid on chip model composed of two individually addressable channels embedded in an extracellular matrix (ECM). The channels are respectively seeded with kidney organoids and human umbilical vein endothelial cells (HUVECs) that form a confluent endothelium (macrovessel) During perfusion, endogenous endothelial cells present within the kidney organoids migrate through the ECM towards the macrovessel, where they form lumen-on-lumen anastomoses that are supported by stromal cells. Once micro-macrovessel integration is achieved, we introduced fluorescently labeled dextran of varying molecular weight and red blood cells into the macrovessel, which are transported through the microvascular network to the glomerular epithelia within the kidney organoids. Our approach for achieving controlled organoid perfusion opens new avenues for generating other organ-specific human tissues.&#xD."
2024 Jun 20,Cell,Cell. 2024 Jun 20;187(13):3224-3228. doi: 10.1016/j.cell.2024.05.037.,"['Lewis, Jennifer', 'Schuh, Melina', 'Hanna, Jacob H', 'Zernicka-Goetz, Magdalena', 'Srivastava, Mansi', 'Tan, Tao', 'Behjati, Sam', 'Liu, Zhen', 'Petridou, Nicoletta I', 'Mendjan, Sasha']","[' developmental biology trends', 'humans', 'stem cells cytology', 'animals', 'stem cell research']",Developmental and stem cell biology's bright future.,The next 50 years of developmental biology will illuminate exciting new discoveries but are also poised to provide solutions to important problems society faces. Ten scientists whose work intersects with developmental biology in various capacities tell us about their vision for the future.
2024 Jan 8,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 Jan 8:e2310743. doi: 10.1002/adma.202310743.,"['Kotikian, Arda', 'Watkins, Audrey A', 'Bordiga, Giovanni', 'Spielberg, Andrew', 'Davidson, Zoey S', 'Bertoldi, Katia', 'Lewis, Jennifer A']","['active lattices', 'additive manufacturing', 'liquid crystal elastomers', 'shape-morphing']",Liquid Crystal Elastomer Lattices with Thermally Programmable Deformation via Multi-Material 3D Printing.,"An integrated design, modeling, and multi-material 3D printing platform for fabricating liquid crystal elastomer (LCE) lattices in both homogeneous and heterogeneous layouts with spatially programmable nematic director order and local composition is reported. Depending on their compositional topology, these lattices exhibit different reversible shape-morphing transformations upon cycling above and below their respective nematic-to-isotropic transition temperatures. Further, it is shown that there is good agreement between their experimentally observed deformation response and model predictions for all LCE lattice designs evaluated. Lastly, an inverse design model is established and the ability to print LCE lattices with the predicted deformation behavior is demonstrated. This work opens new avenues for creating architected LCE lattices that may find potential application in energy-dissipating structures, microfluidic pumping, mechanical logic, and soft robotics."
2023 Oct 20,Biofabrication,Biofabrication. 2023 Oct 20;16(1). doi: 10.1088/1758-5090/acfc29.,"['Nagarajan, Maxwell B', 'Ainscough, Alexander J', 'Reynolds, Daniel S', 'Uzel, Sebastien G M', 'Bjork, Jason W', 'Baker, Bryan A', 'McNulty, Amy K', 'Woulfe, Susan L', 'Lewis, Jennifer A']","['adult', 'infant, newborn', 'humans', ' biomimetics', ' skin', 'epidermis', 'keratinocytes', 'dermis', 'biomimetic skin model', 'dermis', 'epidermis', 'rete ridges', 'telocollagen']",Biomimetic human skin model patterned with rete ridges.,"Rete ridges consist of undulations between the epidermis and dermis that enhance the mechanical properties and biological function of human skin. However, most human skin models are fabricated with a flat interface between the epidermal and dermal layers. Here, we report a micro-stamping method for producing human skin models patterned with rete ridges of controlled geometry. To mitigate keratinocyte-induced matrix degradation, telocollagen-fibrin matrices with and without crosslinks enable these micropatterned features to persist during longitudinal culture. Our human skin model exhibits an epidermis that includes the following markers: cytokeratin 14, p63, and Ki67 in the basal layer, cytokeratin 10 in the suprabasal layer, and laminin and collagen IV in the basement membrane. We demonstrated that two keratinocyte cell lines, one from a neonatal donor and another from an adult diabetic donor, are compatible with this model. We tested this model using an irritation test and showed that the epidermis prevents rapid penetration of sodium dodecyl sulfate. Gene expression analysis revealed differences in keratinocytes obtained from the two donors as well as between 2D (control) and 3D culture conditions. Our human skin model may find potential application for drug and cosmetic testing, disease and wound healing modeling, and aging studies."
2023 Aug 29,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2023 Aug 29;120(35):e2305322120. doi: ,"['Kroll, Katharina T', 'Mata, Mariana M', 'Homan, Kimberly A', 'Micallef, Virginie', 'Carpy, Alejandro', 'Hiratsuka, Ken', 'Morizane, Ryuji', 'Moisan, Annie', 'Gubler, Marcel', 'Walz, Antje-Christine', 'Marrer-Berger, Estelle', 'Lewis, Jennifer A']","['humans', ' antibodies, bispecific', 'hla-a2 antigen', 'leukocytes, mononuclear', 'kidney', 'organoids', 't cell bispecific antibodies', 'immuno-oncology', 'kidney organoids', 'organ-on-chip']",Immune-infiltrated kidney organoid-on-chip model for assessing T cell bispecific antibodies.,"T cell bispecific antibodies (TCBs) are the focus of intense development for cancer immunotherapy. Recently, peptide-MHC (major histocompatibility complex)-targeted TCBs have emerged as a new class of biotherapeutics with improved specificity. These TCBs simultaneously bind to target peptides presented by the polymorphic, species-specific MHC encoded by the human leukocyte antigen (HLA) allele present on target cells and to the CD3 coreceptor expressed by human T lymphocytes. Unfortunately, traditional models for assessing their effects on human tissues often lack predictive capability, particularly for ""on-target, off-tumor"" interactions. Here, we report an immune-infiltrated, kidney organoid-on-chip model in which peripheral blood mononuclear cells (PBMCs) along with nontargeting (control) or targeting TCB-based tool compounds are circulated under flow. The target consists of the RMF peptide derived from the intracellular tumor antigen Wilms' tumor 1 (WT1) presented on HLA-A2 via a bivalent T cell receptor-like binding domain. Using our model, we measured TCB-mediated CD8(+) T cell activation and killing of RMF-HLA-A2-presenting cells in the presence of PBMCs and multiple tool compounds. DP47, a non-pMHC-targeting TCB that only binds to CD3 (negative control), does not promote T cell activation and killing. Conversely, the nonspecific ESK1-like TCB (positive control) promotes CD8(+) T cell expansion accompanied by dose-dependent T cell-mediated killing of multiple cell types, while WT1-TCB* recognizing the RMF-HLA-A2 complex with high specificity, leads solely to selective killing of WT1-expressing cells within kidney organoids under flow. Our 3D kidney organoid model offers a platform for preclinical testing of cancer immunotherapies and investigating tissue-immune system interactions."
2023 Jul 12,Lab on a chip,Lab Chip. 2023 Jul 12;23(14):3226-3237. doi: 10.1039/d2lc00723a.,"['Carracedo, Miguel', 'Robinson, Sanlin', 'Alaei, Babak', 'Clausen, Maryam', 'Hicks, Ryan', 'Belfield, Graham', 'Althage, Magnus', 'Bak, Annette', 'Lewis, Jennifer A', 'Hansen, Pernille B L', 'Williams, Julie M']","['humans', ' endothelial cells', ' kidney tubules, proximal metabolism', 'epithelium', 'kidney', 'epithelial cells metabolism', 'phenotype']",3D vascularised proximal tubules-on-a-multiplexed chip model for enhanced cell phenotypes.,"Modelling proximal tubule physiology and pharmacology is essential to understand tubular biology and guide drug discovery. To date, multiple models have been developed; however, their relevance to human disease has yet to be evaluated. Here, we report a 3D vascularized proximal tubule-on-a-multiplexed chip (3DvasPT-MC) device composed of co-localized cylindrical conduits lined with confluent epithelium and endothelium, embedded within a permeable matrix, and independently addressed by a closed-loop perfusion system. Each multiplexed chip contains six 3DvasPT models. We performed RNA-seq and compared the transcriptomic profile of proximal tubule epithelial cells (PTECs) and human glomerular endothelial cells (HGECs) seeded in our 3D vasPT-MCs and on 2D transwell controls with and without a gelatin-fibrin coating. Our results reveal that the transcriptional profile of PTECs is highly dependent on both the matrix and flow, while HGECs exhibit greater phenotypic plasticity and are affected by the matrix, PTECs, and flow. PTECs grown on non-coated Transwells display an enrichment of inflammatory markers, including TNF-a, IL-6, and CXCL6, resembling damaged tubules. However, this inflammatory response is not observed for 3D proximal tubules, which exhibit expression of kidney signature genes, including drug and solute transporters, akin to native tubular tissue. Likewise, the transcriptome of HGEC vessels resembled that of sc-RNAseq from glomerular endothelium when seeded on this matrix and subjected to flow. Our 3D vascularized tubule on chip model has utility for both renal physiology and pharmacology."
2023 Aug,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2023 Aug;35(33):e2210748. doi: 10.1002/adma.202210748. Epub 2023 Jul ,"['Reynolds, Daniel S', 'de Lázaro, Irene', 'Blache, Manon L', 'Liu, Yutong', 'Jeffreys, Nicholas C', 'Doolittle, Ramsey M', 'Grandidier, Estée', 'Olszewski, Jason', 'Dacus, Mason T', 'Mooney, David J', 'Lewis, Jennifer A']","['mice', 'animals', ' bioprinting methods', 'printing, three-dimensional', 'collagen', 'tissue engineering methods', 'gelatin', 'hydrogels', ' neoplasms', 'tissue scaffolds', 'tumor microenvironment', 'cancer', 'collagen', 'embedded bioprinting', 'immunotherapy', 'microporogens']",Microporogen-Structured Collagen Matrices for Embedded Bioprinting of Tumor Models for Immuno-Oncology.,"Embedded bioprinting enables the rapid design and fabrication of complex tissues that recapitulate in vivo microenvironments. However, few biological matrices enable good print fidelity, while simultaneously facilitate cell viability, proliferation, and migration. Here, a new microporogen-structured (µPOROS) matrix for embedded bioprinting is introduced, in which matrix rheology, printing behavior, and porosity are tailored by adding sacrificial microparticles composed of a gelatin-chitosan complex to a prepolymer collagen solution. To demonstrate its utility, a 3D tumor model is created via embedded printing of a murine melanoma cell ink within the µPOROS collagen matrix at 4 °C. The collagen matrix is subsequently crosslinked around the microparticles upon warming to 21 °C, followed by their melting and removal at 37 °C. This process results in a µPOROS matrix with a fibrillar collagen type-I network akin to that observed in vivo. Printed tumor cells remain viable and proliferate, while antigen-specific cytotoxic T cells incorporated in the matrix migrate to the tumor site, where they induce cell death. The integration of the µPOROS matrix with embedded bioprinting opens new avenues for creating complex tissue microenvironments in vitro that may find widespread use in drug discovery, disease modeling, and tissue engineering for therapeutic use."
2023 Apr 5,Science translational medicine,Sci Transl Med. 2023 Apr 5;15(690):eadd9779. doi: 10.1126/scitranslmed.add9779. ,"['Patel, Haritosh', 'Pavlichenko, Ida', 'Grinthal, Alison', 'Zhang, Cathy T', 'Alvarenga, Jack', 'Kreder, Michael J', 'Weaver, James C', 'Ji, Qin', 'Ling, Christopher W F', 'Choy, Joseph', 'Li, Zihan', 'Black, Nicole L', 'Bispo, Paulo J M', 'Lewis, Jennifer A', 'Kozin, Elliott D', 'Aizenberg, Joanna', 'Remenschneider, Aaron K']","['humans', ' otitis media with effusion diagnosis', 'middle ear ventilation methods', 'ear, middle pathology', 'prostheses and implants', 'anti-bacterial agents']",Design of medical tympanostomy conduits with selective fluid transport properties.,"Implantable tubes, shunts, and other medical conduits are crucial for treating a wide range of conditions from ears and eyes to brain and liver but often impose serious risks of device infection, obstruction, migration, unreliable function, and tissue damage. Efforts to alleviate these complications remain at an impasse because of fundamentally conflicting design requirements: Millimeter-scale size is required to minimize invasiveness but exacerbates occlusion and malfunction. Here, we present a rational design strategy that reconciles these trade-offs in an implantable tube that is even smaller than the current standard of care. Using tympanostomy tubes (ear tubes) as an exemplary case, we developed an iterative screening algorithm and show how unique curved lumen geometries of the liquid-infused conduit can be designed to co-optimize drug delivery, effusion drainage, water resistance, and biocontamination/ingrowth prevention in a single subcapillary-length-scale device. Through extensive in vitro studies, we demonstrate that the engineered tubes enabled selective uni- and bidirectional fluid transport; nearly eliminated adhesion and growth of common pathogenic bacteria, blood, and cells; and prevented tissue ingrowth. The engineered tubes also enabled complete eardrum healing and hearing preservation and exhibited more efficient and rapid antibiotic delivery to the middle ear in healthy chinchillas compared with current tympanostomy tubes, without resulting in ototoxicity at up to 24 weeks. The design principle and optimization algorithm presented here may enable tubes to be customized for a wide range of patient needs."
2023 Mar 1,American journal of physiology. Cell physiology,Am J Physiol Cell Physiol. 2023 Mar 1;324(3):C757-C768. doi: ,"['Carrisoza-Gaytan, Rolando', 'Kroll, Katharina T', 'Hiratsuka, Ken', 'Gupta, Navin R', 'Morizane, Ryuji', 'Lewis, Jennifer A', 'Satlin, Lisa M']","['animals', 'mice', ' calcium metabolism', 'fura-2', 'ion channels metabolism', 'kidney metabolism', ' kidney tubules metabolism', ' calcium signaling', 'development', 'fluid flow', 'mechanoregulation', 'microperfusion', 'signal transduction']",Functional maturation of kidney organoid tubules: PIEZO1-mediated Ca(2+) signaling.,"Kidney organoids cultured on adherent matrices in the presence of superfusate flow generate vascular networks and exhibit more mature podocyte and tubular compartments compared with static controls (Homan KA, Gupta N, Kroll KT, Kolesky DB, Skylar-Scott M, Miyoshi T, Mau D, Valerius MT, Ferrante T, Bonventre JV, Lewis JA, Morizane R. Nat Methods 16: 255-262, 2019; Takasato M, Er PX, Chiu HS, Maier B, Baillie GJ, Ferguson C, Parton RG, Wolvetang EJ, Roost MS, Chuva de Sousa Lopes SM, Little MH. Nature 526: 564-568, 2015.). However, their physiological function has yet to be systematically investigated. Here, we measured mechano-induced changes in intracellular Ca(2+) concentration ([Ca(2+)](i)) in tubules isolated from organoids cultured for 21-64 days, microperfused in vitro or affixed to the base of a specimen chamber, and loaded with fura-2 to measure [Ca(2+)](i). A rapid >2.5-fold increase in [Ca(2+)](i) from a baseline of 195.0 ± 22.1 nM (n = 9; P ≤ 0.001) was observed when microperfused tubules from organoids >40 days in culture were subjected to luminal flow. In contrast, no response was detected in tubules isolated from organoids <30 days in culture. Nonperfused tubules (41 days) subjected to a 10-fold increase in bath flow rate also exhibited a threefold increase in [Ca(2+)](i) from baseline (P < 0.001). Mechanosensitive PIEZO1 channels contribute to the flow-induced [Ca(2+)](i) response in mouse distal tubule (Carrisoza-Gaytan R, Dalghi MG, Apodaca GL, Kleyman TR, Satlin LM. The FASEB J 33: 824.25, 2019.). Immunodetectable apical and basolateral PIEZO1 was identified in tubular structures by 21 days in culture. Basolateral PIEZO1 appeared to be functional as basolateral exposure of nonperfused tubules to the PIEZO1 activator Yoda 1 increased [Ca(2+)](i) (P ≤ 0.001) in segments from organoids cultured for >30 days, with peak [Ca(2+)](i) increasing with advancing days in culture. These results are consistent with a maturational increase in number and/or activity of flow/stretch-sensitive Ca(2+) channels, including PIEZO1, in tubules of static organoids in culture."
2023 Apr,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2023 Apr;35(15):e2209270. doi: 10.1002/adma.202209270. Epub 2023 Mar ,"['Román-Manso, Benito', 'Weeks, Robert D', 'Truby, Ryan L', 'Lewis, Jennifer A']","['ceramic lattices', 'colloidal inks', 'embedded 3d printing', 'microwave curing']",Embedded 3D Printing of Architected Ceramics via Microwave-Activated Polymerization.,"Light- and ink-based 3D printing methods have vastly expanded the design space and geometric complexity of architected ceramics. However, light-based methods are typically confined to a relatively narrow range of preceramic and particle-laden resins, while ink-based methods are limited in geometric complexity due to layerwise assembly. Here, embedded 3D printing is combined with microwave-activated curing to generate architected ceramics with spatially controlled composition in freeform shapes. Aqueous colloidal inks are printed within a support matrix, rapidly cured via microwave-activated polymerization, and subsequently dried and sintered into dense architectures composed of one or more oxide materials. This integrated manufacturing method opens new avenues for the design and fabrication of complex ceramic architectures with programmed composition, density, and form for myriad applications."
