time,journal,doi_info,authors,key words,title,abstract
2023 Apr,PLoS biology,PLoS Biol. 2023 Apr 27;21(4):e3001799. doi: 10.1371/journal.pbio.3001799. ,"['Hadjiosif, Alkis M', 'Morehead, J Ryan', 'Smith, Maurice A']","[' memory, long-term', 'mental recall', ' memory consolidation']",A double dissociation between savings and long-term memory in motor learning.,"Memories are easier to relearn than learn from scratch. This advantage, known as savings, has been widely assumed to result from the reemergence of stable long-term memories. In fact, the presence of savings has often been used as a marker for whether a memory has been consolidated. However, recent findings have demonstrated that motor learning rates can be systematically controlled, providing a mechanistic alternative to the reemergence of a stable long-term memory. Moreover, recent work has reported conflicting results about whether implicit contributions to savings in motor learning are present, absent, or inverted, suggesting a limited understanding of the underlying mechanisms. To elucidate these mechanisms, we investigate the relationship between savings and long-term memory by experimentally dissecting the underlying memories based on short-term (60-s) temporal persistence. Components of motor memory that are temporally-persistent at 60 s might go on to contribute to stable, consolidated long-term memory, whereas temporally-volatile components that have already decayed away by 60 s cannot. Surprisingly, we find that temporally-volatile implicit learning leads to savings, whereas temporally-persistent learning does not, but that temporally-persistent learning leads to long-term memory at 24 h, whereas temporally-volatile learning does not. This double dissociation between the mechanisms for savings and long-term memory formation challenges widespread assumptions about the connection between savings and memory consolidation. Moreover, we find that temporally-persistent implicit learning not only fails to contribute to savings, but also that it produces an opposite, anti-savings effect, and that the interplay between this temporally-persistent anti-savings and temporally-volatile savings provides an explanation for several seemingly conflicting recent reports about whether implicit contributions to savings are present, absent, or inverted. Finally, the learning curves we observed for the acquisition of temporally-volatile and temporally-persistent implicit memories demonstrate the coexistence of implicit memories with distinct time courses, challenging the assertion that models of context-based learning and estimation should supplant models of adaptive processes with different learning rates. Together, these findings provide new insight into the mechanisms for savings and long-term memory formation."
2022 May,Schizophrenia research,Schizophr Res. 2022 May;243:64-69. doi: 10.1016/j.schres.2022.02.031. Epub 2022 ,"['Ranjan, Tanvi', 'Melcher, Jennifer', 'Keshavan, Matcheri', 'Smith, Maurice', 'Torous, John']","['adult', 'humans', ' mobile applications', ' schizophrenia complications diagnosis', 'self report', 'smartphone', 'surveys and questionnaires', 'apps', 'digital phenotyping', 'smartphones', 'surveys']",Longitudinal symptom changes and association with home time in people with schizophrenia: An observational digital phenotyping study.,"BACKGROUND: Smartphone assessments and sensors offer the ability to easily assess symptoms across environments in a naturalistic and longitudinal manner. However, the value of this new data to make inferences about personal vs population health and the role of environment in moderating symptoms in schizophrenia has not been fully explored in a scalable and reproducible manner. METHODS: Eighty-six adults with a diagnosis of schizophrenia were recruited from the Greater Boston Area between August 2019 and May 2021. Using the open-source mindLAMP app in an observational manner, smartphone surveys and sensors (GPS, accelerometer, screen on/off and call and text logs) were collected for up to six months. RESULTS: Sixty-three participants were analyzed, who had at least completed one survey in the app. App-based self-reported symptom surveys were highly correlated with scores on gold standard clinical assessments (r = 0.80, p = 10(-11) for mood and r = 0.78, p = 10(-12) for anxiety). For these app-based assessments, inter-individual differences account for a larger proportion of the correlations in longitudinal symptoms as compared to intra-individual differences. Mood, sleep, and psychosis symptoms reported on app surveys were more severe when taken at home as determined by the smartphone's GPS sensor. DISCUSSION: The intra-individual symptom correlations and the stratification of symptoms by home-time highlight the utility of digital phenotyping methods as a diagnostic tool, as well as the potential for personalized psychiatric treatment building on this data."
2021 Sep 6,eLife,Elife. 2021 Sep 6;10:e67019. doi: 10.7554/eLife.67019.,"['Alhussein, Laith', 'Smith, Maurice A']","['adolescent', 'adult', 'brain  physiology', 'decision making physiology', 'female', 'humans', 'male', 'models, biological', 'movement  physiology', ' uncertainty', 'young adult', 'decision making', 'force-field', 'human', 'movement planning', 'neuroscience', 'reaching', 'safety margin', 'uncertainty']",Motor planning under uncertainty.,"Actions often require the selection of a specific goal amongst a range of possibilities, like when a softball player must precisely position her glove to field a fast-approaching ground ball. Previous studies have suggested that during goal uncertainty the brain prepares for all potential goals in parallel and averages the corresponding motor plans to command an intermediate movement that is progressively refined as additional information becomes available. Although intermediate movements are widely observed, they could instead reflect a neural decision about the single best action choice given the uncertainty present. Here we systematically dissociate these possibilities using novel experimental manipulations and find that when confronted with uncertainty, humans generate a motor plan that optimizes task performance rather than averaging potential motor plans. In addition to accurate predictions of population-averaged changes in motor output, a novel computational model based on this performance-optimization theory accounted for a majority of the variance in individual differences between participants. Our findings resolve a long-standing question about how the brain selects an action to execute during goal uncertainty, providing fundamental insight into motor planning in the nervous system."
2020 Mar,Nature neuroscience,Nat Neurosci. 2020 Mar;23(3):443-455. doi: 10.1038/s41593-020-0600-3. Epub 2020 ,"['Miyamoto, Yohsuke R', 'Wang, Shengxin', 'Smith, Maurice A']","['adaptation, physiological  physiology', 'algorithms', 'biomechanical phenomena physiology', 'computer simulation', 'female', 'hand physiology', 'humans', 'learning  physiology', 'male', 'models, neurological', 'motor skills  physiology', 'psychomotor performance physiology', 'young adult']",Implicit adaptation compensates for erratic explicit strategy in human motor learning.,"Sports are replete with strategies, yet coaching lore often emphasizes 'quieting the mind', 'trusting the body' and 'avoiding overthinking' in referring to the importance of relying less on high-level explicit strategies in favor of low-level implicit motor learning. We investigated the interactions between explicit strategy and implicit motor adaptation by designing a sensorimotor learning paradigm that drives adaptive changes in some dimensions but not others. We find that strategy and implicit adaptation synergize in driven dimensions, but effectively cancel each other in undriven dimensions. Independent analyses-based on time lags, the correlational structure in the data and computational modeling-demonstrate that this cancellation occurs because implicit adaptation effectively compensates for noise in explicit strategy rather than the converse, acting to clean up the motor noise resulting from low-fidelity explicit strategy during motor learning. These results provide new insight into why implicit learning increasingly takes over from explicit strategy as skill learning proceeds."
2019 Nov 4,Current biology : CB,Curr Biol. 2019 Nov 4;29(21):3551-3562.e7. doi: 10.1016/j.cub.2019.08.052. Epub ,"['Dhawale, Ashesh K', 'Miyamoto, Yohsuke R', 'Smith, Maurice A', 'Ölveczky, Bence P']","['animals', 'brain  physiology', 'female', 'forelimb  physiology', ' movement', 'rats', 'rats, long-evans', ' reward', 'motor control', 'motor learning', 'rat', 'reinforcement learning', 'uncertainty', 'variability']",Adaptive Regulation of Motor Variability.,"Trial-to-trial movement variability can both drive motor learning and interfere with expert performance, suggesting benefits of regulating it in context-specific ways. Here we address whether and how the brain regulates motor variability as a function of performance by training rats to execute ballistic forelimb movements for reward. Behavioral datasets comprising millions of trials revealed that motor variability is regulated by two distinct processes. A fast process modulates variability as a function of recent trial outcomes, increasing it when performance is poor and vice versa. A slower process tunes the gain of the fast process based on the uncertainty in the task's reward landscape. Simulations demonstrated that this regulation strategy optimizes reward accumulation over a wide range of time horizons, while also promoting learning. Our results uncover a sophisticated algorithm implemented by the brain to adaptively regulate motor variability to improve task performance. VIDEO ABSTRACT."
2019 Nov 1,Journal of neurophysiology,J Neurophysiol. 2019 Nov 1;122(5):2027-2042. doi: 10.1152/jn.00387.2018. Epub ,"['Alhussein, Laith', 'Hosseini, Eghbal A', 'Nguyen, Katrina P', 'Smith, Maurice A', 'Joiner, Wilsaan M']","['adaptation, physiological  physiology', 'adult', 'female', 'humans', 'male', 'motor skills  physiology', ' practice, psychological', 'retention, psychology  physiology', 'young adult', 'error size', 'motor adaptation', 'retention', 'training schedule']","Dissociating effects of error size, training duration, and amount of adaptation on the ability to retain motor memories.","Extensive computational and neurobiological work has focused on how the training schedule, i.e., the duration and rate at which an environmental disturbance is presented, shapes the formation of motor memories. If long-lasting benefits are to be derived from motor training, however, retention of the performance improvements gained during practice is essential. Thus a better understanding of mechanisms that promote retention could lead to the design of more effective training procedures. The few studies that have investigated how retention depends on the training schedule have suggested that the gradual exposure of a perturbation leads to improved retention of motor memory compared with an abrupt exposure. However, several of these previous studies showed small effects, and although some controlled the training duration and others the level of learning, none have controlled both. In the present study we disambiguated both of these effects from exposure rate by systematically varying the duration of training, type of trained dynamics, and exposure rate for these dynamics in human force-field adaptation. After controlling for both training duration and the amount of learning, we found essentially identical retention when comparing gradual and abrupt training for two different types of force-field dynamics. By contrast, we found that retention was markedly higher for long-duration compared with short-duration training for both types of dynamics. These results demonstrate that the duration of training has a far greater effect on the retention of motor memory than the exposure rate during training. We show that a multirate learning model provides a computational mechanism for these findings.NEW & NOTEWORTHY Previous studies have suggested that a gradual, incremental introduction of a novel environment is helpful for improving retention. However, we used experimental and computational approaches to demonstrate that previously reported improvements in retention associated with gradual introductions fail to persist when other factors, including the duration of training and the degree of initial learning, are accounted for."
2017 Jul,PLoS computational biology,PLoS Comput Biol. 2017 Jul 10;13(7):e1005438. doi: 10.1371/journal.pcbi.1005438. ,"['Joiner, Wilsaan M', 'Sing, Gary C', 'Smith, Maurice A']","['adaptation, physiological  physiology', 'computer simulation', 'feedback, sensory  physiology', 'female', 'humans', 'learning  physiology', 'male', 'models, neurological', 'movement  physiology', 'psychomotor performance  physiology', 'stereotyped behavior physiology', 'time factors', 'volition', 'young adult']",Temporal specificity of the initial adaptive response in motor adaptation.,"Repeated exposure to a novel physical environment eventually leads to a mature adaptive response whereby feedforward changes in motor output mirror both the amplitude and temporal structure of the environmental perturbations. However, adaptive responses at the earliest stages of learning have been found to be not only smaller, but systematically less specific in their temporal structure compared to later stages of learning. This observation has spawned a lively debate as to whether the temporal structure of the initial adaptive response is, in fact, stereotyped and non-specific. To settle this debate, we directly measured the adaptive responses to velocity-dependent and position-dependent force-field perturbations (vFFs and pFFs) at the earliest possible stage of motor learning in humans-after just a single-movement exposure. In line with previous work, we found these earliest stage adaptive responses to be more similar than the perturbations that induced them. However, the single-trial adaptive responses for vFF and pFF perturbations were clearly distinct, and the disparity between them reflected the difference between the temporal structure of the perturbations that drove them. Critically, we observed these differences between single-trial adaptive responses when vFF and pFF perturbations were randomly intermingled from one trial to the next within the same block, indicating perturbation response specificity at the single trial level. These findings demonstrate that the initial adaptive responses to physical perturbations are not stereotyped. Instead, the neural plasticity in sensorimotor areas is sensitive to the temporal structure of a movement perturbation even at the earliest stage in learning. This insight has direct implications for the development of computational models of early-stage motor adaptation and the evolution of this adaptive response with continued training."
2017 May 24,Science robotics,Sci Robot. 2017 May 24;2(6):eaam7749. doi: 10.1126/scirobotics.aam7749.,"['Cajigas, Iahn', 'Koenig, Alexander', 'Severini, Giacomo', 'Smith, Maurice', 'Bonato, Paolo']","[' adaptation, physiological', 'adult', 'biomechanical phenomena', 'cohort studies', 'female', 'gait physiology', 'gait analysis', 'healthy volunteers', 'humans', 'male', 'motor skills physiology', 'postural balance physiology', 'robotics  instrumentation statistics & numerical data', 'walking  physiology', 'young adult']",Robot-induced perturbations of human walking reveal a selective generation of motor adaptation.,"The processes underlying the generation of motor adaptation in response to mechanical perturbations during human walking have been subject to debate. We used a robotic system to apply mechanical perturbations to step length and step height over consecutive gait cycles. Specifically, we studied perturbations affecting only step length, only step height, and step length and height in combination. Both step-length and step-height perturbations disrupt normal walking patterns, but step-length perturbations have a far greater impact on locomotor stability. We found a selective process of motor adaptation in that participants failed to adapt to step-height perturbations but strongly adapted to step-length perturbations, even when these adaptations increased metabolic cost. These results indicate that motor adaptation during human walking is primarily driven by locomotor stability, and only secondarily by energy expenditure and walking pattern preservation. These findings have substantial implications for the design of protocols for robot-assisted gait rehabilitation."
2017 Jul 25,Annual review of neuroscience,Annu Rev Neurosci. 2017 Jul 25;40:479-498. doi: ,"['Dhawale, Ashesh K', 'Smith, Maurice A', 'Ölveczky, Bence P']","['animals', 'humans', 'learning  physiology', ' models, neurological', 'motor skills  physiology', 'movement physiology', 'neural pathways physiology', ' reinforcement, psychology', 'motor adaptation', 'motor control', 'reinforcement learning', 'songbird']",The Role of Variability in Motor Learning.,"Trial-to-trial variability in the execution of movements and motor skills is ubiquitous and widely considered to be the unwanted consequence of a noisy nervous system. However, recent studies have suggested that motor variability may also be a feature of how sensorimotor systems operate and learn. This view, rooted in reinforcement learning theory, equates motor variability with purposeful exploration of motor space that, when coupled with reinforcement, can drive motor learning. Here we review studies that explore the relationship between motor variability and motor learning in both humans and animal models. We discuss neural circuit mechanisms that underlie the generation and regulation of motor variability and consider the implications that this work has for our understanding of motor learning."
2015 Jun,PLoS computational biology,PLoS Comput Biol. 2015 Jun 25;11(6):e1004278. doi: 10.1371/journal.pcbi.1004278. ,"['Brennan, Andrew E', 'Smith, Maurice A']","['adolescent', 'adult', 'algorithms', 'computational biology', 'female', 'humans', 'learning  physiology', 'male', 'memory  physiology', ' models, neurological', 'young adult']",The Decay of Motor Memories Is Independent of Context Change Detection.,"When the error signals that guide human motor learning are withheld following training, recently-learned motor memories systematically regress toward untrained performance. It has previously been hypothesized that this regression results from an intrinsic volatility in these memories, resulting in an inevitable decay in the absence of ongoing error signals. However, a recently-proposed alternative posits that even recently-acquired motor memories are intrinsically stable, decaying only if a change in context is detected. This new theory, the context-dependent decay hypothesis, makes two key predictions: (1) after error signals are withheld, decay onset should be systematically delayed until the context change is detected; and (2) manipulations that impair detection by masking context changes should result in prolonged delays in decay onset and reduced decay amplitude at any given time. Here we examine the decay of motor adaptation following the learning of novel environmental dynamics in order to carefully evaluate this hypothesis. To account for potential issues in previous work that supported the context-dependent decay hypothesis, we measured decay using a balanced and baseline-referenced experimental design that allowed for direct comparisons between analogous masked and unmasked context changes. Using both an unbiased variant of the previous decay onset analysis and a novel highly-powered group-level version of this analysis, we found no evidence for systematically delayed decay onset nor for the masked context change affecting decay amplitude or its onset time. We further show how previous estimates of decay onset latency can be substantially biased in the presence of noise, and even more so with correlated noise, explaining the discrepancy between the previous results and our findings. Our results suggest that the decay of motor memories is an intrinsic feature of error-based learning that does not depend on context change detection."
