time,journal,doi_info,authors,key words,title,abstract
2024 May 22,Science robotics,Sci Robot. 2024 May 22;9(90):eadj8812. doi: 10.1126/scirobotics.adj8812. Epub ,"['Gionfrida, Letizia', 'Kim, Daekyum', 'Scaramuzza, Davide', 'Farina, Dario', 'Howe, Robert D']","[' robotics instrumentation trends statistics & numerical data', ' wearable electronic devices', 'humans', 'equipment design', 'artificial intelligence', 'intention']",Wearable robots for the real world need vision.,"To enhance wearable robots, understanding user intent and environmental perception with novel vision approaches is needed."
2023 Jul,Advanced healthcare materials,Adv Healthc Mater. 2023 Jul;12(17):e2202661. doi: 10.1002/adhm.202202661. Epub ,"['Roubert Martinez, Sebastian', 'Le Floch, Paul', 'Liu, Jia', 'Howe, Robert D']","['humans', ' hydrogels chemistry', 'electric impedance', ' polymers chemistry', 'electrodes', 'skin', 'bioelectronics', 'conductive polymers', 'hydrogels', 'neural interfaces', 'skin']",Pure Conducting Polymer Hydrogels Increase Signal-to-Noise of Cutaneous Electrodes by Lowering Skin Interface Impedance.,"Cutaneous electrodes are routinely used for noninvasive electrophysiological sensing of signals from the brain, the heart, and the neuromuscular system. These bioelectronic signals propagate as ionic charge from their sources to the skin-electrode interface where they are then sensed as electronic charge by the instrumentation. However, these signals suffer from low signal-to-noise ratio arising from the high impedance at the tissue-to-electrode contact interface. This paper reports that soft conductive polymer hydrogels made purely of poly(3,4-ethylenedioxy-thiophene) doped with poly(styrene sulfonate) present nearly an order of magnitude decrease in the skin-electrode contact impedance (88%, 82%, and 77% at 10, 100, and 1 kHz, respectively) when compared to clinical electrodes in an ex vivo model that isolates the bioelectrochemical features of a single skin-electrode contact. Integrating these pure soft conductive polymer blocks into an adhesive wearable sensor enables high fidelity bioelectronic signals with higher signal-to-noise ratio (average 2.1 dB increase, max 3.4 dB increase) when compared to clinical electrodes across all subjects. The utility of these electrodes is demonstrated in a neural interface application. The conductive polymer hydrogels enable electromyogram-based velocity control of a robotic arm to complete a pick and place task. This work provides a basis for the characterization and use of conductive polymer hydrogels to better couple human and machine."
2023 Feb 3,"Sensors (Basel, Switzerland)",Sensors (Basel). 2023 Feb 3;23(3):1670. doi: 10.3390/s23031670.,"['Gionfrida, Letizia', 'Nuckols, Richard W', 'Walsh, Conor J', 'Howe, Robert D']","['humans', 'aged', 'reproducibility of results', ' muscle, skeletal diagnostic imaging physiology', ' robotics', 'ultrasonography', 'aging', 'b-mode ultrasound', 'exoskeleton', 'fascicle length', 'muscle architecture', 'muscle dynamics', 'neural networks', 'wearable device']",Age-Related Reliability of B-Mode Analysis for Tailored Exosuit Assistance.,"In the field of wearable robotics, assistance needs to be individualized for the user to maximize benefit. Information from muscle fascicles automatically recorded from brightness mode (B-mode) ultrasound has been used to design assistance profiles that are proportional to the estimated muscle force of young individuals. There is also a desire to develop similar strategies for older adults who may have age-altered physiology. This study introduces and validates a ResNet + 2x-LSTM model for extracting fascicle lengths in young and older adults. The labeling was generated in a semimanual manner for young (40,696 frames) and older adults (34,262 frames) depicting B-mode imaging of the medial gastrocnemius. First, the model was trained on young and tested on both young (R(2) = 0.85, RMSE = 2.36 ± 1.51 mm, MAPE = 3.6%, aaDF = 0.48 ± 1.1 mm) and older adults (R(2) = 0.53, RMSE = 4.7 ± 2.51 mm, MAPE = 5.19%, aaDF = 1.9 ± 1.39 mm). Then, the performances were trained across all ages (R(2) = 0.79, RMSE = 3.95 ± 2.51 mm, MAPE = 4.5%, aaDF = 0.67 ± 1.8 mm). Although age-related muscle loss affects the error of the tracking methodology compared to the young population, the absolute percentage error for individual fascicles leads to a small variation of 3-5%, suggesting that the error may be acceptable in the generation of assistive force profiles."
2022 May,"Journal of medical imaging (Bellingham, Wash.)",J Med Imaging (Bellingham). 2022 May;9(3):037001. doi: 10.1117/1.JMI.9.3.037001. ,"['Degirmenci, Alperen', 'Howe, Robert D', 'Perrin, Douglas P']","['gaussian process', 'interpolation', 'machine learning', 'ultrasound']",Gaussian process regression for ultrasound scanline interpolation.,"Purpose: In ultrasound imaging, interpolation is a key step in converting scanline data to brightness-mode (B-mode) images. Conventional methods, such as bilinear interpolation, do not fully capture the spatial dependence between data points, which leads to deviations from the underlying probability distribution at the interpolation points. Approach: We propose Gaussian process ( GP ) regression as an improved method for ultrasound scanline interpolation. Using ultrasound scanlines acquired from two different ultrasound scanners during in vivo trials, we compare the scanline conversion accuracy of three standard interpolation methods with that of GP regression, measuring the peak signal-to-noise ratio (PSNR) and mean absolute error (MAE) for each method. Results: The PSNR and MAE scores show that GP regression leads to more accurate scanline conversion compared to the nearest neighbor, bilinear, and cubic spline interpolation methods, for both datasets. Furthermore, limiting the interpolation window size of GP regression to 15 reduces computation time with minimal to no reduction in PSNR. Conclusions: GP regression quantitatively leads to more accurate scanline conversion and provides uncertainty estimates at each of the interpolation points. Our windowing method reduces the computational cost of using GP regression for scanline conversion."
2020 Apr,The International journal of robotics research,Int J Rob Res. 2020 Apr;39(5):586-597. doi: 10.1177/0278364920903785. Epub 2020 ,"['Loschak, Paul M', 'Degirmenci, Alperen', 'Tschabrunn, Cory M', 'Anter, Elad', 'Howe, Robert D']","['medical robotics', 'cardiac catheters', 'motion compensation', 'surgical robotics']",Automatically steering cardiac catheters in vivo with respiratory motion compensation.,"A robotic system for automatically navigating ultrasound (US) imaging catheters can provide real-time intra-cardiac imaging for diagnosis and treatment while reducing the need for clinicians to perform manual catheter steering. Clinical deployment of such a system requires accurate navigation despite the presence of disturbances including cyclical physiological motions (e.g., respiration). In this work, we report results from in vivo trials of automatic target tracking using our system, which is the first to navigate cardiac catheters with respiratory motion compensation. The effects of respiratory disturbances on the US catheter are modeled and then applied to four-degree-of-freedom steering kinematics with predictive filtering. This enables the system to accurately steer the US catheter and aim the US imager at a target despite respiratory motion disturbance. In vivo animal respiratory motion compensation results demonstrate automatic US catheter steering to image a target ablation catheter with 1.05 mm and 1.33° mean absolute error. Robotic US catheter steering with motion compensation can improve cardiac catheterization techniques while reducing clinician effort and X-ray exposure."
2020 Dec,Soft robotics,Soft Robot. 2020 Dec;7(6):724-735. doi: 10.1089/soro.2019.0053. Epub 2020 Apr 15.,"['Narang, Yashraj S', 'Aktaş, Buse', 'Ornellas, Sarah', 'Vlassak, Joost J', 'Howe, Robert D']","['electric impedance', 'equipment design', ' orthotic devices', ' robotics', 'composite', 'jamming', 'orthosis', 'sandwich', 'tunable stiffness']",Lightweight Highly Tunable Jamming-Based Composites.,"Tunable-impedance mechanisms can improve the adaptivity, robustness, and efficiency of a vast array of engineering systems and soft robots. In this study, we introduce a tunable-stiffness mechanism called a ""sandwich jamming structure,"" which fuses the exceptional stiffness range of state-of-the-art laminar jamming structures (also known as layer jamming structures) with the high stiffness-to-mass ratios of classical sandwich composites. We experimentally develop sandwich jamming structures with performance-to-mass ratios that are far greater than laminar jamming structures (e.g., a 550-fold increase in stiffness-to-mass ratio), while simultaneously achieving tunable behavior that standard sandwich composites inherently cannot achieve (e.g., a rapid and reversible 1800-fold increase in stiffness). Through theoretical and computational models, we then show that these ratios can be augmented by several orders of magnitude further, and we provide an optimization routine that allows designers to build the best possible sandwich jamming structures given arbitrary mass, volume, and material constraints. Finally, we demonstrate the utility of sandwich jamming structures by integrating them into a wearable soft robot (i.e., a tunable-stiffness wrist orthosis) that has negligible impact on the user in the off state, but can reduce muscle activation by an average of 41% in the on state. Through these theoretical and experimental investigations, we show that sandwich jamming structures are a lightweight highly tunable mechanism that can markedly extend the performance limits of existing structures and devices."
2020 Jun 1,Journal of biomechanical engineering,J Biomech Eng. 2020 Jun 1;142(6):061004. doi: 10.1115/1.4045050.,"['Yamada, Daisuke', 'Değirmenci, Alperen', 'Howe, Robert D']","['adult', 'biomechanical phenomena', 'humans', 'posture', ' sitting position']",Ultrasound Imaging Characterization of Soft Tissue Dynamics of the Seated Human Body.,"To characterize the dynamics of internal soft organs and external anatomical structures, this paper presents a system that combines medical ultrasound imaging with an optical tracker and a vertical exciter that imparts whole-body vibrations on seated subjects. The spatial and temporal accuracy of the system was validated using a phantom with calibrated internal structures, resulting in 0.224 mm maximum root-mean-square (r.m.s.) position error and 13 ms maximum synchronization error between sensors. In addition to the dynamics of the head and sternum, stomach dynamics were characterized by extracting the centroid of the stomach from the ultrasound images. The system was used to characterize the subject-specific body dynamics as well as the intrasubject variabilities caused by excitation pattern (frequency up-sweep, down-sweep, and white noise, 1-10 Hz), excitation amplitude (1 and 2 m/s2 r.m.s.), seat compliance (rigid and soft), and stomach filling (empty and 500 mL water). Human subjects experiments (n = 3) yielded preliminary results for the frequency response of the head, sternum, and stomach. The method presented here provides the first detailed in vivo characterization of internal and external human body dynamics. Tissue dynamics characterized by the system can inform design of vehicle structures and adaptive control of seat and suspension systems, as well as validate finite element models for predicting passenger comfort in the early stages of vehicle design."
2018 Jul,"Journal of mechanical design (New York, N.Y. : 1990)",J Mech Des N Y. 2018 Jul;140(7):0750031-7500312. doi: 10.1115/1.4039495. Epub ,"['Gaffney, Leah P', 'Loschak, Paul M', 'Howe, Robert D']",[],A Deployable Transseptal Brace for Stabilizing Cardiac Catheters.,"A bracing device for stabilizing cardiac catheters inside the heart was developed to provide surgical-level dexterity to minimally invasive catheter-based procedures for cardiac valve disease. The brace was designed to have a folding structure, which lies flat along a catheter during navigation through vasculature and then unfolds into a rigid bracing configuration after deployment across the interatrial septum. The brace was designed to be easily deployable, provide bracing support for a transseptal catheter, and also be compliant enough to be delivered to the heart via tortuous vasculature. This aims to improve dexterity in catheter-based mitral valve repair and enable other complex surgical procedures to be done with minimally invasive instruments."
2018 May,International journal of computer assisted radiology and surgery,Int J Comput Assist Radiol Surg. 2018 May;13(5):721-729. doi: ,"['Degirmenci, Alperen', 'Perrin, Douglas P', 'Howe, Robert D']","['animals', 'chickens', 'humans', 'image enhancement  methods', 'image processing, computer-assisted methods', 'leg  diagnostic imaging', 'male', 'photography', 'thigh  diagnostic imaging', 'ultrasonography  methods', 'contrast enhancement', 'high dynamic range', 'image enhancement', 'tone mapping', 'ultrasound imaging']",High dynamic range ultrasound imaging.,"PURPOSE: High dynamic range (HDR) imaging is a popular computational photography technique that has found its way into every modern smartphone and camera. In HDR imaging, images acquired at different exposures are combined to increase the luminance range of the final image, thereby extending the limited dynamic range of the camera. Ultrasound imaging suffers from limited dynamic range as well; at higher power levels, the hyperechogenic tissue is overexposed, whereas at lower power levels, hypoechogenic tissue details are not visible. In this work, we apply HDR techniques to ultrasound imaging, where we combine ultrasound images acquired at different power levels to improve the level of detail visible in the final image. METHODS: Ultrasound images of ex vivo and in vivo tissue are acquired at different acoustic power levels and then combined to generate HDR ultrasound (HDR-US) images. The performance of five tone mapping operators is quantitatively evaluated using a similarity metric to determine the most suitable mapping for HDR-US imaging. RESULTS: The ex vivo and in vivo results demonstrated that HDR-US imaging enables visualizing both hyper- and hypoechogenic tissue at once in a single image. The Durand tone mapping operator preserved the most amount of detail across the dynamic range. CONCLUSIONS: Our results strongly suggest that HDR-US imaging can improve the utility of ultrasound in image-based diagnosis and procedure guidance."
2018 Apr,The international journal of medical robotics + computer assisted surgery : MRCAS,Int J Med Robot. 2018 Apr;14(2). doi: 10.1002/rcs.1880. Epub 2018 Jan 22.,"['Villard, Pierre-Frederic', 'Hammer, Peter E', 'Perrin, Douglas P', 'Del Nido, Pedro J', 'Howe, Robert D']","['animals', ' computer simulation', 'female', 'mitral valve  diagnostic imaging surgery', 'swine', 'tomography, x-ray computed  methods', 'fem simulation', 'image-based model', 'mitral valve model', 'validation metrics']",Fast image-based mitral valve simulation from individualized geometry.,"BACKGROUND: Common surgical procedures on the mitral valve of the heart include modifications to the chordae tendineae. Such interventions are used when there is extensive leaflet prolapse caused by chordae rupture or elongation. Understanding the role of individual chordae tendineae before operating could be helpful to predict whether the mitral valve will be competent at peak systole. Biomechanical modelling and simulation can achieve this goal. METHODS: We present a method to semi-automatically build a computational model of a mitral valve from micro CT (computed tomography) scans: after manually picking chordae fiducial points, the leaflets are segmented and the boundary conditions as well as the loading conditions are automatically defined. Fast finite element method (FEM) simulation is carried out using Simulation Open Framework Architecture (SOFA) to reproduce leaflet closure at peak systole. We develop three metrics to evaluate simulation results: (i) point-to-surface error with the ground truth reference extracted from the CT image, (ii) coaptation surface area of the leaflets and (iii) an indication of whether the simulated closed leaflets leak. RESULTS: We validate our method on three explanted porcine hearts and show that our model predicts the closed valve surface with point-to-surface error of approximately 1 mm, a reasonable coaptation surface area, and absence of any leak at peak systole (maximum closed pressure). We also evaluate the sensitivity of our model to changes in various parameters (tissue elasticity, mesh accuracy, and the transformation matrix used for CT scan registration). We also measure the influence of the positions of the chordae tendineae on simulation results and show that marginal chordae have a greater influence on the final shape than intermediate chordae. CONCLUSIONS: The mitral valve simulation can help the surgeon understand valve behaviour and anticipate the outcome of a procedure."
