time,journal,doi_info,authors,key words,title,abstract
2024 May 1,Critical care explorations,Crit Care Explor. 2024 May 6;6(5):e1087. doi: 10.1097/CCE.0000000000001087. ,"['Catling, Finneas J R', 'Nagendran, Myura', 'Festor, Paul', 'Bien, Zuzanna', 'Harris, Steve', 'Faisal, A Aldo', 'Gordon, Anthony C', 'Komorowski, Matthieu']","['humans', ' machine learning', ' sepsis therapy', ' precision medicine methods', 'resuscitation methods']",Can Machine Learning Personalize Cardiovascular Therapy in Sepsis?,"Large randomized trials in sepsis have generally failed to find effective novel treatments. This is increasingly attributed to patient heterogeneity, including heterogeneous cardiovascular changes in septic shock. We discuss the potential for machine learning systems to personalize cardiovascular resuscitation in sepsis. While the literature is replete with proofs of concept, the technological readiness of current systems is low, with a paucity of clinical trials and proven patient benefit. Systems may be vulnerable to confounding and poor generalization to new patient populations or contemporary patterns of care. Typical electronic health records do not capture rich enough data, at sufficient temporal resolution, to produce systems that make actionable treatment suggestions. To resolve these issues, we recommend a simultaneous focus on technical challenges and removing barriers to translation. This will involve improving data quality, adopting causally grounded models, prioritizing safety assessment and integration into healthcare workflows, conducting randomized clinical trials and aligning with regulatory requirements."
2024 Feb 29,BMJ (Clinical research ed.),BMJ. 2024 Feb 29;384:q490. doi: 10.1136/bmj.q490.,"['Chan, See Chai Carol', 'Neves, Ana Luisa', 'Majeed, Azeem', 'Faisal, Aldo']","['humans', ' artificial intelligence', ' healthcare disparities', 'diagnosis']",Bridging the equity gap towards inclusive artificial intelligence in healthcare diagnostics.,
2023 Nov 7,NPJ digital medicine,NPJ Digit Med. 2023 Nov 7;6(1):206. doi: 10.1038/s41746-023-00955-z.,"['Nagendran, Myura', 'Festor, Paul', 'Komorowski, Matthieu', 'Gordon, Anthony C', 'Faisal, Aldo A']",[],Quantifying the impact of AI recommendations with explanations on prescription decision making.,"The influence of AI recommendations on physician behaviour remains poorly characterised. We assess how clinicians' decisions may be influenced by additional information more broadly, and how this influence can be modified by either the source of the information (human peers or AI) and the presence or absence of an AI explanation (XAI, here using simple feature importance). We used a modified between-subjects design where intensive care doctors (N = 86) were presented on a computer for each of 16 trials with a patient case and prompted to prescribe continuous values for two drugs. We used a multi-factorial experimental design with four arms, where each clinician experienced all four arms on different subsets of our 24 patients. The four arms were (i) baseline (control), (ii) peer human clinician scenario showing what doses had been prescribed by other doctors, (iii) AI suggestion and (iv) XAI suggestion. We found that additional information (peer, AI or XAI) had a strong influence on prescriptions (significantly for AI, not so for peers) but simple XAI did not have higher influence than AI alone. There was no correlation between attitudes to AI or clinical experience on the AI-supported decisions and nor was there correlation between what doctors self-reported about how useful they found the XAI and whether the XAI actually influenced their prescriptions. Our findings suggest that the marginal impact of simple XAI was low in this setting and we also cast doubt on the utility of self-reports as a valid metric for assessing XAI in clinical experts."
2023 Dec 12,Journal of neural engineering,J Neural Eng. 2023 Dec 12;20(6). doi: 10.1088/1741-2552/ad09ff.,"['Han, Jinpei', 'Wei, Xiaoxi', 'Faisal, A Aldo']","[' brain', ' brain-computer interfaces', 'electrodes', 'machine learning', 'neural networks, computer', 'electroencephalography', 'algorithms', 'eeg signal', 'brain-computer interface', 'domain adaptation', 'graph neural network', 'heterogenous datasets', 'motor imagery', 'transfer learning']",EEG decoding for datasets with heterogenous electrode configurations using transfer learning graph neural networks.,"Objective. Brain-machine interfacing (BMI) has greatly benefited from adopting machine learning methods for feature learning that require extensive data for training, which are often unavailable from a single dataset. Yet, it is difficult to combine data across labs or even data within the same lab collected over the years due to the variation in recording equipment and electrode layouts resulting in shifts in data distribution, changes in data dimensionality, and altered identity of data dimensions. Our objective is to overcome this limitation and learn from many different and diverse datasets across labs with different experimental protocols.Approach. To tackle the domain adaptation problem, we developed a novel machine learning framework combining graph neural networks (GNNs) and transfer learning methodologies for non-invasive motor imagery (MI) EEG decoding, as an example of BMI. Empirically, we focus on the challenges of learning from EEG data with different electrode layouts and varying numbers of electrodes. We utilize three MI EEG databases collected using very different numbers of EEG sensors (from 22 channels to 64) and layouts (from custom layouts to 10-20).Main results. Our model achieved the highest accuracy with lower standard deviations on the testing datasets. This indicates that the GNN-based transfer learning framework can effectively aggregate knowledge from multiple datasets with different electrode layouts, leading to improved generalization in subject-independent MI EEG classification.Significance. The findings of this study have important implications for brain-computer-interface research, as they highlight a promising method for overcoming the limitations posed by non-unified experimental setups. By enabling the integration of diverse datasets with varying electrode layouts, our proposed approach can help advance the development and application of BMI technologies."
2023 Jun 26,JMIR formative research,JMIR Form Res. 2023 Jun 26;7:e44877. doi: 10.2196/44877.,"['Kadirvelu, Balasundaram', 'Bellido Bel, Teresa', 'Wu, Xiaofei', 'Burmester, Victoria', 'Ananth, Shayma', 'Cabral C C Branco, Bianca', 'Girela-Serrano, Braulio', 'Gledhill, Julia', 'Di Simplicio, Martina', 'Nicholls, Dasha', 'Faisal, A Aldo']","['adolescents', 'children and young people', 'digital tools', 'mobile apps', 'mobile mental health', 'passive sensing', 'smartphone apps for mental health']","Mindcraft, a Mobile Mental Health Monitoring Platform for Children and Young People: Development and Acceptability Pilot Study.","BACKGROUND: Children and young people's mental health is a growing public health concern, which is further exacerbated by the COVID-19 pandemic. Mobile health apps, particularly those using passive smartphone sensor data, present an opportunity to address this issue and support mental well-being. OBJECTIVE: This study aimed to develop and evaluate a mobile mental health platform for children and young people, Mindcraft, which integrates passive sensor data monitoring with active self-reported updates through an engaging user interface to monitor their well-being. METHODS: A user-centered design approach was used to develop Mindcraft, incorporating feedback from potential users. User acceptance testing was conducted with a group of 8 young people aged 15-17 years, followed by a pilot test with 39 secondary school students aged 14-18 years, which was conducted for a 2-week period. RESULTS: Mindcraft showed encouraging user engagement and retention. Users reported that they found the app to be a friendly tool helping them to increase their emotional awareness and gain a better understanding of themselves. Over 90% of users (36/39, 92.5%) answered all active data questions on the days they used the app. Passive data collection facilitated the gathering of a broader range of well-being metrics over time, with minimal user intervention. CONCLUSIONS: The Mindcraft app has shown promising results in monitoring mental health symptoms and promoting user engagement among children and young people during its development and initial testing. The app's user-centered design, the focus on privacy and transparency, and a combination of active and passive data collection strategies have all contributed to its efficacy and receptiveness among the target demographic. By continuing to refine and expand the app, the Mindcraft platform has the potential to contribute meaningfully to the field of mental health care for young people."
2023 Jan,Nature medicine,Nat Med. 2023 Jan;29(1):95-103. doi: 10.1038/s41591-022-02045-1. Epub 2023 Jan ,"['Ricotti, Valeria', 'Kadirvelu, Balasundaram', 'Selby, Victoria', 'Festenstein, Richard', 'Mercuri, Eugenio', 'Voit, Thomas', 'Faisal, A Aldo']","['humans', ' muscular dystrophy, duchenne drug therapy', 'activities of daily living', 'cross-sectional studies', 'artificial intelligence', 'bayes theorem', 'biomarkers', ' wearable electronic devices']",Wearable full-body motion tracking of activities of daily living predicts disease trajectory in Duchenne muscular dystrophy.,"Artificial intelligence has the potential to revolutionize healthcare, yet clinical trials in neurological diseases continue to rely on subjective, semiquantitative and motivation-dependent endpoints for drug development. To overcome this limitation, we collected a digital readout of whole-body movement behavior of patients with Duchenne muscular dystrophy (DMD) (n = 21) and age-matched controls (n = 17). Movement behavior was assessed while the participant engaged in everyday activities using a 17-sensor bodysuit during three clinical visits over the course of 12 months. We first defined new movement behavioral fingerprints capable of distinguishing DMD from controls. Then, we used machine learning algorithms that combined the behavioral fingerprints to make cross-sectional and longitudinal disease course predictions, which outperformed predictions derived from currently used clinical assessments. Finally, using Bayesian optimization, we constructed a behavioral biomarker, termed the KineDMD ethomic biomarker, which is derived from daily-life behavioral data and whose value progresses with age in an S-shaped sigmoid curve form. The biomarker developed in this study, derived from digital readouts of daily-life movement behavior, can predict disease progression in patients with muscular dystrophy and can potentially track the response to therapy."
2023 Jan,Nature medicine,Nat Med. 2023 Jan;29(1):86-94. doi: 10.1038/s41591-022-02159-6. Epub 2023 Jan 19.,"['Kadirvelu, Balasundaram', 'Gavriel, Constantinos', 'Nageshwaran, Sathiji', 'Chan, Jackson Ping Kei', 'Nethisinghe, Suran', 'Athanasopoulos, Stavros', 'Ricotti, Valeria', 'Voit, Thomas', 'Giunti, Paola', 'Festenstein, Richard', 'Faisal, A Aldo']","['male', 'female', 'humans', ' friedreich ataxia diagnosis genetics', 'cross-sectional studies', 'motion capture', ' spinocerebellar ataxias', 'disease progression', 'machine learning', 'biomarkers', ' wearable electronic devices']",A wearable motion capture suit and machine learning predict disease progression in Friedreich's ataxia.,"Friedreich's ataxia (FA) is caused by a variant of the Frataxin (FXN) gene, leading to its downregulation and progressively impaired cardiac and neurological function. Current gold-standard clinical scales use simplistic behavioral assessments, which require 18- to 24-month-long trials to determine if therapies are beneficial. Here we captured full-body movement kinematics from patients with wearable sensors, enabling us to define digital behavioral features based on the data from nine FA patients (six females and three males) and nine age- and sex-matched controls, who performed the 8-m walk (8-MW) test and 9-hole peg test (9 HPT). We used machine learning to combine these features to longitudinally predict the clinical scores of the FA patients, and compared these with two standard clinical assessments, Spinocerebellar Ataxia Functional Index (SCAFI) and Scale for the Assessment and Rating of Ataxia (SARA). The digital behavioral features enabled longitudinal predictions of personal SARA and SCAFI scores 9 months into the future and were 1.7 and 4 times more precise than longitudinal predictions using only SARA and SCAFI scores, respectively. Unlike the two clinical scales, the digital behavioral features accurately predicted FXN gene expression levels for each FA patient in a cross-sectional manner. Our work demonstrates how data-derived wearable biomarkers can track personal disease trajectories and indicates the potential of such biomarkers for substantially reducing the duration or size of clinical trials testing disease-modifying therapies and for enabling behavioral transcriptomics."
2022 Oct 31,AI and ethics,AI Ethics. 2022 Oct 31:1-14. doi: 10.1007/s43681-022-00230-z.,"['Post, Benjamin', 'Badea, Cosmin', 'Faisal, Aldo', 'Brett, Stephen J']","['ai ethics', 'artificial intelligence', 'end of life', 'felicific calculus', 'medical ethics', 'utilitarianism']",Breaking bad news in the era of artificial intelligence and algorithmic medicine: an exploration of disclosure and its ethical justification using the hedonic calculus.,"An appropriate ethical framework around the use of Artificial Intelligence (AI) in healthcare has become a key desirable with the increasingly widespread deployment of this technology. Advances in AI hold the promise of improving the precision of outcome prediction at the level of the individual. However, the addition of these technologies to patient-clinician interactions, as with any complex human interaction, has potential pitfalls. While physicians have always had to carefully consider the ethical background and implications of their actions, detailed deliberations around fast-moving technological progress may not have kept up. We use a common but key challenge in healthcare interactions, the disclosure of bad news (likely imminent death), to illustrate how the philosophical framework of the 'Felicific Calculus' developed in the eighteenth century by Jeremy Bentham, may have a timely quasi-quantitative application in the age of AI. We show how this ethical algorithm can be used to assess, across seven mutually exclusive and exhaustive domains, whether an AI-supported action can be morally justified."
2022 Jul,BMJ health & care informatics,BMJ Health Care Inform. 2022 Jul;29(1):e100549. doi: 10.1136/bmjhci-2022-100549.,"['Festor, Paul', 'Jia, Yan', 'Gordon, Anthony C', 'Faisal, A Aldo', 'Habli, Ibrahim', 'Komorowski, Matthieu']","['artificial intelligence', 'critical care', ' decision support systems, clinical', 'humans', ' sepsis therapy', 'artificial intelligence', 'decision support systems, clinical', 'machine learning', 'safety management']",Assuring the safety of AI-based clinical decision support systems: a case study of the AI Clinician for sepsis treatment.,"OBJECTIVES: Establishing confidence in the safety of Artificial Intelligence (AI)-based clinical decision support systems is important prior to clinical deployment and regulatory approval for systems with increasing autonomy. Here, we undertook safety assurance of the AI Clinician, a previously published reinforcement learning-based treatment recommendation system for sepsis. METHODS: As part of the safety assurance, we defined four clinical hazards in sepsis resuscitation based on clinical expert opinion and the existing literature. We then identified a set of unsafe scenarios, intended to limit the action space of the AI agent with the goal of reducing the likelihood of hazardous decisions. RESULTS: Using a subset of the Medical Information Mart for Intensive Care (MIMIC-III) database, we demonstrated that our previously published 'AI clinician' recommended fewer hazardous decisions than human clinicians in three out of our four predefined clinical scenarios, while the difference was not statistically significant in the fourth scenario. Then, we modified the reward function to satisfy our safety constraints and trained a new AI Clinician agent. The retrained model shows enhanced safety, without negatively impacting model performance. DISCUSSION: While some contextual patient information absent from the data may have pushed human clinicians to take hazardous actions, the data were curated to limit the impact of this confounder. CONCLUSION: These advances provide a use case for the systematic safety assurance of AI-based clinical systems towards the generation of explicit safety evidence, which could be replicated for other AI applications or other clinical contexts, and inform medical device regulatory bodies."
2022 May 10,Cell reports,Cell Rep. 2022 May 10;39(6):110801. doi: 10.1016/j.celrep.2022.110801.,"['Currie, Stephen P', 'Ammer, Julian J', 'Premchand, Brian', 'Dacre, Joshua', 'Wu, Yufei', 'Eleftheriou, Constantinos', 'Colligan, Matt', 'Clarke, Thomas', 'Mitchell, Leah', 'Faisal, A Aldo', 'Hennig, Matthias H', 'Duguid, Ian']","['animals', 'forelimb physiology', 'mice', ' motor cortex physiology', 'movement physiology', 'neurons physiology', 'pyramidal tracts physiology', 'cp: neuroscience', 'action-specific', 'calcium imaging', 'cortical silencing', 'decoding', 'layer 5b', 'motor behavior', 'motor control', 'motor cortex', 'neural coding', 'object manipulation']",Movement-specific signaling is differentially distributed across motor cortex layer 5 projection neuron classes.,"Motor cortex generates descending output necessary for executing a wide range of limb movements. Although movement-related activity has been described throughout motor cortex, the spatiotemporal organization of movement-specific signaling in deep layers remains largely unknown. Here we record layer 5B population dynamics in the caudal forelimb area of motor cortex while mice perform a forelimb push/pull task and find that most neurons show movement-invariant responses, with a minority displaying movement specificity. Using cell-type-specific imaging, we identify that invariant responses dominate pyramidal tract (PT) neuron activity, with a small subpopulation representing movement type, whereas a larger proportion of intratelencephalic (IT) neurons display movement-type-specific signaling. The proportion of IT neurons decoding movement-type peaks prior to movement initiation, whereas for PT neurons, this occurs during movement execution. Our data suggest that layer 5B population dynamics largely reflect movement-invariant signaling, with information related to movement-type being routed through relatively small, distributed subpopulations of projection neurons."
