time,journal,doi_info,authors,key words,title,abstract
2024 Jul 2,Physical therapy,Phys Ther. 2024 Jul 2:pzae082. doi: 10.1093/ptj/pzae082.,"['Watson, Fraje C E', 'Kedgley, Angela E', 'Schofield, Susie', 'Behan, Fearghal P', 'Boos, Christopher J', 'Fear, Nicola T', 'Bennett, Alexander N', 'Bull, Anthony M J']","['amputation', 'anatomy: lower extremity', 'anatomy: upper extremity: arm', 'anatomy: upper extremity: hand', 'anatomy: upper extremity: shoulder', 'blast injuries', 'military personnel', 'musculoskeletal diseases']",Upper Limb Function in People With Upper and Lower Limb Loss 8 Years Postinjury: The Armed Services Trauma Outcome Study (ADVANCE) Cohort Study.,"OBJECTIVE: Upper limb (UL) disability in people with UL amputation/s is well reported in the literature, less so for people with lower limb amputation/s. This study aimed to compare UL disability in injured (major trauma) and uninjured UK military personnel, with particular focus on people with upper and lower limb amputation/s. METHODS: A volunteer sample of injured (n = 579) and uninjured (n = 566) UK military personnel who served in a combat role in the Afghanistan war were frequency matched on age, sex, service, rank, regiment, role, and deployment period and recruited to the Armed Services Trauma Rehabilitation Outcome (ADVANCE) longitudinal cohort study. Participants completed the Disability of the Arm, Shoulder, and Hand (DASH) questionnaire, scored from 0 (no disability) to 100 (maximum disability) 8 years postinjury. Mann-Whitney U and Kruskal Wallis tests were used to compared DASH scores between groups. An ordinal model was used to assess the effect of injury and amputation on DASH scores. RESULTS: DASH scores were higher in the group with injuries compared to the group without injuries (3.33 vs 0.00) and higher in people with lower limb loss compared to the group without injuries (0.83 vs 0.00), although this was not statistically significant. In the adjusted ordinal model, the odds of having a higher DASH score was 1.70 (95%"
2024 Jun 12,Gait & posture,Gait Posture. 2024 Jun 12;113:167-172. doi: 10.1016/j.gaitpost.2024.06.008.,"['Katakura, Mai', 'Rezende, Mercedes Aramayo Gomes', 'Calder, James D F', 'Kedgley, Angela E']","['abductor hallucis longus', 'electromyography', 'foot exercises', 'functional training', 'intrinsic foot muscles']",A comparison of abductor hallucis muscle activation and medial longitudinal arch angle during nine different foot exercises.,"BACKGROUND: Intrinsic foot muscles are known to support the medial longitudinal arch (MLA) and stabilize the foot, and they are activated with weight bearing and increased postural demand. Various types of intrinsic foot muscle training have been reported, but one of the most useful of these, the short foot exercise, is challenging to perform effectively and requires practice, making it difficult to implement in ordinary clinical settings. RESEARCH QUESTION: What are the differences in abductor hallucis longus (ABH) muscle activity and MLA angle during intrinsic foot muscle exercises that employ weight bearing and balancing conditions when they are performed with minimal practice? METHODS: Sixteen healthy volunteers performed nine different intrinsic foot muscle exercises, practiced once or twice. The exercises consisted of toe curl, short foot without pushing, short foot with pushing and toe spread exercises in sitting and standing positions, and single leg swing in a standing position. Each exercise was performed three times for five seconds. The activities of the ABH muscles were measured using surface electromyographic (EMG) sensors and the MLA angles during the exercises were captured using an optical motion tracking system. The integrals of the ABH EMG signals were calculated. RESULTS: Differences in the integral and maximum of the ABH EMG signal were found between the exercises (p < 0.001). Post-hoc pair-wise analysis revealed that the EMG activity was larger during the swing exercise than in exercises other than toe spread, both in sitting and standing positions, and short foot exercise with pushing while standing. The minimum MLA angle during each exercise was smaller for the toe spread exercise in a sitting position than other exercises (p < 0.023). SIGNIFICANCE: A single leg swing exercise may be effective for self-exercise of intrinsic foot muscles, particularly when intensive supervised physiotherapy is not possible."
2023 Aug 25,"Sensors (Basel, Switzerland)",Sensors (Basel). 2023 Aug 25;23(17):7420. doi: 10.3390/s23177420.,"['Devanand, Devi Baruni', 'Kedgley, Angela E']","['humans', ' orthotic devices', ' lower extremity', 'databases, factual', 'accelerometer', 'adherence', 'brace', 'compliance monitoring', 'objective', 'orthosis', 'pressure sensor', 'splint', 'step counter', 'temperature sensor']",Objective Methods of Monitoring Usage of Orthotic Devices for the Extremities: A Systematic Review.,"Orthoses are commonly prescribed to relieve symptoms for musculoskeletal and neurological conditions; however, patients stop wearing orthoses as recommended for many reasons. When considering the effectiveness of orthoses, there needs to be an objective way to monitor whether participants wear the orthosis as instructed, because if this is not followed, the orthoses will not work as intended. This review aimed to identify, summarise, and compare objective methods used to measure compliance with orthoses applied to the extremities. Databases (Scopus, Web of Science, Embase,"
2023 Feb,Orthopaedic journal of sports medicine,Orthop J Sports Med. 2023 Feb 28;11(2):23259671221134131. doi: ,"['Katakura, Mai', 'Kedgley, Angela E', 'Shaw, Joseph W', 'Mattiussi, Adam M', 'Kelly, Shane', 'Clark, Richard', 'Allen, Nick', 'Calder, James D F']","['ballet', 'foot and ankle injury', 'injury epidemiology', 'sports medicine']",Epidemiological Characteristics of Foot and Ankle Injuries in 2 Professional Ballet Companies: A 3-Season Cohort Study of 588 Medical Attention Injuries and 255 Time-Loss Injuries.,"BACKGROUND: The foot and ankle are often reported as the most common sites of injury in professional ballet dancers; however, epidemiological research focusing on foot and ankle injuries in isolation and investigating specific diagnoses is limited. PURPOSE: To investigate the incidence rate, severity, burden, and mechanisms of foot and ankle injuries that (1) required visiting a medical team (medical attention foot and ankle injuries; MA-FAIs) and (2) prevented a dancer from fully participating in all dance-related activities for at least 24 hours after the injury (time-loss foot and ankle injuries; TL-FAIs) in 2 professional ballet companies. STUDY DESIGN: Descriptive epidemiological study. METHODS: Foot and ankle injury data across 3 seasons (2016-2017 to 2018-2019) were extracted from the medical databases of 2 professional ballet companies. Injury-incidence rate (per dancer-season), severity, and burden were calculated and reported with reference to the mechanism of injury. RESULTS: A total of 588 MA-FAIs and 255 TL-FAIs were observed across 455 dancer-seasons. The incidence rates of MA-FAIs and TL-FAIs were significantly higher in women (1.20 MA-FAIs and 0.55 TL-FAIs per dancer-season) than in men (0.83 MA-FAIs and 0.35 TL-FAIs per dancer-season) (MA-FAIs, P = .002; TL-FAIs, P = .008). The highest incidence rates for any specific injury pathology were ankle impingement syndrome and synovitis for MA-FAIs (women 0.27 and men 0.25 MA-FAIs per dancer-season) and ankle sprain for TL-FAIs (women 0.15 and men 0.08 TL-FAIs per dancer-season). Pointe work and jumping actions in women and jumping actions in men were the most common mechanisms of injury. The primary mechanism of injury of ankle sprains was jumping activities, but the primary mechanisms of ankle synovitis and impingement in women were related to dancing en pointe. CONCLUSION: The results of this study highlight the importance of further investigation of injury prevention strategies targeting pointe work and jumping actions in ballet dancers. Further research for injury prevention and rehabilitation strategies targeting posterior ankle impingement syndromes and ankle sprains are warranted."
2023 Feb,Biomechanics and modeling in mechanobiology,Biomech Model Mechanobiol. 2023 Feb;22(1):123-132. doi: ,"['Wai, Gordon', 'Rusli, Wan', 'Ghouse, Shaaz', 'Kieser, David C', 'Kedgley, Angela', 'Newell, Nicolas']","['male', 'female', 'humans', ' pedicle screws', 'thoracic vertebrae anatomy & histology surgery', ' spinal fusion methods', 'pedicle screws', 'spine', 'statistical shape modelling', 'surgical guides']",Statistical shape modelling of the thoracic spine for the development of pedicle screw insertion guides.,"Spinal fixation and fusion are surgical procedures undertaken to restore stability in the spine and restrict painful or degenerative motion. Malpositioning of pedicle screws during these procedures can result in major neurological and vascular damage. Patient-specific surgical guides offer clear benefits, reducing malposition rates by up to 25%. However, they suffer from long lead times and the manufacturing process is dependent on third-party specialists. The development of a standard set of surgical guides may eliminate the issues with the manufacturing process. To evaluate the feasibility of this option, a statistical shape model (SSM) was created and used to analyse the morphological variations of the T4-T6 vertebrae in a population of 90 specimens from the Visible Korean Human dataset (50 females and 40 males). The first three principal components, representing 39.7% of the variance within the population, were analysed. The model showed high variability in the transverse process (~ 4 mm) and spinous process (~ 4 mm) and relatively low variation (< 1 mm) in the vertebral lamina. For a Korean population, a standardised set of surgical guides would likely need to align with the lamina where the variance in the population is lower. It is recommended that this standard set of surgical guides should accommodate pedicle screw diameters of 3.5-6 mm and transverse pedicle screw angles of 3.5°-12.4°."
2022 Aug,Medical & biological engineering & computing,Med Biol Eng Comput. 2022 Aug;60(8):2389-2403. doi: 10.1007/s11517-022-02594-0. ,"['Chung, Vivian W J', 'Newell, Robyn', 'Kedgley, Angela', 'Anglin, Carolyn', 'Masri, Bassam A', 'Hodgson, Antony J']","[' arthroplasty, replacement, knee methods', 'knee joint diagnostic imaging surgery', ' knee prosthesis', 'phantoms, imaging', 'prospective studies', 'radiostereometric analysis', 'tibia diagnostic imaging surgery', 'c-arm', 'implant micromotion', 'radiostereometric analysis', 'total knee arthroplasty']",Verifying a C-arm-based roentgen stereophotogrammetric analysis protocol for assessing tibial implant movement in total knee arthroplasty.,"Roentgen stereophotogrammetric analysis (RSA) is the ""gold standard"" technique for measuring sub-millimetric relative motion between implant and bone to quantify post-operative implant migration over time. The vast majority of RSA studies addressing implant motion in knee replacements, however, have been conducted using expensive biplanar radiography systems and commercial software that are not readily available at many institutions. In this study, we evaluated the feasibility of performing RSA using ordinary, readily available C-arm fluoroscopes and open-source software to assess tibial component migration.We developed an assessment protocol using a Siemens Arcadis Orbic C-arm and the open-source XROMM software and evaluated its accuracy and precision through a series of phantom-based verification tests. The results were highly promising: accuracies were in the range of - 39 to 11 μm for translations and - 0.025 to 0.029° for rotations, while system precisions ranged between 16 to 27 μm for translations and 0.041 to 0.059° for rotations. This performance is comparable to specialized RSA systems reported in the literature. The proposed RSA protocol is therefore capable of accurately measuring the relative motion of knee replacement implants in phantom scenarios, which justifies further the development of the protocol towards use in prospective clinical assessments of new implant designs and surgical techniques."
2022 May,"The Journal of hand surgery, European volume",J Hand Surg Eur Vol. 2022 May;47(5):481-485. doi: 10.1177/17531934211064201. Epub ,"['Vissers, Gino', 'Rusli, Wan M R', 'Scarborough, Alexander', 'Horwitz, Maxim D', 'McArthur, Gordon J', 'Kedgley, Angela E']","['biomechanical phenomena', 'cadaver', 'humans', ' needles', 'suture techniques', 'sutures', ' tendon injuries surgery', 'tendons surgery', 'tensile strength', 'cutting needle', 'pull-out', 'round-bodied needle', 'tendon repair', 'tensile strength']",A study to compare strengths of cadaveric tendon repairs with round-bodied and cutting needles.,"This human cadaver study investigated whether flexor tendon repairs performed with round-bodied needles had a higher risk of pull-out compared with those performed with cutting needles. Forty human cadaver tendons were repaired (20 with each type of needle), subjected to tensile traction testing and evaluated by failure load and mode of failure. The average failure load was 50 N (SD 13 N) for tendons repaired with round-bodied needles, compared with 49 N (SD 16 N) for tendons repaired with cutting needles. Round-bodied needles resulted in more suture pull-out (18 out of 20 tendons) than cutting needles (6 out of 20 tendons). We found no differences in failure load, but significant differences in the mode of failure between round-bodied and cutting needles when used for cadaveric flexor tendon repair."
2021 Nov 9,Journal of biomechanics,J Biomech. 2021 Nov 9;128:110789. doi: 10.1016/j.jbiomech.2021.110789. Epub 2021 ,"['Rusli, Wan M R', 'Mirza, Eushaa', 'Tolerton, Sarah', 'Yong, Sarah', 'Johnson, Riem', 'Horwitz, Maxim D', 'Kedgley, Angela E']","['cadaver', ' carpometacarpal joints', 'humans', ' joint instability', 'ligaments, articular', ' osteoarthritis', 'radial artery', 'thumb', 'anterior oblique ligament', 'dorsal radial ligament', 'first carpometacarpal joint', 'intermetacarpal ligament', 'sequential ligament sectioning', 'ulnar collateral ligament']",Ligamentous constraint of the first carpometacarpal joint.,"To examine the role of the ligaments in maintaining stability of the first carpometacarpal (CMC) joint, a sequential ligament sectioning study of sixteen specimens was performed. While a small compressive force was maintained, loads were applied to displace each specimen in four directions - volar, dorsal, radial, and ulnar. Translations of the specimen in both dorsal-volar and radial-ulnar axes were measured. Initially, the tests were conducted with the specimen intact. These tests were then repeated following sectioning of the CMC anterior oblique ligament (AOL), ulnar collateral ligament (UCL), intermetacarpal ligament (IML) and dorsal radial ligament (DRL). The first CMC joint translation was increased in the absence of IML and DRL (p < 0.05). Both IML and DRL were important in constraining the first CMC joint translation against external applied loads. Potential applications of these findings include the treatment of joint hypermobility and the reduction or delay of onset or progression of first CMC joint osteoarthritis."
2021,Geriatric orthopaedic surgery & rehabilitation,Geriatr Orthop Surg Rehabil. 2021 May 6;12:21514593211012391. doi: ,"['Kelani, Taiwo D', 'Lee, Annabelle', 'Walker, Miny', 'Koizia, Louis J', 'Dani, Melanie', 'Fertleman, Michael B', 'Kedgley, Angela E']","['c-spine', 'cervical lordosis', 'rigid collar', 'vertebral angulation', 'visual analogue scale']",The Influence of Cervical Spine Angulation on Symptoms Associated With Wearing a Rigid Neck Collar.,"INTRODUCTION: Rigid cervical spine collars can be used to maintain the position of the cervical spine following injury or surgery. However, they have been associated with difficulty swallowing, pressure sores and pain, particularly in older patients. We aimed to investigate the relationship between cervical spine angulation, a rigid neck collar and neck pain in healthy young and older adults. METHODS: Twenty healthy young adults aged 25 ± 3 years and 17 healthy older adults aged 80 ± 8 years were tested. Magnetic resonance imaging scans of their cervical spines were taken before and after the rigid neck collar was worn for 1 hour. Measurement of vertebral angulation involved digitization of the scans and joint angle calculations using image processing software. Pain was quantified before and after the collar was worn, using a visual analogue scale. RESULTS: Pain scores increased in the young group after the collar was worn (p = 0.001). The older group showed no difference in pain score after the collar was worn. Statistical tests showed no significant correlations between the change in cervical angles and the change in pain scores after the collar was worn. DISCUSSION: The aging process may contribute to the changing distribution of subcutaneous tissue and increase risk of symptoms associated with wearing a collar. Oesophageal compression is not a result of collar use. CONCLUSION: There is no correlation between cervical spine vertebrae angulation and symptoms associated with wearing a neck collar. Generally, older individuals have greater cervical lordosis angles, and more straight and lordotic neck shapes. Older individuals may be more prone to skin-interface pressures from the neck collar than younger individuals."
2021 Aug,Scandinavian journal of medicine & science in sports,Scand J Med Sci Sports. 2021 Aug;31(8):1674-1682. doi: 10.1111/sms.13974. Epub ,"['Yeh, Chia-Han', 'Calder, James D', 'Antflick, Jarrod', 'Bull, Anthony M J', 'Kedgley, Angela E']","['achilles tendon injuries  physiology', 'adult', 'biomechanical phenomena', 'exercise therapy  methods', 'female', 'healthy volunteers', 'humans', 'male', 'range of motion, articular  physiology', 'tendinopathy  physiopathology  rehabilitation', 'weight-bearing physiology', 'achilles tendon', 'midportion achilles tendinopathy', 'rehabilitation', 'tendon moment arm']",Maximum dorsiflexion increases Achilles tendon force during exercise for midportion Achilles tendinopathy.,"Rehabilitation is an important treatment for non-insertional Achilles tendinopathy. To date, eccentric loading exercises (ECC) have been the predominant choice; however, mechanical evidence underlying their use remains unclear. Other protocols, such as heavy slow resistance loading (HSR), have shown comparable outcomes, but with less training time. This study aims to identify the effect of external loading and other variables that influence Achilles tendon (AT) force in ECC and HSR. Ground reaction force and kinematic data during ECC and HSR were collected from 18 healthy participants for four loading conditions. The moment arms of the AT were estimated from MRIs of each participant. AT force then was calculated using the ankle torque obtained from inverse dynamics. In the eccentric phase, the AT force was not larger than in the concentric phase in both ECC and HSR. Under the same external load, the force through the AT was larger in ECC with the knee bent than in HSR with the knee straight due to increased dorsiflexion angle of the ankle. Multivariate regression analysis showed that external load and maximum dorsiflexion angle were significant predictors of peak AT force in both standing and seated positions. Therefore, to increase the effectiveness of loading the AT, exercises should apply adequate external load and reach maximum dorsiflexion during the movement. Peak dorsiflexion angle affected the AT force in a standing position at twice the rate of a seated position, suggesting standing could prove more effective for the same external loading and peak dorsiflexion angle."
