time,journal,doi_info,authors,key words,title,abstract
2024 Jun,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 Jun;36(26):e2312497. doi: 10.1002/adma.202312497. Epub 2024 Apr ,"['Gomez-Cruz, Clara', 'Fernandez-de la Torre, Miguel', 'Lachowski, Dariusz', 'Prados-de-Haro, Martin', 'Del Río Hernández, Armando E', 'Perea, Gertrudis', 'Muñoz-Barrutia, Arrate', 'Garcia-Gonzalez, Daniel']","[' astrocytes metabolism cytology', 'animals', 'calcium metabolism chemistry', 'biomechanical phenomena', 'mechanical phenomena', 'actins metabolism', 'ion channels metabolism', 'mice', 'astrocytes', 'brain mechanics', 'magnetorheological elastomers', 'mechanobiology', 'piezo1']",Mechanical and Functional Responses in Astrocytes under Alternating Deformation Modes Using Magneto-Active Substrates.,"This work introduces NeoMag, a system designed to enhance cell mechanics assays in substrate deformation studies. NeoMag uses multidomain magneto-active materials to mechanically actuate the substrate, transmitting reversible mechanical cues to cells. The system boasts full flexibility in alternating loading substrate deformation modes, seamlessly adapting to both upright and inverted microscopes. The multidomain substrates facilitate mechanobiology assays on 2D and 3D cultures. The integration of the system with nanoindenters allows for precise evaluation of cellular mechanical properties under varying substrate deformation modes. The system is used to study the impact of substrate deformation on astrocytes, simulating mechanical conditions akin to traumatic brain injury and ischemic stroke. The results reveal local heterogeneous changes in astrocyte stiffness, influenced by the orientation of subcellular regions relative to substrate strain. These stiffness variations, exceeding 50% in stiffening and softening, and local deformations significantly alter calcium dynamics. Furthermore, sustained deformations induce actin network reorganization and activate Piezo1 channels, leading to an initial increase followed by a long-term inhibition of calcium events. Conversely, fast and dynamic deformations transiently activate Piezo1 channels and disrupt the actin network, causing long-term cell softening. These findings unveil mechanical and functional alterations in astrocytes during substrate deformation, illustrating the multiple opportunities this technology offers."
2023 Sep 18,Nature communications,Nat Commun. 2023 Sep 18;14(1):5787. doi: 10.1038/s41467-023-41606-x.,"['Yaganoglu, Sine', 'Kalyviotis, Konstantinos', 'Vagena-Pantoula, Christina', 'Jülich, Dörthe', 'Gaub, Benjamin M', 'Welling, Maaike', 'Lopes, Tatiana', 'Lachowski, Dariusz', 'Tang, See Swee', 'Del Rio Hernandez, Armando', 'Salem, Victoria', 'Müller, Daniel J', 'Holley, Scott A', 'Vermot, Julien', 'Shi, Jian', 'Helassa, Nordine', 'Török, Katalin', 'Pantazis, Periklis']",[],Author Correction: Highly specific and non-invasive imaging of Piezo1-dependent activity across scales using GenEPi.,
2023 Jul 19,Nature communications,Nat Commun. 2023 Jul 19;14(1):4352. doi: 10.1038/s41467-023-40134-y.,"['Yaganoglu, Sine', 'Kalyviotis, Konstantinos', 'Vagena-Pantoula, Christina', 'Jülich, Dörthe', 'Gaub, Benjamin M', 'Welling, Maaike', 'Lopes, Tatiana', 'Lachowski, Dariusz', 'Tang, See Swee', 'Del Rio Hernandez, Armando', 'Salem, Victoria', 'Müller, Daniel J', 'Holley, Scott A', 'Vermot, Julien', 'Shi, Jian', 'Helassa, Nordine', 'Török, Katalin', 'Pantazis, Periklis']","[' mechanotransduction, cellular physiology', ' ion channels metabolism', 'cell membrane metabolism', 'mechanical phenomena']",Highly specific and non-invasive imaging of Piezo1-dependent activity across scales using GenEPi.,"Mechanosensing is a ubiquitous process to translate external mechanical stimuli into biological responses. Piezo1 ion channels are directly gated by mechanical forces and play an essential role in cellular mechanotransduction. However, readouts of Piezo1 activity are mainly examined by invasive or indirect techniques, such as electrophysiological analyses and cytosolic calcium imaging. Here, we introduce GenEPi, a genetically-encoded fluorescent reporter for non-invasive optical monitoring of Piezo1-dependent activity. We demonstrate that GenEPi has high spatiotemporal resolution for Piezo1-dependent stimuli from the single-cell level to that of the entire organism. GenEPi reveals transient, local mechanical stimuli in the plasma membrane of single cells, resolves repetitive contraction-triggered stimulation of beating cardiomyocytes within microtissues, and allows for robust and reliable monitoring of Piezo1-dependent activity in vivo. GenEPi will enable non-invasive optical monitoring of Piezo1 activity in mechanochemical feedback loops during development, homeostatic regulation, and disease."
2023 May 2,Oncogenesis,Oncogenesis. 2023 May 2;12(1):23. doi: 10.1038/s41389-023-00467-1.,"['Matellan, Carlos', 'Lachowski, Dariusz', 'Cortes, Ernesto', 'Chiam, Kai Ning', 'Krstic, Aleksandar', 'Thorpe, Stephen D', 'Del Río Hernández, Armando E']",[],Retinoic acid receptor β modulates mechanosensing and invasion in pancreatic cancer cells via myosin light chain 2.,"Pancreatic ductal adenocarcinoma (PDAC) is the most common and lethal form of pancreatic cancer, characterised by stromal remodelling, elevated matrix stiffness and high metastatic rate. Retinoids, compounds derived from vitamin A, have a history of clinical use in cancer for their anti-proliferative and differentiation effects, and more recently have been explored as anti-stromal therapies in PDAC for their ability to induce mechanical quiescence in cancer associated fibroblasts. Here, we demonstrate that retinoic acid receptor β (RAR-β) transcriptionally represses myosin light chain 2 (MLC-2) expression in pancreatic cancer cells. As a key regulatory component of the contractile actomyosin machinery, MLC-2 downregulation results in decreased cytoskeletal stiffness and traction force generation, impaired response to mechanical stimuli via mechanosensing and reduced ability to invade through the basement membrane. This work highlights the potential of retinoids to target the mechanical drivers of pancreatic cancer."
2023 May,Advanced healthcare materials,Adv Healthc Mater. 2023 May;12(13):e2203297. doi: 10.1002/adhm.202203297. Epub ,"['Peng, Lihui', 'Matellan, Carlos', 'Bosch-Fortea, Minerva', 'Gonzalez-Molina, Jordi', 'Frigerio, Matteo', 'Salentinig, Stefan', 'Del Rio Hernandez, Armando', 'Gautrot, Julien E']","[' nanostructures', 'biocompatible materials metabolism', ' mesenchymal stem cells', '2d nanomaterials', 'liquid-liquid interface', 'protein nanosheet', 'self-assembly', 'stem cells', 'toughness']",Mesenchymal Stem Cells Sense the Toughness of Nanomaterials and Interfaces.,"Stem cells are known to sense and respond to the mechanical properties of biomaterials. In turn, cells exert forces on their environment that can lead to striking changes in shape, size and contraction of associated tissues, and may result in mechanical disruption and functional failure. However, no study has so far correlated stem cell phenotype and biomaterials toughness. Indeed, disentangling toughness-mediated cell response from other mechanosensing processes has remained elusive as it is particularly challenging to uncouple Youngs' or shear moduli from toughness, within a range relevant to cell-generated forces. In this report, it is shown how the design of the macromolecular architecture of polymer nanosheets regulates interfacial toughness, independently of interfacial shear storage modulus, and how this controls the expansion of mesenchymal stem cells at liquid interfaces. The viscoelasticity and toughness of poly(l-lysine) nanosheets assembled at liquid-liquid interfaces is characterised via interfacial shear rheology. The local (microscale) mechanics of nanosheets are characterised via magnetic tweezer-assisted interfacial microrheology and the thickness of these assemblies is determined from in situ ellipsometry. Finally, the response of mesenchymal stem cells to adhesion and culture at corresponding interfaces is investigated via immunostaining and confocal microscopy."
2023 Oct 9,Biomacromolecules,Biomacromolecules. 2023 Oct 9;24(10):4419-4429. doi: 10.1021/acs.biomac.2c01095. ,"['Majkowska, Anna', 'Inostroza-Brito, Karla E', 'Gonzalez, Mariel', 'Redondo-Gómez, Carlos', 'Rice, Alistair', 'Rodriguez-Cabello, Jose Carlos', 'Del Rio Hernandez, Armando E', 'Mata, Alvaro']","[' peptides chemistry', 'molecular structure', ' biocompatible materials']",Peptide-Protein Coassemblies into Hierarchical and Bioactive Tubular Membranes.,"Multicomponent self-assembly offers opportunities for the design of complex and functional biomaterials with tunable properties. Here, we demonstrate how minor modifications in the molecular structures of peptide amphiphiles (PAs) and elastin-like recombinamers (ELs) can be used to generate coassembling tubular membranes with distinct structures, properties, and bioactivity. First, by introducing minor modifications in the charge density of PA molecules (PAK2, PAK3, PAK4), different diffusion-reaction processes can be triggered, resulting in distinct membrane microstructures. Second, by combining different types of these PAs prior to their coassembly with ELs, further modifications can be achieved, tuning the structures and properties of the tubular membranes. Finally, by introducing the cell adhesive peptide RGDS in either the PA or EL molecules, it is possible to harness the different diffusion-reaction processes to generate tubular membranes with distinct bioactivities. The study demonstrates the possibility to trigger and achieve minor but crucial differences in coassembling processes and tune material structure and bioactivity. The study demonstrates the possibility to use minor, yet crucial, differences in coassembling processes to tune material structure and bioactivity."
2023 Feb,Biomaterials,Biomaterials. 2023 Feb;293:121982. doi: 10.1016/j.biomaterials.2022.121982. Epub ,"['Blackford, Samuel J I', 'Yu, Tracy T L', 'Norman, Michael D A', 'Syanda, Adam M', 'Manolakakis, Michail', 'Lachowski, Dariusz', 'Yan, Ziqian', 'Guo, Yunzhe', 'Garitta, Elena', 'Riccio, Federica', 'Jowett, Geraldine M', 'Ng, Soon Seng', 'Vernia, Santiago', 'Del Río Hernández, Armando E', 'Gentleman, Eileen', 'Rashid, S Tamir']","['humans', 'colforsin metabolism pharmacology', ' hepatocytes', 'cell differentiation', ' oligopeptides pharmacology metabolism', 'cytochrome p-450 enzyme system metabolism pharmacology', 'hydrogels chemistry', 'hepatocyte', 'hydrogel', 'induced pluripotent stem cell', 'mechano sensing', 'yap']",RGD density along with substrate stiffness regulate hPSC hepatocyte functionality through YAP signalling.,"Human pluripotent stem cell-derived hepatocytes (hPSC-Heps) may be suitable for treating liver diseases, but differentiation protocols often fail to yield adult-like cells. We hypothesised that replicating healthy liver niche biochemical and biophysical cues would produce hepatocytes with desired metabolic functionality. Using 2D synthetic hydrogels which independently control mechanical properties and biochemical cues, we found that culturing hPSC-Heps on surfaces matching the stiffness of fibrotic liver tissue upregulated expression of genes for RGD-binding integrins, and increased expression of YAP/TAZ and their transcriptional targets. Alternatively, culture on soft, healthy liver-like substrates drove increases in cytochrome p450 activity and ureagenesis. Knockdown of ITGB1 or reducing RGD-motif-containing peptide concentration in stiff hydrogels reduced YAP activity and improved metabolic functionality; however, on soft substrates, reducing RGD concentration had the opposite effect. Furthermore, targeting YAP activity with verteporfin or forskolin increased cytochrome p450 activity, with forskolin dramatically enhancing urea synthesis. hPSC-Heps could also be successfully encapsulated within RGD peptide-containing hydrogels without negatively impacting hepatic functionality, and compared to 2D cultures, 3D cultured hPSC-Heps secreted significantly less fetal liver-associated alpha-fetoprotein, suggesting furthered differentiation. Our platform overcomes technical hurdles in replicating the liver niche, and allowed us to identify a role for YAP/TAZ-mediated mechanosensing in hPSC-Hep differentiation."
2022 May,Nature,Nature. 2022 May;605(7910):E6. doi: 10.1038/s41586-022-04815-w.,"['Mehta, Vedanta', 'Pang, Kar-Lai', 'Rozbesky, Daniel', 'Nather, Katrin', 'Keen, Adam', 'Lachowski, Dariusz', 'Kong, Youxin', 'Karia, Dimple', 'Ameismeier, Michael', 'Huang, Jianhua', 'Fang, Yun', 'Del Rio Hernandez, Armando', 'Reader, John S', 'Jones, E Yvonne', 'Tzima, Ellie']",[],Author Correction: The guidance receptor plexin D1 is a mechanosensor in endothelial cells.,
2022 May,Biomaterials,Biomaterials. 2022 May;284:121494. doi: 10.1016/j.biomaterials.2022.121494. Epub ,"['Kong, Dexu', 'Peng, Lihui', 'Bosch-Fortea, Minerva', 'Chrysanthou, Alexandra', 'Alexis, Cardee V J-M', 'Matellan, Carlos', 'Zarbakhsh, Ali', 'Mastroianni, Giulia', 'Del Rio Hernandez, Armando', 'Gautrot, Julien E']","['cell proliferation', ' proteins chemistry', 'rheology', ' stem cells', 'viscosity', '2d nanomaterials', 'liquid-liquid interface', 'protein nanosheet', 'self-assembly', 'stem cells', 'viscoelasticity']",Impact of the multiscale viscoelasticity of quasi-2D self-assembled protein networks on stem cell expansion at liquid interfaces.,"Although not typically thought to sustain cell adhesion and expansion, liquid substrates have recently been shown to support such phenotypes, providing protein nanosheets could be assembled at corresponding liquid-liquid interfaces. However, the precise mechanical properties required from such quasi-2D nanoassemblies and how these correlate with molecular structure and nanoscale architecture has remained unclear. In this report, we screen a broad range of surfactants, proteins, oils and cell types and correlate interfacial mechanical properties with stem cell expansion. Correlations suggest an impact of interfacial viscoelasticity on the regulation of such behaviour. We combine interfacial rheology and magnetic tweezer-based interfacial microrheology to characterise the viscoelastic profile of protein nanosheets assembled at liquid-liquid interfaces. Based on neutron reflectometry and transmission electron microscopy data, we propose that the amorphous nanoarchitecture of quasi-2D protein nanosheets controls their multi-scale viscoelasticity which, in turn, correlates with cell expansion. This understanding paves the way for the rational design of protein nanosheets for microdroplet and bioemulsion-based stem cell manufacturing and screening platforms."
2022 Mar 22,ACS nano,ACS Nano. 2022 Mar 22;16(3):4322-4337. doi: 10.1021/acsnano.1c10534. Epub 2022 ,"['Lachowski, Dariusz', 'Matellan, Carlos', 'Gopal, Sahana', 'Cortes, Ernesto', 'Robinson, Benjamin K', 'Saiani, Alberto', 'Miller, Aline F', 'Stevens, Molly M', 'Del Río Hernández, Armando E']","[' carcinoma, hepatocellular pathology', ' caveolin 1 metabolism', 'hepatic stellate cells metabolism', 'humans', 'liver metabolism', 'liver cirrhosis metabolism', ' liver neoplasms pathology', ' tissue inhibitor of metalloproteinase-1 metabolism', 'caveolae', 'liver fibrosis', 'mechanotransduction', 'membrane tension', 'vesicle trafficking']",Substrate Stiffness-Driven Membrane Tension Modulates Vesicular Trafficking via Caveolin-1.,"Liver fibrosis, a condition characterized by extensive deposition and cross-linking of extracellular matrix (ECM) proteins, is idiosyncratic in cases of chronic liver injury. The dysregulation of ECM remodeling by hepatic stellate cells (HSCs), the main mediators of fibrosis, results in an elevated ECM stiffness that drives the development of chronic liver disease such as cirrhosis and hepatocellular carcinoma. Tissue inhibitor of matrix metalloproteinase-1 (TIMP-1) is a key element in the regulation of ECM remodeling, which modulates the degradation and turnover of ECM components. We have previously reported that a rigid, fibrotic-like substrate can impact TIMP-1 expression at the protein level in HSCs without altering its mRNA expression. While HSCs are known to be highly susceptible to mechanical stimuli, the mechanisms through which mechanical cues regulate TIMP-1 at the post-translational level remain unclear. Here, we show a mechanism of regulation of plasma membrane tension by matrix stiffness. We found that this effect is orchestrated by the β1 integrin/RhoA axis and results in elevated exocytosis and secretion of TIMP-1 in a caveolin-1- and dynamin-2-dependent manner. We then show that TIMP-1 and caveolin-1 expression increases in cirrhosis and hepatocellular carcinoma. These conditions are associated with fibrosis, and this effect can be recapitulated in 3D fibrosis models consisting of hepatic stellate cells encapsulated in a self-assembling polypeptide hydrogel. This work positions stiffness-dependent membrane tension as a key regulator of enzyme secretion and function and a potential target for therapeutic strategies that aim at modulating ECM remodeling in chronic liver disease."
