time,journal,doi_info,authors,key words,title,abstract
2024 Jan,Physical review. E,Phys Rev E. 2024 Jan;109(1):L012601. doi: 10.1103/PhysRevE.109.L012601.,"['Chen, Leiming', 'Lee, Chiu Fan', 'Maitra, Ananyo', 'Toner, John']",[],Dynamics of packed swarms: Time-displaced correlators of two-dimensional incompressible flocks.,"We analytically calculate the scaling exponents of a two-dimensional KPZ-like system: coherently moving incompressible polar active fluids. Using three different renormalization group approximation schemes, we obtain values for the roughness exponent χ and anisotropy exponent ζ that are extremely near the known exact results. This implies our prediction for the previously unknown dynamic exponent z is likely to be quantitatively accurate."
2024 Mar 13,Biophysical reports,Biophys Rep (N Y). 2024 Jan 9;4(1):100142. doi: 10.1016/j.bpr.2024.100142. ,"['Killeen, Andrew', 'Bertrand, Thibault', 'Lee, Chiu Fan']",[],Machine learning topological defects in confluent tissues.,"Active nematics is an emerging paradigm for characterizing biological systems. One aspect of particularly intense focus is the role active nematic defects play in these systems, as they have been found to mediate a growing number of biological processes. Accurately detecting and classifying these defects in biological systems is, therefore, of vital importance to improving our understanding of such processes. While robust methods for defect detection exist for systems of elongated constituents, other systems, such as epithelial layers, are not well suited to such methods. Here, we address this problem by developing a convolutional neural network to detect and classify nematic defects in confluent cell layers. Crucially, our method is readily implementable on experimental images of cell layers and is specifically designed to be suitable for cells that are not rod shaped, which we demonstrate by detecting defects on experimental data using the trained model. We show that our machine learning model outperforms current defect detection techniques and that this manifests itself in our method as requiring less data to accurately capture defect properties. This could drastically improve the accuracy of experimental data interpretation while also reducing costs, advancing the study of nematic defects in biological systems."
2023 Feb,PNAS nexus,PNAS Nexus. 2022 Dec 23;2(2):pgac304. doi: 10.1093/pnasnexus/pgac304. eCollection ,"['Cairoli, Andrea', 'Spenlehauer, Alice', 'Overby, Darryl R', 'Lee, Chiu Fan']","['ostwald ripening', 'coarse-grained modeling', 'inverse blebbing', 'shape mechanoadaptation']",Model of inverse bleb growth explains giant vacuole dynamics during cell mechanoadaptation.,"Cells can withstand hostile environmental conditions manifest as large mechanical forces such as pressure gradients and/or shear stresses by dynamically changing their shape. Such conditions are realized in the Schlemm's canal of the eye where endothelial cells that cover the inner vessel wall are subjected to the hydrodynamic pressure gradients exerted by the aqueous humor outflow. These cells form fluid-filled dynamic outpouchings of their basal membrane called giant vacuoles. The inverses of giant vacuoles are reminiscent of cellular blebs, extracellular cytoplasmic protrusions triggered by local temporary disruption of the contractile actomyosin cortex. Inverse blebbing has also been first observed experimentally during sprouting angiogenesis, but its underlying physical mechanisms are poorly understood. Here, we hypothesize that giant vacuole formation can be described as inverse blebbing and formulate a biophysical model of this process. Our model elucidates how cell membrane mechanical properties affect the morphology and dynamics of giant vacuoles and predicts coarsening akin to Ostwald ripening between multiple invaginating vacuoles. Our results are in qualitative agreement with observations from the formation of giant vacuoles during perfusion experiments. Our model not only elucidates the biophysical mechanisms driving inverse blebbing and giant vacuole dynamics, but also identifies universal features of the cellular response to pressure loads that are relevant to many experimental contexts."
2022 Nov 4,Physical review letters,Phys Rev Lett. 2022 Nov 4;129(19):198001. doi: 10.1103/PhysRevLett.129.198001.,"['Chen, Leiming', 'Lee, Chiu Fan', 'Maitra, Ananyo', 'Toner, John']",[],Incompressible Polar Active Fluids with Quenched Random Field Disorder in Dimensions d>2.,"We present a hydrodynamic theory of incompressible polar active fluids with quenched random field disorder. This theory shows that such fluids can overcome the disruption caused by the quenched disorder and move coherently, in the sense of having a nonzero mean velocity in the hydrodynamic limit. However, the scaling behavior of this class of active systems cannot be described by linearized hydrodynamics in spatial dimensions between 2 and 5. Nonetheless, we obtain the exact dimension-dependent scaling exponents in these dimensions."
2022 Oct,Physical review. E,Phys Rev E. 2022 Oct;106(4-1):044608. doi: 10.1103/PhysRevE.106.044608.,"['Chen, Leiming', 'Lee, Chiu Fan', 'Maitra, Ananyo', 'Toner, John']",[],Hydrodynamic theory of two-dimensional incompressible polar active fluids with quenched and annealed disorder.,"We study the moving phase of two-dimensional (2D) incompressible polar active fluids in the presence of both quenched and annealed disorder. We show that long-range polar order persists even in this defect-ridden two-dimensional system. We obtain the large-distance, long-time scaling laws of the velocity fluctuations using three distinct dynamic renormalization group schemes. These are an uncontrolled one-loop calculation in exactly two dimensions, and two d=(d_{c}-ε) expansions to O(ε), obtained by two different analytic continuations of our 2D model to higher spatial dimensions: a ""hard"" continuation which has d_{c}=7/3, and a ""soft"" continuation with d_{c}=5/2. Surprisingly, the quenched and annealed parts of the velocity correlation function have the same anisotropy exponent and the relaxational and propagating parts of the dispersion relation have the same dynamic exponent in the nonlinear theory even though they are distinct in the linearized theory. This is due to anomalous hydrodynamics. Furthermore, all three renormalization schemes yield very similar values for the universal exponents, and therefore we expect the numerical values that we predict for them to be highly accurate."
2022 Oct 28,Physical review letters,Phys Rev Lett. 2022 Oct 28;129(18):188004. doi: 10.1103/PhysRevLett.129.188004.,"['Chen, Leiming', 'Lee, Chiu Fan', 'Maitra, Ananyo', 'Toner, John']",[],Packed Swarms on Dirt: Two-Dimensional Incompressible Flocks with Quenched and Annealed Disorder.,"We show that incompressible polar active fluids can exhibit an ordered, coherently moving phase even in the presence of quenched disorder in two dimensions. Unlike such active fluids with annealed disorder (i.e., time-dependent random white noise) only, which behave like equilibrium ferromagnets with long-range interactions, this robustness against quenched disorder is a fundamentally nonequilibrium phenomenon. The ordered state belongs to a new universality class, whose scaling laws we calculate using three different renormalization group schemes, which all give scaling exponents within 0.02 of each other, indicating that our results are quite accurate. Our predictions can be quantitatively tested in readily available artificial active systems and imply that biological systems such as cell layers can move coherently in vivo, where disorder is inevitable."
2022,PloS one,PLoS One. 2022 Sep 13;17(9):e0272587. doi: 10.1371/journal.pone.0272587. ,"['Partridge, Benjamin', 'Gonzalez Anton, Sara', 'Khorshed, Reema', 'Adams, George', 'Pospori, Constandina', 'Lo Celso, Cristina', 'Lee, Chiu Fan']","['animals', 'diffusion', ' hematopoietic stem cells', 'mice', 'motion']",Heterogeneous run-and-tumble motion accounts for transient non-Gaussian super-diffusion in haematopoietic multi-potent progenitor cells.,"Multi-potent progenitor (MPP) cells act as a key intermediary step between haematopoietic stem cells and the entirety of the mature blood cell system. Their eventual fate determination is thought to be achieved through migration in and out of spatially distinct niches. Here we first analyze statistically MPP cell trajectory data obtained from a series of long time-course 3D in vivo imaging experiments on irradiated mouse calvaria, and report that MPPs display transient super-diffusion with apparent non-Gaussian displacement distributions. Second, we explain these experimental findings using a run-and-tumble model of cell motion which incorporates the observed dynamical heterogeneity of the MPPs. Third, we use our model to extrapolate the dynamics to time-periods currently inaccessible experimentally, which enables us to quantitatively estimate the time and length scales at which super-diffusion transitions to Fickian diffusion. Our work sheds light on the potential importance of motility in early haematopoietic progenitor function."
2022 Feb 18,Physical review letters,Phys Rev Lett. 2022 Feb 18;128(7):078001. doi: 10.1103/PhysRevLett.128.078001.,"['Killeen, Andrew', 'Bertrand, Thibault', 'Lee, Chiu Fan']",[' hydrodynamics'],Polar Fluctuations Lead to Extensile Nematic Behavior in Confluent Tissues.,"How can a collection of motile cells, each generating contractile nematic stresses in isolation, become an extensile nematic at the tissue level? Understanding this seemingly contradictory experimental observation, which occurs irrespective of whether the tissue is in the liquid or solid states, is not only crucial to our understanding of diverse biological processes, but is also of fundamental interest to soft matter and many-body physics. Here, we resolve this cellular to tissue level disconnect in the small fluctuation regime by using analytical theories based on hydrodynamic descriptions of confluent tissues, in both liquid and solid states. Specifically, we show that a collection of microscopic constituents with no inherently nematic extensile forces can exhibit active extensile nematic behavior when subject to polar fluctuating forces. We further support our findings by performing cell level simulations of minimal models of confluent tissues."
2022 May 24,Blood advances,Blood Adv. 2022 May 24;6(10):3126-3141. doi: 10.1182/bloodadvances.2021004321.,"['Pirillo, Chiara', 'Birch, Flora', 'Tissot, Floriane S', 'Anton, Sara Gonzalez', 'Haltalli, Myriam', 'Tini, Valentina', 'Kong, Isabella', 'Piot, Cécile', 'Partridge, Ben', 'Pospori, Constandina', 'Keeshan, Karen', 'Santamaria, Salvatore', 'Hawkins, Edwin', 'Falini, Brunangelo', 'Marra, Andrea', 'Duarte, Delfim', 'Lee, Chiu Fan', 'Roberts, Edward', 'Lo Celso, Cristina']","['animals', 'bone marrow pathology', 'hematopoietic stem cells pathology', ' leukemia, myeloid, acute drug therapy pathology', 'metalloproteases', 'mice', 'prognosis', 'tumor microenvironment']","Metalloproteinase inhibition reduces AML growth, prevents stem cell loss, and improves chemotherapy effectiveness.","Acute myeloid leukemia (AML) is a blood cancer of the myeloid lineage. Its prognosis remains poor, highlighting the need for new therapeutic and precision medicine approaches. AML symptoms often include cytopenias linked to loss of healthy hematopoietic stem and progenitor cells (HSPCs). The mechanisms behind HSPC decline are complex and still poorly understood. Here, intravital microscopy (IVM) of a well-established experimental model of AML allows direct observation of the interactions between healthy and malignant cells in the bone marrow (BM), suggesting that physical dislodgment of healthy cells by AML through damaged vasculature may play an important role. Multiple matrix metalloproteinases (MMPs), known to remodel extracellular matrix, are expressed by AML cells and the BM microenvironment. We reason MMPs could be involved in cell displacement and vascular leakiness; therefore, we evaluate the therapeutic potential of MMP pharmacological inhibition using the broad-spectrum inhibitor prinomastat. IVM analyses of prinomastat-treated mice reveal reduced vascular permeability and healthy cell clusters in circulation and lower AML infiltration, proliferation, and cell migration. Furthermore, treated mice have increased retention of healthy HSPCs in the BM and increased survival following chemotherapy. Analysis of a human AML transcriptomic database reveals widespread MMP deregulation, and human AML cells show susceptibility to MMP inhibition. Overall, our results suggest that MMP inhibition could be a promising complementary therapy to reduce AML growth and limit HSPC loss and BM vascular damage caused by MLL-AF9 and possibly other AML subtypes."
2021 Sep 10,"Science (New York, N.Y.)",Science. 2021 Sep 10;373(6560):1218-1224. doi: 10.1126/science.abg7071. Epub 2021 ,"['Folkmann, Andrew W', 'Putnam, Andrea', 'Lee, Chiu Fan', 'Seydoux, Geraldine']","['animals', 'caenorhabditis elegans metabolism  physiology', 'caenorhabditis elegans proteins  metabolism', 'intrinsically disordered proteins  metabolism', 'oocytes metabolism', 'protein-tyrosine kinases metabolism', 'rna-binding proteins metabolism', 'zygote metabolism']",Regulation of biomolecular condensates by interfacial protein clusters.,"Biomolecular condensates are cellular compartments that can form by phase separation in the absence of limiting membranes. Studying the P granules of Caenorhabditis elegans, we find that condensate dynamics are regulated by protein clusters that adsorb to the condensate interface. Using in vitro reconstitution, live observations, and theory, we demonstrate that localized assembly of P granules is controlled by MEG-3, an intrinsically disordered protein that forms low dynamic assemblies on P granules. Following classic Pickering emulsion theory, MEG-3 clusters lower surface tension and slow down coarsening. During zygote polarization, MEG-3 recruits the DYRK family kinase MBK-2 to accelerate spatially regulated growth of the P granule emulsion. By tuning condensate-cytoplasm exchange, interfacial clusters regulate the structural integrity of biomolecular condensates, reminiscent of the role of lipid bilayers in membrane-bound organelles."
