time,journal,doi_info,authors,key words,title,abstract
2022 Jul 7,Scientific reports,Sci Rep. 2022 Jul 7;12(1):11540. doi: 10.1038/s41598-022-15740-3.,"['Longden, Kit D', 'Schützenberger, Anna', 'Hardcastle, Ben J', 'Krapp, Holger G']","['animals', 'calliphoridae', 'head movements', 'locomotion', ' nystagmus, optokinetic', ' nystagmus, pathologic', 'walking speed']",Impact of walking speed and motion adaptation on optokinetic nystagmus-like head movements in the blowfly Calliphora.,"The optokinetic nystagmus is a gaze-stabilizing mechanism reducing motion blur by rapid eye rotations against the direction of visual motion, followed by slower syndirectional eye movements minimizing retinal slip speed. Flies control their gaze through head turns controlled by neck motor neurons receiving input directly, or via descending neurons, from well-characterized directional-selective interneurons sensitive to visual wide-field motion. Locomotion increases the gain and speed sensitivity of these interneurons, while visual motion adaptation in walking animals has the opposite effects. To find out whether flies perform an optokinetic nystagmus, and how it may be affected by locomotion and visual motion adaptation, we recorded head movements of blowflies on a trackball stimulated by progressive and rotational visual motion. Flies flexibly responded to rotational stimuli with optokinetic nystagmus-like head movements, independent of their locomotor state. The temporal frequency tuning of these movements, though matching that of the upstream directional-selective interneurons, was only mildly modulated by walking speed or visual motion adaptation. Our results suggest flies flexibly control their gaze to compensate for rotational wide-field motion by a mechanism similar to an optokinetic nystagmus. Surprisingly, the mechanism is less state-dependent than the response properties of directional-selective interneurons providing input to the neck motor system."
2022 Jul 1,The Journal of experimental biology,J Exp Biol. 2022 Jul 1;225(13):jeb244087. doi: 10.1242/jeb.244087. Epub 2022 Jul ,"['Supple, Jack A', 'Varennes-Phillit, Léandre', 'Gajjar-Reid, Dexter', 'Cerkvenik, Uroš', 'Belušič, Gregor', 'Krapp, Holger G']","['animals', ' butterflies', ' optic flow', 'vision, ocular', 'electrophysiology', 'neuroethology', 'neuroscience', 'polarisation vision']",Generating spatiotemporal patterns of linearly polarised light at high frame rates for insect vision research.,"Polarisation vision is commonplace among invertebrates; however, most experiments focus on determining behavioural and/or neurophysiological responses to static polarised light sources rather than moving patterns of polarised light. To address the latter, we designed a polarisation stimulation device based on superimposing polarised and non-polarised images from two projectors, which can display moving patterns at frame rates exceeding invertebrate flicker fusion frequencies. A linear polariser fitted to one projector enables moving patterns of polarised light to be displayed, whilst the other projector contributes arbitrary intensities of non-polarised light to yield moving patterns with a defined polarisation and intensity contrast. To test the device, we measured receptive fields of polarisation-sensitive Argynnis paphia butterfly photoreceptors for both non-polarised and polarised light. We then measured local motion sensitivities of the optic flow-sensitive lobula plate tangential cell H1 in Calliphora vicina blowflies under both polarised and non-polarised light, finding no polarisation sensitivity in this neuron."
2019 Sep 6,Bioinspiration & biomimetics,Bioinspir Biomim. 2019 Sep 6;14(6):065001. doi: 10.1088/1748-3190/ab3b23.,"['Huang, Jiaqi V', 'Wei, Yiran', 'Krapp, Holger G']","['algorithms', 'animals', 'avoidance learning', 'biomimetic materials', 'flight, animal  physiology', 'robotics  instrumentation', 'user-computer interface']",A biohybrid fly-robot interface system that performs active collision avoidance.,"We have designed a bio-hybrid fly-robot interface (FRI) to study sensorimotor control in insects. The FRI consists of a miniaturized recording platform mounted on a two-wheeled robot and is controlled by the neuronal spiking activity of an identified visual interneuron, the blowfly H1-cell. For a given turning radius of the robot, we found a proportional relationship between the spike rate of the H1-cell and the relative distance of the FRI from the patterned wall of an experimental arena. Under closed-loop conditions during oscillatory forward movements biased towards the wall, collision avoidance manoeuvres were triggered whenever the H1-cell spike rate exceeded a certain threshold value. We also investigated the FRI behaviour in corners of the arena. The ultimate goal is to enable autonomous and energy-efficient manoeuvrings of the FRI within arbitrary visual environments."
2019 Jun 1,Journal of neuroscience methods,J Neurosci Methods. 2019 Jun 1;321:28-38. doi: 10.1016/j.jneumeth.2019.04.006. ,"['Varennes, Léandre P', 'Krapp, Holger G', 'Viollet, Stéphane']","['animals', 'behavior, animal', 'biomechanical phenomena', 'diptera  physiology', ' flight, animal', 'image processing, computer-assisted  methods', 'male', 'pattern recognition, automated', 'predatory behavior', 'video recording  methods', 'aerial pursuit', 'blowfly', 'capture strategies', 'fly body orientation', 'free flight', 'insect vision', 'invertebrate pursuit', 'neuroethology']",A novel setup for 3D chasing behavior analysis in free flying flies.,"BACKGROUND: Insects catching prey or mates on the wing perform one of the fastest behaviours observed in nature. Some dipteran flies are aerial acrobats specialized to detect, chase and capture their targets within the blink of an eye. Studies of aerial pursuits and its underlying sensorimotor control have been a long-standing subject of interest in neuroethology research. NEW METHOD: We designed an actuated dummy target to trigger chasing flights in male blowflies. Our setup generates arbitrary 2D target trajectories in the horizontal plane combining translation up to 1 m/s and angular rotation up to 720°/s. RESULTS: Using stereovision methods we reconstructed target and pursuer positions every 5 ms with a maximum 3D error of 5 mm. The pursuer's body pitch and yaw angles were resolved within an error range of 6deg. An embedded observation point provides a close-up view of the pursuer's final approach and enables us to measure its body roll angle. We observed banked turns and sideslip which have not been reported for chasing blowflies in the past. COMPARISON WITH EXISTING METHOD(S): Previous studies focused on pursuit along circular paths or interception of translating targets while our method allows us to generate more complex target trajectories. Measurements of body orientation in earlier accounts were limited to the heading direction while we extended the analysis to include the full body orientation during pursuit. CONCLUSIONS: Our setup offers an opportunity to investigate kinematics and governing visual parameters of chasing behaviour in species up to the size of blowflies under a large variety of experimental conditions."
2017 Nov 6,Current biology : CB,Curr Biol. 2017 Nov 6;27(21):3225-3236.e3. doi: 10.1016/j.cub.2017.09.044. Epub ,"['Longden, Kit D', 'Wicklein, Martina', 'Hardcastle, Ben J', 'Huston, Stephen J', 'Krapp, Holger G']","['animals', 'diptera  physiology', 'flight, animal  physiology', 'interneurons physiology', 'motion perception  physiology', 'optic flow  physiology', 'photic stimulation', 'visual pathways  physiology', 'depth from motion', 'fly visual system', 'spike bursting', 'translatory optic flow']",Spike Burst Coding of Translatory Optic Flow and Depth from Motion in the Fly Visual System.,"Many animals use the visual motion generated by traveling straight-the translatory optic flow-to successfully navigate obstacles: near objects appear larger and to move more quickly than distant objects. Flies are expert at navigating cluttered environments, and while their visual processing of rotatory optic flow is understood in exquisite detail, how they process translatory optic flow remains a mystery. We present novel cell types that have local motion receptive fields matched to translation self-motion, the vertical translation (VT) cells. One of these, the VT1 cell, encodes self-motion in the forward-sideslip direction and fires action potentials in spike bursts as well as single spikes. We show that the spike burst coding is size and speed-tuned and is selectively modulated by motion parallax-the relative motion experienced during translation. These properties are spatially organized, so that the cell is most excited by clutter rather than isolated objects. When the fly is presented with a simulation of flying past an elevated object, the spike burst activity is modulated by the height of the object, and the rate of single spikes is unaffected. When the moving object alone is experienced, the cell is weakly driven. Meanwhile, the VT2-3 cells have motion receptive fields matched to the lift axis. In conjunction with previously described horizontal cells, the VT cells have properties well suited to the visual navigation of clutter and to encode the fly's movements along near cardinal axes of thrust, lift, and forward sideslip."
2016 Dec 21,Scientific reports,Sci Rep. 2016 Dec 21;6:39380. doi: 10.1038/srep39380.,"['Swart, Peter', 'Wicklein, Martina', 'Sykes, Dan', 'Ahmed, Farah', 'Krapp, Holger G']","['animals', 'contrast media chemistry', 'diptera  anatomy & histology', 'formaldehyde', 'imaging, three-dimensional methods', 'iodine chemistry', 'polymers', 'staining and labeling methods', 'x-ray microtomography  methods']",A quantitative comparison of micro-CT preparations in Dipteran flies.,"X-ray-based 3D-imaging techniques have gained fundamental significance in research areas ranging from taxonomy to bioengineering. There is demand for the characterisation of species-specific morphological adaptations, micro-CT (μCT) being the method of choice in small-scale animals. This has driven the development of suitable staining techniques to improve absorption-based tissue contrast. A quantitative account on the limits of current staining protocols for preparing μCT specimen, however, is still missing. Here we present a study that quantifies results obtained by combining a variety of different contrast agents and fixative treatments that provides general guidance for μCT applications, particularly suitable for insect species. Using a blowfly model system (Calliphora), we enhanced effective spatial resolution and, in particular, optimised tissue contrast enabling semi-automated segmentation of soft and hard tissue from μCT data. We introduce a novel probabilistic measure of the contrast between tissues: PTC. Our results show that a strong iodine solution provides the greatest overall increase in tissue contrast, however phosphotungstic acid offers better inter-tissue discriminability. We further show that using paraformaldehyde as a fixative as opposed to ethanol, slows down the uptake of a staining solution by approximately a factor of two."
2016 Oct 24,Current biology : CB,Curr Biol. 2016 Oct 24;26(20):R1010-R1021. doi: 10.1016/j.cub.2016.08.059.,"['Hardcastle, Ben J', 'Krapp, Holger G']","['animals', ' biological evolution', 'insecta physiology', 'invertebrates  physiology', ' motion perception', 'vertebrates  physiology', ' vision, ocular']",Evolution of Biological Image Stabilization.,"The use of vision to coordinate behavior requires an efficient control design that stabilizes the world on the retina or directs the gaze towards salient features in the surroundings. With a level gaze, visual processing tasks are simplified and behaviorally relevant features from the visual environment can be extracted. No matter how simple or sophisticated the eye design, mechanisms have evolved across phyla to stabilize gaze. In this review, we describe functional similarities in eyes and gaze stabilization reflexes, emphasizing their fundamental role in transforming sensory information into motor commands that support postural and locomotor control. We then focus on gaze stabilization design in flying insects and detail some of the underlying principles. Systems analysis reveals that gaze stabilization often involves several sensory modalities, including vision itself, and makes use of feedback as well as feedforward signals. Independent of phylogenetic distance, the physical interaction between an animal and its natural environment - its available senses and how it moves - appears to shape the adaptation of all aspects of gaze stabilization."
2015 Sep,Nature neuroscience,Nat Neurosci. 2015 Sep;18(9):1192-4. doi: 10.1038/nn.4097.,"['Krapp, Holger G']","['animals', 'eye movements  physiology', 'female', 'motion perception  physiology', 'neurons  physiology', 'photic stimulation  methods', 'saccades  physiology']",How a fly escapes the reflex trap.,
2015 Mar 12,Scientific reports,Sci Rep. 2015 Mar 12;5:8727. doi: 10.1038/srep08727.,"['Mokso, Rajmund', 'Schwyn, Daniel A', 'Walker, Simon M', 'Doube, Michael', 'Wicklein, Martina', 'Müller, Tonya', 'Stampanoni, Marco', 'Taylor, Graham K', 'Krapp, Holger G']","['animals', 'diptera', 'four-dimensional computed tomography  methods', 'microscopy  methods', 'radiation dosage', 'reproducibility of results', 'x-rays']",Four-dimensional in vivo X-ray microscopy with projection-guided gating.,"Visualizing fast micrometer scale internal movements of small animals is a key challenge for functional anatomy, physiology and biomechanics. We combine phase contrast tomographic microscopy (down to 3.3 μm voxel size) with retrospective, projection-based gating (in the order of hundreds of microseconds) to improve the spatiotemporal resolution by an order of magnitude over previous studies. We demonstrate our method by visualizing 20 three-dimensional snapshots through the 150 Hz oscillations of the blowfly flight motor."
2014 Sep 22,Current biology : CB,Curr Biol. 2014 Sep 22;24(18):R840-R841. doi: 10.1016/j.cub.2014.08.020.,"['Krapp, Holger G']","['animals', 'grasshoppers  physiology', ' light', ' space perception']",Sensory integration: neuronal filters for polarized light patterns.,"Animal and human behaviour relies on local sensory signals that are often ambiguous. A new study shows how tuning neuronal responses to celestial cues helps locust navigation, demonstrating a common principle of sensory information processing: the use of matched filters."
