time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in sports and active living,Front Sports Act Living. 2024 May 1;6:1297821. doi: 10.3389/fspor.2024.1297821. ,"['Amoroso, José Pedro', 'Coelho, Luís', 'Boulton, Rebecca A', 'González-Toro, Christie M', 'Costa, Felipe', 'Christodoulides, Efstathios', 'Cools, Wouter', 'Dudley, Dean', 'Moore, James E Jr', 'Furtado, Guilherme Eustáquio', 'Cheng, Ming-Yang', 'Calmeiro, Luís']","['ethical behavior', 'moral competence', 'physical activity', 'self-control', 'self-refereeing', 'self-regulation', 'sportsmanship']",Assessing ethical behavior and self-control in elite ultimate championships: a cross-sectional study using the spirit of the game scoring system.,"INTRODUCTION: Implementing a self-refereeing system presents a unique challenge in sports education, particularly in academic and training settings where officiated sports prevail. However, Ultimate Frisbee stands out by entrusting players with both athlete and referee roles, introducing distinctive ethical complexities. This manuscript is intended to evaluate ethical behavior and self-control within the Spirit of the Game (SOTG) scoring system in Elite Ultimate. To address these, Ultimate employs the (SOTG) scoring system, integral since the sport's inception in the late 1980s. SOTG aims to enhance and evaluate athletes' ethical conduct. This study evaluates SOTG's effectiveness in elite-level Ultimate, analyzing variations across divisions and age groups in three high-level tournaments. METHODS: Using a cross-sectional design, data were collected from five international Ultimate tournaments in 2022. Teams spanned diverse age groups (under 17 to over 50) and divisions (women's, mixed, open). Post-match, teams assessed opponents' SOTG in five domains: Rules knowledge, fouls, fairness, attitude/self-control, and communication. Ratings used a 5-point Likert scale (""poor"" to ""excellent""). An overall SOTG score was calculated by aggregating domain scores. RESULTS: Our study consistently revealed high SOTG scores, reflecting strong sportsmanship. ""Positive attitude and self-control"" consistently ranked highest, while ""Knowledge and use of the rules"" scored lowest. Divisional differences in SOTG were statistically insignificant. Notably, WMUCC2022 (participants aged 30+) had significantly higher SOTG scores, possibly indicating age-related self-control improvement or evolving sport culture. Lower rules knowledge scores may stem from linguistic translation challenges. CONCLUSION: Self-refereeing promotes ethical behavior across divisions and age groups. SOTG underscores sportsmanship's importance and aligns with International Olympic Committee (IOC) and with Sustainable Development Goals (SDGs), particularly SDG 3, 4, 5 and 16 fostering a fairer, healthier, and more peaceful world."
2022 Aug 3,European journal of cardio-thoracic surgery : official journal of the European ,Eur J Cardiothorac Surg. 2022 Aug 3;62(3):ezac392. doi: 10.1093/ejcts/ezac392.,"['Salmasi, M Yousuf', 'Sasidharan, Sumesh', 'Frattolin, Jennifer', 'Edgar, Lowell', 'Stock, Ulrich', 'Athanasiou, Thanos', 'Moore, James Jr']","[' aortic dissection pathology surgery', 'aorta, thoracic diagnostic imaging pathology surgery', ' aortic aneurysm, thoracic pathology surgery', 'biomechanical phenomena', 'collagen', 'humans', 'pulse wave analysis', 'stress, mechanical', 'biomechanics', 'delamination test', 'material properties', 'thoracic aortic aneurysms', 'uniaxial tensile test']",Regional variation in biomechanical properties of ascending thoracic aortic aneurysms.,"OBJECTIVES: This study aims to characterize the material properties of ascending thoracic aortic aneurysmal tissue, using regional biomechanical assessment of both tensile and dissection propagation peel strength. METHODS: Thirty-four aneurysm specimens (proximal thoracic aorta) were harvested en-bloc from patients undergoing surgery for aneurysm replacement. Specimens were processed into regional samples of similar shapes covering the whole aneurysm isosurface, according to a structured protocol, in both orientations (longitudinal and circumferential). Thickness mapping, uniaxial tensile and peel tests were conducted, enabling calculation of the following parameters: true stress/strain, tangential modulus, tensile strength, peeling force and dissection energy. Two constitutive material models were used (hyperelastic models of Delfino and Ogden) to fit the data. A circumferential strip of tissue was also obtained for computational histology [regional quantification of (i) elastin, (ii) collagen and (iii) smooth muscle cells]. RESULTS: The aortic wall was thinner on the outer curve (2.21, standard deviation (SD) 0.4 mm vs inner curve 2.50, SD 0.12 mm). Advanced patient age and higher pulse wave velocity (externally measured) were predictors of increased aortic wall thickness. Tensile strength was higher in the circumferential versus longitudinal direction when analysed according to anatomical regions. Both peel force (35.5, 22 N/m) and dissection energy (88.5, 69 J/m2) were on average lowest at the outer curve of the aneurysm in the longitudinal orientation. Delfino and Ogden model constants varied throughout anatomical regions, with the outer curve being associated a higher ɑ constant (Delfino) and lower µ1 constant (Ogden) (P < 0.05) indicating increased stiffness. Histologically, collagen abundance was significantly related to circumferential and longitudinal strength (P= 0.010), whilst smooth muscle cell count had no relation with any mechanical property (P > 0.05). CONCLUSIONS: Our results suggest that the outer aortic curve is more prone to dissection propagation and perhaps less prone to rupture than the inner aortic curve. This strengthens the notion of disease heterogeneity in ascending thoracic aortic aneurysms and has implications for the pathogenesis of aortic dissection."
2021,Frontiers in medical technology,Front Med Technol. 2021 Oct 4;3:707826. doi: 10.3389/fmedt.2021.707826. ,"['Madekurozwa, Michael', 'Bonneuil, Willy V', 'Frattolin, Jennifer', 'Watson, Daniel J', 'Moore, Axel C', 'Stevens, Molly M', 'Moore, James Jr', 'Mathiszig-Lee, Jakob', 'van Batenburg-Sherwood, Joseph']","['covid-19', 'intensive care', 'medical device', 'respiratory disease', 'supply chain', 'ventilator']",A Novel Ventilator Design for COVID-19 and Resource-Limited Settings.,"There has existed a severe ventilator deficit in much of the world for many years, due in part to the high cost and complexity of traditional ICU ventilators. This was highlighted and exacerbated by the emergence of the COVID-19 pandemic, during which the increase in ventilator production rapidly overran the global supply chains for components. In response, we propose a new approach to ventilator design that meets the performance requirements for COVID-19 patients, while using components that minimise interference with the existing ventilator supply chains. The majority of current ventilator designs use proportional valves and flow sensors, which remain in short supply over a year into the pandemic. In the proposed design, the core components are on-off valves. Unlike proportional valves, on-off valves are widely available, but accurate control of ventilation using on-off valves is not straightforward. Our proposed solution combines four on-off valves, a two-litre reservoir, an oxygen sensor and two pressure sensors. Benchtop testing of a prototype was performed with a commercially available flow analyser and test lungs. We investigated the accuracy and precision of the prototype using both compressed gas supplies and a portable oxygen concentrator, and demonstrated the long-term durability over 15 days. The precision and accuracy of ventilation parameters were within the ranges specified in international guidelines in all tests. A numerical model of the system was developed and validated against experimental data. The model was used to determine usable ranges of valve flow coefficients to increase supply chain flexibility. This new design provides the performance necessary for the majority of patients that require ventilation. Applications include COVID-19 as well as pneumonia, influenza, and tuberculosis, which remain major causes of mortality in low and middle income countries. The robustness, energy efficiency, ease of maintenance, price and availability of on-off valves are all advantageous over proportional valves. As a result, the proposed ventilator design will cost significantly less to manufacture and maintain than current market designs and has the potential to increase global ventilator availability."
2021 Dec 7,Cells,Cells. 2021 Dec 7;10(12):3439. doi: 10.3390/cells10123439.,"['Frattolin, Jennifer', 'Watson, Daniel J', 'Bonneuil, Willy V', 'Russell, Matthew J', 'Fasanella Masci, Francesca', 'Bandara, Mikaila', 'Brook, Bindi S', 'Nibbs, Robert J B', 'Moore, James E Jr']","['adaptive immunity genetics', 'cell movement genetics  physiology', 'cell tracking  trends', 'humans', 'immunity genetics', 'leukocytes  physiology ultrastructure', 'molecular imaging  trends', 'cell migration', 'chemokine', 'chemotaxis', 'leukocytes', 'live cell tracking', 'scale']",The Critical Importance of Spatial and Temporal Scales in Designing and Interpreting Immune Cell Migration Assays.,"Intravital microscopy and other direct-imaging techniques have allowed for a characterisation of leukocyte migration that has revolutionised the field of immunology, resulting in an unprecedented understanding of the mechanisms of immune response and adaptive immunity. However, there is an assumption within the field that modern imaging techniques permit imaging parameters where the resulting cell track accurately captures a cell's motion. This notion is almost entirely untested, and the relationship between what could be observed at a given scale and the underlying cell behaviour is undefined. Insufficient spatial and temporal resolutions within migration assays can result in misrepresentation of important physiologic processes or cause subtle changes in critical cell behaviour to be missed. In this review, we contextualise how scale can affect the perceived migratory behaviour of cells, summarise the limited approaches to mitigate this effect, and establish the need for a widely implemented framework to account for scale and correct observations of cell motion. We then extend the concept of scale to new approaches that seek to bridge the current ""black box"" between single-cell behaviour and systemic response."
2021 Dec,"Journal of the Royal Society, Interface",J R Soc Interface. 2021 Dec;18(185):20210464. doi: 10.1098/rsif.2021.0464. Epub ,"['Johnson, Sarah C', 'Frattolin, Jennifer', 'Edgar, Lowell T', 'Jafarnejad, Mohammad', 'Moore, James E Jr']","[' adaptive immunity', 'animals', 'cd8-positive t-lymphocytes', 'humans', 'lymph nodes', ' lymphocyte activation', 'mice', 'mice, inbred c57bl', 'receptors, antigen, t-cell', 't cell dynamics', 'adaptive immunity', 'agent-based model', 'effector t cells', 'lymph node']",Lymph node swelling combined with temporary effector T cell retention aids T cell response in a model of adaptive immunity.,"Swelling of lymph nodes (LNs) is commonly observed during the adaptive immune response, yet the impact on T cell (TC) trafficking and subsequent immune response is not well known. To better understand the effect of macro-scale alterations, we developed an agent-based model of the LN paracortex, describing the TC proliferative response to antigen-presenting dendritic cells alongside inflammation-driven and swelling-induced changes in TC recruitment and egress, while also incorporating regulation of the expression of egress-modulating TC receptor sphingosine-1-phosphate receptor-1. Analysis of the effector TC response under varying swelling conditions showed that swelling consistently aided TC activation. However, subsequent effector CD8(+) TC production was reduced in scenarios where swelling occurred too early in the TC proliferative phase or when TC cognate frequency was low due to increased opportunity for TC exit. Temporarily extending retention of newly differentiated effector TCs, mediated by sphingosine-1-phosphate receptor-1 expression, mitigated any negative effects of swelling by allowing facilitation of activation to outweigh increased access to exit areas. These results suggest that targeting temporary effector TC retention and egress associated with swelling offers new ways to modulate effector TC responses in, for example, immuno-suppressed patients and to optimize of vaccine design."
2021,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2021 Oct 18;9:750656. doi: 10.3389/fbioe.2021.750656. ,"['Salmasi, M Yousuf', 'Pirola, Selene', 'Sasidharan, Sumesh', 'Fisichella, Serena M', 'Redaelli, Alberto', 'Jarral, Omar A', ""O'Regan, Declan P"", 'Oo, Aung Ye', 'Moore, James E Jr', 'Xu, Xiao Yun', 'Athanasiou, Thanos']","['cfd', 'aneurysm', 'aortic surgery', 'computational fluid dynamics', 'computational pathology', 'magnetic resonance imaging', 'vascular biomechanics', 'wall shear stress']",High Wall Shear Stress can Predict Wall Degradation in Ascending Aortic Aneurysms: An Integrated Biomechanics Study.,"Background: Blood flow patterns can alter material properties of ascending thoracic aortic aneurysms (ATAA) via vascular wall remodeling. This study examines the relationship between wall shear stress (WSS) obtained from image-based computational modelling with tissue-derived mechanical and microstructural properties of the ATAA wall using segmental analysis. Methods: Ten patients undergoing surgery for ATAA were recruited. Exclusions: bicuspid aortopathy, connective tissue disease. All patients had pre-operative 4-dimensional flow magnetic resonance imaging (4D-MRI), allowing for patient-specific computational fluid dynamics (CFD) analysis and anatomically precise WSS mapping of ATAA regions (6-12 segments per patient). ATAA samples were obtained from surgery and subjected to region-specific tensile and peel testing (matched to WSS segments). Computational pathology was used to characterize elastin/collagen abundance and smooth muscle cell (SMC) count. Results: Elevated values of WSS were predictive of: reduced wall thickness [coef -0.0489, 95%"
2021 Dec,Biomechanics and modeling in mechanobiology,Biomech Model Mechanobiol. 2021 Dec;20(6):2179-2202. doi: ,"['Morris, Christopher J', 'Zawieja, David C', 'Moore, James E Jr']","['animals', 'calcium metabolism', 'lymphatic system  physiology', ' models, biological', 'muscle cells physiology', 'muscle contraction physiology', 'myosins metabolism', 'pressure', 'rats', 'troponin c metabolism', 'lymphatics', 'lymphedema', 'multiscale model', 'muscle', 'sliding filament model']",A multiscale sliding filament model of lymphatic muscle pumping.,"The lymphatics maintain fluid balance by returning interstitial fluid to veins via contraction/compression of vessel segments with check valves. Disruption of lymphatic pumping can result in a condition called lymphedema with interstitial fluid accumulation. Lymphedema treatments are often ineffective, which is partially attributable to insufficient understanding of specialized lymphatic muscle lining the vessels. This muscle exhibits cardiac-like phasic contractions and smooth muscle-like tonic contractions to generate and regulate flow. To understand the relationship between this sub-cellular contractile machinery and organ-level pumping, we have developed a multiscale computational model of phasic and tonic contractions in lymphatic muscle and coupled it to a lymphangion pumping model. Our model uses the sliding filament model (Huxley in Prog Biophys Biophys Chem 7:255-318, 1957) and its adaptation for smooth muscle (Mijailovich in Biophys J 79(5):2667-2681, 2000). Multiple structural arrangements of contractile components and viscoelastic elements were trialed but only one provided physiologic results. We then coupled this model with our previous lumped parameter model of the lymphangion to relate results to experiments. We show that the model produces similar pressure, diameter, and flow tracings to experiments on rat mesenteric lymphatics. This model provides the first estimates of lymphatic muscle contraction energetics and the ability to assess the potential effects of sub-cellular level phenomena such as calcium oscillations on lymphangion outflow. The maximum efficiency value predicted (40%) is at the upper end of estimates for other muscle types. Spontaneous calcium oscillations during diastole were found to increase outflow up to approximately 50% in the range of frequencies and amplitudes tested."
2021 Feb 12,Journal of biomechanics,J Biomech. 2021 Feb 12;116:110196. doi: 10.1016/j.jbiomech.2020.110196. Epub 2020 ,"['Olchanyi, Mark D', 'Sadikov, Amir', 'Frattolin, Jennifer', 'Sasidharan, Sumesh', 'Salmasi, M Yousuf', 'Edgar, Lowell T', 'Jarral, Omar', 'Athanasiou, Thanos', 'Moore, James E Jr']","[' algorithms', 'humans', 'demons', 'strain field', 'tensile test']",Validation of markerless strain-field optical tracking approach for soft tissue mechanical assessment.,"Strain measurement during tissue deformation is crucial to elucidate relationships between mechanical loading and functional changes in biological tissues. When combined with specified loading conditions, assessment of strain fields can be used to craft models that accurately represent the mechanical behavior of soft tissue. Inhomogeneities in strain fields may be indicative of normal or pathological inhomogeneities in mechanical properties. In this study, we present the validation of a modified Demons registration algorithm for non-contact, marker-less strain measurement of tissue undergoing uniaxial loading. We validate the algorithm on a synthetic dataset composed of artificial deformation fields applied to a speckle image, as well as images of aortic sections of varying perceptual quality. Initial results indicate that Demons outperforms recent Optical Flow and Digital Image Correlation methods in terms of accuracy and robustness to low image quality, with similar runtimes. Demons achieves at least 8% lower maximal deviation from ground truth on 50% biaxial and shear strain applied to aortic images. To illustrate utility, we quantified strain fields of multiple human aortic specimens undergoing uniaxial tensile testing, noting the formation of strain concentrations in areas of rupture. The modified Demons algorithm captured a large range of strains (up to 50%) and provided spatially resolved strain fields that could be useful in the assessment of soft tissue pathologies."
2020,PloS one,PLoS One. 2020 Jul 27;15(7):e0230092. doi: 10.1371/journal.pone.0230092. ,"['Johnson, Sarah C', 'Chakraborty, Sanjukta', 'Drosou, Anastasios', 'Cunnea, Paula', 'Tzovaras, Dimitrios', 'Nixon, Katherine', 'Zawieja, David C', 'Muthuchamy, Mariappan', 'Fotopoulou, Christina', 'Moore, James E Jr']","['adenocarcinoma, clear cell genetics pathology', 'cell line, tumor', 'down-regulation', 'female', 'humans', 'logistic models', 'lymphatic vessels metabolism  pathology', 'machine learning', 'micrornas  metabolism', 'neoplasm recurrence, local', 'neoplasm staging', 'ovarian neoplasms genetics  pathology', 'principal component analysis', 'prognosis', 'risk']",Inflammatory state of lymphatic vessels and miRNA profiles associated with relapse in ovarian cancer patients.,"Lymphogenic spread is associated with poor prognosis in epithelial ovarian cancer (EOC), yet little is known regarding roles of non-peri-tumoural lymphatic vessels (LVs) outside the tumour microenvironment that may impact relapse. The aim of this feasibility study was to assess whether inflammatory status of the LVs and/or changes in the miRNA profile of the LVs have potential prognostic and predictive value for overall outcome and risk of relapse. Samples of macroscopically normal human lymph LVs (n = 10) were isolated from the external iliac vessels draining the pelvic region of patients undergoing debulking surgery. This was followed by quantification of the inflammatory state (low, medium and high) and presence of cancer-infiltration of each LV using immunohistochemistry. LV miRNA expression profiling was also performed, and analysed in the context of high versus low inflammation, and cancer-infiltrated versus non-cancer-infiltrated. Results were correlated with clinical outcome data including relapse with an average follow-up time of 13.3 months. The presence of a high degree of inflammation correlated significantly with patient relapse (p = 0.033). Cancer-infiltrated LVs showed a moderate but non-significant association with relapse (p = 0.07). Differential miRNA profiles were identified in cancer-infiltrated LVs and those with high versus low inflammation. In particular, several members of the let-7 family were consistently down-regulated in highly inflamed LVs (>1.8-fold, p<0.05) compared to the less inflamed ones. Down-regulation of the let-7 family appears to be associated with inflammation, but whether inflammation contributes to or is an effect of cancer-infiltration requires further investigation."
2020 Jul,The Journal of pathology,J Pathol. 2020 Jul;251(3):225-227. doi: 10.1002/path.5454. Epub 2020 Jun 3.,"['Xu, Qian', 'Moore, James E Jr']","['axilla', ' breast neoplasms', 'humans', ' lymph nodes', 'lymphatic metastasis', 'united kingdom', 'axillary lymph nodes', 'ex vivo perfusion']",Ex vivo perfusion of human lymph nodes(†).,"In a recent study published in The Journal of Pathology, Barrow-McGee et al described a feasibility study of a real-time ex vivo perfusion model of the axillary lymph nodes (ALNs) from breast cancer patients for immune-oncological investigations. The study showed that perfused ALNs remain viable for up to 24 h, and perfusion of therapeutic antibodies confirmed the ability to reach ALN-resident cells. This work is a highly encouraging demonstration of feasibility for further research into lymphatic system function, with applications to immune function, vaccinations, and cancer. © 2020 The Authors. The Journal of Pathology published by John Wiley & Sons Ltd on behalf of Pathological Society of Great Britain and Ireland."
