time,journal,doi_info,authors,key words,title,abstract
2024 May 20,Bio-protocol,Bio Protoc. 2024 May 20;14(10):e4989. doi: 10.21769/BioProtoc.4989. eCollection ,"['Zhang, Raymond Jiahong', 'Vermot, Julien', 'Gherardi, Riccardo', 'Fukui, Hajime', 'Chow, Renee Wei-Yan']","['cardiac cycle', 'heart valve development', 'image analysis', 'phase matching', 'software development', 'zebrafish embryos']",Calcium Signal Analysis in the Zebrafish Heart via Phase Matching of the Cardiac Cycle.,"Calcium signalling in the endocardium is critical for heart valve development. Calcium ion pulses in the endocardium are generated in response to mechanical forces due to blood flow and can be visualised in the beating zebrafish heart using a genetically encoded calcium indicator such as GCaMP7a. Analysing these pulses is challenging because of the rapid movement of the heart during heartbeat. This protocol outlines an imaging analysis method used to phase-match the cardiac cycle in single z-slice movies of the beating heart, allowing easy measurement of the calcium signal. Key features • Software to synchronise and analyse frames from movies of the beating heart corresponding to a user-defined phase of the cardiac cycle. • Software to measure the fluorescence intensity of the beating heart corresponding to a user-defined region of interest."
2024 Feb,The Journal of physiology,J Physiol. 2024 Feb;602(4):597-617. doi: 10.1113/JP285490. Epub 2024 Feb 12.,"['Cairelli, Adriana Gaia', 'Gendernalik, Alex', 'Chan, Wei Xuan', 'Nguyen, Phuc', 'Vermot, Julien', 'Lee, Juhyun', 'Bark, David Jr', 'Yap, Choon Hwai']","['animals', ' zebrafish', ' myocytes, cardiac', 'biomechanical phenomena', 'signal transduction physiology', 'myocardium', 'heart', 'heart ventricles', 'cardiac trabeculation', 'computational biomechanics', 'myocardial strains and stresses', 'trabeculation formation and function', 'zebrafish embryonic heart']",Role of tissue biomechanics in the formation and function of myocardial trabeculae in zebrafish embryos.,"Cardiac trabeculae are uneven ventricular muscular structures that develop during early embryonic heart development at the outer curvature of the ventricle. Their biomechanical function is not completely understood, and while their formation is known to be mechanosensitive, it is unclear whether ventricular tissue internal stresses play an important role in their formation. Here, we performed imaging and image-based cardiac biomechanics simulations on zebrafish embryonic ventricles to investigate these issues. Microscopy-based ventricular strain measurements show that the appearance of trabeculae coincided with enhanced deformability of the ventricular wall. Image-based biomechanical simulations reveal that the presence of trabeculae reduces ventricular tissue internal stresses, likely acting as structural support in response to the geometry of the ventricle. Passive ventricular pressure-loading experiments further reveal that the formation of trabeculae is associated with a spatial homogenization of ventricular tissue stiffnesses in healthy hearts, but gata1 morphants with a disrupted trabeculation process retain a spatial stiffness heterogeneity. Our findings thus suggest that modulating ventricular wall deformability, stresses, and stiffness are among the biomechanical functions of trabeculae. Further, experiments with gata1 morphants reveal that a reduction in fluid pressures and consequently ventricular tissue internal stresses can disrupt trabeculation, but a subsequent restoration of ventricular tissue internal stresses via vasopressin rescues trabeculation, demonstrating that tissue stresses are important to trabeculae formation. Overall, we find that tissue biomechanics is important to the formation and function of embryonic heart trabeculation. KEY POINTS: Trabeculations are fascinating and important cardiac structures and their abnormalities are linked to embryonic demise. However, their function in the heart and their mechanobiological formation processes are not completely understood. Our imaging and modelling show that tissue biomechanics is the key here. We find that trabeculations enhance cardiac wall deformability, reduce fluid pressure stresses, homogenize wall stiffness, and have alignments that are optimal for providing load-bearing structural support for the heart. We further discover that high ventricular tissue internal stresses consequent to high fluid pressures are needed for trabeculation formation through a rescue experiment, demonstrating that myocardial tissue stresses are as important as fluid flow wall shear stresses for trabeculation formation."
2023 Sep 18,Nature communications,Nat Commun. 2023 Sep 18;14(1):5787. doi: 10.1038/s41467-023-41606-x.,"['Yaganoglu, Sine', 'Kalyviotis, Konstantinos', 'Vagena-Pantoula, Christina', 'Jülich, Dörthe', 'Gaub, Benjamin M', 'Welling, Maaike', 'Lopes, Tatiana', 'Lachowski, Dariusz', 'Tang, See Swee', 'Del Rio Hernandez, Armando', 'Salem, Victoria', 'Müller, Daniel J', 'Holley, Scott A', 'Vermot, Julien', 'Shi, Jian', 'Helassa, Nordine', 'Török, Katalin', 'Pantazis, Periklis']",[],Author Correction: Highly specific and non-invasive imaging of Piezo1-dependent activity across scales using GenEPi.,
2023 Jul 19,Nature communications,Nat Commun. 2023 Jul 19;14(1):4352. doi: 10.1038/s41467-023-40134-y.,"['Yaganoglu, Sine', 'Kalyviotis, Konstantinos', 'Vagena-Pantoula, Christina', 'Jülich, Dörthe', 'Gaub, Benjamin M', 'Welling, Maaike', 'Lopes, Tatiana', 'Lachowski, Dariusz', 'Tang, See Swee', 'Del Rio Hernandez, Armando', 'Salem, Victoria', 'Müller, Daniel J', 'Holley, Scott A', 'Vermot, Julien', 'Shi, Jian', 'Helassa, Nordine', 'Török, Katalin', 'Pantazis, Periklis']","[' mechanotransduction, cellular physiology', ' ion channels metabolism', 'cell membrane metabolism', 'mechanical phenomena']",Highly specific and non-invasive imaging of Piezo1-dependent activity across scales using GenEPi.,"Mechanosensing is a ubiquitous process to translate external mechanical stimuli into biological responses. Piezo1 ion channels are directly gated by mechanical forces and play an essential role in cellular mechanotransduction. However, readouts of Piezo1 activity are mainly examined by invasive or indirect techniques, such as electrophysiological analyses and cytosolic calcium imaging. Here, we introduce GenEPi, a genetically-encoded fluorescent reporter for non-invasive optical monitoring of Piezo1-dependent activity. We demonstrate that GenEPi has high spatiotemporal resolution for Piezo1-dependent stimuli from the single-cell level to that of the entire organism. GenEPi reveals transient, local mechanical stimuli in the plasma membrane of single cells, resolves repetitive contraction-triggered stimulation of beating cardiomyocytes within microtissues, and allows for robust and reliable monitoring of Piezo1-dependent activity in vivo. GenEPi will enable non-invasive optical monitoring of Piezo1 activity in mechanochemical feedback loops during development, homeostatic regulation, and disease."
2023 Apr 27,STAR protocols,STAR Protoc. 2023 Apr 27;4(2):102257. doi: 10.1016/j.xpro.2023.102257.,"['Steib, Emmanuelle', 'Vagena-Pantoula, Christina', 'Vermot, Julien']","['developmental biology', 'microscopy', 'model organisms', 'molecular biology']",TissUExM protocol for ultrastructure expansion microscopy of zebrafish larvae and mouse embryos.,"Expansion microscopy of millimeter-large mechanically heterogeneous tissues, such as whole vertebrate embryos, has been limited, particularly when combined with post-expansion immunofluorescence. Here, we present a protocol to perform ultrastructure expansion microscopy of whole vertebrate embryos, optimized to perform post-expansion labeling. We describe steps for embedding and denaturing zebrafish larvae or mouse embryos. We then detail procedures for hydrogel handling and mounting. This protocol is particularly well suited for super-resolution imaging of macromolecular protein complexes in situ but does not preserve lipids. For complete details on the use and execution of this protocol, please refer to Steib et al.(1)."
2022 Oct 24,Cell reports methods,Cell Rep Methods. 2022 Sep 30;2(10):100311. doi: 10.1016/j.crmeth.2022.100311. ,"['Steib, Emmanuelle', 'Tetley, Rob', 'Laine, Romain F', 'Norris, Dominic P', 'Mao, Yanlan', 'Vermot, Julien']","['animals', 'mice', ' microscopy methods', ' zebrafish', 'drosophila', 'centrioles', 'cilia', 'drosophila', 'expansion', 'mouse', 'super-resolution', 'whole embryos', 'zebrafish']",TissUExM enables quantitative ultrastructural analysis in whole vertebrate embryos by expansion microscopy.,"Super-resolution microscopy reveals the molecular organization of biological structures down to the nanoscale. While it allows the study of protein complexes in single cells, small organisms, or thin tissue sections, there is currently no versatile approach for ultrastructural analysis compatible with whole vertebrate embryos. Here, we present tissue ultrastructure expansion microscopy (TissUExM), a method to expand millimeter-scale and mechanically heterogeneous whole embryonic tissues, including Drosophila wing discs, whole zebrafish, and mouse embryos. TissUExM is designed for the observation of endogenous proteins. It permits quantitative characterization of protein complexes in various organelles at super-resolution in a range of ∼3 mm-sized tissues using conventional microscopes. We demonstrate its strength by investigating tissue-specific ciliary architecture heterogeneity and ultrastructural defects observed upon ciliary protein overexpression. Overall, TissUExM is ideal for performing ultrastructural studies and molecular mapping in situ in whole embryos."
2022 Jun,PLoS computational biology,PLoS Comput Biol. 2022 Jun 6;18(6):e1010142. doi: 10.1371/journal.pcbi.1010142. ,"['Cairelli, Adriana Gaia', 'Chow, Renee Wei-Yan', 'Vermot, Julien', 'Yap, Choon Hwai']","['animals', 'heart', 'hydrodynamics', ' models, cardiovascular', 'organogenesis', 'stress, mechanical', ' zebrafish']",Fluid mechanics of the zebrafish embryonic heart trabeculation.,"Embryonic heart development is a mechanosensitive process, where specific fluid forces are needed for the correct development, and abnormal mechanical stimuli can lead to malformations. It is thus important to understand the nature of embryonic heart fluid forces. However, the fluid dynamical behaviour close to the embryonic endocardial surface is very sensitive to the geometry and motion dynamics of fine-scale cardiac trabecular surface structures. Here, we conducted image-based computational fluid dynamics (CFD) simulations to quantify the fluid mechanics associated with the zebrafish embryonic heart trabeculae. To capture trabecular geometric and motion details, we used a fish line that expresses fluorescence at the endocardial cell membrane, and high resolution 3D confocal microscopy. Our endocardial wall shear stress (WSS) results were found to exceed those reported in existing literature, which were estimated using myocardial rather than endocardial boundaries. By conducting simulations of single intra-trabecular spaces under varied scenarios, where the translational or deformational motions (caused by contraction) were removed, we found that a squeeze flow effect was responsible for most of the WSS magnitude in the intra-trabecular spaces, rather than the shear interaction with the flow in the main ventricular chamber. We found that trabecular structures were responsible for the high spatial variability of the magnitude and oscillatory nature of WSS, and for reducing the endocardial deformational burden. We further found cells attached to the endocardium within the intra-trabecular spaces, which were likely embryonic hemogenic cells, whose presence increased endocardial WSS. Overall, our results suggested that a complex multi-component consideration of both anatomic features and motion dynamics were needed to quantify the trabeculated embryonic heart fluid mechanics."
2022 Oct,Seminars in cell & developmental biology,Semin Cell Dev Biol. 2022 Oct;130:45-55. doi: 10.1016/j.semcdb.2022.03.017. Epub ,"['Vignes, Hélène', 'Vagena-Pantoula, Christina', 'Vermot, Julien']","[' actomyosin metabolism', 'extracellular matrix metabolism', ' mechanotransduction, cellular', 'morphogenesis physiology', 'stress, mechanical', 'mechanical forces', 'mechanotransduction', 'morphogenesis', 'tissue shape', 'vertebrate development', 'vertebrate organogenesis']",Mechanical control of tissue shape: Cell-extrinsic and -intrinsic mechanisms join forces to regulate morphogenesis.,"During vertebrate development, cells must proliferate, move, and differentiate to form complex shapes. Elucidating the mechanisms underlying the molecular and cellular processes involved in tissue morphogenesis is essential to understanding developmental programmes. Mechanical stimuli act as a major contributor of morphogenetic processes and impact on cell behaviours to regulate tissue shape and size. Specifically, cell extrinsic physical forces are translated into biochemical signals within cells, through the process of mechanotransduction, activating multiple mechanosensitive pathways and defining cell behaviours. Physical forces generated by tissue mechanics and the extracellular matrix are crucial to orchestrate tissue patterning and cell fate specification. At the cell scale, the actomyosin network generates the cellular tension behind the tissue mechanics involved in building tissue. Thus, understanding the role of physical forces during morphogenetic processes requires the consideration of the contribution of cell intrinsic and cell extrinsic influences. The recent development of multidisciplinary approaches, as well as major advances in genetics, microscopy, and force-probing tools, have been key to push this field forward. With this review, we aim to discuss recent work on how tissue shape can be controlled by mechanical forces by focusing specifically on vertebrate organogenesis. We consider the influences of mechanical forces by discussing the cell-intrinsic forces (such as cell tension and proliferation) and cell-extrinsic forces (such as substrate stiffness and flow forces). We review recently described processes supporting the role of intratissue force generation and propagation in the context of shape emergence. Lastly, we discuss the emerging role of tissue-scale changes in tissue material properties, extrinsic forces, and shear stress on shape establishment."
2022 Mar 14,Developmental cell,Dev Cell. 2022 Mar 14;57(5):598-609.e5. doi: 10.1016/j.devcel.2022.02.011. Epub ,"['Vignes, Hélène', 'Vagena-Pantoula, Christina', 'Prakash, Mangal', 'Fukui, Hajime', 'Norden, Caren', 'Mochizuki, Naoki', 'Jug, Florian', 'Vermot, Julien']","['animals', 'cell size', 'heart valves metabolism', 'mechanotransduction, cellular', 'morphogenesis', 'trpv cation channels metabolism', ' zebrafish metabolism', ' zebrafish proteins metabolism', 'ecm', 'actomyosin', 'cell polarity', 'endocardium', 'mechanobiology', 'mechanotransduction', 'notch', 'shear stress', 'zebrafish']",Extracellular mechanical forces drive endocardial cell volume decrease during zebrafish cardiac valve morphogenesis.,"Organ morphogenesis involves dynamic changes of tissue properties while cells adapt to their mechanical environment through mechanosensitive pathways. How mechanical cues influence cell behaviors during morphogenesis remains unclear. Here, we studied the formation of the zebrafish atrioventricular canal (AVC) where cardiac valves develop. We show that the AVC forms within a zone of tissue convergence associated with the increased activation of the actomyosin meshwork and cell-orientation changes. We demonstrate that tissue convergence occurs with a reduction of cell volume triggered by mechanical forces and the mechanosensitive channel TRPP2/TRPV4. Finally, we show that the extracellular matrix component hyaluronic acid controls cell volume changes. Together, our data suggest that multiple force-sensitive signaling pathways converge to modulate cell volume. We conclude that cell volume reduction is a key cellular feature activated by mechanotransduction during cardiovascular morphogenesis. This work further identifies how mechanical forces and extracellular matrix influence tissue remodeling in developing organs."
2022 Jan,PLoS biology,PLoS Biol. 2022 Jan 14;20(1):e3001505. doi: 10.1371/journal.pbio.3001505. ,"['Chow, Renee Wei-Yan', 'Fukui, Hajime', 'Chan, Wei Xuan', 'Tan, Kok Soon Justin', 'Roth, Stéphane', 'Duchemin, Anne-Laure', 'Messaddeq, Nadia', 'Nakajima, Hiroyuki', 'Liu, Fei', 'Faggianelli-Conrozier, Nathalie', 'Klymchenko, Andrey S', 'Choon Hwai, Yap', 'Mochizuki, Naoki', 'Vermot, Julien']","['animals', 'animals, genetically modified', 'embryo, nonmammalian', 'endothelium', 'heart embryology', 'heart valves  abnormalities', ' hemodynamics', 'hemorheology', 'mechanical phenomena', 'mesoderm', 'nfatc transcription factors genetics  metabolism', 'zebrafish  embryology genetics']",Cardiac forces regulate zebrafish heart valve delamination by modulating Nfat signaling.,"In the clinic, most cases of congenital heart valve defects are thought to arise through errors that occur after the endothelial-mesenchymal transition (EndoMT) stage of valve development. Although mechanical forces caused by heartbeat are essential modulators of cardiovascular development, their role in these later developmental events is poorly understood. To address this question, we used the zebrafish superior atrioventricular valve (AV) as a model. We found that cellularized cushions of the superior atrioventricular canal (AVC) morph into valve leaflets via mesenchymal-endothelial transition (MEndoT) and tissue sheet delamination. Defects in delamination result in thickened, hyperplastic valves, and reduced heart function. Mechanical, chemical, and genetic perturbation of cardiac forces showed that mechanical stimuli are important regulators of valve delamination. Mechanistically, we show that forces modulate Nfatc activity to control delamination. Together, our results establish the cellular and molecular signature of cardiac valve delamination in vivo and demonstrate the continuous regulatory role of mechanical forces and blood flow during valve formation."
