time,journal,doi_info,authors,key words,title,abstract
2024 May 6,Nature biomedical engineering,Nat Biomed Eng. 2024 May 6. doi: 10.1038/s41551-024-01206-6.,"['Yan, Jipeng', 'Huang, Biao', 'Tonko, Johanna', 'Toulemonde, Matthieu', 'Hansen-Shearer, Joseph', 'Tan, Qingyuan', 'Riemer, Kai', 'Ntagiantas, Konstantinos', 'Chowdhury, Rasheda A', 'Lambiase, Pier D', 'Senior, Roxy', 'Tang, Meng-Xing']",[],Transthoracic ultrasound localization microscopy of myocardial vasculature in patients.,"Myocardial microvasculature and haemodynamics are indicative of potential microvascular diseases for patients with symptoms of coronary heart disease in the absence of obstructive coronary arteries. However, imaging microvascular structure and flow within the myocardium is challenging owing to the small size of the vessels and the constant movement of the patient's heart. Here we show the feasibility of transthoracic ultrasound localization microscopy for imaging myocardial microvasculature and haemodynamics in explanted pig hearts and in patients in vivo. Through a customized data-acquisition and processing pipeline with a cardiac phased-array probe, we leveraged motion correction and tracking to reconstruct the dynamics of microcirculation. For four patients, two of whom had impaired myocardial function, we obtained super-resolution images of myocardial vascular structure and flow using data acquired within a breath hold. Myocardial ultrasound localization microscopy may facilitate the understanding of myocardial microcirculation and the management of patients with cardiac microvascular diseases."
2024 Jul,Ultrasound in medicine & biology,Ultrasound Med Biol. 2024 Jul;50(7):1045-1057. doi: ,"['Hansen-Shearer, Joseph', 'Yan, Jipeng', 'Lerendegui, Marcelo', 'Huang, Biao', 'Toulemonde, Matthieu', 'Riemer, Kai', 'Tan, Qingyuan', 'Tonko, Johanna', 'Weinberg, Peter D', 'Dunsby, Chris', 'Tang, Meng-Xing']","['rabbits', 'animals', 'humans', ' ultrasonography methods', ' imaging, three-dimensional methods', 'equipment design', 'phantoms, imaging', 'skin diagnostic imaging', 'feasibility studies', '3-d ultrasound', 'beamforming', 'coherence', 'frame multiply and sum', 'high frame rate ultrafast imaging', 'image reconstruction', 'real-time', 'row-column array', 'super-resolution ultrasound', 'ultrasound localisation microscopy']","Ultrafast 3-D Transcutaneous Super Resolution Ultrasound Using Row-Column Array Specific Coherence-Based Beamforming and Rolling Acoustic Sub-aperture Processing: In Vitro, in Rabbit and in Human Study.","OBJECTIVE: This study aimed to realise 3-D super-resolution ultrasound imaging transcutaneously with a row-column array which has far fewer independent electronic channels and a wider field of view than typical fully addressed 2-D matrix arrays. The in vivo image quality of the row-column array is generally poor, particularly when imaging non-invasively. This study aimed to develop a suite of image formation and post-processing methods to improve image quality and demonstrate the feasibility of ultrasound localisation microscopy using a row-column array, transcutaneously on a rabbit model and in a human. METHODS: To achieve this, a processing pipeline was developed which included a new type of rolling window image reconstruction, which integrated a row-column array specific coherence-based beamforming technique with acoustic sub-aperture processing. This and other processing steps reduced the 'secondary' lobe artefacts, and noise and increased the effective frame rate, thereby enabling ultrasound localisation images to be produced. RESULTS: Using an in vitro cross tube, it was found that the procedure reduced the percentage of 'false' locations from ∼26% to ∼15% compared to orthogonal plane wave compounding. Additionally, it was found that the noise could be reduced by ∼7 dB and the effective frame rate was increased to over 4000 fps. In vivo, ultrasound localisation microscopy was used to produce images non-invasively of a rabbit kidney and a human thyroid. CONCLUSION: It has been demonstrated that the proposed methods using a row-column array can produce large field of view super-resolution microvascular images in vivo and in a human non-invasively."
2024 May 20,Physics in medicine and biology,Phys Med Biol. 2024 May 20;69(11). doi: 10.1088/1361-6560/ad3c09.,"['Lerendegui, Marcelo', 'Yan, Jipeng', 'Stride, Eleanor', 'Dunsby, Christopher', 'Tang, Meng-Xing']","[' microbubbles', ' ultrasonography methods', 'image processing, computer-assisted methods', 'contrast enhanced', 'microbubbles', 'super resolution ultrasound', 'ultrasound localization microscopy']",Understanding the effects of microbubble concentration on localization accuracy in super-resolution ultrasound imaging.,"Super-resolution ultrasound (SRUS) through localising and tracking of microbubbles (MBs) can achieve sub-wavelength resolution for imaging microvascular structure and flow dynamics in deep tissuein vivo. The technique assumes that signals from individual MBs can be isolated and localised accurately, but this assumption starts to break down when the MB concentration increases and the signals from neighbouring MBs start to interfere. The aim of this study is to gain understanding of the effect of MB-MB distance on ultrasound images and their localisation. Ultrasound images of two MBs approaching each other were synthesised by simulating both ultrasound field propagation and nonlinear MB dynamics. Besides the distance between MBs, a range of other influencing factors including MB size, ultrasound frequency, transmit pulse sequence, pulse amplitude and localisation methods were studied. The results show that as two MBs approach each other, the interference fringes can lead to significant and oscillating localisation errors, which are affected by both the MB and imaging parameters. When modelling a clinical linear array probe operating at 6 MHz, localisation errors between 20 and 30μm (∼1/10 wavelength) can be generated when MBs are ∼500μm (2 wavelengths or ∼1.7 times the point spread function (PSF)) away from each other. When modelling a cardiac probe operating at 1.5 MHz, the localisation errors were as high as 200μm (∼1/5 wavelength) even when the MBs were more than 10 wavelengths apart (2.9 times the PSF). For both frequencies, at smaller separation distances, the two MBs were misinterpreted as one MB located in between the two true positions. Cross-correlation or Gaussian fitting methods were found to generate slightly smaller localisation errors than centroiding. In conclusion, caution should be taken when generating and interpreting SRUS images obtained using high agent concentration with MBs separated by less than 1.7 to 3 times the PSF, as significant localisation errors can be generated due to interference between neighbouring MBs."
2023 Dec 1,Biomedical optics express,Biomed Opt Express. 2023 Nov 20;14(12):6361-6380. doi: 10.1364/BOE.507453. ,"['Howe, Glenn A', 'Tang, Meng-Xing', 'Rowlands, Christopher J']",[],Tailored photoacoustic apertures with superimposed optical holograms.,"A new method of generating potentially arbitrary photoacoustic wavefronts with optical holograms is presented. This method uses nanosecond laser pulses at 1064 nm that are split into four time-delayed components by means of a configurable multipass optical delay apparatus, which serves to map the pulses onto phase-delayed regions of a given acoustic wavefront. A single spatial light modulator generates separate holograms for each component, which are imaged onto a photoacoustic transducer comprised of a thermoelastic polymer. As a proof of concept of the broader arbitrary wavefront construction technique, the spatially- and temporally-modulated holograms in this study produce a phased array effect that enables beam steering of the resulting acoustic pulse. For a first experimental demonstration of the method, as verified by simulation, the acoustic beam is steered in four directions by around 5 degrees."
2024 May 1,Investigative radiology,Invest Radiol. 2024 May 1;59(5):379-390. doi: 10.1097/RLI.0000000000001033. Epub ,"['Riemer, Kai', 'Tan, Qingyuan', 'Morse, Sophie', 'Bau, Luca', 'Toulemonde, Matthieu', 'Yan, Jipeng', 'Zhu, Jingwen', 'Wang, Bingxue', 'Taylor, Laura', 'Lerendegui, Marcelo', 'Wu, Qiang', 'Stride, Eleanor', 'Dunsby, Christopher', 'Weinberg, Peter D', 'Tang, Meng-Xing']","['mice', 'animals', 'rabbits', ' contrast media', 'mice, inbred c57bl', ' microscopy', 'sound', 'acoustics', 'ultrasonography methods', 'microbubbles']",3D Acoustic Wave Sparsely Activated Localization Microscopy With Phase Change Contrast Agents.,"OBJECTIVE: The aim of this study is to demonstrate 3-dimensional (3D) acoustic wave sparsely activated localization microscopy (AWSALM) of microvascular flow in vivo using phase change contrast agents (PCCAs). MATERIALS AND METHODS: Three-dimensional AWSALM using acoustically activable PCCAs was evaluated on a crossed tube microflow phantom, the kidney of New Zealand White rabbits, and the brain of C57BL/6J mice through intact skull. A mixture of C 3 F 8 and C 4 F 10 low-boiling-point fluorocarbon gas was used to generate PCCAs with an appropriate activation pressure. A multiplexed 8-MHz matrix array connected to a 256-channel ultrasound research platform was used for transmitting activation and imaging ultrasound pulses and recording echoes. The in vitro and in vivo echo data were subsequently beamformed and processed using a set of customized algorithms for generating 3D super-resolution ultrasound images through localizing and tracking activated contrast agents. RESULTS: With 3D AWSALM, the acoustic activation of PCCAs can be controlled both spatially and temporally, enabling contrast on demand and capable of revealing 3D microvascular connectivity. The spatial resolution of the 3D AWSALM images measured using Fourier shell correlation is 64 μm, presenting a 9-time improvement compared with the point spread function and 1.5 times compared with half the wavelength. Compared with the microbubble-based approach, more signals were localized in the microvasculature at similar concentrations while retaining sparsity and longer tracks in larger vessels. Transcranial imaging was demonstrated as a proof of principle of PCCA activation in the mouse brain with 3D AWSALM. CONCLUSIONS: Three-dimensional AWSALM generates volumetric ultrasound super-resolution microvascular images in vivo with spatiotemporal selectivity and enhanced microvascular penetration."
2023 Aug,European heart journal. Digital health,Eur Heart J Digit Health. 2023 May 3;4(4):291-301. doi: 10.1093/ehjdh/ztad030. ,"['Seligman, Henry', 'Patel, Sapna B', 'Alloula, Anissa', 'Howard, James P', 'Cook, Christopher M', 'Ahmad, Yousif', 'de Waard, Guus A', 'Pinto, Mauro Echavarría', 'van de Hoef, Tim P', 'Rahman, Haseeb', 'Kelshiker, Mihir A', 'Rajkumar, Christopher A', 'Foley, Michael', 'Nowbar, Alexandra N', 'Mehta, Samay', 'Toulemonde, Mathieu', 'Tang, Meng-Xing', 'Al-Lamee, Rasha', 'Sen, Sayan', 'Cole, Graham', 'Nijjer, Sukhjinder', 'Escaned, Javier', 'Van Royen, Niels', 'Francis, Darrel P', 'Shun-Shin, Matthew J', 'Petraco, Ricardo']","['angina', 'artificial intelligence', 'coronary', 'diagnosis', 'doppler', 'invasive']",Development of artificial intelligence tools for invasive Doppler-based coronary microvascular assessment.,"AIMS: Coronary flow reserve (CFR) assessment has proven clinical utility, but Doppler-based methods are sensitive to noise and operator bias, limiting their clinical applicability. The objective of the study is to expand the adoption of invasive Doppler CFR, through the development of artificial intelligence (AI) algorithms to automatically quantify coronary Doppler quality and track flow velocity. METHODS AND RESULTS: A neural network was trained on images extracted from coronary Doppler flow recordings to score signal quality and derive values for coronary flow velocity and CFR. The outputs were independently validated against expert consensus. Artificial intelligence successfully quantified Doppler signal quality, with high agreement with expert consensus (Spearman's rho: 0.94), and within individual experts. Artificial intelligence automatically tracked flow velocity with superior numerical agreement against experts, when compared with the current console algorithm [AI flow vs. expert flow bias -1.68 cm/s, 95% confidence interval ("
2023 Oct,Computer methods and programs in biomedicine,Comput Methods Programs Biomed. 2023 Oct;240:107710. doi: ,"['Cueto, Carlos', 'Bates, Oscar', 'Strong, George', 'Cudeiro, Javier', 'Robins, Thomas Caradoc', 'Luporini, Fabio', 'Agudo, Òscar Calderón', 'Gorman, Gerard', 'Guasch, Lluis', 'Tang, Meng-Xing']",[],Corrigendum to Stride: A flexible software platform for high-performance ultrasound computed tomography Computer Methods and Programs in Biomedicine 221 (2022) 106855.,
2023 Oct,Ultrasound in medicine & biology,Ultrasound Med Biol. 2023 Oct;49(10):2302-2315. doi: ,"['Robins, Thomas Caradoc', 'Cueto, Carlos', 'Cudeiro, Javier', 'Bates, Oscar', 'Agudo, Oscar Calderon', 'Strong, George', 'Guasch, Lluis', 'Warner, Michael', 'Tang, Meng-Xing']","['feasibility studies', ' brain diagnostic imaging anatomy & histology', ' head', 'skull diagnostic imaging', 'ultrasonography', 'phantoms, imaging', 'brain imaging', 'brain phantom', 'full-waveform inversion', 'ultrasound tomography']",Dual-Probe Transcranial Full-Waveform Inversion: A Brain Phantom Feasibility Study.,"OBJECTIVE: Despite being a low-cost, portable and safe medical imaging technique, transcranial ultrasound imaging is not used widely in adults because of the severe degradation and distortion of signals caused by the skull. Full-waveform inversion (FWI) has recently been found to have potential as an effective method for transcranial ultrasound tomography to obtain high-quality, subwavelength-resolution acoustic models of the brain using low-frequency ultrasound data. In this study is the first demonstration of this method in recovering a high-resolution 2-D reconstruction of a brain and skull ultrasound imaging phantom using experimentally acquired data. METHODS: A 2:5 scale brain phantom encased within a 3-D-printed skull-mimicking layer was created to simulate a clinical transcranial imaging target. To obtain tomographic ultrasound data on the brain and skull phantom, a tomographic ultrasound acquisition system was designed and implemented using commercially available low-frequency cardiac probes. FWI reconstructions of the brain and skull phantom were performed using the acquired tomographic data and were compared with corresponding synthetic reconstructions. This comparison was used to evaluate the feasibility of the proposed imaging system when employing different transducer array configurations. RESULTS: We demonstrate the successful FWI reconstruction of the brain phantom within the skull mimic from experimentally acquired tomographic ultrasound data. To mitigate the effects of the skull-mimicking material, a reflection-matching algorithm was applied to model the morphology of the skull layer prior to performing the inversion. CONCLUSION: The findings of this study provide a promising step toward the clinical use of FWI for transcranial ultrasound imaging in adults."
2023 Oct,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2023 Oct;19(42):e2301163. doi: 10.1002/smll.202301163. Epub 2023 Jun 2.,"['Kawara, Shusei', 'Cunningham, Brian', 'Bezer, James', 'Kc, Neelima', 'Zhu, Jingwen', 'Tang, Meng-Xing', 'Ishihara, Jun', 'Choi, James J', 'Au, Sam H']","['humans', ' hydrogels', ' capillaries', 'tissue engineering methods', 'bifurcations', 'capillaries', 'hydrogel', 'microchannels', 'microvasculature', 'phantom', 'wire-templating']",Capillary-Scale Hydrogel Microchannel Networks by Wire Templating.,"Microvascular networks are essential for the efficient transport of nutrients, waste products, and drugs throughout the body. Wire-templating is an accessible method for generating laboratory models of these blood vessel networks, but it has difficulty fabricating microchannels with diameters of ten microns and narrower, a requirement for modeling human capillaries. This study describes a suite of surface modification techniques to selectively control the interactions amongst wires, hydrogels, and world-to-chip interfaces. This wire templating method enables the fabrication of perfusable hydrogel-based rounded cross-section capillary-scale networks whose diameters controllably narrow at bifurcations down to 6.1 ± 0.3 microns in diameter. Due to its low cost, accessibility, and compatibility with a wide range of common hydrogels of tunable stiffnesses such as collagen, this technique may increase the fidelity of experimental models of capillary networks for the study of human health and disease."
2023 Feb,Ultrasound in medicine & biology,Ultrasound Med Biol. 2023 Feb;49(2):473-488. doi: ,"['Rowland, Ethan M', 'Riemer, Kai', 'Lichtenstein, Kevin', 'Tang, Meng-Xing', 'Weinberg, Peter D']","['animals', 'humans', 'rabbits', 'ultrasonography methods', 'blood flow velocity', ' carotid arteries diagnostic imaging', 'carotid artery, common', ' ventricular dysfunction', 'blood pressure', 'pulse wave analysis', 'esmolol', 'pulse wave velocity', 'speckle tracking', 'ultrasound imaging velocimetry', 'wave intensity analysis', 'wave reflection']",Non-invasive Assessment by B-Mode Ultrasound of Arterial Pulse Wave Intensity and Its Reduction During Ventricular Dysfunction.,"Arterial pulse waves contain clinically useful information about cardiac performance, arterial stiffness and vessel tone. Here we describe a novel method for non-invasively assessing wave properties, based on measuring changes in blood flow velocity and arterial wall diameter during the cardiac cycle. Velocity and diameter were determined by tracking speckles in successive B-mode images acquired with an ultrafast scanner and plane-wave transmission. Blood speckle was separated from tissue by singular value decomposition and processed to correct biases in ultrasound imaging velocimetry. Results obtained in the rabbit aorta were compared with a conventional analysis based on blood velocity and pressure, employing measurements obtained with a clinical intra-arterial catheter system. This system had a poorer frequency response and greater lags but the pattern of net forward-traveling and backward-traveling waves was consistent between the two methods. Errors in wave speed were also similar in magnitude, and comparable reductions in wave intensity and delays in wave arrival were detected during ventricular dysfunction. The non-invasive method was applied to the carotid artery of a healthy human participant and gave a wave speed and patterns of wave intensity consistent with earlier measurements. The new system may have clinical utility in screening for heart failure."
