time,journal,doi_info,authors,key words,title,abstract
2024 Jun 8,Communications biology,Commun Biol. 2024 Jun 8;7(1):710. doi: 10.1038/s42003-024-06240-3.,"['Mena, Sergio', 'Cruikshank, Allison', 'Best, Janet', 'Nijhout, H F', 'Reed, Michael C', 'Hashemi, Parastoo']","[' serotonin plasma membrane transport proteins metabolism', 'animals', ' selective serotonin reuptake inhibitors pharmacology', 'mice', ' inflammation drug therapy metabolism', ' escitalopram pharmacology', 'hippocampus metabolism drug effects', 'serotonin metabolism', 'humans', 'citalopram pharmacology']",Modulation of serotonin transporter expression by escitalopram under inflammation.,"Selective serotonin reuptake inhibitors (SSRIs) are widely used for depression based on the monoamine deficiency hypothesis. However, the clinical use of these agents is controversial, in part because of their variable clinical efficacy and in part because of their delayed onset of action. Because of the complexities involved in replicating human disease and clinical dosing in animal models, the scientific community has not reached a consensus on the reasons for these phenomena. In this work, we create a theoretical hippocampal model incorporating escitalopram's pharmacokinetics, pharmacodynamics (competitive and non-competitive inhibition, and serotonin transporter (SERT) internalization), inflammation, and receptor dynamics. With this model, we simulate chronic oral escitalopram in mice showing that days to weeks are needed for serotonin levels to reach steady-state. We show escitalopram's chemical efficacy is diminished under inflammation. Our model thus offers mechanisms for how chronic escitalopram affects brain serotonin, emphasizing the importance of optimized dose and time for future antidepressant discoveries."
2024 Mar 1,"Molecular medicine (Cambridge, Mass.)",Mol Med. 2024 Mar 1;30(1):33. doi: 10.1186/s10020-023-00773-9.,"['Buchanan, Anna Marie', 'Mena, Sergio', 'Choukari, Iman', 'Vasa, Aditya', 'Crawford, Jesseca N', 'Fadel, Jim', 'Maxwell, Nick', 'Reagan, Lawrence', 'Cruikshank, Allie', 'Best, Janet', 'Nijhout, H Fred', 'Reed, Michael', 'Hashemi, Parastoo']","['mice', 'animals', 'levodopa adverse effects', 'dopamine', 'serotonin', 'antiparkinson agents adverse effects', ' dyskinesia, drug-induced drug therapy etiology', ' parkinson disease etiology drug therapy', ' parkinsonian disorders', 'biomarkers', 'cfm', 'depression', 'fscv']",Serotonin as a biomarker of toxin-induced Parkinsonism.,"BACKGROUND: Loss of dopaminergic neurons underlies the motor symptoms of Parkinson's disease (PD). However stereotypical PD symptoms only manifest after approximately 80% of dopamine neurons have died making dopamine-related motor phenotypes unreliable markers of the earlier stages of the disease. There are other non-motor symptoms, such as depression, that may present decades before motor symptoms. METHODS: Because serotonin is implicated in depression, here we use niche, fast electrochemistry paired with mathematical modelling and machine learning to, for the first time, robustly evaluate serotonin neurochemistry in vivo in real time in a toxicological model of Parkinsonism, 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP). RESULTS: Mice treated with acute MPTP had lower concentrations of in vivo, evoked and ambient serotonin in the hippocampus, consistent with the clinical comorbidity of depression with PD. These mice did not chemically respond to SSRI, as strongly as control animals did, following the clinical literature showing that antidepressant success during PD is highly variable. Following L-DOPA administration, using a novel machine learning analysis tool, we observed a dynamic shift from evoked serotonin release in the hippocampus to dopamine release. We hypothesize that this finding shows, in real time, that serotonergic neurons uptake L-DOPA and produce dopamine at the expense of serotonin, supporting the significant clinical correlation between L-DOPA and depression. Finally, we found that this post L-DOPA dopamine release was less regulated, staying in the synapse for longer. This finding is perhaps due to lack of autoreceptor control and may provide a ground from which to study L-DOPA induced dyskinesia. CONCLUSIONS: These results validate key prior hypotheses about the roles of serotonin during PD and open an avenue to study to potentially improve therapeutics for levodopa-induced dyskinesia and depression."
2023 Dec 21,Cell chemical biology,Cell Chem Biol. 2023 Dec 21;30(12):1557-1570.e6. doi: ,"['Witt, Colby E', 'Mena, Sergio', 'Holmes, Jordan', 'Hersey, Melinda', 'Buchanan, Anna Marie', 'Parke, Brenna', 'Saylor, Rachel', 'Honan, Lauren E', 'Berger, Shane N', 'Lumbreras, Sara', 'Nijhout, Frederik H', 'Reed, Michael C', 'Best, Janet', 'Fadel, James', 'Schloss, Patrick', 'Lau, Thorsten', 'Hashemi, Parastoo']","['mice', 'animals', ' serotonin', 'selective serotonin reuptake inhibitors pharmacology', ' ketamine pharmacology', 'antidepressive agents pharmacology therapeutic use', 'fluoxetine pharmacology', 'nris', 'ssris', 'depression', 'ketamine', 'monoamine hypothesis', 'neurogenesis', 'voltammetry']",Serotonin is a common thread linking different classes of antidepressants.,"Depression pathology remains elusive. The monoamine hypothesis has placed much focus on serotonin, but due to the variable clinical efficacy of monoamine reuptake inhibitors, the community is looking for alternative therapies such as ketamine (neurogenesis theory of antidepressant action). There is evidence that different classes of antidepressants may affect serotonin levels; a notion we test here. We measure hippocampal serotonin in mice with voltammetry and study the effects of acute challenges of escitalopram, fluoxetine, reboxetine, and ketamine. We find that pseudo-equivalent doses of these drugs similarly raise ambient serotonin levels, despite their differing pharmacodynamics because of differences in Uptake 1 and 2, rapid SERT trafficking, and modulation of serotonin by histamine. These antidepressants have different pharmacodynamics but have strikingly similar effects on extracellular serotonin. Our findings suggest that serotonin is a common thread that links clinically effective antidepressants, synergizing different theories of depression (synaptic plasticity, neurogenesis, and the monoamine hypothesis)."
2023 Oct 27,Science advances,Sci Adv. 2023 Oct 27;9(43):eadh3273. doi: 10.1126/sciadv.adh3273. Epub 2023 Oct ,"['Agramunt, Julià', 'Parke, Brenna', 'Mena, Sergio', 'Ubels, Victor', 'Jimenez, Francisco', 'Williams, Greg', 'Rhodes, Anna Dy', 'Limbu, Summik', 'Hexter, Melissa', 'Knight, Leigh', 'Hashemi, Parastoo', 'Kozlov, Andriy S', 'Higgins, Claire A']","['humans', ' hair follicle', ' hair', 'skin', 'sensory receptor cells']",Mechanical stimulation of human hair follicle outer root sheath cultures activates adjacent sensory neurons.,"Mechanical stimuli, such as stroking or pressing on the skin, activate mechanoreceptors transmitting information to the sensory nervous system and brain. It is well accepted that deflection of the hair fiber that occurs with a light breeze or touch directly activates the sensory neurons surrounding the hair follicle, facilitating transmission of mechanical information. Here, we hypothesized that hair follicle outer root sheath cells act as transducers of mechanical stimuli to sensory neurons surrounding the hair follicle. Using electrochemical analysis on human hair follicle preparations in vitro, we were able to show that outer root sheath cells release ATP and the neurotransmitters serotonin and histamine in response to mechanical stimulation. Using calcium imaging combined with pharmacology in a coculture of outer root sheath cells with sensory neurons, we found that the release of these three molecules from hair follicle cells leads to activation of sensory neurons."
2023 Jun,Skin health and disease,Skin Health Dis. 2022 Nov 25;3(3):e194. doi: 10.1002/ski2.194. eCollection 2023 ,"['Forneris Crego, Ana L', 'Therianou, Anastasia', 'Hashemi, Parastoo', 'Higgins, Claire A']",[],A catena between psychiatric disorders and non-scarring alopecias-A systematic review.,"For many years, clinical observations have suggested that there is an intrinsic connection between psychological state and skin diseases. Stress responses are typically mediated by several hormones, which are modulated via the hypothalamic-pituitary-adrenal axis. This typical stress response is not only one theory for psychiatry disorder pathophysiology, but it also modifies hair growth by altering the skin's inflammatory environment. Given that different forms of hair loss, such as androgenetic alopecia, alopecia areata, or telogen effluvium, and hair follicle cycling can be altered by immune cells within the follicle milieu, we hypothesized that specific forms of hair loss are correlated to psychiatric illnesses. To address this, we conducted a systematic review by searches in April and May 2021 through Ovid MEDLINE and PUBMED (ranging from 1951 to the present day), identifying 179 reports. A further 24 reports were identified through website and citation searches giving a total of 201 reports. After applying exclusion criteria, 21 papers were reviewed, and 17 were included for data analysis. It is undeniable that hair loss greatly affects Health-related Quality of Life (HrQol) and it is heavily associated with major depressive disorder and anxiety. The correlation between hair loss and mental health disorders was significant, however, due to the low number of publications with quantitative data we were not able to identify correlations between each hair loss type with each psychiatric disorder. Further studies to better connect specific hair loss diseases to specific disorders are therefore critical in bettering the way both psychiatric disease, and hair loss, are managed."
2023 Apr 19,ACS measurement science au,ACS Meas Sci Au. 2023 Jan 11;3(2):120-126. doi: 10.1021/acsmeasuresciau.2c00059. ,"['Hexter, Melissa', 'van Batenburg-Sherwood, Joseph', 'Hashemi, Parastoo']",[],Novel Experimental and Analysis Strategies for Fast Voltammetry: 2. A Troubleshoot-Free Flow Cell for FSCV Calibrations.,"Fast scan cyclic voltammetry (FSCV) at carbon fiber microelectrodes (CFMs) is a method traditionally used for real-time quantification of neurotransmitters in biological systems. Reliable calibration of CFMs is essential for converting FSCV signals to analyte concentrations and generally employs flow injection analysis (FIA) performed with flow cells fabricated in-house. Such FSCV FIA cells often require significant and ongoing troubleshooting with pulsing, leaking, flow inconsistencies and dead volume being major causes of common challenges. In this work, we address these issues by creating a robust, plug-and-play FSCV flow cell. This novel design permits reproducible, high-precision, and stable flow injection profiles using low-cost materials to improve FSCV calibration. The ready-to-print computer-aided designs and hardware list are provided."
2023 Mar 28,Research square,Res Sq [Preprint]. 2023 Mar 28:rs.3.rs-2741902. doi: 10.21203/rs.3.rs-2741902/v1.,"['Witt, Colby E', 'Mena, Sergio', 'Holmes, Jordan', 'Hersey, Melinda', 'Buchanan, Anna Marie', 'Parke, Brenna', 'Saylor, Rachel', 'Honan, Lauren E', 'Berger, Shane N', 'Lumbreras, Sara', 'Nijhout, Frederik H', 'Reed, Michael C', 'Best, Janet', 'Fadel, James', 'Schloss, Patrick', 'Lau, Thorsten', 'Hashemi, Parastoo']","['nris', 'ssris', 'depression', 'ketamine', 'monoamine hypothesis', 'neurogenesis', 'voltammetry']",Serotonin is a Common Thread Linking Different Classes of Antidepressants.,"Depression pathology remains elusive. The monoamine hypothesis has placed much focus on serotonin, but due to the variable clinical efficacy of monoamine reuptake inhibitors, the community is looking for alternative therapies such as ketamine (synaptic plasticity and neurogenesis theory of antidepressant action). There is evidence that different classes of antidepressants may affect serotonin levels; a notion we test here. We measure hippocampal serotonin in mice with voltammetry and study the effects of acute challenges of antidepressants. We find that pseudo-equivalent doses of these drugs similarly raise ambient serotonin levels, despite their differing pharmacodynamics because of differences in Uptake 1 and 2, rapid SERT trafficking and modulation of serotonin by histamine. These antidepressants have different pharmacodynamics but have strikingly similar effects on extracellular serotonin. Our findings suggest that serotonin is a common thread that links clinically effective antidepressants, synergizing different theories of depression (synaptic plasticity, neurogenesis and the monoamine hypothesis)."
2022 Nov 28,International journal of molecular sciences,Int J Mol Sci. 2022 Nov 28;23(23):14862. doi: 10.3390/ijms232314862.,"['Berger, Shane N', 'Baumberger, Beatrice', 'Samaranayake, Srimal', 'Hersey, Melinda', 'Mena, Sergio', 'Bain, Ian', 'Duncan, William', 'Reed, Michael C', 'Nijhout, H Frederik', 'Best, Janet', 'Hashemi, Parastoo']","['female', 'animals', 'male', 'mice', ' histamine metabolism', 'serotonin metabolism', ' receptors, histamine h3 metabolism', 'histamine agonists pharmacology metabolism', 'histamine antagonists pharmacology metabolism', 'brain metabolism', 'fscv', 'inflammation', 'sex differences', 'thioperamide', 'voltammetry']",An In Vivo Definition of Brain Histamine Dynamics Reveals Critical Neuromodulatory Roles for This Elusive Messenger.,"Histamine is well known for mediating peripheral inflammation; however, this amine is also found in high concentrations in the brain where its roles are much less known. In vivo chemical dynamics are difficult to measure, thus fundamental aspects of histamine's neurochemistry remain undefined. In this work, we undertake the first in-depth characterization of real time in vivo histamine dynamics using fast electrochemical tools. We find that histamine release is sensitive to pharmacological manipulation at the level of synthesis, packaging, autoreceptors and metabolism. We find two breakthrough aspects of histamine modulation. First, differences in H3 receptor regulation between sexes show that histamine release in female mice is much more tightly regulated than in male mice under H3 or inflammatory drug challenge. We hypothesize that this finding may contribute to hormone-mediated neuroprotection mechanisms in female mice. Second, a high dose of a commonly available antihistamine, the H1 receptor inverse agonist diphenhydramine, rapidly decreases serotonin levels. This finding highlights the sheer significance of pharmaceuticals on neuromodulation. Our study opens the path to better understanding and treating histamine related disorders of the brain (such as neuroinflammation), emphasizing that sex and modulation (of serotonin) are critical factors to consider when studying/designing new histamine targeting therapeutics."
2022 Jun 27,Journal of neuroinflammation,J Neuroinflammation. 2022 Jun 27;19(1):167. doi: 10.1186/s12974-022-02508-9.,"['Hersey, Melinda', 'Reneaux, Melissa', 'Berger, Shane N', 'Mena, Sergio', 'Buchanan, Anna Marie', 'Ou, Yangguang', 'Tavakoli, Navid', 'Reagan, Lawrence P', 'Clopath, Claudia', 'Hashemi, Parastoo']","['animals', 'biomarkers', 'female', ' histamine', 'inflammation', 'male', 'mice', 'mice, inbred c57bl', ' serotonin', 'biomarkers', 'depression', 'histamine', 'inflammation', 'serotonin', 'stress']",A tale of two transmitters: serotonin and histamine as in vivo biomarkers of chronic stress in mice.,"BACKGROUND: Stress-induced mental illnesses (mediated by neuroinflammation) pose one of the world's most urgent public health challenges. A reliable in vivo chemical biomarker of stress would significantly improve the clinical communities' diagnostic and therapeutic approaches to illnesses, such as depression. METHODS: Male and female C57BL/6J mice underwent a chronic stress paradigm. We paired innovative in vivo serotonin and histamine voltammetric measurement technologies, behavioral testing, and cutting-edge mathematical methods to correlate chemistry to stress and behavior. RESULTS: Inflammation-induced increases in hypothalamic histamine were co-measured with decreased in vivo extracellular hippocampal serotonin in mice that underwent a chronic stress paradigm, regardless of behavioral phenotype. In animals with depression phenotypes, correlations were found between serotonin and the extent of behavioral indices of depression. We created a high accuracy algorithm that could predict whether animals had been exposed to stress or not based solely on the serotonin measurement. We next developed a model of serotonin and histamine modulation, which predicted that stress-induced neuroinflammation increases histaminergic activity, serving to inhibit serotonin. Finally, we created a mathematical index of stress, S(i) and predicted that during chronic stress, where S(i) is high, simultaneously increasing serotonin and decreasing histamine is the most effective chemical strategy to restoring serotonin to pre-stress levels. When we pursued this idea pharmacologically, our experiments were nearly identical to the model's predictions. CONCLUSIONS: This work shines the light on two biomarkers of chronic stress, histamine and serotonin, and implies that both may be important in our future investigations of the pathology and treatment of inflammation-induced depression."
2022 Jun 15,ACS measurement science au,ACS Meas Sci Au. 2022 Jun 15;2(3):241-250. doi: 10.1021/acsmeasuresciau.1c00060. ,"['Mena, Sergio', 'Visentin, Marco', 'Witt, Colby E', 'Honan, Lauren E', 'Robins, Nathan', 'Hashemi, Parastoo']",[],"Novel, User-Friendly Experimental and Analysis Strategies for Fast Voltammetry: Next Generation FSCAV with Artificial Neural Networks.","Fast-scan adsorption-controlled voltammetry (FSCAV) was recently derived from fast-scan cyclic voltammetry to estimate the absolute concentrations of neurotransmitters by using the innate adsorption properties of carbon fiber microelectrodes. This technique has improved our knowledge of serotonin dynamics in vivo. However, the analysis of FSCAV data is laborious and technically challenging. First, each electrode requires post-experimental in vitro calibration. Second, current analysis methods are semi-manual and time-consuming and require a steep learning curve. Finally, the calibration methods used do not adapt to nonlinear electrode responses. In this work, we provide freely accessible computational solutions to these issues. First, we design an artificial neural network (ANN) and train it with a large data set (calibrations from 140 electrodes by six different researchers) to achieve calibration-free estimations and improve predictive error. We discuss the power of the ANN to obtain a low predictive error without electrode-specific calibrations as a function of being able to predict the sensitivity of the electrode. We use the ANN to successfully predict the absolute serotonin concentrations of real in vivo data. Finally, we create a fast and user-friendly, fully automated analysis web platform to simplify and reduce the expertise required for the postanalysis of FSCAV signals."
