time,journal,doi_info,authors,key words,title,abstract
2024 May,JID innovations : skin science from molecules to population health,JID Innov. 2024 Feb 28;4(3):100269. doi: 10.1016/j.xjidi.2024.100269. eCollection ,"['Lee, Jamie', 'Mannan, Ahmad A', 'Miyano, Takuya', 'Irvine, Alan D', 'Tanaka, Reiko J']","['atopic dermatitis', 'mathematical modelling', 'microbial interactions', 'skin damage']",In Silico Elucidation of Key Drivers of Staphyloccocus aureus-Staphyloccocus epidermidis-Induced Skin Damage in Atopic Dermatitis Lesions.,"Staphylococcus aureus (SA) colonizes and can damage skin in atopic dermatitis lesions, despite being commonly found with Staphylococcus epidermidis (SE), a commensal that can inhibit SA's virulence and kill SA. In this study, we developed an in silico model, termed a virtual skin site, describing the dynamic interplay between SA, SE, and the skin barrier in atopic dermatitis lesions to investigate the mechanisms driving skin damage by SA and SE. We generated 10(6) virtual skin sites by varying model parameters to represent different skin physiologies and bacterial properties. In silico analysis revealed that virtual skin sites with no skin damage in the model were characterized by parameters representing stronger SA and SE growth attenuation than those with skin damage. This inspired an in silico treatment strategy combining SA-killing with an enhanced SA-SE growth attenuation, which was found through simulations to recover many more damaged virtual skin sites to a non-damaged state, compared with SA-killing alone. This study demonstrates that in silico modelling can help elucidate the key factors driving skin damage caused by SA-SE colonization in atopic dermatitis lesions and help propose strategies to control it, which we envision will contribute to the design of promising treatments for clinical studies."
2024 May,PLoS computational biology,PLoS Comput Biol. 2024 May 16;20(5):e1012105. doi: 10.1371/journal.pcbi.1012105. ,"['Hameed, Tara', 'Motsi, Natasha', 'Bignell, Elaine', 'Tanaka, Reiko J']","[' aspergillus fumigatus growth & development', ' models, biological', 'computational biology methods']",Inferring fungal growth rates from optical density data.,"Quantifying fungal growth underpins our ability to effectively treat severe fungal infections. Current methods quantify fungal growth rates from time-course morphology-specific data, such as hyphal length data. However, automated large-scale collection of such data lies beyond the scope of most clinical microbiology laboratories. In this paper, we propose a mathematical model of fungal growth to estimate morphology-specific growth rates from easy-to-collect, but indirect, optical density (OD600) data of Aspergillus fumigatus growth (filamentous fungus). Our method accounts for OD600 being an indirect measure by explicitly including the relationship between the indirect OD600 measurements and the calibrating true fungal growth in the model. Therefore, the method does not require de novo generation of calibration data. Our model outperformed reference models at fitting to and predicting OD600 growth curves and overcame observed discrepancies between morphology-specific rates inferred from OD600 versus directly measured data in reference models that did not include calibration."
2024 May 15,Nature communications,Nat Commun. 2024 May 15;15(1):4062. doi: 10.1038/s41467-024-48226-z.,"['Fukuda, Keitaro', 'Ito, Yoshihiro', 'Furuichi, Yuki', 'Matsui, Takeshi', 'Horikawa, Hiroto', 'Miyano, Takuya', 'Okada, Takaharu', 'van Logtestijn, Mark', 'Tanaka, Reiko J', 'Miyawaki, Atsushi', 'Amagai, Masayuki']","['hydrogen-ion concentration', ' homeostasis', 'animals', ' keratinocytes metabolism', ' epidermis metabolism', 'skin metabolism', 'mice', 'humans', 'cell differentiation', 'tight junctions metabolism', 'male', 'female', 'mice, inbred c57bl']",Three stepwise pH progressions in stratum corneum for homeostatic maintenance of the skin.,"The stratum corneum is the outermost skin layer with a vital role in skin barrier function. It is comprised of dead keratinocytes (corneocytes) and is known to maintain its thickness by shedding cells, although, the precise mechanisms that safeguard stratum corneum maturation and homeostasis remain unclear. Previous ex vivo studies have suggested a neutral-to-acidic pH gradient in the stratum corneum. Here, we use intravital pH imaging at single-corneocyte resolution to demonstrate that corneocytes actually undergo differentiation to develop three distinct zones in the stratum corneum, each with a distinct pH value. We identified a moderately acidic lower, an acidic middle, and a pH-neutral upper layer in the stratum corneum, with tight junctions playing a key role in their development. The upper pH neutral zone can adjust its pH according to the external environment and has a neutral pH under steady-state conditions owing to the influence of skin microbiota. The middle acidic pH zone provides a defensive barrier against pathogens. With mathematical modeling, we demonstrate the controlled protease activation of kallikrein-related peptidases on the stratum corneum surface that results in proper corneocyte shedding in desquamation. This work adds crucial information to our understanding of how stratum corneum homeostasis is maintained."
2024 Jan,JID innovations : skin science from molecules to population health,JID Innov. 2023 Sep 22;4(1):100236. doi: 10.1016/j.xjidi.2023.100236. eCollection ,"['Wongvibulsin, Shannon', 'Sangers, Tobias', 'Clibborn, Claire', 'Li, Yu-Chuan Jack', 'Sharma, Nikhil', 'Common, John E A', 'Reynolds, Nick J', 'Tanaka, Reiko J']",[],A Report and Proposals for Future Activity from the Inaugural Artificial Intelligence in Dermatology Symposium Held at the International Societies for Investigative Dermatology 2023 Meeting.,
2024 Mar,Clinical and experimental allergy : journal of the British Society for Allergy ,Clin Exp Allergy. 2024 Mar;54(3):207-215. doi: 10.1111/cea.14441. Epub 2024 Jan ,"['Duverdier, Ariane', 'Hurault, Guillem', 'Thomas, Kim S', 'Custovic, Adnan', 'Tanaka, Reiko J']","['humans', 'patient reported outcome measures', ' dermatitis, atopic diagnosis', 'pruritus diagnosis etiology', 'crying', ' eczema diagnosis', 'severity of illness index', 'quality of life', 'poem', 'atopic dermatitis', 'measurement error', 'recall bias', 'recall noise']",Evaluation of measurement errors in the Patient-Oriented Eczema Measure (POEM) outcome.,"BACKGROUND: The Patient-Oriented Eczema Measure (POEM) is the recommended core outcome instrument for atopic dermatitis (AD) symptoms. POEM is reported by recalling the presence/absence of seven symptoms in the last 7 days. OBJECTIVE: To evaluate measurement errors in POEM recordings due to imperfect recall. METHODS: Using data from a clinical trial of 247 AD patients aged 12-65 years, we analysed the reported POEM score (r-POEM) and the POEM derived from the corresponding daily scores for the same seven symptoms without weekly recall (d-POEM). We quantified recall error by comparing the r-POEM and d-POEM for 777 patient-weeks collected from 207 patients, and estimated two components of recall error: (1) recall bias due to systematic errors in measurements and (2) recall noise due to random errors in measurements, using a bespoke statistical model. RESULTS: POEM scores have a relatively low recall bias, but a high recall noise. Recall bias was estimated at 1.2 points lower for the r-POEM on average than the d-POEM, with a recall noise of 5.7 points. For example, a patient with a recall-free POEM of 11 (moderate) could report their POEM score anywhere from 5 to 14 (with 95% probability) because of recall error. Model estimates suggested that patients tend to recall itch and dryness more often than experienced (positive bias of less than 1 day), but less often for the other symptoms (bleeding, cracking, flaking, oozing/weeping and sleep disturbance; negative bias ranging 1-4 days). CONCLUSIONS: In this clinical trial data set, we found that patients tended to slightly underestimate their symptoms when reporting POEM, with significant variation in how well they were able to recall the frequency of their symptoms every time they reported POEM. A large recall noise should be taken into consideration when interpreting POEM scores."
2024 Feb,Clinical and experimental allergy : journal of the British Society for Allergy ,Clin Exp Allergy. 2024 Feb;54(2):109-119. doi: 10.1111/cea.14425. Epub 2023 Nov ,"['Tian, Kunyuan', 'Dangarh, Prakrati', 'Zhang, Haina', 'Hines, Christian L', 'Bush, Andrew', 'Pybus, Hannah J', 'Harker, James A', 'Lloyd, Clare M', 'Tanaka, Reiko J', 'Saglani, Sejal']","['humans', 'child, preschool', 'animals', 'mice', 'infant, newborn', ' respiratory syncytial virus infections complications', 'interleukin-13', 'disease models, animal', 'interleukin-5', 'lung', ' asthma etiology', ' eosinophilia etiology', 'mice, inbred balb c', 'in silico modelling', 'neonatal murine model', 'pre-school wheeze', 'recurrent viral infections', 'respiratory syncytial virus']",Role of epithelial barrier function in inducing type 2 immunity following early-life viral infection.,"BACKGROUND: Preschool wheeze attacks triggered by recurrent viral infections, including respiratory syncytial virus (RSV), are associated with an increased risk of childhood asthma. However, mechanisms that lead to asthma following early-life viral wheezing remain uncertain. METHODS: To investigate a causal relationship between early-life RSV infections and onset of type 2 immunity, we developed a neonatal murine model of recurrent RSV infection, in vivo and in silico, and evaluated the dynamical changes of altered airway barrier function and downstream immune responses, including eosinophilia, mucus secretion and type 2 immunity. RESULTS: RSV infection of neonatal BALB/c mice at 5 and 15 days of age induced robust airway eosinophilia, increased pulmonary CD4(+) IL-13(+) and CD4(+) IL-5(+) cells, elevated levels of IL-13 and IL-5 and increased airway mucus at 20 days of age. Increased bronchoalveolar lavage albumin levels, suggesting epithelial barrier damage, were present and persisted following the second RSV infection. Computational in silico simulations demonstrated that recurrent RSV infection resulted in severe damage of the airway barrier (epithelium), triggering the onset of type 2 immunity. The in silico results also demonstrated that recurrent infection is not always necessary for the development of type 2 immunity, which could also be triggered with single infection of high viral load or when the epithelial barrier repair is compromised. CONCLUSIONS: The neonatal murine model demonstrated that recurrent RSV infection in early life alters airway barrier function and promotes type 2 immunity. A causal relationship between airway barrier function and type 2 immunity was suggested using in silico model simulations."
2023 Sep,JID innovations : skin science from molecules to population health,JID Innov. 2023 Jul 18;3(5):100213. doi: 10.1016/j.xjidi.2023.100213. eCollection ,"['Attar, Rahman', 'Hurault, Guillem', 'Wang, Zihao', 'Mokhtari, Ricardo', 'Pan, Kevin', 'Olabi, Bayanne', 'Earp, Eleanor', 'Steele, Lloyd', 'Williams, Hywel C', 'Tanaka, Reiko J']",[],Reliable Detection of Eczema Areas for Fully Automated Assessment of Eczema Severity from Digital Camera Images.,"Assessing the severity of eczema in clinical research requires face-to-face skin examination by trained staff. Such approaches are resource-intensive for participants and staff, challenging during pandemics, and prone to inter- and intra-observer variation. Computer vision algorithms have been proposed to automate the assessment of eczema severity using digital camera images. However, they often require human intervention to detect eczema lesions and cannot automatically assess eczema severity from real-world images in an end-to-end pipeline. We developed a model to detect eczema lesions from images using data augmentation and pixel-level segmentation of eczema lesions on 1,345 images provided by dermatologists. We evaluated the quality of the obtained segmentation compared with that of the clinicians, the robustness to varying imaging conditions encountered in real-life images, such as lighting, focus, and blur, and the performance of downstream severity prediction when using the detected eczema lesions. The quality and robustness of eczema lesion detection increased by approximately 25% and 40%, respectively, compared with that of our previous eczema detection model. The performance of the downstream severity prediction remained unchanged. Use of skin segmentation as an alternative to eczema segmentation that requires specialist labeling showed the performance on par with when eczema segmentation is used."
2023 Apr,Journal of the European Academy of Dermatology and Venereology : JEADV,J Eur Acad Dermatol Venereol. 2023 Apr;37(4):657-665. doi: 10.1111/jdv.18814. ,"['Steele, Lloyd', 'Tan, Xiang Li', 'Olabi, Bayanne', 'Gao, Jing Mia', 'Tanaka, Reiko J', 'Williams, Hywel C']","['humans', ' skin neoplasms pathology', ' carcinoma, basal cell pathology', ' melanoma diagnosis pathology', 'skin pathology', ' carcinoma, squamous cell pathology']",Determining the clinical applicability of machine learning models through assessment of reporting across skin phototypes and rarer skin cancer types: A systematic review.,"Machine learning (ML) models for skin cancer recognition may have variable performance across different skin phototypes and skin cancer types. Overall performance metrics alone are insufficient to detect poor subgroup performance. We aimed (1) to assess whether studies of ML models reported results separately for different skin phototypes and rarer skin cancers, and (2) to graphically represent the skin cancer training datasets used by current ML models. In this systematic review, we searched PubMed, Embase and CENTRAL. We included all studies in medical journals assessing an ML technique for skin cancer diagnosis that used clinical or dermoscopic images from 1 January 2012 to 22 September 2021. No language restrictions were applied. We considered rarer skin cancers to be skin cancers other than pigmented melanoma, basal cell carcinoma and squamous cell carcinoma. We identified 114 studies for inclusion. Rarer skin cancers were included by 8/114 studies (7.0%), and results for a rarer skin cancer were reported separately in 1/114 studies (0.9%). Performance was reported across all skin phototypes in 1/114 studies (0.9%), but performance was uncertain in skin phototypes I and VI from minimal representation of the skin phototypes in the test dataset (9/3756 and 1/3756, respectively). For training datasets, although public datasets were most frequently used, with the most widely used being the International Skin Imaging Collaboration (ISIC) archive (65/114 studies, 57.0%), the largest datasets were private. Our review identified that most ML models did not report performance separately for rarer skin cancers and different skin phototypes. A degree of variability in ML model performance across subgroups is expected, but the current lack of transparency is not justifiable and risks models being used inappropriately in populations in whom accuracy is low."
2022 Sep,JID innovations : skin science from molecules to population health,JID Innov. 2022 May 23;2(5):100133. doi: 10.1016/j.xjidi.2022.100133. eCollection ,"['Hurault, Guillem', 'Pan, Kevin', 'Mokhtari, Ricardo', 'Olabi, Bayanne', 'Earp, Eleanor', 'Steele, Lloyd', 'Williams, Hywel C', 'Tanaka, Reiko J']","['ad, atopic dermatitis', 'icc, intraclass correlation coefficient', 'irr, inter-rater reliability', 'ka, krippendorff’s alpha', 'ml, machine learning']",Detecting Eczema Areas in Digital Images: An Impossible Task?,"Assessing the severity of atopic dermatitis (AD, or eczema) traditionally relies on a face-to-face assessment by healthcare professionals and may suffer from inter- and intra-rater variability. With the expanding role of telemedicine, several machine learning algorithms have been proposed to automatically assess AD severity from digital images. Those algorithms usually detect and then delineate (segment) AD lesions before assessing lesional severity and are trained using the data of AD areas detected by healthcare professionals. To evaluate the reliability of such data, we estimated the inter-rater reliability of AD segmentation in digital images. Four dermatologists independently segmented AD lesions in 80 digital images collected in a published clinical trial. We estimated the inter-rater reliability of the AD segmentation using the intraclass correlation coefficient at the pixel and the area levels for different resolutions of the images. The average intraclass correlation coefficient was 0.45 ( standard error = 0.04 ) corresponding to a poor agreement between raters, whereas the degree of agreement for AD segmentation varied from image to image. The AD segmentation in digital images is highly rater dependent even among dermatologists. Such limitations need to be taken into consideration when AD segmentation data are used to train machine learning algorithms that assess eczema severity."
2022,Communications medicine,Commun Med (Lond). 2022 Jul 6;2:78. doi: 10.1038/s43856-022-00146-z. eCollection ,"['Wong, Nathan C K', 'Meshkinfamfard, Sepehr', 'Turbé, Valérian', 'Whitaker, Matthew', 'Moshe, Maya', 'Bardanzellu, Alessia', 'Dai, Tianhong', 'Pignatelli, Eduardo', 'Barclay, Wendy', 'Darzi, Ara', 'Elliott, Paul', 'Ward, Helen', 'Tanaka, Reiko J', 'Cooke, Graham S', 'McKendry, Rachel A', 'Atchison, Christina J', 'Bharath, Anil A']","['databases', 'public health']",Machine learning to support visual auditing of home-based lateral flow immunoassay self-test results for SARS-CoV-2 antibodies.,"BACKGROUND: Lateral flow immunoassays (LFIAs) are being used worldwide for COVID-19 mass testing and antibody prevalence studies. Relatively simple to use and low cost, these tests can be self-administered at home, but rely on subjective interpretation of a test line by eye, risking false positives and false negatives. Here, we report on the development of ALFA (Automated Lateral Flow Analysis) to improve reported sensitivity and specificity. METHODS: Our computational pipeline uses machine learning, computer vision techniques and signal processing algorithms to analyse images of the Fortress LFIA SARS-CoV-2 antibody self-test, and subsequently classify results as invalid, IgG negative and IgG positive. A large image library of 595,339 participant-submitted test photographs was created as part of the REACT-2 community SARS-CoV-2 antibody prevalence study in England, UK. Alongside ALFA, we developed an analysis toolkit which could also detect device blood leakage issues. RESULTS: Automated analysis showed substantial agreement with human experts (Cohen's kappa 0.90-0.97) and performed consistently better than study participants, particularly for weak positive IgG results. Specificity (98.7-99.4%) and sensitivity (90.1-97.1%) were high compared with visual interpretation by human experts (ranges due to the varying prevalence of weak positive IgG tests in datasets). CONCLUSIONS: Given the potential for LFIAs to be used at scale in the COVID-19 response (for both antibody and antigen testing), even a small improvement in the accuracy of the algorithms could impact the lives of millions of people by reducing the risk of false-positive and false-negative result read-outs by members of the public. Our findings support the use of machine learning-enabled automated reading of at-home antibody lateral flow tests as a tool for improved accuracy for population-level community surveillance."
