time,journal,doi_info,authors,key words,title,abstract
2024 Jun 26,Nano convergence,Nano Converg. 2024 Jun 26;11(1):24. doi: 10.1186/s40580-024-00430-9.,"['Abdal Dayem, Ahmed', 'Yan, Ellie', 'Do, Minjae', 'Kim, Yoojung', 'Lee, Yeongseo', 'Cho, Ssang-Goo', 'Kim, Deok-Ho']","['biomaterial scaffold', 'extracellular vesicles', 'reactive oxygen species scavenging', 'tissue regeneration', 'mirna delivery']",Engineering extracellular vesicles for ROS scavenging and tissue regeneration.,"Stem cell therapy holds promise for tissue regeneration, yet significant challenges persist. Emerging as a safer and potentially more effective alternative, extracellular vesicles (EVs) derived from stem cells exhibit remarkable abilities to activate critical signaling cascades, thereby facilitating tissue repair. EVs, nano-scale membrane vesicles, mediate intercellular communication by encapsulating a diverse cargo of proteins, lipids, and nucleic acids. Their therapeutic potential lies in delivering cargos, activating signaling pathways, and efficiently mitigating oxidative stress-an essential aspect of overcoming limitations in stem cell-based tissue repair. This review focuses on engineering and applying EVs in tissue regeneration, emphasizing their role in regulating reactive oxygen species (ROS) pathways. Additionally, we explore strategies to enhance EV therapeutic activity, including functionalization and incorporation of antioxidant defense proteins. Understanding these molecular mechanisms is crucial for optimizing EV-based regenerative therapies. Insights into EV and ROS signaling modulation pave the way for targeted and efficient regenerative therapies harnessing the potential of EVs."
2024 Jun 17,Cell death & disease,Cell Death Dis. 2024 Jun 17;15(6):420. doi: 10.1038/s41419-024-06813-4.,"['Wang, Yiyun', 'Qin, Qizhi', 'Wang, Ziyi', 'Negri, Stefano', 'Sono, Takashi', 'Tower, Robert J', 'Li, Zhao', 'Xing, Xin', 'Archer, Mary', 'Thottappillil, Neelima', 'Zhu, Manyu', 'Suarez, Allister', 'Kim, Deok-Ho', 'Harvey, Tyler', 'Fan, Chen-Ming', 'James, Aaron W']","['animals', 'mice', ' homeodomain proteins metabolism genetics', ' osteogenesis genetics', ' skull metabolism', ' cell differentiation', 'osteoblasts metabolism cytology', 'cranial sutures metabolism', 'stem cells metabolism cytology', 'biomarkers metabolism']",The Mohawk homeobox gene represents a marker and osteo-inhibitory factor in calvarial suture osteoprogenitor cells.,"The regeneration of the mammalian skeleton's craniofacial bones necessitates the action of intrinsic and extrinsic inductive factors from multiple cell types, which function hierarchically and temporally to control the differentiation of osteogenic progenitors. Single-cell transcriptomics of developing mouse calvarial suture recently identified a suture mesenchymal progenitor population with previously unappreciated tendon- or ligament-associated gene expression profile. Here, we developed a Mohawk homeobox (Mkx(CG); R26R(tdT)) reporter mouse and demonstrated that this reporter identifies an adult calvarial suture resident cell population that gives rise to calvarial osteoblasts and osteocytes during homeostatic conditions. Single-cell RNA sequencing (scRNA-Seq) data reveal that Mkx(+) suture cells display a progenitor-like phenotype with expression of teno-ligamentous genes. Bone injury with Mkx(+) cell ablation showed delayed bone healing. Remarkably, Mkx gene played a critical role as an osteo-inhibitory factor in calvarial suture cells, as knockdown or knockout resulted in increased osteogenic differentiation. Localized deletion of Mkx in vivo also resulted in robustly increased calvarial defect repair. We further showed that mechanical stretch dynamically regulates Mkx expression, in turn regulating calvarial cell osteogenesis. Together, we define Mkx(+) cells within the suture mesenchyme as a progenitor population for adult craniofacial bone repair, and Mkx acts as a mechanoresponsive gene to prevent osteogenic differentiation within the stem cell niche."
2024 May 24,ACS sensors,ACS Sens. 2024 May 24;9(5):2334-2345. doi: 10.1021/acssensors.3c02165. Epub 2024 ,"['Rezaei, Zahra', 'Navarro Torres, Andrea', 'Ge, David', 'Wang, Ting', 'Méndez Terán, Eloísa Carolina', 'García Vera, Stefany Elizabeth', 'Bassous, Nicole Joy', 'Soria, Oscar Yael Perez', 'Ávila Ramírez, Alan Eduardo', 'Flores Campos, Luis Mario', 'Azuela Rosas, Diego Arnoldo', 'Hassan, Shabir', 'Khorsandi, Danial', 'Jucaud, Vadim', 'Hussain, Mohammad Asif', 'Khateeb, Abdulhameed', 'Zhang, Yu Shrike', 'Lee, HeaYeon', 'Kim, Deok-Ho', 'Khademhosseini, Ali', 'Dokmeci, Mehmet Remzi', 'Shin, Su Ryon']","[' osteogenesis', 'humans', ' biosensing techniques methods instrumentation', ' electrochemical techniques methods instrumentation', ' lab-on-a-chip devices', 'osteopontin analysis metabolism', 'mesenchymal stem cells cytology', 'immunoassay methods instrumentation', 'bioreactor', 'electrochemical impedance spectroscopy', 'human mesenchymal stem cells', 'osteogenesis', 'osteopontin', 'reusable biosensor']",Noninvasive and Continuous Monitoring of On-Chip Stem Cell Osteogenesis Using a Reusable Electrochemical Immunobiosensor.,"Noninvasive monitoring of biofabricated tissues during the biomanufacturing process is needed to obtain reproducible, healthy, and functional tissues. Measuring the levels of biomarkers secreted from tissues is a promising strategy to understand the status of tissues during biofabrication. Continuous and real-time information from cultivated tissues enables users to achieve scalable manufacturing. Label-free biosensors are promising candidates for detecting cell secretomes since they can be noninvasive and do not require labor-intensive processes such as cell lysing. Moreover, most conventional monitoring techniques are single-use, conducted at the end of the fabrication process, and, challengingly, are not permissive to in-line and continual detection. To address these challenges, we developed a noninvasive and continual monitoring platform to evaluate the status of cells during the biofabrication process, with a particular focus on monitoring the transient processes that stem cells go through during in vitro differentiation over extended periods. We designed and evaluated a reusable electrochemical immunosensor with the capacity for detecting trace amounts of secreted osteogenic markers, such as osteopontin (OPN). The sensor has a low limit of detection (LOD), high sensitivity, and outstanding selectivity in complex biological media. We used this OPN immunosensor to continuously monitor on-chip osteogenesis of human mesenchymal stem cells (hMSCs) cultured 2D and 3D hydrogel constructs inside a microfluidic bioreactor for more than a month and were able to observe changing levels of OPN secretion during culture. The proposed platform can potentially be adopted for monitoring a variety of biological applications and further developed into a fully automated system for applications in advanced cellular biomanufacturing."
2024 Mar 2,Advanced healthcare materials,Adv Healthc Mater. 2024 Mar 2:e2303180. doi: 10.1002/adhm.202303180.,"['Mulay, Atharva R', 'Hwang, Jihyun', 'Kim, Deok-Ho']","['blood-brain barrier', 'drug development', 'multiorgan-on-a-chip', 'neurological disorders', 'organ-on-a-chip', 'pre-clinical\xa0studies']",Microphysiological Blood-Brain Barrier Systems for Disease Modeling and Drug Development.,"The blood-brain barrier (BBB) is a highly controlled microenvironment that regulates the interactions between cerebral blood and brain tissue. Due to its selectivity, many therapeutics targeting various neurological disorders are not able to penetrate into brain tissue. Pre-clinical studies using animals and other in vitro platforms have not shown the ability to fully replicate the human BBB leading to the failure of a majority of therapeutics in clinical trials. However, recent innovations in vitro and ex vivo modeling called organs-on-chips have shown the potential to create more accurate disease models for improved drug development. These microfluidic platforms induce physiological stressors on cultured cells and are able to generate more physiologically accurate BBBs compared to previous in vitro models. In this review, different approaches to create BBBs-on-chips are explored alongside their application in modeling various neurological disorders and potential therapeutic efficacy. Additionally, organs-on-chips use in BBB drug delivery studies is discussed, and advances in linking brain organs-on-chips onto multiorgan platforms to mimic organ crosstalk are reviewed."
2024 Feb 16,NPJ microgravity,NPJ Microgravity. 2024 Feb 16;10(1):18. doi: 10.1038/s41526-024-00353-z.,"['Ren, Zhanping', 'Ahn, Eun Hyun', 'Do, Minjae', 'Mair, Devin B', 'Monemianesfahani, Amir', 'Lee, Peter H U', 'Kim, Deok-Ho']",[],Simulated microgravity attenuates myogenesis and contractile function of 3D engineered skeletal muscle tissues.,"While the effects of microgravity on inducing skeletal muscle atrophy have been extensively studied, the impacts of microgravity on myogenesis and its mechanisms remain unclear. In this study, we developed a microphysiological system of engineered muscle tissue (EMT) fabricated using a collagen / Matrigel composite hydrogel and murine skeletal myoblasts. This 3D EMT model allows non-invasive quantitative assessment of contractile function. After applying a 7-day differentiation protocol to induce myotube formation, the EMTs clearly exhibited sarcomerogenesis, myofilament formation, and synchronous twitch and tetanic contractions with electrical stimuli. Using this 3D EMT system, we investigated the effects of simulated microgravity at 10(-3 )G on myogenesis and contractile function utilizing a random positioning machine. EMTs cultured for 5 days in simulated microgravity exhibited significantly reduced contractile forces, myofiber size, and differential expression of muscle contractile, myogenesis regulatory, and mitochondrial biogenesis-related proteins. These results indicate simulated microgravity attenuates myogenesis, resulting in impaired muscle function."
2024 Mar,Aging cell,Aging Cell. 2024 Mar;23(3):e14070. doi: 10.1111/acel.14070. Epub 2024 Jan 5.,"['Park, Seungman', 'Laskow, Thomas C', 'Chen, Jingchun', 'Guha, Prasun', 'Dawn, Buddhadeb', 'Kim, Deok-Ho']","['humans', ' lab-on-a-chip devices', ' microphysiological systems', 'geroscience', 'liver', 'age-related changes', 'age-related diseases', 'aging', 'aging phenotypes', 'microphysiological systems']",Microphysiological systems for human aging research.,"Recent advances in microphysiological systems (MPS), also known as organs-on-a-chip (OoC), enable the recapitulation of more complex organ and tissue functions on a smaller scale in vitro. MPS therefore provide the potential to better understand human diseases and physiology. To date, numerous MPS platforms have been developed for various tissues and organs, including the heart, liver, kidney, blood vessels, muscle, and adipose tissue. However, only a few studies have explored using MPS platforms to unravel the effects of aging on human physiology and the pathogenesis of age-related diseases. Age is one of the risk factors for many diseases, and enormous interest has been devoted to aging research. As such, a human MPS aging model could provide a more predictive tool to understand the molecular and cellular mechanisms underlying human aging and age-related diseases. These models can also be used to evaluate preclinical drugs for age-related diseases and translate them into clinical settings. Here, we provide a review on the application of MPS in aging research. First, we offer an overview of the molecular, cellular, and physiological changes with age in several tissues or organs. Next, we discuss previous aging models and the current state of MPS for studying human aging and age-related conditions. Lastly, we address the limitations of current MPS and present future directions on the potential of MPS platforms for human aging research."
2023 Dec,APL bioengineering,APL Bioeng. 2023 Oct 20;7(4):046104. doi: 10.1063/5.0157549. eCollection 2023 ,"['Krajnik, Amanda', 'Nimmer, Erik', 'Brazzo, Joseph A 3rd', 'Biber, John C', 'Drewes, Rhonda', 'Tumenbayar, Bat-Ider', 'Sullivan, Andra', 'Pham, Khanh', 'Krug, Alanna', 'Heo, Yuna', 'Kolega, John', 'Heo, Su-Jin', 'Lee, Kwonmoo', 'Weil, Brian R', 'Kim, Deok-Ho', 'Gupte, Sachin A', 'Bae, Yongho']",[],Survivin regulates intracellular stiffness and extracellular matrix production in vascular smooth muscle cells.,"Vascular dysfunction is a common cause of cardiovascular diseases characterized by the narrowing and stiffening of arteries, such as atherosclerosis, restenosis, and hypertension. Arterial narrowing results from the aberrant proliferation of vascular smooth muscle cells (VSMCs) and their increased synthesis and deposition of extracellular matrix (ECM) proteins. These, in turn, are modulated by arterial stiffness, but the mechanism for this is not fully understood. We found that survivin is an important regulator of stiffness-mediated ECM synthesis and intracellular stiffness in VSMCs. Whole-transcriptome analysis and cell culture experiments showed that survivin expression is upregulated in injured femoral arteries in mice and in human VSMCs cultured on stiff fibronectin-coated hydrogels. Suppressed expression of survivin in human VSMCs significantly decreased the stiffness-mediated expression of ECM components related to arterial stiffening, such as collagen-I, fibronectin, and lysyl oxidase. By contrast, expression of these ECM proteins was rescued by ectopic expression of survivin in human VSMCs cultured on soft hydrogels. Interestingly, atomic force microscopy analysis showed that suppressed or ectopic expression of survivin decreases or increases intracellular stiffness, respectively. Furthermore, we observed that inhibiting Rac and Rho reduces survivin expression, elucidating a mechanical pathway connecting intracellular tension, mediated by Rac and Rho, to survivin induction. Finally, we found that survivin inhibition decreases FAK phosphorylation, indicating that survivin-dependent intracellular tension feeds back to maintain signaling through FAK. These findings suggest a novel mechanism by which survivin potentially modulates arterial stiffness."
2023 Oct 15,Advanced biology,Adv Biol (Weinh). 2023 Oct 15:e2300165. doi: 10.1002/adbi.202300165.,"['Lagowala, Dave A', 'Wally, Arabelis', 'Wilmsen, Kai', 'Kim, Byunggik', 'Yeung-Luk, Bonnie', 'Choi, Jong Seob', 'Swaby, Carter', 'Luk, Matthew', 'Feller, Laine', 'Ghosh, Baishakhi', 'Niedrkofler, Austin', 'Tieng, Ethan', 'Sherman, Ethan', 'Chen, Daniel', 'Upadya, Nisha', 'Zhang, Rachel', 'Kim, Deok-Ho', 'Sidhaye, Venkataramana']","['copd', 'pcls', 'alveolar macrophages', 'cigarette smoke', 'immune cells co-cultures', 'lung epithelium', 'microphysiological systems']",Microphysiological Models of Lung Epithelium-Alveolar Macrophage Co-Cultures to Study Chronic Lung Disease.,"The interactions between immune cells and epithelial cells influence the progression of many respiratory diseases, such as chronic obstructive pulmonary disease (COPD). In vitro models allow for the examination of cells in controlled environments. However, these models lack the complex 3D architecture and vast multicellular interactions between the lung resident cells and infiltrating immune cells that can mediate cellular response to insults. In this study, three complementary microphysiological systems are presented to delineate the effects of cigarette smoke and respiratory disease on the lung epithelium. First, the Transwell system allows the co-culture of pulmonary immune and epithelial cells to evaluate cellular and monolayer phenotypic changes in response to cigarette smoke exposure. Next, the human and mouse precision-cut lung slices system provides a physiologically relevant model to study the effects of chronic insults like cigarette smoke with the dissection of specific interaction of immune cell subtypes within the structurally complex tissue environment. Finally, the lung-on-a-chip model provides an adaptable system for live imaging of polarized epithelial tissues that mimic the in vivo environment of the airways. Using a combination of these models, a complementary approach is provided to better address the intricate mechanisms of lung disease."
2024 Jan,Advanced healthcare materials,Adv Healthc Mater. 2024 Jan;13(2):e2301124. doi: 10.1002/adhm.202301124. Epub ,"['Choi, Jong Seob', 'Doo, Hyun Myung', 'Kim, Byunggik', 'Lee, Su Han', 'Sung, Sang-Keun', 'Go, Gwangjun', 'Suarez, Allister', 'Kim, Yeseul', 'Weon, Byung Mook', 'Choi, Byung-Ok', 'Kim, Hyung Jin', 'Kim, Deok-Ho']","['humans', 'electric impedance', ' levodopa metabolism pharmacology', ' endothelial cells', 'endothelium', ' fluorocarbon polymers', 'endothelial barrier function', 'impedance assays', 'interdigitated electrodes', 'nanopatterned nafion', 'poly (l-dopa)']",NanoIEA: A Nanopatterned Interdigitated Electrode Array-Based Impedance Assay for Real-Time Measurement of Aligned Endothelial Cell Barrier Functions.,"A nanopatterned interdigitated electrode array (nanoIEA)-based impedance assay is developed for quantitative real-time measurement of aligned endothelial cell (EC) barrier functions in vitro. A bioinspired poly(3,4-dihydroxy-L-phenylalanine) (poly (l-DOPA)) coating is applied to improve the human brain EC adhesion onto the Nafion nanopatterned surfaces. It is found that a poly (l-DOPA)-coated Nafion grooved nanopattern makes the human brain ECs orient along the nanopattern direction. Aligned human brain ECs on Nafion nanopatterns exhibit increased expression of genes encoding tight and adherens junction proteins. Aligned human brain ECs also have enhanced impedance and resistance versus unaligned ones. Treatment with a glycogen synthase kinase-3 inhibitor (GSK3i) further increases impedance and resistance, suggesting synergistic effects occur on the cell-cell tightness of in vitro human brain ECs via a combination of anisotropic matrix nanotopography and GSK3i treatment. It is found that this enhanced cell-cell tightness of the combined approach is accompanied by increased expression of claudin protein. These data demonstrate that the proposed nanoIEA assay integrated with poly (l-DOPA)-coated Nafion nanopatterns and interdigitated electrode arrays can make not only biomimetic aligned ECs, but also enable real-time measurement of the enhanced barrier functions of aligned ECs via tighter cell-cell junctions."
2023 Sep 28,Journal of advanced research,J Adv Res. 2023 Sep 28:S2090-1232(23)00290-4. doi: 10.1016/j.jare.2023.09.041.,"['Lee, Soo Bin', 'Abdal Dayem, Ahmed', 'Kmiecik, Sebastian', 'Lim, Kyung Min', 'Seo, Dong Sik', 'Kim, Hyeong-Taek', 'Kumar Biswas, Polash', 'Do, Minjae', 'Kim, Deok-Ho', 'Cho, Ssang-Goo']","['a.i.', 'differentiation', 'fgf-2', 'osteoarthritis', 'peptide immobilization', 'proliferation']","Efficient improvement of the proliferation, differentiation, and anti-arthritic capacity of mesenchymal stem cells by simply culturing on the immobilized FGF2 derived peptide, 44-ERGVVSIKGV-53.","INTRODUCTION: The stem cell microenvironment has been evidenced to robustly affect its biological functions and clinical grade. Natural or synthetic growth factors, especially, are essential for modulating stem cell proliferation, metabolism, and differentiation via the interaction with specific extracellular receptors. Fibroblast growth factor-2 (FGF-2) possesses pleiotropic functions in various tissues and organs. It interacts with the FGF receptor (FGFR) and activates FGFR signaling pathways, which involve numerous biological functions, such as angiogenesis, wound healing, cell proliferation, and differentiation. OBJECTIVES: Here, we aim to explore the molecular functions, mode of action, and therapeutic activity of yet undetermined function, FGF-2-derived peptide, FP2 (44-ERGVVSIKGV-53) in promoting the proliferation, differentiation, and therapeutic application of human Wharton's jelly mesenchymal stem cells (hWJ-MSCs) in comparison to other test peptides, canofin1 (FP1), hexafin2 (FP3), and canofin3 (FP4) with known functions. METHODS: The immobilization of test peptides that are fused with mussel adhesive proteins (MAP) on the culture plate was carried out via EDC/NHS chemistry. Cell Proliferation assay, colony-forming unit, western blotting analysis, gene expression analysis, RNA-Seq. analysis, osteogenic, and chondrogenic differentiation capacity were applied to test the activity of the test peptides. We additionally utilized three-dimensional (3D) structural analysis and artificial intelligence (AI)-based AlphaFold2 and CABS-dock programs for receptor interaction prediction of the peptide receptor. We also verified the in vivo therapeutic capacity of FP2-cultured hWJ-MSCs using an osteoarthritis mice model. RESULTS: Culture of hWJ-MSC onto an FP2-immobilized culture plate showed a significant increase in cell proliferation (n = 3; *p < 0.05, **p < 0.01) and the colony-forming unit (n = 3; *p < 0.05, **p < 0.01) compared with the test peptides. FP2 showed a significantly upregulated phosphorylation of FRS2α and FGFR1 and activated the AKT and ERK signaling pathways (n = 3; *p < 0.05, **p < 0.01, ***p < 0.001). Interestingly, we detected efficient FP2 receptor binding that was predicted using AI-based tools. Treatment with an AKT inhibitor significantly abrogated the FP2-mediated enhancement of cell differentiation (n = 3; *p < 0.05, **p < 0.01, ***p < 0.001). Intra-articular injection of FP2-cultured MSCs significantly mitigated arthritis symptoms in an osteoarthritis mouse model, as shown through the functional tests (n = 10; *p < 0.05, **p < 0.01, ***p < 0.001, ****p < 0.0001), modulation of the expression level of the pro-inflammatory and anti-inflammatory genes, and improved osteochondral regeneration as demonstrated by tissue sections. CONCLUSION: Our study identified the FGF-2-derived peptide FP2 as a promising candidate peptide to improve the therapeutic potential of hWJ-MSCs, especially in bone and cartilage regeneration."
