time,journal,doi_info,authors,key words,title,abstract
2024 Jun,PLoS computational biology,PLoS Comput Biol. 2024 Jun 7;20(6):e1012157. doi: 10.1371/journal.pcbi.1012157. ,"['Ray, Christina M P', 'Yang, Huilin', 'Spangler, Jamie B', 'Mac Gabhann, Feilim']","[' antibodies, bispecific pharmacology immunology chemistry', ' receptors, interleukin-6 antagonists & inhibitors immunology metabolism', 'humans', ' receptors, interleukin-8 metabolism antagonists & inhibitors', 'animals', 'computational biology', 'computer simulation', 'interleukin-6 metabolism immunology', 'mice', 'interleukin-8 metabolism immunology antagonists & inhibitors', 'neoplasms immunology drug therapy']",Mechanistic computational modeling of monospecific and bispecific antibodies targeting interleukin-6/8 receptors.,"The spread of cancer from organ to organ (metastasis) is responsible for the vast majority of cancer deaths; however, most current anti-cancer drugs are designed to arrest or reverse tumor growth without directly addressing disease spread. It was recently discovered that tumor cell-secreted interleukin-6 (IL-6) and interleukin-8 (IL-8) synergize to enhance cancer metastasis in a cell-density dependent manner, and blockade of the IL-6 and IL-8 receptors (IL-6R and IL-8R) with a novel bispecific antibody, BS1, significantly reduced metastatic burden in multiple preclinical mouse models of cancer. Bispecific antibodies (BsAbs), which combine two different antigen-binding sites into one molecule, are a promising modality for drug development due to their enhanced avidity and dual targeting effects. However, while BsAbs have tremendous therapeutic potential, elucidating the mechanisms underlying their binding and inhibition will be critical for maximizing the efficacy of new BsAb treatments. Here, we describe a quantitative, computational model of the BS1 BsAb, exhibiting how modeling multivalent binding provides key insights into antibody affinity and avidity effects and can guide therapeutic design. We present detailed simulations of the monovalent and bivalent binding interactions between different antibody constructs and the IL-6 and IL-8 receptors to establish how antibody properties and system conditions impact the formation of binary (antibody-receptor) and ternary (receptor-antibody-receptor) complexes. Model results demonstrate how the balance of these complex types drives receptor inhibition, providing important and generalizable predictions for effective therapeutic design."
2024 Feb,PLoS computational biology,PLoS Comput Biol. 2024 Feb 7;20(2):e1011798. doi: 10.1371/journal.pcbi.1011798. ,"['Sarabipour, Sarvenaz', 'Kinghorn, Karina', 'Quigley, Kaitlyn M', 'Kovacs-Kasa, Anita', 'Annex, Brian H', 'Bautch, Victoria L', 'Mac Gabhann, Feilim']","['humans', ' vascular endothelial growth factor a metabolism', ' vascular endothelial growth factor receptor-1 metabolism', 'vascular endothelial growth factor receptor-2 metabolism', 'receptors, vascular endothelial growth factor metabolism', 'human umbilical vein endothelial cells metabolism', 'signal transduction', 'phosphorylation', 'neuropilin-1 metabolism']","Trafficking dynamics of VEGFR1, VEGFR2, and NRP1 in human endothelial cells.","The vascular endothelial growth factor (VEGF) family of cytokines are key drivers of blood vessel growth and remodeling. These ligands act via multiple VEGF receptors (VEGFR) and co-receptors such as Neuropilin (NRP) expressed on endothelial cells. These membrane-associated receptors are not solely expressed on the cell surface, they move between the surface and intracellular locations, where they can function differently. The location of the receptor alters its ability to 'see' (access and bind to) its ligands, which regulates receptor activation; location also alters receptor exposure to subcellularly localized phosphatases, which regulates its deactivation. Thus, receptors in different subcellular locations initiate different signaling, both in terms of quantity and quality. Similarly, the local levels of co-expression of other receptors alters competition for ligands. Subcellular localization is controlled by intracellular trafficking processes, which thus control VEGFR activity; therefore, to understand VEGFR activity, we must understand receptor trafficking. Here, for the first time, we simultaneously quantify the trafficking of VEGFR1, VEGFR2, and NRP1 on the same cells-specifically human umbilical vein endothelial cells (HUVECs). We build a computational model describing the expression, interaction, and trafficking of these receptors, and use it to simulate cell culture experiments. We use new quantitative experimental data to parameterize the model, which then provides mechanistic insight into the trafficking and localization of this receptor network. We show that VEGFR2 and NRP1 trafficking is not the same on HUVECs as on non-human ECs; and we show that VEGFR1 trafficking is not the same as VEGFR2 trafficking, but rather is faster in both internalization and recycling. As a consequence, the VEGF receptors are not evenly distributed between the cell surface and intracellular locations, with a very low percentage of VEGFR1 being on the cell surface, and high levels of NRP1 on the cell surface. Our findings have implications both for the sensing of extracellular ligands and for the composition of signaling complexes at the cell surface versus inside the cell."
2023 Dec 19,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Dec 19:2023.12.18.570445. doi: ,"['Ray, Christina Mp', 'Yang, Huilin', 'Spangler, Jamie B', 'Mac Gabhann, Feilim']",[],Mechanistic computational modeling of monospecific and bispecific antibodies targeting interleukin-6/8 receptors.,"The spread of cancer from organ to organ (metastasis) is responsible for the vast majority of cancer deaths; however, most current anti-cancer drugs are designed to arrest or reverse tumor growth without directly addressing disease spread. It was recently discovered that tumor cell-secreted interleukin-6 (IL-6) and interleukin-8 (IL-8) synergize to enhance cancer metastasis in a cell-density dependent manner, and blockade of the IL-6 and IL-8 receptors (IL-6R and IL-8R) with a novel bispecific antibody, BS1, significantly reduced metastatic burden in multiple preclinical mouse models of cancer. Bispecific antibodies (BsAbs), which combine two different antigen-binding sites into one molecule, are a promising modality for drug development due to their enhanced avidity and dual targeting effects. However, while BsAbs have tremendous therapeutic potential, elucidating the mechanisms underlying their binding and inhibition will be critical for maximizing the efficacy of new BsAb treatments. Here, we describe a quantitative, computational model of the BS1 BsAb, exhibiting how modeling multivalent binding provides key insights into antibody affinity and avidity effects and can guide therapeutic design. We present detailed simulations of the monovalent and bivalent binding interactions between different antibody constructs and the IL-6 and IL-8 receptors to establish how antibody properties and system conditions impact the formation of binary (antibody-receptor) and ternary (receptor-antibody-receptor) complexes. Model results demonstrate how the balance of these complex types drives receptor inhibition, providing important and generalizable predictions for effective therapeutic design."
2023,BME frontiers,BME Front. 2023 Sep 20;4:0028. doi: 10.34133/bmef.0028. eCollection 2023.,"['Miller, Michael I', 'Brightman, Andrew O', 'Epstein, Frederick H', 'Grande-Allen, K Jane', 'Green, Jordan J', 'Haase, Eileen', 'Laurencin, Cato T', 'Logsdon, Elizabeth', 'Gabhann, Feilim Mac', 'Ogle, Brenda', 'Wang, Chun', 'Wodicka, George R', 'Winslow, Raimond L']",[],"Erratum to ""BME 2.0: Engineering the Future of Medicine"".",[This corrects the article DOI: 10.34133/bmef.0001.].
2023,BME frontiers,BME Front. 2023 Jan 25;4:0001. doi: 10.34133/bmef.0001. eCollection 2023.,"['Miller, Michael I', 'Brightman, Andrew O', 'Epstein, Frederick H', 'Grande-Allen, K Jane', 'Green, Jordan J', 'Haase, Eileen', 'Laurencin, Cato T', 'Logsdon, Elizabeth', 'Mac Gabhann, Feilim', 'Ogle, Brenda', 'Wang, Chun', 'Wodicka, George R', 'Winslow, Rai']",[],BME 2.0: Engineering the Future of Medicine.,"If the 20th century was the age of mapping and controlling the external world, the 21st century is the biomedical age of mapping and controlling the biological internal world. The biomedical age is bringing new technological breakthroughs for sensing and controlling human biomolecules, cells, tissues, and organs, which underpin new frontiers in the biomedical discovery, data, biomanufacturing, and translational sciences. This article reviews what we believe will be the next wave of biomedical engineering (BME) education in support of the biomedical age, what we have termed BME 2.0. BME 2.0 was announced on October 12 2017 at BMES 49 (https://www.bme.jhu.edu/news-events/news/miller-opens-2017-bmes-annual-meeting-with-vision-for-new-bme-era/). We present several principles upon which we believe the BME 2.0 curriculum should be constructed, and from these principles, we describe what view as the foundations that form the next generations of curricula in support of the BME enterprise. The core principles of BME 2.0 education are (a) educate students bilingually, from day 1, in the languages of modern molecular biology and the analytical modeling of complex biological systems; (b) prepare every student to be a biomedical data scientist; (c) build a unique BME community for discovery and innovation via a vertically integrated and convergent learning environment spanning the university and hospital systems; (d) champion an educational culture of inclusive excellence; and (e) codify in the curriculum ongoing discoveries at the frontiers of the discipline, thus ensuring BME 2.0 as a launchpad for training the future leaders of the biotechnology marketplaces. We envision that the BME 2.0 education is the path for providing every student with the training to lead in this new era of engineering the future of medicine in the 21st century."
2024 Feb,Angiogenesis,Angiogenesis. 2024 Feb;27(1):67-89. doi: 10.1007/s10456-023-09893-6. Epub 2023 ,"['Kinghorn, Karina', 'Gill, Amy', 'Marvin, Allison', 'Li, Renee', 'Quigley, Kaitlyn', 'Singh, Simcha', 'Gore, Michaelanthony T', 'le Noble, Ferdinand', 'Gabhann, Feilim Mac', 'Bautch, Victoria L']","['animals', ' endothelial cells metabolism', ' vascular endothelial growth factor receptor-1 metabolism', 'clathrin metabolism', 'zebrafish metabolism', 'ap1', 'clathrin', 'golgi', 'secretion', 'sflt1', 'vwf']",A defined clathrin-mediated trafficking pathway regulates sFLT1/VEGFR1 secretion from endothelial cells.,"FLT1/VEGFR1 negatively regulates VEGF-A signaling and is required for proper vessel morphogenesis during vascular development and vessel homeostasis. Although a soluble isoform, sFLT1, is often mis-regulated in disease and aging, how sFLT1 is trafficked and secreted from endothelial cells is not well understood. Here we define requirements for constitutive sFLT1 trafficking and secretion in endothelial cells from the Golgi to the plasma membrane, and we show that sFLT1 secretion requires clathrin at or near the Golgi. Perturbations that affect sFLT1 trafficking blunted endothelial cell secretion and promoted intracellular mis-localization in cells and zebrafish embryos. siRNA-mediated depletion of specific trafficking components revealed requirements for RAB27A, VAMP3, and STX3 for post-Golgi vesicle trafficking and sFLT1 secretion, while STX6, ARF1, and AP1 were required at the Golgi. Live-imaging of temporally controlled sFLT1 release from the endoplasmic reticulum showed clathrin-dependent sFLT1 trafficking at the Golgi into secretory vesicles that then trafficked to the plasma membrane. Depletion of STX6 altered vessel sprouting in 3D, suggesting that endothelial cell sFLT1 secretion influences proper vessel sprouting. Thus, specific trafficking components provide a secretory path from the Golgi to the plasma membrane for sFLT1 in endothelial cells that utilizes a specialized clathrin-dependent intermediate, suggesting novel therapeutic targets."
2023 Aug,PLoS computational biology,PLoS Comput Biol. 2023 Aug 17;19(8):e1011390. doi: 10.1371/journal.pcbi.1011390. ,"['Mac Gabhann, Feilim', 'Pitzer, Virginia E', 'Papin, Jason A']","[' computational biology', ' software']",The blossoming of methods and software in computational biology.,
2023 Jan 28,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jan 28:2023.01.27.525517. doi: ,"['Kinghorn, Karina', 'Gill, Amy', 'Marvin, Allison', 'Li, Renee', 'Quigley, Kaitlyn', 'le Noble, Ferdinand', 'Mac Gabhann, Feilim', 'Bautch, Victoria L']",[],A defined clathrin-mediated trafficking pathway regulates sFLT1/VEGFR1 secretion from endothelial cells.,"FLT1/VEGFR1 negatively regulates VEGF-A signaling and is required for proper vessel morphogenesis during vascular development and vessel homeostasis. Although a soluble isoform, sFLT1, is often mis-regulated in disease and aging, how sFLT1 is trafficked and secreted from endothelial cells is not well understood. Here we define requirements for constitutive sFLT1 trafficking and secretion in endothelial cells from the Golgi to the plasma membrane, and we show that sFLT1 secretion requires clathrin at or near the Golgi. Perturbations that affect sFLT1 trafficking blunted endothelial cell secretion and promoted intracellular mis-localization in cells and zebrafish embryos. siRNA-mediated depletion of specific trafficking components revealed requirements for RAB27A, VAMP3, and STX3 for post-Golgi vesicle trafficking and sFLT1 secretion, while STX6, ARF1, and AP1 were required at the Golgi. Depletion of STX6 altered vessel sprouting in a 3D angiogenesis model, indicating that endothelial cell sFLT1 secretion is important for proper vessel sprouting. Thus, specific trafficking components provide a secretory path from the Golgi to the plasma membrane for sFLT1 in endothelial cells that utilizes a specialized clathrin-dependent intermediate, suggesting novel therapeutic targets."
2021,Frontiers in reproductive health,Front Reprod Health. 2021 Dec 20;3:699133. doi: 10.3389/frph.2021.699133. ,"['Mbuguiro, Wangui', 'Gonzalez, Adriana Noemi', 'Mac Gabhann, Feilim']","['biomarker', 'computational', 'endometriosis', 'hormone therapy', 'machine learning', 'mechanism', 'pharmacokinetics', 'systems biology']",Computational Models for Diagnosing and Treating Endometriosis.,"Endometriosis is a common but poorly understood disease. Symptoms can begin early in adolescence, with menarche, and can be debilitating. Despite this, people often suffer several years before being correctly diagnosed and adequately treated. Endometriosis involves the inappropriate growth of endometrial-like tissue (including epithelial cells, stromal fibroblasts, vascular cells, and immune cells) outside of the uterus. Computational models can aid in understanding the mechanisms by which immune, hormone, and vascular disruptions manifest in endometriosis and complicate treatment. In this review, we illustrate how three computational modeling approaches (regression, pharmacokinetics/pharmacodynamics, and quantitative systems pharmacology) have been used to improve the diagnosis and treatment of endometriosis. As we explore these approaches and their differing detail of biological mechanisms, we consider how each approach can answer different questions about endometriosis. We summarize the mathematics involved, and we use published examples of each approach to compare how researchers: (1) shape the scope of each model, (2) incorporate experimental and clinical data, and (3) generate clinically useful predictions and insight. Lastly, we discuss the benefits and limitations of each modeling approach and how we can combine these approaches to further understand, diagnose, and treat endometriosis."
2022 Aug,CPT: pharmacometrics & systems pharmacology,CPT Pharmacometrics Syst Pharmacol. 2022 Aug;11(8):967-990. doi: ,"['Lam, Inez', 'Pilla Reddy, Venkatesh', 'Ball, Kathryn', 'Arends, Rosalinda H', 'Mac Gabhann, Feilim']","['humans', ' immunoconjugates pharmacokinetics', 'models, biological', 'network pharmacology', ' pharmacology']",Development of and insights from systems pharmacology models of antibody-drug conjugates.,"Antibody-drug conjugates (ADCs) have gained traction in the oncology space in the past few decades, with significant progress being made in recent years. Although the use of pharmacometric modeling is well-established in the drug development process, there is an increasing need for a better quantitative biological understanding of the pharmacokinetic and pharmacodynamic relationships of these complex molecules. Quantitative systems pharmacology (QSP) approaches can assist in this endeavor; recent computational QSP models incorporate ADC-specific mechanisms and use data-driven simulations to predict experimental outcomes. Various modeling approaches and platforms have been developed at the in vitro, in vivo, and clinical scales, and can be further integrated to facilitate preclinical to clinical translation. These new tools can help researchers better understand the nature and mechanisms of these targeted therapies to help achieve a more favorable therapeutic window. This review delves into the world of systems pharmacology modeling of ADCs, discussing various modeling efforts in the field thus far."
