time,journal,doi_info,authors,key words,title,abstract
2024 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2024 Feb;12925:129251K. doi: 10.1117/12.3006451. Epub ,"['Sandvold, Olivia F', 'Proksa, Roland', 'Daerr, Heiner', 'Perkins, Amy E', 'Brown, Kevin M', 'Shapira, Nadav', 'Koehler, Thomas', 'Stayman, J Webster', 'Gang, Grace J', 'Manjeshwar, Ravindra M', 'Noël, Peter B']","['ct instrumentation', 'dual-energy ct', 'imaging systems', 'iodine contrast', 'quantitative imaging', 'spectral ct']",Hybrid spectral CT system with clinical rapid kVp-switching x-ray tube and dual-layer detector for improved iodine quantification.,"Spectral computed tomography (CT) is a powerful diagnostic tool offering quantitative material decomposition results that enhance clinical imaging by providing physiologic and functional insights. Iodine, a widely used contrast agent, improves visualization in various clinical contexts. However, accurately detecting low-concentration iodine presents challenges in spectral CT systems, particularly crucial for conditions like pancreatic cancer assessment. In this study, we present preliminary results from our hybrid spectral CT instrumentation which includes clinical-grade hardware (rapid kVp-switching x-ray tube, dual-layer detector). This combination expands spectral datasets from two to four channels, wherein we hypothesize improved quantification accuracy for low-dose and low-iodine concentration cases. We modulate the system duty cycle to evaluate its impact on quantification noise and bias. We evaluate iodine quantification performance by comparing two hybrid weighting strategies alongside rapid kVp-switching. This evaluation is performed with a polyamide phantom containing seven iodine inserts ranging from 0.5 to 20 mg/mL. In comparison to alternative methodologies, the maximum separation configuration, incorporating data from both the 80 kVp, low photon energy detector layer and the 140 kVp, high photon energy detector layer produces spectral images containing low quantitative noise and bias. This study presents initial evaluations on a hybrid spectral CT system, leveraging clinical hardware to demonstrate the potential for enhanced precision and sensitivity in spectral imaging. This research holds promise for advancing spectral CT imaging performance across diverse clinical scenarios."
2024 May,Medical physics,Med Phys. 2024 May;51(5):3265-3274. doi: 10.1002/mp.17064. Epub 2024 Apr 8.,"['Shunhavanich, Picha', 'Mei, Kai', 'Shapira, Nadav', 'Stayman, Joseph Webster', 'McCollough, Cynthia H', 'Gang, Grace', 'Leng, Shuai', 'Geagan, Michael', 'Yu, Lifeng', 'Noël, Peter B', 'Hsieh, Scott S']","[' phantoms, imaging', ' printing, three-dimensional', ' tomography, x-ray computed', 'radiation dosage', 'image processing, computer-assisted methods', 'humans', '3d printed phantoms', 'ct detectability assessment', 'model observer']",3D printed phantom with 12 000 submillimeter lesions to improve efficiency in CT detectability assessment.,"BACKGROUND: The detectability performance of a CT scanner is difficult to precisely quantify when nonlinearities are present in reconstruction. An efficient detectability assessment method that is sensitive to small effects of dose and scanner settings is desirable. We previously proposed a method using a search challenge instrument: a phantom is embedded with hundreds of lesions at random locations, and a model observer is used to detect lesions. Preliminary tests in simulation and a prototype showed promising results. PURPOSE: In this work, we fabricated a full-size search challenge phantom with design updates, including changes to lesion size, contrast, and number, and studied our implementation by comparing the lesion detectability from a nonprewhitening (NPW) model observer between different reconstructions at different exposure levels, and by estimating the instrument sensitivity to detect changes in dose. METHODS: Designed to fit into QRM anthropomorphic phantoms, our search challenge phantom is a cylindrical insert 10 cm wide and 4 cm thick, embedded with 12 000 lesions (nominal width of 0.6 mm, height of 0.8 mm, and contrast of -350 HU), and was fabricated using PixelPrint, a 3D printing technique. The insert was scanned alone at a high dose to assess printing accuracy. To evaluate lesion detectability, the insert was placed in a QRM thorax phantom and scanned from 50 to 625 mAs with increments of 25 mAs, once per exposure level, and the average of all exposure levels was used as high-dose reference. Scans were reconstructed with three different settings: filtered-backprojection (FBP) with Br40 and Br59, and Sinogram Affirmed Iterative Reconstruction (SAFIRE) with strength level 5 and Br59 kernel. An NPW model observer was used to search for lesions, and detection performance of different settings were compared using area under the exponential transform of free response ROC curve (AUC). Using propagation of uncertainty, the sensitivity to changes in dose was estimated by the percent change in exposure due to one standard deviation of AUC, measured from 5 repeat scans at 100, 200, 300, and 400 mAs. RESULTS: The printed insert lesions had an average position error of 0.20 mm compared to printing reference. As the exposure level increases from 50 mAs to 625 mAs, the lesion detectability AUCs increase from 0.38 to 0.92, 0.42 to 0.98, and 0.41 to 0.97 for FBP Br40, FBP Br59, and SAFIRE Br59, respectively, with a lower rate of increase at higher exposure level. FBP Br59 performed best with AUC 0.01 higher than SAFIRE Br59 on average and 0.07 higher than FBP Br40 (all P < 0.001). The standard deviation of AUC was less than 0.006, and the sensitivity to detect changes in mAs was within 2% for FBP Br59. CONCLUSIONS: Our 3D-printed search challenge phantom with 12 000 submillimeter lesions, together with an NPW model observer, provide an efficient CT detectability assessment method that is sensitive to subtle effects in reconstruction and is sensitive to small changes in dose."
2024 May,Medical physics,Med Phys. 2024 May;51(5):3245-3264. doi: 10.1002/mp.17041. Epub 2024 Apr 4.,"['Ma, Yiqun Q', 'Reynolds, Tess', 'Ehtiati, Tina', 'Weiss, Clifford', 'Hong, Kelvin', 'Theodore, Nicholas', 'Gang, Grace J', 'Stayman, J Webster']","[' cone-beam computed tomography instrumentation methods', 'calibration', ' algorithms', 'phantoms, imaging', 'automation', 'humans', 'fiducial markers', 'imaging, three-dimensional methods', 'cbct', 'c‐arm', 'fiducial configuration', 'geometric calibration', 'image quality', 'interventional imaging', 'quality control', 'task‐driven imaging']",Fully automatic online geometric calibration for non-circular cone-beam CT orbits using fiducials with unknown placement.,"BACKGROUND: Cone-beam CT (CBCT) with non-circular scanning orbits can improve image quality for 3D intraoperative image guidance. However, geometric calibration of such scans can be challenging. Existing methods typically require a prior image, specialized phantoms, presumed repeatable orbits, or long computation time. PURPOSE: We propose a novel fully automatic online geometric calibration algorithm that does not require prior knowledge of fiducial configuration. The algorithm is fast, accurate, and can accommodate arbitrary scanning orbits and fiducial configurations. METHODS: The algorithm uses an automatic initialization process to eliminate human intervention in fiducial localization and an iterative refinement process to ensure robustness and accuracy. We provide a detailed explanation and implementation of the proposed algorithm. Physical experiments on a lab test bench and a clinical robotic C-arm scanner were conducted to evaluate spatial resolution performance and robustness under realistic constraints. RESULTS: Qualitative and quantitative results from the physical experiments demonstrate high accuracy, efficiency, and robustness of the proposed method. The spatial resolution performance matched that of our existing benchmark method, which used a 3D-2D registration-based geometric calibration algorithm. CONCLUSIONS: We have demonstrated an automatic online geometric calibration method that delivers high spatial resolution and robustness performance. This methodology enables arbitrary scan trajectories and should facilitate translation of such acquisition methods in a clinical setting."
2023 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2023 Feb;12463:1246315. doi: 10.1117/12.2654449. Epub ,"['Liu, Stephen Z', 'Zhou, Huanyi', 'Osgood, Greg M', 'Demehri, Shadpour', 'Stayman, J Webster', 'Zbijewski, Wojciech']","['bone marrow edema', 'cone-beam ct', 'dual-energy ct', 'model-based reconstruction', 'multi-material decomposition', 'multi-source ct', 'musculoskeletal imaging', 'scatter correction']",Quantitative Dual-Energy Imaging of Bone Marrow Edema Using Multisource Cone-Beam CT with Model-Based Decomposition.,"PURPOSE: We investigated the feasibility of dual-energy (DE) detection of bone marrow edema (BME) using a dedicated extremity cone-beam CT (CBCT) with a unique three-source x-ray unit. The sources can be operated at different energies to enable single-scan DE acquisitions. However, they are arranged parallel to the axis of rotation, resulting in incomplete sampling and precluding the application of DE projection-domain decompositions (PDD) for beam-hardening reduction. Therefore, we propose a novel combination of a model-based ""one-step"" DE two-material decomposition followed by a constrained image-domain change-of-basis to obtain virtual non-calcium (VNCa) images for BME detection. METHODS: DE projections were obtained using an ""alternating-kV"" protocol by operating the peripheral two sources of the CBCT system at low-energy (60 kV, 0.105 mAs/frame) and the central source at high-energy (100 kV, 0.028 mAs/frame), for a total of 600 frames over 216° of gantry rotation. Projections were processed with detector lag, glare and fast Monte Carlo (MC)-based iterative scatter corrections. Model-based material decomposition (MBMD) was then implemented to obtain aluminum (Al) and polyethylene (PE) volume fraction images with minimal beam-hardening. Statistical ray weights in MBMD were modified to account for regions with highly oblique sampling by the peripheral sources. To generate the VNCa maps, image-domain decomposition (IDD) constrained by the volume conservation principle (VCP) was performed to convert the Al and PE MBMD images into volume fractions of water, fat and cortical bone. Accuracy of BME detection was evaluated using physical phantom data acquired on the multi-source extremity CBCT scanner. RESULTS: The proposed framework estimated the volume of BME with ~10% error. The MC-based scatter corrections and the modified MBMD ray weights were essential to achieve such performance - the error without MC scatter corrections was >30%, whereas the uniformity of estimated VNCa images was 3x improved using the modified weights compared to the conventional weights. CONCLUSIONS: The proposed DE decomposition framework was able to overcome challenges of high scatter and incomplete sampling to achieve BME detection on a CBCT system with axially-distributed x-ray sources."
2023 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2023 Feb;12463:124631M. doi: 10.1117/12.2653936. Epub ,"['Tivnan, Matthew', 'Lee, Tzu-Cheng', 'Zhang, Ruoqiao', 'Boedeker, Kirsten', 'Cai, Liang', 'Sulam, Jeremias', 'Stayman, J Webster']",[],Task-Driven CT Image Quality Optimization for Low-Contrast Lesion Detectability with Tunable Neural Networks.,"Low-contrast lesions are difficult to detect in noisy low-dose CT images. Improving CT image quality for this detection task has the potential to improve diagnostic accuracy and patient outcomes. In this work, we use tunable neural networks for CT image restoration with a hyperparameter to control the variance/bias tradeoff. We use clinical images from a super-high-resolution normal-dose CT scan to synthesize low-contrast low-dose CT images for supervised training of deep learning CT reconstruction models. Those models are trained using with multiple noise realizations so that variance and bias can be penalized separately. We use a training loss function with one hyperparameter called the denoising level, which controls the variance/bias tradeoff. Finally, we evaluate the CT image quality to find the optimal denoising level for low-contrast lesion detectability. We evaluate performance using a shallow neural network model classification model to represent a suboptimal image observer. Our results indicate that the optimal networks for low-contrast lesion detectability are those that prioritize bias reduction rather than mean-squared error, which demonstrates the potential clinical benefit of our proposed tunable neural networks."
2023 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2023 Feb;12463:124634J. doi: 10.1117/12.2655806. Epub ,"['Yuan, Yijie', 'Tivnan, Matthew', 'Gang, Grace J', 'Stayman, J Webster']",[],Deep Learning CT Image Restoration using System Blur Models.,"Restoration of images contaminated by blur is an important processing tool across modalities including computed tomography where the blur induced by various system factors can be complex with dependencies on acquisition and reconstruction protocol, and even be patient-dependent. In many cases, such a blur can be modeled and predicted with high accuracy providing an important input to a classical deconvolution approach. While traditional deblurring methods tend to be highly noise magnifying, deep learning approaches have the potential to improve upon classic performance limits. However, most network architectures base their restoration on data inputs alone without knowledge of the system blur. In this work, we explore a deep learning approach that takes both image inputs as well as information that characterizes the system blur to combine modeling and deep learning approaches. We apply the approach to CT image restoration and compare with an image-only deep learning approach. We find that inclusion of the system blur model improves deblurring performance - suggesting the potential power of the combined modeling and deep learning technique."
2023 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2023 Feb;12466:124660Y. doi: 10.1117/12.2652980. Epub ,"['Reynolds, Tess', 'Ma, Yiqun', 'Wang, Tianyu', 'Mei, Kai', 'Noël, Peter B', 'Gang, Grace J', 'Stayman, J Webster']","['3d-printing', 'cbct', 'metal artifacts', 'non-circular orbits']",Revealing pelvic structures in the presence of metal hip prothesis via non-circular CBCT orbits.,"As the expansion of Cone Beam CT (CBCT) to new interventional procedures continues, the burdensome challenge of metal artifacts remains. Photon starvation and beam hardening from metallic implants and surgical tools in the field of view can result in the anatomy of interest being partially or fully obscured by imaging artifacts. Leveraging the flexibility of modern robotic CBCT imaging systems, implementing non-circular orbits designed for reducing metal artifacts by ensuring data-completeness during acquisition has become a reality. Here, we investigate using non-circular orbits to reduce metal artifacts arising from metallic hip prostheses when imaging pelvic anatomy. As a first proof-of-concept, we implement a sinusoidal and a double-circle-arc orbit on a CBCT test bench, imaging a physical pelvis phantom, with two metal hip prostheses, housing a 3D-printed iodine-filled radial line-pair target. A standard circular orbit implemented with the CBCT test bench acted as comparator. Imaging data collection and processing, geometric calibration and image reconstruction was completed using in-house developed software programs. Imaging with the standard circular orbit, image artifacts were observed in the pelvic bones and only 33 out of the possible 45 line-pairs of the radial line-pair target were partially resolvable in the reconstructed images. Comparatively, imaging with both the sinusoid and double-circle-arc orbits reduced artifacts in the surrounding anatomy and enabled all 45 line-pairs to be visibly resolved in the reconstructed images. These results indicate the potential of non-circular orbits to assist in revealing previously obstructed structures in the pelvic region in the presence of metal hip prosthesis."
2023 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2023 Feb;12463:124630X. doi: 10.1117/12.2654468. Epub ,"['Jiang, Xiao', 'Stayman, J Webster', 'Gang, Grace J']",[],Approaches for Three Material Decomposition using a Triple-Layer Flat-Panel Detector.,"X-ray spectral imaging has been increasingly investigated in radiography and interventional imaging. Flat-panel detectors with more than one detection layer have demonstrated advantages in providing separate soft tissue and bone images. Current dual-layer flat-panel detectors (DL-FPD) have limited capability to further differentiate between iodinated contrast agent and bony/calcified structures. In this work, we investigate a triple-layer flat-panel detector (TL-FPD) and the feasibility of three-material (water/calcium/iodine) decomposition. A physical model of TL-FPD, including system geometry, spectrum sensitivities, blur and noise models was developed. Using simulated triple-layer projections, three-material decompositions were performed using three different processing methods: polynomial-based, model-based, and a machine learning-based method (ResUnet). We find that the polynomial-based method leads to very noisy images with poor differentiation between calcium and iodine maps. The model-based method achieved much lower noise levels than the polynomial-based method but exhibited residual errors between the iodine and calcium channels. The ResUnet method offered the best decompositions among the investigated methods in terms of root mean square error from the ground truth and noise in the material maps. These preliminary results demonstrate the feasibility of three-material decomposition using TL-FPD and suggest a path for clinical translation of single-shot contrast/iodine differentiation in radiography and fluoroscopy."
2023 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2023 Feb;12463:124633Q. doi: 10.1117/12.2654343. Epub ,"['Mei, Kai', 'Roshkovan, Leonid', 'Pasyar, Pouyan', 'Shapira, Nadav', 'Gang, Grace J', 'Stayman, J Webster', 'Geagan, Michael', 'Noël, Peter B']","['3d printing', 'computed tomography', 'image quality phantoms', 'lung', 'quality assurance']",PixelPrint: A collection of three-dimensional printed CT phantoms of different respiratory diseases.,"Imaging is often a first-line method for diagnostics and treatment. Radiological workflows increasingly mine medical images for quantifiable features. Variability in device/vendor, acquisition protocol, data processing, etc., can dramatically affect quantitative measures, including radiomics. We recently developed a method (PixelPrint) for 3D-printing lifelike computed tomography (CT) lung phantoms, paving the way for future diagnostic imaging standardization. PixelPrint generates phantoms with accurate attenuation profiles and textures by directly translating clinical images into printer instructions that control density on a voxel-by-voxel basis. The present study introduces a library of 3D printed lung phantoms covering a wide range of lung diseases, including usual interstitial pneumonia with advanced fibrosis, chronic hypersensitivity pneumonitis, secondary tuberculosis, cystic fibrosis, Kaposi sarcoma, and pulmonary edema. CT images of the patient-based phantom are qualitatively comparable to original CT images, both in texture, resolution and contrast levels allowing for clear visualization of even subtle imaging abnormalities. The variety of cases chosen for printing include both benign and malignant pathology causing a variety of alveolar and advanced interstitial abnormalities, both clearly visualized on the phantoms. A comparison of regions of interest revealed differences in attenuation below 6 HU. Identical features on the patient and the phantom have a high degree of geometrical correlation, with differences smaller than the intrinsic spatial resolution of the scans. Using PixelPrint, it is possible to generate CT phantoms that accurately represent different pulmonary diseases and their characteristic imaging features."
2023 Feb,Proceedings of SPIE--the International Society for Optical Engineering,Proc SPIE Int Soc Opt Eng. 2023 Feb;12463:124630Y. doi: 10.1117/12.2654443. Epub ,"['Gang, Grace J', 'Stayman, J Webster']",[],Three-material decomposition using a dual-layer flat panel detector in the presence of soft tissue motion.,"Digital subtraction angiography (DSA) is a widely used technique for the visualization of contrast-enhanced structures. However, temporal subtraction DSA is challenged by misregistration artifacts due to patient motion and incomplete separation of iodine contrast agent from background soft tissue and bone. In this work, we propose an approach that allows three-material decomposition using a dual-layer flat panel detector in the presence of soft tissue motion. We assume the calcium signal (bone) remains stationary in the pre- and post-contrast images but allow soft tissues to move freely (e.g. cardiac motion). The dual-layer pre- and post-injection images form and ensemble of four measurements that permits material decomposition of four bases (pre- and post-injection soft tissue, calcium, and iodine). We apply two different processing techniques: 1) a modified lookup table and; 2) a model-based material estimation. These are compared with previously proposed DSA methods using temporal subtraction and hybrid (dual-energy) subtraction. Investigations were performed using an XCAT thorax phantom simulating a breath-hold. The pre- and post-contrast measurements were simulated at different time points within a cardiac cycle. Both the lookup table and model-based algorithms eliminate motion artifact as a result of soft tissue motion and allow good separation of iodine, bone, and soft tissue. While the lookup table algorithm contains high noise at the simulated dose level, the model-based algorithm produced iodine images that allow the visualization of major vessels around the heart. In contrast, traditional temporal DSA is susceptible to subtraction artifacts and hybrid DSA shows increased noise."
