time,journal,doi_info,authors,key words,title,abstract
2024 Jun 20,"Bioinformatics (Oxford, England)",Bioinformatics. 2024 Jun 20:btae412. doi: 10.1093/bioinformatics/btae412.,"['Aihara, Gohta', 'Clifton, Kalen', 'Chen, Mayling', 'Li, Zhuoyan', 'Atta, Lyla', 'Miller, Brendan F', 'Satija, Rahul', 'Hickey, John W', 'Fan, Jean']",[],SEraster: a rasterization preprocessing framework for scalable spatial omics data analysis.,"MOTIVATION: Spatial omics data demand computational analysis but many analysis tools have computational resource requirements that increase with the number of cells analyzed. This presents scalability challenges as researchers use spatial omics technologies to profile millions of cells. RESULTS: To enhance the scalability of spatial omics data analysis, we developed a rasterization preprocessing framework called SEraster that aggregates cellular information into spatial pixels. We apply SEraster to both real and simulated spatial omics data prior to spatial variable gene expression analysis to demonstrate that such preprocessing can reduce computational resource requirements while maintaining high performance, including as compared to other down-sampling approaches. We further integrate SEraster with existing analysis tools to characterize cell-type spatial co-enrichment across length scales. Finally, we apply SEraster to enable analysis of a mouse pup spatial omics dataset with over a million cells to identify tissue-level and cell-type-specific spatially variable genes as well as spatially co-enriched cell-types that recapitulate expected organ structures. AVAILABILITY: SEraster is implemented as an R package on GitHub (https://github.com/JEFworks-Lab/SEraster) with additional tutorials at https://JEF.works/SEraster. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online."
2024 Jun 12,Genome biology,Genome Biol. 2024 Jun 12;25(1):153. doi: 10.1186/s13059-024-03303-w.,"['Atta, Lyla', 'Clifton, Kalen', 'Anant, Manjari', 'Aihara, Gohta', 'Fan, Jean']","[' single-cell analysis methods', ' gene expression profiling methods', 'transcriptome', 'humans', 'animals', 'differential expression', 'normalization', 'scaling factor', 'spatial transcriptomics']",Gene count normalization in single-cell imaging-based spatially resolved transcriptomics.,"BACKGROUND: Recent advances in imaging-based spatially resolved transcriptomics (im-SRT) technologies now enable high-throughput profiling of targeted genes and their locations in fixed tissues. Normalization of gene expression data is often needed to account for technical factors that may confound underlying biological signals. RESULTS: Here, we investigate the potential impact of different gene count normalization methods with different targeted gene panels in the analysis and interpretation of im-SRT data. Using different simulated gene panels that overrepresent genes expressed in specific tissue regions or cell types, we demonstrate how normalization methods based on detected gene counts per cell differentially impact normalized gene expression magnitudes in a region- or cell type-specific manner. We show that these normalization-induced effects may reduce the reliability of downstream analyses including differential gene expression, gene fold change, and spatially variable gene analysis, introducing false positive and false negative results when compared to results obtained from gene panels that are more representative of the gene expression of the tissue's component cell types. These effects are not observed with normalization approaches that do not use detected gene counts for gene expression magnitude adjustment, such as with cell volume or cell area normalization. CONCLUSIONS: We recommend using non-gene count-based normalization approaches when feasible and evaluating gene panel representativeness before using gene count-based normalization methods if necessary. Overall, we caution that the choice of normalization method and gene panel may impact the biological interpretation of the im-SRT data."
2024 May 22,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 May 22:2024.03.27.587041. doi: ,"['Börner, Katy', 'Blood, Philip D', 'Silverstein, Jonathan C', 'Ruffalo, Matthew', 'Teichmann, Sarah A', 'Pryhuber, Gloria', 'Misra, Ravi', 'Purkerson, Jeffrey', 'Fan, Jean', 'Hickey, John W', 'Molla, Gesmira', 'Xu, Chuan', 'Zhang, Yun', 'Weber, Griffin', 'Jain, Yashvardhan', 'Qaurooni, Danial', 'Kong, Yongxin', 'Bueckle, Andreas', 'Herr, Bruce W 2nd']",[],Human BioMolecular Atlas Program (HuBMAP): 3D Human Reference Atlas Construction and Usage.,"The Human BioMolecular Atlas Program (HuBMAP) aims to construct a reference 3D structural, cellular, and molecular atlas of the healthy adult human body. The HuBMAP Data Portal (https://portal.hubmapconsortium.org) serves experimental datasets and supports data processing, search, filtering, and visualization. The Human Reference Atlas (HRA) Portal (https://humanatlas.io) provides open access to atlas data, code, procedures, and instructional materials. Experts from more than 20 consortia are collaborating to construct the HRA's Common Coordinate Framework (CCF), knowledge graphs, and tools that describe the multiscale structure of the human body (from organs and tissues down to cells, genes, and biomarkers) and to use the HRA to understand changes that occur at each of these levels with aging, disease, and other perturbations. The 6th release of the HRA v2.0 covers 36 organs with 4,499 unique anatomical structures, 1,195 cell types, and 2,089 biomarkers (e.g., genes, proteins, lipids) linked to ontologies. In addition, three workflows were developed to map new experimental data into the HRA's CCF. This paper describes the HRA user stories, terminology, data formats, ontology validation, unified analysis workflows, user interfaces, instructional materials, application programming interface (APIs), flexible hybrid cloud infrastructure, and demonstrates first atlas usage applications and previews."
2024 May 16,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 May 16:2024.05.10.593637. doi: ,"['Kamat, Pratik', 'Macaluso, Nico', 'Min, Chanhong', 'Li, Yukang', 'Agrawal, Anshika', 'Winston, Aaron', 'Pan, Lauren', 'Starich, Bartholomew', 'Stewart, Teasia', 'Wu, Pei-Hsun', 'Fan, Jean', 'Walston, Jeremy', 'Phillip, Jude M']","['aging', 'biomarkers', 'cell morphology', 'cellular senescence', 'functional subtypes']",Single-cell morphology encodes functional subtypes of senescence in aging human dermal fibroblasts.,"Cellular senescence is an established driver of aging, exhibiting context-dependent phenotypes across multiple biological length-scales. Despite its mechanistic importance, profiling senescence within cell populations is challenging. This is in part due to the limitations of current biomarkers to robustly identify senescent cells across biological settings, and the heterogeneous, non-binary phenotypes exhibited by senescent cells. Using a panel of primary dermal fibroblasts, we combined live single-cell imaging, machine learning, multiple senescence induction conditions, and multiple protein-based senescence biomarkers to show the emergence of functional subtypes of senescence. Leveraging single-cell morphologies, we defined eleven distinct morphology clusters, with the abundance of cells in each cluster being dependent on the mode of senescence induction, the time post-induction, and the age of the donor. Of these eleven clusters, we identified three bona-fide senescence subtypes (C7, C10, C11), with C10 showing the strongest age-dependence across a cohort of fifty aging individuals. To determine the functional significance of these senescence subtypes, we profiled their responses to senotherapies, specifically focusing on Dasatinib + Quercetin (D+Q). Results indicated subtype-dependent responses, with senescent cells in C7 being most responsive to D+Q. Altogether, we provide a robust single-cell framework to identify and classify functional senescence subtypes with applications for next-generation senotherapy screens, and the potential to explain heterogeneous senescence phenotypes across biological settings based on the presence and abundance of distinct senescence subtypes."
2024 Apr 25,Nature communications,Nat Commun. 2024 Apr 25;15(1):3530. doi: 10.1038/s41467-024-47883-4.,"['Stouffer, Kaitlin M', 'Trouvé, Alain', 'Younes, Laurent', 'Kunst, Michael', 'Ng, Lydia', 'Zeng, Hongkui', 'Anant, Manjari', 'Fan, Jean', 'Kim, Yongsoo', 'Chen, Xiaoyin', 'Rue, Mara', 'Miller, Michael I']","['animals', ' brain metabolism', 'mice', ' transcriptome genetics', ' atlases as topic', 'image processing, computer-assisted methods', 'gene expression profiling methods', 'humans']",Cross-modality mapping using image varifolds to align tissue-scale atlases to molecular-scale measures with application to 2D brain sections.,"This paper explicates a solution to building correspondences between molecular-scale transcriptomics and tissue-scale atlases. This problem arises in atlas construction and cross-specimen/technology alignment where specimens per emerging technology remain sparse and conventional image representations cannot efficiently model the high dimensions from subcellular detection of thousands of genes. We address these challenges by representing spatial transcriptomics data as generalized functions encoding position and high-dimensional feature (gene, cell type) identity. We map onto low-dimensional atlas ontologies by modeling regions as homogeneous random fields with unknown transcriptomic feature distribution. We solve simultaneously for the minimizing geodesic diffeomorphism of coordinates through LDDMM and for these latent feature densities. We map tissue-scale mouse brain atlases to gene-based and cell-based transcriptomics data from MERFISH and BARseq technologies and to histopathology and cross-species atlases to illustrate integration of diverse molecular and cellular datasets into a single coordinate system as a means of comparison and further atlas construction."
2024 Feb,"Brain, behavior, and immunity",Brain Behav Immun. 2024 Feb;116:160-174. doi: 10.1016/j.bbi.2023.12.007. Epub ,"['Kim, Jennifer E', 'Lee, Ryan P', 'Yazigi, Eli', 'Atta, Lyla', 'Feghali, James', 'Pant, Ayush', 'Jain, Aanchal', 'Levitan, Idan', 'Kim, Eileen', 'Patel, Kisha', 'Kannapadi, Nivedha', 'Shah, Pavan', 'Bibic, Adnan', 'Hou, Zhipeng', 'Caplan, Justin M', 'Gonzalez, L Fernando', 'Huang, Judy', 'Xu, Risheng', 'Fan, Jean', 'Tyler, Betty', 'Brem, Henry', 'Boussiotis, Vassiliki A', 'Jantzie, Lauren', 'Robinson, Shenandoah', 'Koehler, Raymond C', 'Lim, Michael', 'Tamargo, Rafael J', 'Jackson, Christopher M']","['humans', 'mice', 'animals', 'monocytes metabolism', ' ischemic stroke', ' brain edema metabolism', 'programmed cell death 1 receptor metabolism', 'b7-h1 antigen metabolism', 'infarction, middle cerebral artery metabolism', 'immune checkpoints', 'inflammation', 'ischemic stroke', 'large vessel occlusion', 'mcao', 'monocytes', 'spd-l1']",Soluble PD-L1 reprograms blood monocytes to prevent cerebral edema and facilitate recovery after ischemic stroke.,"Acute cerebral ischemia triggers a profound inflammatory response. While macrophages polarized to an M2-like phenotype clear debris and facilitate tissue repair, aberrant or prolonged macrophage activation is counterproductive to recovery. The inhibitory immune checkpoint Programmed Cell Death Protein 1 (PD-1) is upregulated on macrophage precursors (monocytes) in the blood after acute cerebrovascular injury. To investigate the therapeutic potential of PD-1 activation, we immunophenotyped circulating monocytes from patients and found that PD-1 expression was upregulated in the acute period after stroke. Murine studies using a temporary middle cerebral artery (MCA) occlusion (MCAO) model showed that intraperitoneal administration of soluble Programmed Death Ligand-1 (sPD-L1) significantly decreased brain edema and improved overall survival. Mice receiving sPD-L1 also had higher performance scores short-term, and more closely resembled sham animals on assessments of long-term functional recovery. These clinical and radiographic benefits were abrogated in global and myeloid-specific PD-1 knockout animals, confirming PD-1+ monocytes as the therapeutic target of sPD-L1. Single-cell RNA sequencing revealed that treatment skewed monocyte maturation to a non-classical Ly6C(lo), CD43(hi), PD-L1+ phenotype. These data support peripheral activation of PD-1 on inflammatory monocytes as a therapeutic strategy to treat neuroinflammation after acute ischemic stroke."
2023 Dec 8,Nature communications,Nat Commun. 2023 Dec 8;14(1):8123. doi: 10.1038/s41467-023-43915-7.,"['Clifton, Kalen', 'Anant, Manjari', 'Aihara, Gohta', 'Atta, Lyla', 'Aimiuwu, Osagie K', 'Kebschull, Justus M', 'Miller, Michael I', 'Tward, Daniel', 'Fan, Jean']","['animals', 'mice', ' software', ' gene expression profiling', 'brain', 'technology']",STalign: Alignment of spatial transcriptomics data using diffeomorphic metric mapping.,"Spatial transcriptomics (ST) technologies enable high throughput gene expression characterization within thin tissue sections. However, comparing spatial observations across sections, samples, and technologies remains challenging. To address this challenge, we develop STalign to align ST datasets in a manner that accounts for partially matched tissue sections and other local non-linear distortions using diffeomorphic metric mapping. We apply STalign to align ST datasets within and across technologies as well as to align ST datasets to a 3D common coordinate framework. We show that STalign achieves high gene expression and cell-type correspondence across matched spatial locations that is significantly improved over landmark-based affine alignments. Applying STalign to align ST datasets of the mouse brain to the 3D common coordinate framework from the Allen Brain Atlas, we highlight how STalign can be used to lift over brain region annotations and enable the interrogation of compositional heterogeneity across anatomical structures. STalign is available as an open-source Python toolkit at https://github.com/JEFworks-Lab/STalign and as Supplementary Software with additional documentation and tutorials available at https://jef.works/STalign ."
2023 Nov 28,Scientific reports,Sci Rep. 2023 Nov 28;13(1):20888. doi: 10.1038/s41598-023-48213-2.,"['Gharaie, Sepideh', 'Lee, Kyungho', 'Noller, Kathleen', 'Lo, Emily K', 'Miller, Brendan', 'Jung, Hyun Jun', 'Newman-Rivera, Andrea M', 'Kurzhagen, Johanna T', 'Singla, Nirmish', 'Welling, Paul A', 'Fan, Jean', 'Cahan, Patrick', 'Noel, Sanjeev', 'Rabb, Hamid']","['humans', 'animals', 'mice', ' cd8-positive t-lymphocytes metabolism', 'transcriptome', 'cd8 antigens metabolism', 'cd4 antigens metabolism', 'kidney metabolism', ' acute kidney injury pathology', 'receptors, antigen, t-cell, alpha-beta metabolism']",Single cell and spatial transcriptomics analysis of kidney double negative T lymphocytes in normal and ischemic mouse kidneys.,"T cells are important in the pathogenesis of acute kidney injury (AKI), and TCR(+)CD4(-)CD8(-) (double negative-DN) are T cells that have regulatory properties. However, there is limited information on DN T cells compared to traditional CD4(+) and CD8(+) cells. To elucidate the molecular signature and spatial dynamics of DN T cells during AKI, we performed single-cell RNA sequencing (scRNA-seq) on sorted murine DN, CD4(+), and CD8(+) cells combined with spatial transcriptomic profiling of normal and post AKI mouse kidneys. scRNA-seq revealed distinct transcriptional profiles for DN, CD4(+), and CD8(+) T cells of mouse kidneys with enrichment of Kcnq5, Klrb1c, Fcer1g, and Klre1 expression in DN T cells compared to CD4(+) and CD8(+) T cells in normal kidney tissue. We validated the expression of these four genes in mouse kidney DN, CD4(+) and CD8(+) T cells using RT-PCR and Kcnq5, Klrb1, and Fcer1g genes with the NIH human kidney precision medicine project (KPMP). Spatial transcriptomics in normal and ischemic mouse kidney tissue showed a localized cluster of T cells in the outer medulla expressing DN T cell genes including Fcer1g. These results provide a template for future studies in DN T as well as CD4(+) and CD8(+) cells in normal and diseased kidneys."
2024 Mar 6,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Mar 6:2023.08.30.555624. doi: 10.1101/2023.08.30.555624.,"['Atta, Lyla', 'Clifton, Kalen', 'Anant, Manjari', 'Aihara, Gohta', 'Fan, Jean']","['normalization', 'differential expression', 'scaling factor', 'spatial transcriptomics']",Gene count normalization in single-cell imaging-based spatially resolved transcriptomics.,"Recent advances in imaging-based spatially resolved transcriptomics (im-SRT) technologies now enable high-throughput profiling of targeted genes and their locations in fixed tissues. Normalization of gene expression data is often needed to account for technical factors that may confound underlying biological signals. Here, we investigate the potential impact of different gene count normalization methods with different targeted gene panels in the analysis and interpretation of im-SRT data. Using different simulated gene panels that overrepresent genes expressed in specific tissue regions or cell types, we demonstrate how normalization methods based on detected gene counts per cell differentially impact normalized gene expression magnitudes in a region- or cell type-specific manner. We show that these normalization-induced effects may reduce the reliability of downstream analyses including differential gene expression, gene fold change, and spatially variable gene analysis, introducing false positive and false negative results when compared to results obtained from gene panels that are more representative of the gene expression of the tissue's component cell types. These effects are not observed with normalization approaches that do not use detected gene counts for gene expression magnitude adjustment, such as with cell volume or cell area normalization. We recommend using non-gene count-based normalization approaches when feasible and evaluating gene panel representativeness before using gene count-based normalization methods if necessary. Overall, we caution that the choice of normalization method and gene panel may impact the biological interpretation of the im-SRT data."
2023 Aug 19,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Aug 19:2023.04.11.534630. doi: ,"['Clifton, Kalen', 'Anant, Manjari', 'Aihara, Gohta', 'Atta, Lyla', 'Aimiuwu, Osagie K', 'Kebschull, Justus M', 'Miller, Michael I', 'Tward, Daniel', 'Fan, Jean']","['lddmm', 'common coordinate framework', 'diffeomorphic mapping', 'spatial alignment', 'spatial transcriptomics']",Alignment of spatial transcriptomics data using diffeomorphic metric mapping.,"Spatial transcriptomics (ST) technologies enable high throughput gene expression characterization within thin tissue sections. However, comparing spatial observations across sections, samples, and technologies remains challenging. To address this challenge, we developed STalign to align ST datasets in a manner that accounts for partially matched tissue sections and other local non-linear distortions using diffeomorphic metric mapping. We apply STalign to align ST datasets within and across technologies as well as to align ST datasets to a 3D common coordinate framework. We show that STalign achieves high gene expression and cell-type correspondence across matched spatial locations that is significantly improved over landmark-based affine alignments. Applying STalign to align ST datasets of the mouse brain to the 3D common coordinate framework from the Allen Brain Atlas, we highlight how STalign can be used to lift over brain region annotations and enable the interrogation of compositional heterogeneity across anatomical structures. STalign is available as an open-source Python toolkit at https://github.com/JEFworks-Lab/STalign and as supplementary software with additional documentation and tutorials available at https://jef.works/STalign."
2022 Apr 29,Nature communications,Nat Commun. 2022 Apr 29;13(1):2339. doi: 10.1038/s41467-022-30033-z.,"['Miller, Brendan F', 'Huang, Feiyang', 'Atta, Lyla', 'Sahoo, Arpan', 'Fan, Jean']","[' gene expression profiling', 'software', ' transcriptome genetics']",Reference-free cell type deconvolution of multi-cellular pixel-resolution spatially resolved transcriptomics data.,"Recent technological advancements have enabled spatially resolved transcriptomic profiling but at multi-cellular pixel resolution, thereby hindering the identification of cell-type-specific spatial patterns and gene expression variation. To address this challenge, we develop STdeconvolve as a reference-free approach to deconvolve underlying cell types comprising such multi-cellular pixel resolution spatial transcriptomics (ST) datasets. Using simulated as well as real ST datasets from diverse spatial transcriptomics technologies comprising a variety of spatial resolutions such as Spatial Transcriptomics, 10X Visium, DBiT-seq, and Slide-seq, we show that STdeconvolve can effectively recover cell-type transcriptional profiles and their proportional representation within pixels without reliance on external single-cell transcriptomics references. STdeconvolve provides comparable performance to existing reference-based methods when suitable single-cell references are available, as well as potentially superior performance when suitable single-cell references are not available. STdeconvolve is available as an open-source R software package with the source code available at https://github.com/JEFworks-Lab/STdeconvolve ."
