time,journal,doi_info,authors,key words,title,abstract
2024 Jan,Neuroinformatics,Neuroinformatics. 2024 Jan;22(1):63-74. doi: 10.1007/s12021-023-09648-0. Epub ,"['Athey, Thomas L', 'Tward, Daniel J', 'Mueller, Ulrich', 'Younes, Laurent', 'Vogelstein, Joshua T', 'Miller, Michael I']","[' neurons', 'axons', 'brain physiology', 'head', ' neurosciences', 'diffeomorphisms', 'morphology', 'neuron reconstruction', 'registration', 'splines']",Preserving Derivative Information while Transforming Neuronal Curves.,"The international neuroscience community is building the first comprehensive atlases of brain cell types to understand how the brain functions from a higher resolution, and more integrated perspective than ever before. In order to build these atlases, subsets of neurons (e.g. serotonergic neurons, prefrontal cortical neurons etc.) are traced in individual brain samples by placing points along dendrites and axons. Then, the traces are mapped to common coordinate systems by transforming the positions of their points, which neglects how the transformation bends the line segments in between. In this work, we apply the theory of jets to describe how to preserve derivatives of neuron traces up to any order. We provide a framework to compute possible error introduced by standard mapping methods, which involves the Jacobian of the mapping transformation. We show how our first order method improves mapping accuracy in both simulated and real neuron traces under random diffeomorphisms. Our method is freely available in our open-source Python package brainlit."
2023 Oct 30,Statistics in medicine,Stat Med. 2023 Oct 30;42(24):4418-4439. doi: 10.1002/sim.9868. Epub 2023 Aug 8.,"['Xiong, Ruoxuan', 'Koenecke, Allison', 'Powell, Michael', 'Shen, Zhu', 'Vogelstein, Joshua T', 'Athey, Susan']","['humans', ' propensity score', 'causality', 'databases, factual', 'data interpretation, statistical', 'causal inference', 'federated learning', 'multiple data sets', 'propensity scores']",Federated causal inference in heterogeneous observational data.,"We are interested in estimating the effect of a treatment applied to individuals at multiple sites, where data is stored locally for each site. Due to privacy constraints, individual-level data cannot be shared across sites; the sites may also have heterogeneous populations and treatment assignment mechanisms. Motivated by these considerations, we develop federated methods to draw inferences on the average treatment effects of combined data across sites. Our methods first compute summary statistics locally using propensity scores and then aggregate these statistics across sites to obtain point and variance estimators of average treatment effects. We show that these estimators are consistent and asymptotically normal. To achieve these asymptotic properties, we find that the aggregation schemes need to account for the heterogeneity in treatment assignments and in outcomes across sites. We demonstrate the validity of our federated methods through a comparative study of two large medical claims databases."
2023,"Network neuroscience (Cambridge, Mass.)",Netw Neurosci. 2023 Jun 30;7(2):522-538. doi: 10.1162/netn_a_00287. eCollection ,"['Pedigo, Benjamin D', 'Winding, Michael', 'Priebe, Carey E', 'Vogelstein, Joshua T']","['bilateral symmetry', 'graph matching', 'homology', 'network alignment', 'network analysis', 'structural connectome']",Bisected graph matching improves automated pairing of bilaterally homologous neurons from connectomes.,"Graph matching algorithms attempt to find the best correspondence between the nodes of two networks. These techniques have been used to match individual neurons in nanoscale connectomes-in particular, to find pairings of neurons across hemispheres. However, since graph matching techniques deal with two isolated networks, they have only utilized the ipsilateral (same hemisphere) subgraphs when performing the matching. Here, we present a modification to a state-of-the-art graph matching algorithm that allows it to solve what we call the bisected graph matching problem. This modification allows us to leverage the connections between the brain hemispheres when predicting neuron pairs. Via simulations and experiments on real connectome datasets, we show that this approach improves matching accuracy when sufficient edge correlation is present between the contralateral (between hemisphere) subgraphs. We also show how matching accuracy can be further improved by combining our approach with previously proposed extensions to graph matching, which utilize edge types and previously known neuron pairings. We expect that our proposed method will improve future endeavors to accurately match neurons across hemispheres in connectomes, and be useful in other applications where the bisected graph matching problem arises."
2023 Oct,Neuroinformatics,Neuroinformatics. 2023 Oct;21(4):637-639. doi: 10.1007/s12021-023-09638-2. Epub ,"['Athey, Thomas L', 'Wright, Matthew A', 'Pavlovic, Marija', 'Chandrashekhar, Vikram', 'Deisseroth, Karl', 'Miller, Michael I', 'Vogelstein, Joshua T']","['fluorescence', ' brain diagnostic imaging', ' magnetic resonance imaging']",BrainLine: An Open Pipeline for Connectivity Analysis of Heterogeneous Whole-Brain Fluorescence Volumes.,
2023 Jul,Nature methods,Nat Methods. 2023 Jul;20(7):1025-1028. doi: 10.1038/s41592-023-01901-3. Epub 2023 ,"['Xu, Ting', 'Kiar, Gregory', 'Cho, Jae Wook', 'Bridgeford, Eric W', 'Nikolaidis, Aki', 'Vogelstein, Joshua T', 'Milham, Michael P']","['reproducibility of results', ' individuality', ' neuroimaging', 'biomarkers']",ReX: an integrative tool for quantifying and optimizing measurement reliability for the study of individual differences.,"Characterizing multifaceted individual differences in brain function using neuroimaging is central to biomarker discovery in neuroscience. We provide an integrative toolbox, Reliability eXplorer (ReX), to facilitate the examination of individual variation and reliability as well as the effective direction for optimization of measuring individual differences in biomarker discovery. We also illustrate gradient flows, a two-dimensional field map-based approach to identifying and representing the most effective direction for optimization when measuring individual differences, which is implemented in ReX."
2023 Mar 31,Research square,Res Sq [Preprint]. 2023 Mar 31:rs.3.rs-2705948. doi: 10.21203/rs.3.rs-2705948/v1.,"['Athey, Thomas L', 'Tward, Daniel J', 'Mueller, Ulrich', 'Younes, Laurent', 'Vogelstein, Joshua T', 'Miller, Michael I']",[],Preserving Derivative Information while Transforming Neuronal Curves.,"The international neuroscience community is building the first comprehensive atlases of brain cell types to understand how the brain functions from a higher resolution, and more integrated perspective than ever before. In order to build these atlases, subsets of neurons (e.g. serotonergic neurons, prefrontal cortical neurons etc.) are traced in individual brain samples by placing points along dendrites and axons. Then, the traces are mapped to common coordinate systems by transforming the positions of their points, which neglects how the transformation bends the line segments in between. In this work, we apply the theory of jets to describe how to preserve derivatives of neuron traces up to any order. We provide a framework to compute possible error introduced by standard mapping methods, which involves the Jacobian of the mapping transformation. We show how our first order method improves mapping accuracy in both simulated and real neuron traces, though zeroth order mapping is generally adequate in our real data setting. Our method is freely available in our open-source Python package brainlit."
2023 Aug 1,ArXiv,ArXiv [Preprint]. 2023 Aug 1:arXiv:2303.09649v2.,"['Athey, Thomas L', 'Tward, Daniel J', 'Mueller, Ulrich', 'Younes, Laurent', 'Vogelstein, Joshua T', 'Miller, Michael I']",[],Preserving Derivative Information while Transforming Neuronal Curves.,"The international neuroscience community is building the first comprehensive atlases of brain cell types to understand how the brain functions from a higher resolution, and more integrated perspective than ever before. In order to build these atlases, subsets of neurons (e.g. serotonergic neurons, prefrontal cortical neurons etc.) are traced in individual brain samples by placing points along dendrites and axons. Then, the traces are mapped to common coordinate systems by transforming the positions of their points, which neglects how the transformation bends the line segments in between. In this work, we apply the theory of jets to describe how to preserve derivatives of neuron traces up to any order. We provide a framework to compute possible error introduced by standard mapping methods, which involves the Jacobian of the mapping transformation. We show how our first order method improves mapping accuracy in both simulated and real neuron traces under random diffeomorphisms. Our method is freely available in our open-source Python package brainlit."
2023 Mar 28,eLife,Elife. 2023 Mar 28;12:e83739. doi: 10.7554/eLife.83739.,"['Pedigo, Benjamin D', 'Powell, Mike', 'Bridgeford, Eric W', 'Winding, Michael', 'Priebe, Carey E', 'Vogelstein, Joshua T']","['animals', ' connectome', 'brain diagnostic imaging', 'nervous system', 'drosophila', 'larva', 'd. melanogaster', 'circuit modeling', 'connectomics', 'electron microscopy', 'neuroscience', 'statistical modeling']",Generative network modeling reveals quantitative definitions of bilateral symmetry exhibited by a whole insect brain connectome.,"Comparing connectomes can help explain how neural connectivity is related to genetics, disease, development, learning, and behavior. However, making statistical inferences about the significance and nature of differences between two networks is an open problem, and such analysis has not been extensively applied to nanoscale connectomes. Here, we investigate this problem via a case study on the bilateral symmetry of a larval Drosophila brain connectome. We translate notions of 'bilateral symmetry' to generative models of the network structure of the left and right hemispheres, allowing us to test and refine our understanding of symmetry. We find significant differences in connection probabilities both across the entire left and right networks and between specific cell types. By rescaling connection probabilities or removing certain edges based on weight, we also present adjusted definitions of bilateral symmetry exhibited by this connectome. This work shows how statistical inferences from networks can inform the study of connectomes, facilitating future comparisons of neural structures."
2023,Frontiers in artificial intelligence,Front Artif Intell. 2023 Feb 28;6:1116870. doi: 10.3389/frai.2023.1116870. ,"['Morales Pantoja, Itzy E', 'Smirnova, Lena', 'Muotri, Alysson R', 'Wahlin, Karl J', 'Kahn, Jeffrey', 'Boyd, J Lomax', 'Gracias, David H', 'Harris, Timothy D', 'Cohen-Karni, Tzahi', 'Caffo, Brian S', 'Szalay, Alexander S', 'Han, Fang', 'Zack, Donald J', 'Etienne-Cummings, Ralph', 'Akwaboah, Akwasi', 'Romero, July Carolina', 'Alam El Din, Dowlette-Mary', 'Plotkin, Jesse D', 'Paulhamus, Barton L', 'Johnson, Erik C', 'Gilbert, Frederic', 'Curley, J Lowry', 'Cappiello, Ben', 'Schwamborn, Jens C', 'Hill, Eric J', 'Roach, Paul', 'Tornero, Daniel', 'Krall, Caroline', 'Parri, Rheinallt', 'Sillé, Fenna', 'Levchenko, Andre', 'Jabbour, Rabih E', 'Kagan, Brett J', 'Berlinicke, Cynthia A', 'Huang, Qi', 'Maertens, Alexandra', 'Herrmann, Kathrin', 'Tsaioun, Katya', 'Dastgheyb, Raha', 'Habela, Christa Whelan', 'Vogelstein, Joshua T', 'Hartung, Thomas']","['organoid intelligence', 'artificial intelligence', 'biological computing', 'brain', 'cognition', 'electrophysiology', 'microphysiological systems']",First Organoid Intelligence (OI) workshop to form an OI community.,"The brain is arguably the most powerful computation system known. It is extremely efficient in processing large amounts of information and can discern signals from noise, adapt, and filter faulty information all while running on only 20 watts of power. The human brain's processing efficiency, progressive learning, and plasticity are unmatched by any computer system. Recent advances in stem cell technology have elevated the field of cell culture to higher levels of complexity, such as the development of three-dimensional (3D) brain organoids that recapitulate human brain functionality better than traditional monolayer cell systems. Organoid Intelligence (OI) aims to harness the innate biological capabilities of brain organoids for biocomputing and synthetic intelligence by interfacing them with computer technology. With the latest strides in stem cell technology, bioengineering, and machine learning, we can explore the ability of brain organoids to compute, and store given information (input), execute a task (output), and study how this affects the structural and functional connections in the organoids themselves. Furthermore, understanding how learning generates and changes patterns of connectivity in organoids can shed light on the early stages of cognition in the human brain. Investigating and understanding these concepts is an enormous, multidisciplinary endeavor that necessitates the engagement of both the scientific community and the public. Thus, on Feb 22-24 of 2022, the Johns Hopkins University held the first Organoid Intelligence Workshop to form an OI Community and to lay out the groundwork for the establishment of OI as a new scientific discipline. The potential of OI to revolutionize computing, neurological research, and drug development was discussed, along with a vision and roadmap for its development over the coming decade."
2023 Mar 1,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Mar 1:2023.02.28.530429. doi: 10.1101/2023.02.28.530429.,"['Athey, Thomas L', 'Wright, Matthew A', 'Pavlovic, Marija', 'Chandrashekhar, Vikram', 'Deisseroth, Karl', 'Miller, Michael I', 'Vogelstein, Joshua T']",[],BrainLine: An Open Pipeline for Connectivity Analysis of Heterogeneous Whole-Brain Fluorescence Volumes.,"Whole-brain fluorescence images require several stages of computational processing to fully reveal the neuron morphology and connectivity information they contain. However, these computational tools are rarely part of an integrated pipeline. Here we present BrainLine, an open-source pipeline that interfaces with existing software to provide registration, axon segmentation, soma detection, visualization and analysis of results. By implementing a feedback based training paradigm with BrainLine, we were able to use a single learning algorithm to accurately process a diverse set of whole-brain images generated by light-sheet microscopy. BrainLine is available as part of our Python package brainlit: http://brainlit.neurodata.io/ ."
