time,journal,doi_info,authors,key words,title,abstract
2024 Jun,MethodsX,MethodsX. 2024 Apr 5;12:102674. doi: 10.1016/j.mex.2024.102674. eCollection 2024 ,"['Kutten, Kwame S', 'Trieu, Jenny', 'Dawson, Jaden', 'Hou, Lisa', 'Sollmann, Lea', 'Kral, Andrej', 'Hubka, Peter', 'Ratnanather, J Tilak']","['alternating kernel method', 'auditory cortex', 'hearing loss', 'histology', 'multidimensional alternating kernel method', 'segmentation']",Multidimensional Alternating Kernel Method for cortical layer segmentation in 3D reconstructed histology.,"The neocortex of the brain can be divided into six layers each with a distinct cell composition and connectivity pattern. Recently, sensory deprivation, including congenital deafness, has been shown to alter cortical structure (e.g. the cortical thickness) of the feline auditory cortex with variable and inconsistent results. Thus, understanding these complex changes will require further study of the constituent cortical layers in three-dimensional space. Further progress crucially depends on the use of objective computational techniques that can reliably characterize spatial properties of the complex cortical structure. Here a method for cortical laminar segmentation is derived and applied to the three-dimensional cortical areas reconstructed from a series of histological sections from four feline brains. In this approach, the Alternating Kernel Method was extended to fit a multi-variate Gaussian mixture model to a feature space consisting of both staining intensity and a biologically plausible equivolumetric depth map. This research method•Extends the Alternating Kernel Method to multi-dimensional feature spaces.•Uses it to segment the cortical layers in reconstructed histology volume. Segmentation features include staining intensity and a biologically plausible equivolumetric depth map.•Validates results in auditory cortical areas of feline brains, two with normal hearing and two with congenital deafness."
2024 Jun,MethodsX,MethodsX. 2024 Apr 1;12:102689. doi: 10.1016/j.mex.2024.102689. eCollection 2024 ,"['Younes, Laurent', 'Kutten, Kwame S', 'Ratnanather, J Tilak']","[""bok's hypothesis"", 'cortical thickness', 'equivolumetric coordinates', 'medical imaging', 'normal equivolumetric coordinate system', 'shape analysis']",Normal and equivolumetric coordinate systems for cortical areas.,"We describe coordinate systems adapted for the space between two surfaces, such as those delineating the highly folded cortex in mammalian brains. These systems are estimated in order to satisfy geometric priors, including streamline normality or equivolumetric conditions on layers. We give a precise mathematical formulation of these problems, and present numerical simulations based on diffeomorphic registration methods, comparing them with recent approaches. Our method involves•Diffeomorphic registration of inner and outer folded folded surfaces.•Followed by equivolumetric reparametrization of layers to yield coordinate system."
2022 Apr,Brain imaging and behavior,Brain Imaging Behav. 2022 Apr;16(2):921-929. doi: 10.1007/s11682-021-00583-9. ,"['Pettigrew, Corinne', 'Soldan, Anja', 'Brichko, Rostislav', 'Zhu, Yuxin', 'Wang, Mei-Cheng', 'Kutten, Kwame', 'Bilgel, Murat', 'Mori, Susumu', 'Miller, Michael I', 'Albert, Marilyn']","['aged', ' alzheimer disease pathology', 'amyloid', 'amyloid beta-peptides', 'biomarkers', ' cognitive dysfunction pathology', 'cross-sectional studies', ' dementia diagnostic imaging', 'humans', 'magnetic resonance imaging', ' memory, episodic', 'neuropsychological tests', 'paired-associate learning', 'positron-emission tomography', 'amyloid positivity', 'cognition', 'computerized tasks', 'mild cognitive impairment', 'paired associate learning']",Computerized paired associate learning performance and imaging biomarkers in older adults without dementia.,"This cross-sectional study examined whether performance on the computerized Paired Associate Learning (PAL) task from the Cambridge Neuropsychological Test Automated Battery is associated with amyloid positivity as measured by Positron Emission Tomography, regional volume composites as measured by Magnetic Resonance Imaging, and cognitive impairment. Participants from the BIOCARD Study (N = 73, including 62 cognitively normal and 11 with mild cognitive impairment; M age = 70 years) completed the PAL task, a comprehensive clinical and neuropsychological assessment, and neuroimaging as part of their annual study visit. In linear regressions covarying age, sex, years of education and diagnosis, higher PAL error scores were associated with amyloid positivity but not with medial temporal or cortical volume composites. By comparison, standard neuropsychological measures of episodic memory and global cognition were unrelated to amyloid positivity, but better performance on the verbal episodic memory measures was associated with larger cortical volume composites. Participants with mild cognitive impairment demonstrated worse cognitive performance on all of the cognitive measures, including the PAL task. These findings suggest that this computerized visual paired associate learning task may be more sensitive to amyloid positivity than standard neuropsychological tests, and may therefore be a promising tool for detecting amyloid positivity in non-demented participants."
2021,Frontiers in psychiatry,Front Psychiatry. 2021 Feb 16;12:614010. doi: 10.3389/fpsyt.2021.614010. ,"['Athey, Thomas L', 'Ceritoglu, Can', 'Tward, Daniel J', 'Kutten, Kwame S', 'DePaulo, J Raymond', 'Glazer, Kara', 'Goes, Fernando S', 'Kelsoe, John R', 'Mondimore, Francis', 'Nievergelt, Caroline M', 'Rootes-Murdy, Kelly', 'Zandi, Peter P', 'Ratnanather, J Tilak', 'Mahon, Pamela B']","['7t mri', 'amygdala', 'bipolar disorder', 'hippocampus', 'lithium', 'shape analysis']",A 7 Tesla Amygdalar-Hippocampal Shape Analysis of Lithium Response in Bipolar Disorder.,"Research to discover clinically useful predictors of lithium response in patients with bipolar disorder has largely found them to be elusive. We demonstrate here that detailed neuroimaging may have the potential to fill this important gap in mood disorder therapeutics. Lithium treatment and bipolar disorder have both been shown to affect anatomy of the hippocampi and amygdalae but there is no consensus on the nature of their effects. We aimed to investigate structural surface anatomy changes in amygdala and hippocampus correlated with treatment response in bipolar disorder. Patients with bipolar disorder (N = 14) underwent lithium treatment, were classified by response status at acute and long-term time points, and scanned with 7 Tesla structural MRI. Large Deformation Diffeomorphic Metric Mapping was applied to detect local differences in hippocampal and amygdalar anatomy between lithium responders and non-responders. Anatomy was also compared to 21 healthy comparison participants. A patch of the ventral surface of the left hippocampus was found to be significantly atrophied in non-responders as compared to responders at the acute time point and was associated at a trend-level with long-term response status. We did not detect an association between response status and surface anatomy of the right hippocampus or amygdala. To the best of our knowledge, this is the first shape analysis of hippocampus and amygdala in bipolar disorder using 7 Tesla MRI. These results can inform future work investigating possible neuroimaging predictors of lithium response in bipolar disorder."
2020 Sep,Neuroradiology,Neuroradiology. 2020 Sep;62(9):1157-1167. doi: 10.1007/s00234-020-02436-6. Epub ,"['Dhir, S Bryn', 'Kutten, Kwame S', 'Li, Muwei', 'Faria, Andreia V', 'Younes, Laurent', 'Ratnanather, J Tilak']","[' acoustics', 'adult', 'auditory pathways  diagnostic imaging', 'diffusion tensor imaging  methods', 'female', ' hearing loss', 'humans', 'imaging, three-dimensional', 'male', 'middle aged', 'retrospective studies', 'thalamus  diagnostic imaging', ' white matter', 'acoustic radiation', 'diffusion tensor imaging', 'dynamic programming', 'probabilistic tractography']",Visualising the topography of the acoustic radiation in clinical diffusion tensor imaging scans.,"PURPOSE: It has long been thought that the acoustic radiation (AR) white matter fibre tract from the medial geniculate body of the thalamus to the Heschl's gyrus cannot be reconstructed via single-fibre analysis of clinical diffusion tensor imaging (DTI) scans. A recently developed single-fibre probabilistic method suggests otherwise. The method uses dynamic programming (DP) to compute the most probable paths between two regions of interest. This study aims to observe the ability of single-fibre probabilistic analysis via DP to visualise the AR in clinical DTI scans from legacy pilot cohorts of subjects with normal hearing (NH) and profound hearing loss (HL). METHODS: Single-fibre probabilistic analysis via DP was applied to reconstruct 3D models of the AR in the two cohorts. DTI and T1 data at 1.5 T for subjects with NH (n = 11) and HL (n = 5), as well as 3 T for NH (n = 1) and HL (n = 1), were used. RESULTS: The topographical features of AR previously observed in post-mortem and multi-fibre analyses can be visualised in DTI scans of 16 subjects and 2 atlases with a success rate of 100%. Relative to MNI coordinates, there was no significant difference in the varifold distances between the topography of the tracts in the 1.5 T cohort. CONCLUSION: The AR can be visualised in clinical 1.5 T and 3 T DTI scans using single-fibre probabilistic analysis via DP, hence, the potential for DP to visualise the AR in medical and pre-surgical applications in pathologies such as vestibular schwannoma, multiple sclerosis, thalamic tumours and stroke as well as hearing loss."
2020 Jun 1,Journal of neurophysiology,J Neurophysiol. 2020 Jun 1;123(6):2373-2381. doi: 10.1152/jn.00118.2020. Epub ,"['Umesh, Amith', 'Kutten, Kwame S', 'Hogan, Patrick S', 'Ratnanather, J Tilak', 'Chib, Vikram S']","['adolescent', 'adult', 'decision making  physiology', 'female', 'humans', 'magnetic resonance imaging', 'male', 'motor activity  physiology', 'motor cortex  anatomy & histology  physiology', 'psychomotor performance  physiology', 'young adult', 'decision-making', 'effort', 'motor cortex']",Motor cortical thickness is related to effort-based decision-making in humans.,"Although motor cortex is integral in driving physical exertion, how its inherent properties influence decisions to exert is unknown. In this study, we examined how anatomical properties of motor cortex are related to participants' subjective valuations of effort and their decisions to exert effort. We used computational modeling to characterize participants' subjective valuation of physical effort during an effort-based decision-making task in which they made choices about exerting different levels of hand-grip exertion. We also acquired structural MRI data from these participants and extracted anatomical measures of each individual's hand knob, the region of motor cortex recruited during hand-grip exertion. We found that individual participants' cortical thickness of hand knob was associated with their effort-based decisions regarding hand exertion. These data provide evidence that the anatomy of an individual's motor cortex is an important factor in decisions to engage in physical activity.NEW & NOTEWORTHY How effortful a task feels is an integral aspect of human decision-making that influences choices to engage in physical activity. We show that properties of motor cortex (the brain region responsible for physical exertion) are related to assessments of effort and decisions to exert. These findings provide a link between the anatomical properties of motor cortex and the cognitive function of effort-based choice."
2019 Oct,Brain and behavior,Brain Behav. 2019 Oct;9(10):e01363. doi: 10.1002/brb3.1363. Epub 2019 Sep 4.,"['Rezende, Thiago J R', 'Campos, Brunno M', 'Hsu, Johnny', 'Li, Yue', 'Ceritoglu, Can', 'Kutten, Kwame', 'França Junior, Marcondes C', 'Mori, Susumu', 'Miller, Michael I', 'Faria, Andreia V']","['adult', 'algorithms', 'brain  diagnostic imaging', 'connectome', 'diffusion tensor imaging  methods', 'female', 'functional neuroimaging  methods', 'humans', 'image processing, computer-assisted  methods', 'magnetic resonance imaging  methods', 'male', 'middle aged', 'reproducibility of results', 'software', 'young adult', 'automated segmentation', 'multimodality brain mri', 'reproducibility', 'test-retest']",Test-retest reproducibility of a multi-atlas automated segmentation tool on multimodality brain MRI.,"INTRODUCTION: The increasing use of large sample sizes for population and personalized medicine requires high-throughput tools for imaging processing that can handle large amounts of data with diverse image modalities, perform a biologically meaningful information reduction, and result in comprehensive quantification. Exploring the reproducibility of these tools reveals the specific strengths and weaknesses that heavily influence the interpretation of results, contributing to transparence in science. METHODS: We tested-retested the reproducibility of MRICloud, a free automated method for whole-brain, multimodal MRI segmentation and quantification, on two public, independent datasets of healthy adults. RESULTS: The reproducibility was extremely high for T1-volumetric analysis, high for diffusion tensor images (DTI) (however, regionally variable), and low for resting-state fMRI. CONCLUSION: In general, the reproducibility of the different modalities was slightly superior to that of widely used software. This analysis serves as a normative reference for planning samples and for the interpretation of structure-based MRI studies."
2019 May 1,NeuroImage,Neuroimage. 2019 May 1;191:337-349. doi: 10.1016/j.neuroimage.2019.02.016. Epub ,"['Li, Xu', 'Chen, Lin', 'Kutten, Kwame', 'Ceritoglu, Can', 'Li, Yue', 'Kang, Ningdong', 'Hsu, John T', 'Qiao, Ye', 'Wei, Hongjiang', 'Liu, Chunlei', 'Miller, Michael I', 'Mori, Susumu', 'Yousem, David M', 'van Zijl, Peter C M', 'Faria, Andreia V']","['adult', 'aged', ' atlases as topic', ' brain anatomy & histology physiology', 'brain mapping  methods', 'datasets as topic', 'female', ' gray matter anatomy & histology physiology', 'humans', 'image processing, computer-assisted  methods', 'male', 'middle aged', 'atlas', 'automated segmentation', 'qsm', 'swi', 'susceptibility quantification']",Multi-atlas tool for automated segmentation of brain gray matter nuclei and quantification of their magnetic susceptibility.,"Quantification of tissue magnetic susceptibility using MRI offers a non-invasive measure of important tissue components in the brain, such as iron and myelin, potentially providing valuable information about normal and pathological conditions during aging. Despite many advances made in recent years on imaging techniques of quantitative susceptibility mapping (QSM), accurate and robust automated segmentation tools for QSM images that can help generate universal and sharable susceptibility measures in a biologically meaningful set of structures are still not widely available. In the present study, we developed an automated process to segment brain nuclei and quantify tissue susceptibility in these regions based on a susceptibility multi-atlas library, consisting of 10 atlases with T1-weighted images, gradient echo (GRE) magnitude images and QSM images of brains with different anatomic patterns. For each atlas in this library, 10 regions of interest in iron-rich deep gray matter structures that are better defined by QSM contrast were manually labeled, including caudate, putamen, globus pallidus internal/external, thalamus, pulvinar, subthalamic nucleus, substantia nigra, red nucleus and dentate nucleus in both left and right hemispheres. We then tested different pipelines using different combinations of contrast channels to bring the set of labels from the multi-atlases to each target brain and compared them with the gold standard manual delineation. The results showed that the segmentation accuracy using dual contrasts QSM/T1 pipeline outperformed other dual-contrast or single-contrast pipelines. The dice values of 0.77 ± 0.09 using the QSM/T1 multi-atlas pipeline rivaled with the segmentation reliability obtained from multiple evaluators with dice values of 0.79 ± 0.07 and gave comparable or superior performance in segmenting subcortical nuclei in comparison with standard FSL FIRST or recent multi-atlas package of volBrain. The segmentation performance of the QSM/T1 multi-atlas was further tested on QSM images acquired using different acquisition protocols and platforms and showed good reliability and reproducibility with average dice of 0.79 ± 0.08 to manual labels and 0.89 ± 0.04 in an inter-protocol manner. The extracted quantitative magnetic susceptibility values in the deep gray matter nuclei also correlated well between different protocols with inter-protocol correlation constants all larger than 0.97. Such reliability and performance was ultimately validated in an external dataset acquired at another study site with consistent susceptibility measures obtained using the QSM/T1 multi-atlas approach in comparison to those using manual delineation. In summary, we designed a susceptibility multi-atlas tool for automated and reliable segmentation of QSM images and for quantification of magnetic susceptibilities. It is publicly available through our cloud-based platform (www.mricloud.org). Further improvement on the performance of this multi-atlas tool is expected by increasing the number of atlases in the future."
2015,PloS one,PLoS One. 2015 Jul 24;10(7):e0133533. doi: 10.1371/journal.pone.0133533. ,"['Liang, Zifei', 'He, Xiaohai', 'Ceritoglu, Can', 'Tang, Xiaoying', 'Li, Yue', 'Kutten, Kwame S', 'Oishi, Kenichi', 'Miller, Michael I', 'Mori, Susumu', 'Faria, Andreia V']","['age factors', 'algorithms', 'alzheimer disease diagnosis pathology', 'brain  pathology', ' brain mapping methods standards', 'databases, factual', 'humans', 'image processing, computer-assisted', 'magnetic resonance imaging methods standards', 'reproducibility of results']",Evaluation of Cross-Protocol Stability of a Fully Automated Brain Multi-Atlas Parcellation Tool.,"Brain parcellation tools based on multiple-atlas algorithms have recently emerged as a promising method with which to accurately define brain structures. When dealing with data from various sources, it is crucial that these tools are robust for many different imaging protocols. In this study, we tested the robustness of a multiple-atlas, likelihood fusion algorithm using Alzheimer's Disease Neuroimaging Initiative (ADNI) data with six different protocols, comprising three manufacturers and two magnetic field strengths. The entire brain was parceled into five different levels of granularity. In each level, which defines a set of brain structures, ranging from eight to 286 regions, we evaluated the variability of brain volumes related to the protocol, age, and diagnosis (healthy or Alzheimer's disease). Our results indicated that, with proper pre-processing steps, the impact of different protocols is minor compared to biological effects, such as age and pathology. A precise knowledge of the sources of data variation enables sufficient statistical power and ensures the reliability of an anatomical analysis when using this automated brain parcellation tool on datasets from various imaging protocols, such as clinical databases."
2015,Frontiers in neuroscience,Front Neurosci. 2015 Mar 3;9:61. doi: 10.3389/fnins.2015.00061. eCollection 2015.,"['Tang, Xiaoying', 'Crocetti, Deana', 'Kutten, Kwame', 'Ceritoglu, Can', 'Albert, Marilyn S', 'Mori, Susumu', 'Mostofsky, Stewart H', 'Miller, Michael I']","['automated brain segmentation', 'likelihood-fusion', 'multi-atlas', 'skull-stripping', 'subcortical structures', 'ventricle']",Segmentation of brain magnetic resonance images based on multi-atlas likelihood fusion: testing using data with a broad range of anatomical and photometric profiles.,"We propose a hierarchical pipeline for skull-stripping and segmentation of anatomical structures of interest from T1-weighted images of the human brain. The pipeline is constructed based on a two-level Bayesian parameter estimation algorithm called multi-atlas likelihood fusion (MALF). In MALF, estimation of the parameter of interest is performed via maximum a posteriori estimation using the expectation-maximization (EM) algorithm. The likelihoods of multiple atlases are fused in the E-step while the optimal estimator, a single maximizer of the fused likelihoods, is then obtained in the M-step. There are two stages in the proposed pipeline; first the input T1-weighted image is automatically skull-stripped via a fast MALF, then internal brain structures of interest are automatically extracted using a regular MALF. We assess the performance of each of the two modules in the pipeline based on two sets of images with markedly different anatomical and photometric contrasts; 3T MPRAGE scans of pediatric subjects with developmental disorders vs. 1.5T SPGR scans of elderly subjects with dementia. Evaluation is performed quantitatively using the Dice overlap as well as qualitatively via visual inspections. As a result, we demonstrate subject-level differences in the performance of the proposed pipeline, which may be accounted for by age, diagnosis, or the imaging parameters (particularly the field strength). For the subcortical and ventricular structures of the two datasets, the hierarchical pipeline is capable of producing automated segmentations with Dice overlaps ranging from 0.8 to 0.964 when compared with the gold standard. Comparisons with other representative segmentation algorithms are presented, relative to which the proposed hierarchical pipeline demonstrates comparative or superior accuracy."
