time,journal,doi_info,authors,key words,title,abstract
2024 Apr,Journal of molecular and cellular cardiology,J Mol Cell Cardiol. 2024 Apr;189:52-65. doi: 10.1016/j.yjmcc.2024.02.002. Epub ,"['Morrissette-McAlmon, Justin', 'Xu, William R', 'Teuben, Roald', 'Boheler, Kenneth R', 'Tung, Leslie']","['humans', ' myocytes, cardiac', 'cells, cultured', 'culture media, conditioned pharmacology', ' induced pluripotent stem cells', 'cell differentiation physiology', 'adipocytes', 'action potentials', 'adipocytes', 'cardiac fat', 'disease phenotypes', 'electrophysiology', 'human adipose derived stem stromal cells (hascs)', 'human induced pluripotent stem cell derived cardiomyocytes (hipsc-cms)']",Adipocyte-mediated electrophysiological remodeling of human stem cell - derived cardiomyocytes.,"Adipocytes normally accumulate in the epicardial and pericardial layers around the human heart, but their infiltration into the myocardium can be proarrhythmic. METHODS AND RESULTS: Human adipose derived stem/stromal cells and human induced pluripotent stem cells (hiPSC) were differentiated, respectively into predominantly white fat-like adipocytes (hAdip) and ventricular cardiomyocytes (CMs). Adipocytes cultured in CM maintenance medium (CM medium) maintained their morphology, continued to express adipogenic markers, and retained clusters of intracellular lipid droplets. In contrast, hiPSC-CMs cultivated in adipogenic growth medium displayed abnormal cell morphologies and more clustering across the monolayer. Pre-plated hiPSC-CMs co-cultured in direct contact with hAdips in CM medium displayed prolonged action potential durations, increased triangulation, slowed conduction velocity, increased conduction velocity heterogeneity, and prolonged calcium transients. When hAdip-conditioned medium was added to monolayer cultures of hiPSC-CMs, results similar to those recorded with direct co-cultures were observed. Both co-culture and conditioned medium experiments resulted in increases in transcript abundance of SCN10A, CACNA1C, SLC8A1, and RYR2, with a decrease in KCNJ2. Human adipokine immunoblots revealed the presence of cytokines that were elevated in adipocyte-conditioned medium, including MCP-1, IL-6, IL-8 and CFD that could induce electrophysiological changes in cultured hiPSC-CMs. CONCLUSIONS: Co-culture of hiPSC-CMs with hAdips reveals a potentially pathogenic role of infiltrating human adipocytes on myocardial tissue. In the absence of structural changes, hAdip paracrine release alone is sufficient to cause CM electrophysiological dysfunction mirroring the co-culture conditions. These effects, mediated largely by paracrine mechanisms, could promote arrhythmias in the heart."
2023 Sep 25,Genes,Genes (Basel). 2023 Sep 25;14(10):1864. doi: 10.3390/genes14101864.,"['Chua, Christianne J', 'Morrissette-McAlmon, Justin', 'Tung, Leslie', 'Boheler, Kenneth R']","['humans', ' induced pluripotent stem cells metabolism', 'myocytes, cardiac metabolism', ' cardiomyopathies metabolism', 'phenotype', 'arrhythmia', 'arrhythmogenic cardiomyopathy', 'cardiomyocytes', 'desmosome', 'heart', 'human induced pluripotent stem cells']",Understanding Arrhythmogenic Cardiomyopathy: Advances through the Use of Human Pluripotent Stem Cell Models.,"Cardiomyopathies (CMPs) represent a significant healthcare burden and are a major cause of heart failure leading to premature death. Several CMPs are now recognized to have a strong genetic basis, including arrhythmogenic cardiomyopathy (ACM), which predisposes patients to arrhythmic episodes. Variants in one of the five genes (PKP2, JUP, DSC2, DSG2, and DSP) encoding proteins of the desmosome are known to cause a subset of ACM, which we classify as desmosome-related ACM (dACM). Phenotypically, this disease may lead to sudden cardiac death in young athletes and, during late stages, is often accompanied by myocardial fibrofatty infiltrates. While the pathogenicity of the desmosome genes has been well established through animal studies and limited supplies of primary human cells, these systems have drawbacks that limit their utility and relevance to understanding human disease. Human induced pluripotent stem cells (hiPSCs) have emerged as a powerful tool for modeling ACM in vitro that can overcome these challenges, as they represent a reproducible and scalable source of cardiomyocytes (CMs) that recapitulate patient phenotypes. In this review, we provide an overview of dACM, summarize findings in other model systems linking desmosome proteins with this disease, and provide an up-to-date summary of the work that has been conducted in hiPSC-cardiomyocyte (hiPSC-CM) models of dACM. In the context of the hiPSC-CM model system, we highlight novel findings that have contributed to our understanding of disease and enumerate the limitations, prospects, and directions for research to consider towards future progress."
2021 Dec 15,Integrative biology : quantitative biosciences from nano to macro,Integr Biol (Camb). 2021 Dec 15;13(10):246-257. doi: 10.1093/intbio/zyab017.,"['Shi, Yu', 'Sivarajan, Shankar', 'Xiang, Katherine M', 'Kostecki, Geran M', 'Tung, Leslie', 'Crocker, John C', 'Reich, Daniel H']","[' actin cytoskeleton', ' actomyosin', 'animals', 'cytoskeleton', 'microtubules', 'rats', 'stress fibers', 'active matter', 'cortex', 'cytoquake', 'cytoskeleton']",Pervasive cytoquakes in the actomyosin cortex across cell types and substrate stiffness.,"The actomyosin cytoskeleton enables cells to resist deformation, crawl, change their shape and sense their surroundings. Despite decades of study, how its molecular constituents can assemble together to form a network with the observed mechanics of cells remains poorly understood. Recently, it has been shown that the actomyosin cortex of quiescent cells can undergo frequent, abrupt reconfigurations and displacements, called cytoquakes. Notably, such fluctuations are not predicted by current physical models of actomyosin networks, and their prevalence across cell types and mechanical environments has not previously been studied. Using micropost array detectors, we have performed high-resolution measurements of the dynamic mechanical fluctuations of cells' actomyosin cortex and stress fiber networks. This reveals cortical dynamics dominated by cytoquakes-intermittent events with a fat-tailed distribution of displacements, sometimes spanning microposts separated by 4 μm, in all cell types studied. These included 3T3 fibroblasts, where cytoquakes persisted over substrate stiffnesses spanning the tissue-relevant range of 4.3 kPa-17 kPa, and primary neonatal rat cardiac fibroblasts and myofibroblasts, human embryonic kidney cells and human bone osteosarcoma epithelial (U2OS) cells, where cytoquakes were observed on substrates in the same stiffness range. Overall, these findings suggest that the cortex self-organizes into a marginally stable mechanical state whose physics may contribute to cell mechanical properties, active behavior and mechanosensing."
2021 Aug 1,Disease models & mechanisms,Dis Model Mech. 2021 Aug 1;14(8):dmm048827. doi: 10.1242/dmm.048827. Epub 2021 ,"['Duong, ThuyVy', 'Rose, Rebecca', 'Blazeski, Adriana', 'Fine, Noah', 'Woods, Courtney E', 'Thole, Joseph F', 'Sotoodehnia, Nona', 'Soliman, Elsayed Z', 'Tung, Leslie', 'McCallion, Andrew S', 'Arking, Dan E']","['animals', 'electrocardiography methods', ' long qt syndrome', ' zebrafish genetics', 'cardiac electrophysiology', 'flecainide acetate', 'regression model development', 'zebrafish adults']",Development and optimization of an in vivo electrocardiogram recording method and analysis program for adult zebrafish.,"Clinically pertinent electrocardiogram (ECG) data from model systems, such as zebrafish, are crucial for illuminating factors contributing to human cardiac electrophysiological abnormalities and disease. Current zebrafish ECG collection strategies have not adequately addressed the consistent acquisition of high-quality traces or sources of phenotypic variation that could obscure data interpretation. Thus, we developed a novel platform to ensure high-quality recording of in vivo subdermal adult zebrafish ECGs and zebrafish ECG reading GUI (zERG), a program to acquire measurements from traces that commercial software cannot examine owing to erroneous peak calling. We evaluate normal ECG trait variation, revealing highly reproducible intervals and wave amplitude variation largely driven by recording artifacts, and identify sex and body size as potential confounders to PR, QRS and QT intervals. With this framework, we characterize the effect of the class I anti-arrhythmic drug flecainide acetate on adults, provide support for the impact of a Long QT syndrome model, and establish power calculations for this and other studies. These results highlight our pipeline as a robust approach to evaluate zebrafish models of human cardiac electrophysiological phenotypes."
2021 Jul 10,Journal of clinical medicine,J Clin Med. 2021 Jul 10;10(14):3061. doi: 10.3390/jcm10143061.,"['Hawthorne, Robert N', 'Blazeski, Adriana', 'Lowenthal, Justin', 'Kannan, Suraj', 'Teuben, Roald', 'DiSilvestre, Deborah', 'Morrissette-McAlmon, Justin', 'Saffitz, Jeffrey E', 'Boheler, Kenneth R', 'James, Cynthia A', 'Chelko, Stephen P', 'Tomaselli, Gordon', 'Tung, Leslie']","['arvc', 'nfκb signaling', 'arrhythmogenic cardiomyopathy', 'arrhythmogenic right ventricular cardiomyopathy', 'desmoglein-2', 'induced pluripotent stem cells', 'patient-derived stem cells']","Altered Electrical, Biomolecular, and Immunologic Phenotypes in a Novel Patient-Derived Stem Cell Model of Desmoglein-2 Mutant ARVC.","Arrhythmogenic right ventricular cardiomyopathy (ARVC) is a progressive heart condition which causes fibro-fatty myocardial scarring, ventricular arrhythmias, and sudden cardiac death. Most cases of ARVC can be linked to pathogenic mutations in the cardiac desmosome, but the pathophysiology is not well understood, particularly in early phases when arrhythmias can develop prior to structural changes. Here, we created a novel human induced pluripotent stem cell-derived cardiomyocyte (hiPSC-CM) model of ARVC from a patient with a c.2358delA variant in desmoglein-2 (DSG2). These DSG2-mutant (DSG2(Mut)) hiPSC-CMs were compared against two wildtype hiPSC-CM lines via immunostaining, RT-qPCR, Western blot, RNA-Seq, cytokine expression and optical mapping. Mutant cells expressed reduced DSG2 mRNA and had altered localization of desmoglein-2 protein alongside thinner, more disorganized myofibrils. No major changes in other desmosomal proteins were noted. There was increased pro-inflammatory cytokine expression that may be linked to canonical and non-canonical NFκB signaling. Action potentials in DSG2(Mut) CMs were shorter with increased upstroke heterogeneity, while time-to-peak calcium and calcium decay rate were reduced. These were accompanied by changes in ion channel and calcium handling gene expression. Lastly, suppressing DSG2 in control lines via siRNA allowed partial recapitulation of electrical anomalies noted in DSG2(Mut) cells. In conclusion, the aberrant cytoskeletal organization, cytokine expression, and electrophysiology found DSG2(Mut) hiPSC-CMs could underlie early mechanisms of disease manifestation in ARVC patients."
2021 Nov,Seminars in cell & developmental biology,Semin Cell Dev Biol. 2021 Nov;119:49-60. doi: 10.1016/j.semcdb.2021.04.019. Epub ,"['Murphy, Sean A', 'Chen, Elaine Zhelan', 'Tung, Leslie', 'Boheler, Kenneth R', 'Kwon, Chulan']","['cell differentiation', 'humans', 'myocytes, cardiac  physiology', 'tissue engineering  methods', 'transcriptome  physiology', 'cardiomyocyte maturation', 'heart development', 'maturation metrics', 'pluripotent stem cells', 'single-cell transcriptomics', 'tissue engineering']",Maturing heart muscle cells: Mechanisms and transcriptomic insights.,"Cardiomyocyte (CM) maturation is the transformation of differentiated fetal CMs into adult CMs that involves changes in morphology, cell function and metabolism, and the transcriptome. This process is, however, incomplete and ultimately arrested in pluripotent stem cell-derived CMs (PSC-CMs) in culture, which hinders their broad biomedical application. For this reason, enormous efforts are currently being made with the goal of generating mature PSC-CMs. In this review, we summarize key aspects of maturation observed in native CMs and discuss recent findings on the factors and mechanisms that regulate the process. Particular emphasis is put on transcriptional regulation and single-cell RNA-sequencing analysis that has emerged as a key tool to study time-series gene regulation and to determine the maturation state. We then discuss different biomimetic strategies to enhance PSC-CM maturation and discuss their effects at the single cell transcriptomic and functional levels."
2021 Feb 24,Scientific reports,Sci Rep. 2021 Feb 24;11(1):4430. doi: 10.1038/s41598-021-83398-4.,"['Kostecki, Geran M', 'Shi, Yu', 'Chen, Christopher S', 'Reich, Daniel H', 'Entcheva, Emilia', 'Tung, Leslie']","['action potentials physiology', 'animals', 'arrhythmias, cardiac physiopathology', 'cardiac electrophysiology methods', 'cells, cultured', 'coculture techniques methods', 'electrophysiological phenomena  physiology', 'fibrosis physiopathology', 'heart rate physiology', 'myocytes, cardiac  pathology', 'myofibroblasts  pathology', 'optogenetics methods', 'rats']",Optogenetic current in myofibroblasts acutely alters electrophysiology and conduction of co-cultured cardiomyocytes.,"Interactions between cardiac myofibroblasts and myocytes may slow conduction and generate spontaneous beating in fibrosis, increasing the chance of life-threatening arrhythmia. While co-culture studies have shown that myofibroblasts can affect cardiomyocyte electrophysiology in vitro, the extent of myofibroblast-myocyte electrical conductance in a syncytium is unknown. In this neonatal rat study, cardiac myofibroblasts were transduced with Channelrhodopsin-2, which allowed acute and selective increase of myofibroblast current, and plated on top of cardiomyocytes. Optical mapping revealed significantly decreased conduction velocity (- 27 ± 6%, p < 10(-3)), upstroke rate (- 13 ± 4%, p = 0.002), and action potential duration (- 14 ± 7%, p = 0.004) in co-cultures when 0.017 mW/mm(2) light was applied, as well as focal spontaneous beating in 6/7 samples and a decreased cycle length (- 36 ± 18%, p = 0.002) at 0.057 mW/mm(2) light. In silico modeling of the experiments reproduced the experimental findings and suggested the light levels used in experiments produced excess current similar in magnitude to endogenous myofibroblast current. Fitting the model to experimental data predicted a tissue-level electrical conductance across the 3-D interface between myofibroblasts and cardiomyocytes of ~ 5 nS/cardiomyocyte, and showed how increased myofibroblast-myocyte conductance, increased myofibroblast/myocyte capacitance ratio, and increased myofibroblast current, which occur in fibrosis, can work in tandem to produce pro-arrhythmic increases in conduction and spontaneous beating."
2020 May 20,Scientific reports,Sci Rep. 2020 May 20;10(1):8387. doi: 10.1038/s41598-020-65064-3.,"['Morrissette-McAlmon, Justin', 'Ginn, Brian', 'Somers, Sarah', 'Fukunishi, Takuma', 'Thanitcul, Chanon', 'Rindone, Alexandra', 'Hibino, Narutoshi', 'Tung, Leslie', 'Mao, Hai-Quan', 'Grayson, Warren']","['adipocytes cytology', 'animals', 'biomimetics methods', 'cardiac electrophysiology  methods', 'endothelial cells cytology metabolism', 'human umbilical vein endothelial cells', 'humans', 'rats', 'stem cells cytology metabolism', 'stromal cells cytology metabolism']",Biomimetic Model of Contractile Cardiac Tissue with Endothelial Networks Stabilized by Adipose-Derived Stromal/Stem Cells.,"Cardiac tissue engineering strategies have the potential to regenerate functional myocardium following myocardial infarction. In this study, we utilized novel electrospun fibrin microfiber sheets of different stiffnesses (50.0 ± 11.2 kPa and 90.0 ± 16.4 kPa) to engineer biomimetic models of vascularized cardiac tissues. We characterized tissue assembly, electrophysiology, and contractility of neonatal rat ventricular cardiomyocytes (NRVCMs) cultured on these sheets. NRVCMs cultured on the softer substrates displayed higher conduction velocities (CVs) and improved electrophysiological properties. Human umbilical vein endothelial cells (HUVECs) formed dense networks on the sheets when co-cultured with human adipose-derived stem/stromal cells (hASCs). To achieve vascularized cardiac tissues, we tested various tri-culture protocols of NRVCM:hASC:HUVEC and found that a ratio of 1,500,000:37,500:150,000 cells/cm(2) enabled the formation of robust endothelial networks while retaining statistically identical electrophysiological characteristics to NRVCM-only cultures. Tri-cultures at this ratio on 90 kPa substrates exhibited average CVs of 14 ± 0.6 cm/s, Action Potential Duration (APD)80 and APD30 of 152 ± 11 ms and 71 ± 6 ms, respectively, and maximum capture rate (MCR) of 3.9 ± 0.7 Hz. These data indicate the significant potential of generating densely packed endothelial networks together with electrically integrated cardiac cells in vitro as a physiologic 3D cardiac model."
2020 Mar 11,Nano letters,Nano Lett. 2020 Mar 11;20(3):1561-1570. doi: 10.1021/acs.nanolett.9b04152. Epub ,"['Smith, Alec S T', 'Choi, Eunpyo', 'Gray, Kevin', 'Macadangdang, Jesse', 'Ahn, Eun Hyun', 'Clark, Elisa C', 'Laflamme, Michael A', 'Wu, Joseph C', 'Murry, Charles E', 'Tung, Leslie', 'Kim, Deok-Ho']","[' cell differentiation', 'electrodes', ' electrophysiological phenomena', 'humans', 'induced pluripotent stem cells cytology  metabolism', 'myocytes, cardiac cytology  metabolism', 'neurons cytology  metabolism', 'multielectrode arrays', 'cardiomyocyte', 'electrophysiology', 'ipsc', 'nanotopography', 'neuron']","NanoMEA: A Tool for High-Throughput, Electrophysiological Phenotyping of Patterned Excitable Cells.","Matrix nanotopographical cues are known to regulate the structure and function of somatic cells derived from human pluripotent stem cell (hPSC) sources. High-throughput electrophysiological analysis of excitable cells derived from hPSCs is possible via multielectrode arrays (MEAs) but conventional MEA platforms use flat substrates and do not reproduce physiologically relevant tissue-specific architecture. To address this issue, we developed a high-throughput nanotopographically patterned multielectrode array (nanoMEA) by integrating conductive, ion-permeable, nanotopographic patterns with 48-well MEA plates, and investigated the effect of substrate-mediated cytoskeletal organization on hPSC-derived cardiomyocyte and neuronal function at scale. Using our nanoMEA platform, we found patterned hPSC-derived cardiac monolayers exhibit both enhanced structural organization and greater sensitivity to treatment with calcium blocking or conduction inhibiting compounds when subjected to high-throughput dose-response studies. Similarly, hPSC-derived neurons grown on nanoMEA substrates exhibit faster migration and neurite outgrowth speeds, greater colocalization of pre- and postsynaptic markers, and enhanced cell-cell communication only revealed through examination of data sets derived from multiple technical replicates. The presented data highlight the nanoMEA as a new tool to facilitate high-throughput, electrophysiological analysis of ordered cardiac and neuronal monolayers, which can have important implications for preclinical analysis of excitable cell function."
2019 Oct 29,Circulation,Circulation. 2019 Oct 29;140(18):1491-1505. doi: ,"['Chelko, Stephen P', 'Asimaki, Angeliki', 'Lowenthal, Justin', 'Bueno-Beti, Carlos', 'Bedja, Djahida', 'Scalco, Arianna', 'Amat-Alarcon, Nuria', 'Andersen, Peter', 'Judge, Daniel P', 'Tung, Leslie', 'Saffitz, Jeffrey E']","['animals', 'arrhythmias, cardiac  metabolism pathology', 'cardiomyopathies  metabolism pathology', 'cytokines  metabolism', 'inflammation  metabolism', 'myocardial infarction metabolism pathology', 'myocardium metabolism pathology', 'myocytes, cardiac metabolism', 'rats, transgenic', 'rats, wistar', 'ventricular dysfunction, left metabolism pathology', 'b', 'nf-kappa', 'cardiomyopathies', 'cytokines', 'inflammation']",Therapeutic Modulation of the Immune Response in Arrhythmogenic Cardiomyopathy.,
