time,journal,doi_info,authors,key words,title,abstract
2024 Jun 25,Genome research,Genome Res. 2024 Jun 25;34(5):680-695. doi: 10.1101/gr.278565.123.,"['Razavi-Mohseni, Milad', 'Huang, Weitai', 'Guo, Yu A', 'Shigaki, Dustin', 'Ho, Shamaine Wei Ting', 'Tan, Patrick', 'Skanderup, Anders J', 'Beer, Michael A']","['humans', ' machine learning', ' stomach neoplasms genetics pathology metabolism', ' epithelial-mesenchymal transition genetics', ' gene expression regulation, neoplastic', 'transcription factor ap-1 metabolism genetics', 'cell line, tumor', 'fibrosis genetics', 'core binding factor alpha 1 subunit genetics metabolism', 'dna copy number variations', 'core binding factor alpha 2 subunit']",Machine learning identifies activation of RUNX/AP-1 as drivers of mesenchymal and fibrotic regulatory programs in gastric cancer.,"Gastric cancer (GC) is the fifth most common cancer worldwide and is a heterogeneous disease. Among GC subtypes, the mesenchymal phenotype (Mes-like) is more invasive than the epithelial phenotype (Epi-like). Although gene expression of the epithelial-to-mesenchymal transition (EMT) has been studied, the regulatory landscape shaping this process is not fully understood. Here we use ATAC-seq and RNA-seq data from a compendium of GC cell lines and primary tumors to detect drivers of regulatory state changes and their transcriptional responses. Using the ATAC-seq data, we developed a machine learning approach to determine the transcription factors (TFs) regulating the subtypes of GC. We identified TFs driving the mesenchymal (RUNX2, ZEB1, SNAI2, AP-1 dimer) and the epithelial (GATA4, GATA6, KLF5, HNF4A, FOXA2, GRHL2) states in GC. We identified DNA copy number alterations associated with dysregulation of these TFs, specifically deletion of GATA4 and amplification of MAPK9 Comparisons with bulk and single-cell RNA-seq data sets identified activation toward fibroblast-like epigenomic and expression signatures in Mes-like GC. The activation of this mesenchymal fibrotic program is associated with differentially accessible DNA cis-regulatory elements flanking upregulated mesenchymal genes. These findings establish a map of TF activity in GC and highlight the role of copy number driven alterations in shaping epigenomic regulatory programs as potential drivers of GC heterogeneity and progression."
2024 Apr,Nature methods,Nat Methods. 2024 Apr;21(4):723-734. doi: 10.1038/s41592-024-02216-7. Epub 2024 ,"['Yao, David', 'Tycko, Josh', 'Oh, Jin Woo', 'Bounds, Lexi R', 'Gosai, Sager J', 'Lataniotis, Lazaros', 'Mackay-Smith, Ava', 'Doughty, Benjamin R', 'Gabdank, Idan', 'Schmidt, Henri', 'Guerrero-Altamirano, Tania', 'Siklenka, Keith', 'Guo, Katherine', 'White, Alexander D', 'Youngworth, Ingrid', 'Andreeva, Kalina', 'Ren, Xingjie', 'Barrera, Alejandro', 'Luo, Yunhai', 'Yardımcı, Galip Gürkan', 'Tewhey, Ryan', 'Kundaje, Anshul', 'Greenleaf, William J', 'Sabeti, Pardis C', 'Leslie, Christina', 'Pritykin, Yuri', 'Moore, Jill E', 'Beer, Michael A', 'Gersbach, Charles A', 'Reddy, Timothy E', 'Shen, Yin', 'Engreitz, Jesse M', 'Bassik, Michael C', 'Reilly, Steven K']","['humans', ' clustered regularly interspaced short palindromic repeats genetics', ' crispr-cas systems genetics', 'genome', 'k562 cells', 'rna, guide, crispr-cas systems']",Multicenter integrated analysis of noncoding CRISPRi screens.,"The ENCODE Consortium's efforts to annotate noncoding cis-regulatory elements (CREs) have advanced our understanding of gene regulatory landscapes. Pooled, noncoding CRISPR screens offer a systematic approach to investigate cis-regulatory mechanisms. The ENCODE4 Functional Characterization Centers conducted 108 screens in human cell lines, comprising >540,000 perturbations across 24.85 megabases of the genome. Using 332 functionally confirmed CRE-gene links in K562 cells, we established guidelines for screening endogenous noncoding elements with CRISPR interference (CRISPRi), including accurate detection of CREs that exhibit variable, often low, transcriptional effects. Benchmarking five screen analysis tools, we find that CASA produces the most conservative CRE calls and is robust to artifacts of low-specificity single guide RNAs. We uncover a subtle DNA strand bias for CRISPRi in transcribed regions with implications for screen design and analysis. Together, we provide an accessible data resource, predesigned single guide RNAs for targeting 3,275,697 ENCODE SCREEN candidate CREs with CRISPRi and screening guidelines to accelerate functional characterization of the noncoding genome."
2023 Nov 13,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Nov 13:2023.11.09.563812. doi: ,"['Gschwind, Andreas R', 'Mualim, Kristy S', 'Karbalayghareh, Alireza', 'Sheth, Maya U', 'Dey, Kushal K', 'Jagoda, Evelyn', 'Nurtdinov, Ramil N', 'Xi, Wang', 'Tan, Anthony S', 'Jones, Hank', 'Ma, X Rosa', 'Yao, David', 'Nasser, Joseph', 'Avsec, Žiga', 'James, Benjamin T', 'Shamim, Muhammad S', 'Durand, Neva C', 'Rao, Suhas S P', 'Mahajan, Ragini', 'Doughty, Benjamin R', 'Andreeva, Kalina', 'Ulirsch, Jacob C', 'Fan, Kaili', 'Perez, Elizabeth M', 'Nguyen, Tri C', 'Kelley, David R', 'Finucane, Hilary K', 'Moore, Jill E', 'Weng, Zhiping', 'Kellis, Manolis', 'Bassik, Michael C', 'Price, Alkes L', 'Beer, Michael A', 'Guigó, Roderic', 'Stamatoyannopoulos, John A', 'Lieberman Aiden, Erez', 'Greenleaf, William J', 'Leslie, Christina S', 'Steinmetz, Lars M', 'Kundaje, Anshul', 'Engreitz, Jesse M']",[],An encyclopedia of enhancer-gene regulatory interactions in the human genome.,"Identifying transcriptional enhancers and their target genes is essential for understanding gene regulation and the impact of human genetic variation on disease(1-6). Here we create and evaluate a resource of >13 million enhancer-gene regulatory interactions across 352 cell types and tissues, by integrating predictive models, measurements of chromatin state and 3D contacts, and largescale genetic perturbations generated by the ENCODE Consortium(7). We first create a systematic benchmarking pipeline to compare predictive models, assembling a dataset of 10,411 elementgene pairs measured in CRISPR perturbation experiments, >30,000 fine-mapped eQTLs, and 569 fine-mapped GWAS variants linked to a likely causal gene. Using this framework, we develop a new predictive model, ENCODE-rE2G, that achieves state-of-the-art performance across multiple prediction tasks, demonstrating a strategy involving iterative perturbations and supervised machine learning to build increasingly accurate predictive models of enhancer regulation. Using the ENCODE-rE2G model, we build an encyclopedia of enhancer-gene regulatory interactions in the human genome, which reveals global properties of enhancer networks, identifies differences in the functions of genes that have more or less complex regulatory landscapes, and improves analyses to link noncoding variants to target genes and cell types for common, complex diseases. By interpreting the model, we find evidence that, beyond enhancer activity and 3D enhancer-promoter contacts, additional features guide enhancerpromoter communication including promoter class and enhancer-enhancer synergy. Altogether, these genome-wide maps of enhancer-gene regulatory interactions, benchmarking software, predictive models, and insights about enhancer function provide a valuable resource for future studies of gene regulation and human genetics."
2023 Aug 2,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Aug 2:2023.07.31.551381. doi: 10.1101/2023.07.31.551381.,"['Resnick, Jessica D', 'Wilson, Jo L', 'Anaya, Eddy', 'Conte, Abigail', 'Li, Maggie', 'Zhong, William', 'Beer, Michael A', 'Pekosz, Andrew']",[],"Growth media affects susceptibility of air-lifted human nasal epithelial cell cultures to SARS-CoV2, but not Influenza A, virus infection.","Primary differentiated human epithelial cell cultures have been widely used by researchers to study viral fitness and virus-host interactions, especially during the COVID19 pandemic. These cultures recapitulate important characteristics of the respiratory epithelium such as diverse cell type composition, polarization, and innate immune responses. However, standardization and validation of these cultures remains an open issue. In this study, two different expansion medias were evaluated and the impact on the resulting differentiated culture was determined. Use of both Airway and Ex Plus media types resulted in high quality, consistent cultures that were able to be used for these studies. Upon histological evaluation, Airway-grown cultures were more organized and had a higher proportion of basal progenitor cells while Ex Plus- grown cultures had a higher proportion terminally differentiated cell types. In addition to having different cell type proportions and organization, the two different growth medias led to cultures with altered susceptibility to infection with SARS-CoV-2 but not Influenza A virus. RNAseq comparing cultures grown in different growth medias prior to differentiation uncovered a high degree of differentially expressed genes in cultures from the same donor. RNAseq on differentiated cultures showed less variation between growth medias but alterations in pathways that control the expression of human transmembrane proteases including TMPRSS11 and TMPRSS2 were documented. Enhanced susceptibility to SARS-CoV-2 cannot be explained by altered cell type proportions alone, rather serine protease cofactor expression also contributes to the enhanced replication of SARS-CoV-2 as inhibition with camostat affected replication of an early SARS-CoV-2 variant and a Delta, but not Omicron, variant showed difference in replication efficiency between culture types. Therefore, it is important for the research community to standardize cell culture protocols particularly when characterizing novel viruses."
2023 Aug,Nature genetics,Nat Genet. 2023 Aug;55(8):1336-1346. doi: 10.1038/s41588-023-01450-7. Epub 2023 ,"['Luo, Renhe', 'Yan, Jielin', 'Oh, Jin Woo', 'Xi, Wang', 'Shigaki, Dustin', 'Wong, Wilfred', 'Cho, Hyein S', 'Murphy, Dylan', 'Cutler, Ronald', 'Rosen, Bess P', 'Pulecio, Julian', 'Yang, Dapeng', 'Glenn, Rachel A', 'Chen, Tingxu', 'Li, Qing V', 'Vierbuchen, Thomas', 'Sidoli, Simone', 'Apostolou, Effie', 'Huangfu, Danwei', 'Beer, Michael A']","['humans', ' enhancer elements, genetic genetics', ' gene expression regulation', 'cell differentiation genetics', 'transcription factors genetics', 'gene regulatory networks genetics', 'chromatin genetics']",Dynamic network-guided CRISPRi screen identifies CTCF-loop-constrained nonlinear enhancer gene regulatory activity during cell state transitions.,"Comprehensive enhancer discovery is challenging because most enhancers, especially those contributing to complex diseases, have weak effects on gene expression. Our gene regulatory network modeling identified that nonlinear enhancer gene regulation during cell state transitions can be leveraged to improve the sensitivity of enhancer discovery. Using human embryonic stem cell definitive endoderm differentiation as a dynamic transition system, we conducted a mid-transition CRISPRi-based enhancer screen. We discovered a comprehensive set of enhancers for each of the core endoderm-specifying transcription factors. Many enhancers had strong effects mid-transition but weak effects post-transition, consistent with the nonlinear temporal responses to enhancer perturbation predicted by the modeling. Integrating three-dimensional genomic information, we were able to develop a CTCF-loop-constrained Interaction Activity model that can better predict functional enhancers compared to models that rely on Hi-C-based enhancer-promoter contact frequency. Our study provides generalizable strategies for sensitive and systematic enhancer discovery in both normal and pathological cell state transitions."
2023 May 16,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 May 16:2023.05.15.540865. doi: ,"['Reese, Fairlie', 'Williams, Brian', 'Balderrama-Gutierrez, Gabriela', 'Wyman, Dana', 'Çelik, Muhammed Hasan', 'Rebboah, Elisabeth', 'Rezaie, Narges', 'Trout, Diane', 'Razavi-Mohseni, Milad', 'Jiang, Yunzhe', 'Borsari, Beatrice', 'Morabito, Samuel', 'Liang, Heidi Yahan', 'McGill, Cassandra J', 'Rahmanian, Sorena', 'Sakr, Jasmine', 'Jiang, Shan', 'Zeng, Weihua', 'Carvalho, Klebea', 'Weimer, Annika K', 'Dionne, Louise A', 'McShane, Ariel', 'Bedi, Karan', 'Elhajjajy, Shaimae I', 'Upchurch, Sean', 'Jou, Jennifer', 'Youngworth, Ingrid', 'Gabdank, Idan', 'Sud, Paul', 'Jolanki, Otto', 'Strattan, J Seth', 'Kagda, Meenakshi S', 'Snyder, Michael P', 'Hitz, Ben C', 'Moore, Jill E', 'Weng, Zhiping', 'Bennett, David', 'Reinholdt, Laura', 'Ljungman, Mats', 'Beer, Michael A', 'Gerstein, Mark B', 'Pachter, Lior', 'Guigó, Roderic', 'Wold, Barbara J', 'Mortazavi, Ali']",[],The ENCODE4 long-read RNA-seq collection reveals distinct classes of transcript structure diversity.,"The majority of mammalian genes encode multiple transcript isoforms that result from differential promoter use, changes in exonic splicing, and alternative 3' end choice. Detecting and quantifying transcript isoforms across tissues, cell types, and species has been extremely challenging because transcripts are much longer than the short reads normally used for RNA-seq. By contrast, long-read RNA-seq (LR-RNA-seq) gives the complete structure of most transcripts. We sequenced 264 LR-RNA-seq PacBio libraries totaling over 1 billion circular consensus reads (CCS) for 81 unique human and mouse samples. We detect at least one full-length transcript from 87.7% of annotated human protein coding genes and a total of 200,000 full-length transcripts, 40% of which have novel exon junction chains. To capture and compute on the three sources of transcript structure diversity, we introduce a gene and transcript annotation framework that uses triplets representing the transcript start site, exon junction chain, and transcript end site of each transcript. Using triplets in a simplex representation demonstrates how promoter selection, splice pattern, and 3' processing are deployed across human tissues, with nearly half of multi-transcript protein coding genes showing a clear bias toward one of the three diversity mechanisms. Evaluated across samples, the predominantly expressed transcript changes for 74% of protein coding genes. In evolution, the human and mouse transcriptomes are globally similar in types of transcript structure diversity, yet among individual orthologous gene pairs, more than half (57.8%) show substantial differences in mechanism of diversification in matching tissues. This initial large-scale survey of human and mouse long-read transcriptomes provides a foundation for further analyses of alternative transcript usage, and is complemented by short-read and microRNA data on the same samples and by epigenome data elsewhere in the ENCODE4 collection."
2023 Mar 18,"Pathogens (Basel, Switzerland)",Pathogens. 2023 Mar 18;12(3):480. doi: 10.3390/pathogens12030480.,"['Resnick, Jessica D', 'Beer, Michael A', 'Pekosz, Andrew']","['rna-seq', 'sars-cov-2', 'influenza', 'nasal epithelial cells']",Early Transcriptional Responses of Human Nasal Epithelial Cells to Infection with Influenza A and SARS-CoV-2 Virus Differ and Are Influenced by Physiological Temperature.,"Influenza A (IAV) and SARS-CoV-2 (SCV2) viruses represent an ongoing threat to public health. Both viruses target the respiratory tract, which consists of a gradient of cell types, receptor expression, and temperature. Environmental temperature has been an understudied contributor to infection susceptibility and understanding its impact on host responses to infection could help uncover new insight into severe disease risk factors. As the nasal passageways are the initial site of respiratory virus infection, in this study we investigated the effect of temperature on host responses in human nasal epithelial cells (hNECs) utilizing IAV and SCV2 in vitro infection models. We demonstrate that temperature affected SCV2, but not IAV, viral replicative fitness and that SCV2-infected cultures were slower to mount an infection-induced response, likely due to suppression by the virus. Additionally, we show that that temperature not only changed the basal transcriptomic landscape of epithelial cells, but that it also impacted the response to infection. The induction of interferon and other innate immune responses was not drastically affected by temperature, suggesting that while the baseline antiviral response at different temperatures remained consistent, there may be metabolic or signaling changes that affect how well the cultures were able to adapt to new pressures, such as infection. Finally, we show that hNECs responded differently to IAV and SCV2 infection in ways that give insight into how the virus is able to manipulate the cell to allow for replication and release. Taken together, these data give new insight into the innate immune response to respiratory infections and can assist in identifying new treatment strategies for respiratory infections."
2023 Mar 9,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Mar 9:2023.03.07.531609. doi: 10.1101/2023.03.07.531609.,"['Resnick, Jessica D', 'Beer, Michael A', 'Pekosz, Andrew']",[],Early transcriptional responses of human nasal epithelial cells to infection with Influenza A and SARS-CoV-2 virus differ and are influenced by physiological temperature.,"Influenza A (IAV) and SARS-CoV-2 (SCV2) viruses represent an ongoing threat to public health. Both viruses target the respiratory tract, which consists of a gradient of cell types, receptor expression, and temperature. Environmental temperature has been an un-derstudied contributor to infection susceptibility and understanding its impact on host responses to infection could help uncover new insights into severe disease risk factors. As the nasal passageways are the initial site of respiratory virus infection, in this study we investigated the effect of temperature on host responses in human nasal epithelial cells (hNECs) utilizing IAV and SCV2 in vitro infection models. We demonstrate that temperature affects SCV2, but not IAV, viral replicative fitness and that SCV2 infected cultures are slower to mount an infection-induced response, likely due to suppression by the virus. Additionally, we show that that temperature not only changes the basal transcriptomic landscape of epithelial cells, but that it also impacts the response to infection. The induction of interferon and other innate immune responses were not drastically affected by temperature, suggesting that while the baseline antiviral response at different temperatures remains consistent, there may be metabolic or signaling changes that affect how well the cultures are able to adapt to new pressures such as infection. Finally, we show that hNECs respond differently to IAV and SCV2 infection in ways that give insight into how the virus is able to manipulate the cell to allow for replication and release. Taken together, these data give new insight into the innate immune response to respiratory infections and can assist in identifying new treatment strategies for respiratory infections."
2023 Feb,Gut,Gut. 2023 Feb;72(2):226-241. doi: 10.1136/gutjnl-2021-326483. Epub 2022 Jul 11.,"['Ho, Shamaine Wei Ting', 'Sheng, Taotao', 'Xing, Manjie', 'Ooi, Wen Fong', 'Xu, Chang', 'Sundar, Raghav', 'Huang, Kie Kyon', 'Li, Zhimei', 'Kumar, Vikrant', 'Ramnarayanan, Kalpana', 'Zhu, Feng', 'Srivastava, Supriya', 'Isa, Zul Fazreen Bin Adam', 'Anene-Nzelu, Chukwuemeka George', 'Razavi-Mohseni, Milad', 'Shigaki, Dustin', 'Ma, Haoran', 'Tan, Angie Lay Keng', 'Ong, Xuewen', 'Lee, Ming Hui', 'Tay, Su Ting', 'Guo, Yu Amanda', 'Huang, Weitai', 'Li, Shang', 'Beer, Michael A', 'Foo, Roger Sik Yin', 'Teh, Ming', 'Skanderup, Anders Jacobsen', 'Teh, Bin Tean', 'Tan, Patrick']","['humans', 'cisplatin metabolism therapeutic use', ' gene expression regulation, neoplastic', 'prospective studies', 'protein kinases genetics', 'repressor proteins', 'retrospective studies', ' stomach neoplasms genetics', ' epigenesis, genetic', ' enhancer elements, genetic', 'gastric cancer']",Regulatory enhancer profiling of mesenchymal-type gastric cancer reveals subtype-specific epigenomic landscapes and targetable vulnerabilities.,"OBJECTIVE: Gastric cancer (GC) comprises multiple molecular subtypes. Recent studies have highlighted mesenchymal-subtype GC (Mes-GC) as a clinically aggressive subtype with few treatment options. Combining multiple studies, we derived and applied a consensus Mes-GC classifier to define the Mes-GC enhancer landscape revealing disease vulnerabilities. DESIGN: Transcriptomic profiles of ~1000 primary GCs and cell lines were analysed to derive a consensus Mes-GC classifier. Clinical and genomic associations were performed across >1200 patients with GC. Genome-wide epigenomic profiles (H3K27ac, H3K4me1 and assay for transposase-accessible chromatin with sequencing (ATAC-seq)) of 49 primary GCs and GC cell lines were generated to identify Mes-GC-specific enhancer landscapes. Upstream regulators and downstream targets of Mes-GC enhancers were interrogated using chromatin immunoprecipitation followed by sequencing (ChIP-seq), RNA sequencing, CRISPR/Cas9 editing, functional assays and pharmacological inhibition. RESULTS: We identified and validated a 993-gene cancer-cell intrinsic Mes-GC classifier applicable to retrospective cohorts or prospective single samples. Multicohort analysis of Mes-GCs confirmed associations with poor patient survival, therapy resistance and few targetable genomic alterations. Analysis of enhancer profiles revealed a distinctive Mes-GC epigenomic landscape, with TEAD1 as a master regulator of Mes-GC enhancers and Mes-GCs exhibiting preferential sensitivity to TEAD1 pharmacological inhibition. Analysis of Mes-GC super-enhancers also highlighted NUAK1 kinase as a downstream target, with synergistic effects observed between NUAK1 inhibition and cisplatin treatment. CONCLUSION: Our results establish a consensus Mes-GC classifier applicable to multiple transcriptomic scenarios. Mes-GCs exhibit a distinct epigenomic landscape, and TEAD1 inhibition and combinatorial NUAK1 inhibition/cisplatin may represent potential targetable options."
2021 Dec 16,Current genomics,Curr Genomics. 2021 Dec 16;22(4):301-305. doi: 10.2174/138920292204211203162041.,"['Beer, Michael A']",[],Indicators of Successful Career Transitions from Physical Sciences and Engineering to Biomedical Research.,
