time,journal,doi_info,authors,key words,title,abstract
2024 Jun 13,JACC. Clinical electrophysiology,JACC Clin Electrophysiol. 2024 Jun 13:S2405-500X(24)00360-8. doi: ,"[""O'Hara, Ryan P"", 'Lacy, Audrey', 'Prakosa, Adityo', 'Kholmovski, Eugene G', 'Maurizi, Niccolo', 'Pruvot, Etienne J', 'Teres, Cheryl', 'Antiochos, Panagiotis', 'Masi, Ambra', 'Schwitter, Juerg', 'Trayanova, Natalia A']","['catheter ablation', 'digital twin', 'sudden cardiac death', 'ventricular tachycardia']",Cardiac MRI Oversampling in Heart Digital Twins Improves Preprocedure Ventricular Tachycardia Identification in Postinfarction Patients.,"BACKGROUND: Ventricular tachycardia (VT), which can lead to sudden cardiac death, occurs frequently in patients after myocardial infarction. Radiofrequency catheter ablation (RFA) is a modestly effective treatment of VT, but it has limitations and risks. Cardiac magnetic resonance (CMR)-based heart digital twins have emerged as a useful tool for identifying VT circuits for RFA treatment planning. However, the CMR resolution used to reconstruct these digital twins may impact VT circuit predictions, leading to incorrect RFA treatment planning. OBJECTIVES: This study sought to predict RFA targets in the arrhythmogenic substrate using heart digital twins reconstructed from both clinical and high-resolution 2-dimensional CMR datasets and compare the predictions. METHODS: High-resolution (1.35 × 1.35 × 3 mm), or oversampled resolution (Ov-Res), short-axis late gadolinium-enhanced CMR was acquired by combining 2 subsequent clinical resolution (Clin-Res) (1.35 × 1.35 × 6 mm) short-axis late gadolinium-enhanced CMR scans from 6 post-myocardial infarction patients undergoing VT ablation and used to reconstruct a total of 3 digital twins (1 Ov-Res, 2 Clin-Res) for each patient. Rapid pacing was used to assess VT circuits and identify the optimal ablation targets in each digital twin. VT circuits predicted by the digital twins were compared with intraprocedural electroanatomic mapping data and used to identify emergent VT. RESULTS: The Ov-Res digital twins reduced partial volume effects and better predicted unique VT circuits compared with the Clin-Res digital twins (66.6% vs 54.5%; P < 0.01). Only the Ov-Res digital twin successfully identified emergent VT after a failed initial ablation. CONCLUSIONS: Digital twin infarct geometry and VT circuit predictions depend on the magnetic resonance resolution. Ov-Res digital twins better predict VT circuits and emergent VT, which may improve RFA outcomes."
2024 Jun,JACC. Clinical electrophysiology,JACC Clin Electrophysiol. 2024 Jun;10(6):1135-1146. doi: ,"['Xu, Lingyu', 'Khoshknab, Mirmilad', 'Moss, Juwann', 'Berger, Ronald D', 'Chrispin, Jonathan', 'Callans, David', 'Marchlinski, Francis E', 'Zimmerman, Stefan L', 'Han, Yuchi', 'Trayanova, Natalia', 'Desjardins, Benoit', 'Nazarian, Saman']","['humans', 'male', ' tachycardia, ventricular surgery etiology physiopathology', 'female', ' cardiomyopathies physiopathology diagnostic imaging', 'middle aged', 'aged', 'retrospective studies', ' catheter ablation', ' recurrence', ' metaplasia', 'magnetic resonance imaging', 'tomography, x-ray computed', 'lipomatosis surgery pathology diagnostic imaging complications', 'lipomatous metaplasia', 'nonischemic cardiomyopathy', 'ventricular tachycardia']",Lipomatous Metaplasia Is Associated With Ventricular Tachycardia Recurrence Following Ablation in Patients With Nonischemic Cardiomyopathy.,"BACKGROUND: Ventricular tachycardia (VT) recurrence rates remain high following ablation among patients with nonischemic cardiomyopathy (NICM). OBJECTIVES: This study sought to define the prevalence of lipomatous metaplasia (LM) in patients with NICM and VT and its association with postablation VT recurrence. METHODS: From patients who had ablation of left ventricular VT, we retrospectively identified 113 consecutive NICM patients with preprocedural contrast-enhanced cardiac computed tomography (CECT), from which LM was segmented. Nested within this cohort were 62 patients that prospectively underwent CECT and cardiac magnetic resonance from which myocardial border zone and dense late gadolinium enhancement (LGE) were segmented. A control arm of 30 NICM patients without VT with CECT was identified. RESULTS: LM was identified among 57% of control patients without VT vs 83% of patients without VT recurrence and 100% of patients with VT recurrence following ablation. In multivariable analyses, LM extent was the only independent predictor of VT recurrence, with an adjusted HR per 1-g LM increase of 1.1 (P < 0.001). Patients with LM extent ≥2.5 g had 4.9-fold higher hazard of VT recurrence than those with LM <2.5 g (P < 0.001). In the nested cohort with 32 VT recurrences, LM extent was independently associated with VT recurrence after adjustment for border zone and LGE extent (HR per 1 g increase: 1.1; P = 0.036). CONCLUSIONS: Myocardial LM is prevalent in patients with NICM of a variety of etiologies, and its extent is associated with postablation VT recurrence independent of the degree of fibrosis."
2024 Apr 25,Scientific reports,Sci Rep. 2024 Apr 25;14(1):9515. doi: 10.1038/s41598-024-59997-2.,"['Zingaro, Alberto', 'Ahmad, Zan', 'Kholmovski, Eugene', 'Sakata, Kensuke', ""Dede', Luca"", 'Morris, Alan K', 'Quarteroni, Alfio', 'Trayanova, Natalia A']","['humans', ' stroke physiopathology', 'female', 'male', ' heart atria physiopathology diagnostic imaging', ' hydrodynamics', 'middle aged', 'risk assessment methods', 'aged', ' hemodynamics', 'computer simulation', 'models, cardiovascular', 'magnetic resonance imaging, cine methods']",A comprehensive stroke risk assessment by combining atrial computational fluid dynamics simulations and functional patient data.,"Stroke, a major global health concern often rooted in cardiac dynamics, demands precise risk evaluation for targeted intervention. Current risk models, like the CHA2DS2-VASc score, often lack the granularity required for personalized predictions. In this study, we present a nuanced and thorough stroke risk assessment by integrating functional insights from cardiac magnetic resonance (CMR) with patient-specific computational fluid dynamics (CFD) simulations. Our cohort, evenly split between control and stroke groups, comprises eight patients. Utilizing"
2024 Mar 13,ArXiv,ArXiv [Preprint]. 2024 Mar 13:arXiv:2403.08685v1.,"['Ahmad, Zan', 'Yin, Minglang', 'Sukurdeep, Yashil', 'Rotenberg, Noam', 'Kholmovski, Eugene', 'Trayanova, Natalia A']","['atrial fibrillation', 'computational anatomy', 'elastic shape analysis', 'ischemic stroke', 'left atrial appendage']",Elastic shape analysis computations for clustering left atrial appendage geometries of atrial fibrillation patients.,"Morphological variations in the left atrial appendage (LAA) are associated with different levels of ischemic stroke risk for patients with atrial fibrillation (AF). Studying LAA morphology can elucidate mechanisms behind this association and lead to the development of advanced stroke risk stratification tools. However, current categorical descriptions of LAA morphologies are qualitative and inconsistent across studies, which impedes advancements in our understanding of stroke pathogenesis in AF. To mitigate these issues, we introduce a quantitative pipeline that combines elastic shape analysis with unsupervised learning for the categorization of LAA morphology in AF patients. As part of our pipeline, we compute pairwise elastic distances between LAA meshes from a cohort of 20 AF patients, and leverage these distances to cluster our shape data. We demonstrate that our method clusters LAA morphologies based on distinctive shape features, overcoming the innate inconsistencies of current LAA categorization systems, and paving the way for improved stroke risk metrics using objective LAA shape groups."
2024 Mar 16,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2024 Mar 16:2024.03.13.24304259. doi: ,"['Toloubidokhti, Maryam', 'Gharbia, Omar A', 'Parkosa, Adityo', 'Trayanova, Natalia', 'Nazarian, Saman', 'Sapp, John L', 'Wang, Linwei']","['3d ventricular tachycardia', 'electrocardiographic imaging', 'endocardial breakthrough']",Understanding the Utility of Endocardial Electrocardiographic Imaging in Epi-Endocardial Mapping of 3D Reentrant Circuits.,"BACKGROUND: Studies of VT mechanisms are largely based on a 2D portrait of reentrant circuits on one surface of the heart. This oversimplifies the 3D circuit that involves the depth of the myocardium. Simultaneous epicardial and endocardial (epi-endo) mapping was shown to facilitate a 3D delineation of VT circuits, which is however difficult via invasive mapping. OBJECTIVE: This study investigates the capability of noninvasive epicardial-endocardial electrocardiographic imaging (ECGI) to elucidate the 3D construct of VT circuits, emphasizing the differentiation of epicardial, endocardial, and intramural circuits and to determine the proximity of mid-wall exits to the epicardial or endocardial surfaces. METHODS: 120-lead ECGs of VT in combination with subject-specific heart-torso geometry are used to compute unipolar electrograms (CEGM) on ventricular epicardium and endocardia. Activation isochrones are constructed, and the percentage of activation within VT cycle length is calculated on each surface. This classifies VT circuits into 2D (surface only), uniform transmural, nonuniform transmural, and mid-myocardial (focal on surfaces). Furthermore, the endocardial breakthrough time was accurately measured using Laplacian eigenmaps, and by correlating the delay time of the epi-endo breakthroughs, the relative distance of a mid-wall exit to the epicardium or the endocardium surfaces was identified. RESULTS: We analyzed 23 simulated and in-vivo VT circuits on post-infarction porcine hearts. In simulated circuits, ECGI classified 21% as 2D and 78% as 3D: 82.6% of these were correctly classified. The relative timing between epicardial and endocardial breakthroughs was correctly captured across all cases. In in-vivo circuits, ECGI classified 25% as 2D and 75% as 3D: in all cases, circuit exits and entrances were consistent with potential critical isthmus delineated from combined LGE-MRI and catheter mapping data. CONCLUSIONS: ECGI epi-endo mapping has the potential for fast delineation of 3D VT circuits, which may augment detailed catheter mapping for VT ablation."
2024 Mar 15,Heliyon,Heliyon. 2024 Feb 28;10(5):e26858. doi: 10.1016/j.heliyon.2024.e26858. ,"['Paliwal, Nikhil', 'Park, Hwan-Cheol', 'Mao, Yuncong', 'Hong, Su Jin', 'Lee, Yonggu', 'Spragg, David D', 'Calkins, Hugh', 'Trayanova, Natalia A']","['atrial fibrillation', 'computational fluid dynamics', 'hemodynamics', 'patient-specific simulation', 'stroke']",Slow blood-flow in the left atrial appendage is associated with stroke in atrial fibrillation patients.,"BACKGROUND: Atrial fibrillation (AF) patients are at high risk of stroke with ∼90% clots originating from the left atrial appendage (LAA). Clinical understanding of blood-flow based parameters and their potential association with stroke for AF patients remains poorly understood. We hypothesize that slow blood-flow either in the LA or the LAA could lead to the formation of blood clots and is associated with stroke for AF patients. METHODS: We retrospectively collected cardiac CT images of paroxysmal AF patients and dichotomized them based on clinical event of previous embolic event into stroke and non-stroke groups. After image segmentation to obtain 3D LA geometry, patient-specific blood-flow analysis was performed to model LA hemodynamics. In terms of geometry, we calculated area of the pulmonary veins (PVs), mitral valve, LA and LAA, orifice area of LAA and volumes of LA and LAA and classified LAA morphologies. For hemodynamic assessment, we quantified blood flow velocity, wall shear stress (WSS, blood-friction on LA wall), oscillatory shear index (OSI, directional change of WSS) and endothelial cell activation potential (ECAP, ratio of OSI and WSS quantifying slow and oscillatory flow) in the LA as well as the LAA. Statistical analysis was performed to compare the parameters between the groups. RESULTS: Twenty-seven patients were included in the stroke and 28 in the non-stroke group. Examining geometrical parameters, area of left inferior PV was found to be significantly higher in the stroke group as compared to non-stroke group (p = 0.026). In terms of hemodynamics, stroke group had significantly lower blood velocity (p = 0.027), WSS (p = 0.018) and higher ECAP (p = 0.032) in the LAA as compared to non-stroke group. However, LAA morphologic type did not differ between the two groups. This suggests that stroke patients had significantly slow and oscillatory circulating blood-flow in the LAA, which might expose it to potential thrombogenesis. CONCLUSION: Slow flow in the LAA alone was associated with stroke in this paroxysmal AF cohort. Patient-specific blood-flow analysis can potentially identify such hemodynamic conditions, aiding in clinical stroke risk stratification of AF patients."
2024 Jan 15,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 15:2024.01.11.575156. doi: ,"['Zingaro, Alberto', 'Ahmad, Zan', 'Kholmovski, Eugene', 'Sakata, Kensuke', ""Dede', Luca"", 'Morris, Alan K', 'Quarteroni, Alfio', 'Trayanova, Natalia A']",[],A comprehensive stroke risk assessment by combining atrial computational fluid dynamics simulations and functional patient data.,"Stroke, a major global health concern often rooted in cardiac dynamics, demands precise risk evaluation for targeted intervention. Current risk models, like the CHA(2)DS(2)-VASc score, often lack the granularity required for personalized predictions. In this study, we present a nuanced and thorough stroke risk assessment by integrating functional insights from cardiac magnetic resonance (CMR) with patient-specific computational fluid dynamics (CFD) simulations. Our cohort, evenly split between control and stroke groups, comprises eight patients. Utilizing"
2024 Jul 1,Physiological reviews,Physiol Rev. 2024 Jul 1;104(3):1265-1333. doi: 10.1152/physrev.00017.2023. Epub ,"['Trayanova, Natalia A', 'Lyon, Aurore', 'Shade, Julie', 'Heijman, Jordi']","['humans', ' arrhythmias, cardiac physiopathology', 'animals', ' models, cardiovascular', 'computer simulation', 'translational research, biomedical', 'myocytes, cardiac physiology', 'electrophysiological phenomena physiology', 'action potentials physiology', 'arrhythmias', 'atrial fibrillation', 'cardiac electrophysiology', 'computational modeling', 'sudden cardiac death']",Computational modeling of cardiac electrophysiology and arrhythmogenesis: toward clinical translation.,"The complexity of cardiac electrophysiology, involving dynamic changes in numerous components across multiple spatial (from ion channel to organ) and temporal (from milliseconds to days) scales, makes an intuitive or empirical analysis of cardiac arrhythmogenesis challenging. Multiscale mechanistic computational models of cardiac electrophysiology provide precise control over individual parameters, and their reproducibility enables a thorough assessment of arrhythmia mechanisms. This review provides a comprehensive analysis of models of cardiac electrophysiology and arrhythmias, from the single cell to the organ level, and how they can be leveraged to better understand rhythm disorders in cardiac disease and to improve heart patient care. Key issues related to model development based on experimental data are discussed, and major families of human cardiomyocyte models and their applications are highlighted. An overview of organ-level computational modeling of cardiac electrophysiology and its clinical applications in personalized arrhythmia risk assessment and patient-specific therapy of atrial and ventricular arrhythmias is provided. The advancements presented here highlight how patient-specific computational models of the heart reconstructed from patient data have achieved success in predicting risk of sudden cardiac death and guiding optimal treatments of heart rhythm disorders. Finally, an outlook toward potential future advances, including the combination of mechanistic modeling and machine learning/artificial intelligence, is provided. As the field of cardiology is embarking on a journey toward precision medicine, personalized modeling of the heart is expected to become a key technology to guide pharmaceutical therapy, deployment of devices, and surgical interventions."
2023 Dec,JACC. Clinical electrophysiology,JACC Clin Electrophysiol. 2023 Dec;9(12):2520-2522. doi: ,"['Chrispin, Jonathan', 'Trayanova, Natalia']","['humans', ' tachycardia, ventricular', 'heart diagnostic imaging', 'action potential duration', 'imaging', 'ischemic scar', 'simulation', 'ventricular tachycardia']",Computational Heart Modeling to Guide VT Ablation: Is Wall Thickness Enough?,
2024 Jan,Heart rhythm,Heart Rhythm. 2024 Jan;21(1):89-99. doi: 10.1016/j.hrthm.2023.10.019. Epub 2023 ,"['Trayanova, Natalia A', 'Prakosa, Adityo']","['humans', ' atrial fibrillation therapy', 'heart', 'patient care', 'ablation', 'arrhythmia', 'atrial fibrillation', 'heart digital twins', 'sudden cardiac death risk prediction']",Up digital and personal: How heart digital twins can transform heart patient care.,"Precision medicine is the vision of health care where therapy is tailored to each patient. As part of this vision, digital twinning technology promises to deliver a digital representation of organs or even patients by using tools capable of simulating personal health conditions and predicting patient or disease trajectories on the basis of relationships learned both from data and from biophysics knowledge. Such virtual replicas would update themselves with data from monitoring devices and medical tests and assessments, reflecting dynamically the changes in our health conditions and the responses to treatment. In precision cardiology, the concepts and initial applications of heart digital twins have slowly been gaining popularity and the trust of the clinical community. In this article, we review the advancement in heart digital twinning and its initial translation to the management of heart rhythm disorders."
