time,journal,doi_info,authors,key words,title,abstract
2024 May 3,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 May 3:2024.05.02.592252. doi: 10.1101/2024.05.02.592252.,"['Jendrichovsky, Peter', 'Lee, Hey-Kyoung', 'Kanold, Patrick O']",[],Dark exposure reduces high-frequency hearing loss in C57BL/6J mice.,"Plastic changes in the brain are primarily limited to early postnatal periods. Recovery of adult brain plasticity is critical for the effective development of therapies. A brief (1-2 week) duration of visual deprivation (dark exposure, DE) in adult mice can trigger functional plasticity of thalamocortical and intracortical circuits in the primary auditory cortex suggesting improved sound processing. We tested if DE enhances the ability of adult mice to detect sounds. We trained and continuously evaluated the behavioral performance of mice in control and DE conditions using automated home-cage training. Consistent with age-related peripheral hearing loss present in C57BL/6J mice, we observed decreased performance for high-frequency sounds with age, which was reduced by DE. In CBA mice with preserved peripheral hearing, we also found that DE enhanced auditory performance in low and mid frequencies over time compared to the control."
2024 May 28,Cell reports,Cell Rep. 2024 May 28;43(5):114172. doi: 10.1016/j.celrep.2024.114172. Epub 2024 ,"['Wang, Mingxuan', 'Jendrichovsky, Peter', 'Kanold, Patrick O']","[' auditory cortex physiology', 'animals', ' discrimination learning physiology', 'mice', 'acoustic stimulation', 'auditory perception physiology', 'male', 'female', 'mice, inbred c57bl', 'evoked potentials, auditory physiology', 'cp: neuroscience', 'auditory cortex', 'automated behavioral training', 'chronic imaging', 'dorsal auditory field', 'functional connectivity', 'learning', 'neural representation', 'widefield']",Auditory discrimination learning differentially modulates neural representation in auditory cortex subregions and inter-areal connectivity.,"Changes in sound-evoked responses in the auditory cortex (ACtx) occur during learning, but how learning alters neural responses in different ACtx subregions and changes their interactions is unclear. To address these questions, we developed an automated training and widefield imaging system to longitudinally track the neural activity of all mouse ACtx subregions during a tone discrimination task. We find that responses in primary ACtx are highly informative of learned stimuli and behavioral outcomes throughout training. In contrast, representations of behavioral outcomes in the dorsal posterior auditory field, learned stimuli in the dorsal anterior auditory field, and inter-regional correlations between primary and higher-order areas are enhanced with training. Moreover, ACtx response changes vary between stimuli, and such differences display lag synchronization with the learning rate. These results indicate that learning alters functional connections between ACtx subregions, inducing region-specific modulations by propagating behavioral information from primary to higher-order areas."
2024 Apr 24,Nature,Nature. 2024 Apr 24. doi: 10.1038/s41586-024-07221-6.,"['Chen, Xiaoyin', 'Fischer, Stephan', 'Rue, Mara C P', 'Zhang, Aixin', 'Mukherjee, Didhiti', 'Kanold, Patrick O', 'Gillis, Jesse', 'Zador, Anthony M']",[],Whole-cortex in situ sequencing reveals input-dependent area identity.,"The cerebral cortex is composed of neuronal types with diverse gene expression that are organized into specialized cortical areas. These areas, each with characteristic cytoarchitecture(1,2), connectivity(3,4) and neuronal activity(5,6), are wired into modular networks(3,4,7). However, it remains unclear whether these spatial organizations are reflected in neuronal transcriptomic signatures and how such signatures are established in development. Here we used BARseq, a high-throughput in situ sequencing technique, to interrogate the expression of 104 cell-type marker genes in 10.3 million cells, including 4,194,658 cortical neurons over nine mouse forebrain hemispheres, at cellular resolution. De novo clustering of gene expression in single neurons revealed transcriptomic types consistent with previous single-cell RNA sequencing studies(8,9). The composition of transcriptomic types is highly predictive of cortical area identity. Moreover, areas with similar compositions of transcriptomic types, which we defined as cortical modules, overlap with areas that are highly connected, suggesting that the same modular organization is reflected in both transcriptomic signatures and connectivity. To explore how the transcriptomic profiles of cortical neurons depend on development, we assessed cell-type distributions after neonatal binocular enucleation. Notably, binocular enucleation caused the shifting of the cell-type compositional profiles of visual areas towards neighbouring cortical areas within the same module, suggesting that peripheral inputs sharpen the distinct transcriptomic identities of areas within cortical modules. Enabled by the high throughput, low cost and reproducibility of BARseq, our study provides a proof of principle for the use of large-scale in situ sequencing to both reveal brain-wide molecular architecture and understand its development."
2024 Feb,PNAS nexus,PNAS Nexus. 2024 Feb 12;3(2):pgae074. doi: 10.1093/pnasnexus/pgae074. eCollection ,"['Bowen, Zac', 'Shilling-Scrivo, Kelson', 'Losert, Wolfgang', 'Kanold, Patrick O']","['correlation', 'network', 'primary auditory cortex', 'rentian', 'small-world']",Fractured columnar small-world functional network organization in volumes of L2/3 of mouse auditory cortex.,"The sensory cortices of the brain exhibit large-scale functional topographic organization, such as the tonotopic organization of the primary auditory cortex (A1) according to sound frequency. However, at the level of individual neurons, layer 2/3 (L2/3) A1 appears functionally heterogeneous. To identify if there exists a higher-order functional organization of meso-scale neuronal networks within L2/3 that bridges order and disorder, we used in vivo two-photon calcium imaging of pyramidal neurons to identify networks in three-dimensional volumes of L2/3 A1 in awake mice. Using tonal stimuli, we found diverse receptive fields with measurable colocalization of similarly tuned neurons across depth but less so across L2/3 sublayers. These results indicate a fractured microcolumnar organization with a column radius of ∼50 µm, with a more random organization of the receptive field over larger radii. We further characterized the functional networks formed within L2/3 by analyzing the spatial distribution of signal correlations (SCs). Networks show evidence of Rentian scaling in physical space, suggesting effective spatial embedding of subnetworks. Indeed, functional networks have characteristics of small-world topology, implying that there are clusters of functionally similar neurons with sparse connections between differently tuned neurons. These results indicate that underlying the regularity of the tonotopic map on large scales in L2/3 is significant tuning diversity arranged in a hybrid organization with microcolumnar structures and efficient network topologies."
2024 Feb,The Journal of comparative neurology,J Comp Neurol. 2024 Feb;532(2):e25594. doi: 10.1002/cne.25594.,"['Chang, Minzi', 'Nehs, Sophia', 'Xu, Zheng', 'Kanold, Patrick O']","['animals', 'mice', ' parietal lobe', 'antibodies', ' auditory cortex', 'neurons', 'sense organs', 'nerve tissue proteins genetics', 'adaptor proteins, signal transducing', 'cortical development', 'postnatal development', 'sensory system', 'subplate']",Distinct distribution of subplate neuron subtypes between the sensory cortices during the early postnatal period.,"Subplate neurons (SpNs) are a heterogeneous neuronal population actively involved in early cortical circuit formation. In rodents, many SpNs survive and form layer 6b. The molecular heterogeneity of SpNs raises the question of whether different subpopulations of SpNs survive through the early postnatal period similarly and whether such diverse SpN populations in the auditory cortex (ACtx) share a common distribution pattern with other sensory systems. To address that, we investigated the expression pattern of multiple specific SpN markers in the ACtx, as well as in the visual (VCtx) and somatosensory (SCtx) cortices as controls, using complexin 3 (Cplx3) antibodies and different SpN-specific Cre-driver mice, such as connective tissue growth factor (CTGF), dopamine receptor D1 (Drd1a), and neurexophilin 4 (Nxph4). We focused on two early time windows in auditory development: (1) during the second postnatal week (PNW) before ear-canal opening and (2) during the third PNW after ear-canal opening. We compared the expression pattern of different SpN markers in ACtx with VCtx and SCtx. At both examined timepoints, Cplx3 and Nxph4 expressing SpNs form the largest and smallest population in the ACtx, respectively. Similar distribution patterns are observable in the VCtx and SCtx during the second PNW but not during the third PNW, for a higher proportion of Drd1a expressing SpNs is detected in the VCtx and CTGF expressing SpNs in the SCtx. This study suggests that different populations of SpNs might contribute differently to the development of individual sensory circuits."
2024 Mar 15,Hearing research,Hear Res. 2024 Mar 15;444:108965. doi: 10.1016/j.heares.2024.108965. Epub 2024 ,"['Mittelstadt, Jonah K', 'Shilling-Scrivo, Kelson V', 'Kanold, Patrick O']","['mice', 'animals', ' auditory cortex physiology', 'aging physiology', ' presbycusis', 'hearing', 'sound', 'acoustic stimulation', 'auditory perception physiology', 'auditory cortex', 'cortical plasticity', 'neuroplasticity', 'response', 'training']",Long-term training alters response dynamics in the aging auditory cortex.,"Age-related auditory dysfunction, presbycusis, is caused in part by functional changes in the auditory cortex (ACtx) such as altered response dynamics and increased population correlations. Given the ability of cortical function to be altered by training, we tested if performing auditory tasks might benefit auditory function in old age. We examined this by training adult mice on a low-effort tone-detection task for at least six months and then investigated functional responses in ACtx at an older age (∼18 months). Task performance remained stable well into old age. Comparing sound-evoked responses of thousands of ACtx neurons using in vivo 2-photon Ca(2+) imaging, we found that many aspects of youthful neuronal activity, including low activity correlations, lower neural excitability, and a greater proportion of suppressed responses, were preserved in trained old animals as compared to passively-exposed old animals. Thus, consistent training on a low-effort task can benefit age-related functional changes in ACtx and may preserve many aspects of auditory function."
2024 Feb 27,Cell reports,Cell Rep. 2024 Feb 27;43(2):113762. doi: 10.1016/j.celrep.2024.113762. Epub 2024 ,"['Ribeiro, Tiago L', 'Jendrichovsky, Peter', 'Yu, Shan', 'Martin, Daniel A', 'Kanold, Patrick O', 'Chialvo, Dante R', 'Plenz, Dietmar']","['mice', 'animals', ' neurons physiology', ' movement', 'wakefulness', 'mammals', '2-photon imaging', 'cp: neuroscience', 'criticality', 'high-density microelectrode array', 'mouse', 'neuronal avalanches', 'non-human primate', 'prefrontal cortex', 'premotor cortex', 'primary sensory cortex', 'spatial correlation']",Trial-by-trial variability in cortical responses exhibits scaling of spatial correlations predicted from critical dynamics.,"In the mammalian cortex, even simple sensory inputs or movements activate many neurons, with each neuron responding variably to repeated stimuli-a phenomenon known as trial-by-trial variability. Understanding the spatial patterns and dynamics of this variability is challenging. Using cellular 2-photon imaging, we study visual and auditory responses in the primary cortices of awake mice. We focus on how individual neurons' responses differed from the overall population. We find consistent spatial correlations in these differences that are unique to each trial and linearly scale with the cortical area observed, a characteristic of critical dynamics as confirmed in our neuronal simulations. Using chronic multi-electrode recordings, we observe similar scaling in the prefrontal and premotor cortex of non-human primates during self-initiated and visually cued motor tasks. These results suggest that trial-by-trial variability, rather than being random noise, reflects a critical, fluctuation-dominated state in the cortex, supporting the brain's efficiency in processing information."
2023 Dec 5,Brain informatics,Brain Inform. 2023 Dec 5;10(1):34. doi: 10.1186/s40708-023-00212-9.,"['Koçillari, Loren', 'Celotto, Marco', 'Francis, Nikolas A', 'Mukherjee, Shoutik', 'Babadi, Behtash', 'Kanold, Patrick O', 'Panzeri, Stefano']","['auditory perception', 'functional connectivity', 'redundancy', 'synergy']",Behavioural relevance of redundant and synergistic stimulus information between functionally connected neurons in mouse auditory cortex.,"Measures of functional connectivity have played a central role in advancing our understanding of how information is transmitted and processed within the brain. Traditionally, these studies have focused on identifying redundant functional connectivity, which involves determining when activity is similar across different sites or neurons. However, recent research has highlighted the importance of also identifying synergistic connectivity-that is, connectivity that gives rise to information not contained in either site or neuron alone. Here, we measured redundant and synergistic functional connectivity between neurons in the mouse primary auditory cortex during a sound discrimination task. Specifically, we measured directed functional connectivity between neurons simultaneously recorded with calcium imaging. We used Granger Causality as a functional connectivity measure. We then used Partial Information Decomposition to quantify the amount of redundant and synergistic information about the presented sound that is carried by functionally connected or functionally unconnected pairs of neurons. We found that functionally connected pairs present proportionally more redundant information and proportionally less synergistic information about sound than unconnected pairs, suggesting that their functional connectivity is primarily redundant. Further, synergy and redundancy coexisted both when mice made correct or incorrect perceptual discriminations. However, redundancy was much higher (both in absolute terms and in proportion to the total information available in neuron pairs) in correct behavioural choices compared to incorrect ones, whereas synergy was higher in absolute terms but lower in relative terms in correct than in incorrect behavioural choices. Moreover, the proportion of redundancy reliably predicted perceptual discriminations, with the proportion of synergy adding no extra predictive power. These results suggest a crucial contribution of redundancy to correct perceptual discriminations, possibly due to the advantage it offers for information propagation, and also suggest a role of synergy in enhancing information level during correct discriminations."
2023 Oct 9,Current biology : CB,Curr Biol. 2023 Oct 9;33(19):4160-4173.e4. doi: 10.1016/j.cub.2023.08.059. Epub ,"['Mittelstadt, Jonah K', 'Kanold, Patrick O']","['mice', 'animals', ' auditory cortex physiology', 'prefrontal cortex physiology', 'neurons physiology', 'auditory perception physiology', 'acoustic stimulation', 'auditory cortex', 'behavior', 'orbitofrontal cortex', 'signal-to-noise ratio', 'top-down']",Orbitofrontal cortex conveys stimulus and task information to the auditory cortex.,"Auditory cortical neurons modify their response profiles in response to numerous external factors. During task performance, changes in primary auditory cortex (A1) responses are thought to be driven by top-down inputs from the orbitofrontal cortex (OFC), which may lead to response modification on a trial-by-trial basis. While OFC neurons respond to auditory stimuli and project to A1, the function of OFC projections to A1 during auditory tasks is unknown. Here, we observed the activity of putative OFC terminals in A1 in mice by using in vivo two-photon calcium imaging of OFC terminals under passive conditions and during a tone detection task. We found that behavioral activity modulates but is not necessary to evoke OFC terminal responses in A1. OFC terminals in A1 form distinct populations that exclusively respond to either the tone, reward, or error. Using tones against a background of white noise, we found that OFC terminal activity was modulated by the signal-to-noise ratio (SNR) in both the passive and active conditions and that OFC terminal activity varied with SNR, and thus task difficulty in the active condition. Therefore, OFC projections in A1 are heterogeneous in their modulation of auditory encoding and likely contribute to auditory processing under various auditory conditions."
2023 Jul 25,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2023 Jul 25;120(30):e2219340120. doi: ,"['Calhoun, Georgia', 'Chen, Chih-Ting', 'Kanold, Patrick O']","['adult', 'male', 'humans', 'female', 'animals', 'mice', ' auditory cortex physiology', 'calcium', 'functional laterality physiology', 'brain mapping', 'microscopy', 'auditory perception physiology', 'membrane proteins', 'auditory cortex', 'bilateral', 'experience', 'hemisphere', 'imaging']",Bilateral widefield calcium imaging reveals circuit asymmetries and lateralized functional activation of the mouse auditory cortex.,"Coordinated functioning of the two cortical hemispheres is crucial for perception. The human auditory cortex (ACx) shows functional lateralization with the left hemisphere specialized for processing speech, whereas the right analyzes spectral content. In mice, virgin females demonstrate a left-hemisphere response bias to pup vocalizations that strengthens with motherhood. However, how this lateralized function is established is unclear. We developed a widefield imaging microscope to simultaneously image both hemispheres of mice to bilaterally monitor functional responses. We found that global ACx topography is symmetrical and stereotyped. In both male and virgin female mice, the secondary auditory cortex (A2) in the left hemisphere shows larger responses than right to high-frequency tones and adult vocalizations; however, only virgin female mice show a left-hemisphere bias in A2 in response to adult pain calls. These results indicate hemispheric bias with both sex-independent and -dependent aspects. Analyzing cross-hemispheric functional correlations showed that asymmetries exist in the strength of correlations between DM-AAF and A2-AAF, while other ACx areas showed smaller differences. We found that A2 showed lower cross-hemisphere correlation than other cortical areas, consistent with the lateralized functional activation of A2. Cross-hemispheric activity correlations are lower in deaf, otoferlin knockout (OTOF(-/-)) mice, indicating that the development of functional cross-hemispheric connections is experience dependent. Together, our results reveal that ACx is topographically symmetric at the macroscopic scale but that higher-order A2 shows sex-dependent and independent lateralized responses due to asymmetric intercortical functional connections. Moreover, our results suggest that sensory experience is required to establish functional cross-hemispheric connectivity."
