time,journal,doi_info,authors,key words,title,abstract
2024 Jan 30,Nature communications,Nat Commun. 2024 Jan 30;15(1):888. doi: 10.1038/s41467-024-44701-9.,"['Sterenborg, Rosalie B T M', 'Steinbrenner, Inga', 'Li, Yong', 'Bujnis, Melissa N', 'Naito, Tatsuhiko', 'Marouli, Eirini', 'Galesloot, Tessel E', 'Babajide, Oladapo', 'Andreasen, Laura', 'Astrup, Arne', 'Åsvold, Bjørn Olav', 'Bandinelli, Stefania', 'Beekman, Marian', 'Beilby, John P', 'Bork-Jensen, Jette', 'Boutin, Thibaud', 'Brody, Jennifer A', 'Brown, Suzanne J', 'Brumpton, Ben', 'Campbell, Purdey J', 'Cappola, Anne R', 'Ceresini, Graziano', 'Chaker, Layal', 'Chasman, Daniel I', 'Concas, Maria Pina', 'Coutinho de Almeida, Rodrigo', 'Cross, Simone M', 'Cucca, Francesco', 'Deary, Ian J', 'Kjaergaard, Alisa Devedzic', 'Echouffo Tcheugui, Justin B', 'Ellervik, Christina', 'Eriksson, Johan G', 'Ferrucci, Luigi', 'Freudenberg, Jan', 'Fuchsberger, Christian', 'Gieger, Christian', 'Giulianini, Franco', 'Gögele, Martin', 'Graham, Sarah E', 'Grarup, Niels', 'Gunjača, Ivana', 'Hansen, Torben', 'Harding, Barbara N', 'Harris, Sarah E', 'Haunsø, Stig', 'Hayward, Caroline', 'Hui, Jennie', 'Ittermann, Till', 'Jukema, J Wouter', 'Kajantie, Eero', 'Kanters, Jørgen K', 'Kårhus, Line L', 'Kiemeney, Lambertus A L M', 'Kloppenburg, Margreet', 'Kühnel, Brigitte', 'Lahti, Jari', 'Langenberg, Claudia', 'Lapauw, Bruno', 'Leese, Graham', 'Li, Shuo', 'Liewald, David C M', 'Linneberg, Allan', 'Lominchar, Jesus V T', ""Luan, Jian'an"", 'Martin, Nicholas G', 'Matana, Antonela', 'Meima, Marcel E', 'Meitinger, Thomas', 'Meulenbelt, Ingrid', 'Mitchell, Braxton D', 'Møllehave, Line T', 'Mora, Samia', 'Naitza, Silvia', 'Nauck, Matthias', 'Netea-Maier, Romana T', 'Noordam, Raymond', 'Nursyifa, Casia', 'Okada, Yukinori', 'Onano, Stefano', 'Papadopoulou, Areti', 'Palmer, Colin N A', 'Pattaro, Cristian', 'Pedersen, Oluf', 'Peters, Annette', 'Pietzner, Maik', 'Polašek, Ozren', 'Pramstaller, Peter P', 'Psaty, Bruce M', 'Punda, Ante', 'Ray, Debashree', 'Redmond, Paul', 'Richards, J Brent', 'Ridker, Paul M', 'Russ, Tom C', 'Ryan, Kathleen A', 'Olesen, Morten Salling', 'Schultheiss, Ulla T', 'Selvin, Elizabeth', 'Siddiqui, Moneeza K', 'Sidore, Carlo', 'Slagboom, P Eline', 'Sørensen, Thorkild I A', 'Soto-Pedre, Enrique', 'Spector, Tim D', 'Spedicati, Beatrice', 'Srinivasan, Sundararajan', 'Starr, John M', 'Stott, David J', 'Tanaka, Toshiko', 'Torlak, Vesela', 'Trompet, Stella', 'Tuhkanen, Johanna', 'Uitterlinden, André G', 'van den Akker, Erik B', 'van den Eynde, Tibbert', 'van der Klauw, Melanie M', 'van Heemst, Diana', 'Verroken, Charlotte', 'Visser, W Edward', 'Vojinovic, Dina', 'Völzke, Henry', 'Waldenberger, Melanie', 'Walsh, John P', 'Wareham, Nicholas J', 'Weiss, Stefan', 'Willer, Cristen J', 'Wilson, Scott G', 'Wolffenbuttel, Bruce H R', 'Wouters, Hanneke J C M', 'Wright, Margaret J', 'Yang, Qiong', 'Zemunik, Tatijana', 'Zhou, Wei', 'Zhu, Gu', 'Zöllner, Sebastian', 'Smit, Johannes W A', 'Peeters, Robin P', 'Köttgen, Anna', 'Teumer, Alexander', 'Medici, Marco']","['humans', ' thyroid gland metabolism', ' thyroxine metabolism', 'genome-wide association study', 'triiodothyronine metabolism', 'thyrotropin metabolism']",Multi-trait analysis characterizes the genetics of thyroid function and identifies causal associations with clinical implications.,"To date only a fraction of the genetic footprint of thyroid function has been clarified. We report a genome-wide association study meta-analysis of thyroid function in up to 271,040 individuals of European ancestry, including reference range thyrotropin (TSH), free thyroxine (FT4), free and total triiodothyronine (T3), proxies for metabolism (T3/FT4 ratio) as well as dichotomized high and low TSH levels. We revealed 259 independent significant associations for TSH (61% novel), 85 for FT4 (67% novel), and 62 novel signals for the T3 related traits. The loci explained 14.1%, 6.0%, 9.5% and 1.1% of the total variation in TSH, FT4, total T3 and free T3 concentrations, respectively. Genetic correlations indicate that TSH associated loci reflect the thyroid function determined by free T3, whereas the FT4 associations represent the thyroid hormone metabolism. Polygenic risk score and Mendelian randomization analyses showed the effects of genetically determined variation in thyroid function on various clinical outcomes, including cardiovascular risk factors and diseases, autoimmune diseases, and cancer. In conclusion, our results improve the understanding of thyroid hormone physiology and highlight the pleiotropic effects of thyroid function on various diseases."
2024 Jan 16,Cell reports. Medicine,Cell Rep Med. 2024 Jan 16;5(1):101345. doi: 10.1016/j.xcrm.2023.101345. Epub 2023 ,"['Wallace, Rachel P', 'Refvik, Kirsten C', 'Antane, Jennifer T', 'Brünggel, Kym', 'Tremain, Andrew C', 'Raczy, Michal R', 'Alpar, Aaron T', 'Nguyen, Mindy', 'Solanki, Ani', 'Slezak, Anna J', 'Watkins, Elyse A', 'Lauterbach, Abigail L', 'Cao, Shijie', 'Wilson, D Scott', 'Hubbell, Jeffrey A']","['humans', ' antibody formation', 'antigens', 'antibodies', 'b-lymphocytes', ' biological products pharmacology']",Synthetically mannosylated antigens induce antigen-specific humoral tolerance and reduce anti-drug antibody responses to immunogenic biologics.,"Immunogenic biologics trigger an anti-drug antibody (ADA) response in patients that reduces efficacy and increases adverse reactions. Our laboratory has shown that targeting protein antigen to the liver microenvironment can reduce antigen-specific T cell responses; herein, we present a strategy to increase delivery of otherwise immunogenic biologics to the liver via conjugation to a synthetic mannose polymer, p(Man). This delivery leads to reduced antigen-specific T follicular helper cell and B cell responses resulting in diminished ADA production, which is maintained throughout subsequent administrations of the native biologic. We find that p(Man)-antigen treatment impairs the ADA response against recombinant uricase, a highly immunogenic biologic, without a dependence on hapten immunodominance or control by T regulatory cells. We identify increased T cell receptor signaling and increased apoptosis and exhaustion in T cells as effects of p(Man)-antigen treatment via transcriptomic analyses. This modular platform may enhance tolerance to biologics, enabling long-term solutions for an ever-increasing healthcare problem."
2024 Jan 16,Cell reports. Medicine,Cell Rep Med. 2024 Jan 16;5(1):101346. doi: 10.1016/j.xcrm.2023.101346. Epub 2023 ,"['Cao, Shijie', 'Maulloo, Chitavi D', 'Raczy, Michal M', 'Sabados, Matthew', 'Slezak, Anna J', 'Nguyen, Mindy', 'Solanki, Ani', 'Wallace, Rachel P', 'Shim, Ha-Na', 'Wilson, D Scott', 'Hubbell, Jeffrey A']","['mice', 'animals', 'female', 'cattle', ' anaphylaxis prevention & control', 'glycosylation', ' food hypersensitivity prevention & control', ' milk hypersensitivity prevention & control', 'lactoglobulins metabolism', ' vaccines', 'antigen delivery', 'food allergy', 'glycosylation', 'immune tolerance', 'subcutaneous immunotherapy']",Glycosylation-modified antigens as a tolerance-inducing vaccine platform prevent anaphylaxis in a pre-clinical model of food allergy.,"The only FDA-approved oral immunotherapy for a food allergy provides protection against accidental exposure to peanuts. However, this therapy often causes discomfort or side effects and requires long-term commitment. Better preventive and therapeutic solutions are urgently needed. We develop a tolerance-inducing vaccine technology that utilizes glycosylation-modified antigens to induce antigen-specific non-responsiveness. The glycosylation-modified antigens are administered intravenously (i.v.) or subcutaneously (s.c.) and traffic to the liver or lymph nodes, respectively, leading to preferential internalization by antigen-presenting cells, educating the immune system to respond in an innocuous way. In a mouse model of cow's milk allergy, treatment with glycosylation-modified β-lactoglobulin (BLG) is effective in preventing the onset of allergy. In addition, s.c. administration of glycosylation-modified BLG shows superior safety and potential in treating existing allergies in combination with anti-CD20 co-therapy. This platform provides an antigen-specific immunomodulatory strategy to prevent and treat food allergies."
2023 Sep,Nature biomedical engineering,Nat Biomed Eng. 2023 Sep;7(9):1142-1155. doi: 10.1038/s41551-023-01086-2. Epub ,"['Tremain, Andrew C', 'Wallace, Rachel P', 'Lorentz, Kristen M', 'Thornley, Thomas B', 'Antane, Jennifer T', 'Raczy, Michal R', 'Reda, Joseph W', 'Alpar, Aaron T', 'Slezak, Anna J', 'Watkins, Elyse A', 'Maulloo, Chitavi D', 'Budina, Erica', 'Solanki, Ani', 'Nguyen, Mindy', 'Bischoff, David J', 'Harrington, Jamie L', 'Mishra, Rabinarayan', 'Conley, Gregory P', 'Marlin, Romain', 'Dereuddre-Bosquet, Nathalie', 'Gallouët, Anne-Sophie', 'LeGrand, Roger', 'Wilson, D Scott', 'Kontos, Stephan', 'Hubbell, Jeffrey A']","['animals', 'mice', ' immune tolerance', 'autoimmunity', 'glycosylation', 'acetylgalactosamine', ' encephalomyelitis, autoimmune, experimental therapy']",Synthetically glycosylated antigens for the antigen-specific suppression of established immune responses.,"Inducing antigen-specific tolerance during an established immune response typically requires non-specific immunosuppressive signalling molecules. Hence, standard treatments for autoimmunity trigger global immunosuppression. Here we show that established antigen-specific responses in effector T cells and memory T cells can be suppressed by a polymer glycosylated with N-acetylgalactosamine (pGal) and conjugated to the antigen via a self-immolative linker that allows for the dissociation of the antigen on endocytosis and its presentation in the immunoregulatory environment. We show that pGal-antigen therapy induces antigen-specific tolerance in a mouse model of experimental autoimmune encephalomyelitis (with programmed cell-death-1 and the co-inhibitory ligand CD276 driving the tolerogenic responses), as well as the suppression of antigen-specific responses to vaccination against a DNA-based simian immunodeficiency virus in non-human primates. Our findings show that pGal-antigen therapy invokes mechanisms of immune tolerance to resolve antigen-specific inflammatory T-cell responses and suggest that the therapy may be applicable across autoimmune diseases."
2023 Jul,Epilepsy research,Epilepsy Res. 2023 Jul;193:107169. doi: 10.1016/j.eplepsyres.2023.107169. Epub ,"['Sutula, Thomas P', 'Wilson, Scott T', 'Franzoso, Sheilah', 'Stafstrom, Carl E']","['rats', 'humans', 'animals', ' glucose', 'seizures drug therapy etiology', ' kindling, neurologic', 'anticonvulsants pharmacology therapeutic use', 'deoxyglucose pharmacology therapeutic use', '2-deoxy-d-glucose', 'disease modification', 'epilepsy', 'glycolytic inhibition', 'kindling', 'seizure']",2-Deoxy-D-glucose administration after seizures has disease-modifying effects on kindling progression.,"2-deoxy-D-glucose (2DG) is a glucose analog and reversible inhibitor of glycolysis with anticonvulsant and antiepileptic effects in multiple seizure models. 2DG at a dose of 250 mg/kg intraperitoneally (IP) delays progression of repeated seizures evoked by kindling in rats when administered 30 min prior to twice daily kindling stimulation. As toxicological studies have demonstrated that repeated daily oral administration of 2DG at doses of 60-375 mg/kg/day in rats induces dose-dependent, reversible cardiac myocyte vacuolation, it was of interest to determine if 2DG also slowed kindling progression when administered at or below doses causing cardiac toxicity and at various time points after evoked seizures. We found that: (1) 2DG slowed kindling progression nearly 2-fold when administered at a dose of 37.5 mg/kg given IP 30 min prior to kindling stimulation, and (2) 2DG 37.5 mg/kg IP also slowed kindling progression when given immediately after, and for as long as 10 min after evoked (kindled) seizures. These observations suggest potential clinical usefulness of post-seizure administration of 2DG to reduce seizure clusters and long-term consequences of repeated seizures at human equivalent doses that are likely to be safe and well tolerated in patients."
2023 Mar,Thyroid : official journal of the American Thyroid Association,Thyroid. 2023 Mar;33(3):301-311. doi: 10.1089/thy.2022.0373. Epub 2023 Mar 1.,"['Weihs, Antoine', 'Chaker, Layal', 'Martin, Tiphaine C', 'Braun, Kim V E', 'Campbell, Purdey J', 'Cox, Simon R', 'Fornage, Myriam', 'Gieger, Christian', 'Grabe, Hans J', 'Grallert, Harald', 'Harris, Sarah E', 'Kühnel, Brigitte', 'Marioni, Riccardo E', 'Martin, Nicholas G', 'McCartney, Daniel L', 'McRae, Allan F', 'Meisinger, Christa', 'van Meurs, Joyce B J', 'Nano, Jana', 'Nauck, Matthias', 'Peters, Annette', 'Prokisch, Holger', 'Roden, Michael', 'Selvin, Elizabeth', 'Beekman, Marian', 'van Heemst, Diana', 'Slagboom, Eline P', 'Swenson, Brenton R', 'Tin, Adrienne', 'Tsai, Pei-Chien', 'Uitterlinden, Andre', 'Visser, W Edward', 'Völzke, Henry', 'Waldenberger, Melanie', 'Walsh, John P', 'Köttgen, Anna', 'Wilson, Scott G', 'Peeters, Robin P', 'Bell, Jordana T', 'Medici, Marco', 'Teumer, Alexander']","['humans', ' epigenome', ' triiodothyronine', 'thyroid gland', 'thyroxine genetics', 'cpg islands', 'genome-wide association study', 'kruppel-like transcription factors genetics', 'dna methylation', 'klf9', 'mendelian randomization', 'gene expression', 'thyroid function']",Epigenome-Wide Association Study Reveals CpG Sites Associated with Thyroid Function and Regulatory Effects on KLF9.,"Background: Thyroid hormones play a key role in differentiation and metabolism and are known regulators of gene expression through both genomic and epigenetic processes including DNA methylation. The aim of this study was to examine associations between thyroid hormones and DNA methylation. Methods: We carried out a fixed-effect meta-analysis of epigenome-wide association study (EWAS) of blood DNA methylation sites from 8 cohorts from the ThyroidOmics Consortium, incorporating up to 7073 participants of both European and African ancestry, implementing a discovery and replication stage. Statistical analyses were conducted using normalized beta CpG values as dependent and log-transformed thyrotropin (TSH), free thyroxine, and free triiodothyronine levels, respectively, as independent variable in a linear model. The replicated findings were correlated with gene expression levels in whole blood and tested for causal influence of TSH and free thyroxine by two-sample Mendelian randomization (MR). Results: Epigenome-wide significant associations (p-value <1.1E-7) of three CpGs for free thyroxine, five for free triiodothyronine, and two for TSH concentrations were discovered and replicated (combined p-values = 1.5E-9 to 4.3E-28). The associations included CpG sites annotated to KLF9 (cg00049440) and DOT1L (cg04173586) that overlap with all three traits, consistent with hypothalamic-pituitary-thyroid axis physiology. Significant associations were also found for CpGs in FKBP5 for free thyroxine, and at CSNK1D/LINCO1970 and LRRC8D for free triiodothyronine. MR analyses supported a causal effect of thyroid status on DNA methylation of KLF9. DNA methylation of cg00049440 in KLF9 was inversely correlated with KLF9 gene expression in blood. The CpG at CSNK1D/LINC01970 overlapped with thyroid hormone receptor alpha binding peaks in liver cells. The total additive heritability of the methylation levels of the six significant CpG sites was between 25% and 57%. Significant methylation QTLs were identified for CpGs at KLF9, FKBP5, LRRC8D, and CSNK1D/LINC01970. Conclusions: We report novel associations between TSH, thyroid hormones, and blood-based DNA methylation. This study advances our understanding of thyroid hormone action particularly related to KLF9 and serves as a proof-of-concept that integrations of EWAS with other -omics data can provide a valuable tool for unraveling thyroid hormone signaling in humans by complementing and feeding classical in vitro and animal studies."
2023 Jan,Nature biomedical engineering,Nat Biomed Eng. 2023 Jan;7(1):38-55. doi: 10.1038/s41551-022-00972-5. Epub 2022 ,"['Wang, Ruyi', 'Cao, Shijie', 'Bashir, Mohamed Elfatih H', 'Hesser, Lauren A', 'Su, Yanlin', 'Hong, Sung Min Choi', 'Thompson, Andrew', 'Culleen, Elliot', 'Sabados, Matthew', 'Dylla, Nicholas P', 'Campbell, Evelyn', 'Bao, Riyue', 'Nonnecke, Eric B', 'Bevins, Charles L', 'Wilson, D Scott', 'Hubbell, Jeffrey A', 'Nagler, Cathryn R']","['mice', 'animals', 'micelles', ' peanut hypersensitivity', 'butyrates', ' colitis', ' inflammatory bowel diseases']",Treatment of peanut allergy and colitis in mice via the intestinal release of butyrate from polymeric micelles.,"The microbiome modulates host immunity and aids the maintenance of tolerance in the gut, where microbial and food-derived antigens are abundant. Yet modern dietary factors and the excessive use of antibiotics have contributed to the rising incidence of food allergies, inflammatory bowel disease and other non-communicable chronic diseases associated with the depletion of beneficial taxa, including butyrate-producing Clostridia. Here we show that intragastrically delivered neutral and negatively charged polymeric micelles releasing butyrate in different regions of the intestinal tract restore barrier-protective responses in mouse models of colitis and of peanut allergy. Treatment with the butyrate-releasing micelles increased the abundance of butyrate-producing taxa in Clostridium cluster XIVa, protected mice from an anaphylactic reaction to a peanut challenge and reduced disease severity in a T-cell-transfer model of colitis. By restoring microbial and mucosal homoeostasis, butyrate-releasing micelles may function as an antigen-agnostic approach for the treatment of allergic and inflammatory diseases."
2023 Feb,Acta biomaterialia,Acta Biomater. 2023 Feb;157:236-251. doi: 10.1016/j.actbio.2022.11.030. Epub 2022 ,"['Deng, Jingyao', 'Cohen, David J', 'Sabalewski, Eleanor L', 'Van Duyn, Christine', 'Wilson, D Scott', 'Schwartz, Zvi', 'Boyan, Barbara D']","['rats', 'humans', 'animals', ' semaphorin-3a pharmacology', ' diabetes mellitus, type 2', 'osseointegration', 'titanium pharmacology', 'hydrogels', 'osteogenesis', 'osteoblasts', 'surface properties', 'bone formation', 'bone regeneration', 'hydrogel', 'implants', 'semaphorin 3a', 'titanium', 'type 2 diabetes']",Semaphorin 3A delivered by a rapidly polymerizing click hydrogel overcomes impaired implant osseointegration in a rat type 2 diabetes model.,"Semaphorin 3A (sema3A) is an osteoprotective factor that enhances bone formation while inhibiting osteoclast bone resorption. It is produced by rat calvarial osteoblasts cultured on grit-blasted/acid-etched microtextured (SLA) titanium surfaces at higher levels than on tissue culture polystyrene, suggesting that it may improve performance of titanium implants in vivo, particularly in conditions characterized by compromised bone quality. To test this, we established a clinically relevant type 2 diabetes mellitus (T2DM) rat model and used a non-toxic click hydrogel that rapidly polymerizes in situ (GEL) to provide localized controlled delivery of sema3A. In vitro studies confirmed that sema3A released from GEL was biologically active, increasing osteoblast differentiation of a pre-osteoblast cell-line. Whereas increased sema3A production was not observed in T2DM calvarial osteoblasts cultured on SLA, exogenous sema3A enhanced surface-induced osteoblast differentiation, indicating that it would be a viable candidate for in vivo use. Delivery of sema3A either by GEL or by local injection to bone defects enhanced osseointegration of SLA implants in the T2DM rats. Trabecular bone mass and bone-to-implant contact were decreased in T2DM rats compared to normal rats; sema3A delivered locally improved both parameters. These findings suggest that reduced trabecular bone contributes to poor osseointegration in T2DM patients and support GEL as a promising treatment option for sustained release of therapeutic doses of sema3A. Moreover, using this clinically translatable T2DM model and developing a biocompatible, Cu-free click chemistry hydrogel platform for the non-invasive delivery of therapeutics has major implications for regenerative medicine as a whole. STATEMENT OF SIGNIFICANCE: Osseointegration is compromised in patients with poor bone quality due to conditions like type 2 diabetes mellitus (T2DM). Previously, we showed that semaphorin 3A (sema3A) production is increased when human bone marrow stromal cells are cultured on titanium substrates that support osseointegration in vivo, suggesting it may enhance peri-implant osteogenesis in diabetes. Here we established a spontaneously developing T2DM rat model with clinical translatability and used it to assess sema3A effectiveness. Sema3A was delivered to the implant site via a novel copper-free click hydrogel, which has minimal swelling behavior and superior rheological properties. Osseointegration was successfully restored, and enhanced compared to burst release through injections. This study provides scientific evidence for using sema3A to treat impaired osseointegration in T2DM patients."
2022 Oct,Life science alliance,Life Sci Alliance. 2022 May 30;5(10):e202000745. doi: 10.26508/lsa.202000745. ,"['Birdsall, Veronica', 'Kirwan, Konner', 'Zhu, Mei', 'Imoto, Yuuta', 'Wilson, Scott M', 'Watanabe, Shigeki', 'Waites, Clarissa L']","[' axonal transport', 'endosomal sorting complexes required for transport metabolism', 'endosomes metabolism', 'proteolysis', ' synaptic vesicles metabolism']",Axonal transport of Hrs is activity dependent and facilitates synaptic vesicle protein degradation.,"Turnover of synaptic vesicle (SV) proteins is vital for the maintenance of healthy and functional synapses. SV protein turnover is driven by neuronal activity in an endosomal sorting complex required for transport (ESCRT)-dependent manner. Here, we characterize a critical step in this process: axonal transport of ESCRT-0 component Hrs, necessary for sorting proteins into the ESCRT pathway and recruiting downstream ESCRT machinery to catalyze multivesicular body (MVB) formation. We find that neuronal activity stimulates the formation of presynaptic endosomes and MVBs, as well as the motility of Hrs+ vesicles in axons and their delivery to SV pools. Hrs+ vesicles co-transport ESCRT-0 component STAM1 and comprise a subset of Rab5+ vesicles, likely representing pro-degradative early endosomes. Furthermore, we identify kinesin motor protein KIF13A as essential for the activity-dependent transport of Hrs to SV pools and the degradation of SV membrane proteins. Together, these data demonstrate a novel activity- and KIF13A-dependent mechanism for mobilizing axonal transport of ESCRT machinery to facilitate the degradation of SV membrane proteins."
2021 Nov,Biomaterials,Biomaterials. 2021 Nov;278:121159. doi: 10.1016/j.biomaterials.2021.121159. Epub ,"['Gray, Laura T', 'Raczy, Michal M', 'Briquez, Priscilla S', 'Marchell, Tiffany M', 'Alpar, Aaron T', 'Wallace, Rachel P', 'Volpatti, Lisa R', 'Sasso, Maria Stella', 'Cao, Shijie', 'Nguyen, Mindy', 'Mansurov, Aslan', 'Budina, Erica', 'Watkins, Elyse A', 'Solanki, Ani', 'Mitrousis, Nikolaos', 'Reda, Joseph W', 'Yu, Shann S', 'Tremain, Andrew C', 'Wang, Ruyi', 'Nicolaescu, Vlad', 'Furlong, Kevin', 'Dvorkin, Steve', 'Manicassamy, Balaji', 'Randall, Glenn', 'Wilson, D Scott', 'Kwissa, Marcin', 'Swartz, Melody A', 'Hubbell, Jeffrey A']","['adjuvants, immunologic', 'aged', 'animals', 'antibodies, neutralizing', 'antibodies, viral', 'cd8-positive t-lymphocytes', ' covid-19', 'covid-19 vaccines', 'humans', 'immunity, cellular', ' immunity, humoral', 'mice', 'sars-cov-2', 'adjuvant', 'covid-19 vaccine', 'glycopolymers', 'polymer-protein conjugates', 'polymeric glyco-adjuvant', 'subunit vaccine formulation']",Generation of potent cellular and humoral immunity against SARS-CoV-2 antigens via conjugation to a polymeric glyco-adjuvant.,"The SARS-CoV-2 virus has caused an unprecedented global crisis, and curtailing its spread requires an effective vaccine which elicits a diverse and robust immune response. We have previously shown that vaccines made of a polymeric glyco-adjuvant conjugated to an antigen were effective in triggering such a response in other disease models and hypothesized that the technology could be adapted to create an effective vaccine against SARS-CoV-2. The core of the vaccine platform is the copolymer p(Man-TLR7), composed of monomers with pendant mannose or a toll-like receptor 7 (TLR7) agonist. Thus, p(Man-TLR7) is designed to target relevant antigen-presenting cells (APCs) via mannose-binding receptors and then activate TLR7 upon endocytosis. The p(Man-TLR7) construct is amenable to conjugation to protein antigens such as the Spike protein of SARS-CoV-2, yielding Spike-p(Man-TLR7). Here, we demonstrate Spike-p(Man-TLR7) vaccination elicits robust antigen-specific cellular and humoral responses in mice. In adult and elderly wild-type mice, vaccination with Spike-p(Man-TLR7) generates high and long-lasting titers of anti-Spike IgGs, with neutralizing titers exceeding levels in convalescent human serum. Interestingly, adsorbing Spike-p(Man-TLR7) to the depot-forming adjuvant alum amplified the broadly neutralizing humoral responses to levels matching those in mice vaccinated with formulations based off of clinically-approved adjuvants. Additionally, we observed an increase in germinal center B cells, antigen-specific antibody secreting cells, activated T follicular helper cells, and polyfunctional Th1-cytokine producing CD4(+) and CD8(+) T cells. We conclude that Spike-p(Man-TLR7) is an attractive, next-generation subunit vaccine candidate, capable of inducing durable and robust antibody and T cell responses."
